sequence,v115@FhB8HeC8HeC8DeD8Jei/IvhFGhBTiBfqBUrBRsBlqB,v115@FhB8HeC8HeC8DeD8JeT/IvhF0gBqnBVqB3mBmmBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRhBqnB8rB3qBFrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFigBGiBfrBUqBRsBlrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFCiBXlB2rB0nBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFcmBenBqnBXlBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRmB1sBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Je2EJvhFRmB1sBzkBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Jei/IvhFfqBxlB0nBuqBFnBTrB
TLSJIOZ,X,X,X,X,X,X,O,O,X
TLSJZIO,X,X,O,X,X,X,X,X,X
TLSJZOI,X,X,O,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X,X
TLSJOZI,X,X,O,X,X,O,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,O
TLSZIOJ,X,O,X,X,X,X,X,X,O
TLSZJIO,X,X,O,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,X,X,X,X,O
TLSZOJI,X,X,O,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,O,O,X,X
TLSOIZJ,X,O,X,X,X,X,X,X,O
TLSOJIZ,X,X,X,X,X,X,O,X,X
TLSOJZI,X,X,O,X,X,O,X,X,X
TLSOZIJ,X,O,X,X,X,X,X,X,O
TLSOZJI,X,X,O,X,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,X,X
TLZISJO,X,O,O,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,X,X
TLZJSIO,X,X,O,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X
TLZJOSI,X,X,O,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,O
TLZSIOJ,X,O,X,X,X,X,X,X,O
TLZSJIO,X,X,O,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,X,O
TLZSOJI,X,X,O,X,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X,X,X
TLZOJSI,X,X,O,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,X,O
TLZOSJI,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,O,O,X,X
TLOIJZS,X,O,X,X,X,O,O,X,X
TLOISJZ,X,O,X,X,X,O,X,X,X
TLOISZJ,X,O,X,X,X,X,X,X,X
TLOIZJS,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,O,O,X,X
TLOJIZS,X,O,X,X,X,O,O,X,X
TLOJSIZ,X,X,X,X,X,X,O,X,X
TLOJSZI,X,X,O,X,X,O,X,X,X
TLOJZIS,X,O,O,X,X,O,X,X,X
TLOJZSI,X,X,O,X,X,O,X,X,X
TLOSIJZ,X,O,X,X,X,O,O,X,X
TLOSIZJ,X,O,X,X,X,X,X,X,O
TLOSJIZ,X,X,X,X,X,X,O,X,X
TLOSJZI,X,X,O,X,X,O,X,X,X
TLOSZIJ,X,O,X,X,X,X,X,X,O
TLOSZJI,X,X,O,X,X,X,X,X,X
TLOZIJS,X,O,X,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X,X,X
TLOZJSI,X,X,O,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,X,X,X,X,O
TLOZSJI,X,X,O,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,O,X
TJILSOZ,X,X,X,X,X,X,X,O,X
TJILZSO,X,X,X,X,X,X,X,O,X
TJILZOS,X,X,X,X,X,X,X,O,X
TJILOSZ,X,X,X,X,X,X,O,O,X
TJILOZS,X,X,X,X,X,X,O,O,X
TJISLZO,X,X,X,X,X,X,X,O,X
TJISLOZ,X,X,X,X,X,X,O,O,X
TJISZLO,X,X,X,X,X,X,X,O,X
TJISZOL,X,X,X,X,X,X,O,O,X
TJISOLZ,X,X,X,X,X,X,O,O,X
TJISOZL,X,X,X,X,X,X,O,O,X
TJIZLSO,X,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,X,X,O,X
TJIZSLO,X,X,X,X,X,X,X,O,X
TJIZSOL,X,X,X,X,X,X,X,O,X
TJIZOLS,X,X,X,X,X,X,O,O,X
TJIZOSL,X,X,X,X,X,X,O,O,X
TJIOLSZ,X,X,X,X,X,X,O,O,X
TJIOLZS,X,X,X,X,X,X,O,O,X
TJIOSLZ,X,X,X,X,X,X,O,O,X
TJIOSZL,X,X,X,X,X,X,O,O,X
TJIOZLS,X,X,X,X,X,X,O,O,X
TJIOZSL,X,X,X,X,X,X,O,O,X
TJLISZO,X,O,X,X,X,X,X,O,X
TJLISOZ,X,O,X,X,X,X,X,O,X
TJLIZSO,X,O,X,X,X,X,X,O,X
TJLIZOS,X,O,X,X,X,X,X,O,X
TJLIOSZ,X,O,X,X,X,X,O,O,X
TJLIOZS,X,O,X,X,X,X,O,O,X
TJLSIZO,X,X,X,X,X,X,X,O,X
TJLSIOZ,X,X,X,X,X,X,O,O,X
TJLSZIO,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,O,X,X
TJLSOZI,X,X,O,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X,X,X
TJLZSIO,X,X,O,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,X,X,X,X
TJLZOIS,X,O,O,X,X,X,X,X,X
TJLZOSI,X,X,O,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,O,X,X
