sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TLOZJIS,O,X,O,X,X,X
TLOZJSI,O,X,O,X,X,X
TLOZSIJ,O,O,O,X,X,X
TLOZSJI,O,O,O,X,X,X
TJILSZO,X,O,X,O,X,X
TJILSOZ,X,O,X,O,X,X
TJILZSO,O,X,O,O,X,X
TJILZOS,O,X,O,O,X,X
TJILOSZ,X,O,X,O,X,X
TJILOZS,O,X,O,O,X,X
TJISLZO,X,X,O,O,X,O
TJISLOZ,X,X,O,O,X,X
TJISZLO,X,X,O,O,O,O
TJISZOL,X,X,O,O,O,O
TJISOLZ,X,X,O,O,X,X
TJISOZL,X,X,O,O,O,O
TJIZLSO,X,X,O,O,O,O
TJIZLOS,X,X,O,O,X,X
TJIZSLO,X,X,O,O,O,O
TJIZSOL,X,X,O,O,O,O
TJIZOLS,X,X,O,O,X,X
TJIZOSL,X,X,O,O,X,X
TJIOLSZ,X,O,X,O,X,X
TJIOLZS,O,X,O,O,X,X
TJIOSLZ,X,X,O,O,X,X
TJIOSZL,X,X,O,O,X,X
TJIOZLS,X,X,O,O,X,X
TJIOZSL,X,X,O,O,X,X
TJLISZO,X,O,X,O,X,X
TJLISOZ,X,O,X,O,X,X
TJLIZSO,O,X,O,O,X,X
TJLIZOS,O,X,O,O,X,X
TJLIOSZ,X,O,X,O,X,X
TJLIOZS,O,X,O,O,X,X
TJLSIZO,X,O,X,O,X,X
TJLSIOZ,X,O,X,O,X,X
TJLSZIO,X,O,X,O,X,X
TJLSZOI,X,O,X,O,X,X
TJLSOIZ,X,O,X,O,X,X
TJLSOZI,X,O,X,O,X,X
TJLZISO,O,X,O,O,X,X
TJLZIOS,O,X,O,O,X,X
TJLZSIO,O,X,O,O,X,X
TJLZSOI,O,X,O,O,X,X
TJLZOIS,O,X,O,O,X,X
TJLZOSI,O,X,O,O,X,X
TJLOISZ,X,O,X,O,X,X
TJLOIZS,O,X,O,O,X,X
TJLOSIZ,X,O,X,O,X,X
TJLOSZI,X,O,X,O,X,X
TJLOZIS,O,X,O,O,X,X
TJLOZSI,O,X,O,O,X,X
TJSILZO,X,X,O,O,X,O
TJSILOZ,X,X,O,O,X,X
TJSIZLO,X,X,O,O,O,O
TJSIZOL,X,X,O,O,O,O
TJSIOLZ,X,X,O,O,X,X
TJSIOZL,X,X,O,O,O,O
TJSLIZO,X,X,O,O,X,O
TJSLIOZ,X,X,O,O,X,X
TJSLZIO,X,X,O,O,X,O
TJSLZOI,X,X,O,O,X,O
TJSLOIZ,X,X,O,O,X,X
TJSLOZI,X,X,O,O,X,X
TJSZILO,X,X,O,O,O,O
TJSZIOL,X,X,O,O,O,O
TJSZLIO,X,X,O,O,O,O
TJSZLOI,X,X,O,O,O,O
TJSZOIL,X,X,O,O,O,O
TJSZOLI,X,X,O,O,O,O
TJSOILZ,X,X,O,O,X,X
TJSOIZL,X,X,O,O,O,O
TJSOLIZ,X,X,O,O,X,X
TJSOLZI,X,X,O,O,X,X
TJSOZIL,X,X,O,O,O,O
TJSOZLI,X,X,O,O,O,O
TJZILSO,X,X,O,O,O,O
TJZILOS,X,X,O,O,X,X
TJZISLO,X,X,O,O,O,O
TJZISOL,X,X,O,O,O,O
TJZIOLS,X,X,O,O,X,X
TJZIOSL,X,X,O,O,X,X
TJZLISO,X,X,O,O,O,O
TJZLIOS,X,X,O,O,X,X
TJZLSIO,X,X,O,O,O,O
TJZLSOI,X,X,O,O,O,O
TJZLOIS,X,X,O,O,X,X
TJZLOSI,X,X,O,O,X,X
TJZSILO,X,X,O,O,O,O
TJZSIOL,X,X,O,O,O,O
TJZSLIO,X,X,O,O,O,O
TJZSLOI,X,X,O,O,O,O
TJZSOIL,X,X,O,O,O,O
TJZSOLI,X,X,O,O,O,O
TJZOILS,X,X,O,O,X,X
TJZOISL,X,X,O,O,X,X
TJZOLIS,X,X,O,O,X,X
TJZOLSI,X,X,O,O,X,X
TJZOSIL,X,X,O,O,X,X
TJZOSLI,X,X,O,O,X,X
TJOILSZ,X,O,X,O,X,X
TJOILZS,O,X,O,O,X,X
TJOISLZ,X,X,O,O,X,X
TJOISZL,X,X,O,O,X,X
TJOIZLS,X,X,O,O,X,X
TJOIZSL,X,X,O,O,X,X
TJOLISZ,X,O,X,O,X,X
TJOLIZS,O,X,O,O,X,X
TJOLSIZ,X,O,X,O,X,X
TJOLSZI,X,O,X,O,X,X
TJOLZIS,O,X,O,O,X,X
TJOLZSI,O,X,O,O,X,X
TJOSILZ,X,X,O,O,X,X
TJOSIZL,X,X,O,O,X,X
TJOSLIZ,X,X,O,O,X,X
TJOSLZI,X,X,O,O,X,X
TJOSZIL,X,X,O,O,X,X
TJOSZLI,X,X,O,O,X,X
TJOZILS,X,X,O,O,X,X
TJOZISL,X,X,O,O,X,X
TJOZLIS,X,X,O,O,X,X
TJOZLSI,X,X,O,O,X,X
TJOZSIL,X,X,O,O,X,X
TJOZSLI,X,X,O,O,X,X
TSILJZO,X,O,O,O,X,O
TSILJOZ,X,O,O,O,X,X
TSILZJO,O,O,O,X,X,O
TSILZOJ,O,O,O,X,X,O
TSILOJZ,X,O,O,O,X,X
TSILOZJ,O,O,O,X,X,X
TSIJLZO,X,O,O,O,X,O
TSIJLOZ,X,O,O,O,X,X
TSIJZLO,X,X,O,O,O,O
TSIJZOL,X,X,O,O,O,O
TSIJOLZ,X,O,O,O,X,X
TSIJOZL,X,X,O,O,O,O
TSIZLJO,X,X,O,X,O,O
TSIZLOJ,X,X,O,X,X,O
TSIZJLO,X,X,O,O,O,O
TSIZJOL,X,X,O,O,O,O
TSIZOLJ,X,X,O,X,X,O
TSIZOJL,X,X,O,O,X,O
TSIOLJZ,X,O,O,O,X,X
TSIOLZJ,O,O,O,X,X,X
TSIOJLZ,X,O,O,O,X,X
TSIOJZL,X,X,O,O,X,O
TSIOZLJ,X,X,O,X,X,O
TSIOZJL,X,X,O,O,X,O
TSLIJZO,X,O,O,O,X,O
TSLIJOZ,X,O,O,O,X,X
TSLIZJO,O,O,O,X,X,O
TSLIZOJ,O,O,O,X,X,O
TSLIOJZ,X,O,O,O,X,X
TSLIOZJ,O,O,O,X,X,X
TSLJIZO,X,O,O,O,X,O
TSLJIOZ,X,O,O,O,X,X
TSLJZIO,X,O,O,O,X,O
TSLJZOI,X,O,O,O,X,O
TSLJOIZ,X,O,O,O,X,X
TSLJOZI,X,O,O,O,X,X
TSLZIJO,O,O,O,X,X,O
TSLZIOJ,O,O,O,X,X,O
TSLZJIO,O,O,O,X,X,O
TSLZJOI,O,O,O,X,X,O
TSLZOIJ,O,O,O,X,X,O
TSLZOJI,O,O,O,X,X,O
TSLOIJZ,X,O,O,O,X,X
TSLOIZJ,O,O,O,X,X,X
TSLOJIZ,X,O,O,O,X,X
TSLOJZI,X,O,O,O,X,X
TSLOZIJ,O,O,O,X,X,X
TSLOZJI,O,O,O,X,X,X
TSJILZO,X,O,O,O,X,O
TSJILOZ,X,O,O,O,X,X
TSJIZLO,X,X,O,O,O,O
TSJIZOL,X,X,O,O,O,O
TSJIOLZ,X,O,O,O,X,X
TSJIOZL,X,X,O,O,O,O
TSJLIZO,X,O,O,O,X,O
TSJLIOZ,X,O,O,O,X,X
TSJLZIO,X,O,O,O,X,O
TSJLZOI,X,O,O,O,X,O
TSJLOIZ,X,O,O,O,X,X
TSJLOZI,X,O,O,O,X,X
TSJZILO,X,X,O,O,O,O
TSJZIOL,X,X,O,O,O,O
TSJZLIO,X,X,O,O,O,O
TSJZLOI,X,X,O,O,O,O
TSJZOIL,X,X,O,O,O,O
TSJZOLI,X,X,O,O,O,O
