sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
IZJLSTO,O,X,X,X,O,X
IZJLSOT,O,X,X,X,O,X
IZJLOTS,O,X,X,X,X,X
IZJLOST,O,X,X,X,O,X
IZJSTLO,X,X,X,X,O,O
IZJSTOL,X,X,X,X,O,O
IZJSLTO,O,X,X,X,O,X
IZJSLOT,O,X,X,X,O,X
IZJSOTL,X,X,X,X,O,X
IZJSOLT,O,X,X,X,O,X
IZJOTLS,O,X,X,O,X,X
IZJOTSL,X,X,X,O,X,X
IZJOLTS,O,X,X,X,X,X
IZJOLST,O,X,X,X,O,X
IZJOSTL,X,X,X,X,O,X
IZJOSLT,O,X,X,X,O,X
IZSTLJO,X,X,O,X,O,O
IZSTLOJ,X,X,O,X,X,O
IZSTJLO,X,X,O,X,O,O
IZSTJOL,X,X,O,X,O,O
IZSTOLJ,X,X,O,X,X,O
IZSTOJL,X,X,O,X,X,O
IZSLTJO,O,O,O,X,O,O
IZSLTOJ,O,O,O,X,X,O
IZSLJTO,O,O,X,X,O,X
IZSLJOT,O,O,X,X,O,X
IZSLOTJ,O,O,X,X,X,X
IZSLOJT,O,O,X,X,O,X
IZSJTLO,X,X,X,X,O,O
IZSJTOL,X,X,X,X,O,O
IZSJLTO,O,O,X,X,O,X
IZSJLOT,O,O,X,X,O,X
IZSJOTL,X,X,X,X,O,X
IZSJOLT,O,O,X,X,O,X
IZSOTLJ,X,X,X,X,X,O
IZSOTJL,X,X,X,X,X,O
IZSOLTJ,O,O,X,X,X,X
IZSOLJT,O,O,X,X,O,X
IZSOJTL,X,X,X,X,O,X
IZSOJLT,O,O,X,X,O,X
IZOTLJS,O,X,O,X,X,X
IZOTLSJ,O,O,O,X,X,O
IZOTJLS,O,X,O,O,X,X
IZOTJSL,X,X,O,O,X,X
IZOTSLJ,X,X,O,X,X,O
IZOTSJL,X,X,O,O,X,O
IZOLTJS,O,X,O,X,X,X
IZOLTSJ,O,O,O,X,X,O
IZOLJTS,O,X,X,X,X,X
IZOLJST,O,X,X,X,O,X
IZOLSTJ,O,O,X,X,X,X
IZOLSJT,O,O,X,X,O,X
IZOJTLS,O,X,X,O,X,X
IZOJTSL,X,X,X,O,X,X
IZOJLTS,O,X,X,X,X,X
IZOJLST,O,X,X,X,O,X
IZOJSTL,X,X,X,X,O,X
IZOJSLT,O,X,X,X,O,X
IZOSTLJ,X,X,X,X,X,O
IZOSTJL,X,X,X,X,X,O
IZOSLTJ,O,O,X,X,X,X
IZOSLJT,O,O,X,X,O,X
IZOSJTL,X,X,X,X,O,X
IZOSJLT,O,O,X,X,O,X
IOTLJSZ,X,O,X,O,X,X
IOTLJZS,O,X,O,O,X,X
IOTLSJZ,X,O,O,O,X,X
IOTLSZJ,O,O,O,X,X,X
IOTLZJS,O,X,O,X,X,X
IOTLZSJ,O,O,O,X,X,X
IOTJLSZ,X,O,X,O,X,X
IOTJLZS,O,X,O,O,X,X
IOTJSLZ,X,X,O,O,X,X
IOTJSZL,X,X,O,O,X,X
IOTJZLS,X,X,O,O,X,X
IOTJZSL,X,X,O,O,X,X
IOTSLJZ,X,O,O,O,X,X
IOTSLZJ,O,O,O,X,X,X
IOTSJLZ,X,O,O,O,X,X
IOTSJZL,X,X,O,O,X,O
IOTSZLJ,X,X,O,X,X,O
IOTSZJL,X,X,O,O,X,O
IOTZLJS,O,X,O,X,X,X
IOTZLSJ,O,O,O,X,X,O
IOTZJLS,O,X,O,O,X,X
IOTZJSL,X,X,O,O,X,X
IOTZSLJ,X,X,O,X,X,O
IOTZSJL,X,X,O,O,X,O
IOLTJSZ,X,O,X,O,X,X
IOLTJZS,O,X,X,O,X,X
IOLTSJZ,X,O,X,O,X,X
IOLTSZJ,O,O,X,X,X,X
IOLTZJS,O,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,X,O,X,O,X,X
IOLJTZS,O,X,X,O,X,X
IOLJSTZ,X,O,X,X,X,X
IOLJSZT,X,O,X,X,X,X
IOLJZTS,O,X,X,X,X,X
IOLJZST,O,X,X,X,X,X
IOLSTJZ,X,O,X,X,X,X
IOLSTZJ,O,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,X
IOLSJZT,X,O,X,X,X,X
IOLSZTJ,O,O,X,X,X,X
IOLSZJT,O,O,X,X,X,X
IOLZTJS,O,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X
IOLZJTS,O,X,X,X,X,X
IOLZJST,O,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X
IOLZSJT,O,O,X,X,X,X
IOJTLSZ,X,O,X,O,X,X
IOJTLZS,O,X,X,O,X,X
IOJTSLZ,X,X,X,O,X,X
IOJTSZL,X,X,X,O,X,X
IOJTZLS,X,X,X,O,X,X
IOJTZSL,X,X,X,O,X,X
IOJLTSZ,X,O,X,O,X,X
IOJLTZS,O,X,X,O,X,X
IOJLSTZ,X,O,X,X,X,X
IOJLSZT,X,O,X,X,X,X
IOJLZTS,O,X,X,X,X,X
IOJLZST,O,X,X,X,X,X
IOJSTLZ,X,O,X,O,X,X
IOJSTZL,X,X,X,O,O,X
IOJSLTZ,X,O,X,X,X,X
IOJSLZT,X,O,X,X,O,X
IOJSZTL,X,X,X,X,O,X
IOJSZLT,X,O,X,X,O,X
IOJZTLS,O,X,X,O,X,X
IOJZTSL,X,X,X,O,X,X
IOJZLTS,O,X,X,X,X,X
IOJZLST,O,X,X,X,O,X
IOJZSTL,X,X,X,X,O,X
IOJZSLT,O,X,X,X,O,X
IOSTLJZ,X,O,X,O,X,X
IOSTLZJ,O,O,X,X,X,X
IOSTJLZ,X,O,X,O,X,X
IOSTJZL,X,X,X,O,X,O
IOSTZLJ,X,X,X,X,X,O
IOSTZJL,X,X,X,O,X,O
IOSLTJZ,X,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,X
IOSLJTZ,X,O,X,X,X,X
IOSLJZT,X,O,X,X,X,X
IOSLZTJ,O,O,X,X,X,X
IOSLZJT,O,O,X,X,X,X
IOSJTLZ,X,O,X,O,X,X
IOSJTZL,X,X,X,O,O,X
IOSJLTZ,X,O,X,X,X,X
IOSJLZT,X,O,X,X,O,X
IOSJZTL,X,X,X,X,O,X
IOSJZLT,X,O,X,X,O,X
IOSZTLJ,X,X,X,X,X,O
IOSZTJL,X,X,X,X,X,O
IOSZLTJ,O,O,X,X,X,X
IOSZLJT,O,O,X,X,O,X
IOSZJTL,X,X,X,X,O,X
IOSZJLT,O,O,X,X,O,X
IOZTLJS,O,X,O,X,X,X
IOZTLSJ,O,O,O,X,X,O
IOZTJLS,O,X,O,O,X,X
IOZTJSL,X,X,O,O,X,X
IOZTSLJ,X,X,O,X,X,O
IOZTSJL,X,X,O,O,X,O
IOZLTJS,O,X,O,X,X,X
IOZLTSJ,O,O,O,X,X,O
IOZLJTS,O,X,X,X,X,X
IOZLJST,O,X,X,X,O,X
IOZLSTJ,O,O,X,X,X,X
IOZLSJT,O,O,X,X,O,X
IOZJTLS,O,X,X,O,X,X
IOZJTSL,X,X,X,O,X,X
IOZJLTS,O,X,X,X,X,X
IOZJLST,O,X,X,X,O,X
IOZJSTL,X,X,X,X,O,X
IOZJSLT,O,X,X,X,O,X
IOZSTLJ,X,X,X,X,X,O
IOZSTJL,X,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X
IOZSLJT,O,O,X,X,O,X
IOZSJTL,X,X,X,X,O,X
IOZSJLT,O,O,X,X,O,X
LTIJSZO,X,O,X,O,X,X
LTIJSOZ,X,O,X,O,X,X
LTIJZSO,O,X,O,O,X,X
LTIJZOS,O,X,O,O,X,X
LTIJOSZ,X,O,X,O,X,X
LTIJOZS,O,X,O,O,X,X
LTISJZO,X,O,O,O,X,O
LTISJOZ,X,O,O,O,X,X
LTISZJO,O,O,O,X,X,O
LTISZOJ,O,O,O,X,X,O
LTISOJZ,X,O,O,O,X,X
LTISOZJ,O,O,O,X,X,X
LTIZJSO,O,X,O,X,X,O
LTIZJOS,O,X,O,X,X,X
LTIZSJO,O,O,O,X,X,O
LTIZSOJ,O,O,O,X,X,O
LTIZOJS,O,X,O,X,X,X
LTIZOSJ,O,O,O,X,X,O
LTIOJSZ,X,O,X,O,X,X
LTIOJZS,O,X,O,O,X,X
LTIOSJZ,X,O,O,O,X,X
LTIOSZJ,O,O,O,X,X,X
LTIOZJS,O,X,O,X,X,X
LTIOZSJ,O,O,O,X,X,X
LTJISZO,X,O,X,O,X,X
LTJISOZ,X,O,X,O,X,X
LTJIZSO,O,X,O,O,X,X
LTJIZOS,O,X,O,O,X,X
LTJIOSZ,X,O,X,O,X,X
LTJIOZS,O,X,O,O,X,X
LTJSIZO,X,O,X,O,X,X
LTJSIOZ,X,O,X,O,X,X
LTJSZIO,X,O,X,O,X,X
LTJSZOI,X,O,X,O,X,X
LTJSOIZ,X,O,X,O,X,X
LTJSOZI,X,O,X,O,X,X
LTJZISO,O,X,O,O,X,X
LTJZIOS,O,X,O,O,X,X
LTJZSIO,O,X,O,O,X,X
LTJZSOI,O,X,O,O,X,X
LTJZOIS,O,X,O,O,X,X
LTJZOSI,O,X,O,O,X,X
LTJOISZ,X,O,X,O,X,X
LTJOIZS,O,X,O,O,X,X
LTJOSIZ,X,O,X,O,X,X
LTJOSZI,X,O,X,O,X,X
LTJOZIS,O,X,O,O,X,X
LTJOZSI,O,X,O,O,X,X
LTSIJZO,X,O,O,O,X,O
LTSIJOZ,X,O,O,O,X,X
LTSIZJO,O,O,O,X,X,O
LTSIZOJ,O,O,O,X,X,O
LTSIOJZ,X,O,O,O,X,X
LTSIOZJ,O,O,O,X,X,X
LTSJIZO,X,O,O,O,X,O
LTSJIOZ,X,O,O,O,X,X
LTSJZIO,X,O,O,O,X,O
LTSJZOI,X,O,O,O,X,O
LTSJOIZ,X,O,O,O,X,X
LTSJOZI,X,O,O,O,X,X
LTSZIJO,O,O,O,X,X,O
LTSZIOJ,O,O,O,X,X,O
LTSZJIO,O,O,O,X,X,O
LTSZJOI,O,O,O,X,X,O
LTSZOIJ,O,O,O,X,X,O
LTSZOJI,O,O,O,X,X,O
LTSOIJZ,X,O,O,O,X,X
LTSOIZJ,O,O,O,X,X,X
LTSOJIZ,X,O,O,O,X,X
LTSOJZI,X,O,O,O,X,X
LTSOZIJ,O,O,O,X,X,X
LTSOZJI,O,O,O,X,X,X
LTZIJSO,O,X,O,X,X,O
LTZIJOS,O,X,O,X,X,X
LTZISJO,O,O,O,X,X,O
LTZISOJ,O,O,O,X,X,O
LTZIOJS,O,X,O,X,X,X
LTZIOSJ,O,O,O,X,X,O
LTZJISO,O,X,O,X,X,O
LTZJIOS,O,X,O,X,X,X
LTZJSIO,O,X,O,X,X,O
LTZJSOI,O,X,O,X,X,O
LTZJOIS,O,X,O,X,X,X
LTZJOSI,O,X,O,X,X,X
LTZSIJO,O,O,O,X,X,O
LTZSIOJ,O,O,O,X,X,O
LTZSJIO,O,O,O,X,X,O
LTZSJOI,O,O,O,X,X,O
LTZSOIJ,O,O,O,X,X,O
LTZSOJI,O,O,O,X,X,O
LTZOIJS,O,X,O,X,X,X
LTZOISJ,O,O,O,X,X,O
LTZOJIS,O,X,O,X,X,X
LTZOJSI,O,X,O,X,X,X
LTZOSIJ,O,O,O,X,X,O
LTZOSJI,O,O,O,X,X,O
LTOIJSZ,X,O,X,O,X,X
LTOIJZS,O,X,O,O,X,X
LTOISJZ,X,O,O,O,X,X
LTOISZJ,O,O,O,X,X,X
LTOIZJS,O,X,O,X,X,X
LTOIZSJ,O,O,O,X,X,X
LTOJISZ,X,O,X,O,X,X
LTOJIZS,O,X,O,O,X,X
LTOJSIZ,X,O,X,O,X,X
LTOJSZI,X,O,X,O,X,X
LTOJZIS,O,X,O,O,X,X
LTOJZSI,O,X,O,O,X,X
LTOSIJZ,X,O,O,O,X,X
LTOSIZJ,O,O,O,X,X,X
LTOSJIZ,X,O,O,O,X,X
LTOSJZI,X,O,O,O,X,X
LTOSZIJ,O,O,O,X,X,X
LTOSZJI,O,O,O,X,X,X
LTOZIJS,O,X,O,X,X,X
LTOZISJ,O,O,O,X,X,X
LTOZJIS,O,X,O,X,X,X
LTOZJSI,O,X,O,X,X,X
LTOZSIJ,O,O,O,X,X,X
LTOZSJI,O,O,O,X,X,X
LITJSZO,X,O,X,O,X,X
LITJSOZ,X,O,X,O,X,X
LITJZSO,O,X,O,O,X,X
LITJZOS,O,X,O,O,X,X
LITJOSZ,X,O,X,O,X,X
LITJOZS,O,X,O,O,X,X
LITSJZO,X,O,O,O,X,O
LITSJOZ,X,O,O,O,X,X
LITSZJO,O,O,O,X,X,O
LITSZOJ,O,O,O,X,X,O
LITSOJZ,X,O,O,O,X,X
LITSOZJ,O,O,O,X,X,X
LITZJSO,O,X,O,X,X,O
LITZJOS,O,X,O,X,X,X
LITZSJO,O,O,O,X,X,O
LITZSOJ,O,O,O,X,X,O
LITZOJS,O,X,O,X,X,X
LITZOSJ,O,O,O,X,X,O
LITOJSZ,X,O,X,O,X,X
LITOJZS,O,X,O,O,X,X
LITOSJZ,X,O,O,O,X,X
LITOSZJ,O,O,O,X,X,X
LITOZJS,O,X,O,X,X,X
LITOZSJ,O,O,O,X,X,X
LIJTSZO,X,O,X,O,X,X
LIJTSOZ,X,O,X,O,X,X
LIJTZSO,O,X,X,O,X,X
LIJTZOS,O,X,X,O,X,X
LIJTOSZ,X,O,X,O,X,X
LIJTOZS,O,X,X,O,X,X
LIJSTZO,X,O,X,X,X,X
LIJSTOZ,X,O,X,X,X,X
LIJSZTO,X,O,X,X,O,X
LIJSZOT,X,O,X,X,O,X
LIJSOTZ,X,O,X,X,X,X
LIJSOZT,X,O,X,X,O,X
LIJZTSO,O,X,X,X,O,X
LIJZTOS,O,X,X,X,X,X
LIJZSTO,O,X,X,X,O,X
LIJZSOT,O,X,X,X,O,X
LIJZOTS,O,X,X,X,X,X
LIJZOST,O,X,X,X,O,X
LIJOTSZ,X,O,X,O,X,X
LIJOTZS,O,X,X,O,X,X
LIJOSTZ,X,O,X,X,X,X
LIJOSZT,X,O,X,X,X,X
LIJOZTS,O,X,X,X,X,X
LIJOZST,O,X,X,X,X,X
LISTJZO,X,O,X,X,X,O
LISTJOZ,X,O,X,X,X,X
LISTZJO,O,O,X,X,X,O
LISTZOJ,O,O,X,X,X,O
LISTOJZ,X,O,X,X,X,X
LISTOZJ,O,O,X,X,X,X
LISJTZO,X,O,X,X,X,X
LISJTOZ,X,O,X,X,X,X
LISJZTO,X,O,X,X,O,X
LISJZOT,X,O,X,X,O,X
LISJOTZ,X,O,X,X,X,X
LISJOZT,X,O,X,X,O,X
LISZTJO,O,O,X,X,O,O
LISZTOJ,O,O,X,X,X,O
LISZJTO,O,O,X,X,O,X
LISZJOT,O,O,X,X,O,X
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,O,X,X,O,X
LISOTJZ,X,O,X,X,X,X
LISOTZJ,O,O,X,X,X,X
LISOJTZ,X,O,X,X,X,X
LISOJZT,X,O,X,X,X,X
LISOZTJ,O,O,X,X,X,X
LISOZJT,O,O,X,X,X,X
LIZTJSO,O,X,O,X,O,O
LIZTJOS,O,X,O,X,X,X
LIZTSJO,O,O,O,X,O,O
LIZTSOJ,O,O,O,X,X,O
LIZTOJS,O,X,O,X,X,X
LIZTOSJ,O,O,O,X,X,O
LIZJTSO,O,X,O,X,O,O
LIZJTOS,O,X,O,X,X,X
LIZJSTO,O,X,X,X,O,X
LIZJSOT,O,X,X,X,O,X
LIZJOTS,O,X,X,X,X,X
LIZJOST,O,X,X,X,O,X
LIZSTJO,O,O,O,X,O,O
LIZSTOJ,O,O,O,X,X,O
LIZSJTO,O,O,X,X,O,X
LIZSJOT,O,O,X,X,O,X
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,O,X,X,O,X
LIZOTJS,O,X,O,X,X,X
LIZOTSJ,O,O,O,X,X,O
LIZOJTS,O,X,X,X,X,X
LIZOJST,O,X,X,X,O,X
LIZOSTJ,O,O,X,X,X,X
LIZOSJT,O,O,X,X,O,X
LIOTJSZ,X,O,X,O,X,X
LIOTJZS,O,X,X,O,X,X
LIOTSJZ,X,O,X,O,X,X
LIOTSZJ,O,O,X,X,X,X
LIOTZJS,O,X,X,X,X,X
LIOTZSJ,O,O,X,X,X,X
LIOJTSZ,X,O,X,O,X,X
LIOJTZS,O,X,X,O,X,X
LIOJSTZ,X,O,X,X,X,X
LIOJSZT,X,O,X,X,X,X
LIOJZTS,O,X,X,X,X,X
LIOJZST,O,X,X,X,X,X
LIOSTJZ,X,O,X,X,X,X
LIOSTZJ,O,O,X,X,X,X
LIOSJTZ,X,O,X,X,X,X
LIOSJZT,X,O,X,X,X,X
LIOSZTJ,O,O,X,X,X,X
LIOSZJT,O,O,X,X,X,X
LIOZTJS,O,X,X,X,X,X
LIOZTSJ,O,O,X,X,X,X
LIOZJTS,O,X,X,X,X,X
LIOZJST,O,X,X,X,X,X
LIOZSTJ,O,O,X,X,X,X
LIOZSJT,O,O,X,X,X,X
LJTISZO,X,O,X,O,X,X
LJTISOZ,X,O,X,O,X,X
LJTIZSO,O,X,X,O,X,X
LJTIZOS,O,X,X,O,X,X
LJTIOSZ,X,O,X,O,X,X
LJTIOZS,O,X,X,O,X,X
LJTSIZO,X,O,X,O,X,X
LJTSIOZ,X,O,X,O,X,X
LJTSZIO,X,O,X,O,X,X
LJTSZOI,X,O,X,O,X,X
LJTSOIZ,X,O,X,O,X,X
LJTSOZI,X,O,X,O,X,X
LJTZISO,O,X,X,O,X,X
LJTZIOS,O,X,X,O,X,X
LJTZSIO,O,X,X,O,X,X
LJTZSOI,O,X,X,O,X,X
LJTZOIS,O,X,X,O,X,X
LJTZOSI,O,X,X,O,X,X
LJTOISZ,X,O,X,O,X,X
LJTOIZS,O,X,X,O,X,X
LJTOSIZ,X,O,X,O,X,X
LJTOSZI,X,O,X,O,X,X
LJTOZIS,O,X,X,O,X,X
LJTOZSI,O,X,X,O,X,X
LJITSZO,X,O,X,O,X,X
LJITSOZ,X,O,X,O,X,X
LJITZSO,O,X,X,O,X,X
LJITZOS,O,X,X,O,X,X
LJITOSZ,X,O,X,O,X,X
LJITOZS,O,X,X,O,X,X
LJISTZO,X,O,X,X,X,X
LJISTOZ,X,O,X,X,X,X
LJISZTO,X,O,X,X,O,X
LJISZOT,X,O,X,X,O,X
LJISOTZ,X,O,X,X,X,X
LJISOZT,X,O,X,X,O,X
LJIZTSO,O,X,X,X,O,X
LJIZTOS,O,X,X,X,X,X
LJIZSTO,O,X,X,X,O,X
LJIZSOT,O,X,X,X,O,X
LJIZOTS,O,X,X,X,X,X
LJIZOST,O,X,X,X,O,X
LJIOTSZ,X,O,X,O,X,X
LJIOTZS,O,X,X,O,X,X
LJIOSTZ,X,O,X,X,X,X
LJIOSZT,X,O,X,X,X,X
LJIOZTS,O,X,X,X,X,X
LJIOZST,O,X,X,X,X,X
LJSTIZO,X,O,X,X,X,X
LJSTIOZ,X,O,X,X,X,X
LJSTZIO,X,O,X,X,X,X
LJSTZOI,X,O,X,X,X,X
LJSTOIZ,X,O,X,X,X,X
LJSTOZI,X,O,X,X,X,X
LJSITZO,X,O,X,X,X,X
LJSITOZ,X,O,X,X,X,X
LJSIZTO,X,O,X,X,O,X
LJSIZOT,X,O,X,X,O,X
LJSIOTZ,X,O,X,X,X,X
LJSIOZT,X,O,X,X,O,X
LJSZTIO,X,O,X,X,O,X
LJSZTOI,X,O,X,X,O,X
LJSZITO,X,O,X,X,O,X
LJSZIOT,X,O,X,X,O,X
LJSZOTI,X,O,X,X,O,X
LJSZOIT,X,O,X,X,O,X
LJSOTIZ,X,O,X,X,X,X
LJSOTZI,X,O,X,X,X,X
LJSOITZ,X,O,X,X,X,X
LJSOIZT,X,O,X,X,O,X
LJSOZTI,X,O,X,X,O,X
LJSOZIT,X,O,X,X,O,X
LJZTISO,O,X,X,X,O,X
LJZTIOS,O,X,X,X,X,X
LJZTSIO,O,X,X,X,O,X
LJZTSOI,O,X,X,X,O,X
LJZTOIS,O,X,X,X,X,X
LJZTOSI,O,X,X,X,X,X
LJZITSO,O,X,X,X,O,X
LJZITOS,O,X,X,X,X,X
LJZISTO,O,X,X,X,O,X
LJZISOT,O,X,X,X,O,X
LJZIOTS,O,X,X,X,X,X
LJZIOST,O,X,X,X,O,X
LJZSTIO,O,X,X,X,O,X
LJZSTOI,O,X,X,X,O,X
LJZSITO,O,X,X,X,O,X
LJZSIOT,O,X,X,X,O,X
LJZSOTI,O,X,X,X,O,X
LJZSOIT,O,X,X,X,O,X
LJZOTIS,O,X,X,X,X,X
LJZOTSI,O,X,X,X,X,X
LJZOITS,O,X,X,X,X,X
LJZOIST,O,X,X,X,O,X
LJZOSTI,O,X,X,X,O,X
LJZOSIT,O,X,X,X,O,X
LJOTISZ,X,O,X,O,X,X
LJOTIZS,O,X,X,O,X,X
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,X,O,X,O,X,X
LJOTZIS,O,X,X,O,X,X
LJOTZSI,O,X,X,O,X,X
LJOITSZ,X,O,X,O,X,X
LJOITZS,O,X,X,O,X,X
LJOISTZ,X,O,X,X,X,X
LJOISZT,X,O,X,X,X,X
LJOIZTS,O,X,X,X,X,X
LJOIZST,O,X,X,X,X,X
LJOSTIZ,X,O,X,X,X,X
LJOSTZI,X,O,X,X,X,X
LJOSITZ,X,O,X,X,X,X
LJOSIZT,X,O,X,X,X,X
LJOSZTI,X,O,X,X,X,X
LJOSZIT,X,O,X,X,X,X
LJOZTIS,O,X,X,X,X,X
LJOZTSI,O,X,X,X,X,X
LJOZITS,O,X,X,X,X,X
LJOZIST,O,X,X,X,X,X
LJOZSTI,O,X,X,X,X,X
LJOZSIT,O,X,X,X,X,X
LSTIJZO,X,O,X,X,X,O
LSTIJOZ,X,O,X,X,X,X
LSTIZJO,O,O,X,X,X,O
LSTIZOJ,O,O,X,X,X,O
LSTIOJZ,X,O,X,X,X,X
LSTIOZJ,O,O,X,X,X,X
LSTJIZO,X,O,X,X,X,O
LSTJIOZ,X,O,X,X,X,X
LSTJZIO,X,O,X,X,X,O
LSTJZOI,X,O,X,X,X,O
LSTJOIZ,X,O,X,X,X,X
LSTJOZI,X,O,X,X,X,X
LSTZIJO,O,O,X,X,X,O
LSTZIOJ,O,O,X,X,X,O
LSTZJIO,O,O,X,X,X,O
LSTZJOI,O,O,X,X,X,O
LSTZOIJ,O,O,X,X,X,O
LSTZOJI,O,O,X,X,X,O
LSTOIJZ,X,O,X,X,X,X
LSTOIZJ,O,O,X,X,X,X
LSTOJIZ,X,O,X,X,X,X
LSTOJZI,X,O,X,X,X,X
LSTOZIJ,O,O,X,X,X,X
LSTOZJI,O,O,X,X,X,X
LSITJZO,X,O,X,X,X,O
LSITJOZ,X,O,X,X,X,X
LSITZJO,O,O,X,X,X,O
LSITZOJ,O,O,X,X,X,O
LSITOJZ,X,O,X,X,X,X
LSITOZJ,O,O,X,X,X,X
LSIJTZO,X,O,X,X,X,X
LSIJTOZ,X,O,X,X,X,X
LSIJZTO,X,O,X,X,O,X
LSIJZOT,X,O,X,X,O,X
LSIJOTZ,X,O,X,X,X,X
LSIJOZT,X,O,X,X,O,X
LSIZTJO,O,O,X,X,O,O
LSIZTOJ,O,O,X,X,X,O
LSIZJTO,O,O,X,X,O,X
LSIZJOT,O,O,X,X,O,X
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,O,X,X,O,X
LSIOTJZ,X,O,X,X,X,X
LSIOTZJ,O,O,X,X,X,X
LSIOJTZ,X,O,X,X,X,X
LSIOJZT,X,O,X,X,X,X
LSIOZTJ,O,O,X,X,X,X
LSIOZJT,O,O,X,X,X,X
LSJTIZO,X,O,X,X,X,X
LSJTIOZ,X,O,X,X,X,X
LSJTZIO,X,O,X,X,X,X
LSJTZOI,X,O,X,X,X,X
LSJTOIZ,X,O,X,X,X,X
LSJTOZI,X,O,X,X,X,X
LSJITZO,X,O,X,X,X,X
LSJITOZ,X,O,X,X,X,X
LSJIZTO,X,O,X,X,O,X
LSJIZOT,X,O,X,X,O,X
LSJIOTZ,X,O,X,X,X,X
LSJIOZT,X,O,X,X,O,X
LSJZTIO,X,O,X,X,O,X
LSJZTOI,X,O,X,X,O,X
LSJZITO,X,O,X,X,O,X
LSJZIOT,X,O,X,X,O,X
LSJZOTI,X,O,X,X,O,X
LSJZOIT,X,O,X,X,O,X
LSJOTIZ,X,O,X,X,X,X
LSJOTZI,X,O,X,X,X,X
LSJOITZ,X,O,X,X,X,X
LSJOIZT,X,O,X,X,O,X
LSJOZTI,X,O,X,X,O,X
LSJOZIT,X,O,X,X,O,X
LSZTIJO,O,O,X,X,O,O
LSZTIOJ,O,O,X,X,X,O
LSZTJIO,O,O,X,X,O,O
LSZTJOI,O,O,X,X,O,O
LSZTOIJ,O,O,X,X,X,O
LSZTOJI,O,O,X,X,X,O
LSZITJO,O,O,X,X,O,O
LSZITOJ,O,O,X,X,X,O
LSZIJTO,O,O,X,X,O,X
LSZIJOT,O,O,X,X,O,X
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,O,X,X,O,X
LSZJTIO,O,O,X,X,O,X
LSZJTOI,O,O,X,X,O,X
LSZJITO,O,O,X,X,O,X
LSZJIOT,O,O,X,X,O,X
LSZJOTI,O,O,X,X,O,X
LSZJOIT,O,O,X,X,O,X
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,O,X,X,O,X
LSZOJTI,O,O,X,X,O,X
LSZOJIT,O,O,X,X,O,X
LSOTIJZ,X,O,X,X,X,X
LSOTIZJ,O,O,X,X,X,X
LSOTJIZ,X,O,X,X,X,X
LSOTJZI,X,O,X,X,X,X
LSOTZIJ,O,O,X,X,X,X
LSOTZJI,O,O,X,X,X,X
LSOITJZ,X,O,X,X,X,X
LSOITZJ,O,O,X,X,X,X
LSOIJTZ,X,O,X,X,X,X
LSOIJZT,X,O,X,X,X,X
LSOIZTJ,O,O,X,X,X,X
LSOIZJT,O,O,X,X,X,X
LSOJTIZ,X,O,X,X,X,X
LSOJTZI,X,O,X,X,X,X
LSOJITZ,X,O,X,X,X,X
LSOJIZT,X,O,X,X,X,X
LSOJZTI,X,O,X,X,X,X
LSOJZIT,X,O,X,X,X,X
LSOZTIJ,O,O,X,X,X,X
LSOZTJI,O,O,X,X,X,X
LSOZITJ,O,O,X,X,X,X
LSOZIJT,O,O,X,X,X,X
LSOZJTI,O,O,X,X,X,X
LSOZJIT,O,O,X,X,X,X
LZTIJSO,O,X,O,X,O,O
LZTIJOS,O,X,O,X,X,X
LZTISJO,O,O,O,X,O,O
LZTISOJ,O,O,O,X,X,O
LZTIOJS,O,X,O,X,X,X
LZTIOSJ,O,O,O,X,X,O
LZTJISO,O,X,O,X,O,O
LZTJIOS,O,X,O,X,X,X
LZTJSIO,O,X,O,X,O,O
LZTJSOI,O,X,O,X,O,O
LZTJOIS,O,X,O,X,X,X
LZTJOSI,O,X,O,X,X,X
LZTSIJO,O,O,O,X,O,O
