sequence,v115@QhA8GeC8AeC8AeE8JeZEJvhFukBUhBFiBXjBTlBirB,v115@QhA8GeC8AeC8AeE8JeZEJvhFzfBFhBOnBXjBSqBcrB,v115@QhA8GeC8AeC8AeE8JecFJvhFxhBXjBTkBmmBFrBipB
TZOLSIJ,X,O,X
TZOLSJI,X,O,O
TZOJILS,X,O,O
TZOJISL,X,O,O
TZOJLIS,X,O,O
TZOJLSI,X,O,O
TZOJSIL,X,O,O
TZOJSLI,X,O,O
TZOSILJ,X,O,X
TZOSIJL,X,O,O
TZOSLIJ,X,O,X
TZOSLJI,X,O,O
TZOSJIL,X,O,O
TZOSJLI,X,O,O
TOILJSZ,O,X,X
TOILJZS,O,X,X
TOILSJZ,O,X,X
TOILSZJ,O,X,X
TOILZJS,O,X,X
TOILZSJ,O,X,X
TOIJLSZ,O,X,O
TOIJLZS,O,X,O
TOIJSLZ,O,X,O
TOIJSZL,O,X,O
TOIJZLS,O,X,O
TOIJZSL,O,X,O
TOISLJZ,O,X,O
TOISLZJ,O,X,X
TOISJLZ,O,X,O
TOISJZL,O,X,O
TOISZLJ,O,X,X
TOISZJL,O,X,O
TOIZLJS,O,X,X
TOIZLSJ,O,X,X
TOIZJLS,O,X,O
TOIZJSL,O,X,O
TOIZSLJ,O,X,X
TOIZSJL,O,X,O
TOLIJSZ,O,X,X
TOLIJZS,O,X,X
TOLISJZ,O,X,X
TOLISZJ,O,X,X
TOLIZJS,O,X,X
TOLIZSJ,O,X,X
TOLJISZ,O,X,O
TOLJIZS,O,X,O
TOLJSIZ,O,X,O
TOLJSZI,O,X,O
TOLJZIS,O,X,O
TOLJZSI,O,X,O
TOLSIJZ,O,X,O
TOLSIZJ,O,X,X
TOLSJIZ,O,X,O
TOLSJZI,O,X,O
TOLSZIJ,O,X,X
TOLSZJI,O,X,O
TOLZIJS,O,X,X
TOLZISJ,O,X,X
TOLZJIS,O,X,O
TOLZJSI,O,X,O
TOLZSIJ,O,X,X
TOLZSJI,O,X,O
TOJILSZ,O,X,O
TOJILZS,O,X,O
TOJISLZ,O,X,O
TOJISZL,O,X,O
TOJIZLS,O,X,O
TOJIZSL,O,X,O
TOJLISZ,O,X,O
TOJLIZS,O,X,O
TOJLSIZ,O,X,O
TOJLSZI,O,X,O
TOJLZIS,O,X,O
TOJLZSI,O,X,O
TOJSILZ,O,X,O
TOJSIZL,O,X,O
TOJSLIZ,O,X,O
TOJSLZI,O,X,O
TOJSZIL,O,X,O
TOJSZLI,O,X,O
TOJZILS,O,X,O
TOJZISL,O,X,O
TOJZLIS,O,X,O
TOJZLSI,O,X,O
TOJZSIL,O,X,O
