sequence,v115@EhC8HeB8HeC8BeB8CeB8Jem/IvhFRhBTkBUmBFnBXq?BSxB,v115@EhC8HeB8HeC8BeB8CeB8JeOEJvhFXgBVmBUiBzpBRr?BSxB,v115@EhC8HeB8HeC8BeB8CeB8Jex/IvhF8lBzhB/pBaqB+s?BlrB,v115@EhC8HeB8HeC8BeB8CeB8JeKEJvhFzfBRhBUmBGnBXq?BVxB,v115@EhC8HeB8HeC8BeB8CeB8Jex/IvhFVmBUiB/pBaqBGr?BTsB,v115@EhC8HeB8HeC8BeB8CeB8Jei/IvhFzhBRlB+sB3lB0p?BlrB,v115@EhC8HeB8HeC8BeB8CeB8JeyEJvhFfmBzmB+sBxpB0p?BlrB,v115@EhC8HeB8HeC8BeB8CeB8Je0/IvhF/pB1qBxmBurBTs?BiqB,v115@EhC8HeB8HeC8BeB8CeB8Jei/IvhFRhBFlBXmBTnB0p?BWxB,v115@EhC8HeB8HeC8BeB8CeB8JeKEJvhFRhBFlBXmB8rB+s?BzpB,v115@EhC8HeB8HeC8BeB8CeB8JeVHJvhFUmBxpBTsB/pBaq?BGrB,v115@EhC8HeB8HeC8BeB8CeB8JeUBJvhF/pBFlB6sBRrBmp?BzrB
TIJLSZO,X,O,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,O,X,X,X,X,X
TIJLZSO,X,O,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,O,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,O,X,X,X,O,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,O,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,O,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,O,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,O,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,O,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,O,X,X,X,X,X
TISLZJO,X,O,X,O,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,O,X,X,X,O,X,X,X,X
TISLOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,X,O,X,X,X,X,X
TISJZLO,X,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,O,X,X,X,O,X,X,X,X
TISJOLZ,X,X,X,O,X,X,O,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,X,X,O,X,X,X,X
TISZJLO,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,O,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,O,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,O,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,X,X,X,X,O,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,O,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,O,X,X,X,X
TISOZJL,X,O,X,X,X,X,X,O,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,X,X,O,X,X,X,X
TIZSJLO,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,O,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,O,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,O,X,X,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,X,X,X,X,O,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,O,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,O,X,X,O,X
TIOSZJL,X,O,X,X,X,X,X,O,X,X,O,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,O,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,X,X,O,X
TIOZSLJ,X,O,X,X,X,X,X,O,X,X,O,X
TIOZSJL,X,O,X,X,X,X,X,O,X,X,O,X
TLIJSZO,O,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,X,X,O,X,X
TLIJZOS,O,O,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X,X,O
TLISJOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X,X,X,X,O
TLISZOJ,O,O,X,O,X,X,X,O,X,X,X,O
TLISOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X,X,X,X,O
TLIZJSO,O,O,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,X,X,X,X,X,O
TLIZSOJ,O,O,X,O,X,X,X,X,X,X,X,O
TLIZOJS,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,X,X,O,X,X
TLJIZOS,O,O,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X,O,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,O,X,X
TLJSOIZ,O,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,X,X,X,X,O,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X,X,O,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,O,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X,X,O,X,X
TLJOISZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,O,X,X,X,X,X,O,X,X
TLSIJZO,O,X,X,O,X,X,X,X,X,X,X,O
TLSIJOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,O,X,X,X,X,X,X,X,O
TLSIZOJ,O,X,X,O,X,X,X,O,X,X,X,O
TLSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X,X,O
TLSJIZO,O,X,X,O,X,X,X,X,X,X,X,O
TLSJIOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X,O,X,O
TLSJZOI,O,X,X,O,X,X,X,X,X,O,X,X
TLSJOIZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,X,X,X,O
TLSZIOJ,O,X,X,O,X,X,X,O,X,X,X,O
TLSZJIO,O,X,X,O,X,X,X,X,X,X,X,O
TLSZJOI,O,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,X,X,O,X,X,X,O
TLSZOJI,O,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,O,X,X,X,O
TLSOJIZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,O,X,X,X,O
TLSOZJI,O,X,X,O,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,X,X,O,X,X
TLZJIOS,O,O,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,O,X,X,X,X,X,O,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X,O,X,X
TLZJOIS,O,O,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,O,X,X,X,X,X,O,X,X
TLZSIJO,O,X,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,O,X,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,O,X,X,X,X,X,O,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,O,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,X,O,X,X,X,X
TLOSZJI,O,X,X,O,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,X,X,X,X,X,X,X
TLOZISJ,O,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,O,O,X,O,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,O,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,O,X,O,O,X,X,X,X,X
TJILZSO,X,O,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,X,O,X,X,X,X,X,X
TJILOSZ,X,X,X,O,X,O,O,X,X,X,X,X
TJILOZS,X,X,X,O,X,O,X,X,X,X,X,X
TJISLZO,X,O,O,O,O,X,X,X,X,X,X,X
TJISLOZ,X,X,O,O,O,O,O,X,X,X,X,X
TJISZLO,X,O,O,O,O,X,X,X,X,X,X,X
TJISZOL,X,O,O,O,O,X,X,O,X,X,X,X
TJISOLZ,X,X,O,O,X,O,O,X,X,X,X,X
TJISOZL,X,O,O,X,O,X,X,X,X,X,X,X
TJIZLSO,X,O,X,O,O,O,X,X,X,X,X,X
TJIZLOS,X,X,O,O,X,O,X,X,X,X,X,X
TJIZSLO,X,O,O,O,O,O,X,X,X,X,X,X
TJIZSOL,X,O,O,O,O,O,X,X,X,X,X,X
TJIZOLS,X,X,O,O,X,O,X,X,X,X,X,X
TJIZOSL,X,O,O,O,O,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,O,O,X,X,X,X,X
TJIOLZS,X,X,X,O,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,O,O,X,O,O,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,O,O,X,O,X,X,X,X,X,X
TJIOZSL,X,O,O,O,O,O,X,X,X,X,X,X
TJLISZO,X,O,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,O,X,O,X,O,X,X,X,X,X,X
TJLIZSO,X,O,X,O,O,X,X,X,X,O,X,X
TJLIZOS,X,O,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,X,O,X,O,X,O,X,X,X,X,X,X
TJLIOZS,X,O,X,O,X,O,X,X,X,X,X,X
TJLSIZO,X,X,O,O,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,O,O,O,X,X,X,X,X,X,X
TJLSZIO,X,X,O,O,O,X,X,X,X,O,X,X
TJLSZOI,X,X,O,O,O,X,X,X,X,O,X,X
TJLSOIZ,X,X,O,O,O,X,X,X,X,X,X,X
TJLSOZI,X,X,O,O,O,X,X,X,X,X,X,X
TJLZISO,X,O,X,O,O,O,X,X,X,O,X,X
TJLZIOS,X,O,O,O,X,O,X,X,X,X,X,X
TJLZSIO,X,X,O,O,O,O,X,X,X,O,X,X
TJLZSOI,X,X,O,O,O,O,X,X,X,O,X,X
TJLZOIS,X,O,O,O,X,O,X,X,X,X,X,X
TJLZOSI,X,X,O,O,X,O,X,X,X,O,X,X
TJLOISZ,X,O,X,O,X,O,X,X,X,X,X,X
TJLOIZS,X,O,X,O,X,O,X,X,X,X,X,X
TJLOSIZ,X,O,O,O,X,X,X,X,X,X,X,X
TJLOSZI,X,X,O,O,X,X,X,X,X,X,X,X
TJLOZIS,X,O,O,O,X,O,X,X,X,X,X,X
TJLOZSI,X,X,O,O,X,O,X,X,X,O,X,X
TJSILZO,X,X,O,O,O,X,X,X,O,X,X,X
TJSILOZ,X,X,O,O,O,O,O,X,O,X,X,X
TJSIZLO,X,X,O,O,O,X,X,X,O,X,X,X
TJSIZOL,X,X,O,O,O,X,X,O,O,X,X,X
TJSIOLZ,X,X,O,O,X,O,O,X,O,X,X,X
TJSIOZL,X,X,O,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,O,O,O,X,X,X,O,X,X,X
TJSLIOZ,X,X,O,O,O,X,X,X,O,X,X,X
TJSLZIO,X,X,O,O,O,X,X,X,O,X,X,X
TJSLZOI,X,X,O,O,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,O,O,X,X,X,O,X,X,X
TJSLOZI,X,X,O,O,O,X,X,X,X,X,X,X
TJSZILO,X,X,O,O,O,O,X,X,O,X,X,X
TJSZIOL,X,X,O,O,O,O,X,O,O,X,X,X
TJSZLIO,X,X,O,O,O,O,X,X,O,X,X,X
TJSZLOI,X,X,O,O,O,O,X,X,O,X,X,X
TJSZOIL,X,X,O,O,O,O,X,O,O,X,X,X
TJSZOLI,X,X,O,O,O,O,X,X,O,X,X,X
TJSOILZ,X,X,O,O,X,O,O,X,O,X,X,X
TJSOIZL,X,X,O,X,O,X,X,O,X,X,X,X
TJSOLIZ,X,X,O,O,O,X,X,X,O,X,X,X
TJSOLZI,X,X,O,O,O,X,X,X,X,X,X,X
TJSOZIL,X,X,O,O,O,O,X,O,X,X,X,X
TJSOZLI,X,X,O,O,O,O,X,X,X,X,X,X
TJZILSO,X,X,X,O,O,O,X,X,O,O,X,X
TJZILOS,X,X,O,O,X,O,X,X,O,X,X,X
TJZISLO,X,X,O,O,O,O,X,X,O,O,X,X
TJZISOL,X,X,O,O,O,O,X,X,O,X,X,X
TJZIOLS,X,X,O,O,X,O,X,X,O,X,X,X
TJZIOSL,X,X,O,O,O,O,X,X,X,X,X,X
TJZLISO,X,X,X,O,O,O,X,X,O,O,X,X
TJZLIOS,X,X,O,O,X,O,X,X,O,X,X,X
TJZLSIO,X,X,O,O,O,O,X,X,O,O,X,X
TJZLSOI,X,X,O,O,O,O,X,X,O,O,X,X
TJZLOIS,X,X,O,O,X,O,X,X,O,X,X,X
TJZLOSI,X,X,O,O,X,O,X,X,O,O,X,X
TJZSILO,X,X,O,O,O,O,X,X,O,O,X,X
TJZSIOL,X,X,O,O,O,O,X,X,O,X,X,X
TJZSLIO,X,X,O,O,O,O,X,X,O,O,X,X
TJZSLOI,X,X,O,O,O,O,X,X,O,O,X,X
TJZSOIL,X,X,O,O,O,O,X,X,O,X,X,X
TJZSOLI,X,X,O,O,O,O,X,X,O,X,X,X
TJZOILS,X,X,O,O,X,O,X,X,O,X,X,X
TJZOISL,X,X,O,O,O,O,X,X,X,X,X,X
TJZOLIS,X,X,O,O,X,O,X,X,O,X,X,X
TJZOLSI,X,X,O,O,X,O,X,X,O,X,X,X
TJZOSIL,X,X,O,O,O,O,X,X,O,X,X,X
TJZOSLI,X,X,O,O,O,O,X,X,O,X,X,X
TJOILSZ,X,O,X,O,X,O,O,X,X,X,X,X
TJOILZS,X,O,X,O,X,O,X,X,X,X,X,X
TJOISLZ,X,O,O,O,X,O,O,X,X,X,X,X
TJOISZL,X,O,O,X,X,X,X,O,X,X,X,X
TJOIZLS,X,O,O,O,X,O,X,X,X,X,X,X
TJOIZSL,X,O,O,O,O,O,X,X,X,X,X,X
TJOLISZ,X,O,X,O,X,O,X,X,X,X,X,X
TJOLIZS,X,O,X,O,X,O,X,X,X,X,X,X
TJOLSIZ,X,O,O,O,X,X,X,X,X,X,X,X
TJOLSZI,X,X,O,O,X,X,X,X,X,X,X,X
TJOLZIS,X,O,O,O,X,O,X,X,X,X,X,X
TJOLZSI,X,X,O,O,X,O,X,X,X,X,X,X
TJOSILZ,X,O,O,O,X,O,O,X,X,X,X,X
TJOSIZL,X,O,O,X,O,X,X,O,X,X,X,X
TJOSLIZ,X,O,O,O,O,X,X,X,X,X,X,X
TJOSLZI,X,X,O,O,O,X,X,X,X,X,X,X
TJOSZIL,X,X,O,O,O,O,X,O,X,X,X,X
TJOSZLI,X,X,O,O,O,O,X,X,X,X,X,X
TJOZILS,X,X,O,O,X,O,X,X,X,X,X,X
TJOZISL,X,X,O,O,O,O,X,X,X,X,X,X
TJOZLIS,X,X,O,O,X,O,X,X,X,X,X,X
TJOZLSI,X,X,O,O,X,O,X,X,X,X,X,X
TJOZSIL,X,X,O,O,O,O,X,X,X,X,X,X
TJOZSLI,X,X,O,O,O,O,X,X,X,X,X,X
TSILJZO,X,X,X,O,X,X,X,X,O,X,X,O
TSILJOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSILZJO,X,X,X,O,X,X,X,X,O,X,X,O
TSILZOJ,X,X,X,O,X,X,X,O,X,X,X,O
TSILOJZ,X,X,X,O,X,X,X,X,O,X,X,X
TSILOZJ,X,X,X,O,X,X,X,X,X,X,X,O
TSIJLZO,X,X,X,O,O,X,X,X,O,X,X,X
TSIJLOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSIJZLO,X,X,O,O,O,X,X,X,X,X,X,X
TSIJZOL,X,X,O,O,O,X,X,O,X,X,X,X
TSIJOLZ,X,X,X,O,X,X,O,X,X,X,X,X
TSIJOZL,X,X,X,X,O,X,X,X,X,X,X,X
TSIZLJO,X,X,X,O,X,X,X,X,O,X,X,O
TSIZLOJ,X,X,X,O,X,X,X,O,O,X,X,O
TSIZJLO,X,X,O,O,X,X,X,X,O,X,X,X
TSIZJOL,X,X,O,X,X,X,X,O,X,X,X,X
TSIZOLJ,X,X,X,O,X,X,X,O,O,X,X,X
TSIZOJL,X,X,X,X,X,X,X,O,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,X,X,O,X,X,X
TSIOLZJ,X,X,X,X,X,X,X,O,X,X,X,X
TSIOJLZ,X,X,X,X,O,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,O,X,X,O,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,O,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,O,X,X,X,X
TSLIJZO,O,X,O,O,O,X,X,X,O,X,X,O
TSLIJOZ,O,X,X,O,O,X,X,X,O,X,X,X
TSLIZJO,O,X,O,O,X,X,X,X,O,X,X,O
TSLIZOJ,O,X,X,O,X,X,X,O,X,X,X,O
TSLIOJZ,O,X,X,O,O,X,X,X,O,X,X,X
TSLIOZJ,O,X,X,O,X,X,X,X,X,X,X,O
TSLJIZO,O,X,O,O,O,X,X,X,O,X,X,O
TSLJIOZ,O,X,O,O,O,X,X,X,O,X,X,X
TSLJZIO,O,X,O,O,O,X,X,X,X,X,X,O
TSLJZOI,O,X,O,O,O,X,X,X,X,X,X,X
TSLJOIZ,O,X,O,O,O,X,X,X,X,X,X,X
TSLJOZI,O,X,O,O,O,X,X,X,X,X,X,X
TSLZIJO,O,X,O,O,X,X,X,X,O,X,X,O
TSLZIOJ,O,X,X,O,X,X,X,O,X,X,X,O
