sequence,v115@OhA8HeE8CeF8Je0/IvhFxgBXiBTjB2pBVrBSvB,v115@OhA8HeE8CeF8JeFBJvhFXiBTjBxkBmkB0pBCrB,v115@OhA8HeE8CeF8JeKEJvhFclBxhBTjBlmB3qBupB,v115@OhA8HeE8CeF8Jei/IvhFXiBTjBRlBGmB0pBlqB,v115@OhA8HeE8CeF8Jei/IvhFFhBXiBTjB0pBxqBGqB,v115@OhA8HeE8CeF8JeKEJvhFUgBFhBXiBTjBxqBWvB
TISZLOJ,X,X,O,O,O,O
TISZJLO,O,X,O,O,O,X
TISZJOL,O,X,O,O,O,X
TISZOLJ,X,X,O,O,O,O
TISZOJL,O,X,O,O,O,X
TISOLJZ,O,X,O,O,X,O
TISOLZJ,X,X,O,O,O,O
TISOJLZ,O,X,O,O,X,O
TISOJZL,O,X,O,X,O,X
TISOZLJ,X,X,O,O,O,O
TISOZJL,O,X,O,O,O,X
TIZLJSO,X,X,X,O,O,O
TIZLJOS,X,X,X,O,O,O
TIZLSJO,X,X,O,O,O,O
TIZLSOJ,X,X,O,O,O,O
TIZLOJS,X,X,X,O,O,O
TIZLOSJ,X,X,O,O,O,O
TIZJLSO,O,X,X,O,O,X
TIZJLOS,O,X,X,O,O,X
TIZJSLO,O,X,X,O,O,X
TIZJSOL,O,X,X,O,O,X
TIZJOLS,O,X,X,O,O,X
TIZJOSL,O,X,X,O,O,X
TIZSLJO,X,X,O,O,O,O
TIZSLOJ,X,X,O,O,O,O
TIZSJLO,O,X,O,O,O,X
TIZSJOL,O,X,O,O,O,X
TIZSOLJ,X,X,O,O,O,O
TIZSOJL,O,X,O,O,O,X
TIZOLJS,X,X,X,O,O,O
TIZOLSJ,X,X,O,O,O,O
TIZOJLS,O,X,X,O,O,X
TIZOJSL,O,X,X,O,O,X
TIZOSLJ,X,X,O,O,O,O
TIZOSJL,O,X,O,O,O,X
TIOLJSZ,O,X,O,O,X,O
TIOLJZS,O,X,X,X,X,O
TIOLSJZ,O,X,O,O,X,O
TIOLSZJ,X,X,O,O,O,O
TIOLZJS,X,X,X,X,O,O
TIOLZSJ,X,X,O,O,O,O
TIOJLSZ,O,X,O,O,X,O
TIOJLZS,O,X,X,X,X,O
TIOJSLZ,O,X,O,O,X,O
TIOJSZL,O,X,O,X,O,X
TIOJZLS,O,X,X,X,O,X
TIOJZSL,O,X,X,X,O,X
TIOSLJZ,O,X,O,O,X,O
TIOSLZJ,X,X,O,O,O,O
TIOSJLZ,O,X,O,O,X,O
TIOSJZL,O,X,O,X,O,X
TIOSZLJ,X,X,O,O,O,O
TIOSZJL,O,X,O,O,O,X
TIOZLJS,X,X,X,O,O,O
TIOZLSJ,X,X,O,O,O,O
TIOZJLS,O,X,X,O,O,X
TIOZJSL,O,X,X,O,O,X
TIOZSLJ,X,X,O,O,O,O
TIOZSJL,O,X,O,O,O,X
TLIJSZO,O,X,O,X,X,O
TLIJSOZ,O,O,O,O,X,O
TLIJZSO,O,X,X,X,X,O
TLIJZOS,O,X,X,X,X,O
TLIJOSZ,O,O,O,O,X,O
TLIJOZS,O,X,X,X,X,O
TLISJZO,O,X,O,X,X,O
TLISJOZ,O,O,O,O,X,O
TLISZJO,X,O,O,X,X,O
TLISZOJ,X,O,O,O,X,O
TLISOJZ,O,O,O,O,X,O
TLISOZJ,X,O,O,O,X,O
TLIZJSO,X,O,X,X,X,O
TLIZJOS,X,O,X,X,X,O
TLIZSJO,X,O,O,X,X,O
TLIZSOJ,X,O,O,O,X,O
TLIZOJS,X,O,X,X,X,O
TLIZOSJ,X,O,O,O,X,O
TLIOJSZ,O,O,O,O,X,O
TLIOJZS,O,X,X,X,X,O
TLIOSJZ,O,O,O,O,X,O
TLIOSZJ,X,O,O,O,X,O
TLIOZJS,X,O,X,X,X,O
TLIOZSJ,X,O,O,O,X,O
TLJISZO,O,X,O,X,X,X
TLJISOZ,O,O,O,X,X,X
TLJIZSO,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X
TLJIOSZ,O,O,O,X,X,X
TLJIOZS,O,X,X,X,X,X
TLJSIZO,O,X,O,X,X,X
TLJSIOZ,O,O,O,X,X,X
TLJSZIO,O,O,O,X,X,X
TLJSZOI,O,O,O,X,X,X
TLJSOIZ,O,O,O,X,X,X
TLJSOZI,O,O,O,X,X,X
TLJZISO,O,O,X,X,X,X
TLJZIOS,O,O,X,X,X,X
TLJZSIO,O,O,X,X,X,X
TLJZSOI,O,O,X,X,X,X
TLJZOIS,O,O,X,X,X,X
TLJZOSI,O,O,X,X,X,X
TLJOISZ,O,O,O,X,X,X
TLJOIZS,O,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X
TLJOSZI,O,O,O,X,X,X
TLJOZIS,O,O,X,X,X,X
TLJOZSI,O,O,X,X,X,X
TLSIJZO,O,X,O,X,X,O
TLSIJOZ,O,O,O,O,X,O
TLSIZJO,X,O,O,X,X,O
TLSIZOJ,X,O,O,O,X,O
TLSIOJZ,O,O,O,O,X,O
TLSIOZJ,X,O,O,O,X,O
TLSJIZO,O,X,O,X,X,O
TLSJIOZ,O,O,O,X,X,O
TLSJZIO,O,O,O,X,X,X
TLSJZOI,O,O,O,X,X,X
TLSJOIZ,O,O,O,X,X,O
TLSJOZI,O,O,O,X,X,X
TLSZIJO,X,O,O,O,X,O
TLSZIOJ,X,O,O,O,X,O
TLSZJIO,X,O,O,X,X,X
TLSZJOI,X,O,O,X,X,X
TLSZOIJ,X,O,O,O,X,O
TLSZOJI,X,O,O,X,X,X
TLSOIJZ,O,O,O,O,X,O
TLSOIZJ,X,O,O,O,X,O
TLSOJIZ,O,O,O,X,X,O
TLSOJZI,O,O,O,X,X,X
TLSOZIJ,X,O,O,O,X,O
TLSOZJI,X,O,O,X,X,X
TLZIJSO,X,O,X,O,X,X
TLZIJOS,X,O,X,O,X,X
TLZISJO,X,O,O,O,X,X
TLZISOJ,X,O,O,O,X,X
TLZIOJS,X,O,X,O,X,X
TLZIOSJ,X,O,O,O,X,X
TLZJISO,X,O,X,O,X,X
TLZJIOS,X,O,X,O,X,X
TLZJSIO,X,O,X,X,X,X
TLZJSOI,X,O,X,X,X,X
TLZJOIS,X,O,X,O,X,X
TLZJOSI,X,O,X,X,X,X
TLZSIJO,X,O,O,O,X,X
TLZSIOJ,X,O,O,O,X,X
TLZSJIO,X,O,O,X,X,X
TLZSJOI,X,O,O,X,X,X
TLZSOIJ,X,O,O,O,X,X
TLZSOJI,X,O,O,X,X,X
TLZOIJS,X,O,X,O,X,X
TLZOISJ,X,O,O,O,X,X
TLZOJIS,X,O,X,O,X,X
TLZOJSI,X,O,X,X,X,X
TLZOSIJ,X,O,O,O,X,X
TLZOSJI,X,O,O,X,X,X
TLOIJSZ,O,O,O,O,X,O
TLOIJZS,O,X,X,X,X,O
TLOISJZ,O,O,O,O,X,O
TLOISZJ,X,O,O,O,X,O
TLOIZJS,X,O,X,X,X,O
TLOIZSJ,X,O,O,O,X,O
TLOJISZ,O,O,O,X,X,X
TLOJIZS,O,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X
TLOJSZI,O,O,O,X,X,X
TLOJZIS,O,O,X,X,X,X
TLOJZSI,O,O,X,X,X,X
TLOSIJZ,O,O,O,O,X,O
TLOSIZJ,X,O,O,O,X,O
TLOSJIZ,O,O,O,X,X,O
TLOSJZI,O,O,O,X,X,X
TLOSZIJ,X,O,O,O,X,O
TLOSZJI,X,O,O,X,X,X
TLOZIJS,X,O,X,O,X,X
TLOZISJ,X,O,O,O,X,X
TLOZJIS,X,O,X,O,X,X
TLOZJSI,X,O,X,X,X,X
TLOZSIJ,X,O,O,O,X,X
TLOZSJI,X,O,O,X,X,X
TJILSZO,O,X,O,X,X,X
TJILSOZ,O,X,O,O,X,X
TJILZSO,O,X,X,X,X,X
TJILZOS,O,X,X,X,X,X
TJILOSZ,O,X,O,O,X,X
TJILOZS,O,X,X,X,X,X
TJISLZO,O,X,O,X,X,X
TJISLOZ,O,X,O,O,X,X
TJISZLO,O,X,O,X,X,X
TJISZOL,O,X,O,X,X,X
TJISOLZ,O,X,O,O,X,X
TJISOZL,O,X,O,X,X,X
TJIZLSO,O,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X
TJIOLSZ,O,X,O,O,X,X
TJIOLZS,O,X,X,X,X,X
TJIOSLZ,O,X,O,O,X,X
TJIOSZL,O,X,O,X,X,X
TJIOZLS,O,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X
TJLISZO,O,X,O,X,X,X
TJLISOZ,O,X,O,X,X,X
TJLIZSO,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,X
TJLIOZS,O,X,X,X,X,X
TJLSIZO,O,X,O,X,X,X
TJLSIOZ,O,X,O,X,X,X
TJLSZIO,O,X,O,X,X,X
TJLSZOI,O,X,O,X,X,X
TJLSOIZ,O,X,O,X,X,X
TJLSOZI,O,X,O,X,X,X
TJLZISO,O,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X
TJLZOIS,O,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X
TJLOISZ,O,X,O,X,X,X
TJLOIZS,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X
TJLOSZI,O,X,O,X,X,X
TJLOZIS,O,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X
TJSILZO,O,X,O,X,X,X
TJSILOZ,O,X,O,O,X,X
TJSIZLO,O,X,O,X,X,X
TJSIZOL,O,X,O,X,X,X
TJSIOLZ,O,X,O,O,X,X
TJSIOZL,O,X,O,X,X,X
TJSLIZO,O,X,O,X,X,X
TJSLIOZ,O,X,O,X,X,X
TJSLZIO,O,X,O,X,X,X
TJSLZOI,O,X,O,X,X,X
TJSLOIZ,O,X,O,X,X,X
TJSLOZI,O,X,O,X,X,X
TJSZILO,O,X,O,O,X,X
TJSZIOL,O,X,O,O,X,X
TJSZLIO,O,X,O,X,X,X
TJSZLOI,O,X,O,X,X,X
TJSZOIL,O,X,O,O,X,X
TJSZOLI,O,X,O,X,X,X
TJSOILZ,O,X,O,O,X,X
TJSOIZL,O,X,O,X,X,X
TJSOLIZ,O,X,O,X,X,X
TJSOLZI,O,X,O,X,X,X
TJSOZIL,O,X,O,O,X,X
TJSOZLI,O,X,O,X,X,X
TJZILSO,O,X,X,O,X,X
TJZILOS,O,X,X,O,X,X
TJZISLO,O,X,X,O,X,X
TJZISOL,O,X,X,O,X,X
TJZIOLS,O,X,X,O,X,X
TJZIOSL,O,X,X,O,X,X
TJZLISO,O,X,X,O,X,X
TJZLIOS,O,X,X,O,X,X
TJZLSIO,O,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X
TJZLOIS,O,X,X,O,X,X
TJZLOSI,O,X,X,X,X,X
TJZSILO,O,X,X,O,X,X
TJZSIOL,O,X,X,O,X,X
TJZSLIO,O,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X
TJZSOIL,O,X,X,O,X,X
TJZSOLI,O,X,X,X,X,X
TJZOILS,O,X,X,O,X,X
TJZOISL,O,X,X,O,X,X
TJZOLIS,O,X,X,O,X,X
TJZOLSI,O,X,X,X,X,X
TJZOSIL,O,X,X,O,X,X
TJZOSLI,O,X,X,X,X,X
TJOILSZ,O,X,O,O,X,X
TJOILZS,O,X,X,X,X,X
TJOISLZ,O,X,O,O,X,X
TJOISZL,O,X,O,X,X,X
TJOIZLS,O,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X
TJOLISZ,O,X,O,X,X,X
TJOLIZS,O,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X
TJOLSZI,O,X,O,X,X,X
TJOLZIS,O,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X
TJOSILZ,O,X,O,O,X,X
TJOSIZL,O,X,O,X,X,X
TJOSLIZ,O,X,O,X,X,X
TJOSLZI,O,X,O,X,X,X
TJOSZIL,O,X,O,O,X,X
TJOSZLI,O,X,O,X,X,X
TJOZILS,O,X,X,O,X,X
TJOZISL,O,X,X,O,X,X
TJOZLIS,O,X,X,O,X,X
TJOZLSI,O,X,X,X,X,X
TJOZSIL,O,X,X,O,X,X
TJOZSLI,O,X,X,X,X,X
TSILJZO,O,X,O,X,X,O
TSILJOZ,O,O,O,O,X,O
TSILZJO,X,O,O,X,O,O
TSILZOJ,X,O,O,O,O,O
TSILOJZ,O,O,O,O,X,O
TSILOZJ,X,O,O,O,O,O
TSIJLZO,O,X,O,X,X,O
TSIJLOZ,O,X,O,O,X,O
TSIJZLO,O,X,O,X,O,X
TSIJZOL,O,X,O,X,O,X
TSIJOLZ,O,X,O,O,X,O
TSIJOZL,O,X,O,X,O,X
TSIZLJO,X,X,O,O,O,O
TSIZLOJ,X,O,O,O,O,O
TSIZJLO,O,X,O,O,O,X
TSIZJOL,O,O,O,O,O,X
TSIZOLJ,X,O,O,O,O,O
TSIZOJL,O,O,O,O,O,X
TSIOLJZ,O,O,O,O,X,O
TSIOLZJ,X,O,O,O,O,O
TSIOJLZ,O,X,O,O,X,O
TSIOJZL,O,X,O,X,O,X
TSIOZLJ,X,O,O,O,O,O
TSIOZJL,O,O,O,O,O,X
TSLIJZO,O,X,O,X,X,O
TSLIJOZ,O,O,O,O,X,O
TSLIZJO,X,O,O,X,O,O
TSLIZOJ,X,O,O,O,O,O
TSLIOJZ,O,O,O,O,X,O
TSLIOZJ,X,O,O,O,O,O
TSLJIZO,O,X,O,X,X,O
TSLJIOZ,O,O,O,X,X,O
TSLJZIO,O,O,O,X,X,X
TSLJZOI,O,O,O,X,X,X
TSLJOIZ,O,O,O,X,X,O
TSLJOZI,O,O,O,X,X,X
TSLZIJO,X,O,O,O,O,O
TSLZIOJ,X,O,O,O,O,O
TSLZJIO,X,O,O,X,X,X
TSLZJOI,X,O,O,X,O,X
TSLZOIJ,X,O,O,O,O,O
TSLZOJI,X,O,O,X,O,X
TSLOIJZ,O,O,O,O,X,O
TSLOIZJ,X,O,O,O,O,O
TSLOJIZ,O,O,O,X,X,O
TSLOJZI,O,O,O,X,X,X
TSLOZIJ,X,O,O,O,O,O
TSLOZJI,X,O,O,X,O,X
TSJILZO,O,X,O,X,X,O
TSJILOZ,O,X,O,O,X,O
TSJIZLO,O,X,O,X,O,X
TSJIZOL,O,X,O,X,O,X
TSJIOLZ,O,X,O,O,X,O
TSJIOZL,O,X,O,X,O,X
TSJLIZO,O,X,O,X,X,O
TSJLIOZ,O,O,O,X,X,O
TSJLZIO,O,O,O,X,X,X
TSJLZOI,O,O,O,X,X,X
TSJLOIZ,O,O,O,X,X,O
TSJLOZI,O,O,O,X,X,X
TSJZILO,O,X,O,O,O,X
TSJZIOL,O,O,O,O,O,X
TSJZLIO,O,X,O,X,X,X
TSJZLOI,O,X,O,X,O,X
TSJZOIL,O,O,O,O,O,X
TSJZOLI,O,X,O,X,O,X
TSJOILZ,O,X,O,O,X,O
TSJOIZL,O,X,O,X,O,X
TSJOLIZ,O,O,O,X,X,O
TSJOLZI,O,O,O,X,X,X
TSJOZIL,O,O,O,O,O,X
TSJOZLI,O,X,O,X,O,X
TSZILJO,X,O,O,O,O,O
TSZILOJ,X,O,O,O,O,O
TSZIJLO,O,X,O,O,O,X
TSZIJOL,O,O,O,O,O,X
TSZIOLJ,X,O,O,O,O,O
TSZIOJL,O,O,O,O,O,X
TSZLIJO,X,O,O,O,O,O
TSZLIOJ,X,O,O,O,O,O
TSZLJIO,X,O,O,X,X,X
TSZLJOI,X,O,O,X,O,X
TSZLOIJ,X,O,O,O,O,O
TSZLOJI,X,O,O,X,O,X
TSZJILO,O,X,O,O,O,X
TSZJIOL,O,O,O,O,O,X
TSZJLIO,O,X,O,X,X,X
TSZJLOI,O,X,O,X,O,X
TSZJOIL,O,O,O,O,O,X
TSZJOLI,O,X,O,X,O,X
TSZOILJ,X,O,O,O,O,O
TSZOIJL,O,O,O,O,O,X
TSZOLIJ,X,O,O,O,O,O
TSZOLJI,X,O,O,X,O,X
TSZOJIL,O,O,O,O,O,X
TSZOJLI,O,X,O,X,O,X
TSOILJZ,O,O,O,O,X,O
TSOILZJ,X,O,O,O,O,O
TSOIJLZ,O,X,O,O,X,O
TSOIJZL,O,X,O,X,O,X
TSOIZLJ,X,O,O,O,O,O
TSOIZJL,O,O,O,O,O,X
TSOLIJZ,O,O,O,O,X,O
TSOLIZJ,X,O,O,O,O,O
TSOLJIZ,O,O,O,X,X,O
TSOLJZI,O,O,O,X,X,X
TSOLZIJ,X,O,O,O,O,O
TSOLZJI,X,O,O,X,O,X
TSOJILZ,O,X,O,O,X,O
TSOJIZL,O,X,O,X,O,X
TSOJLIZ,O,O,O,X,X,O
TSOJLZI,O,O,O,X,X,X
TSOJZIL,O,O,O,O,O,X
TSOJZLI,O,X,O,X,O,X
TSOZILJ,X,O,O,O,O,O
TSOZIJL,O,O,O,O,O,X
TSOZLIJ,X,O,O,O,O,O
TSOZLJI,X,O,O,X,O,X
TSOZJIL,O,O,O,O,O,X
TSOZJLI,O,X,O,X,O,X
TZILJSO,X,O,X,O,O,X
TZILJOS,X,O,X,O,O,X
TZILSJO,X,O,O,O,O,X
TZILSOJ,X,O,O,O,O,X
TZILOJS,X,O,X,O,O,X
TZILOSJ,X,O,O,O,O,X
TZIJLSO,O,X,X,O,O,X
TZIJLOS,O,X,X,O,O,X
TZIJSLO,O,X,X,O,O,X
TZIJSOL,O,O,X,O,O,X
TZIJOLS,O,X,X,O,O,X
TZIJOSL,O,O,X,O,O,X
TZISLJO,X,O,O,O,O,X
TZISLOJ,X,O,O,O,O,X
TZISJLO,O,X,O,O,O,X
TZISJOL,O,O,O,O,O,X
TZISOLJ,X,O,O,O,O,X
TZISOJL,O,O,O,O,O,X
TZIOLJS,X,O,X,O,O,X
TZIOLSJ,X,O,O,O,O,X
TZIOJLS,O,X,X,O,O,X
TZIOJSL,O,O,X,O,O,X
TZIOSLJ,X,O,O,O,O,X
TZIOSJL,O,O,O,O,O,X
TZLIJSO,X,O,X,O,O,X
TZLIJOS,X,O,X,O,O,X
TZLISJO,X,O,O,O,O,X
TZLISOJ,X,O,O,O,O,X
TZLIOJS,X,O,X,O,O,X
TZLIOSJ,X,O,O,O,O,X
TZLJISO,X,O,X,O,X,X
TZLJIOS,X,O,X,O,X,X
TZLJSIO,X,O,X,X,X,X
TZLJSOI,X,O,X,X,X,X
TZLJOIS,X,O,X,O,X,X
TZLJOSI,X,O,X,X,X,X
TZLSIJO,X,O,O,O,O,X
TZLSIOJ,X,O,O,O,O,X
TZLSJIO,X,O,O,X,X,X
TZLSJOI,X,O,O,X,O,X
TZLSOIJ,X,O,O,O,O,X
TZLSOJI,X,O,O,X,O,X
TZLOIJS,X,O,X,O,O,X
TZLOISJ,X,O,O,O,O,X
TZLOJIS,X,O,X,O,X,X
TZLOJSI,X,O,X,X,X,X
TZLOSIJ,X,O,O,O,O,X
TZLOSJI,X,O,O,X,O,X
TZJILSO,O,X,X,O,X,X
TZJILOS,O,X,X,O,X,X
TZJISLO,O,X,X,O,X,X
TZJISOL,O,X,X,O,X,X
TZJIOLS,O,X,X,O,X,X
TZJIOSL,O,X,X,O,X,X
TZJLISO,O,X,X,O,X,X
TZJLIOS,O,X,X,O,X,X
TZJLSIO,O,X,X,X,X,X
TZJLSOI,O,X,X,X,X,X
TZJLOIS,O,X,X,O,X,X
TZJLOSI,O,X,X,X,X,X
TZJSILO,O,X,X,O,X,X
TZJSIOL,O,X,X,O,X,X
TZJSLIO,O,X,X,X,X,X
TZJSLOI,O,X,X,X,X,X
TZJSOIL,O,X,X,O,X,X
TZJSOLI,O,X,X,X,X,X
TZJOILS,O,X,X,O,X,X
TZJOISL,O,X,X,O,X,X
TZJOLIS,O,X,X,O,X,X
TZJOLSI,O,X,X,X,X,X
TZJOSIL,O,X,X,O,X,X
TZJOSLI,O,X,X,X,X,X
TZSILJO,X,O,O,O,O,X
TZSILOJ,X,O,O,O,O,X
TZSIJLO,O,X,O,O,O,X
TZSIJOL,O,O,O,O,O,X
TZSIOLJ,X,O,O,O,O,X
TZSIOJL,O,O,O,O,O,X
TZSLIJO,X,X,O,O,O,X
TZSLIOJ,X,O,O,O,O,X
TZSLJIO,X,X,O,X,X,X
TZSLJOI,X,X,O,X,O,X
TZSLOIJ,X,O,O,O,O,X
TZSLOJI,X,X,O,X,O,X
TZSJILO,O,X,O,O,O,X
TZSJIOL,O,O,O,O,O,X
TZSJLIO,O,X,O,X,X,X
TZSJLOI,O,X,O,X,O,X
TZSJOIL,O,O,O,O,O,X
TZSJOLI,O,X,O,X,O,X
TZSOILJ,X,O,O,O,O,X
TZSOIJL,O,O,O,O,O,X
TZSOLIJ,X,O,O,O,O,X
TZSOLJI,X,X,O,X,O,X
TZSOJIL,O,O,O,O,O,X
TZSOJLI,O,X,O,X,O,X
TZOILJS,X,O,X,O,O,X
TZOILSJ,X,O,O,O,O,X
TZOIJLS,O,X,X,O,O,X
TZOIJSL,O,O,X,O,O,X
TZOISLJ,X,O,O,O,O,X
TZOISJL,O,O,O,O,O,X
TZOLIJS,X,O,X,O,O,X
TZOLISJ,X,O,O,O,O,X
TZOLJIS,X,O,X,O,X,X
TZOLJSI,X,O,X,X,X,X
TZOLSIJ,X,O,O,O,O,X
TZOLSJI,X,O,O,X,O,X
TZOJILS,O,X,X,O,X,X
TZOJISL,O,X,X,O,X,X
TZOJLIS,O,X,X,O,X,X
TZOJLSI,O,X,X,X,X,X
TZOJSIL,O,X,X,O,X,X
TZOJSLI,O,X,X,X,X,X
TZOSILJ,X,O,O,O,O,X
TZOSIJL,O,O,O,O,O,X
TZOSLIJ,X,O,O,O,O,X
TZOSLJI,X,X,O,X,O,X
TZOSJIL,O,O,O,O,O,X
TZOSJLI,O,X,O,X,O,X
TOILJSZ,O,X,O,O,X,O
TOILJZS,O,X,X,X,X,O
TOILSJZ,O,X,O,O,X,O
TOILSZJ,X,X,O,O,O,O
TOILZJS,X,X,X,X,O,O
TOILZSJ,X,X,O,O,O,O
TOIJLSZ,O,X,O,O,X,O
TOIJLZS,O,X,X,X,X,O
TOIJSLZ,O,X,O,O,X,O
TOIJSZL,O,X,O,X,O,X
TOIJZLS,O,X,X,X,O,X
TOIJZSL,O,X,X,X,O,X
TOISLJZ,O,X,O,O,X,O
TOISLZJ,X,X,O,O,O,O
TOISJLZ,O,X,O,O,X,O
TOISJZL,O,X,O,X,O,X
TOISZLJ,X,X,O,O,O,O
TOISZJL,O,X,O,O,O,X
TOIZLJS,X,X,X,O,O,O
TOIZLSJ,X,X,O,O,O,O
TOIZJLS,O,X,X,O,O,X
TOIZJSL,O,X,X,O,O,X
TOIZSLJ,X,X,O,O,O,O
TOIZSJL,O,X,O,O,O,X
TOLIJSZ,O,O,O,O,X,O
TOLIJZS,O,X,X,X,X,O
TOLISJZ,O,O,O,O,X,O
TOLISZJ,X,O,O,O,X,O
TOLIZJS,X,O,X,X,X,O
TOLIZSJ,X,O,O,O,X,O
TOLJISZ,O,O,O,X,X,X
TOLJIZS,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,X
TOLJSZI,O,O,O,X,X,X
TOLJZIS,O,O,X,X,X,X
TOLJZSI,O,O,X,X,X,X
TOLSIJZ,O,O,O,O,X,O
TOLSIZJ,X,O,O,O,X,O
TOLSJIZ,O,O,O,X,X,O
TOLSJZI,O,O,O,X,X,X
TOLSZIJ,X,O,O,O,X,O
TOLSZJI,X,O,O,X,X,X
TOLZIJS,X,O,X,O,X,X
TOLZISJ,X,O,O,O,X,X
TOLZJIS,X,O,X,O,X,X
TOLZJSI,X,O,X,X,X,X
TOLZSIJ,X,O,O,O,X,X
TOLZSJI,X,O,O,X,X,X
TOJILSZ,O,X,O,O,X,X
TOJILZS,O,X,X,X,X,X
TOJISLZ,O,X,O,O,X,X
TOJISZL,O,X,O,X,X,X
TOJIZLS,O,X,X,X,X,X
TOJIZSL,O,X,X,X,X,X
TOJLISZ,O,X,O,X,X,X
TOJLIZS,O,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X
TOJLSZI,O,X,O,X,X,X
TOJLZIS,O,X,X,X,X,X
TOJLZSI,O,X,X,X,X,X
TOJSILZ,O,X,O,O,X,X
TOJSIZL,O,X,O,X,X,X
TOJSLIZ,O,X,O,X,X,X
TOJSLZI,O,X,O,X,X,X
TOJSZIL,O,X,O,O,X,X
TOJSZLI,O,X,O,X,X,X
TOJZILS,O,X,X,O,X,X
TOJZISL,O,X,X,O,X,X
TOJZLIS,O,X,X,O,X,X
TOJZLSI,O,X,X,X,X,X
TOJZSIL,O,X,X,O,X,X
TOJZSLI,O,X,X,X,X,X
