sequence,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukBUhBFiBXjB6q?BTrB,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukB3gBUiBFjB6r?BzqB
TOJZISL,O,O
TOJZLIS,X,X
TOJZLSI,X,X
TOJZSIL,O,O
TOJZSLI,X,X
TOSILJZ,O,X
TOSILZJ,O,X
TOSIJLZ,X,X
TOSIJZL,O,O
TOSIZLJ,X,X
TOSIZJL,O,O
TOSLIJZ,O,X
TOSLIZJ,O,X
TOSLJIZ,O,X
TOSLJZI,O,X
TOSLZIJ,O,X
TOSLZJI,O,X
TOSJILZ,X,X
TOSJIZL,O,O
TOSJLIZ,X,X
TOSJLZI,X,X
TOSJZIL,O,O
TOSJZLI,X,X
TOSZILJ,X,X
TOSZIJL,O,O
TOSZLIJ,X,X
TOSZLJI,X,X
TOSZJIL,O,O
TOSZJLI,X,X
TOZILJS,X,X
TOZILSJ,X,X
TOZIJLS,X,X
TOZIJSL,O,O
TOZISLJ,X,X
TOZISJL,O,O
TOZLIJS,X,X
TOZLISJ,X,X
TOZLJIS,X,X
TOZLJSI,X,X
TOZLSIJ,X,X
TOZLSJI,X,X
TOZJILS,X,X
TOZJISL,O,O
TOZJLIS,X,X
TOZJLSI,X,X
TOZJSIL,O,O
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,O,O
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,O,O
TOZSJLI,X,X
ITLJSZO,O,O
ITLJSOZ,X,X
ITLJZSO,O,O
ITLJZOS,X,X
ITLJOSZ,X,X
ITLJOZS,X,X
ITLSJZO,O,O
ITLSJOZ,X,X
ITLSZJO,O,O
ITLSZOJ,X,X
ITLSOJZ,X,X
ITLSOZJ,X,X
ITLZJSO,O,O
ITLZJOS,X,X
ITLZSJO,O,O
ITLZSOJ,X,X
ITLZOJS,X,X
ITLZOSJ,X,X
ITLOJSZ,X,X
ITLOJZS,X,X
ITLOSJZ,X,X
ITLOSZJ,X,X
ITLOZJS,X,X
ITLOZSJ,X,X
ITJLSZO,O,O
ITJLSOZ,X,X
ITJLZSO,O,O
ITJLZOS,X,X
ITJLOSZ,X,X
ITJLOZS,X,X
ITJSLZO,O,X
ITJSLOZ,X,X
ITJSZLO,X,O
ITJSZOL,X,O
ITJSOLZ,X,X
ITJSOZL,O,X
ITJZLSO,X,O
ITJZLOS,X,X
ITJZSLO,X,O
ITJZSOL,X,O
ITJZOLS,X,X
ITJZOSL,X,O
ITJOLSZ,X,O
ITJOLZS,X,O
ITJOSLZ,X,X
ITJOSZL,O,O
ITJOZLS,X,X
ITJOZSL,O,O
ITSLJZO,O,X
ITSLJOZ,X,X
ITSLZJO,O,X
ITSLZOJ,X,X
ITSLOJZ,X,X
ITSLOZJ,X,X
ITSJLZO,O,X
ITSJLOZ,X,X
ITSJZLO,X,O
ITSJZOL,X,O
ITSJOLZ,X,X
ITSJOZL,O,X
ITSZLJO,X,X
ITSZLOJ,X,X
ITSZJLO,X,O
ITSZJOL,X,O
ITSZOLJ,X,X
ITSZOJL,X,X
ITSOLJZ,O,X
ITSOLZJ,O,X
ITSOJLZ,X,X
ITSOJZL,O,X
ITSOZLJ,X,X
ITSOZJL,O,X
ITZLJSO,X,O
ITZLJOS,X,X
ITZLSJO,X,O
ITZLSOJ,X,X
ITZLOJS,X,X
ITZLOSJ,X,X
ITZJLSO,X,O
ITZJLOS,X,X
ITZJSLO,X,O
ITZJSOL,X,O
ITZJOLS,X,X
ITZJOSL,X,O
ITZSLJO,X,X
ITZSLOJ,X,X
ITZSJLO,X,O
ITZSJOL,X,O
ITZSOLJ,X,X
ITZSOJL,X,X
ITZOLJS,X,X
ITZOLSJ,X,X
ITZOJLS,X,X
ITZOJSL,X,O
ITZOSLJ,X,X
ITZOSJL,X,O
ITOLJSZ,O,O
ITOLJZS,O,O
ITOLSJZ,O,O
ITOLSZJ,O,O
ITOLZJS,O,O
ITOLZSJ,O,O
ITOJLSZ,X,O
ITOJLZS,X,O
ITOJSLZ,X,X
ITOJSZL,O,O
ITOJZLS,X,X
ITOJZSL,O,O
ITOSLJZ,O,X
ITOSLZJ,O,X
ITOSJLZ,X,X
ITOSJZL,O,O
ITOSZLJ,X,X
ITOSZJL,O,O
ITOZLJS,X,X
ITOZLSJ,X,X
ITOZJLS,X,X
ITOZJSL,O,O
ITOZSLJ,X,X
ITOZSJL,O,O
ILTJSZO,O,O
ILTJSOZ,X,X
ILTJZSO,O,O
ILTJZOS,X,X
ILTJOSZ,X,X
ILTJOZS,X,X
ILTSJZO,O,O
ILTSJOZ,X,X
ILTSZJO,O,O
ILTSZOJ,X,X
ILTSOJZ,X,X
ILTSOZJ,X,X
ILTZJSO,O,O
ILTZJOS,X,X
ILTZSJO,O,O
ILTZSOJ,X,X
ILTZOJS,X,X
ILTZOSJ,X,X
ILTOJSZ,X,X
ILTOJZS,X,X
ILTOSJZ,X,X
ILTOSZJ,X,X
ILTOZJS,X,X
ILTOZSJ,X,X
ILJTSZO,O,O
ILJTSOZ,X,X
ILJTZSO,O,O
ILJTZOS,X,X
ILJTOSZ,X,X
ILJTOZS,X,X
ILJSTZO,O,O
ILJSTOZ,X,X
ILJSZTO,O,O
ILJSZOT,X,X
ILJSOTZ,O,X
ILJSOZT,O,X
ILJZTSO,O,O
ILJZTOS,X,X
ILJZSTO,O,O
ILJZSOT,X,X
