sequence,v115@QhA8DeF8BeC8CeB8Jei/IvhFzgBUiBFjBxpB3pBWxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBFiBXjBKpBzkBWxB,v115@QhA8DeF8BeC8CeB8JeZEJvhFzfBWmBFjBCqB/sB0rB,v115@QhA8DeF8BeC8CeB8JezAJvhFCiBXjBxpBOpB8pBVxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBzhBFjB2pB3pBSxB,v115@QhA8DeF8BeC8CeB8JeZEJvhF8lBzhBXjBupBFlBSxB,v115@QhA8DeF8BeC8CeB8Jez/IvhFWmBFjBxpBKpB/sB0rB,v115@QhA8DeF8BeC8CeB8Je2EJvhFRgBFjB3lBTpBCsBUsB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBCiBXjBmkBTpBVxB
TJOZSLI,X,X,X,X,O,X,X,O,X
TSILJZO,O,X,O,X,X,X,O,X,X
TSILJOZ,O,X,O,X,X,X,O,X,X
TSILZJO,O,O,O,X,X,X,O,X,X
TSILZOJ,O,O,O,X,X,X,O,X,X
TSILOJZ,O,X,O,X,X,X,O,X,X
TSILOZJ,O,O,O,X,X,X,O,X,X
TSIJLZO,O,X,O,X,X,X,O,X,X
TSIJLOZ,O,X,O,X,X,X,O,X,X
TSIJZLO,O,X,X,X,X,X,O,X,X
TSIJZOL,O,X,X,X,X,O,X,X,X
TSIJOLZ,O,X,X,X,X,X,O,X,X
TSIJOZL,O,X,X,X,X,O,X,X,X
TSIZLJO,O,O,X,X,X,X,O,X,X
TSIZLOJ,O,O,X,X,X,X,O,X,X
TSIZJLO,O,O,X,X,X,X,O,X,X
TSIZJOL,O,X,X,O,X,O,X,X,X
TSIZOLJ,O,O,X,O,X,X,X,X,X
TSIZOJL,O,X,X,O,X,O,X,X,X
TSIOLJZ,O,X,X,O,X,X,O,O,X
TSIOLZJ,O,X,X,O,X,X,O,O,X
TSIOJLZ,O,X,X,O,X,X,O,O,X
TSIOJZL,O,X,X,O,X,O,X,O,X
TSIOZLJ,O,X,X,O,X,X,X,O,X
TSIOZJL,O,X,X,O,X,O,X,O,X
TSLIJZO,X,X,O,X,X,X,X,X,X
TSLIJOZ,X,X,O,X,X,X,X,X,X
TSLIZJO,X,O,O,X,X,X,X,X,X
TSLIZOJ,X,O,O,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,X,X,X,X,X
TSLJIZO,X,X,O,X,X,X,X,X,X
TSLJIOZ,X,X,O,X,X,X,X,X,X
TSLJZIO,X,O,X,X,X,X,X,X,X
TSLJZOI,X,O,X,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X,X,X
TSLZIJO,X,O,X,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,X,X,X,X,X
TSLZJIO,X,O,X,X,X,X,X,X,X
TSLZJOI,X,O,X,X,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,X,X,X
TSLZOJI,X,O,X,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,X,X,O,X
TSLOIZJ,X,O,O,X,X,X,X,O,X
TSLOJIZ,X,X,O,X,X,X,X,O,X
TSLOJZI,X,O,X,X,X,X,X,O,X
TSLOZIJ,X,O,X,X,X,X,X,O,X
TSLOZJI,X,O,X,X,X,X,X,O,X
TSJILZO,X,X,O,X,X,X,O,X,X
TSJILOZ,X,X,O,X,X,X,O,X,X
TSJIZLO,X,X,X,X,X,X,O,X,X
TSJIZOL,X,X,X,X,X,O,X,X,X
TSJIOLZ,X,X,X,X,X,X,O,X,X
TSJIOZL,X,X,X,X,X,O,X,X,X
TSJLIZO,X,X,O,X,X,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,X,X,X
TSJLZIO,X,O,X,X,X,X,X,X,X
TSJLZOI,X,O,X,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X,X
TSJZILO,X,O,X,X,O,X,X,X,X
TSJZIOL,X,X,X,X,O,O,X,X,X
TSJZLIO,X,O,X,X,O,X,X,X,X
TSJZLOI,X,O,X,X,O,X,X,X,X
TSJZOIL,X,X,X,X,O,O,X,X,X
TSJZOLI,X,X,X,X,O,X,X,X,X
TSJOILZ,X,X,X,X,X,X,X,O,X
TSJOIZL,X,X,X,X,X,O,X,O,X
TSJOLIZ,X,X,X,X,X,X,X,O,X
TSJOLZI,X,X,X,X,X,X,X,O,X
TSJOZIL,X,X,X,X,O,O,X,O,X
TSJOZLI,X,X,X,X,O,X,X,O,X
TSZILJO,O,O,X,X,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X,X
TSZIJOL,O,X,X,X,X,O,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X,X
TSZIOJL,O,X,X,X,O,O,X,X,X
TSZLIJO,X,O,X,X,X,X,X,X,X
TSZLIOJ,X,O,X,X,X,X,X,X,X
TSZLJIO,X,O,X,X,X,X,X,X,X
TSZLJOI,X,O,X,X,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,X,X,X,X
TSZLOJI,X,O,X,X,X,X,X,X,X
TSZJILO,X,O,X,X,O,X,X,X,X
TSZJIOL,X,X,X,X,O,O,X,X,X
TSZJLIO,X,O,X,X,O,X,X,X,X
TSZJLOI,X,O,X,X,O,X,X,X,X
TSZJOIL,X,X,X,X,O,O,X,X,X
TSZJOLI,X,X,X,X,O,X,X,X,X
TSZOILJ,O,O,X,X,X,X,X,O,X
TSZOIJL,O,X,X,X,O,O,X,O,X
TSZOLIJ,X,O,X,X,X,X,X,O,X
TSZOLJI,X,O,X,X,X,X,X,O,X
TSZOJIL,X,X,X,X,O,O,X,O,O
TSZOJLI,X,X,X,X,O,X,X,O,O
TSOILJZ,O,X,X,O,X,X,X,O,X
TSOILZJ,O,X,X,O,X,X,X,O,X
TSOIJLZ,O,X,X,O,X,X,X,O,X
TSOIJZL,O,X,X,O,X,O,X,O,X
TSOIZLJ,O,X,X,O,X,X,X,O,X
TSOIZJL,O,X,X,O,X,O,X,O,X
TSOLIJZ,X,X,X,X,X,X,X,O,X
