sequence,v115@PhB8GeD8BeB8AeD8Je2EJvhFRgBzhBCjB3lB0pBlrB,v115@PhB8GeD8BeB8AeD8JeT/IvhFigBWnBxiB3lB0pBlrB,v115@PhB8GeD8BeB8AeD8JeT/IvhF8lBWnBxiBypBlrBXqB,v115@PhB8GeD8BeB8AeD8JeiAJvhFWnBxiBTkB3lBlrB0pB,v115@PhB8GeD8BeB8AeD8Jex/IvhFlhBCjBTkBmlB8rBXqB,v115@PhB8GeD8BeB8AeD8JeXAJvhFxiB2pBzlBFnB6rB0pB,v115@PhB8GeD8BeB8AeD8JeKFJvhFxiBTkBFmBXnB0pBGrB
TOILZSJ,O,X,O,X,O,X,X
TOIJLSZ,X,X,O,O,X,O,X
TOIJLZS,X,X,O,X,O,X,X
TOIJSLZ,X,O,X,O,X,O,X
TOIJSZL,X,O,X,O,X,O,X
TOIJZLS,X,O,O,X,O,X,X
TOIJZSL,X,O,X,O,O,O,X
TOISLJZ,O,O,X,O,X,O,O
TOISLZJ,O,O,X,O,X,X,O
TOISJLZ,O,O,X,O,X,O,O
TOISJZL,O,O,X,O,X,O,X
TOISZLJ,O,O,X,O,X,X,O
TOISZJL,O,O,X,O,X,O,X
TOIZLJS,O,O,O,X,O,X,X
TOIZLSJ,O,O,O,X,O,X,X
TOIZJLS,O,O,O,X,O,X,X
TOIZJSL,O,O,X,O,O,O,X
TOIZSLJ,O,O,X,O,O,X,X
TOIZSJL,O,O,X,O,X,O,X
TOLIJSZ,X,X,O,O,X,O,X
TOLIJZS,X,X,O,X,O,X,X
TOLISJZ,O,X,O,O,X,O,O
TOLISZJ,O,X,O,O,X,X,O
TOLIZJS,O,X,O,X,O,X,X
TOLIZSJ,O,X,O,X,O,X,X
TOLJISZ,X,X,O,O,X,O,X
TOLJIZS,X,X,O,X,O,X,X
TOLJSIZ,O,X,O,O,X,O,O
TOLJSZI,O,X,O,O,X,O,O
TOLJZIS,O,X,O,X,O,X,X
TOLJZSI,O,X,O,X,O,X,X
TOLSIJZ,O,X,O,O,X,O,O
TOLSIZJ,O,X,O,O,X,X,O
TOLSJIZ,O,X,O,O,X,O,O
TOLSJZI,O,X,O,O,X,O,O
TOLSZIJ,O,X,O,O,X,X,O
TOLSZJI,O,X,O,O,X,X,O
TOLZIJS,O,X,O,X,O,X,X
TOLZISJ,O,X,O,X,O,X,X
TOLZJIS,O,X,O,X,O,X,X
TOLZJSI,O,X,O,X,O,X,X
TOLZSIJ,O,X,O,X,O,X,O
TOLZSJI,O,X,O,X,O,X,O
TOJILSZ,X,X,O,O,X,O,X
TOJILZS,X,X,O,X,O,X,X
TOJISLZ,X,O,X,O,X,O,X
TOJISZL,X,O,X,O,X,O,X
TOJIZLS,X,O,O,X,O,X,X
TOJIZSL,X,O,X,O,O,O,X
TOJLISZ,X,X,O,O,X,O,X
TOJLIZS,X,X,O,X,O,X,X
TOJLSIZ,O,X,O,O,X,O,O
TOJLSZI,O,X,O,O,X,O,O
TOJLZIS,O,X,O,X,O,X,X
TOJLZSI,O,X,O,X,O,X,X
TOJSILZ,O,O,X,O,X,O,O
TOJSIZL,O,O,X,O,X,O,X
TOJSLIZ,O,O,X,O,X,O,O
TOJSLZI,O,O,X,O,X,O,O
TOJSZIL,O,O,X,O,X,O,X
TOJSZLI,O,O,X,O,X,O,X
TOJZILS,O,O,O,X,O,X,X
TOJZISL,O,O,X,O,O,O,X
TOJZLIS,O,O,O,X,O,X,X
TOJZLSI,O,O,O,X,O,X,X
TOJZSIL,O,O,X,O,O,O,X
TOJZSLI,O,O,X,O,O,O,X
TOSILJZ,O,O,X,O,X,O,O
TOSILZJ,O,O,X,O,X,X,O
TOSIJLZ,O,O,X,O,X,O,O
TOSIJZL,O,O,X,O,X,O,X
TOSIZLJ,O,O,X,O,X,X,O
TOSIZJL,O,O,X,O,X,O,X
TOSLIJZ,O,O,X,O,X,O,O
TOSLIZJ,O,O,X,O,X,X,O
TOSLJIZ,O,O,X,O,X,O,O
TOSLJZI,O,O,X,O,X,O,O
TOSLZIJ,O,O,X,O,X,X,O
TOSLZJI,O,O,X,O,X,X,O
TOSJILZ,O,O,X,O,X,O,O
TOSJIZL,O,O,X,O,X,O,X
TOSJLIZ,O,O,X,O,X,O,O
TOSJLZI,O,O,X,O,X,O,O
TOSJZIL,O,O,X,O,X,O,X
TOSJZLI,O,O,X,O,X,O,X
TOSZILJ,O,O,X,O,X,X,O
TOSZIJL,O,O,X,O,X,O,X
TOSZLIJ,O,O,X,O,X,X,O
TOSZLJI,O,O,X,O,X,X,O
TOSZJIL,O,O,X,O,X,O,X
TOSZJLI,O,O,X,O,X,O,X
TOZILJS,O,O,O,X,O,X,X
TOZILSJ,O,O,O,X,O,X,X
TOZIJLS,O,O,O,X,O,X,X
TOZIJSL,O,O,X,O,O,O,X
TOZISLJ,O,O,X,O,O,X,X
TOZISJL,O,O,X,O,X,O,X
TOZLIJS,O,O,O,X,O,X,X
TOZLISJ,O,O,O,X,O,X,X
TOZLJIS,O,O,O,X,O,X,X
TOZLJSI,O,O,O,X,O,X,X
TOZLSIJ,O,O,O,X,O,X,O
TOZLSJI,O,O,O,X,O,X,O
TOZJILS,O,O,O,X,O,X,X
TOZJISL,O,O,X,O,O,O,X
TOZJLIS,O,O,O,X,O,X,X
TOZJLSI,O,O,O,X,O,X,X
TOZJSIL,O,O,X,O,O,O,X
TOZJSLI,O,O,X,O,O,O,X
TOZSILJ,O,O,X,O,O,X,O
TOZSIJL,O,O,X,O,X,O,X
TOZSLIJ,O,O,X,O,O,X,O
TOZSLJI,O,O,X,O,O,X,O
TOZSJIL,O,O,X,O,O,O,X
TOZSJLI,O,O,X,O,O,O,X
ITLJSZO,X,O,O,O,X,X,X
ITLJSOZ,X,O,O,O,X,X,X
ITLJZSO,X,O,O,X,X,X,X
ITLJZOS,X,O,O,X,X,X,X
ITLJOSZ,X,X,O,O,X,O,X
ITLJOZS,X,X,O,X,X,X,X
ITLSJZO,O,O,O,O,X,X,X
ITLSJOZ,O,O,O,O,X,X,O
ITLSZJO,O,O,O,O,X,X,X
ITLSZOJ,O,O,O,O,X,X,O
ITLSOJZ,O,O,O,O,X,X,O
ITLSOZJ,O,O,O,O,X,X,O
ITLZJSO,O,O,O,X,X,X,X
ITLZJOS,O,O,O,X,X,X,X
ITLZSJO,O,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X
ITLZOJS,O,O,O,X,X,X,X
ITLZOSJ,O,O,O,X,X,X,X
ITLOJSZ,X,X,O,O,X,O,X
ITLOJZS,X,X,O,X,X,X,X
ITLOSJZ,O,X,O,O,X,O,O
ITLOSZJ,O,X,O,O,X,X,O
ITLOZJS,O,X,O,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X
ITJLSZO,X,O,O,O,X,X,X
ITJLSOZ,X,O,O,O,X,X,X
ITJLZSO,X,O,O,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X
ITJLOSZ,X,X,O,O,X,O,X
ITJLOZS,X,X,O,X,X,X,X
ITJSLZO,X,O,O,O,X,X,X
ITJSLOZ,X,O,O,O,X,X,X
ITJSZLO,X,O,O,O,X,X,X
ITJSZOL,X,O,X,O,X,X,X
ITJSOLZ,X,O,X,O,X,O,X
ITJSOZL,X,O,X,O,X,O,X
ITJZLSO,X,O,O,X,X,X,X
ITJZLOS,X,O,O,X,X,X,X
ITJZSLO,X,O,O,O,X,X,X
ITJZSOL,X,O,X,O,X,X,X
ITJZOLS,X,O,O,X,X,X,X
ITJZOSL,X,O,X,O,X,O,X
ITJOLSZ,X,X,O,O,X,O,X
ITJOLZS,X,X,O,X,X,X,X
ITJOSLZ,X,O,X,O,X,O,X
ITJOSZL,X,O,X,O,X,O,X
ITJOZLS,X,O,O,X,X,X,X
ITJOZSL,X,O,X,O,X,O,X
ITSLJZO,O,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,X,X,O
ITSLZJO,O,O,O,O,X,X,X
ITSLZOJ,O,O,O,O,X,X,O
ITSLOJZ,O,O,O,O,X,X,O
ITSLOZJ,O,O,O,O,X,X,O
ITSJLZO,O,O,O,O,X,X,X
ITSJLOZ,O,O,O,O,X,X,O
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,X,O,X,X,X
ITSJOLZ,O,O,X,O,X,O,O
ITSJOZL,O,O,X,O,X,O,X
ITSZLJO,O,O,O,O,X,X,X
ITSZLOJ,O,O,O,O,X,X,O
ITSZJLO,O,O,O,O,X,X,X
ITSZJOL,O,O,X,O,X,X,X
ITSZOLJ,O,O,X,O,X,X,O
ITSZOJL,O,O,X,O,X,X,X
ITSOLJZ,O,O,X,O,X,O,O
ITSOLZJ,O,O,X,O,X,X,O
ITSOJLZ,O,O,X,O,X,O,O
ITSOJZL,O,O,X,O,X,O,X
ITSOZLJ,O,O,X,O,X,X,O
ITSOZJL,O,O,X,O,X,O,X
ITZLJSO,O,O,O,X,X,X,X
ITZLJOS,O,O,O,X,X,X,X
ITZLSJO,O,O,O,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X
ITZLOJS,O,O,O,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,O,O,O,X,X,X,X
ITZJSLO,O,O,O,O,X,X,X
ITZJSOL,O,O,X,O,X,X,X
ITZJOLS,O,O,O,X,X,X,X
ITZJOSL,O,O,X,O,X,O,X
ITZSLJO,O,O,O,O,X,X,X
ITZSLOJ,O,O,O,O,X,X,X
ITZSJLO,O,O,O,O,X,X,X
ITZSJOL,O,O,X,O,X,X,X
ITZSOLJ,O,O,X,O,X,X,X
ITZSOJL,O,O,X,O,X,X,X
ITZOLJS,O,O,O,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X
ITZOJSL,O,O,X,O,X,O,X
ITZOSLJ,O,O,X,O,X,X,X
ITZOSJL,O,O,X,O,X,O,X
ITOLJSZ,X,X,O,O,X,O,X
ITOLJZS,X,X,O,X,X,X,X
ITOLSJZ,O,X,O,O,X,O,O
ITOLSZJ,O,X,O,O,X,X,O
ITOLZJS,O,X,O,X,X,X,X
ITOLZSJ,O,X,O,X,X,X,X
ITOJLSZ,X,X,O,O,X,O,X
ITOJLZS,X,X,O,X,X,X,X
ITOJSLZ,X,O,X,O,X,O,X
ITOJSZL,X,O,X,O,X,O,X
ITOJZLS,X,O,O,X,X,X,X
ITOJZSL,X,O,X,O,X,O,X
ITOSLJZ,O,O,X,O,X,O,O
ITOSLZJ,O,O,X,O,X,X,O
ITOSJLZ,O,O,X,O,X,O,O
ITOSJZL,O,O,X,O,X,O,X
ITOSZLJ,O,O,X,O,X,X,O
ITOSZJL,O,O,X,O,X,O,X
ITOZLJS,O,O,O,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X
ITOZJSL,O,O,X,O,X,O,X
ITOZSLJ,O,O,X,O,X,X,X
ITOZSJL,O,O,X,O,X,O,X
ILTJSZO,X,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,X,X,X
ILTJZSO,X,O,O,X,X,X,X
ILTJZOS,X,O,O,X,X,X,X
ILTJOSZ,X,X,O,O,X,O,X
ILTJOZS,X,X,O,X,X,X,X
ILTSJZO,O,O,O,O,X,X,X
ILTSJOZ,O,O,O,O,X,X,O
ILTSZJO,O,O,O,O,X,X,X
ILTSZOJ,O,O,O,O,X,X,O
ILTSOJZ,O,O,O,O,X,X,O
ILTSOZJ,O,O,O,O,X,X,O
ILTZJSO,O,O,O,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,X
ILTOJSZ,X,X,O,O,X,O,X
ILTOJZS,X,X,O,X,X,X,X
ILTOSJZ,O,X,O,O,X,O,O
ILTOSZJ,O,X,O,O,X,X,O
ILTOZJS,O,X,O,X,X,X,X
ILTOZSJ,O,X,O,X,X,X,X
ILJTSZO,X,X,O,X,X,X,X
ILJTSOZ,X,X,O,X,X,X,X
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,O,X,O,X,X
ILJTOSZ,X,X,O,X,X,O,X
ILJTOZS,X,X,O,X,X,X,X
ILJSTZO,X,O,O,X,O,X,X
ILJSTOZ,X,X,O,X,X,X,O
ILJSZTO,X,O,X,X,O,X,X
ILJSZOT,X,O,X,X,O,X,X
ILJSOTZ,X,X,O,X,O,X,O
ILJSOZT,X,O,X,X,O,X,X
ILJZTSO,X,X,O,X,O,X,X
ILJZTOS,X,X,O,X,O,X,X
ILJZSTO,X,O,X,X,O,X,X
ILJZSOT,X,O,X,X,O,X,X
ILJZOTS,X,X,O,X,O,X,X
ILJZOST,X,O,X,X,O,X,X
ILJOTSZ,X,X,O,X,X,X,X
ILJOTZS,X,X,O,X,O,X,X
ILJOSTZ,X,X,O,X,X,X,O
ILJOSZT,X,X,X,X,O,X,X
ILJOZTS,X,X,O,X,O,X,X
ILJOZST,X,X,X,X,O,X,X
ILSTJZO,O,O,O,X,X,X,X
ILSTJOZ,O,X,O,X,X,X,O
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,O
ILSTOJZ,O,X,O,X,X,X,O
ILSTOZJ,O,X,O,X,X,X,O
ILSJTZO,O,O,O,X,O,X,X
ILSJTOZ,O,X,O,X,X,X,O
ILSJZTO,O,O,X,X,O,X,X
ILSJZOT,X,O,X,X,O,X,X
ILSJOTZ,O,X,O,X,O,X,O
ILSJOZT,X,O,X,X,O,X,X
ILSZTJO,O,O,X,X,O,X,X
ILSZTOJ,O,O,X,X,O,X,O
ILSZJTO,O,O,X,X,O,X,X
ILSZJOT,O,O,X,X,O,X,X
ILSZOTJ,O,O,X,X,O,X,O
ILSZOJT,O,O,X,X,O,X,X
ILSOTJZ,O,X,O,X,O,X,O
ILSOTZJ,O,X,O,X,O,X,O
ILSOJTZ,O,X,O,X,O,X,O
ILSOJZT,X,O,X,X,O,X,X
ILSOZTJ,X,O,X,X,O,X,O
ILSOZJT,X,O,X,X,O,X,X
ILZTJSO,O,O,O,X,O,X,X
ILZTJOS,O,O,O,X,O,X,X
ILZTSJO,O,O,O,X,O,X,X
ILZTSOJ,O,O,O,X,O,X,X
ILZTOJS,O,O,O,X,O,X,X
ILZTOSJ,O,O,O,X,O,X,X
ILZJTSO,O,X,O,X,O,X,X
ILZJTOS,O,X,O,X,O,X,X
ILZJSTO,O,O,X,X,O,X,X
ILZJSOT,O,O,X,X,O,X,X
ILZJOTS,O,X,O,X,O,X,X
ILZJOST,O,O,X,X,O,X,X
ILZSTJO,O,O,X,X,O,X,X
ILZSTOJ,O,O,X,X,O,X,O
ILZSJTO,O,O,X,X,O,X,X
ILZSJOT,O,O,X,X,O,X,X
ILZSOTJ,O,O,X,X,O,X,O
ILZSOJT,O,O,X,X,O,X,X
ILZOTJS,X,O,O,X,O,X,X
ILZOTSJ,X,O,O,X,O,X,X
ILZOJTS,X,X,O,X,O,X,X
ILZOJST,X,O,X,X,O,X,X
ILZOSTJ,X,O,X,X,O,X,O
ILZOSJT,X,O,X,X,O,X,X
ILOTJSZ,X,X,O,O,X,X,X
ILOTJZS,X,X,O,X,O,X,X
ILOTSJZ,X,X,O,O,X,X,O
ILOTSZJ,X,X,O,O,X,X,O
ILOTZJS,X,X,O,X,O,X,X
ILOTZSJ,X,X,O,X,O,X,X
ILOJTSZ,X,X,O,X,X,X,X
ILOJTZS,X,X,O,X,O,X,X
ILOJSTZ,X,X,O,X,X,X,O
ILOJSZT,X,X,X,X,O,X,X
ILOJZTS,X,X,O,X,O,X,X
ILOJZST,X,X,X,X,O,X,X
ILOSTJZ,X,X,O,X,X,X,O
ILOSTZJ,X,X,O,X,X,X,O
ILOSJTZ,X,X,O,X,X,X,O
ILOSJZT,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,X,O,X,O
ILOSZJT,X,X,X,X,O,X,X
ILOZTJS,X,X,O,X,O,X,X
ILOZTSJ,X,X,O,X,O,X,X
ILOZJTS,X,X,O,X,O,X,X
ILOZJST,X,X,X,X,O,X,X
ILOZSTJ,X,X,X,X,O,X,O
ILOZSJT,X,X,X,X,O,X,X
IJTLSZO,X,O,O,O,X,X,X
IJTLSOZ,X,O,O,O,X,X,X
IJTLZSO,X,O,O,X,O,X,X
IJTLZOS,X,O,O,X,O,X,X
IJTLOSZ,X,X,O,O,X,O,X
IJTLOZS,X,X,O,X,X,X,X
IJTSLZO,X,O,O,O,X,X,X
IJTSLOZ,X,O,O,O,X,X,X
IJTSZLO,X,O,O,O,X,X,X
IJTSZOL,X,O,X,O,X,X,X
IJTSOLZ,X,O,X,O,X,O,X
IJTSOZL,X,O,X,O,X,O,X
IJTZLSO,X,O,O,X,O,X,X
IJTZLOS,X,O,O,X,O,X,X
IJTZSLO,X,O,O,O,O,X,X
IJTZSOL,X,O,X,O,X,X,X
IJTZOLS,X,O,O,X,O,X,X
IJTZOSL,X,O,X,O,X,O,X
IJTOLSZ,X,X,O,O,X,O,X
IJTOLZS,X,X,O,X,X,X,X
IJTOSLZ,X,O,X,O,X,O,X
IJTOSZL,X,O,X,O,X,O,X
IJTOZLS,X,O,O,X,X,X,X
IJTOZSL,X,O,X,O,X,O,X
IJLTSZO,X,X,O,X,X,X,X
IJLTSOZ,X,X,O,X,X,X,X
IJLTZSO,X,X,O,X,O,X,X
IJLTZOS,X,X,O,X,O,X,X
IJLTOSZ,X,X,O,X,X,O,X
IJLTOZS,X,X,O,X,X,X,X
IJLSTZO,X,O,O,X,O,X,X
IJLSTOZ,X,X,O,X,X,X,O
IJLSZTO,X,O,X,X,O,X,X
IJLSZOT,X,O,X,X,O,X,X
IJLSOTZ,X,X,O,X,O,X,O
IJLSOZT,X,O,X,X,O,X,X
IJLZTSO,X,X,O,X,O,X,X
IJLZTOS,X,X,O,X,O,X,X
IJLZSTO,X,O,X,X,O,X,X
IJLZSOT,X,O,X,X,O,X,X
IJLZOTS,X,X,O,X,O,X,X
IJLZOST,X,O,X,X,O,X,X
IJLOTSZ,X,X,O,X,X,X,X
IJLOTZS,X,X,O,X,O,X,X
IJLOSTZ,X,X,O,X,X,X,O
IJLOSZT,X,X,X,X,O,X,X
IJLOZTS,X,X,O,X,O,X,X
IJLOZST,X,X,X,X,O,X,X
IJSTLZO,X,O,X,X,O,X,X
IJSTLOZ,X,X,X,X,X,X,O
IJSTZLO,X,O,X,X,O,X,X
IJSTZOL,X,O,X,X,O,X,X
IJSTOLZ,X,X,X,X,X,O,O
IJSTOZL,X,X,X,X,X,O,X
IJSLTZO,X,O,O,X,O,X,X
IJSLTOZ,X,X,O,X,X,X,O
IJSLZTO,X,O,X,X,O,X,X
IJSLZOT,X,O,X,X,O,X,X
IJSLOTZ,X,X,O,X,O,X,O
IJSLOZT,X,O,X,X,O,X,X
IJSZTLO,X,O,X,X,O,X,X
IJSZTOL,X,O,X,X,O,X,X
IJSZLTO,X,O,X,X,O,X,X
IJSZLOT,X,O,X,X,O,X,X
IJSZOTL,X,O,X,X,O,X,X
IJSZOLT,X,O,X,X,O,X,X
IJSOTLZ,X,X,X,X,O,O,O
IJSOTZL,X,X,X,X,O,O,X
IJSOLTZ,X,X,X,X,O,X,O
IJSOLZT,X,O,X,X,O,X,X
IJSOZTL,X,O,X,X,O,X,X
IJSOZLT,X,O,X,X,O,X,X
IJZTLSO,X,O,X,X,O,X,X
IJZTLOS,X,O,X,X,O,X,X
IJZTSLO,X,O,X,X,O,X,X
IJZTSOL,X,O,X,X,O,X,X
IJZTOLS,X,O,X,X,O,X,X
IJZTOSL,X,O,X,X,O,O,X
IJZLTSO,X,X,O,X,O,X,X
IJZLTOS,X,X,O,X,O,X,X
IJZLSTO,X,O,X,X,O,X,X
IJZLSOT,X,O,X,X,O,X,X
IJZLOTS,X,X,O,X,O,X,X
IJZLOST,X,O,X,X,O,X,X
IJZSTLO,X,O,X,X,O,X,X
IJZSTOL,X,O,X,X,O,X,X
IJZSLTO,X,O,X,X,O,X,X
IJZSLOT,X,O,X,X,O,X,X
IJZSOTL,X,O,X,X,O,X,X
IJZSOLT,X,O,X,X,O,X,X
IJZOTLS,X,O,X,X,O,X,X
IJZOTSL,X,O,X,X,O,X,X
IJZOLTS,X,X,X,X,O,X,X
IJZOLST,X,O,X,X,O,X,X
IJZOSTL,X,O,X,X,O,X,X
IJZOSLT,X,O,X,X,O,X,X
IJOTLSZ,X,X,X,O,X,O,X
IJOTLZS,X,X,X,X,O,X,X
IJOTSLZ,X,X,X,O,X,O,X
IJOTSZL,X,X,X,O,X,O,X
IJOTZLS,X,X,X,X,O,X,X
IJOTZSL,X,X,X,O,O,O,X
IJOLTSZ,X,X,O,X,X,X,X
IJOLTZS,X,X,O,X,O,X,X
IJOLSTZ,X,X,O,X,X,X,O
IJOLSZT,X,X,X,X,O,X,X
IJOLZTS,X,X,O,X,O,X,X
IJOLZST,X,X,X,X,O,X,X
IJOSTLZ,X,X,X,X,X,O,O
IJOSTZL,X,X,X,X,X,O,X
IJOSLTZ,X,X,X,X,X,X,O
IJOSLZT,X,O,X,X,O,X,X
IJOSZTL,X,O,X,X,O,X,X
IJOSZLT,X,O,X,X,O,X,X
IJOZTLS,X,X,X,X,O,X,X
IJOZTSL,X,O,X,X,O,X,X
IJOZLTS,X,X,X,X,O,X,X
IJOZLST,X,O,X,X,O,X,X
IJOZSTL,X,O,X,X,O,X,X
IJOZSLT,X,O,X,X,O,X,X
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,O
ISTLZJO,O,O,O,O,X,X,X
ISTLZOJ,O,O,O,O,X,X,O
ISTLOJZ,O,O,O,O,X,X,O
ISTLOZJ,O,O,O,O,X,X,O
ISTJLZO,O,O,O,O,X,X,X
ISTJLOZ,O,O,O,O,X,X,O
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,X,O,X,X,X
ISTJOLZ,O,O,X,O,X,O,O
ISTJOZL,O,O,X,O,X,O,X
ISTZLJO,O,O,O,O,X,X,X
ISTZLOJ,O,O,O,O,X,X,O
ISTZJLO,O,O,O,O,X,X,X
ISTZJOL,O,O,X,O,X,X,X
ISTZOLJ,O,O,X,O,X,X,O
ISTZOJL,O,O,X,O,X,X,X
ISTOLJZ,O,O,X,O,X,O,O
ISTOLZJ,O,O,X,O,X,X,O
ISTOJLZ,O,O,X,O,X,O,O
ISTOJZL,O,O,X,O,X,O,X
ISTOZLJ,O,O,X,O,X,X,O
ISTOZJL,O,O,X,O,X,O,X
ISLTJZO,O,O,O,O,X,X,X
ISLTJOZ,O,O,O,O,X,X,O
ISLTZJO,O,O,O,O,X,X,X
ISLTZOJ,O,O,O,O,X,X,O
ISLTOJZ,O,O,O,O,X,X,O
ISLTOZJ,O,O,O,O,X,X,O
ISLJTZO,O,O,O,X,O,X,X
ISLJTOZ,O,X,O,X,X,X,O
ISLJZTO,O,O,X,X,O,X,X
ISLJZOT,X,O,X,X,O,X,X
ISLJOTZ,O,X,O,X,O,X,O
ISLJOZT,X,O,X,X,O,X,X
ISLZTJO,O,O,X,X,O,X,X
ISLZTOJ,O,O,X,X,O,X,O
ISLZJTO,O,O,X,X,O,X,X
ISLZJOT,O,O,X,X,O,X,X
ISLZOTJ,O,O,X,X,O,X,O
ISLZOJT,O,O,X,X,O,X,X
ISLOTJZ,O,X,O,O,O,X,O
ISLOTZJ,O,X,O,O,O,X,O
ISLOJTZ,O,X,O,X,O,X,O
ISLOJZT,X,O,X,X,O,X,X
ISLOZTJ,X,O,X,X,O,X,O
ISLOZJT,X,O,X,X,O,X,X
ISJTLZO,O,O,X,X,O,X,X
ISJTLOZ,O,X,X,X,X,X,O
ISJTZLO,O,O,X,X,O,X,X
ISJTZOL,O,O,X,X,O,X,X
ISJTOLZ,O,X,X,X,X,O,O
ISJTOZL,O,X,X,X,X,O,X
ISJLTZO,O,O,O,X,O,X,X
ISJLTOZ,O,X,O,X,X,X,O
ISJLZTO,O,O,X,X,O,X,X
ISJLZOT,X,O,X,X,O,X,X
ISJLOTZ,O,X,O,X,O,X,O
ISJLOZT,X,O,X,X,O,X,X
ISJZTLO,O,O,X,X,O,X,X
ISJZTOL,O,O,X,X,O,X,X
ISJZLTO,O,O,X,X,O,X,X
ISJZLOT,X,O,X,X,O,X,X
ISJZOTL,X,O,X,X,O,X,X
ISJZOLT,X,O,X,X,O,X,X
ISJOTLZ,O,X,X,X,O,X,O
ISJOTZL,O,X,X,X,O,X,X
ISJOLTZ,O,X,X,X,O,X,O
ISJOLZT,X,O,X,X,O,X,X
ISJOZTL,X,O,X,X,O,X,X
ISJOZLT,X,O,X,X,O,X,X
ISZTLJO,O,O,X,X,O,X,X
ISZTLOJ,O,O,X,X,O,X,O
ISZTJLO,O,O,X,X,O,X,X
ISZTJOL,O,O,X,X,O,X,X
ISZTOLJ,O,O,X,X,O,X,O
ISZTOJL,O,O,X,X,O,X,X
ISZLTJO,O,O,X,X,O,X,X
ISZLTOJ,O,O,X,X,O,X,O
ISZLJTO,O,O,X,X,O,X,X
ISZLJOT,O,O,X,X,O,X,X
ISZLOTJ,O,O,X,X,O,X,O
ISZLOJT,O,O,X,X,O,X,X
ISZJTLO,O,O,X,X,O,X,X
ISZJTOL,O,O,X,X,O,X,X
ISZJLTO,O,O,X,X,O,X,X
ISZJLOT,O,O,X,X,O,X,X
ISZJOTL,O,O,X,X,O,X,X
ISZJOLT,O,O,X,X,O,X,X
ISZOTLJ,O,O,X,X,O,X,O
ISZOTJL,O,O,X,X,O,X,X
ISZOLTJ,O,O,X,X,O,X,O
ISZOLJT,O,O,X,X,O,X,X
ISZOJTL,O,O,X,X,O,X,X
ISZOJLT,O,O,X,X,O,X,X
ISOTLJZ,O,X,X,O,O,X,O
ISOTLZJ,O,X,X,O,O,X,O
ISOTJLZ,O,X,X,O,O,X,O
ISOTJZL,O,X,X,O,O,X,X
ISOTZLJ,O,X,X,O,O,X,O
ISOTZJL,O,X,X,O,O,X,X
ISOLTJZ,O,X,X,O,O,X,O
ISOLTZJ,O,X,X,O,O,X,O
ISOLJTZ,O,X,X,X,O,X,O
ISOLJZT,X,O,X,X,O,X,X
ISOLZTJ,X,O,X,X,O,X,O
ISOLZJT,X,O,X,X,O,X,X
ISOJTLZ,O,X,X,X,O,X,O
ISOJTZL,O,X,X,X,O,X,X
ISOJLTZ,O,X,X,X,O,X,O
ISOJLZT,X,O,X,X,O,X,X
ISOJZTL,X,O,X,X,O,X,X
ISOJZLT,X,O,X,X,O,X,X
ISOZTLJ,X,O,X,X,O,X,O
ISOZTJL,X,O,X,X,O,X,X
ISOZLTJ,X,O,X,X,O,X,O
ISOZLJT,X,O,X,X,O,X,X
ISOZJTL,X,O,X,X,O,X,X
ISOZJLT,X,O,X,X,O,X,X
IZTLJSO,O,O,O,X,O,X,X
IZTLJOS,O,O,O,X,O,X,X
IZTLSJO,O,O,O,X,O,X,X
IZTLSOJ,O,O,O,X,O,X,X
IZTLOJS,O,O,O,X,O,X,X
IZTLOSJ,O,O,O,X,O,X,X
IZTJLSO,O,O,O,X,O,X,X
IZTJLOS,O,O,O,X,O,X,X
IZTJSLO,O,O,O,O,O,X,X
IZTJSOL,O,O,X,O,O,X,X
IZTJOLS,O,O,O,X,O,X,X
IZTJOSL,O,O,X,O,O,O,X
IZTSLJO,O,O,O,O,O,X,X
IZTSLOJ,O,O,O,O,O,X,X
IZTSJLO,O,O,O,O,O,X,X
IZTSJOL,O,O,X,O,O,X,X
IZTSOLJ,O,O,X,O,O,X,X
IZTSOJL,O,O,X,O,O,X,X
