sequence,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoBO?sB6sBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoB6?sBOsBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBOnB8nBF?lB3qByxB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiBFlBc?sBetB3qB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBmiB1qBK?sBftBUqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiB1qBm?sBUqB3sB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBFlBmnB3?qB0sBisB
TJZLIOS,X,X,X,O,X,O,X
TJZLSIO,O,O,X,O,X,O,X
TJZLSOI,X,X,X,O,X,O,X
TJZLOIS,X,X,X,O,X,O,X
TJZLOSI,X,X,X,O,X,O,O
TJZSILO,O,O,X,O,X,O,X
TJZSIOL,O,X,X,O,X,O,X
TJZSLIO,O,O,X,O,X,O,X
TJZSLOI,X,X,X,O,X,O,X
TJZSOIL,O,X,X,O,X,O,O
TJZSOLI,X,X,X,O,X,O,O
TJZOILS,O,X,X,O,X,O,X
TJZOISL,O,X,X,O,X,O,O
TJZOLIS,O,X,X,O,X,O,X
TJZOLSI,O,X,X,O,X,O,O
TJZOSIL,O,X,X,O,X,O,O
TJZOSLI,O,X,X,O,X,O,O
TJOILSZ,X,X,X,X,O,O,X
TJOILZS,O,O,O,O,X,O,X
TJOISLZ,X,X,X,X,X,O,X
TJOISZL,O,X,X,O,X,O,X
TJOIZLS,O,O,X,O,X,O,X
TJOIZSL,O,O,X,O,X,O,X
TJOLISZ,X,X,X,X,O,O,X
TJOLIZS,O,O,O,O,X,O,X
TJOLSIZ,X,X,X,X,O,O,X
TJOLSZI,X,X,X,X,O,O,X
TJOLZIS,O,O,O,O,X,O,X
TJOLZSI,O,O,O,O,X,O,X
TJOSILZ,X,X,X,O,X,O,X
TJOSIZL,O,X,X,O,X,O,X
TJOSLIZ,X,X,X,O,X,O,X
TJOSLZI,X,X,X,O,X,O,X
TJOSZIL,O,X,X,O,X,O,X
TJOSZLI,O,X,X,O,X,O,X
TJOZILS,O,O,X,O,X,O,X
TJOZISL,O,O,X,O,X,O,O
TJOZLIS,O,O,X,O,X,O,X
TJOZLSI,O,O,X,O,X,O,O
TJOZSIL,O,O,X,O,X,O,O
TJOZSLI,O,O,X,O,X,O,O
TSILJZO,X,X,O,O,O,X,X
TSILJOZ,X,X,O,O,O,X,X
TSILZJO,X,O,O,X,O,X,O
TSILZOJ,X,O,O,X,O,X,O
TSILOJZ,X,X,O,O,O,X,X
TSILOZJ,X,O,O,X,O,X,O
TSIJLZO,X,X,O,O,O,O,X
TSIJLOZ,X,X,O,O,O,O,X
TSIJZLO,O,X,X,O,X,O,O
TSIJZOL,O,X,X,O,X,O,O
TSIJOLZ,X,X,O,O,X,O,X
TSIJOZL,O,X,X,O,X,O,O
TSIZLJO,O,O,O,X,O,X,O
TSIZLOJ,X,O,O,X,O,X,O
TSIZJLO,O,O,X,O,X,X,O
TSIZJOL,O,X,X,O,X,X,O
TSIZOLJ,X,O,O,X,X,X,O
TSIZOJL,O,X,X,O,X,X,O
TSIOLJZ,X,X,O,O,O,X,X
TSIOLZJ,X,O,O,X,O,X,O
TSIOJLZ,X,X,O,O,X,O,X
TSIOJZL,O,X,X,O,X,O,O
TSIOZLJ,O,O,O,X,X,X,O
TSIOZJL,O,O,X,O,X,X,O
TSLIJZO,X,X,O,O,O,X,X
TSLIJOZ,X,X,O,O,O,X,X
TSLIZJO,X,O,O,X,O,X,O
TSLIZOJ,X,O,O,X,O,X,O
TSLIOJZ,X,X,O,O,O,X,X
TSLIOZJ,X,O,O,X,O,X,O
TSLJIZO,X,X,O,O,O,X,X
TSLJIOZ,X,X,O,O,O,X,X
TSLJZIO,X,X,O,O,O,X,X
TSLJZOI,X,X,O,O,O,X,X
TSLJOIZ,X,X,O,O,O,X,X
TSLJOZI,X,X,O,O,O,X,X
TSLZIJO,X,O,O,X,O,X,O
TSLZIOJ,X,O,O,X,O,X,O
TSLZJIO,X,O,O,X,O,X,O
TSLZJOI,X,X,O,X,O,X,O
TSLZOIJ,X,O,O,X,O,X,O
TSLZOJI,X,X,O,X,O,X,O
TSLOIJZ,X,X,O,O,O,X,X
TSLOIZJ,X,O,O,X,O,X,O
TSLOJIZ,X,X,O,O,O,X,X
TSLOJZI,X,X,O,O,O,X,X
TSLOZIJ,X,O,O,X,O,X,O
TSLOZJI,X,O,O,X,O,X,O
TSJILZO,X,X,O,O,O,O,X
TSJILOZ,X,X,O,O,O,O,X
TSJIZLO,O,X,X,O,X,O,O
TSJIZOL,O,X,X,O,X,O,O
TSJIOLZ,X,X,O,O,X,O,X
TSJIOZL,O,X,X,O,X,O,O
TSJLIZO,X,X,O,O,O,O,X
TSJLIOZ,X,X,O,O,O,O,X
TSJLZIO,X,X,O,O,O,O,X
TSJLZOI,X,X,O,O,O,O,X
TSJLOIZ,X,X,O,O,O,O,X
TSJLOZI,X,X,O,O,O,O,X
TSJZILO,O,X,X,O,X,O,O
TSJZIOL,O,X,X,O,X,O,O
TSJZLIO,O,X,X,O,X,O,O
TSJZLOI,X,X,X,O,X,O,O
TSJZOIL,O,X,X,O,X,O,O
TSJZOLI,X,X,X,O,X,O,O
TSJOILZ,X,X,O,O,X,O,X
TSJOIZL,O,X,X,O,X,O,O
TSJOLIZ,X,X,O,O,X,O,X
TSJOLZI,X,X,O,O,X,O,X
TSJOZIL,O,X,X,O,X,O,O
TSJOZLI,O,X,X,O,X,O,O
TSZILJO,O,O,O,X,O,X,O
TSZILOJ,X,O,O,X,O,X,O
TSZIJLO,O,O,X,O,X,X,O
TSZIJOL,O,X,X,O,X,X,O
TSZIOLJ,X,O,O,X,X,X,O
TSZIOJL,O,X,X,O,X,X,O
TSZLIJO,O,O,O,X,O,X,O
TSZLIOJ,X,O,O,X,O,X,O
TSZLJIO,O,O,O,X,O,X,O
TSZLJOI,X,X,O,X,O,X,O
TSZLOIJ,X,O,O,X,O,X,O
TSZLOJI,X,X,O,X,O,X,O
TSZJILO,O,O,X,O,X,X,O
TSZJIOL,O,X,X,O,X,X,O
TSZJLIO,O,O,X,O,X,X,O
TSZJLOI,X,X,X,O,X,X,O
TSZJOIL,O,X,X,O,X,X,O
TSZJOLI,X,X,X,O,X,X,O
TSZOILJ,X,O,O,X,X,X,O
TSZOIJL,O,X,X,O,X,X,O
TSZOLIJ,X,O,O,X,X,X,O
TSZOLJI,X,X,O,X,X,X,O
TSZOJIL,O,X,X,O,X,X,O
TSZOJLI,X,X,X,O,X,X,O
TSOILJZ,X,X,O,O,O,X,X
TSOILZJ,X,O,O,X,O,X,O
TSOIJLZ,X,X,O,O,X,O,X
TSOIJZL,O,X,X,O,X,O,O
TSOIZLJ,O,O,O,X,X,X,O
TSOIZJL,O,O,X,O,X,X,O
TSOLIJZ,X,X,O,O,O,X,X
TSOLIZJ,X,O,O,X,O,X,O
TSOLJIZ,X,X,O,O,O,X,X
TSOLJZI,X,X,O,O,O,X,X
TSOLZIJ,X,O,O,X,O,X,O
TSOLZJI,X,O,O,X,O,X,O
TSOJILZ,X,X,O,O,X,O,X
TSOJIZL,O,X,X,O,X,O,O
TSOJLIZ,X,X,O,O,X,O,X
TSOJLZI,X,X,O,O,X,O,X
TSOJZIL,O,X,X,O,X,O,O
TSOJZLI,O,X,X,O,X,O,O
TSOZILJ,O,O,O,X,X,X,O
TSOZIJL,O,O,X,O,X,X,O
TSOZLIJ,O,O,O,X,X,X,O
TSOZLJI,O,O,O,X,X,X,O
TSOZJIL,O,O,X,O,X,X,O
TSOZJLI,O,O,X,O,X,X,O
TZILJSO,O,O,O,X,X,X,X
TZILJOS,X,X,O,X,X,X,X
TZILSJO,O,O,O,X,O,X,X
TZILSOJ,X,O,O,X,O,X,X
TZILOJS,X,O,O,X,X,X,X
TZILOSJ,X,O,O,X,O,X,X
TZIJLSO,O,O,X,O,X,X,X
TZIJLOS,X,X,X,O,X,X,X
TZIJSLO,O,O,X,O,X,O,X
TZIJSOL,O,X,X,O,X,O,X
TZIJOLS,O,X,X,O,X,X,X
TZIJOSL,O,X,X,O,X,O,O
TZISLJO,O,O,X,X,O,X,X
TZISLOJ,X,O,X,X,O,X,X
TZISJLO,O,O,X,X,X,X,X
TZISJOL,O,X,X,X,X,X,X
TZISOLJ,X,O,X,X,X,X,X
TZISOJL,O,X,X,X,X,X,X
TZIOLJS,O,O,O,X,X,X,X
TZIOLSJ,O,O,O,X,O,X,X
TZIOJLS,O,O,X,O,X,X,X
TZIOJSL,O,O,X,O,X,O,O
TZIOSLJ,O,O,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X
TZLIJOS,X,X,O,X,X,X,X
TZLISJO,O,O,O,X,O,X,X
TZLISOJ,X,O,O,X,O,X,X
TZLIOJS,X,O,O,X,X,X,X
TZLIOSJ,X,O,O,X,O,X,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,X,X,O,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,X,X,O,X,X,X,X
TZLJOIS,X,X,O,X,X,X,X
TZLJOSI,X,X,O,X,X,X,O
TZLSIJO,O,O,O,X,O,X,X
TZLSIOJ,X,O,O,X,O,X,X
TZLSJIO,O,O,O,X,O,X,X
TZLSJOI,X,X,O,X,O,X,X
TZLSOIJ,X,O,O,X,O,X,X
TZLSOJI,X,X,O,X,O,X,X
TZLOIJS,X,O,O,X,X,X,X
TZLOISJ,X,O,O,X,O,X,X
TZLOJIS,X,O,O,X,X,X,X
TZLOJSI,X,O,O,X,X,X,O
TZLOSIJ,X,O,O,X,O,X,X
TZLOSJI,X,O,O,X,O,X,X
TZJILSO,O,O,X,O,X,O,X
TZJILOS,X,X,X,O,X,O,X
TZJISLO,O,O,X,O,X,O,X
TZJISOL,O,X,X,O,X,O,X
TZJIOLS,O,X,X,O,X,O,X
TZJIOSL,O,X,X,O,X,O,O
TZJLISO,O,O,X,O,X,O,X
TZJLIOS,X,X,X,O,X,O,X
TZJLSIO,O,O,X,O,X,O,X
TZJLSOI,X,X,X,O,X,O,X
TZJLOIS,X,X,X,O,X,O,X
TZJLOSI,X,X,X,O,X,O,O
TZJSILO,O,O,X,O,X,O,O
TZJSIOL,O,X,X,O,X,O,O
TZJSLIO,O,O,X,O,X,O,O
TZJSLOI,X,X,X,O,X,O,O
TZJSOIL,O,X,X,O,X,O,O
TZJSOLI,X,X,X,O,X,O,O
TZJOILS,O,X,X,O,X,O,X
TZJOISL,O,X,X,O,X,O,O
TZJOLIS,O,X,X,O,X,O,X
TZJOLSI,O,X,X,O,X,O,O
TZJOSIL,O,X,X,O,X,O,O
TZJOSLI,O,X,X,O,X,O,O
TZSILJO,O,O,X,X,O,X,O
TZSILOJ,X,O,X,X,O,X,O
TZSIJLO,O,O,X,X,X,X,O
TZSIJOL,O,X,X,X,X,X,O
TZSIOLJ,X,O,X,X,X,X,O
TZSIOJL,O,X,X,X,X,X,O
TZSLIJO,O,O,X,X,O,X,O
TZSLIOJ,X,O,X,X,O,X,O
TZSLJIO,O,O,X,X,O,X,O
TZSLJOI,X,X,X,X,O,X,O
TZSLOIJ,X,O,X,X,O,X,O
TZSLOJI,X,X,X,X,O,X,O
TZSJILO,O,O,X,X,X,X,O
TZSJIOL,O,X,X,X,X,X,O
TZSJLIO,O,O,X,X,X,X,O
TZSJLOI,X,X,X,X,X,X,O
TZSJOIL,O,X,X,X,X,X,O
TZSJOLI,X,X,X,X,X,X,O
TZSOILJ,X,O,X,X,X,X,O
TZSOIJL,O,X,X,X,X,X,O
TZSOLIJ,X,O,X,X,X,X,O
TZSOLJI,X,X,X,X,X,X,O
TZSOJIL,O,X,X,X,X,X,O
TZSOJLI,X,X,X,X,X,X,O
TZOILJS,O,O,O,X,X,X,X
TZOILSJ,O,O,O,X,O,X,X
TZOIJLS,O,O,X,O,X,X,X
TZOIJSL,O,O,X,O,X,O,O
TZOISLJ,O,O,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X
TZOLIJS,O,O,O,X,X,X,X
TZOLISJ,O,O,O,X,O,X,X
TZOLJIS,O,O,O,X,X,X,X
TZOLJSI,O,O,O,X,X,X,O
TZOLSIJ,O,O,O,X,O,X,X
TZOLSJI,O,O,O,X,O,X,X
TZOJILS,O,O,X,O,X,O,X
TZOJISL,O,O,X,O,X,O,O
TZOJLIS,O,O,X,O,X,O,X
TZOJLSI,O,O,X,O,X,O,O
TZOJSIL,O,O,X,O,X,O,O
TZOJSLI,O,O,X,O,X,O,O
TZOSILJ,O,O,X,X,X,X,O
TZOSIJL,O,O,X,X,X,X,O
TZOSLIJ,O,O,X,X,X,X,O
TZOSLJI,O,O,X,X,X,X,O
TZOSJIL,O,O,X,X,X,X,O
TZOSJLI,O,O,X,X,X,X,O
