sequence,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFukBclBThBi?iBlrB3sB,v115@GhA8GeC8CeA8EeA8AeD8CeB8Jex/IvhFThBiiBOpBX?lB0rBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFWlBThBiiBX?lB0rBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFGgB0hBzkB/?rBlsBisB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFGgB0hBzkB/?rBisBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8Jex/IvhFiiBOpBXlBT?mBlsB0rB
IOTZLSJ,O,X,O,X,X,X
IOTZJLS,O,X,O,X,X,X
IOTZJSL,O,X,O,O,X,X
IOTZSLJ,O,X,O,O,X,X
IOTZSJL,O,X,O,O,X,X
IOLTJSZ,X,X,X,O,O,X
IOLTJZS,O,X,O,X,X,X
IOLTSJZ,X,X,X,O,O,X
IOLTSZJ,O,X,X,O,O,X
IOLTZJS,O,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X
IOLJTSZ,X,X,X,O,O,X
IOLJTZS,X,X,O,X,X,X
IOLJSTZ,X,X,X,X,O,X
IOLJSZT,X,X,X,O,O,X
IOLJZTS,X,X,O,X,X,X
IOLJZST,X,X,O,X,O,X
IOLSTJZ,O,X,X,X,O,X
IOLSTZJ,O,X,X,X,O,X
IOLSJTZ,X,X,X,X,O,X
IOLSJZT,X,X,X,O,O,X
IOLSZTJ,O,X,X,X,O,X
IOLSZJT,O,X,X,O,O,X
IOLZTJS,O,X,O,X,X,X
IOLZTSJ,O,X,X,X,X,X
IOLZJTS,O,X,O,X,X,X
IOLZJST,O,X,O,X,O,X
IOLZSTJ,O,X,X,X,O,X
IOLZSJT,O,X,O,X,O,X
IOJTLSZ,X,X,X,O,O,X
IOJTLZS,X,X,O,X,X,X
IOJTSLZ,X,X,X,O,O,X
IOJTSZL,X,X,X,O,O,X
IOJTZLS,X,X,O,X,X,X
IOJTZSL,X,X,O,O,X,X
IOJLTSZ,X,X,X,O,O,X
IOJLTZS,X,X,O,X,X,X
IOJLSTZ,X,X,X,X,O,X
IOJLSZT,X,X,X,O,O,X
IOJLZTS,X,X,O,X,X,X
IOJLZST,X,X,O,X,O,X
IOJSTLZ,X,X,X,O,O,X
IOJSTZL,X,X,X,O,O,X
IOJSLTZ,X,X,X,X,O,X
IOJSLZT,X,X,X,O,O,X
IOJSZTL,X,X,X,O,O,X
IOJSZLT,X,X,X,O,O,X
IOJZTLS,X,X,O,X,X,X
IOJZTSL,X,X,X,O,X,X
IOJZLTS,X,X,O,X,X,X
IOJZLST,X,X,O,X,O,X
IOJZSTL,X,X,X,O,O,X
IOJZSLT,X,X,O,O,O,X
IOSTLJZ,O,X,X,O,O,X
IOSTLZJ,O,X,X,O,O,X
IOSTJLZ,O,X,X,O,O,X
IOSTJZL,O,X,X,O,O,X
IOSTZLJ,O,X,X,O,X,X
IOSTZJL,O,X,X,O,O,X
IOSLTJZ,O,X,X,X,O,X
IOSLTZJ,O,X,X,X,O,X
IOSLJTZ,X,X,X,X,O,X
IOSLJZT,X,X,X,O,O,X
IOSLZTJ,O,X,X,X,O,X
IOSLZJT,O,X,X,O,O,X
IOSJTLZ,X,X,X,O,O,X
IOSJTZL,X,X,X,O,O,X
IOSJLTZ,X,X,X,X,O,X
IOSJLZT,X,X,X,O,O,X
IOSJZTL,X,X,X,O,O,X
IOSJZLT,X,X,X,O,O,X
IOSZTLJ,O,X,X,X,X,X
IOSZTJL,O,X,X,O,O,X
IOSZLTJ,O,X,X,X,O,X
IOSZLJT,O,X,X,O,O,X
IOSZJTL,O,X,X,O,O,X
IOSZJLT,O,X,X,O,O,X
IOZTLJS,O,X,O,X,X,X
IOZTLSJ,O,X,X,X,X,X
IOZTJLS,O,X,O,X,X,X
IOZTJSL,O,X,X,O,X,X
IOZTSLJ,O,X,X,O,X,X
IOZTSJL,O,X,X,O,X,X
IOZLTJS,O,X,O,X,X,X
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,O,X,O,X,X,X
IOZLJST,O,X,O,X,O,X
IOZLSTJ,O,X,X,X,O,X
IOZLSJT,O,X,O,X,O,X
IOZJTLS,O,X,O,X,X,X
IOZJTSL,O,X,X,O,X,X
IOZJLTS,O,X,O,X,X,X
IOZJLST,O,X,O,X,O,X
IOZJSTL,O,X,X,O,O,X
IOZJSLT,O,X,O,O,O,X
IOZSTLJ,O,X,X,X,X,X
IOZSTJL,O,X,X,O,O,X
IOZSLTJ,O,X,X,X,O,X
IOZSLJT,O,X,O,O,O,X
IOZSJTL,O,X,X,O,O,X
IOZSJLT,O,X,O,O,O,X
LTIJSZO,X,O,O,X,X,O
LTIJSOZ,X,O,X,X,X,O
LTIJZSO,O,X,O,X,X,X
LTIJZOS,O,X,O,X,X,X
LTIJOSZ,X,X,X,X,X,O
LTIJOZS,O,X,O,X,X,X
LTISJZO,O,O,O,X,X,O
LTISJOZ,O,O,X,X,X,O
LTISZJO,O,O,X,X,X,X
LTISZOJ,O,O,X,O,O,X
LTISOJZ,O,X,X,O,O,O
LTISOZJ,O,O,X,O,O,X
LTIZJSO,O,X,O,X,X,X
LTIZJOS,O,X,O,X,X,X
LTIZSJO,O,X,O,X,X,X
LTIZSOJ,O,X,O,X,X,X
LTIZOJS,O,X,O,X,X,X
LTIZOSJ,O,X,O,X,X,X
LTIOJSZ,X,X,X,O,O,O
LTIOJZS,O,X,O,X,X,X
LTIOSJZ,X,X,X,O,O,O
LTIOSZJ,O,X,X,O,O,X
LTIOZJS,O,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X
LTJISZO,X,O,O,X,X,O
LTJISOZ,X,O,X,X,X,O
LTJIZSO,O,O,O,X,X,X
LTJIZOS,O,O,O,X,X,X
LTJIOSZ,X,X,X,X,X,O
LTJIOZS,O,X,O,X,X,X
LTJSIZO,X,O,O,X,X,O
LTJSIOZ,X,O,X,X,X,O
LTJSZIO,X,O,O,X,X,O
LTJSZOI,X,O,O,X,X,O
LTJSOIZ,X,O,X,X,X,O
LTJSOZI,X,O,X,X,X,O
LTJZISO,O,O,O,X,X,X
LTJZIOS,O,O,O,X,X,X
LTJZSIO,O,O,O,X,X,O
LTJZSOI,O,O,O,X,X,O
LTJZOIS,O,O,O,X,X,X
LTJZOSI,O,O,O,X,X,O
LTJOISZ,X,X,X,X,X,O
LTJOIZS,O,X,O,X,X,X
LTJOSIZ,X,O,X,X,X,O
LTJOSZI,X,O,X,X,X,O
LTJOZIS,O,X,O,X,X,X
LTJOZSI,O,X,O,X,X,O
LTSIJZO,O,O,O,X,X,O
LTSIJOZ,O,O,X,X,X,O
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,O,O,X,O,O,X
LTSIOJZ,O,X,X,O,O,O
LTSIOZJ,O,O,X,O,O,X
LTSJIZO,O,O,O,X,X,O
LTSJIOZ,O,O,X,X,X,O
LTSJZIO,O,O,O,X,X,O
LTSJZOI,O,O,O,X,X,O
LTSJOIZ,O,O,X,X,X,O
LTSJOZI,O,O,X,X,X,O
LTSZIJO,O,O,X,X,X,X
LTSZIOJ,O,O,X,O,O,X
LTSZJIO,O,O,X,X,X,O
LTSZJOI,O,O,X,X,X,O
LTSZOIJ,O,O,X,O,O,X
LTSZOJI,O,O,X,O,O,O
LTSOIJZ,O,X,X,O,O,O
LTSOIZJ,O,O,X,O,O,X
LTSOJIZ,O,O,X,O,O,O
LTSOJZI,O,O,X,O,O,O
LTSOZIJ,O,O,X,O,O,X
LTSOZJI,O,O,X,O,O,O
LTZIJSO,O,O,O,X,X,X
LTZIJOS,O,O,O,X,X,X
LTZISJO,O,O,O,X,X,X
LTZISOJ,O,O,O,X,X,X
LTZIOJS,O,O,O,X,X,X
LTZIOSJ,O,O,O,X,X,X
LTZJISO,O,O,O,X,X,X
LTZJIOS,O,O,O,X,X,X
LTZJSIO,O,O,O,X,X,O
LTZJSOI,O,O,O,X,X,O
LTZJOIS,O,O,O,X,X,X
LTZJOSI,O,O,O,X,X,O
LTZSIJO,O,O,O,X,X,X
LTZSIOJ,O,O,O,X,X,X
LTZSJIO,O,O,O,X,X,O
LTZSJOI,O,O,O,X,X,O
LTZSOIJ,O,O,O,X,X,X
LTZSOJI,O,O,O,X,X,O
LTZOIJS,O,O,O,X,X,X
LTZOISJ,O,O,O,X,X,X
LTZOJIS,O,O,O,X,X,X
LTZOJSI,O,O,O,X,X,O
LTZOSIJ,O,O,O,X,X,X
LTZOSJI,O,O,O,X,X,O
LTOIJSZ,X,X,X,O,O,O
LTOIJZS,O,X,O,X,X,X
LTOISJZ,X,X,X,O,O,O
LTOISZJ,O,X,X,O,O,X
LTOIZJS,O,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,X
LTOJISZ,X,X,X,O,O,O
LTOJIZS,O,X,O,X,X,X
LTOJSIZ,X,O,X,O,O,O
LTOJSZI,X,O,X,O,O,O
LTOJZIS,O,X,O,X,X,X
LTOJZSI,O,X,O,X,X,O
LTOSIJZ,X,X,X,O,O,O
LTOSIZJ,O,O,X,O,O,X
LTOSJIZ,X,O,X,O,O,O
LTOSJZI,X,O,X,O,O,O
LTOSZIJ,O,O,X,O,O,X
LTOSZJI,O,O,X,O,O,O
LTOZIJS,O,X,X,X,X,X
LTOZISJ,O,X,X,X,X,X
LTOZJIS,O,X,X,X,X,X
LTOZJSI,O,X,X,X,X,O
LTOZSIJ,O,X,X,X,X,X
LTOZSJI,O,X,X,X,X,O
LITJSZO,X,O,O,X,X,O
LITJSOZ,X,O,X,X,X,O
LITJZSO,O,X,O,X,X,X
LITJZOS,O,X,O,X,X,X
LITJOSZ,X,X,X,X,X,O
LITJOZS,O,X,O,X,X,X
LITSJZO,O,O,O,X,X,O
LITSJOZ,O,O,X,X,X,O
LITSZJO,O,O,X,X,X,X
LITSZOJ,O,O,X,O,O,X
LITSOJZ,O,X,X,O,O,O
LITSOZJ,O,O,X,O,O,X
LITZJSO,O,X,O,X,X,X
LITZJOS,O,X,O,X,X,X
LITZSJO,O,X,O,X,X,X
LITZSOJ,O,X,O,X,X,X
LITZOJS,O,X,O,X,X,X
LITZOSJ,O,X,O,X,X,X
LITOJSZ,X,X,X,O,O,O
LITOJZS,O,X,O,X,X,X
LITOSJZ,X,X,X,O,O,O
LITOSZJ,O,X,X,O,O,X
LITOZJS,O,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X
LIJTSZO,X,O,O,X,X,O
LIJTSOZ,X,O,X,X,X,O
LIJTZSO,O,X,O,X,X,X
LIJTZOS,O,O,O,X,X,X
LIJTOSZ,X,X,X,X,X,O
LIJTOZS,O,X,O,X,X,X
LIJSTZO,O,O,O,X,X,O
LIJSTOZ,O,O,X,X,X,O
LIJSZTO,O,O,X,X,X,O
LIJSZOT,O,O,O,X,O,X
LIJSOTZ,X,O,X,X,O,O
LIJSOZT,X,O,X,X,O,X
LIJZTSO,O,X,O,X,X,X
LIJZTOS,O,O,O,X,X,X
LIJZSTO,O,O,X,X,X,X
LIJZSOT,O,O,O,X,X,X
LIJZOTS,O,O,O,X,X,X
LIJZOST,O,O,O,X,X,X
LIJOTSZ,X,X,X,X,O,X
LIJOTZS,X,X,O,X,X,X
LIJOSTZ,X,X,X,X,O,X
LIJOSZT,X,X,X,X,O,X
LIJOZTS,X,O,O,X,X,X
LIJOZST,X,O,O,X,O,X
LISTJZO,O,O,O,X,X,O
LISTJOZ,O,O,X,X,X,O
LISTZJO,O,O,X,X,X,X
LISTZOJ,O,O,X,X,O,X
LISTOJZ,O,X,X,X,O,O
LISTOZJ,O,O,X,X,O,X
LISJTZO,O,O,O,X,X,O
LISJTOZ,O,O,X,X,X,O
LISJZTO,O,O,X,X,X,O
LISJZOT,O,O,O,X,O,X
LISJOTZ,X,O,X,X,O,O
LISJOZT,X,O,X,X,O,X
LISZTJO,O,O,X,X,X,X
LISZTOJ,O,O,X,X,O,X
LISZJTO,O,O,X,X,X,X
LISZJOT,O,O,O,X,O,X
LISZOTJ,O,O,X,X,O,X
LISZOJT,O,O,O,O,O,X
LISOTJZ,O,X,X,X,O,X
LISOTZJ,O,O,X,X,O,X
LISOJTZ,X,X,X,X,O,X
LISOJZT,X,X,X,O,O,X
LISOZTJ,O,O,X,X,O,X
LISOZJT,O,O,X,O,O,X
LIZTJSO,O,X,O,X,X,X
LIZTJOS,O,X,O,X,X,X
LIZTSJO,O,X,X,X,X,X
LIZTSOJ,O,X,X,X,X,X
LIZTOJS,O,X,O,X,X,X
LIZTOSJ,O,X,X,X,X,X
LIZJTSO,O,X,O,X,X,X
LIZJTOS,O,O,O,X,X,X
LIZJSTO,O,O,X,X,X,X
LIZJSOT,O,O,O,X,X,X
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,O,O,X,X,X
LIZSTJO,O,X,X,X,X,X
LIZSTOJ,O,O,X,X,O,X
LIZSJTO,O,O,X,X,X,X
LIZSJOT,O,O,O,X,O,X
LIZSOTJ,O,O,X,X,O,X
LIZSOJT,O,O,O,X,O,X
LIZOTJS,O,X,O,X,X,X
LIZOTSJ,O,X,X,X,X,X
LIZOJTS,O,O,O,X,X,X
LIZOJST,O,O,O,X,O,X
LIZOSTJ,O,O,X,X,O,X
LIZOSJT,O,O,O,X,O,X
LIOTJSZ,X,X,X,O,O,X
LIOTJZS,O,X,O,X,X,X
LIOTSJZ,X,X,X,O,O,X
LIOTSZJ,O,X,X,O,O,X
LIOTZJS,O,X,X,X,X,X
LIOTZSJ,O,X,X,X,X,X
LIOJTSZ,X,X,X,O,O,X
LIOJTZS,X,X,O,X,X,X
LIOJSTZ,X,X,X,X,O,X
LIOJSZT,X,X,X,O,O,X
LIOJZTS,X,X,O,X,X,X
LIOJZST,X,X,O,X,O,X
LIOSTJZ,O,X,X,X,O,X
LIOSTZJ,O,X,X,X,O,X
LIOSJTZ,X,X,X,X,O,X
LIOSJZT,X,X,X,O,O,X
LIOSZTJ,O,X,X,X,O,X
LIOSZJT,O,X,X,O,O,X
LIOZTJS,O,X,O,X,X,X
LIOZTSJ,O,X,X,X,X,X
LIOZJTS,O,X,O,X,X,X
LIOZJST,O,X,O,X,O,X
LIOZSTJ,O,X,X,X,O,X
LIOZSJT,O,X,O,X,O,X
LJTISZO,X,O,O,X,X,O
LJTISOZ,X,O,X,X,X,O
LJTIZSO,O,O,O,X,X,X
LJTIZOS,O,O,O,X,X,X
LJTIOSZ,X,X,X,X,X,O
LJTIOZS,O,X,O,X,X,X
LJTSIZO,X,O,O,X,X,O
LJTSIOZ,X,O,X,X,X,O
LJTSZIO,X,O,O,X,X,O
LJTSZOI,X,O,O,X,X,O
LJTSOIZ,X,O,X,X,X,O
LJTSOZI,X,O,X,X,X,O
LJTZISO,O,O,O,X,X,X
LJTZIOS,O,O,O,X,X,X
LJTZSIO,O,O,O,X,X,O
LJTZSOI,O,O,O,X,X,O
LJTZOIS,O,O,O,X,X,X
LJTZOSI,O,O,O,X,X,O
LJTOISZ,X,X,X,X,X,O
LJTOIZS,O,X,O,X,X,X
LJTOSIZ,X,O,X,X,X,O
LJTOSZI,X,O,X,X,X,O
LJTOZIS,O,X,O,X,X,X
LJTOZSI,O,X,O,X,X,O
LJITSZO,X,O,O,X,X,O
LJITSOZ,X,O,X,X,X,O
LJITZSO,O,O,O,X,X,X
LJITZOS,O,O,O,X,X,X
LJITOSZ,X,X,X,X,X,O
LJITOZS,O,X,O,X,X,X
LJISTZO,O,O,O,X,X,O
LJISTOZ,O,O,X,X,X,O
LJISZTO,O,O,X,X,X,O
LJISZOT,O,O,O,X,O,X
LJISOTZ,X,O,X,X,O,O
LJISOZT,X,O,X,X,O,X
LJIZTSO,O,X,O,X,X,X
LJIZTOS,O,O,O,X,X,X
LJIZSTO,O,O,X,X,X,X
LJIZSOT,O,O,O,X,X,X
LJIZOTS,O,O,O,X,X,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,X,X,X,X,O,X
LJIOTZS,X,X,O,X,X,X
LJIOSTZ,X,X,X,X,O,X
LJIOSZT,X,X,X,X,O,X
LJIOZTS,X,O,O,X,X,X
LJIOZST,X,O,O,X,O,X
LJSTIZO,O,O,O,X,X,O
LJSTIOZ,O,O,X,X,X,O
LJSTZIO,O,O,O,X,X,O
LJSTZOI,O,O,O,X,X,O
LJSTOIZ,O,O,X,X,X,O
LJSTOZI,O,O,X,X,X,O
LJSITZO,O,O,O,X,X,O
LJSITOZ,O,O,X,X,X,O
LJSIZTO,O,O,X,X,X,O
LJSIZOT,O,O,O,X,O,X
LJSIOTZ,X,O,X,X,O,O
LJSIOZT,X,O,X,X,O,X
LJSZTIO,O,O,X,X,X,O
LJSZTOI,O,O,X,X,X,O
LJSZITO,O,O,X,X,X,O
LJSZIOT,O,O,O,X,O,X
LJSZOTI,O,O,X,X,O,X
LJSZOIT,O,O,O,X,O,X
LJSOTIZ,X,O,X,X,O,O
LJSOTZI,X,O,X,X,O,O
LJSOITZ,X,O,X,X,O,O
LJSOIZT,X,O,X,X,O,X
LJSOZTI,X,O,X,X,O,X
LJSOZIT,X,O,X,X,O,X
LJZTISO,O,X,O,X,X,X
LJZTIOS,O,O,O,X,X,X
LJZTSIO,O,O,O,X,X,O
LJZTSOI,O,O,O,X,X,O
LJZTOIS,O,O,O,X,X,X
LJZTOSI,O,O,O,X,X,O
LJZITSO,O,X,O,X,X,X
LJZITOS,O,O,O,X,X,X
LJZISTO,O,O,X,X,X,X
LJZISOT,O,O,O,X,X,X
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,O,O,X,X,X
LJZSTIO,O,O,X,X,X,O
LJZSTOI,O,O,X,X,X,O
LJZSITO,O,O,X,X,X,O
LJZSIOT,O,O,O,X,X,X
LJZSOTI,O,O,X,X,X,X
LJZSOIT,O,O,O,X,X,X
LJZOTIS,O,O,O,X,X,X
LJZOTSI,O,O,X,X,X,X
LJZOITS,O,O,O,X,X,X
LJZOIST,O,O,O,X,X,X
LJZOSTI,O,O,X,X,X,X
LJZOSIT,O,O,O,X,X,X
LJOTISZ,X,X,X,X,O,O
LJOTIZS,X,X,O,X,X,X
LJOTSIZ,X,O,X,X,O,O
LJOTSZI,X,O,X,X,O,O
LJOTZIS,X,X,O,X,X,X
LJOTZSI,X,X,O,X,X,O
LJOITSZ,X,X,X,X,O,X
LJOITZS,X,X,O,X,X,X
LJOISTZ,X,X,X,X,O,X
LJOISZT,X,X,X,X,O,X
LJOIZTS,X,O,O,X,X,X
LJOIZST,X,O,O,X,O,X
LJOSTIZ,X,O,X,X,O,O
LJOSTZI,X,O,X,X,O,O
LJOSITZ,X,O,X,X,O,O
LJOSIZT,X,O,X,X,O,X
LJOSZTI,X,O,X,X,O,X
LJOSZIT,X,O,X,X,O,X
LJOZTIS,X,O,O,X,X,X
LJOZTSI,X,O,X,X,X,X
LJOZITS,X,O,O,X,X,X
LJOZIST,X,O,O,X,O,X
LJOZSTI,X,O,X,X,O,X
LJOZSIT,X,O,O,X,O,X
LSTIJZO,O,O,O,X,X,O
LSTIJOZ,O,O,X,X,X,O
LSTIZJO,O,O,X,X,X,X
LSTIZOJ,O,O,X,X,O,X
LSTIOJZ,O,X,X,X,O,O
LSTIOZJ,O,O,X,X,O,X
LSTJIZO,O,O,O,X,X,O
LSTJIOZ,O,O,X,X,X,O
LSTJZIO,O,O,O,X,X,O
LSTJZOI,O,O,O,X,X,O
LSTJOIZ,O,O,X,X,X,O
LSTJOZI,O,O,X,X,X,O
LSTZIJO,O,O,X,X,X,X
LSTZIOJ,O,O,X,X,O,X
LSTZJIO,O,O,X,X,X,O
LSTZJOI,O,O,X,X,X,O
LSTZOIJ,O,O,X,X,O,X
LSTZOJI,O,O,X,X,O,O
LSTOIJZ,O,X,X,X,O,O
LSTOIZJ,O,O,X,X,O,X
LSTOJIZ,O,O,X,X,O,O
LSTOJZI,O,O,X,X,O,O
LSTOZIJ,O,O,X,X,O,X
LSTOZJI,O,O,X,X,O,O
LSITJZO,O,O,O,X,X,O
LSITJOZ,O,O,X,X,X,O
LSITZJO,O,O,X,X,X,X
LSITZOJ,O,O,X,X,O,X
LSITOJZ,O,X,X,X,O,O
LSITOZJ,O,O,X,X,O,X
LSIJTZO,O,O,O,X,X,O
LSIJTOZ,O,O,X,X,X,O
LSIJZTO,O,O,X,X,X,O
LSIJZOT,O,O,O,X,O,X
LSIJOTZ,X,O,X,X,O,O
LSIJOZT,X,O,X,X,O,X
LSIZTJO,O,O,X,X,X,X
LSIZTOJ,O,O,X,X,O,X
LSIZJTO,O,O,X,X,X,X
LSIZJOT,O,O,O,X,O,X
LSIZOTJ,O,O,X,X,O,X
LSIZOJT,O,O,O,O,O,X
LSIOTJZ,O,X,X,X,O,X
LSIOTZJ,O,O,X,X,O,X
LSIOJTZ,X,X,X,X,O,X
LSIOJZT,X,X,X,O,O,X
LSIOZTJ,O,O,X,X,O,X
LSIOZJT,O,O,X,O,O,X
LSJTIZO,O,O,O,X,X,O
LSJTIOZ,O,O,X,X,X,O
LSJTZIO,O,O,O,X,X,O
LSJTZOI,O,O,O,X,X,O
LSJTOIZ,O,O,X,X,X,O
LSJTOZI,O,O,X,X,X,O
LSJITZO,O,O,O,X,X,O
LSJITOZ,O,O,X,X,X,O
LSJIZTO,O,O,X,X,X,O
LSJIZOT,O,O,O,X,O,X
LSJIOTZ,X,O,X,X,O,O
LSJIOZT,X,O,X,X,O,X
LSJZTIO,O,O,X,X,X,O
LSJZTOI,O,O,X,X,X,O
LSJZITO,O,O,X,X,X,O
LSJZIOT,O,O,O,X,O,X
LSJZOTI,O,O,X,X,O,X
LSJZOIT,O,O,O,X,O,X
LSJOTIZ,X,O,X,X,O,O
LSJOTZI,X,O,X,X,O,O
LSJOITZ,X,O,X,X,O,O
LSJOIZT,X,O,X,X,O,X
LSJOZTI,X,O,X,X,O,X
LSJOZIT,X,O,X,X,O,X
LSZTIJO,O,O,X,X,X,X
LSZTIOJ,O,O,X,X,O,X
LSZTJIO,O,O,X,X,X,O
LSZTJOI,O,O,X,X,X,O
LSZTOIJ,O,O,X,X,O,X
LSZTOJI,O,O,X,X,O,O
LSZITJO,O,O,X,X,X,X
LSZITOJ,O,O,X,X,O,X
LSZIJTO,O,O,X,X,X,X
LSZIJOT,O,O,O,X,O,X
LSZIOTJ,O,O,X,X,O,X
LSZIOJT,O,O,O,O,O,X
LSZJTIO,O,O,X,X,X,O
LSZJTOI,O,O,X,X,X,O
LSZJITO,O,O,X,X,X,O
LSZJIOT,O,O,O,X,O,X
LSZJOTI,O,O,X,X,O,X
LSZJOIT,O,O,O,X,O,X
LSZOTIJ,O,O,X,X,O,X
LSZOTJI,O,O,X,X,O,X
LSZOITJ,O,O,X,X,O,X
LSZOIJT,O,O,O,O,O,X
LSZOJTI,O,O,X,X,O,X
LSZOJIT,O,O,O,O,O,X
LSOTIJZ,O,X,X,X,O,O
LSOTIZJ,O,O,X,X,O,X
LSOTJIZ,O,O,X,X,O,O
LSOTJZI,O,O,X,X,O,O
LSOTZIJ,O,O,X,X,O,X
LSOTZJI,O,O,X,X,O,O
LSOITJZ,O,X,X,X,O,X
LSOITZJ,O,O,X,X,O,X
LSOIJTZ,X,X,X,X,O,X
LSOIJZT,X,X,X,O,O,X
LSOIZTJ,O,O,X,X,O,X
LSOIZJT,O,O,X,O,O,X
LSOJTIZ,X,O,X,X,O,O
LSOJTZI,X,O,X,X,O,O
LSOJITZ,X,O,X,X,O,O
LSOJIZT,X,O,X,O,O,X
LSOJZTI,X,O,X,X,O,X
LSOJZIT,X,O,X,O,O,X
LSOZTIJ,O,O,X,X,O,X
LSOZTJI,O,O,X,X,O,X
LSOZITJ,O,O,X,X,O,X
LSOZIJT,O,O,X,O,O,X
LSOZJTI,O,O,X,X,O,X
LSOZJIT,O,O,X,O,O,X
LZTIJSO,O,X,O,X,X,X
LZTIJOS,O,X,O,X,X,X
LZTISJO,O,X,X,X,X,X
LZTISOJ,O,X,X,X,X,X
LZTIOJS,O,X,O,X,X,X
LZTIOSJ,O,X,X,X,X,X
LZTJISO,O,X,O,X,X,X
LZTJIOS,O,O,O,X,X,X
LZTJSIO,O,O,O,X,X,O
LZTJSOI,O,O,O,X,X,O
LZTJOIS,O,O,O,X,X,X
LZTJOSI,O,O,O,X,X,O
LZTSIJO,O,O,X,X,X,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,X,X,X,O
LZTSJOI,O,O,X,X,X,O
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,O
LZTOIJS,O,X,O,X,X,X
LZTOISJ,O,X,X,X,X,X
LZTOJIS,O,O,O,X,X,X
LZTOJSI,O,O,X,X,X,O
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,X,X,O
LZITJSO,O,X,O,X,X,X
LZITJOS,O,X,O,X,X,X
LZITSJO,O,X,X,X,X,X
LZITSOJ,O,X,X,X,X,X
LZITOJS,O,X,O,X,X,X
LZITOSJ,O,X,X,X,X,X
LZIJTSO,O,X,O,X,X,X
LZIJTOS,O,O,O,X,X,X
LZIJSTO,O,O,X,X,X,X
LZIJSOT,O,O,O,X,X,X
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,X,X,X,X,X
LZISTOJ,O,O,X,X,O,X
LZISJTO,O,O,X,X,X,X
LZISJOT,O,O,O,X,O,X
LZISOTJ,O,O,X,X,O,X
LZISOJT,O,O,O,X,O,X
LZIOTJS,O,X,O,X,X,X
LZIOTSJ,O,X,X,X,X,X
LZIOJTS,O,O,O,X,X,X
LZIOJST,O,O,O,X,O,X
LZIOSTJ,O,O,X,X,O,X
LZIOSJT,O,O,O,X,O,X
LZJTISO,O,X,O,X,X,X
LZJTIOS,O,O,O,X,X,X
LZJTSIO,O,O,O,X,X,O
LZJTSOI,O,O,O,X,X,O
LZJTOIS,O,O,O,X,X,X
LZJTOSI,O,O,O,X,X,O
LZJITSO,O,X,O,X,X,X
LZJITOS,O,O,O,X,X,X
LZJISTO,O,O,X,X,X,X
LZJISOT,O,O,O,X,X,X
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,O,X,X,X,O
LZJSTOI,O,O,X,X,X,O
LZJSITO,O,O,X,X,X,O
LZJSIOT,O,O,O,X,X,X
LZJSOTI,O,O,X,X,X,X
LZJSOIT,O,O,O,X,X,X
LZJOTIS,O,O,O,X,X,X
LZJOTSI,O,O,X,X,X,X
LZJOITS,O,O,O,X,X,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,O,X,X,X,X
LZJOSIT,O,O,O,X,X,X
LZSTIJO,O,O,X,X,X,X
LZSTIOJ,O,O,X,X,O,X
LZSTJIO,O,O,X,X,X,O
LZSTJOI,O,O,X,X,X,O
LZSTOIJ,O,O,X,X,O,X
LZSTOJI,O,O,X,X,O,O
LZSITJO,O,O,X,X,X,X
LZSITOJ,O,O,X,X,O,X
LZSIJTO,O,O,X,X,X,X
LZSIJOT,O,O,O,X,O,X
LZSIOTJ,O,O,X,X,O,X
LZSIOJT,O,O,O,X,O,X
LZSJTIO,O,O,X,X,X,O
LZSJTOI,O,O,X,X,X,O
LZSJITO,O,O,X,X,X,O
LZSJIOT,O,O,O,X,O,X
LZSJOTI,O,O,X,X,O,X
LZSJOIT,O,O,O,X,O,X
LZSOTIJ,O,O,X,X,O,X
LZSOTJI,O,O,X,X,O,X
LZSOITJ,O,O,X,X,O,X
LZSOIJT,O,O,O,X,O,X
LZSOJTI,O,O,X,X,O,X
LZSOJIT,O,O,O,X,O,X
LZOTIJS,O,X,O,X,X,X
LZOTISJ,O,X,X,X,X,X
LZOTJIS,O,O,O,X,X,X
