sequence,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFxhBTjB3mB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFlhB3iB5oBetBzq?BCsB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFXiBTjBUmB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFzhB5nB8qB6tBOt?B3rB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFTjBqqB/rBFnBGt?B0sB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFRiBSoB8qB+rB/s?BTtB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB6tBGrBzs?B0qB,v115@9gB8HeC8GeC8GeC8CeA8Me6FJvhFThBxiBXnB8sB+t?BVwB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhF5oBFnB8sB6qBTr?BmsB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB8sB+tB6q?BTrB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnBGrBCtBTt?B0qB
TJLIOSZ,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,O,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,O,X,X,X,X,X,X,X,X
TJLSZOI,O,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,O,X,X,X,O
TJLSOZI,O,X,O,X,X,X,O,X,X,X,O
TJLZISO,X,X,O,X,X,X,X,O,X,X,X
TJLZIOS,O,X,O,X,X,X,X,O,X,X,X
TJLZSIO,O,X,O,X,X,X,X,O,X,X,X
TJLZSOI,O,X,O,X,X,X,X,O,X,X,X
TJLZOIS,O,X,O,X,X,X,X,O,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,O
TJLOIZS,O,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,O
TJLOSZI,O,X,O,X,X,X,X,X,X,X,O
TJLOZIS,O,X,O,X,X,X,X,O,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,O,X,X,X,O
TJSLOZI,O,X,O,X,X,X,O,X,X,X,O
TJSZILO,O,X,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,X,X,X,X,X,X,X
TJSZLIO,O,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,X,O,X,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,O,X,X,X,X
TJSOLZI,X,X,X,X,X,X,O,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,X,O,X,X,X
TJZILOS,O,X,O,X,X,X,X,O,X,X,X
TJZISLO,X,X,O,X,X,X,X,O,X,X,X
TJZISOL,X,X,O,X,X,X,X,O,X,X,X
TJZIOLS,X,X,X,X,X,X,X,O,X,X,X
TJZIOSL,O,X,O,X,X,X,X,X,X,X,X
TJZLISO,X,X,O,X,X,X,X,O,X,X,X
TJZLIOS,O,X,O,X,X,X,X,O,X,X,X
TJZLSIO,O,X,O,X,X,X,X,O,X,X,X
TJZLSOI,O,X,O,X,X,X,X,O,X,X,X
TJZLOIS,O,X,O,X,X,X,X,O,X,X,X
TJZLOSI,O,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,O,X,X,X,X,O,X,X,X
TJZSIOL,O,X,O,X,X,X,X,O,X,X,X
TJZSLIO,O,X,O,X,X,X,X,O,X,X,X
TJZSLOI,O,X,O,X,X,X,X,O,X,X,X
TJZSOIL,O,X,O,X,X,X,X,O,X,X,X
TJZSOLI,X,X,X,X,X,X,X,O,X,X,X
TJZOILS,X,X,X,X,X,X,X,O,X,X,X
TJZOISL,O,X,O,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,X,O,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,O,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,O,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,O,X,X,X
TJOLSIZ,X,X,X,X,X,X,O,X,X,X,X
TJOLSZI,X,X,X,X,X,X,O,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,O,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,O,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,O,X,X,X,X
TJOSLZI,X,X,X,X,X,X,O,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,X,O,X,X,X
TJOZISL,O,X,O,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,X,O,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X,X,X,X
TSILOJZ,X,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,O,X,X,X,X,X,X,X,X
TSLJZIO,O,X,O,X,X,X,X,X,X,X,X
TSLJZOI,O,X,O,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,O,X,X,X,O,X,X,X,X
TSLJOZI,O,X,O,X,X,X,O,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,X,O,X,X,X,X
TSLOIZJ,O,X,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,X,O,X,X,X,O,X,X,X,X
TSLOJZI,O,X,O,X,X,X,O,X,X,X,X
TSLOZIJ,O,X,X,X,X,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X,X,X,X,X,X
TSJILZO,O,X,X,X,X,X,X,X,X,X,X
TSJILOZ,O,X,O,X,X,X,X,X,X,X,X
TSJIZLO,O,X,X,X,X,X,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,X,O,X,X,X,X,X,X,X,X
TSJLZIO,O,X,O,X,X,X,X,X,X,X,X
TSJLZOI,O,X,O,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,O,X,X,X,X,X,X,X,X
TSJLOZI,O,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,X,O,X,X,X,X,X,X,X,X
TSJZIOL,O,X,O,X,X,X,X,X,X,X,X
TSJZLIO,O,X,O,X,X,X,X,X,X,X,X
TSJZLOI,O,X,O,X,X,X,X,X,X,X,X
TSJZOIL,O,X,O,X,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X,X,X,X,X,X
TSJOIZL,O,X,O,X,X,X,X,X,X,X,X
