sequence,v115@FhA8FeB8AeA8FeD8AeA8EeC8KeT/IvhFlgBGiB5oB/?qBKrB0pB,v115@FhA8FeB8AeA8FeD8AeA8EeC8Ke0/IvhFlgBGiB5oB/?pBKrBTqB,v115@FhA8FeB8AeA8FeD8AeA8EeC8KeT/IvhFigBGiB5oB3?lB0pBVwB,v115@FhA8FeB8AeA8FeD8AeA8EeC8Kei/IvhFzgBGiB5oB3?kBVvBUrB
LJTSZOI,O,O,O,O
LJTSOIZ,O,O,O,O
LJTSOZI,O,O,O,O
LJTZISO,O,O,O,X
LJTZIOS,O,O,O,X
LJTZSIO,O,O,O,X
LJTZSOI,O,O,O,X
LJTZOIS,O,O,O,X
LJTZOSI,O,O,O,X
LJTOISZ,O,O,X,X
LJTOIZS,X,O,X,X
LJTOSIZ,O,O,X,X
LJTOSZI,O,O,X,X
LJTOZIS,X,O,X,X
LJTOZSI,X,O,X,X
LJITSZO,O,O,O,O
LJITSOZ,O,O,O,O
LJITZSO,O,O,O,X
LJITZOS,O,O,O,X
LJITOSZ,O,O,X,X
LJITOZS,X,O,X,X
LJISTZO,O,O,X,O
LJISTOZ,O,O,X,O
LJISZTO,O,O,X,O
LJISZOT,O,O,X,X
LJISOTZ,O,O,X,O
LJISOZT,O,O,X,X
LJIZTSO,O,O,X,X
LJIZTOS,O,O,X,X
LJIZSTO,O,O,X,X
LJIZSOT,O,O,X,X
LJIZOTS,O,O,X,X
LJIZOST,O,O,X,X
LJIOTSZ,O,O,X,X
LJIOTZS,X,O,X,X
LJIOSTZ,O,O,X,X
LJIOSZT,O,O,X,X
LJIOZTS,O,O,X,X
LJIOZST,O,O,X,X
LJSTIZO,O,O,X,O
LJSTIOZ,O,O,X,O
LJSTZIO,O,O,X,O
LJSTZOI,O,O,X,O
LJSTOIZ,O,O,X,O
LJSTOZI,O,O,X,O
LJSITZO,O,O,X,O
LJSITOZ,O,O,X,O
LJSIZTO,O,O,X,O
LJSIZOT,O,O,X,X
LJSIOTZ,O,O,X,O
LJSIOZT,O,O,X,X
LJSZTIO,O,O,X,O
LJSZTOI,O,O,X,O
LJSZITO,O,O,X,O
LJSZIOT,O,O,X,X
LJSZOTI,O,O,X,X
LJSZOIT,O,O,X,X
LJSOTIZ,O,O,X,O
LJSOTZI,O,O,X,O
LJSOITZ,O,O,X,O
LJSOIZT,O,O,X,X
LJSOZTI,O,O,X,X
LJSOZIT,O,O,X,X
LJZTISO,O,O,X,X
LJZTIOS,O,O,X,X
LJZTSIO,O,O,X,X
LJZTSOI,O,O,X,X
LJZTOIS,O,O,X,X
LJZTOSI,O,O,X,X
LJZITSO,O,O,X,X
LJZITOS,O,O,X,X
LJZISTO,O,O,X,X
LJZISOT,O,O,X,X
LJZIOTS,O,O,X,X
LJZIOST,O,O,X,X
LJZSTIO,O,O,X,X
LJZSTOI,O,O,X,X
LJZSITO,O,O,X,X
LJZSIOT,O,O,X,X
LJZSOTI,O,O,X,X
LJZSOIT,O,O,X,X
LJZOTIS,O,O,X,X
LJZOTSI,O,O,X,X
LJZOITS,O,O,X,X
LJZOIST,O,O,X,X
LJZOSTI,O,O,X,X
LJZOSIT,O,O,X,X
LJOTISZ,O,O,X,X
LJOTIZS,X,O,X,X
LJOTSIZ,O,O,X,X
LJOTSZI,O,O,X,X
LJOTZIS,X,O,X,X
LJOTZSI,X,O,X,X
LJOITSZ,O,O,X,X
LJOITZS,X,O,X,X
LJOISTZ,O,O,X,X
LJOISZT,O,O,X,X
LJOIZTS,O,O,X,X
LJOIZST,O,O,X,X
LJOSTIZ,O,O,X,X
LJOSTZI,O,O,X,X
LJOSITZ,O,O,X,X
LJOSIZT,O,O,X,X
LJOSZTI,O,O,X,X
LJOSZIT,O,O,X,X
LJOZTIS,O,O,X,X
LJOZTSI,O,O,X,X
LJOZITS,O,O,X,X
LJOZIST,O,O,X,X
LJOZSTI,O,O,X,X
LJOZSIT,O,O,X,X
LSTIJZO,O,O,X,O
LSTIJOZ,O,O,X,O
LSTIZJO,O,O,X,O
LSTIZOJ,O,O,X,O
LSTIOJZ,O,O,X,O
LSTIOZJ,O,O,X,O
LSTJIZO,O,O,X,O
LSTJIOZ,O,O,X,O
LSTJZIO,O,O,X,O
LSTJZOI,O,O,X,O
LSTJOIZ,O,O,X,O
LSTJOZI,O,O,X,O
LSTZIJO,O,O,X,O
LSTZIOJ,O,O,X,O
LSTZJIO,O,O,X,O
LSTZJOI,O,O,X,O
LSTZOIJ,O,O,X,O
LSTZOJI,O,O,X,O
LSTOIJZ,O,O,X,O
LSTOIZJ,O,O,X,O
LSTOJIZ,O,O,X,O
LSTOJZI,O,O,X,O
LSTOZIJ,O,O,X,O
LSTOZJI,O,O,X,O
LSITJZO,O,O,X,O
LSITJOZ,O,O,X,O
LSITZJO,O,O,X,O
LSITZOJ,O,O,X,O
LSITOJZ,O,O,X,O
LSITOZJ,O,O,X,O
LSIJTZO,O,O,X,O
LSIJTOZ,O,O,X,O
LSIJZTO,O,O,X,O
LSIJZOT,O,O,X,X
LSIJOTZ,O,O,X,O
LSIJOZT,O,O,X,X
LSIZTJO,O,O,X,O
LSIZTOJ,O,O,X,O
LSIZJTO,O,O,X,O
LSIZJOT,O,O,X,X
LSIZOTJ,O,O,X,X
LSIZOJT,O,O,X,X
LSIOTJZ,O,O,X,O
LSIOTZJ,O,O,X,O
LSIOJTZ,O,O,X,O
LSIOJZT,O,O,X,X
LSIOZTJ,O,O,X,X
LSIOZJT,O,O,X,X
LSJTIZO,O,O,X,O
LSJTIOZ,O,O,X,O
LSJTZIO,O,O,X,O
LSJTZOI,O,O,X,O
LSJTOIZ,O,O,X,O
LSJTOZI,O,O,X,O
LSJITZO,O,O,X,O
LSJITOZ,O,O,X,O
LSJIZTO,O,O,X,O
LSJIZOT,O,O,X,X
LSJIOTZ,O,O,X,O
LSJIOZT,O,O,X,X
LSJZTIO,O,O,X,O
LSJZTOI,O,O,X,O
LSJZITO,O,O,X,O
LSJZIOT,O,O,X,X
LSJZOTI,O,O,X,X
LSJZOIT,O,O,X,X
LSJOTIZ,O,O,X,O
LSJOTZI,O,O,X,O
LSJOITZ,O,O,X,O
LSJOIZT,O,O,X,X
LSJOZTI,O,O,X,X
LSJOZIT,O,O,X,X
LSZTIJO,O,O,X,O
LSZTIOJ,O,O,X,O
LSZTJIO,O,O,X,O
LSZTJOI,O,O,X,O
LSZTOIJ,O,O,X,O
LSZTOJI,O,O,X,O
LSZITJO,O,O,X,O
LSZITOJ,O,O,X,O
LSZIJTO,O,O,X,O
LSZIJOT,O,O,X,X
LSZIOTJ,O,O,X,X
LSZIOJT,O,O,X,X
LSZJTIO,O,O,X,O
LSZJTOI,O,O,X,O
LSZJITO,O,O,X,O
LSZJIOT,O,O,X,X
LSZJOTI,O,O,X,X
LSZJOIT,O,O,X,X
LSZOTIJ,O,O,X,X
LSZOTJI,O,O,X,X
LSZOITJ,O,O,X,X
LSZOIJT,O,O,X,X
LSZOJTI,O,O,X,X
LSZOJIT,O,O,X,X
LSOTIJZ,O,O,X,O
LSOTIZJ,O,O,X,O
LSOTJIZ,O,O,X,O
LSOTJZI,O,O,X,O
LSOTZIJ,O,O,X,O
LSOTZJI,O,O,X,O
LSOITJZ,O,O,X,O
LSOITZJ,O,O,X,O
LSOIJTZ,O,O,X,O
LSOIJZT,O,O,X,X
LSOIZTJ,O,O,X,X
LSOIZJT,O,O,X,X
LSOJTIZ,O,O,X,O
LSOJTZI,O,O,X,O
LSOJITZ,O,O,X,O
LSOJIZT,O,O,X,X
LSOJZTI,O,O,X,X
LSOJZIT,O,O,X,X
LSOZTIJ,O,O,X,X
LSOZTJI,O,O,X,X
LSOZITJ,O,O,X,X
LSOZIJT,O,O,X,X
LSOZJTI,O,O,X,X
LSOZJIT,O,O,X,X
LZTIJSO,O,O,X,X
LZTIJOS,O,O,X,X
LZTISJO,O,O,X,X
LZTISOJ,O,O,X,X
LZTIOJS,O,O,X,X
LZTIOSJ,O,O,X,X
LZTJISO,O,O,X,X
LZTJIOS,O,O,X,X
LZTJSIO,O,O,X,X
LZTJSOI,O,O,X,X
LZTJOIS,O,O,X,X
LZTJOSI,O,O,X,X
LZTSIJO,O,O,X,X
LZTSIOJ,O,O,X,X
LZTSJIO,O,O,X,X
LZTSJOI,O,O,X,X
LZTSOIJ,O,O,X,X
LZTSOJI,O,O,X,X
LZTOIJS,O,O,X,X
LZTOISJ,O,O,X,X
LZTOJIS,O,O,X,X
LZTOJSI,O,O,X,X
LZTOSIJ,O,O,X,X
LZTOSJI,O,O,X,X
LZITJSO,O,O,X,X
LZITJOS,O,O,X,X
LZITSJO,O,O,X,X
LZITSOJ,O,O,X,X
LZITOJS,O,O,X,X
LZITOSJ,O,O,X,X
LZIJTSO,O,O,X,X
LZIJTOS,O,O,X,X
LZIJSTO,O,O,X,X
LZIJSOT,O,O,X,X
LZIJOTS,O,O,X,X
LZIJOST,O,O,X,X
LZISTJO,O,O,X,X
LZISTOJ,O,O,X,X
LZISJTO,O,O,X,X
LZISJOT,O,O,X,X
LZISOTJ,O,O,X,X
LZISOJT,O,O,X,X
LZIOTJS,O,O,X,X
LZIOTSJ,O,O,X,X
LZIOJTS,O,O,X,X
LZIOJST,O,O,X,X
LZIOSTJ,O,O,X,X
LZIOSJT,O,O,X,X
LZJTISO,O,O,X,X
LZJTIOS,O,O,X,X
LZJTSIO,O,O,X,X
LZJTSOI,O,O,X,X
LZJTOIS,O,O,X,X
LZJTOSI,O,O,X,X
LZJITSO,O,O,X,X
LZJITOS,O,O,X,X
LZJISTO,O,O,X,X
LZJISOT,O,O,X,X
LZJIOTS,O,O,X,X
LZJIOST,O,O,X,X
LZJSTIO,O,O,X,X
LZJSTOI,O,O,X,X
LZJSITO,O,O,X,X
LZJSIOT,O,O,X,X
LZJSOTI,O,O,X,X
LZJSOIT,O,O,X,X
LZJOTIS,O,O,X,X
LZJOTSI,O,O,X,X
LZJOITS,O,O,X,X
LZJOIST,O,O,X,X
LZJOSTI,O,O,X,X
LZJOSIT,O,O,X,X
LZSTIJO,O,O,X,X
LZSTIOJ,O,O,X,X
LZSTJIO,O,O,X,X
LZSTJOI,O,O,X,X
LZSTOIJ,O,O,X,X
LZSTOJI,O,O,X,X
LZSITJO,O,O,X,X
LZSITOJ,O,O,X,X
LZSIJTO,O,O,X,X
LZSIJOT,O,O,X,X
LZSIOTJ,O,O,X,X
LZSIOJT,O,O,X,X
LZSJTIO,O,O,X,X
LZSJTOI,O,O,X,X
LZSJITO,O,O,X,X
LZSJIOT,O,O,X,X
LZSJOTI,O,O,X,X
LZSJOIT,O,O,X,X
LZSOTIJ,O,O,X,X
LZSOTJI,O,O,X,X
LZSOITJ,O,O,X,X
LZSOIJT,O,O,X,X
LZSOJTI,O,O,X,X
LZSOJIT,O,O,X,X
LZOTIJS,O,O,X,X
LZOTISJ,O,O,X,X
LZOTJIS,O,O,X,X
LZOTJSI,O,O,X,X
LZOTSIJ,O,O,X,X
LZOTSJI,O,O,X,X
LZOITJS,O,O,X,X
LZOITSJ,O,O,X,X
LZOIJTS,O,O,X,X
LZOIJST,O,O,X,X
LZOISTJ,O,O,X,X
LZOISJT,O,O,X,X
LZOJTIS,O,O,X,X
LZOJTSI,O,O,X,X
LZOJITS,O,O,X,X
LZOJIST,O,O,X,X
LZOJSTI,O,O,X,X
LZOJSIT,O,O,X,X
LZOSTIJ,O,O,X,X
LZOSTJI,O,O,X,X
LZOSITJ,O,O,X,X
LZOSIJT,O,O,X,X
LZOSJTI,O,O,X,X
LZOSJIT,O,O,X,X
LOTIJSZ,O,O,X,X
LOTIJZS,X,O,X,X
LOTISJZ,O,O,X,X
LOTISZJ,O,O,X,X
LOTIZJS,X,O,X,X
LOTIZSJ,X,O,X,X
LOTJISZ,O,O,X,X
LOTJIZS,X,O,X,X
LOTJSIZ,O,O,X,X
LOTJSZI,O,O,X,X
LOTJZIS,X,O,X,X
LOTJZSI,X,O,X,X
LOTSIJZ,O,O,X,X
LOTSIZJ,O,O,X,X
LOTSJIZ,O,O,X,X
LOTSJZI,O,O,X,X
LOTSZIJ,O,O,X,X
LOTSZJI,O,O,X,X
LOTZIJS,X,O,X,X
LOTZISJ,X,O,X,X
LOTZJIS,X,O,X,X
LOTZJSI,X,O,X,X
LOTZSIJ,X,O,X,X
LOTZSJI,X,O,X,X
LOITJSZ,O,O,X,X
LOITJZS,X,O,X,X
LOITSJZ,O,O,X,X
LOITSZJ,O,O,X,X
LOITZJS,X,O,X,X
LOITZSJ,X,O,X,X
LOIJTSZ,O,O,X,X
LOIJTZS,X,O,X,X
LOIJSTZ,O,O,X,X
LOIJSZT,O,O,X,X
LOIJZTS,O,O,X,X
LOIJZST,O,O,X,X
LOISTJZ,O,O,X,X
LOISTZJ,O,O,X,X
LOISJTZ,O,O,X,X
LOISJZT,O,O,X,X
LOISZTJ,O,O,X,X
LOISZJT,O,O,X,X
LOIZTJS,O,O,X,X
LOIZTSJ,O,O,X,X
LOIZJTS,O,O,X,X
LOIZJST,O,O,X,X
LOIZSTJ,O,O,X,X
LOIZSJT,O,O,X,X
LOJTISZ,O,O,X,X
LOJTIZS,X,O,X,X
LOJTSIZ,O,O,X,X
LOJTSZI,O,O,X,X
LOJTZIS,X,O,X,X
LOJTZSI,X,O,X,X
LOJITSZ,O,O,X,X
LOJITZS,X,O,X,X
LOJISTZ,O,O,X,X
LOJISZT,O,O,X,X
LOJIZTS,O,O,X,X
LOJIZST,O,O,X,X
LOJSTIZ,O,O,X,X
LOJSTZI,O,O,X,X
LOJSITZ,O,O,X,X
LOJSIZT,O,O,X,X
LOJSZTI,O,O,X,X
LOJSZIT,O,O,X,X
LOJZTIS,O,O,X,X
LOJZTSI,O,O,X,X
LOJZITS,O,O,X,X
LOJZIST,O,O,X,X
LOJZSTI,O,O,X,X
LOJZSIT,O,O,X,X
LOSTIJZ,O,O,X,X
LOSTIZJ,O,O,X,X
LOSTJIZ,O,O,X,X
LOSTJZI,O,O,X,X
LOSTZIJ,O,O,X,X
LOSTZJI,O,O,X,X
LOSITJZ,O,O,X,X
LOSITZJ,O,O,X,X
LOSIJTZ,O,O,X,X
LOSIJZT,O,O,X,X
LOSIZTJ,O,O,X,X
LOSIZJT,O,O,X,X
LOSJTIZ,O,O,X,X
LOSJTZI,O,O,X,X
LOSJITZ,O,O,X,X
LOSJIZT,O,O,X,X
LOSJZTI,O,O,X,X
LOSJZIT,O,O,X,X
LOSZTIJ,O,O,X,X
LOSZTJI,O,O,X,X
LOSZITJ,O,O,X,X
LOSZIJT,O,O,X,X
LOSZJTI,O,O,X,X
LOSZJIT,O,O,X,X
LOZTIJS,O,O,X,X
LOZTISJ,O,O,X,X
LOZTJIS,O,O,X,X
LOZTJSI,O,O,X,X
LOZTSIJ,O,O,X,X
LOZTSJI,O,O,X,X
LOZITJS,O,O,X,X
LOZITSJ,O,O,X,X
LOZIJTS,O,O,X,X
LOZIJST,O,O,X,X
LOZISTJ,O,O,X,X
LOZISJT,O,O,X,X
LOZJTIS,O,O,X,X
LOZJTSI,O,O,X,X
LOZJITS,O,O,X,X
LOZJIST,O,O,X,X
LOZJSTI,O,O,X,X
LOZJSIT,O,O,X,X
LOZSTIJ,O,O,X,X
LOZSTJI,O,O,X,X
LOZSITJ,O,O,X,X
LOZSIJT,O,O,X,X
LOZSJTI,O,O,X,X
LOZSJIT,O,O,X,X
JTILSZO,O,O,O,O
JTILSOZ,O,O,O,O
JTILZSO,O,O,O,X
JTILZOS,O,O,O,X
JTILOSZ,O,O,X,X
JTILOZS,X,O,X,X
JTISLZO,O,O,O,O
JTISLOZ,O,O,O,O
JTISZLO,O,O,O,O
JTISZOL,O,O,O,O
JTISOLZ,X,O,O,O
JTISOZL,X,O,O,O
JTIZLSO,O,X,O,X
JTIZLOS,O,X,O,X
JTIZSLO,O,X,O,O
JTIZSOL,O,X,O,O
JTIZOLS,O,X,O,X
JTIZOSL,O,X,O,X
JTIOLSZ,X,O,X,X
JTIOLZS,X,O,X,X
JTIOSLZ,X,O,O,O
JTIOSZL,X,O,O,O
JTIOZLS,X,X,O,X
JTIOZSL,X,X,O,X
JTLISZO,O,O,O,O
JTLISOZ,O,O,O,O
JTLIZSO,O,O,O,X
JTLIZOS,O,O,O,X
JTLIOSZ,O,O,X,X
JTLIOZS,X,O,X,X
JTLSIZO,O,O,O,O
JTLSIOZ,O,O,O,O
JTLSZIO,O,O,O,O
JTLSZOI,O,O,O,O
JTLSOIZ,O,O,O,O
JTLSOZI,O,O,O,O
JTLZISO,O,O,O,X
JTLZIOS,O,O,O,X
JTLZSIO,O,O,O,X
JTLZSOI,O,O,O,X
JTLZOIS,O,O,O,X
JTLZOSI,O,O,O,X
JTLOISZ,O,O,X,X
JTLOIZS,X,O,X,X
JTLOSIZ,O,O,X,X
JTLOSZI,O,O,X,X
JTLOZIS,X,O,X,X
JTLOZSI,X,O,X,X
JTSILZO,O,O,O,O
JTSILOZ,O,O,O,O
JTSIZLO,O,O,O,O
JTSIZOL,O,O,O,O
JTSIOLZ,X,O,O,O
JTSIOZL,X,O,O,O
JTSLIZO,O,O,O,O
JTSLIOZ,O,O,O,O
JTSLZIO,O,O,O,O
JTSLZOI,O,O,O,O
JTSLOIZ,O,O,O,O
JTSLOZI,O,O,O,O
JTSZILO,O,O,O,O
JTSZIOL,O,O,O,O
JTSZLIO,O,O,O,O
JTSZLOI,O,O,O,O
JTSZOIL,O,O,O,O
JTSZOLI,O,O,O,O
JTSOILZ,X,O,O,O
JTSOIZL,X,O,O,O
JTSOLIZ,X,O,O,O
JTSOLZI,X,O,O,O
JTSOZIL,X,O,O,O
JTSOZLI,X,O,O,O
JTZILSO,O,X,O,X
JTZILOS,O,X,O,X
JTZISLO,O,X,O,O
JTZISOL,O,X,O,O
JTZIOLS,O,X,O,X
JTZIOSL,O,X,O,X
JTZLISO,O,X,O,X
JTZLIOS,O,X,O,X
JTZLSIO,O,X,O,X
JTZLSOI,O,X,O,X
JTZLOIS,O,X,O,X
JTZLOSI,O,X,O,X
JTZSILO,O,X,O,O
JTZSIOL,O,X,O,O
JTZSLIO,O,X,O,O
JTZSLOI,O,X,O,O
JTZSOIL,O,X,O,O
JTZSOLI,O,X,O,O
JTZOILS,O,X,O,X
JTZOISL,O,X,O,X
JTZOLIS,O,X,O,X
JTZOLSI,O,X,O,X
JTZOSIL,O,X,O,X
JTZOSLI,O,X,O,X
JTOILSZ,X,O,X,X
JTOILZS,X,O,X,X
JTOISLZ,X,O,O,O
JTOISZL,X,O,O,O
JTOIZLS,X,X,O,X
JTOIZSL,X,X,O,X
JTOLISZ,X,O,X,X
JTOLIZS,X,O,X,X
JTOLSIZ,X,O,X,X
JTOLSZI,X,O,X,X
JTOLZIS,X,O,X,X
JTOLZSI,X,O,X,X
JTOSILZ,X,O,O,O
JTOSIZL,X,O,O,O
JTOSLIZ,X,O,O,O
JTOSLZI,X,O,O,O
JTOSZIL,X,O,O,O
JTOSZLI,X,O,O,O
JTOZILS,X,X,O,X
JTOZISL,X,X,O,X
JTOZLIS,X,X,O,X
JTOZLSI,X,X,O,X
JTOZSIL,X,X,O,X
JTOZSLI,X,X,O,X
JITLSZO,O,O,O,O
JITLSOZ,O,O,O,O
JITLZSO,O,O,O,X
JITLZOS,O,O,O,X
JITLOSZ,O,O,X,X
JITLOZS,X,O,X,X
JITSLZO,O,O,O,O
JITSLOZ,O,O,O,O
JITSZLO,O,O,O,O
JITSZOL,O,O,O,O
JITSOLZ,X,O,O,O
JITSOZL,X,O,O,O
JITZLSO,O,X,O,X
JITZLOS,O,X,O,X
JITZSLO,O,X,O,O
JITZSOL,O,X,O,O
JITZOLS,O,X,O,X
JITZOSL,O,X,O,X
JITOLSZ,X,O,X,X
JITOLZS,X,O,X,X
JITOSLZ,X,O,O,O
JITOSZL,X,O,O,O
JITOZLS,X,X,O,X
JITOZSL,X,X,O,X
JILTSZO,O,O,O,O
JILTSOZ,O,O,O,O
JILTZSO,O,O,O,X
JILTZOS,O,O,O,X
JILTOSZ,O,O,X,X
JILTOZS,X,O,X,X
JILSTZO,O,O,X,O
JILSTOZ,O,O,X,O
JILSZTO,O,O,X,O
JILSZOT,O,O,X,X
JILSOTZ,O,O,X,O
JILSOZT,O,O,X,X
JILZTSO,O,O,X,X
JILZTOS,O,O,X,X
JILZSTO,O,O,X,X
JILZSOT,O,O,X,X
JILZOTS,O,O,X,X
JILZOST,O,O,X,X
JILOTSZ,O,O,X,X
JILOTZS,X,O,X,X
JILOSTZ,O,O,X,X
JILOSZT,O,O,X,X
JILOZTS,O,O,X,X
JILOZST,O,O,X,X
JISTLZO,O,O,O,O
JISTLOZ,O,O,O,O
JISTZLO,O,O,O,O
JISTZOL,O,O,O,O
JISTOLZ,X,O,O,O
JISTOZL,X,O,O,O
JISLTZO,O,O,X,O
JISLTOZ,O,O,X,O
JISLZTO,O,O,X,O
JISLZOT,O,O,X,X
JISLOTZ,O,O,X,O
JISLOZT,O,O,X,X
JISZTLO,O,O,X,O
JISZTOL,O,O,X,O
JISZLTO,O,O,X,O
JISZLOT,O,O,X,X
JISZOTL,O,O,X,X
JISZOLT,O,O,X,X
JISOTLZ,X,O,X,O
JISOTZL,X,O,X,O
JISOLTZ,O,O,X,O
JISOLZT,O,O,X,X
JISOZTL,O,O,X,X
JISOZLT,O,O,X,X
JIZTLSO,O,X,O,X
JIZTLOS,O,X,O,X
JIZTSLO,O,X,O,O
JIZTSOL,O,X,O,O
JIZTOLS,O,X,O,X
JIZTOSL,O,X,O,X
JIZLTSO,O,O,X,X
JIZLTOS,O,O,X,X
JIZLSTO,O,O,X,X
JIZLSOT,O,O,X,X
JIZLOTS,O,O,X,X
JIZLOST,O,O,X,X
JIZSTLO,O,O,X,O
JIZSTOL,O,O,X,O
JIZSLTO,O,O,X,O
JIZSLOT,O,O,X,X
JIZSOTL,O,O,X,X
JIZSOLT,O,O,X,X
JIZOTLS,O,X,X,X
JIZOTSL,O,X,X,X
JIZOLTS,O,O,X,X
JIZOLST,O,O,X,X
JIZOSTL,O,O,X,X
JIZOSLT,O,O,X,X
JIOTLSZ,X,O,X,X
JIOTLZS,X,O,X,X
JIOTSLZ,X,O,O,O
JIOTSZL,X,O,O,O
JIOTZLS,X,X,O,X
JIOTZSL,X,X,O,X
JIOLTSZ,O,O,X,X
JIOLTZS,X,O,X,X
JIOLSTZ,O,O,X,X
JIOLSZT,O,O,X,X
JIOLZTS,O,O,X,X
JIOLZST,O,O,X,X
JIOSTLZ,X,O,X,O
JIOSTZL,X,O,X,O
JIOSLTZ,O,O,X,O
JIOSLZT,O,O,X,X
JIOSZTL,O,O,X,X
JIOSZLT,O,O,X,X
JIOZTLS,O,X,X,X
JIOZTSL,O,X,X,X
JIOZLTS,O,O,X,X
JIOZLST,O,O,X,X
JIOZSTL,O,O,X,X
JIOZSLT,O,O,X,X
JLTISZO,O,O,O,O
JLTISOZ,O,O,O,O
JLTIZSO,O,O,O,X
JLTIZOS,O,O,O,X
JLTIOSZ,O,O,X,X
JLTIOZS,X,O,X,X
JLTSIZO,O,O,O,O
JLTSIOZ,O,O,O,O
JLTSZIO,O,O,O,O
JLTSZOI,O,O,O,O
JLTSOIZ,O,O,O,O
JLTSOZI,O,O,O,O
JLTZISO,O,O,O,X
JLTZIOS,O,O,O,X
JLTZSIO,O,O,O,X
JLTZSOI,O,O,O,X
JLTZOIS,O,O,O,X
JLTZOSI,O,O,O,X
JLTOISZ,O,O,X,X
JLTOIZS,X,O,X,X
JLTOSIZ,O,O,X,X
JLTOSZI,O,O,X,X
JLTOZIS,X,O,X,X
JLTOZSI,X,O,X,X
JLITSZO,O,O,O,O
JLITSOZ,O,O,O,O
JLITZSO,O,O,O,X
JLITZOS,O,O,O,X
JLITOSZ,O,O,X,X
JLITOZS,X,O,X,X
JLISTZO,O,O,X,O
JLISTOZ,O,O,X,O
JLISZTO,O,O,X,O
JLISZOT,O,O,X,X
JLISOTZ,O,O,X,O
JLISOZT,O,O,X,X
JLIZTSO,O,O,X,X
JLIZTOS,O,O,X,X
JLIZSTO,O,O,X,X
JLIZSOT,O,O,X,X
JLIZOTS,O,O,X,X
JLIZOST,O,O,X,X
JLIOTSZ,O,O,X,X
JLIOTZS,X,O,X,X
JLIOSTZ,O,O,X,X
JLIOSZT,O,O,X,X
JLIOZTS,O,O,X,X
JLIOZST,O,O,X,X
JLSTIZO,O,O,X,O
JLSTIOZ,O,O,X,O
JLSTZIO,O,O,X,O
JLSTZOI,O,O,X,O
JLSTOIZ,O,O,X,O
JLSTOZI,O,O,X,O
JLSITZO,O,O,X,O
JLSITOZ,O,O,X,O
JLSIZTO,O,O,X,O
JLSIZOT,O,O,X,X
JLSIOTZ,O,O,X,O
JLSIOZT,O,O,X,X
JLSZTIO,O,O,X,O
JLSZTOI,O,O,X,O
JLSZITO,O,O,X,O
JLSZIOT,O,O,X,X
JLSZOTI,O,O,X,X
JLSZOIT,O,O,X,X
JLSOTIZ,O,O,X,O
JLSOTZI,O,O,X,O
JLSOITZ,O,O,X,O
JLSOIZT,O,O,X,X
JLSOZTI,O,O,X,X
JLSOZIT,O,O,X,X
JLZTISO,O,O,X,X
JLZTIOS,O,O,X,X
JLZTSIO,O,O,X,X
JLZTSOI,O,O,X,X
JLZTOIS,O,O,X,X
JLZTOSI,O,O,X,X
JLZITSO,O,O,X,X
JLZITOS,O,O,X,X
JLZISTO,O,O,X,X
JLZISOT,O,O,X,X
JLZIOTS,O,O,X,X
JLZIOST,O,O,X,X
JLZSTIO,O,O,X,X
JLZSTOI,O,O,X,X
JLZSITO,O,O,X,X
JLZSIOT,O,O,X,X
JLZSOTI,O,O,X,X
JLZSOIT,O,O,X,X
JLZOTIS,O,O,X,X
JLZOTSI,O,O,X,X
JLZOITS,O,O,X,X
JLZOIST,O,O,X,X
JLZOSTI,O,O,X,X
JLZOSIT,O,O,X,X
JLOTISZ,O,O,X,X
JLOTIZS,X,O,X,X
JLOTSIZ,O,O,X,X
JLOTSZI,O,O,X,X
JLOTZIS,X,O,X,X
JLOTZSI,X,O,X,X
JLOITSZ,O,O,X,X
JLOITZS,X,O,X,X
JLOISTZ,O,O,X,X
JLOISZT,O,O,X,X
JLOIZTS,O,O,X,X
JLOIZST,O,O,X,X
JLOSTIZ,O,O,X,X
JLOSTZI,O,O,X,X
JLOSITZ,O,O,X,X
JLOSIZT,O,O,X,X
JLOSZTI,O,O,X,X
JLOSZIT,O,O,X,X
JLOZTIS,O,O,X,X
JLOZTSI,O,O,X,X
JLOZITS,O,O,X,X
JLOZIST,O,O,X,X
JLOZSTI,O,O,X,X
JLOZSIT,O,O,X,X
JSTILZO,O,O,O,O
JSTILOZ,O,O,O,O
JSTIZLO,O,O,O,O
JSTIZOL,O,O,O,O
JSTIOLZ,X,O,O,O
JSTIOZL,X,O,O,O
JSTLIZO,O,O,O,O
JSTLIOZ,O,O,O,O
JSTLZIO,O,O,O,O
JSTLZOI,O,O,O,O
JSTLOIZ,O,O,O,O
JSTLOZI,O,O,O,O
JSTZILO,O,O,O,O
JSTZIOL,O,O,O,O
JSTZLIO,O,O,O,O
JSTZLOI,O,O,O,O
JSTZOIL,O,O,O,O
JSTZOLI,O,O,O,O
JSTOILZ,X,O,O,O
JSTOIZL,X,O,O,O
JSTOLIZ,X,O,O,O
JSTOLZI,X,O,O,O
JSTOZIL,X,O,O,O
JSTOZLI,X,O,O,O
JSITLZO,O,O,O,O
JSITLOZ,O,O,O,O
JSITZLO,O,O,O,O
JSITZOL,O,O,O,O
JSITOLZ,X,O,O,O
JSITOZL,X,O,O,O
JSILTZO,O,O,X,O
JSILTOZ,O,O,X,O
JSILZTO,O,O,X,O
JSILZOT,O,O,X,X
JSILOTZ,O,O,X,O
