sequence,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB
TJZOLIS,O,O,X,X,O,X
TJZOLSI,O,O,X,X,O,X
TJZOSIL,O,O,O,O,O,X
TJZOSLI,O,O,O,O,O,X
TJOILSZ,X,X,O,O,O,O
TJOILZS,X,X,X,O,O,O
TJOISLZ,X,X,O,O,O,X
TJOISZL,X,X,O,O,O,X
TJOIZLS,X,X,X,X,O,X
TJOIZSL,X,X,O,O,O,X
TJOLISZ,X,X,O,O,O,O
TJOLIZS,O,X,X,O,O,O
TJOLSIZ,X,O,O,O,O,X
TJOLSZI,X,O,O,O,O,X
TJOLZIS,O,O,X,O,O,X
TJOLZSI,O,O,X,O,O,X
TJOSILZ,X,X,O,O,O,X
TJOSIZL,X,O,O,O,O,X
TJOSLIZ,X,O,O,O,O,X
TJOSLZI,X,O,O,O,O,X
TJOSZIL,X,O,O,O,O,X
TJOSZLI,X,O,O,O,O,X
TJOZILS,O,O,X,X,O,X
TJOZISL,X,O,O,O,O,X
TJOZLIS,O,O,X,X,O,X
TJOZLSI,O,O,X,X,O,X
TJOZSIL,X,O,O,O,O,X
TJOZSLI,O,O,O,O,O,X
TSILJZO,O,O,O,X,X,X
TSILJOZ,O,O,O,X,X,X
TSILZJO,O,O,O,X,O,X
TSILZOJ,O,O,O,X,O,X
TSILOJZ,O,O,O,X,X,X
TSILOZJ,O,O,O,X,X,X
TSIJLZO,O,O,O,X,X,X
TSIJLOZ,O,O,O,X,X,X
TSIJZLO,O,O,O,X,X,X
TSIJZOL,O,O,O,X,X,X
TSIJOLZ,O,X,O,X,X,X
TSIJOZL,O,O,O,X,X,X
TSIZLJO,O,O,O,X,O,X
TSIZLOJ,O,O,O,X,O,X
TSIZJLO,O,O,O,X,O,X
TSIZJOL,O,O,O,X,O,X
TSIZOLJ,O,O,O,X,O,X
TSIZOJL,O,O,O,X,O,X
TSIOLJZ,O,O,O,X,X,X
TSIOLZJ,O,O,O,X,O,X
TSIOJLZ,O,X,O,X,X,X
TSIOJZL,O,O,O,X,X,X
TSIOZLJ,O,O,O,X,O,X
TSIOZJL,O,O,O,X,O,X
TSLIJZO,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,X,X
TSLIZJO,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,X
TSLIOJZ,O,O,O,O,X,X
TSLIOZJ,O,O,O,O,X,X
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,O,O,X,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,O,O,O,O,X,X
TSLOIJZ,O,O,O,O,X,X
TSLOIZJ,O,O,O,O,X,X
TSLOJIZ,O,O,O,O,X,X
TSLOJZI,O,O,O,O,X,X
TSLOZIJ,O,O,O,O,X,X
TSLOZJI,O,O,O,O,X,X
TSJILZO,O,O,O,O,X,X
TSJILOZ,O,O,O,O,X,X
TSJIZLO,O,O,O,O,X,X
TSJIZOL,O,O,O,O,X,X
TSJIOLZ,O,X,O,O,X,X
TSJIOZL,O,O,O,O,X,X
TSJLIZO,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,O,O,O,X,X
TSJLZOI,O,O,O,O,X,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,O,O,O,X,X
TSJZIOL,O,O,O,O,X,X
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,O,O,X,X
TSJZOIL,O,O,O,O,X,X
TSJZOLI,O,O,O,O,X,X
TSJOILZ,O,X,O,O,X,X
TSJOIZL,O,O,O,O,X,X
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,O,O,X,X
TSJOZLI,O,O,O,O,X,X
TSZILJO,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,X
TSZIJLO,O,O,O,X,O,X
TSZIJOL,O,O,O,X,O,X
TSZIOLJ,O,O,O,O,O,X
TSZIOJL,O,O,O,O,O,X
TSZLIJO,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,X
TSZLJIO,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,X
TSZJLIO,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,X
TSZJOLI,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,X
TSZOIJL,O,O,O,O,O,X
TSZOLIJ,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,X
TSZOJLI,O,O,O,O,O,X
TSOILJZ,O,O,O,O,X,X
TSOILZJ,O,O,O,O,O,X
TSOIJLZ,O,X,O,O,X,X
TSOIJZL,O,O,O,O,X,X
TSOIZLJ,O,O,O,O,O,X
TSOIZJL,O,O,O,O,O,X
TSOLIJZ,O,O,O,O,X,X
TSOLIZJ,O,O,O,O,O,X
TSOLJIZ,O,O,O,O,X,X
TSOLJZI,O,O,O,O,X,X
TSOLZIJ,O,O,O,O,O,X
TSOLZJI,O,O,O,O,O,X
TSOJILZ,O,X,O,O,X,X
TSOJIZL,O,O,O,O,X,X
TSOJLIZ,O,O,O,O,X,X
TSOJLZI,O,O,O,O,X,X
TSOJZIL,O,O,O,O,X,X
TSOJZLI,O,O,O,O,X,X
TSOZILJ,O,O,O,O,O,X
TSOZIJL,O,O,O,O,O,X
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,X
TSOZJIL,O,O,O,O,O,X
TSOZJLI,O,O,O,O,O,X
TZILJSO,O,O,X,X,O,X
TZILJOS,O,O,X,X,O,X
TZILSJO,O,O,X,X,O,X
TZILSOJ,O,O,X,X,O,X
TZILOJS,O,O,X,X,O,X
TZILOSJ,O,O,X,X,O,X
TZIJLSO,O,O,X,X,O,X
TZIJLOS,O,O,X,X,O,X
TZIJSLO,O,O,O,X,O,X
TZIJSOL,O,O,O,X,O,X
TZIJOLS,O,O,X,X,O,X
TZIJOSL,X,O,O,X,O,X
TZISLJO,O,O,O,X,O,X
TZISLOJ,O,O,O,X,O,X
TZISJLO,O,O,O,X,O,X
TZISJOL,O,O,O,X,O,X
TZISOLJ,O,O,O,X,O,X
TZISOJL,O,O,O,X,O,X
TZIOLJS,O,O,X,X,O,X
TZIOLSJ,O,O,X,X,O,X
TZIOJLS,O,O,X,X,O,X
TZIOJSL,X,O,O,X,O,X
TZIOSLJ,X,O,O,X,O,X
TZIOSJL,X,O,O,X,O,X
TZLIJSO,O,O,X,X,O,X
TZLIJOS,O,O,X,X,O,X
TZLISJO,O,O,X,X,O,X
TZLISOJ,O,O,X,X,O,X
TZLIOJS,O,O,X,X,O,X
TZLIOSJ,O,O,X,X,O,X
TZLJISO,O,O,X,X,O,X
TZLJIOS,O,O,X,X,O,X
TZLJSIO,O,O,X,X,O,X
TZLJSOI,O,O,X,X,O,X
TZLJOIS,O,O,X,X,O,X
TZLJOSI,O,O,X,X,O,X
TZLSIJO,O,O,X,X,O,X
TZLSIOJ,O,O,X,X,O,X
TZLSJIO,O,O,X,X,O,X
TZLSJOI,O,O,X,X,O,X
TZLSOIJ,O,O,X,X,O,X
TZLSOJI,O,O,X,X,O,X
TZLOIJS,O,O,X,X,O,X
TZLOISJ,O,O,X,X,O,X
TZLOJIS,O,O,X,X,O,X
TZLOJSI,O,O,X,X,O,X
TZLOSIJ,O,O,X,X,O,X
TZLOSJI,O,O,X,X,O,X
TZJILSO,O,O,X,X,O,X
TZJILOS,O,O,X,X,O,X
TZJISLO,O,O,O,X,O,X
TZJISOL,O,O,O,X,O,X
TZJIOLS,O,O,X,X,O,X
TZJIOSL,X,O,O,X,O,X
TZJLISO,O,O,X,X,O,X
TZJLIOS,O,O,X,X,O,X
TZJLSIO,O,O,X,X,O,X
TZJLSOI,O,O,X,X,O,X
TZJLOIS,O,O,X,X,O,X
TZJLOSI,O,O,X,X,O,X
TZJSILO,O,O,O,X,O,X
TZJSIOL,O,O,O,X,O,X
TZJSLIO,O,O,O,X,O,X
TZJSLOI,O,O,O,X,O,X
TZJSOIL,O,O,O,X,O,X
TZJSOLI,O,O,O,X,O,X
TZJOILS,O,O,X,X,O,X
TZJOISL,X,O,O,X,O,X
TZJOLIS,O,O,X,X,O,X
TZJOLSI,O,O,X,X,O,X
TZJOSIL,O,O,O,X,O,X
TZJOSLI,O,O,O,X,O,X
TZSILJO,O,O,O,X,O,X
TZSILOJ,O,O,O,X,O,X
TZSIJLO,O,O,O,X,O,X
TZSIJOL,O,O,O,X,O,X
TZSIOLJ,O,O,O,X,O,X
TZSIOJL,O,O,O,X,O,X
TZSLIJO,O,O,O,X,O,X
TZSLIOJ,O,O,O,X,O,X
TZSLJIO,O,O,O,X,O,X
TZSLJOI,O,O,O,X,O,X
TZSLOIJ,O,O,O,X,O,X
TZSLOJI,O,O,O,X,O,X
TZSJILO,O,O,O,X,O,X
TZSJIOL,O,O,O,X,O,X
TZSJLIO,O,O,O,X,O,X
TZSJLOI,O,O,O,X,O,X
TZSJOIL,O,O,O,X,O,X
TZSJOLI,O,O,O,X,O,X
TZSOILJ,O,O,O,X,O,X
TZSOIJL,O,O,O,X,O,X
TZSOLIJ,O,O,O,X,O,X
TZSOLJI,O,O,O,X,O,X
TZSOJIL,O,O,O,X,O,X
TZSOJLI,O,O,O,X,O,X
TZOILJS,O,O,X,X,O,X
TZOILSJ,O,O,X,X,O,X
TZOIJLS,O,O,X,X,O,X
TZOIJSL,X,O,O,X,O,X
TZOISLJ,X,O,O,X,O,X
TZOISJL,X,O,O,X,O,X
TZOLIJS,O,O,X,X,O,X
TZOLISJ,O,O,X,X,O,X
TZOLJIS,O,O,X,X,O,X
TZOLJSI,O,O,X,X,O,X
TZOLSIJ,O,O,X,X,O,X
TZOLSJI,O,O,X,X,O,X
TZOJILS,O,O,X,X,O,X
TZOJISL,X,O,O,X,O,X
TZOJLIS,O,O,X,X,O,X
TZOJLSI,O,O,X,X,O,X
TZOJSIL,O,O,O,X,O,X
TZOJSLI,O,O,O,X,O,X
TZOSILJ,O,O,O,X,O,X
TZOSIJL,O,O,O,X,O,X
TZOSLIJ,O,O,O,X,O,X
TZOSLJI,O,O,O,X,O,X
TZOSJIL,O,O,O,X,O,X
TZOSJLI,O,O,O,X,O,X
TOILJSZ,X,X,O,O,X,O
TOILJZS,O,X,X,O,O,O
TOILSJZ,X,O,O,O,X,X
TOILSZJ,O,O,O,O,O,X
TOILZJS,O,O,X,O,O,X
TOILZSJ,O,O,X,O,O,X
TOIJLSZ,X,X,O,O,X,O
TOIJLZS,X,X,X,O,O,O
TOIJSLZ,X,X,O,O,X,X
TOIJSZL,X,X,O,O,X,X
TOIJZLS,X,X,X,X,O,X
TOIJZSL,X,X,O,O,O,X
TOISLJZ,X,O,O,O,X,X
TOISLZJ,X,O,O,O,O,X
TOISJLZ,X,X,O,O,X,X
TOISJZL,X,O,O,O,X,X
TOISZLJ,X,O,O,O,O,X
TOISZJL,X,O,O,O,O,X
TOIZLJS,O,O,X,X,O,X
TOIZLSJ,O,O,X,X,O,X
TOIZJLS,O,O,X,X,O,X
TOIZJSL,X,O,O,X,O,X
TOIZSLJ,X,O,O,X,O,X
TOIZSJL,X,O,O,X,O,X
TOLIJSZ,X,X,O,O,X,O
TOLIJZS,O,X,X,O,O,O
TOLISJZ,O,O,O,O,X,X
TOLISZJ,O,O,O,O,O,X
TOLIZJS,O,O,X,O,O,X
TOLIZSJ,O,O,X,O,O,X
TOLJISZ,X,X,O,O,O,O
TOLJIZS,O,X,X,O,O,O
TOLJSIZ,X,O,O,O,O,X
TOLJSZI,X,O,O,O,O,X
TOLJZIS,O,O,X,O,O,X
TOLJZSI,O,O,X,O,O,X
TOLSIJZ,O,O,O,O,X,X
TOLSIZJ,O,O,O,O,O,X
TOLSJIZ,O,O,O,O,X,X
TOLSJZI,O,O,O,O,X,X
TOLSZIJ,O,O,O,O,O,X
TOLSZJI,O,O,O,O,O,X
TOLZIJS,O,O,X,O,O,X
TOLZISJ,O,O,X,O,O,X
TOLZJIS,O,O,X,O,O,X
TOLZJSI,O,O,X,O,O,X
TOLZSIJ,O,O,X,O,O,X
TOLZSJI,O,O,X,O,O,X
TOJILSZ,X,X,O,O,O,O
TOJILZS,X,X,X,O,O,O
TOJISLZ,X,X,O,O,O,X
TOJISZL,X,X,O,O,O,X
TOJIZLS,X,X,X,X,O,X
TOJIZSL,X,X,O,O,O,X
TOJLISZ,X,X,O,O,O,O
TOJLIZS,O,X,X,O,O,O
