sequence,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFmgB5oBXlBF?nBCnBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFumBcnB5oBX?lBKrBlqB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke2EJvhFlhBcnB5oB3?lBClBTrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke/EJvhFalBzgBcnB5?oBFrBurB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KezAJvhFCiB5oBmkBX?nBlkBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Kei/IvhF3gBTiB5oBW?qBlrBcrB
IOTLSJZ,O,X,X,O,X,O
IOTLSZJ,X,O,X,O,X,X
IOTLZJS,X,O,X,X,X,O
IOTLZSJ,X,O,X,O,X,X
IOTJLSZ,X,X,X,X,X,O
IOTJLZS,X,X,X,X,X,O
IOTJSLZ,O,X,X,O,X,O
IOTJSZL,O,X,O,O,X,O
IOTJZLS,X,X,O,X,X,O
IOTJZSL,X,X,O,O,X,O
IOTSLJZ,O,X,X,O,X,O
IOTSLZJ,X,O,X,O,X,X
IOTSJLZ,O,X,X,O,X,O
IOTSJZL,O,X,O,O,X,O
IOTSZLJ,O,O,O,O,X,X
IOTSZJL,O,X,O,O,X,X
IOTZLJS,X,O,O,X,X,O
IOTZLSJ,X,O,O,O,X,X
IOTZJLS,X,O,O,X,X,O
IOTZJSL,O,X,O,O,X,O
IOTZSLJ,O,O,O,O,X,X
IOTZSJL,O,X,O,O,X,X
IOLTJSZ,X,X,X,X,X,O
IOLTJZS,X,X,X,X,X,O
IOLTSJZ,O,X,X,X,X,O
IOLTSZJ,X,O,X,X,X,X
IOLTZJS,X,O,X,X,X,O
IOLTZSJ,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,O
IOLJTZS,X,X,X,X,X,O
IOLJSTZ,X,X,X,X,X,O
IOLJSZT,X,O,O,X,X,X
IOLJZTS,X,O,O,X,X,O
IOLJZST,X,O,O,X,X,X
IOLSTJZ,O,X,X,X,X,O
IOLSTZJ,X,O,X,X,X,X
IOLSJTZ,O,X,X,X,X,O
IOLSJZT,O,O,O,X,X,X
IOLSZTJ,O,O,O,X,X,X
IOLSZJT,O,O,O,X,X,X
IOLZTJS,X,O,O,X,X,O
IOLZTSJ,X,O,O,X,X,X
IOLZJTS,X,O,O,X,X,O
IOLZJST,X,O,O,X,X,X
IOLZSTJ,X,O,O,X,X,X
IOLZSJT,X,O,O,X,X,X
IOJTLSZ,X,X,X,X,X,O
IOJTLZS,X,X,X,X,X,O
IOJTSLZ,O,X,X,X,X,O
IOJTSZL,O,X,O,X,X,O
IOJTZLS,X,X,O,X,X,O
IOJTZSL,X,X,O,X,X,O
IOJLTSZ,X,X,X,X,X,O
IOJLTZS,X,X,X,X,X,O
IOJLSTZ,X,X,X,X,X,O
IOJLSZT,X,O,O,X,X,X
IOJLZTS,X,O,O,X,X,O
IOJLZST,X,O,O,X,X,X
IOJSTLZ,O,X,X,X,X,O
IOJSTZL,O,X,O,X,X,O
IOJSLTZ,O,X,X,X,X,O
IOJSLZT,O,O,O,X,O,X
IOJSZTL,O,X,O,X,O,X
IOJSZLT,O,O,O,X,O,X
IOJZTLS,X,O,O,X,X,O
IOJZTSL,X,X,O,X,O,O
IOJZLTS,X,O,O,X,X,O
IOJZLST,X,O,O,X,O,X
IOJZSTL,X,X,O,X,O,X
IOJZSLT,X,O,O,X,O,X
IOSTLJZ,O,X,X,O,X,O
IOSTLZJ,X,O,X,O,X,X
IOSTJLZ,O,X,X,O,X,O
IOSTJZL,O,X,O,O,X,O
IOSTZLJ,O,O,O,O,X,X
IOSTZJL,O,X,O,O,X,X
IOSLTJZ,O,X,X,O,X,O
IOSLTZJ,X,O,X,O,X,X
IOSLJTZ,O,X,X,X,X,O
IOSLJZT,O,O,O,X,O,X
IOSLZTJ,O,O,O,O,X,X
IOSLZJT,O,O,O,X,X,X
IOSJTLZ,O,X,X,X,X,O
IOSJTZL,O,X,O,X,X,O
IOSJLTZ,O,X,X,X,X,O
IOSJLZT,O,O,O,X,O,X
IOSJZTL,O,X,O,X,O,X
IOSJZLT,O,O,O,X,O,X
IOSZTLJ,O,O,O,O,O,X
IOSZTJL,O,X,O,O,O,X
IOSZLTJ,O,O,O,O,O,X
IOSZLJT,O,O,O,X,O,X
IOSZJTL,O,X,O,X,O,X
IOSZJLT,O,O,O,X,O,X
IOZTLJS,X,O,O,X,X,O
IOZTLSJ,X,O,O,O,X,X
IOZTJLS,X,O,O,X,X,O
IOZTJSL,O,X,O,O,O,O
IOZTSLJ,O,O,O,O,O,X
IOZTSJL,O,X,O,O,O,X
IOZLTJS,X,O,O,X,X,O
IOZLTSJ,X,O,O,X,X,X
IOZLJTS,X,O,O,X,X,O
IOZLJST,X,O,O,X,O,X
IOZLSTJ,X,O,O,X,O,X
IOZLSJT,X,O,O,X,O,X
IOZJTLS,X,O,O,X,X,O
IOZJTSL,O,X,O,X,O,O
IOZJLTS,X,O,O,X,X,O
IOZJLST,X,O,O,X,O,X
IOZJSTL,O,X,O,X,O,X
IOZJSLT,O,O,O,X,O,X
IOZSTLJ,O,O,O,O,O,X
IOZSTJL,O,X,O,O,O,X
IOZSLTJ,O,O,O,O,O,X
IOZSLJT,O,O,O,X,O,X
IOZSJTL,O,X,O,X,O,X
IOZSJLT,O,O,O,X,O,X
LTIJSZO,X,X,X,X,X,O
LTIJSOZ,X,X,X,X,X,O
LTIJZSO,X,X,X,X,X,O
LTIJZOS,X,X,X,X,X,O
LTIJOSZ,X,X,X,X,X,O
LTIJOZS,X,X,X,X,X,O
LTISJZO,X,X,X,O,X,O
LTISJOZ,O,X,X,O,X,O
LTISZJO,X,O,X,O,X,X
LTISZOJ,X,O,X,O,X,X
LTISOJZ,O,X,X,O,X,O
LTISOZJ,X,O,X,O,X,X
LTIZJSO,O,O,X,X,X,O
LTIZJOS,X,O,X,X,X,O
LTIZSJO,O,O,X,O,X,X
LTIZSOJ,O,O,X,O,X,X
LTIZOJS,X,O,X,X,X,O
LTIZOSJ,X,O,X,O,X,X
LTIOJSZ,X,X,X,X,X,O
LTIOJZS,X,X,X,X,X,O
LTIOSJZ,O,X,X,O,X,O
LTIOSZJ,X,O,X,O,X,X
LTIOZJS,X,O,X,X,X,O
LTIOZSJ,X,O,X,O,X,X
LTJISZO,X,X,X,X,X,O
LTJISOZ,X,X,X,X,X,O
LTJIZSO,X,X,X,X,X,O
LTJIZOS,X,X,X,X,X,O
LTJIOSZ,X,X,X,X,X,O
LTJIOZS,X,X,X,X,X,O
LTJSIZO,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,X,O
LTJSZIO,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O
LTJSOZI,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O
LTJZIOS,X,X,X,X,X,O
LTJZSIO,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,O
LTJZOSI,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O
LTJOIZS,X,X,X,X,X,O
LTJOSIZ,X,X,X,X,X,O
LTJOSZI,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O
LTJOZSI,X,X,X,X,X,X
LTSIJZO,X,X,X,O,X,O
LTSIJOZ,O,X,X,O,X,O
LTSIZJO,X,O,X,O,X,X
LTSIZOJ,X,O,X,O,X,X
LTSIOJZ,O,X,X,O,X,O
LTSIOZJ,X,O,X,O,X,X
LTSJIZO,X,X,X,O,X,O
LTSJIOZ,O,X,X,O,X,O
LTSJZIO,X,X,X,O,X,X
LTSJZOI,X,X,X,O,X,X
LTSJOIZ,O,X,X,O,X,O
LTSJOZI,X,X,X,O,X,X
LTSZIJO,X,O,X,O,X,X
LTSZIOJ,X,O,X,O,X,X
LTSZJIO,X,O,X,O,X,X
LTSZJOI,X,O,X,O,X,X
LTSZOIJ,X,O,X,O,X,X
LTSZOJI,X,O,X,O,X,X
LTSOIJZ,O,X,X,O,X,O
LTSOIZJ,X,O,X,O,X,X
LTSOJIZ,O,X,X,O,X,O
LTSOJZI,X,X,X,O,X,X
LTSOZIJ,X,O,X,O,X,X
LTSOZJI,X,O,X,O,X,X
LTZIJSO,O,O,X,X,X,O
LTZIJOS,X,O,X,X,X,O
LTZISJO,O,O,X,O,X,X
LTZISOJ,O,O,X,O,X,X
LTZIOJS,X,O,X,X,X,O
LTZIOSJ,X,O,X,O,X,X
LTZJISO,O,O,X,X,X,O
LTZJIOS,X,O,X,X,X,O
LTZJSIO,O,O,X,X,X,X
LTZJSOI,O,O,X,X,X,X
LTZJOIS,X,O,X,X,X,O
LTZJOSI,X,O,X,X,X,X
LTZSIJO,O,O,X,O,X,X
LTZSIOJ,O,O,X,O,X,X
LTZSJIO,O,O,X,O,X,X
LTZSJOI,O,O,X,O,X,X
LTZSOIJ,O,O,X,O,X,X
LTZSOJI,O,O,X,O,X,X
LTZOIJS,X,O,X,X,X,O
LTZOISJ,X,O,X,O,X,X
LTZOJIS,X,O,X,X,X,O
LTZOJSI,X,O,X,X,X,X
LTZOSIJ,X,O,X,O,X,X
LTZOSJI,X,O,X,O,X,X
LTOIJSZ,X,X,X,X,X,O
LTOIJZS,X,X,X,X,X,O
LTOISJZ,O,X,X,O,X,O
LTOISZJ,X,O,X,O,X,X
LTOIZJS,X,O,X,X,X,O
LTOIZSJ,X,O,X,O,X,X
LTOJISZ,X,X,X,X,X,O
LTOJIZS,X,X,X,X,X,O
LTOJSIZ,X,X,X,X,X,O
LTOJSZI,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,O
LTOJZSI,X,X,X,X,X,X
LTOSIJZ,O,X,X,O,X,O
LTOSIZJ,X,O,X,O,X,X
LTOSJIZ,O,X,X,O,X,O
LTOSJZI,X,X,X,O,X,X
LTOSZIJ,X,O,X,O,X,X
LTOSZJI,X,O,X,O,X,X
LTOZIJS,X,O,X,X,X,O
LTOZISJ,X,O,X,O,X,X
LTOZJIS,X,O,X,X,X,O
LTOZJSI,X,O,X,X,X,X
LTOZSIJ,X,O,X,O,X,X
LTOZSJI,X,O,X,O,X,X
LITJSZO,X,X,X,X,X,O
LITJSOZ,X,X,X,X,X,O
LITJZSO,X,X,X,X,X,O
LITJZOS,X,X,X,X,X,O
LITJOSZ,X,X,X,X,X,O
LITJOZS,X,X,X,X,X,O
LITSJZO,X,X,X,O,X,O
LITSJOZ,O,X,X,O,X,O
LITSZJO,X,O,X,O,X,X
LITSZOJ,X,O,X,O,X,X
LITSOJZ,O,X,X,O,X,O
LITSOZJ,X,O,X,O,X,X
LITZJSO,O,O,X,X,X,O
LITZJOS,X,O,X,X,X,O
LITZSJO,O,O,X,O,X,X
LITZSOJ,O,O,X,O,X,X
LITZOJS,X,O,X,X,X,O
LITZOSJ,X,O,X,O,X,X
LITOJSZ,X,X,X,X,X,O
LITOJZS,X,X,X,X,X,O
LITOSJZ,O,X,X,O,X,O
LITOSZJ,X,O,X,O,X,X
LITOZJS,X,O,X,X,X,O
LITOZSJ,X,O,X,O,X,X
LIJTSZO,X,X,X,X,X,O
LIJTSOZ,X,X,X,X,X,O
LIJTZSO,X,X,X,X,X,O
LIJTZOS,X,X,X,X,X,O
LIJTOSZ,X,X,X,X,X,O
LIJTOZS,X,X,X,X,X,O
LIJSTZO,X,X,X,X,O,O
LIJSTOZ,X,X,X,X,X,O
LIJSZTO,X,O,O,X,O,X
LIJSZOT,X,O,X,X,O,X
LIJSOTZ,X,X,X,X,X,O
LIJSOZT,X,O,X,X,O,X
LIJZTSO,X,O,O,X,X,O
LIJZTOS,X,O,X,X,X,O
LIJZSTO,X,O,O,X,O,X
LIJZSOT,X,O,X,X,O,X
LIJZOTS,X,O,O,X,X,O
LIJZOST,X,O,O,X,O,X
LIJOTSZ,X,X,X,X,X,O
LIJOTZS,X,X,X,X,X,O
LIJOSTZ,X,X,X,X,X,O
LIJOSZT,X,O,O,X,X,X
LIJOZTS,X,O,O,X,X,O
LIJOZST,X,O,O,X,X,X
LISTJZO,X,X,X,O,O,O
LISTJOZ,O,X,X,O,X,O
LISTZJO,X,O,X,O,X,X
LISTZOJ,X,O,X,O,X,X
LISTOJZ,O,X,X,O,X,O
LISTOZJ,X,O,X,O,X,X
LISJTZO,X,X,X,O,O,O
LISJTOZ,O,X,X,O,X,O
LISJZTO,O,O,O,O,O,X
LISJZOT,O,O,X,X,O,X
LISJOTZ,O,X,X,X,X,O
LISJOZT,O,O,X,X,O,X
LISZTJO,O,O,O,O,O,X
LISZTOJ,O,O,X,O,O,X
LISZJTO,O,O,O,O,O,X
LISZJOT,O,O,X,X,O,X
LISZOTJ,O,O,X,O,O,X
LISZOJT,O,O,X,X,O,X
LISOTJZ,O,X,X,O,X,O
LISOTZJ,X,O,X,O,X,X
LISOJTZ,O,X,X,X,X,O
LISOJZT,O,O,X,X,O,X
LISOZTJ,O,O,X,O,X,X
LISOZJT,O,O,X,X,X,X
LIZTJSO,O,O,O,X,X,O
LIZTJOS,X,O,X,X,X,O
LIZTSJO,O,O,O,O,X,X
LIZTSOJ,O,O,X,O,X,X
LIZTOJS,X,O,X,X,X,O
LIZTOSJ,X,O,X,O,X,X
LIZJTSO,O,O,O,X,X,O
LIZJTOS,X,O,X,X,X,O
LIZJSTO,O,O,O,X,O,X
LIZJSOT,O,O,X,X,O,X
LIZJOTS,X,O,O,X,X,O
LIZJOST,X,O,O,X,O,X
LIZSTJO,O,O,O,O,O,X
LIZSTOJ,O,O,X,O,O,X
LIZSJTO,O,O,O,O,O,X
LIZSJOT,O,O,X,X,O,X
LIZSOTJ,O,O,X,O,O,X
LIZSOJT,O,O,X,X,O,X
LIZOTJS,X,O,O,X,X,O
LIZOTSJ,X,O,O,X,X,X
LIZOJTS,X,O,O,X,X,O
LIZOJST,X,O,O,X,O,X
LIZOSTJ,X,O,O,X,O,X
LIZOSJT,X,O,O,X,O,X
LIOTJSZ,X,X,X,X,X,O
LIOTJZS,X,X,X,X,X,O
LIOTSJZ,O,X,X,X,X,O
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,X,O,X,X,X,O
LIOTZSJ,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,X,O
LIOJTZS,X,X,X,X,X,O
LIOJSTZ,X,X,X,X,X,O
LIOJSZT,X,O,O,X,X,X
LIOJZTS,X,O,O,X,X,O
LIOJZST,X,O,O,X,X,X
LIOSTJZ,O,X,X,X,X,O
LIOSTZJ,X,O,X,X,X,X
LIOSJTZ,O,X,X,X,X,O
LIOSJZT,O,O,O,X,X,X
LIOSZTJ,O,O,O,X,X,X
LIOSZJT,O,O,O,X,X,X
LIOZTJS,X,O,O,X,X,O
LIOZTSJ,X,O,O,X,X,X
LIOZJTS,X,O,O,X,X,O
LIOZJST,X,O,O,X,X,X
LIOZSTJ,X,O,O,X,X,X
LIOZSJT,X,O,O,X,X,X
LJTISZO,X,X,X,X,X,O
LJTISOZ,X,X,X,X,X,O
LJTIZSO,X,X,X,X,X,O
LJTIZOS,X,X,X,X,X,O
LJTIOSZ,X,X,X,X,X,O
LJTIOZS,X,X,X,X,X,O
LJTSIZO,X,X,X,X,X,O
LJTSIOZ,X,X,X,X,X,O
LJTSZIO,X,X,X,X,X,X
LJTSZOI,X,X,X,X,X,X
LJTSOIZ,X,X,X,X,X,O
LJTSOZI,X,X,X,X,X,X
LJTZISO,X,X,X,X,X,O
LJTZIOS,X,X,X,X,X,O
LJTZSIO,X,X,X,X,X,X
LJTZSOI,X,X,X,X,X,X
LJTZOIS,X,X,X,X,X,O
LJTZOSI,X,X,X,X,X,X
LJTOISZ,X,X,X,X,X,O
LJTOIZS,X,X,X,X,X,O
LJTOSIZ,X,X,X,X,X,O
LJTOSZI,X,X,X,X,X,X
LJTOZIS,X,X,X,X,X,O
LJTOZSI,X,X,X,X,X,X
LJITSZO,X,X,X,X,X,O
LJITSOZ,X,X,X,X,X,O
LJITZSO,X,X,X,X,X,O
LJITZOS,X,X,X,X,X,O
LJITOSZ,X,X,X,X,X,O
LJITOZS,X,X,X,X,X,O
LJISTZO,X,X,X,X,O,O
LJISTOZ,X,X,X,X,X,O
LJISZTO,X,O,O,X,O,X
LJISZOT,X,O,X,X,O,X
LJISOTZ,X,X,X,X,X,O
LJISOZT,X,O,X,X,O,X
LJIZTSO,X,O,O,X,X,O
LJIZTOS,X,O,X,X,X,O
LJIZSTO,X,O,O,X,O,X
LJIZSOT,X,O,X,X,O,X
LJIZOTS,X,O,O,X,X,O
LJIZOST,X,O,O,X,O,X
LJIOTSZ,X,X,X,X,X,O
LJIOTZS,X,X,X,X,X,O
LJIOSTZ,X,X,X,X,X,O
LJIOSZT,X,O,O,X,X,X
LJIOZTS,X,O,O,X,X,O
LJIOZST,X,O,O,X,X,X
LJSTIZO,X,X,X,X,O,O
LJSTIOZ,X,X,X,X,X,O
LJSTZIO,X,X,X,X,O,X
LJSTZOI,X,X,X,X,O,X
LJSTOIZ,X,X,X,X,X,O
LJSTOZI,X,X,X,X,X,X
LJSITZO,X,X,X,X,O,O
LJSITOZ,X,X,X,X,X,O
LJSIZTO,X,O,O,X,O,X
LJSIZOT,X,O,X,X,O,X
LJSIOTZ,X,X,X,X,X,O
LJSIOZT,X,O,X,X,O,X
LJSZTIO,X,O,O,X,O,X
LJSZTOI,X,O,X,X,O,X
LJSZITO,X,O,O,X,O,X
LJSZIOT,X,O,X,X,O,X
LJSZOTI,X,O,X,X,O,X
LJSZOIT,X,O,X,X,O,X
LJSOTIZ,X,X,X,X,X,O
LJSOTZI,X,X,X,X,X,X
LJSOITZ,X,X,X,X,X,O
LJSOIZT,X,O,X,X,O,X
LJSOZTI,X,O,X,X,O,X
LJSOZIT,X,O,X,X,O,X
LJZTISO,X,O,O,X,X,O
LJZTIOS,X,O,X,X,X,O
LJZTSIO,X,O,O,X,X,X
LJZTSOI,X,O,X,X,X,X
LJZTOIS,X,O,X,X,X,O
LJZTOSI,X,O,X,X,X,X
LJZITSO,X,O,O,X,X,O
LJZITOS,X,O,X,X,X,O
LJZISTO,X,O,O,X,O,X
LJZISOT,X,O,X,X,O,X
LJZIOTS,X,O,O,X,X,O
LJZIOST,X,O,O,X,O,X
LJZSTIO,X,O,O,X,O,X
LJZSTOI,X,O,X,X,O,X
LJZSITO,X,O,O,X,O,X
LJZSIOT,X,O,X,X,O,X
LJZSOTI,X,O,X,X,O,X
LJZSOIT,X,O,X,X,O,X
LJZOTIS,X,O,O,X,X,O
LJZOTSI,X,O,O,X,X,X
LJZOITS,X,O,O,X,X,O
LJZOIST,X,O,O,X,O,X
LJZOSTI,X,O,O,X,O,X
LJZOSIT,X,O,O,X,O,X
LJOTISZ,X,X,X,X,X,O
LJOTIZS,X,X,X,X,X,O
LJOTSIZ,X,X,X,X,X,O
LJOTSZI,X,X,X,X,X,X
LJOTZIS,X,X,X,X,X,O
LJOTZSI,X,X,X,X,X,X
LJOITSZ,X,X,X,X,X,O
LJOITZS,X,X,X,X,X,O
LJOISTZ,X,X,X,X,X,O
LJOISZT,X,O,O,X,X,X
LJOIZTS,X,O,O,X,X,O
LJOIZST,X,O,O,X,X,X
LJOSTIZ,X,X,X,X,X,O
LJOSTZI,X,X,X,X,X,X
LJOSITZ,X,X,X,X,X,O
LJOSIZT,X,O,O,X,X,X
LJOSZTI,X,O,O,X,X,X
LJOSZIT,X,O,O,X,X,X
LJOZTIS,X,O,O,X,X,O
LJOZTSI,X,O,O,X,X,X
LJOZITS,X,O,O,X,X,O
LJOZIST,X,O,O,X,X,X
LJOZSTI,X,O,O,X,X,X
LJOZSIT,X,O,O,X,X,X
LSTIJZO,X,X,X,O,O,O
LSTIJOZ,O,X,X,O,X,O
LSTIZJO,X,O,X,O,X,X
LSTIZOJ,X,O,X,O,X,X
LSTIOJZ,O,X,X,O,X,O
LSTIOZJ,X,O,X,O,X,X
LSTJIZO,X,X,X,O,O,O
LSTJIOZ,O,X,X,O,X,O
LSTJZIO,X,X,X,O,O,X
LSTJZOI,X,X,X,O,O,X
LSTJOIZ,O,X,X,O,X,O
LSTJOZI,X,X,X,O,X,X
LSTZIJO,X,O,X,O,X,X
LSTZIOJ,X,O,X,O,X,X
LSTZJIO,X,O,X,O,X,X
LSTZJOI,X,O,X,O,X,X
LSTZOIJ,X,O,X,O,X,X
LSTZOJI,X,O,X,O,X,X
LSTOIJZ,O,X,X,O,X,O
LSTOIZJ,X,O,X,O,X,X
LSTOJIZ,O,X,X,O,X,O
LSTOJZI,X,X,X,O,X,X
LSTOZIJ,X,O,X,O,X,X
LSTOZJI,X,O,X,O,X,X
LSITJZO,X,X,X,O,O,O
LSITJOZ,O,X,X,O,X,O
LSITZJO,X,O,X,O,X,X
LSITZOJ,X,O,X,O,X,X
LSITOJZ,O,X,X,O,X,O
LSITOZJ,X,O,X,O,X,X
LSIJTZO,X,X,X,O,O,O
LSIJTOZ,O,X,X,O,X,O
LSIJZTO,O,O,O,O,O,X
LSIJZOT,O,O,X,X,O,X
LSIJOTZ,O,X,X,X,X,O
LSIJOZT,O,O,X,X,O,X
LSIZTJO,O,O,O,O,O,X
LSIZTOJ,O,O,X,O,O,X
LSIZJTO,O,O,O,O,O,X
LSIZJOT,O,O,X,X,O,X
LSIZOTJ,O,O,X,O,O,X
LSIZOJT,O,O,X,X,O,X
LSIOTJZ,O,X,X,O,X,O
LSIOTZJ,X,O,X,O,X,X
LSIOJTZ,O,X,X,X,X,O
LSIOJZT,O,O,X,X,O,X
LSIOZTJ,O,O,X,O,X,X
LSIOZJT,O,O,X,X,X,X
LSJTIZO,X,X,X,O,O,O
LSJTIOZ,O,X,X,O,X,O
LSJTZIO,X,X,X,O,O,X
LSJTZOI,X,X,X,O,O,X
LSJTOIZ,O,X,X,O,X,O
LSJTOZI,X,X,X,O,X,X
LSJITZO,X,X,X,O,O,O
LSJITOZ,O,X,X,O,X,O
LSJIZTO,O,O,O,O,O,X
LSJIZOT,O,O,X,X,O,X
LSJIOTZ,O,X,X,X,X,O
LSJIOZT,O,O,X,X,O,X
LSJZTIO,O,O,O,O,O,X
LSJZTOI,O,O,X,O,O,X
LSJZITO,O,O,O,O,O,X
LSJZIOT,O,O,X,X,O,X
LSJZOTI,O,O,X,X,O,X
LSJZOIT,O,O,X,X,O,X
LSJOTIZ,O,X,X,X,X,O
LSJOTZI,X,X,X,X,X,X
LSJOITZ,O,X,X,X,X,O
LSJOIZT,O,O,X,X,O,X
LSJOZTI,O,O,X,X,O,X
LSJOZIT,O,O,X,X,O,X
LSZTIJO,O,O,O,O,O,X
LSZTIOJ,O,O,X,O,O,X
LSZTJIO,O,O,O,O,O,X
LSZTJOI,O,O,X,O,O,X
LSZTOIJ,O,O,X,O,O,X
LSZTOJI,O,O,X,O,O,X
LSZITJO,O,O,O,O,O,X
LSZITOJ,O,O,X,O,O,X
LSZIJTO,O,O,O,O,O,X
LSZIJOT,O,O,X,X,O,X
LSZIOTJ,O,O,X,O,O,X
LSZIOJT,O,O,X,X,O,X
LSZJTIO,O,O,O,O,O,X
LSZJTOI,O,O,X,O,O,X
LSZJITO,O,O,O,O,O,X
LSZJIOT,O,O,X,X,O,X
LSZJOTI,O,O,X,X,O,X
LSZJOIT,O,O,X,X,O,X
LSZOTIJ,O,O,X,O,O,X
LSZOTJI,O,O,X,O,O,X
LSZOITJ,O,O,X,O,O,X
LSZOIJT,O,O,X,X,O,X
LSZOJTI,O,O,X,X,O,X
LSZOJIT,O,O,X,X,O,X
LSOTIJZ,O,X,X,O,X,O
LSOTIZJ,X,O,X,O,X,X
LSOTJIZ,O,X,X,O,X,O
LSOTJZI,X,X,X,O,X,X
LSOTZIJ,X,O,X,O,X,X
LSOTZJI,X,O,X,O,X,X
LSOITJZ,O,X,X,O,X,O
LSOITZJ,X,O,X,O,X,X
LSOIJTZ,O,X,X,X,X,O
LSOIJZT,O,O,X,X,O,X
LSOIZTJ,O,O,X,O,X,X
LSOIZJT,O,O,X,X,X,X
LSOJTIZ,O,X,X,X,X,O
LSOJTZI,X,X,X,X,X,X
LSOJITZ,O,X,X,X,X,O
LSOJIZT,O,O,X,X,O,X
LSOJZTI,O,O,X,X,O,X
LSOJZIT,O,O,X,X,O,X
LSOZTIJ,O,O,X,O,X,X
LSOZTJI,O,O,X,O,X,X
LSOZITJ,O,O,X,O,X,X
LSOZIJT,O,O,X,X,X,X
LSOZJTI,O,O,X,X,X,X
LSOZJIT,O,O,X,X,X,X
LZTIJSO,O,O,O,X,X,O
LZTIJOS,X,O,X,X,X,O
LZTISJO,O,O,O,O,X,X
LZTISOJ,O,O,X,O,X,X
LZTIOJS,X,O,X,X,X,O
LZTIOSJ,X,O,X,O,X,X
LZTJISO,O,O,O,X,X,O
LZTJIOS,X,O,X,X,X,O
LZTJSIO,O,O,O,X,X,X
LZTJSOI,O,O,X,X,X,X
LZTJOIS,X,O,X,X,X,O
LZTJOSI,X,O,X,X,X,X
LZTSIJO,O,O,O,O,X,X
LZTSIOJ,O,O,X,O,X,X
LZTSJIO,O,O,O,O,X,X
LZTSJOI,O,O,X,O,X,X
LZTSOIJ,O,O,X,O,X,X
LZTSOJI,O,O,X,O,X,X
LZTOIJS,X,O,X,X,X,O
LZTOISJ,X,O,X,O,X,X
LZTOJIS,X,O,X,X,X,O
LZTOJSI,X,O,X,X,X,X
LZTOSIJ,X,O,X,O,X,X
LZTOSJI,X,O,X,O,X,X
LZITJSO,O,O,O,X,X,O
LZITJOS,X,O,X,X,X,O
LZITSJO,O,O,O,O,X,X
LZITSOJ,O,O,X,O,X,X
LZITOJS,X,O,X,X,X,O
LZITOSJ,X,O,X,O,X,X
LZIJTSO,O,O,O,X,X,O
LZIJTOS,X,O,X,X,X,O
LZIJSTO,O,O,O,X,O,X
LZIJSOT,O,O,X,X,O,X
LZIJOTS,X,O,O,X,X,O
LZIJOST,X,O,O,X,O,X
LZISTJO,O,O,O,O,O,X
LZISTOJ,O,O,X,O,O,X
LZISJTO,O,O,O,O,O,X
LZISJOT,O,O,X,X,O,X
LZISOTJ,O,O,X,O,O,X
LZISOJT,O,O,X,X,O,X
LZIOTJS,X,O,O,X,X,O
LZIOTSJ,X,O,O,X,X,X
LZIOJTS,X,O,O,X,X,O
LZIOJST,X,O,O,X,O,X
LZIOSTJ,X,O,O,X,O,X
LZIOSJT,X,O,O,X,O,X
LZJTISO,O,O,O,X,X,O
LZJTIOS,X,O,X,X,X,O
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,O,X,X,X,X
LZJTOIS,X,O,X,X,X,O
LZJTOSI,X,O,X,X,X,X
LZJITSO,O,O,O,X,X,O
LZJITOS,X,O,X,X,X,O
LZJISTO,O,O,O,X,O,X
LZJISOT,O,O,X,X,O,X
LZJIOTS,X,O,O,X,X,O
LZJIOST,X,O,O,X,O,X
LZJSTIO,O,O,O,X,O,X
LZJSTOI,O,O,X,X,O,X
LZJSITO,O,O,O,X,O,X
LZJSIOT,O,O,X,X,O,X
LZJSOTI,O,O,X,X,O,X
LZJSOIT,O,O,X,X,O,X
LZJOTIS,X,O,O,X,X,O
LZJOTSI,X,O,O,X,X,X
LZJOITS,X,O,O,X,X,O
LZJOIST,X,O,O,X,O,X
LZJOSTI,X,O,O,X,O,X
LZJOSIT,X,O,O,X,O,X
LZSTIJO,O,O,O,O,O,X
LZSTIOJ,O,O,X,O,O,X
LZSTJIO,O,O,O,O,O,X
LZSTJOI,O,O,X,O,O,X
LZSTOIJ,O,O,X,O,O,X
LZSTOJI,O,O,X,O,O,X
LZSITJO,O,O,O,O,O,X
LZSITOJ,O,O,X,O,O,X
LZSIJTO,O,O,O,O,O,X
LZSIJOT,O,O,X,X,O,X
