sequence,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFmgB5oBXlBF?nBCnBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFumBcnB5oBX?lBKrBlqB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke2EJvhFlhBcnB5oB3?lBClBTrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke/EJvhFalBzgBcnB5?oBFrBurB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KezAJvhFCiB5oBmkBX?nBlkBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Kei/IvhF3gBTiB5oBW?qBlrBcrB
TZOJISL,O,X,O,O,O,O
TZOJLIS,X,O,O,X,X,O
TZOJLSI,X,O,O,X,X,X
TZOJSIL,O,X,O,O,O,X
TZOJSLI,O,X,O,O,O,X
TZOSILJ,O,O,O,O,O,X
TZOSIJL,O,X,O,O,O,X
TZOSLIJ,O,O,O,O,O,X
TZOSLJI,O,O,O,O,O,X
TZOSJIL,O,X,O,O,O,X
TZOSJLI,O,X,O,O,O,X
TOILJSZ,X,X,X,X,X,O
TOILJZS,X,X,X,X,X,O
TOILSJZ,O,X,X,O,X,O
TOILSZJ,X,O,X,O,X,X
TOILZJS,X,O,X,X,X,O
TOILZSJ,X,O,X,O,X,X
TOIJLSZ,X,X,X,X,X,O
TOIJLZS,X,X,X,X,X,O
TOIJSLZ,O,X,X,O,X,O
TOIJSZL,O,X,O,O,X,O
TOIJZLS,X,X,O,X,X,O
TOIJZSL,X,X,O,O,X,O
TOISLJZ,O,X,X,O,X,O
TOISLZJ,X,O,X,O,X,X
TOISJLZ,O,X,X,O,X,O
TOISJZL,O,X,O,O,X,O
TOISZLJ,O,O,O,O,X,X
TOISZJL,O,X,O,O,X,X
TOIZLJS,X,O,O,X,X,O
TOIZLSJ,X,O,O,O,X,X
TOIZJLS,X,O,O,X,X,O
TOIZJSL,O,X,O,O,X,O
TOIZSLJ,O,O,O,O,X,X
TOIZSJL,O,X,O,O,X,X
TOLIJSZ,X,X,X,X,X,O
TOLIJZS,X,X,X,X,X,O
TOLISJZ,O,X,X,O,X,O
TOLISZJ,X,O,X,O,X,X
TOLIZJS,X,O,X,X,X,O
TOLIZSJ,X,O,X,O,X,X
TOLJISZ,X,X,X,X,X,O
TOLJIZS,X,X,X,X,X,O
TOLJSIZ,X,X,X,X,X,O
TOLJSZI,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,O
TOLJZSI,X,X,X,X,X,X
TOLSIJZ,O,X,X,O,X,O
TOLSIZJ,X,O,X,O,X,X
TOLSJIZ,O,X,X,O,X,O
TOLSJZI,X,X,X,O,X,X
TOLSZIJ,X,O,X,O,X,X
TOLSZJI,X,O,X,O,X,X
TOLZIJS,X,O,X,X,X,O
TOLZISJ,X,O,X,O,X,X
TOLZJIS,X,O,X,X,X,O
TOLZJSI,X,O,X,X,X,X
TOLZSIJ,X,O,X,O,X,X
TOLZSJI,X,O,X,O,X,X
