sequence,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFXhB8mBGjBaqBzq?BVxB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFlhBGjBUlBKsBTr?B3qB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFlgB3hBGjByrBTq?BxwB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFRhBGjBKqBzlB3r?BUsB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFymBGjBFlB3qBUs?BTrB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFzhBGjBFlB3qBUs?BKrB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhF3hBGjBTlBKsBUm?BxvB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFxgBGjBFmBTqB3r?BKsB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFzgBGjBKqBRrBUs?B3rB
TIZSLJO,O,X,O,X,O,O,X,X,X
TIZSLOJ,O,X,O,X,O,O,X,X,X
TIZSJLO,O,X,O,X,O,O,X,X,X
TIZSJOL,O,X,X,X,O,O,X,X,X
TIZSOLJ,X,X,X,X,O,O,X,X,X
TIZSOJL,O,X,X,X,O,O,X,X,X
TIZOLJS,O,O,O,X,X,X,O,X,X
TIZOLSJ,O,O,O,X,X,X,O,X,X
TIZOJLS,O,O,O,X,X,X,O,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,X,O,X,X
TIOLJZS,O,O,O,X,X,X,O,X,X
TIOLSJZ,O,O,O,X,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,X,O,X,X
TIOLZJS,O,O,O,X,X,X,O,X,X
TIOLZSJ,O,X,O,X,X,X,O,X,X
TIOJLSZ,O,O,O,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,O,X,X
TIOJSLZ,X,X,O,X,X,X,O,X,X
TIOJSZL,O,X,O,X,O,O,X,X,X
TIOJZLS,O,X,O,X,X,X,O,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X,O,X,X
TIOSLZJ,X,X,O,X,X,X,O,X,X
TIOSJLZ,X,X,O,X,X,X,O,X,X
TIOSJZL,O,X,O,X,O,O,X,X,X
TIOSZLJ,O,X,O,X,O,O,X,X,X
TIOSZJL,O,X,O,X,O,O,X,X,X
TIOZLJS,O,X,O,X,X,X,O,X,X
TIOZLSJ,O,X,O,X,X,X,O,X,X
TIOZJLS,O,X,O,X,X,X,O,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,X,O
TLIJSOZ,O,O,X,O,X,X,O,X,O
TLIJZSO,O,X,X,X,X,X,X,X,O
TLIJZOS,O,O,X,X,X,X,O,X,O
TLIJOSZ,O,O,X,O,X,X,O,X,O
TLIJOZS,O,O,X,O,X,X,O,X,O
TLISJZO,O,X,X,X,O,O,X,X,O
TLISJOZ,O,O,X,O,X,X,O,X,O
TLISZJO,O,X,X,X,O,O,X,X,O
TLISZOJ,O,X,X,X,O,O,X,X,O
TLISOJZ,O,X,X,O,X,X,O,X,O
TLISOZJ,O,X,X,O,X,X,O,X,O
TLIZJSO,O,X,X,X,X,X,X,X,O
TLIZJOS,O,O,X,X,X,X,O,X,O
TLIZSJO,O,X,X,X,X,X,X,X,O
TLIZSOJ,O,X,X,X,X,X,X,X,O
TLIZOJS,O,O,X,X,X,X,O,X,O
TLIZOSJ,O,O,X,X,X,X,O,X,O
TLIOJSZ,O,O,X,O,X,X,O,X,O
TLIOJZS,O,O,X,O,X,X,O,X,O
TLIOSJZ,O,O,X,O,X,X,O,X,O
TLIOSZJ,O,X,X,O,X,X,O,X,O
TLIOZJS,O,O,X,O,X,X,O,X,O
TLIOZSJ,O,O,X,X,X,X,O,X,O
TLJISZO,O,X,X,X,O,O,X,X,O
TLJISOZ,O,O,X,O,X,X,O,X,O
TLJIZSO,O,X,X,X,X,X,X,X,O
TLJIZOS,O,O,X,X,X,X,O,X,O
TLJIOSZ,O,O,X,O,X,X,O,X,O
TLJIOZS,O,O,X,O,X,X,O,X,O
TLJSIZO,O,X,X,X,O,O,X,X,O
TLJSIOZ,O,O,X,O,X,X,O,X,O
TLJSZIO,O,X,X,X,O,O,X,X,X
TLJSZOI,O,X,X,O,O,O,X,X,X
TLJSOIZ,O,O,X,O,X,X,X,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X
TLJZISO,O,X,X,X,O,X,X,X,O
TLJZIOS,O,O,X,X,X,X,O,X,O
TLJZSIO,O,X,X,X,O,X,X,X,X
TLJZSOI,O,X,X,O,O,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X
TLJZOSI,O,O,X,O,O,X,X,X,X
TLJOISZ,O,O,X,O,X,X,O,X,O
TLJOIZS,O,O,X,O,X,X,O,X,O
TLJOSIZ,O,O,X,O,X,X,X,X,X
TLJOSZI,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X,X
TLSIJZO,O,X,X,X,O,O,X,X,O
TLSIJOZ,O,O,X,O,X,X,O,X,O
TLSIZJO,O,X,X,X,O,O,X,X,O
TLSIZOJ,O,X,X,X,O,O,X,X,O
TLSIOJZ,O,X,X,O,X,X,O,X,O
TLSIOZJ,O,X,X,O,X,X,O,X,O
TLSJIZO,O,X,X,X,O,O,X,X,O
TLSJIOZ,O,O,X,O,X,X,O,X,O
TLSJZIO,O,X,X,X,O,O,X,X,X
TLSJZOI,O,X,X,O,O,O,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X
TLSZIJO,O,X,X,X,O,O,X,X,X
TLSZIOJ,O,X,X,X,O,O,X,X,X
TLSZJIO,O,X,X,X,O,O,X,X,X
TLSZJOI,O,X,X,O,O,O,X,X,X
TLSZOIJ,O,X,X,O,O,O,X,X,X
TLSZOJI,O,X,X,O,O,O,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X
TLSOZIJ,O,O,X,O,X,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X,X
TLZIJSO,O,X,X,X,O,X,X,X,O
TLZIJOS,O,O,X,X,X,X,O,X,O
TLZISJO,O,X,X,X,X,X,X,X,O
TLZISOJ,O,X,X,X,X,X,X,X,O
TLZIOJS,O,O,X,X,X,X,O,X,O
TLZIOSJ,O,O,X,X,X,X,O,X,O
TLZJISO,O,X,X,X,O,X,X,X,O
TLZJIOS,O,O,X,X,X,X,O,X,O
TLZJSIO,O,X,X,X,O,X,X,X,X
TLZJSOI,O,X,X,O,O,X,X,X,X
TLZJOIS,O,O,X,O,X,X,X,X,X
TLZJOSI,O,O,X,O,O,X,X,X,X
TLZSIJO,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,O,X,X,X,X
TLZSJOI,O,X,X,O,O,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,X
TLZSOJI,O,X,X,O,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X
TLZOJSI,O,O,X,O,O,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X,X
TLOIJSZ,O,O,X,O,X,X,O,X,O
TLOIJZS,O,O,X,O,X,X,O,X,O
TLOISJZ,O,O,X,O,X,X,O,X,O
TLOISZJ,O,X,X,O,X,X,O,X,O
TLOIZJS,O,O,X,O,X,X,O,X,O
TLOIZSJ,O,O,X,X,X,X,O,X,O
TLOJISZ,O,O,X,O,X,X,O,X,O
TLOJIZS,O,O,X,O,X,X,O,X,O
TLOJSIZ,O,O,X,O,X,X,X,X,X
TLOJSZI,O,O,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X
TLOJZSI,O,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X,X
TLOSZIJ,O,O,X,O,X,X,X,X,X
TLOSZJI,O,O,X,O,X,X,X,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X
TLOZJIS,O,O,X,O,X,X,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X,X
TLOZSJI,O,O,X,O,X,X,X,X,X
TJILSZO,O,X,O,X,O,O,X,X,O
TJILSOZ,O,O,O,O,X,X,O,X,O
TJILZSO,O,X,O,X,X,X,X,X,O
TJILZOS,O,O,O,X,X,X,O,X,O
TJILOSZ,O,O,O,O,X,X,O,X,O
TJILOZS,O,O,O,O,X,X,O,X,O
TJISLZO,O,X,X,X,O,O,X,X,X
TJISLOZ,O,X,X,O,X,X,O,X,X
TJISZLO,O,X,X,X,O,O,X,X,X
TJISZOL,O,X,X,X,O,O,X,X,X
TJISOLZ,X,X,X,X,X,X,O,X,X
TJISOZL,O,X,X,X,O,O,X,X,X
TJIZLSO,O,X,O,X,O,X,X,X,X
TJIZLOS,O,O,O,X,X,X,O,X,X
TJIZSLO,O,X,O,X,O,O,X,X,X
TJIZSOL,O,X,X,X,O,O,X,X,X
TJIZOLS,O,O,O,X,X,X,O,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,O,X,X,X,O,X,X
TJIOLZS,O,O,O,X,X,X,O,X,X
TJIOSLZ,X,X,O,X,X,X,O,X,X
TJIOSZL,O,X,O,X,O,O,X,X,X
TJIOZLS,O,X,O,X,X,X,O,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,O,X,X,O
TJLISOZ,O,O,X,O,X,X,O,X,O
TJLIZSO,O,X,X,X,X,X,X,X,O
TJLIZOS,O,O,X,X,X,X,O,X,O
TJLIOSZ,O,O,X,O,X,X,O,X,O
TJLIOZS,O,O,X,O,X,X,O,X,O
TJLSIZO,O,X,X,X,O,O,X,X,O
TJLSIOZ,O,O,X,O,X,X,O,X,O
TJLSZIO,O,X,X,X,O,O,X,X,X
TJLSZOI,O,X,X,O,O,O,X,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X
TJLZISO,O,X,X,X,O,X,X,X,O
TJLZIOS,O,O,X,X,X,X,O,X,O
TJLZSIO,O,X,X,X,O,X,X,X,X
TJLZSOI,O,X,X,O,O,X,X,X,X
TJLZOIS,O,O,X,O,X,X,X,X,X
TJLZOSI,O,O,X,O,O,X,X,X,X
TJLOISZ,O,O,X,O,X,X,O,X,O
TJLOIZS,O,O,X,O,X,X,O,X,O
TJLOSIZ,O,O,X,O,X,X,X,X,X
TJLOSZI,O,O,X,O,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X
TJLOZSI,O,O,X,O,X,X,X,X,X
TJSILZO,O,X,X,X,O,O,X,X,X
TJSILOZ,O,X,X,O,X,X,O,X,X
TJSIZLO,O,X,X,X,O,O,X,X,X
TJSIZOL,O,X,X,X,O,O,X,X,X
TJSIOLZ,X,X,X,X,X,X,O,X,X
TJSIOZL,O,X,X,X,O,O,X,X,X
TJSLIZO,O,X,X,X,O,O,X,X,O
TJSLIOZ,O,X,X,O,X,X,O,X,O
TJSLZIO,O,X,X,X,O,O,X,X,X
TJSLZOI,O,X,X,O,O,O,X,X,X
TJSLOIZ,O,X,X,O,X,X,X,X,X
TJSLOZI,O,X,X,O,X,X,X,X,X
TJSZILO,O,X,X,X,O,O,X,X,X
TJSZIOL,O,X,X,X,O,O,X,X,X
TJSZLIO,O,X,X,X,O,O,X,X,X
TJSZLOI,O,X,X,O,O,O,X,X,X
TJSZOIL,O,X,X,X,O,O,X,X,X
TJSZOLI,O,X,X,X,O,O,X,X,X
TJSOILZ,X,X,X,O,X,X,X,O,X
TJSOIZL,O,X,X,X,O,O,X,O,X
TJSOLIZ,O,X,X,O,X,X,X,O,X
TJSOLZI,O,X,X,O,X,X,X,O,X
TJSOZIL,O,X,X,X,O,O,X,O,X
TJSOZLI,O,X,X,X,O,O,X,O,X
TJZILSO,O,X,O,X,O,X,X,X,X
TJZILOS,O,O,O,X,X,X,O,X,X
TJZISLO,O,X,O,X,O,O,X,X,X
TJZISOL,O,X,X,X,O,O,X,X,X
TJZIOLS,O,O,O,X,X,X,O,X,X
TJZIOSL,O,X,X,X,X,X,X,X,X
TJZLISO,O,X,O,X,O,X,X,X,O
TJZLIOS,O,O,O,X,X,X,O,X,O
TJZLSIO,O,X,X,X,O,X,X,X,X
TJZLSOI,O,X,X,O,O,X,X,X,X
TJZLOIS,O,O,X,O,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X
TJZSILO,O,X,O,X,O,O,X,X,X
TJZSIOL,O,X,X,X,O,O,X,X,X
TJZSLIO,O,X,X,X,O,O,X,X,X
TJZSLOI,O,X,X,O,O,O,X,X,X
TJZSOIL,O,X,X,X,O,O,X,X,X
TJZSOLI,O,X,X,X,O,O,X,X,X
TJZOILS,O,O,O,X,X,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,X,O,X,X,X,X
TJZOSIL,O,X,X,X,X,O,X,O,X
TJZOSLI,O,X,X,X,X,O,X,O,X
TJOILSZ,O,O,X,X,X,X,O,X,X
TJOILZS,O,O,X,X,X,X,O,X,X
TJOISLZ,X,X,X,X,X,X,O,X,X
TJOISZL,O,X,X,X,O,O,X,X,X
TJOIZLS,O,X,X,X,X,X,O,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X
TJOLISZ,O,O,X,O,X,X,O,X,O
TJOLIZS,O,O,X,O,X,X,O,X,O
TJOLSIZ,O,O,X,O,X,X,X,X,X
TJOLSZI,O,O,X,O,X,X,X,X,X
TJOLZIS,O,O,X,O,X,X,X,X,X
TJOLZSI,O,O,X,O,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,O,X
TJOSIZL,O,X,X,X,O,O,X,O,X
TJOSLIZ,O,X,X,O,X,X,X,O,X
TJOSLZI,O,X,X,O,X,X,X,O,X
TJOSZIL,O,X,X,X,O,O,X,O,X
TJOSZLI,O,X,X,X,O,O,X,O,X
TJOZILS,O,O,O,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,O,X
TJOZSLI,O,X,X,X,X,X,X,O,X
TSILJZO,O,X,X,X,O,O,X,X,X
TSILJOZ,O,X,X,O,X,X,O,X,X
TSILZJO,O,X,X,X,O,O,X,X,X
TSILZOJ,O,X,X,X,O,O,X,X,X
TSILOJZ,O,X,X,O,X,X,O,X,X
TSILOZJ,O,X,X,O,X,X,O,X,X
TSIJLZO,O,X,X,X,O,O,X,X,X
TSIJLOZ,O,X,X,O,X,X,O,X,X
TSIJZLO,O,X,X,X,O,O,X,X,X
TSIJZOL,O,X,X,X,O,O,X,X,X
TSIJOLZ,X,X,X,X,X,X,O,X,X
TSIJOZL,O,X,X,X,O,O,X,X,X
TSIZLJO,O,X,X,X,O,O,X,X,X
TSIZLOJ,O,X,X,X,O,O,X,X,X
TSIZJLO,O,X,X,X,O,O,X,X,X
TSIZJOL,O,X,X,X,O,O,X,X,X
TSIZOLJ,X,X,X,X,O,O,X,X,X
TSIZOJL,O,X,X,X,O,O,X,X,X
TSIOLJZ,X,X,X,X,X,X,O,X,X
TSIOLZJ,X,X,X,X,X,X,O,X,X
TSIOJLZ,X,X,X,X,X,X,O,X,X
TSIOJZL,O,X,X,X,O,O,X,X,X
TSIOZLJ,O,X,X,X,O,O,X,X,X
TSIOZJL,O,X,X,X,O,O,X,X,X
TSLIJZO,O,X,X,X,O,O,X,X,O
TSLIJOZ,O,X,X,O,X,X,O,X,O
TSLIZJO,O,X,X,X,O,O,X,X,O
TSLIZOJ,O,X,X,X,O,O,X,X,O
TSLIOJZ,O,X,X,O,X,X,O,X,O
TSLIOZJ,O,X,X,O,X,X,O,X,O
TSLJIZO,O,X,X,X,O,O,X,X,O
TSLJIOZ,O,X,X,O,X,X,O,X,O
TSLJZIO,O,X,X,X,O,O,X,X,X
TSLJZOI,O,X,X,O,O,O,X,X,X
TSLJOIZ,O,X,X,O,X,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,X,X
TSLZIJO,O,X,X,X,O,O,X,X,X
TSLZIOJ,O,X,X,X,O,O,X,X,X
TSLZJIO,O,X,X,X,O,O,X,X,X
TSLZJOI,O,X,X,O,O,O,X,X,X
TSLZOIJ,O,X,X,O,O,O,X,X,X
TSLZOJI,O,X,X,O,O,O,X,X,X
TSLOIJZ,O,X,X,O,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,X,X,X,X
TSLOJIZ,O,X,X,O,X,X,X,X,X
TSLOJZI,O,X,X,O,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,X,X,X,X
TSLOZJI,O,X,X,O,X,X,X,X,X
TSJILZO,O,X,X,X,O,O,X,X,X
TSJILOZ,O,X,X,O,X,X,O,X,X
TSJIZLO,O,X,X,X,O,O,X,X,X
TSJIZOL,O,X,X,X,O,O,X,X,X
TSJIOLZ,X,X,X,X,X,X,O,X,X
TSJIOZL,O,X,X,X,O,O,X,X,X
TSJLIZO,O,X,X,X,O,O,X,X,O
TSJLIOZ,O,X,X,O,X,X,O,X,O
TSJLZIO,O,X,X,X,O,O,X,X,X
TSJLZOI,O,X,X,O,O,O,X,X,X
TSJLOIZ,O,X,X,O,X,X,X,X,X
TSJLOZI,O,X,X,O,X,X,X,X,X
TSJZILO,O,X,X,X,O,O,X,X,X
TSJZIOL,O,X,X,X,O,O,X,X,X
TSJZLIO,O,X,X,X,O,O,X,X,X
TSJZLOI,O,X,X,O,O,O,X,X,X
TSJZOIL,O,X,X,X,O,O,X,X,X
TSJZOLI,O,X,X,X,O,O,X,X,X
TSJOILZ,X,X,X,O,X,X,X,O,X
TSJOIZL,O,X,X,X,O,O,X,O,X
TSJOLIZ,O,X,X,O,X,X,X,O,X
TSJOLZI,O,X,X,O,X,X,X,O,X
TSJOZIL,O,X,X,X,O,O,X,O,X
TSJOZLI,O,X,X,X,O,O,X,O,X
TSZILJO,O,X,X,X,O,O,X,X,X
TSZILOJ,O,X,X,X,O,O,X,X,X
TSZIJLO,O,X,X,X,O,O,X,X,X
TSZIJOL,O,X,X,X,O,O,X,X,X
TSZIOLJ,X,X,X,X,O,O,X,X,X
TSZIOJL,O,X,X,X,O,O,X,X,X
TSZLIJO,O,X,X,X,O,O,X,X,X
TSZLIOJ,O,X,X,X,O,O,X,X,X
TSZLJIO,O,X,X,X,O,O,X,X,X
TSZLJOI,O,X,X,O,O,O,X,X,X
TSZLOIJ,O,X,X,O,O,O,X,X,X
TSZLOJI,O,X,X,O,O,O,X,X,X
TSZJILO,O,X,X,X,O,O,X,X,X
TSZJIOL,O,X,X,X,O,O,X,X,X
TSZJLIO,O,X,X,X,O,O,X,X,X
TSZJLOI,O,X,X,O,O,O,X,X,X
TSZJOIL,O,X,X,X,O,O,X,X,X
TSZJOLI,O,X,X,X,O,O,X,X,X
TSZOILJ,O,X,X,X,O,O,X,X,X
TSZOIJL,O,X,X,X,O,O,X,X,X
TSZOLIJ,O,X,X,X,O,O,X,X,X
TSZOLJI,O,X,X,X,O,O,X,X,X
TSZOJIL,O,X,X,X,O,O,X,X,X
TSZOJLI,O,X,X,X,O,O,X,X,X
TSOILJZ,X,X,X,O,X,X,X,O,X
TSOILZJ,X,X,X,O,X,X,X,O,X
TSOIJLZ,X,X,X,O,X,X,X,O,X
TSOIJZL,O,X,X,X,O,O,X,O,X
TSOIZLJ,O,X,X,X,O,O,X,O,X
TSOIZJL,O,X,X,X,O,O,X,O,X
TSOLIJZ,O,X,X,O,X,X,X,O,X
TSOLIZJ,O,X,X,O,X,X,X,O,X
TSOLJIZ,O,X,X,O,X,X,X,O,X
TSOLJZI,O,X,X,O,X,X,X,O,X
TSOLZIJ,O,X,X,O,X,X,X,O,X
TSOLZJI,O,X,X,O,X,X,X,O,X
TSOJILZ,X,X,X,O,X,X,X,O,X
TSOJIZL,O,X,X,X,O,O,X,O,X
TSOJLIZ,O,X,X,O,X,X,X,O,X
TSOJLZI,O,X,X,O,X,X,X,O,X
TSOJZIL,O,X,X,X,O,O,X,O,X
TSOJZLI,O,X,X,X,O,O,X,O,X
TSOZILJ,O,X,X,X,O,O,X,O,X
TSOZIJL,O,X,X,X,O,O,X,O,X
TSOZLIJ,O,X,X,X,O,O,X,O,X
TSOZLJI,O,X,X,X,O,O,X,O,X
TSOZJIL,O,X,X,X,O,O,X,O,X
TSOZJLI,O,X,X,X,O,O,X,O,X
TZILJSO,O,X,O,X,O,X,X,X,X
TZILJOS,O,O,O,X,X,X,O,X,X
TZILSJO,O,X,O,X,X,X,X,X,X
TZILSOJ,O,X,O,X,X,X,X,X,X
TZILOJS,O,O,O,X,X,X,O,X,X
TZILOSJ,O,O,O,X,X,X,O,X,X
TZIJLSO,O,X,O,X,O,X,X,X,X
TZIJLOS,O,O,O,X,X,X,O,X,X
TZIJSLO,O,X,O,X,O,O,X,X,X
TZIJSOL,O,X,X,X,O,O,X,X,X
TZIJOLS,O,O,O,X,X,X,O,X,X
TZIJOSL,O,X,X,X,X,X,X,X,X
TZISLJO,O,X,O,X,O,O,X,X,X
TZISLOJ,O,X,O,X,O,O,X,X,X
TZISJLO,O,X,O,X,O,O,X,X,X
TZISJOL,O,X,X,X,O,O,X,X,X
TZISOLJ,X,X,X,X,O,O,X,X,X
TZISOJL,O,X,X,X,O,O,X,X,X
TZIOLJS,O,O,O,X,X,X,O,X,X
TZIOLSJ,O,O,O,X,X,X,O,X,X
TZIOJLS,O,O,O,X,X,X,O,X,X
