sequence,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFTgBGjBlmB3?nBimB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JezAJvhFRiBSoBVqBU?nBXrBupB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF2lBXiBTjBS?sBFmB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFlgBUiBTjB/?qBOrBSxB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeCAJvhFGjB8pBRmB3?nBlmBzqB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFUhBFiBTjBS?sBmqB/qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF8mB+nBTjBy?qB/qBFrB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeUBJvhFRiBSoBXlBV?sBzqBupB
TIJZOLS,X,X,X,X,X,X,O,X
TIJZOSL,O,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,X,O
TIJOLZS,X,X,X,X,X,O,O,O
TIJOSLZ,X,X,X,O,X,X,X,O
TIJOSZL,X,X,X,O,X,X,X,O
TIJOZLS,X,X,X,X,X,X,O,O
TIJOZSL,X,X,X,O,X,X,X,O
TISLJZO,O,X,X,O,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,X,X,X,O,X,X,X,O
TISLOZJ,X,O,X,X,X,X,X,O
TISJLZO,O,X,X,O,X,X,X,X
TISJLOZ,X,X,X,O,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X
TISJZOL,O,X,X,O,X,X,X,X
TISJOLZ,X,X,X,O,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,X,O,X,X,X,X
TISZJOL,O,O,X,O,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X
TISZOJL,O,O,X,O,X,X,X,X
TISOLJZ,X,X,X,O,X,X,X,O
TISOLZJ,X,O,X,X,X,X,X,O
TISOJLZ,X,X,X,O,X,X,X,O
TISOJZL,O,X,X,O,X,X,X,O
TISOZLJ,O,O,X,X,X,X,X,O
TISOZJL,O,O,X,O,X,X,X,O
TIZLJSO,X,O,O,X,X,X,O,X
TIZLJOS,X,X,O,X,X,X,O,X
TIZLSJO,O,O,O,X,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X,O
TIZLOSJ,O,O,O,X,X,X,X,O
TIZJLSO,X,O,O,X,X,X,O,X
TIZJLOS,X,X,O,X,X,X,O,X
TIZJSLO,O,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,O,X
TIZJOSL,O,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,O
TIZOLSJ,O,O,O,X,X,X,X,O
TIZOJLS,X,X,O,X,X,X,X,O
TIZOJSL,O,X,X,X,X,X,X,O
TIZOSLJ,O,O,X,X,X,X,X,O
TIZOSJL,O,O,X,X,X,X,X,O
TIOLJSZ,X,X,X,X,X,O,X,O
TIOLJZS,X,X,X,X,X,O,O,O
TIOLSJZ,X,X,X,X,X,O,X,O
TIOLSZJ,X,X,O,X,X,X,X,O
TIOLZJS,X,X,O,X,X,O,X,O
TIOLZSJ,X,X,O,X,X,X,X,O
TIOJLSZ,X,X,X,X,X,O,X,O
TIOJLZS,X,X,X,X,X,O,O,O
TIOJSLZ,X,X,X,O,X,X,X,O
TIOJSZL,X,X,X,O,X,X,X,O
TIOJZLS,X,X,X,X,X,X,O,O
TIOJZSL,X,X,X,O,X,X,X,O
TIOSLJZ,X,X,X,O,X,X,X,O
TIOSLZJ,X,X,X,X,X,X,X,O
TIOSJLZ,X,X,X,O,X,X,X,O
TIOSJZL,O,X,X,O,X,X,X,O
TIOSZLJ,O,X,X,X,X,X,X,O
TIOSZJL,O,X,X,O,X,X,X,O
TIOZLJS,X,X,O,X,X,X,X,O
TIOZLSJ,O,X,O,X,X,X,X,O
TIOZJLS,X,X,O,X,X,X,X,O
TIOZJSL,O,X,X,X,X,X,X,O
TIOZSLJ,O,X,X,X,X,X,X,O
TIOZSJL,O,X,X,X,X,X,X,O
TLIJSZO,X,X,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,X,O,X,X
TLIJZSO,X,O,X,X,X,O,O,X
TLIJZOS,X,X,X,X,X,O,O,X
TLIJOSZ,X,X,X,X,X,O,X,O
TLIJOZS,X,X,X,X,X,O,O,O
TLISJZO,O,X,X,X,X,O,X,X
TLISJOZ,X,X,X,X,X,O,X,X
TLISZJO,O,O,O,X,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X,X
TLISOJZ,X,X,X,X,X,O,X,O
TLISOZJ,X,O,O,X,X,X,X,O
TLIZJSO,X,O,O,X,X,O,O,X
TLIZJOS,X,X,O,X,X,O,O,X
TLIZSJO,O,O,O,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X
TLIZOJS,X,X,O,X,X,O,X,O
TLIZOSJ,O,O,O,X,X,X,X,O
TLIOJSZ,X,X,X,X,X,O,X,O
TLIOJZS,X,X,X,X,X,O,O,O
TLIOSJZ,X,X,X,X,X,O,X,O
TLIOSZJ,X,X,O,X,X,X,X,O
TLIOZJS,X,X,O,X,X,O,X,O
TLIOZSJ,X,O,O,X,X,X,X,O
TLJISZO,X,X,X,X,X,O,X,X
TLJISOZ,X,X,X,X,X,O,X,X
TLJIZSO,X,O,X,X,X,O,O,X
TLJIZOS,X,X,X,X,X,O,O,X
TLJIOSZ,X,X,X,X,X,O,X,O
TLJIOZS,X,X,X,X,X,O,O,O
TLJSIZO,X,X,X,X,X,O,X,X
TLJSIOZ,X,X,X,X,X,O,X,X
TLJSZIO,X,O,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,X
TLJSOZI,X,O,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,O,O,X
TLJZIOS,X,X,X,X,X,O,O,X
TLJZSIO,X,O,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,O,X
TLJZOSI,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,X,O
TLJOIZS,X,X,X,X,X,O,O,O
TLJOSIZ,X,X,X,X,X,O,X,O
TLJOSZI,X,X,X,X,X,X,X,O
TLJOZIS,X,X,X,X,X,O,O,O
TLJOZSI,X,X,X,X,X,X,X,O
TLSIJZO,O,X,X,X,X,O,X,X
TLSIJOZ,X,X,X,X,X,O,X,X
TLSIZJO,O,O,O,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,O,X,O
TLSIOZJ,X,O,O,X,X,X,X,O
TLSJIZO,O,X,X,X,X,O,X,X
TLSJIOZ,X,X,X,X,X,O,X,X
TLSJZIO,O,O,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,O,X,X
TLSJOZI,X,O,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,O,X,O
TLSOIZJ,X,O,O,X,X,X,X,O
TLSOJIZ,X,X,X,X,X,O,X,O
TLSOJZI,X,O,X,X,X,X,X,O
TLSOZIJ,X,O,O,X,X,X,X,O
TLSOZJI,X,O,O,X,X,X,X,O
TLZIJSO,X,O,O,X,X,O,O,X
TLZIJOS,X,X,O,X,X,O,O,X
TLZISJO,O,O,O,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X
TLZIOJS,X,X,O,X,X,O,X,O
TLZIOSJ,O,O,O,X,X,X,X,O
TLZJISO,X,O,O,X,X,O,O,X
TLZJIOS,X,X,O,X,X,O,O,X
TLZJSIO,X,O,O,X,X,X,X,X
TLZJSOI,X,O,O,X,X,X,X,X
TLZJOIS,X,X,O,X,X,O,O,X
TLZJOSI,X,X,O,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,X,X,O,X,X,O,X,O
TLZOISJ,O,O,O,X,X,X,X,O
TLZOJIS,X,X,O,X,X,O,X,O
TLZOJSI,X,X,O,X,X,X,X,O
TLZOSIJ,O,O,O,X,X,X,X,O
TLZOSJI,O,O,O,X,X,X,X,O
TLOIJSZ,X,X,X,X,X,O,X,O
TLOIJZS,X,X,X,X,X,O,O,O
TLOISJZ,X,X,X,X,X,O,X,O
TLOISZJ,X,X,O,X,X,X,X,O
TLOIZJS,X,X,O,X,X,O,X,O
TLOIZSJ,X,O,O,X,X,X,X,O
TLOJISZ,X,X,X,X,X,O,X,O
TLOJIZS,X,X,X,X,X,O,O,O
TLOJSIZ,X,X,X,X,X,O,X,O
TLOJSZI,X,X,X,X,X,X,X,O
TLOJZIS,X,X,X,X,X,O,O,O
TLOJZSI,X,X,X,X,X,X,X,O
TLOSIJZ,X,X,X,X,X,O,X,O
TLOSIZJ,X,O,O,X,X,X,X,O
TLOSJIZ,X,X,X,X,X,O,X,O
TLOSJZI,X,O,X,X,X,X,X,O
TLOSZIJ,X,O,O,X,X,X,X,O
TLOSZJI,X,O,O,X,X,X,X,O
TLOZIJS,X,X,O,X,X,O,X,O
TLOZISJ,X,O,O,X,X,X,X,O
TLOZJIS,X,X,O,X,X,O,X,O
TLOZJSI,X,X,O,X,X,X,X,O
TLOZSIJ,X,O,O,X,X,X,X,O
TLOZSJI,X,O,O,X,X,X,X,O
TJILSZO,X,X,X,X,X,O,X,X
TJILSOZ,X,X,X,X,X,O,X,X
TJILZSO,X,X,X,X,X,O,O,X
TJILZOS,X,X,X,X,X,O,O,X
TJILOSZ,X,X,X,X,X,O,X,O
TJILOZS,X,X,X,X,X,O,O,O
TJISLZO,O,X,X,O,X,X,X,X
TJISLOZ,X,X,X,O,X,X,X,X
TJISZLO,O,X,X,O,X,X,X,X
TJISZOL,O,X,X,O,X,X,X,X
TJISOLZ,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,O,X,X,X,X
TJIZLSO,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,X,O,X
TJIZSLO,O,X,X,O,X,X,X,X
TJIZSOL,O,X,X,O,X,X,X,X
TJIZOLS,X,X,X,X,X,X,O,X
TJIZOSL,O,X,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,X,O
TJIOLZS,X,X,X,X,X,O,O,O
TJIOSLZ,X,X,X,O,X,X,X,O
TJIOSZL,X,X,X,O,X,X,X,O
TJIOZLS,X,X,X,X,X,X,O,O
TJIOZSL,X,X,X,O,X,X,X,O
TJLISZO,X,X,X,X,X,O,X,X
TJLISOZ,X,X,X,X,X,O,X,X
TJLIZSO,X,O,X,X,X,O,O,X
TJLIZOS,X,X,X,X,X,O,O,X
TJLIOSZ,X,X,X,X,X,O,X,O
TJLIOZS,X,X,X,X,X,O,O,O
TJLSIZO,X,X,X,X,X,O,X,X
TJLSIOZ,X,X,X,X,X,O,X,X
TJLSZIO,X,O,X,X,X,X,X,X
TJLSZOI,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,X,X
TJLSOZI,X,O,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,O,O,X
TJLZIOS,X,X,X,X,X,O,O,X
TJLZSIO,X,O,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O,O,X
TJLZOSI,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,O,X,O
TJLOIZS,X,X,X,X,X,O,O,O
TJLOSIZ,X,X,X,X,X,O,X,O
TJLOSZI,X,X,X,X,X,X,X,O
TJLOZIS,X,X,X,X,X,O,O,O
TJLOZSI,X,X,X,X,X,X,X,O
TJSILZO,O,X,X,O,X,X,X,X
TJSILOZ,X,X,X,O,X,X,X,X
TJSIZLO,O,X,X,O,O,X,X,X
TJSIZOL,O,X,X,O,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,X,X
TJSIOZL,O,X,X,O,X,X,X,X
TJSLIZO,O,X,X,O,X,X,X,X
TJSLIOZ,X,X,X,O,X,X,X,X
TJSLZIO,O,O,X,O,X,X,X,X
TJSLZOI,O,O,X,O,X,X,X,X
TJSLOIZ,X,X,X,O,X,X,X,X
TJSLOZI,X,O,X,O,X,X,X,X
TJSZILO,O,O,X,O,O,X,X,X
TJSZIOL,O,O,X,O,X,X,X,X
TJSZLIO,O,O,X,O,O,X,X,X
TJSZLOI,O,O,X,O,O,X,X,X
TJSZOIL,O,O,X,O,O,X,X,X
TJSZOLI,O,O,X,O,O,X,X,X
TJSOILZ,X,X,X,O,X,X,X,X
TJSOIZL,O,X,X,O,O,X,X,X
TJSOLIZ,X,X,X,O,X,X,X,X
TJSOLZI,X,O,X,O,X,X,X,X
TJSOZIL,O,O,X,O,O,X,X,X
TJSOZLI,O,O,X,O,O,X,X,X
TJZILSO,X,O,X,X,X,X,O,X
TJZILOS,X,X,X,X,X,X,O,X
TJZISLO,O,O,X,O,X,X,X,X
TJZISOL,O,O,X,O,X,X,X,X
TJZIOLS,X,X,X,X,X,X,O,X
TJZIOSL,O,X,X,O,X,X,X,X
TJZLISO,X,O,X,X,X,X,O,X
TJZLIOS,X,X,X,X,X,X,O,X
TJZLSIO,X,O,X,X,O,X,X,X
TJZLSOI,X,O,X,X,O,X,X,X
TJZLOIS,X,X,X,X,X,X,O,X
TJZLOSI,X,X,X,X,O,X,X,X
TJZSILO,O,O,X,O,O,X,X,X
TJZSIOL,O,O,X,O,X,X,X,X
TJZSLIO,O,O,X,O,O,X,X,X
TJZSLOI,O,O,X,O,O,X,X,X
TJZSOIL,O,O,X,O,O,X,X,X
TJZSOLI,O,O,X,O,O,X,X,X
TJZOILS,X,X,X,X,X,X,O,X
TJZOISL,O,X,X,O,X,X,X,X
TJZOLIS,X,X,X,X,X,X,O,X
TJZOLSI,X,X,X,X,O,X,X,X
TJZOSIL,O,X,X,O,O,X,X,X
TJZOSLI,O,X,X,O,O,X,X,X
TJOILSZ,X,X,X,X,X,O,X,O
TJOILZS,X,X,X,X,X,O,O,O
TJOISLZ,X,X,X,O,X,X,X,O
TJOISZL,X,X,X,O,X,X,X,O
TJOIZLS,X,X,X,X,X,X,O,O
TJOIZSL,X,X,X,O,X,X,X,O
TJOLISZ,X,X,X,X,X,O,X,O
TJOLIZS,X,X,X,X,X,O,O,O
TJOLSIZ,X,X,X,X,X,O,X,O
TJOLSZI,X,X,X,X,X,X,X,O
TJOLZIS,X,X,X,X,X,O,O,O
TJOLZSI,X,X,X,X,X,X,X,O
TJOSILZ,X,X,X,O,X,X,X,O
TJOSIZL,X,X,X,O,O,X,X,O
TJOSLIZ,X,X,X,O,X,X,X,O
TJOSLZI,X,X,X,O,X,X,X,O
TJOSZIL,X,X,X,O,O,X,X,O
TJOSZLI,X,X,X,O,O,X,X,O
TJOZILS,X,X,X,X,X,X,O,O
TJOZISL,X,X,X,O,X,X,X,O
TJOZLIS,X,X,X,X,X,X,O,O
TJOZLSI,X,X,X,X,O,X,X,O
TJOZSIL,X,X,X,O,O,X,X,O
TJOZSLI,X,X,X,O,O,X,X,O
TSILJZO,O,X,X,O,X,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,X,X,X,O,X,X,X,O
TSILOZJ,X,O,X,X,X,X,X,O
TSIJLZO,O,X,X,O,X,X,X,X
TSIJLOZ,X,X,X,O,X,X,X,X
TSIJZLO,O,X,X,O,O,X,X,X
TSIJZOL,O,X,X,O,X,X,X,X
TSIJOLZ,X,X,X,O,X,X,X,X
TSIJOZL,O,X,X,O,X,X,X,X
TSIZLJO,O,O,X,X,O,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,X,O,O,X,X,X
TSIZJOL,O,O,X,O,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X
TSIZOJL,O,O,X,O,X,X,X,X
TSIOLJZ,X,X,X,O,X,X,X,O
TSIOLZJ,X,O,X,X,X,X,X,O
TSIOJLZ,X,X,X,O,X,X,X,O
TSIOJZL,O,X,X,O,X,X,X,O
TSIOZLJ,O,O,X,X,X,X,X,O
TSIOZJL,O,O,X,O,X,X,X,O
TSLIJZO,O,X,X,O,X,X,X,X
TSLIJOZ,X,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,X,X,X,O,X,X,X,O
TSLIOZJ,X,O,X,X,X,X,X,O
TSLJIZO,O,X,X,O,X,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,X
TSLJZIO,O,O,X,O,X,X,X,X
TSLJZOI,O,O,X,O,X,X,X,X
TSLJOIZ,X,X,X,O,X,X,X,X
TSLJOZI,X,O,X,O,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X
TSLOIJZ,X,X,X,O,X,X,X,O
TSLOIZJ,X,O,X,X,X,X,X,O
TSLOJIZ,X,X,X,O,X,X,X,O
TSLOJZI,X,O,X,O,X,X,X,O
TSLOZIJ,X,O,X,X,X,X,X,O
TSLOZJI,X,O,X,X,X,X,X,O
TSJILZO,O,X,X,O,X,X,X,X
TSJILOZ,X,X,X,O,X,X,X,X
TSJIZLO,O,X,X,O,O,X,X,X
TSJIZOL,O,X,X,O,X,X,X,X
TSJIOLZ,X,X,X,O,X,X,X,X
TSJIOZL,O,X,X,O,X,X,X,X
TSJLIZO,O,X,X,O,X,X,X,X
TSJLIOZ,X,X,X,O,X,X,X,X
TSJLZIO,O,O,X,O,X,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X
TSJLOIZ,X,X,X,O,X,X,X,X
TSJLOZI,X,O,X,O,X,X,X,X
TSJZILO,O,O,X,O,O,X,X,X
TSJZIOL,O,O,X,O,X,X,X,X
TSJZLIO,O,O,X,O,O,X,X,X
TSJZLOI,O,O,X,O,O,X,X,X
TSJZOIL,O,O,X,O,O,X,X,X
TSJZOLI,O,O,X,O,O,X,X,X
TSJOILZ,X,X,X,O,X,X,X,X
TSJOIZL,O,X,X,O,O,X,X,X
TSJOLIZ,X,X,X,O,X,X,X,X
TSJOLZI,X,O,X,O,X,X,X,X
TSJOZIL,O,O,X,O,O,X,X,X
TSJOZLI,O,O,X,O,O,X,X,X
TSZILJO,O,O,X,X,O,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,X,O,O,X,X,X
TSZIJOL,O,O,X,O,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,O,X,X,X,X
TSZLIJO,O,O,X,X,O,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,X,X,O,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X
TSZLOIJ,O,O,X,X,O,X,X,X
TSZLOJI,O,O,X,X,O,X,X,X
TSZJILO,O,O,X,O,O,X,X,X
TSZJIOL,O,O,X,O,X,X,X,X
TSZJLIO,O,O,X,O,O,X,X,X
TSZJLOI,O,O,X,O,O,X,X,X
TSZJOIL,O,O,X,O,O,X,X,X
TSZJOLI,O,O,X,O,O,X,X,X
TSZOILJ,O,O,X,X,O,X,X,X
TSZOIJL,O,O,X,O,O,X,X,X
TSZOLIJ,O,O,X,X,O,X,X,X
TSZOLJI,O,O,X,X,O,X,X,X
TSZOJIL,O,O,X,O,O,X,X,X
TSZOJLI,O,O,X,O,O,X,X,X
TSOILJZ,X,X,X,O,X,X,X,O
TSOILZJ,X,O,X,X,X,X,X,O
TSOIJLZ,X,X,X,O,X,X,X,O
TSOIJZL,O,X,X,O,O,X,X,O
TSOIZLJ,O,O,X,X,O,X,X,O
TSOIZJL,O,O,X,O,O,X,X,O
TSOLIJZ,X,X,X,O,X,X,X,O
TSOLIZJ,X,O,X,X,X,X,X,O
TSOLJIZ,X,X,X,O,X,X,X,O
TSOLJZI,X,O,X,O,X,X,X,O
TSOLZIJ,X,O,X,X,X,X,X,O
TSOLZJI,X,O,X,X,X,X,X,O
TSOJILZ,X,X,X,O,X,X,X,O
TSOJIZL,O,X,X,O,O,X,X,O
TSOJLIZ,X,X,X,O,X,X,X,O
TSOJLZI,X,O,X,O,X,X,X,O
TSOJZIL,O,O,X,O,O,X,X,O
TSOJZLI,O,O,X,O,O,X,X,O
TSOZILJ,O,O,X,X,O,X,X,O
TSOZIJL,O,O,X,O,O,X,X,O
TSOZLIJ,O,O,X,X,O,X,X,O
TSOZLJI,O,O,X,X,O,X,X,O
TSOZJIL,O,O,X,O,O,X,X,O
TSOZJLI,O,O,X,O,O,X,X,O
TZILJSO,X,O,O,X,X,X,O,X
TZILJOS,X,X,O,X,X,X,O,X
TZILSJO,O,O,O,X,X,X,X,X
TZILSOJ,O,O,O,X,X,X,X,X
TZILOJS,X,X,O,X,X,X,X,O
TZILOSJ,O,O,O,X,X,X,X,O
TZIJLSO,X,O,O,X,X,X,O,X
TZIJLOS,X,X,O,X,X,X,O,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,X,O,X,X,X,O,X
TZIJOSL,O,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X
TZIOLJS,X,X,O,X,X,X,X,O
TZIOLSJ,O,O,O,X,X,X,X,O
TZIOJLS,X,X,O,X,X,X,X,O
TZIOJSL,O,X,X,X,X,X,X,O
TZIOSLJ,O,O,X,X,X,X,X,O
TZIOSJL,O,O,X,X,X,X,X,O
TZLIJSO,X,O,O,X,X,X,O,X
TZLIJOS,X,X,O,X,X,X,O,X
TZLISJO,O,O,O,X,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X
TZLIOJS,X,X,O,X,X,X,X,O
TZLIOSJ,O,O,O,X,X,X,X,O
TZLJISO,X,O,O,X,X,X,O,X
TZLJIOS,X,X,O,X,X,X,O,X
TZLJSIO,X,O,O,X,O,X,X,X
TZLJSOI,X,O,O,X,O,X,X,X
TZLJOIS,X,X,O,X,X,X,O,X
TZLJOSI,X,X,O,X,O,X,X,X
TZLSIJO,O,O,O,X,O,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,O,X,X,X
TZLSJOI,O,O,O,X,O,X,X,X
TZLSOIJ,O,O,O,X,O,X,X,X
TZLSOJI,O,O,O,X,O,X,X,X
TZLOIJS,X,X,O,X,X,X,X,O
TZLOISJ,O,O,O,X,O,X,X,O
TZLOJIS,X,X,O,X,X,X,X,O
TZLOJSI,X,X,O,X,O,X,X,O
TZLOSIJ,O,O,O,X,O,X,X,O
TZLOSJI,O,O,O,X,O,X,X,O
TZJILSO,X,O,O,X,X,X,O,X
TZJILOS,X,X,O,X,X,X,O,X
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,X,X,O,X,X,X,O,X
TZJIOSL,O,X,X,X,X,X,X,X
TZJLISO,X,O,O,X,X,X,O,X
TZJLIOS,X,X,O,X,X,X,O,X
TZJLSIO,X,O,O,X,O,X,X,X
TZJLSOI,X,O,O,X,O,X,X,X
TZJLOIS,X,X,O,X,X,X,O,X
TZJLOSI,X,X,O,X,O,X,X,X
TZJSILO,O,O,X,X,O,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,O,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X
TZJSOIL,O,O,X,X,O,X,X,X
