sequence,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeCAJvhF0hB5oBllB3?nBmnBzpB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeuEJvhF1lB0hB5oBz?nBinBXqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KelBJvhFcnBTjBRlBC?lBXqBGtB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFlhBziB5oB2?sBCqBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBcnBTjBC?qBGtBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0BJvhF5oBupB3lBz?nBinBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFxhBTjBFnBC?qBGtBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBupBcqBT?nB6tBFtB
TIJZOLS,X,O,O,O,X,X,O,X
TIJZOSL,X,O,O,X,X,O,X,X
TIJOLSZ,X,X,X,O,X,X,O,X
TIJOLZS,X,O,X,O,X,X,O,X
TIJOSLZ,X,O,X,O,X,X,O,X
TIJOSZL,X,O,X,X,X,O,X,X
TIJOZLS,X,O,O,O,X,X,O,X
TIJOZSL,X,O,O,X,X,O,X,X
TISLJZO,O,O,X,O,X,X,O,X
TISLJOZ,X,O,X,O,X,X,O,X
TISLZJO,O,O,O,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,O,X
TISJLOZ,X,O,X,O,X,X,O,X
TISJZLO,O,O,O,X,X,X,X,X
TISJZOL,X,O,O,X,X,O,X,X
TISJOLZ,X,O,X,O,X,X,O,X
TISJOZL,X,O,X,X,X,O,X,X
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,X,O,O,X,X,O,X,X
TISZOLJ,O,O,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,O,X,X
TISOLJZ,O,O,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,O,X,X
TISOZLJ,O,O,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,O,X,X
TIZLJSO,O,X,X,O,X,X,O,X
TIZLJOS,X,O,O,O,X,X,O,X
TIZLSJO,O,O,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X
TIZJLSO,O,X,X,O,X,X,O,X
TIZJLOS,X,O,O,O,X,X,O,X
TIZJSLO,O,O,O,X,X,X,X,X
TIZJSOL,X,O,O,X,X,O,X,X
TIZJOLS,X,O,O,O,X,X,O,X
TIZJOSL,X,O,O,X,X,O,X,X
TIZSLJO,O,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X
TIZSJOL,X,O,O,X,X,O,X,X
TIZSOLJ,O,O,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,O,X,X
TIZOLJS,O,O,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X,X
TIZOJSL,O,O,O,X,X,O,X,X
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,O,X,X
TIOLJSZ,O,X,X,O,X,X,O,X
TIOLJZS,O,O,X,O,X,X,O,X
TIOLSJZ,O,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,O,X
TIOJLZS,O,O,X,O,X,X,O,X
TIOJSLZ,O,O,X,O,X,X,O,X
TIOJSZL,O,O,X,X,X,O,X,X
TIOJZLS,O,O,X,O,X,X,O,X
TIOJZSL,O,O,X,X,X,O,X,X
TIOSLJZ,O,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,O,X,X
TIOSZLJ,O,O,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,O,X,X
TIOZLJS,O,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X,X
TIOZJSL,O,O,O,X,X,O,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,O,X,X
TLIJSZO,O,X,X,O,X,X,O,X
TLIJSOZ,X,X,X,O,X,X,O,X
TLIJZSO,O,X,X,O,X,X,O,X
TLIJZOS,X,O,X,O,X,X,O,X
TLIJOSZ,X,X,X,O,X,X,O,X
TLIJOZS,X,O,X,O,X,X,O,X
TLISJZO,O,O,X,O,X,X,O,X
TLISJOZ,X,O,X,O,X,X,O,X
TLISZJO,O,O,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X
TLIZJSO,O,X,X,O,X,X,O,X
TLIZJOS,X,O,O,O,X,X,O,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X,O,X
TLIOJZS,X,O,X,O,X,X,O,X
TLIOSJZ,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,O,X
TLJISOZ,X,X,X,O,X,X,O,X
TLJIZSO,O,X,X,O,X,X,O,X
TLJIZOS,X,O,X,O,X,X,O,X
TLJIOSZ,X,X,X,O,X,X,O,X
TLJIOZS,X,O,X,O,X,X,O,X
TLJSIZO,O,X,X,O,X,X,O,X
TLJSIOZ,X,X,X,O,X,X,O,X
TLJSZIO,O,X,X,X,X,X,O,X
TLJSZOI,X,X,X,X,X,X,O,X
TLJSOIZ,X,X,X,O,X,X,O,X
TLJSOZI,X,X,X,X,X,X,O,X
TLJZISO,O,X,X,O,O,X,O,X
TLJZIOS,X,O,X,O,O,X,O,X
TLJZSIO,O,X,X,X,O,X,O,X
TLJZSOI,X,X,X,X,O,X,O,X
TLJZOIS,X,O,X,O,O,X,O,X
TLJZOSI,X,X,X,X,O,X,O,X
TLJOISZ,X,X,X,O,X,X,O,X
TLJOIZS,X,O,X,O,X,X,O,X
TLJOSIZ,X,X,X,O,X,X,O,X
TLJOSZI,X,X,X,X,X,X,O,X
TLJOZIS,X,O,X,O,O,X,O,X
TLJOZSI,X,X,X,X,O,X,O,X
TLSIJZO,O,O,X,O,X,X,O,X
TLSIJOZ,X,O,X,O,X,X,O,X
TLSIZJO,O,O,O,X,O,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,O,X
TLSJIOZ,X,O,X,O,X,X,O,X
TLSJZIO,O,O,X,X,X,X,O,X
TLSJZOI,X,O,X,X,X,X,O,X
TLSJOIZ,X,O,X,O,X,X,O,X
TLSJOZI,X,O,X,X,X,X,O,X
TLSZIJO,O,O,O,X,O,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,O,X,X,X
TLSZJOI,X,O,O,X,O,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X
TLSZOJI,X,O,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,X,X
TLSOJZI,X,O,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X
TLSOZJI,X,O,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,O,X
TLZIJOS,X,O,O,O,X,X,O,X
TLZISJO,O,O,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X
TLZJISO,O,X,X,O,O,X,O,X
TLZJIOS,X,O,O,O,O,X,O,O
TLZJSIO,O,X,O,X,O,X,O,X
TLZJSOI,X,X,O,X,O,X,O,X
TLZJOIS,X,O,O,O,O,X,O,O
TLZJOSI,X,X,O,X,O,X,O,O
TLZSIJO,O,O,O,X,O,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X
TLZSJIO,O,O,O,X,O,X,X,X
TLZSJOI,X,O,O,X,O,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,O
TLZOJSI,X,X,X,X,X,X,X,O
TLZOSIJ,O,O,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,X,X,O
TLOIJSZ,X,X,X,O,X,X,O,X
TLOIJZS,X,O,X,O,X,X,O,X
TLOISJZ,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X
TLOIZJS,X,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,O,X
TLOJIZS,X,O,X,O,X,X,O,X
TLOJSIZ,X,X,X,O,X,X,O,X
TLOJSZI,X,X,X,X,X,X,O,X
TLOJZIS,X,O,X,O,X,X,O,X
TLOJZSI,X,X,X,X,X,X,O,X
TLOSIJZ,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X
TLOSZJI,X,O,X,X,X,X,X,O
TLOZIJS,X,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X
TLOZJIS,X,O,X,X,X,X,X,O
TLOZJSI,X,X,X,X,X,X,X,O
TLOZSIJ,O,O,X,X,X,X,X,X
TLOZSJI,X,O,X,X,X,X,X,O
TJILSZO,O,X,X,O,X,X,O,X
TJILSOZ,X,X,X,O,X,X,O,X
TJILZSO,O,X,X,O,X,X,O,X
TJILZOS,X,O,X,O,X,X,O,X
TJILOSZ,X,X,X,O,X,X,O,X
TJILOZS,X,O,X,O,X,X,O,X
TJISLZO,O,O,X,O,X,X,O,X
TJISLOZ,X,O,X,O,X,X,O,X
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,O,X,X
TJISOLZ,X,O,X,O,X,X,O,X
TJISOZL,X,O,X,X,X,O,X,X
TJIZLSO,O,X,X,O,X,X,O,X
TJIZLOS,X,O,O,O,X,X,O,X
TJIZSLO,O,O,X,X,X,X,X,X
TJIZSOL,X,O,O,X,X,O,X,X
TJIZOLS,X,O,O,O,X,X,O,X
TJIZOSL,X,O,O,X,X,O,X,X
TJIOLSZ,X,X,X,O,X,X,O,X
TJIOLZS,X,O,X,O,X,X,O,X
TJIOSLZ,X,O,X,O,X,X,O,X
TJIOSZL,X,O,X,X,X,O,X,X
TJIOZLS,X,O,O,O,X,X,O,X
TJIOZSL,X,O,O,X,X,O,X,X
TJLISZO,O,X,X,O,X,X,O,X
TJLISOZ,X,X,X,O,X,X,O,X
TJLIZSO,O,X,X,O,X,X,O,X
TJLIZOS,X,O,X,O,X,X,O,X
TJLIOSZ,X,X,X,O,X,X,O,X
TJLIOZS,X,O,X,O,X,X,O,X
TJLSIZO,O,X,X,O,X,X,O,X
TJLSIOZ,X,X,X,O,X,X,O,X
TJLSZIO,O,X,X,X,X,X,O,X
TJLSZOI,X,X,X,X,X,X,O,X
TJLSOIZ,X,X,X,O,X,X,O,X
TJLSOZI,X,X,X,X,X,X,O,X
TJLZISO,O,X,X,O,O,X,O,X
TJLZIOS,X,O,X,O,O,X,O,X
TJLZSIO,O,X,X,X,O,X,O,X
TJLZSOI,X,X,X,X,O,X,O,X
TJLZOIS,X,O,X,O,O,X,O,X
TJLZOSI,X,X,X,X,O,X,O,X
TJLOISZ,X,X,X,O,X,X,O,X
TJLOIZS,X,O,X,O,X,X,O,X
TJLOSIZ,X,X,X,O,X,X,O,X
TJLOSZI,X,X,X,X,X,X,O,X
TJLOZIS,X,O,X,O,O,X,O,X
TJLOZSI,X,X,X,X,O,X,O,X
TJSILZO,O,O,X,O,X,X,O,X
TJSILOZ,X,O,X,O,X,X,O,X
TJSIZLO,O,O,O,X,X,X,X,X
TJSIZOL,X,O,O,X,X,O,X,X
TJSIOLZ,X,O,X,O,X,X,O,X
TJSIOZL,X,O,O,X,X,O,X,X
TJSLIZO,O,O,X,O,X,X,O,X
TJSLIOZ,X,O,X,O,X,X,O,X
TJSLZIO,O,O,X,X,X,X,O,X
TJSLZOI,X,O,X,X,X,X,O,X
TJSLOIZ,X,O,X,O,X,X,O,X
TJSLOZI,X,O,X,X,X,X,O,X
TJSZILO,O,O,O,X,X,X,X,X
TJSZIOL,X,O,O,X,X,O,X,X
TJSZLIO,O,O,O,X,X,X,X,X
TJSZLOI,X,O,O,X,X,X,X,X
TJSZOIL,X,O,O,X,X,O,X,X
TJSZOLI,X,O,O,X,X,X,X,X
TJSOILZ,X,O,X,O,X,X,O,X
TJSOIZL,X,O,O,X,X,O,X,X
TJSOLIZ,X,O,X,O,X,X,O,X
TJSOLZI,X,O,X,X,X,X,O,X
TJSOZIL,X,O,O,X,X,O,X,X
TJSOZLI,X,O,O,X,X,X,X,X
TJZILSO,O,X,X,O,X,X,O,X
TJZILOS,X,O,O,O,X,X,O,X
TJZISLO,O,O,O,X,X,X,X,X
TJZISOL,X,O,O,X,X,O,X,X
TJZIOLS,X,O,O,O,X,X,O,X
TJZIOSL,X,O,O,X,X,O,X,X
TJZLISO,O,X,X,O,O,X,O,X
TJZLIOS,X,O,O,O,O,X,O,X
TJZLSIO,O,X,O,X,O,X,O,X
TJZLSOI,X,X,O,X,O,X,O,X
TJZLOIS,X,O,O,O,O,X,O,X
TJZLOSI,X,X,O,X,O,X,O,X
TJZSILO,O,O,O,X,X,X,X,X
TJZSIOL,X,O,O,X,O,O,X,X
TJZSLIO,O,O,O,X,O,X,X,X
TJZSLOI,X,O,O,X,O,X,X,X
TJZSOIL,X,O,O,X,O,O,X,X
TJZSOLI,X,O,O,X,O,X,X,X
TJZOILS,X,O,O,O,X,X,O,X
TJZOISL,X,O,O,X,X,O,X,X
TJZOLIS,X,O,O,O,O,X,O,X
TJZOLSI,X,X,O,X,O,X,O,X
TJZOSIL,X,O,O,X,O,O,X,X
TJZOSLI,X,O,O,X,O,X,X,X
TJOILSZ,X,X,X,O,X,X,O,X
TJOILZS,X,O,X,O,X,X,O,X
TJOISLZ,X,O,X,O,X,X,O,X
TJOISZL,X,O,X,X,X,O,X,X
TJOIZLS,X,O,O,O,X,X,O,X
TJOIZSL,X,O,O,X,X,O,X,X
TJOLISZ,X,X,X,O,X,X,O,X
TJOLIZS,X,O,X,O,X,X,O,X
TJOLSIZ,X,X,X,O,X,X,O,X
TJOLSZI,X,X,X,X,X,X,O,X
TJOLZIS,X,O,X,O,O,X,O,X
TJOLZSI,X,X,X,X,O,X,O,X
TJOSILZ,X,O,X,O,X,X,O,X
TJOSIZL,X,O,O,X,X,O,X,X
TJOSLIZ,X,O,X,O,X,X,O,X
TJOSLZI,X,O,X,X,X,X,O,X
TJOSZIL,X,O,O,X,X,O,X,X
TJOSZLI,X,O,O,X,X,X,X,X
TJOZILS,X,O,O,O,X,X,O,X
TJOZISL,X,O,O,X,X,O,X,X
TJOZLIS,X,O,O,O,O,X,O,X
TJOZLSI,X,X,O,X,O,X,O,X
TJOZSIL,X,O,O,X,O,O,X,X
TJOZSLI,X,O,O,X,O,X,X,X
TSILJZO,O,O,X,O,X,X,O,X
TSILJOZ,X,O,X,O,X,X,O,X
TSILZJO,O,O,O,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X
TSIJLZO,O,O,X,O,X,X,O,X
TSIJLOZ,X,O,X,O,X,X,O,X
TSIJZLO,O,O,O,X,X,X,X,X
TSIJZOL,X,O,O,X,X,O,X,X
TSIJOLZ,X,O,X,O,X,X,O,X
TSIJOZL,X,O,O,X,X,O,X,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,X,O,O,X,O,O,X,X
TSIZOLJ,O,O,X,X,X,X,X,X
TSIZOJL,O,O,O,X,X,O,X,X
TSIOLJZ,O,O,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,O,X,X
TSIOZLJ,O,O,X,X,X,X,X,X
TSIOZJL,O,O,O,X,X,O,X,X
TSLIJZO,O,O,X,O,X,X,O,X
TSLIJOZ,X,O,X,O,X,X,O,X
TSLIZJO,O,O,O,X,O,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X
TSLJIZO,O,O,X,O,X,X,O,X
TSLJIOZ,X,O,X,O,X,X,O,X
TSLJZIO,O,O,X,X,X,X,O,X
TSLJZOI,X,O,X,X,X,X,O,X
TSLJOIZ,X,O,X,O,X,X,O,X
TSLJOZI,X,O,X,X,X,X,O,X
TSLZIJO,O,O,O,X,O,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,O,X,O,X,X,X
TSLZJOI,X,O,O,X,O,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,X,O,X,X,X,X,X,X
TSLOIJZ,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,X,X,X
TSLOJZI,X,O,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,X,O,X,X,X,X,X,X
TSJILZO,O,O,X,O,X,X,O,X
TSJILOZ,X,O,X,O,X,X,O,X
TSJIZLO,O,O,O,X,X,X,X,X
TSJIZOL,X,O,O,X,X,O,X,X
TSJIOLZ,X,O,X,O,X,X,O,X
TSJIOZL,X,O,O,X,X,O,X,X
TSJLIZO,O,O,X,O,X,X,O,X
TSJLIOZ,X,O,X,O,X,X,O,X
TSJLZIO,O,O,X,X,X,X,O,X
TSJLZOI,X,O,X,X,X,X,O,X
TSJLOIZ,X,O,X,O,X,X,O,X
TSJLOZI,X,O,X,X,X,X,O,X
TSJZILO,O,O,O,X,X,X,X,X
TSJZIOL,X,O,O,X,X,O,X,X
TSJZLIO,O,O,O,X,X,X,X,X
TSJZLOI,X,O,O,X,X,X,X,X
TSJZOIL,X,O,O,X,X,O,X,X
TSJZOLI,X,O,O,X,X,X,X,X
TSJOILZ,X,O,X,O,X,X,O,X
TSJOIZL,X,O,O,X,X,O,X,X
TSJOLIZ,X,O,X,O,X,X,O,X
TSJOLZI,X,O,X,X,X,X,O,X
TSJOZIL,X,O,O,X,X,O,X,X
TSJOZLI,X,O,O,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,X,O,O,X,O,O,X,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,O,X,X,O,X,X
TSZLIJO,O,O,O,X,O,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,O,X,O,X,X,X
TSZLJOI,X,O,O,X,O,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X
TSZLOJI,X,O,X,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,X,O,O,X,O,O,X,O
TSZJLIO,O,O,O,X,O,X,X,X
TSZJLOI,X,O,O,X,O,X,X,X
TSZJOIL,X,O,O,X,O,O,X,O
TSZJOLI,X,O,O,X,O,X,X,O
TSZOILJ,O,O,X,X,X,X,X,X
TSZOIJL,O,O,O,X,X,O,X,X
TSZOLIJ,O,O,X,X,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X,O
TSZOJIL,O,O,O,X,X,O,X,O
TSZOJLI,O,O,O,X,X,X,X,O
TSOILJZ,O,O,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,O,X,X
TSOIZLJ,O,O,X,X,X,X,X,X
TSOIZJL,O,O,O,X,X,O,X,X
TSOLIJZ,O,O,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,O
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,O,X,X
TSOJLIZ,O,O,X,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X
TSOJZIL,O,O,X,X,X,O,X,X
TSOJZLI,O,O,X,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,X,X
TSOZIJL,O,O,O,X,X,O,X,X
TSOZLIJ,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,O
TSOZJIL,O,O,O,X,X,O,X,O
TSOZJLI,O,O,O,X,X,X,X,O
TZILJSO,O,X,X,O,X,X,O,X
TZILJOS,X,O,O,O,X,X,O,X
TZILSJO,O,O,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,X
TZILOJS,X,O,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X,X
TZIJLSO,O,X,X,O,X,X,O,X
TZIJLOS,X,O,O,O,X,X,O,X
TZIJSLO,O,O,O,X,X,X,X,X
TZIJSOL,X,O,O,X,X,O,X,X
TZIJOLS,X,O,O,O,X,X,O,X
TZIJOSL,X,O,O,X,X,O,X,X
TZISLJO,O,O,O,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,X
TZISJLO,O,O,O,X,X,X,X,X
TZISJOL,X,O,O,X,X,O,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,O,X,X,O,X,X
TZIOLJS,O,O,X,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,X
TZIOJLS,O,O,O,X,X,X,X,X
TZIOJSL,O,O,O,X,X,O,X,X
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,O,X,X
TZLIJSO,O,X,X,O,X,X,O,X
TZLIJOS,X,O,O,O,X,X,O,X
TZLISJO,O,O,X,X,X,X,X,X
TZLISOJ,O,O,X,X,X,X,X,X
TZLIOJS,X,O,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X,X,X
TZLJISO,O,X,X,O,O,X,O,X
TZLJIOS,X,O,O,O,O,X,O,O
TZLJSIO,O,X,O,X,O,X,O,X
TZLJSOI,X,X,O,X,O,X,O,X
TZLJOIS,X,O,O,O,O,X,O,O
TZLJOSI,X,X,O,X,O,X,O,O
TZLSIJO,O,O,O,X,O,X,X,X
TZLSIOJ,O,O,X,X,X,X,X,X
TZLSJIO,O,O,O,X,O,X,X,X
TZLSJOI,X,O,O,X,O,X,X,X
TZLSOIJ,O,O,X,X,X,X,X,X
TZLSOJI,X,O,X,X,X,X,X,X
TZLOIJS,X,O,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X
TZLOJIS,X,O,X,X,X,X,X,O
TZLOJSI,X,X,X,X,X,X,X,O
TZLOSIJ,O,O,X,X,X,X,X,X
TZLOSJI,X,O,X,X,X,X,X,O
TZJILSO,O,X,X,O,X,X,O,X
TZJILOS,X,O,O,O,X,X,O,O
TZJISLO,O,O,O,X,X,X,X,X
TZJISOL,X,O,O,X,X,O,X,O
TZJIOLS,X,O,O,O,X,X,O,O
TZJIOSL,X,O,O,X,X,O,X,O
TZJLISO,O,X,X,O,O,X,O,X
TZJLIOS,X,O,O,O,O,X,O,O
TZJLSIO,O,X,O,X,O,X,O,X
TZJLSOI,X,X,O,X,O,X,O,X
TZJLOIS,X,O,O,O,O,X,O,O
TZJLOSI,X,X,O,X,O,X,O,O
TZJSILO,O,O,O,X,X,X,X,X
TZJSIOL,X,O,O,X,O,O,X,O
TZJSLIO,O,O,O,X,O,X,X,X
TZJSLOI,X,O,O,X,O,X,X,X
TZJSOIL,X,O,O,X,O,O,X,O
