sequence,v115@PhA8FeB8AeA8AeC8AeE8Kei/IvhF3gBzhBunB5oB1p?B8qB,v115@PhA8FeB8AeA8AeC8AeE8KeKEJvhFflBlgBzhBunB5o?B8qB
TLOJSIZ,X,X
TLOJSZI,X,X
TLOJZIS,O,X
TLOJZSI,O,X
TLOSIJZ,X,X
TLOSIZJ,X,X
TLOSJIZ,X,X
TLOSJZI,X,X
TLOSZIJ,X,X
TLOSZJI,X,X
TLOZIJS,O,X
TLOZISJ,O,X
TLOZJIS,O,X
TLOZJSI,O,X
TLOZSIJ,O,X
TLOZSJI,O,X
TJILSZO,X,X
TJILSOZ,X,X
TJILZSO,O,X
TJILZOS,O,X
TJILOSZ,X,X
TJILOZS,O,X
TJISLZO,X,X
TJISLOZ,X,X
TJISZLO,X,X
TJISZOL,X,X
TJISOLZ,X,X
TJISOZL,X,X
TJIZLSO,O,X
TJIZLOS,O,X
TJIZSLO,O,X
TJIZSOL,O,X
TJIZOLS,O,X
TJIZOSL,O,X
TJIOLSZ,X,X
TJIOLZS,O,X
TJIOSLZ,X,X
TJIOSZL,X,X
TJIOZLS,O,X
TJIOZSL,O,X
TJLISZO,X,X
TJLISOZ,X,X
TJLIZSO,O,X
TJLIZOS,O,X
TJLIOSZ,X,X
TJLIOZS,O,X
TJLSIZO,X,X
TJLSIOZ,X,X
TJLSZIO,X,X
TJLSZOI,X,X
TJLSOIZ,X,X
TJLSOZI,X,X
TJLZISO,O,X
TJLZIOS,O,X
TJLZSIO,O,X
TJLZSOI,O,X
TJLZOIS,O,X
TJLZOSI,O,X
TJLOISZ,X,X
TJLOIZS,O,X
TJLOSIZ,X,X
TJLOSZI,X,X
TJLOZIS,O,X
TJLOZSI,O,X
TJSILZO,X,X
TJSILOZ,X,X
TJSIZLO,X,X
TJSIZOL,X,X
TJSIOLZ,X,X
TJSIOZL,X,X
TJSLIZO,X,X
TJSLIOZ,X,X
TJSLZIO,X,X
TJSLZOI,X,X
TJSLOIZ,X,X
TJSLOZI,X,X
TJSZILO,X,X
TJSZIOL,X,X
TJSZLIO,X,X
TJSZLOI,X,X
TJSZOIL,X,X
TJSZOLI,X,X
TJSOILZ,X,X
TJSOIZL,X,X
TJSOLIZ,X,X
TJSOLZI,X,X
TJSOZIL,X,X
TJSOZLI,X,X
TJZILSO,O,X
TJZILOS,O,X
TJZISLO,O,X
TJZISOL,O,X
TJZIOLS,O,X
TJZIOSL,O,X
TJZLISO,O,X
TJZLIOS,O,X
TJZLSIO,O,X
TJZLSOI,O,X
TJZLOIS,O,X
TJZLOSI,O,X
TJZSILO,O,X
TJZSIOL,O,X
TJZSLIO,O,X
TJZSLOI,O,X
TJZSOIL,O,X
