sequence,v115@GhA8IeA8CeA8EeB8BeG8JeOEJvhFXgBVmBUiBaoBzp?BxwB,v115@GhA8IeA8CeA8EeB8BeG8Jel/IvhFUhBRiB/pBOqByw?BzsB,v115@GhA8IeA8CeA8EeB8BeG8JeT/IvhFOlBXhBVnBaoB0p?BxwB,v115@GhA8IeA8CeA8EeB8BeG8Jei/IvhFRhBFlBTmBmnB3n?B0pB,v115@GhA8IeA8CeA8EeB8BeG8JexAJvhFmiBTkBilB3mB1s?B0pB,v115@GhA8IeA8CeA8EeB8BeG8JeUBJvhFRiB/pBFlByrBzn?BmpB
TOJZISL,O,O,X,O,X,X
TOJZLIS,O,O,X,O,X,X
TOJZLSI,O,O,X,O,O,X
TOJZSIL,O,O,X,O,X,X
TOJZSLI,O,O,X,O,O,X
TOSILJZ,O,O,X,O,O,O
TOSILZJ,O,O,X,X,O,O
TOSIJLZ,O,O,X,O,O,O
TOSIJZL,O,O,X,X,X,X
TOSIZLJ,O,O,X,X,X,O
TOSIZJL,O,X,X,X,X,X
TOSLIJZ,O,O,X,O,O,O
TOSLIZJ,O,O,X,X,O,O
TOSLJIZ,O,O,X,O,O,O
TOSLJZI,O,O,X,O,O,O
TOSLZIJ,O,O,X,X,O,O
TOSLZJI,O,O,X,X,O,O
TOSJILZ,O,O,X,O,O,O
TOSJIZL,O,O,X,X,X,X
TOSJLIZ,O,O,X,O,O,O
TOSJLZI,O,O,X,O,O,O
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,X,O,O
TOSZILJ,O,O,X,X,X,O
TOSZIJL,O,X,X,X,X,X
TOSZLIJ,O,O,X,X,O,O
TOSZLJI,O,O,X,X,O,O
TOSZJIL,O,X,X,X,X,X
TOSZJLI,O,X,X,X,O,O
TOZILJS,O,X,X,O,X,X
TOZILSJ,O,X,X,O,X,X
TOZIJLS,O,X,X,O,X,X
TOZIJSL,O,X,X,O,X,X
TOZISLJ,O,X,X,O,X,X
TOZISJL,O,X,X,O,X,X
TOZLIJS,O,X,X,O,X,X
TOZLISJ,O,X,X,O,X,X
TOZLJIS,O,X,X,O,X,X
TOZLJSI,O,X,X,O,O,X
TOZLSIJ,O,X,X,O,O,X
TOZLSJI,O,X,X,O,O,X
TOZJILS,O,X,X,O,X,X
TOZJISL,O,X,X,O,X,X
TOZJLIS,O,X,X,O,X,X
TOZJLSI,O,X,X,O,O,X
TOZJSIL,O,X,X,O,X,X
TOZJSLI,O,X,X,O,O,X
TOZSILJ,O,X,X,O,X,X
TOZSIJL,O,X,X,O,X,X
TOZSLIJ,O,X,X,O,O,X
TOZSLJI,O,X,X,O,O,X
TOZSJIL,O,X,X,O,X,X
TOZSJLI,O,X,X,O,O,X
ITLJSZO,O,X,O,X,O,X
ITLJSOZ,O,X,O,X,O,X
ITLJZSO,O,X,O,X,X,X
ITLJZOS,O,X,O,X,X,X
ITLJOSZ,O,X,X,O,O,X
ITLJOZS,O,X,X,O,X,X
ITLSJZO,O,X,O,X,O,X
ITLSJOZ,O,X,O,X,O,X
ITLSZJO,O,X,O,X,O,X
ITLSZOJ,O,X,O,X,O,X
ITLSOJZ,O,X,O,O,O,X
ITLSOZJ,O,X,O,X,O,X
ITLZJSO,O,X,O,X,X,X
ITLZJOS,O,X,O,X,X,X
ITLZSJO,O,X,O,X,X,X
ITLZSOJ,O,X,O,X,X,X
ITLZOJS,O,X,O,O,X,X
ITLZOSJ,O,X,O,X,X,X
ITLOJSZ,O,X,X,O,O,X
ITLOJZS,O,X,X,O,X,X
ITLOSJZ,O,X,O,O,O,X
ITLOSZJ,O,X,O,X,O,X
ITLOZJS,O,X,O,O,X,X
ITLOZSJ,O,X,O,X,X,X
ITJLSZO,O,X,O,X,O,X
ITJLSOZ,O,X,O,X,O,X
ITJLZSO,O,X,O,X,X,X
ITJLZOS,O,X,O,X,X,X
ITJLOSZ,O,X,X,O,O,X
ITJLOZS,O,X,X,O,X,X
ITJSLZO,O,X,O,X,O,X
ITJSLOZ,O,X,O,X,O,X
ITJSZLO,O,X,O,X,O,X
ITJSZOL,O,X,O,X,X,X
ITJSOLZ,O,X,O,X,O,X
ITJSOZL,O,X,O,X,X,X
ITJZLSO,O,X,O,X,X,X
ITJZLOS,O,X,O,X,X,X
ITJZSLO,O,X,O,X,X,X
ITJZSOL,O,X,O,X,X,X
ITJZOLS,O,X,O,X,X,X
ITJZOSL,O,X,O,X,X,X
ITJOLSZ,O,X,X,O,O,X
ITJOLZS,O,X,X,O,X,X
ITJOSLZ,O,X,X,O,O,X
ITJOSZL,O,X,X,X,X,X
ITJOZLS,O,X,X,O,X,X
ITJOZSL,O,X,X,X,X,X
ITSLJZO,O,X,O,X,O,X
ITSLJOZ,O,X,O,X,O,X
ITSLZJO,O,X,O,X,O,X
ITSLZOJ,O,X,O,X,O,X
ITSLOJZ,O,X,O,O,O,X
ITSLOZJ,O,X,O,X,O,X
ITSJLZO,O,X,O,X,O,X
ITSJLOZ,O,X,O,X,O,X
ITSJZLO,O,X,O,X,O,X
ITSJZOL,O,X,O,X,X,X
ITSJOLZ,O,X,O,X,O,X
ITSJOZL,O,X,O,X,X,X
ITSZLJO,O,X,O,X,O,X
ITSZLOJ,O,X,O,X,O,X
ITSZJLO,O,X,O,X,O,X
ITSZJOL,O,X,O,X,X,X
ITSZOLJ,O,X,O,X,X,X
ITSZOJL,O,X,O,X,X,X
ITSOLJZ,O,X,O,O,O,X
ITSOLZJ,O,X,O,X,O,X
ITSOJLZ,O,X,O,O,O,X
ITSOJZL,O,X,O,X,X,X
ITSOZLJ,O,X,O,X,X,X
ITSOZJL,O,X,O,X,X,X
ITZLJSO,O,X,O,X,X,X
ITZLJOS,O,X,O,X,X,X
ITZLSJO,O,X,O,X,X,X
ITZLSOJ,O,X,O,X,X,X
ITZLOJS,O,X,O,O,X,X
ITZLOSJ,O,X,O,X,X,X
ITZJLSO,O,X,O,X,X,X
ITZJLOS,O,X,O,X,X,X
ITZJSLO,O,X,O,X,X,X
ITZJSOL,O,X,O,X,X,X
ITZJOLS,O,X,O,X,X,X
ITZJOSL,O,X,O,X,X,X
ITZSLJO,O,X,O,X,X,X
ITZSLOJ,O,X,O,X,X,X
ITZSJLO,O,X,O,X,X,X
ITZSJOL,O,X,O,X,X,X
ITZSOLJ,O,X,O,X,X,X
ITZSOJL,O,X,O,X,X,X
ITZOLJS,O,X,O,O,X,X
ITZOLSJ,O,X,O,X,X,X
ITZOJLS,O,X,O,O,X,X
ITZOJSL,O,X,O,X,X,X
ITZOSLJ,O,X,O,X,X,X
ITZOSJL,O,X,O,X,X,X
ITOLJSZ,O,X,X,O,O,X
ITOLJZS,O,X,X,O,X,X
ITOLSJZ,O,X,O,O,O,X
ITOLSZJ,O,X,O,X,O,X
ITOLZJS,O,X,O,O,X,X
ITOLZSJ,O,X,O,X,X,X
ITOJLSZ,O,X,X,O,O,X
ITOJLZS,O,X,X,O,X,X
ITOJSLZ,O,X,X,O,O,X
ITOJSZL,O,X,X,X,X,X
ITOJZLS,O,X,X,O,X,X
ITOJZSL,O,X,X,X,X,X
ITOSLJZ,O,X,O,O,O,X
ITOSLZJ,O,X,O,X,O,X
ITOSJLZ,O,X,O,O,O,X
ITOSJZL,O,X,O,X,X,X
ITOSZLJ,O,X,O,X,X,X
ITOSZJL,O,X,O,X,X,X
ITOZLJS,O,X,O,O,X,X
ITOZLSJ,O,X,O,X,X,X
ITOZJLS,O,X,O,O,X,X
ITOZJSL,O,X,O,X,X,X
ITOZSLJ,O,X,O,X,X,X
ITOZSJL,O,X,O,X,X,X
ILTJSZO,O,O,O,X,O,X
ILTJSOZ,O,O,O,X,O,X
ILTJZSO,O,O,O,X,X,X
ILTJZOS,O,X,O,X,X,X
ILTJOSZ,O,X,X,X,O,X
ILTJOZS,O,X,X,X,X,X
ILTSJZO,O,O,O,X,O,X
ILTSJOZ,O,O,O,X,O,X
ILTSZJO,O,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,O,X,O,X,O,X
ILTSOZJ,O,O,O,X,O,X
ILTZJSO,O,O,O,X,X,X
ILTZJOS,O,X,O,X,X,X
ILTZSJO,O,O,O,X,X,X
ILTZSOJ,O,O,O,X,X,X
ILTZOJS,O,X,O,X,X,X
ILTZOSJ,O,X,O,X,X,X
ILTOJSZ,O,X,X,X,O,X
ILTOJZS,O,X,X,X,X,X
ILTOSJZ,O,X,O,X,O,X
ILTOSZJ,O,X,O,X,O,X
ILTOZJS,O,X,O,X,X,X
ILTOZSJ,O,X,O,X,X,X
ILJTSZO,O,O,O,X,X,X
ILJTSOZ,O,O,O,X,X,X
ILJTZSO,O,O,O,X,X,X
ILJTZOS,O,X,O,X,X,X
ILJTOSZ,O,X,X,X,X,X
ILJTOZS,O,X,X,X,X,X
ILJSTZO,O,O,X,X,O,X
ILJSTOZ,O,O,X,X,O,X
ILJSZTO,O,O,X,X,X,X
ILJSZOT,X,O,X,X,X,X
ILJSOTZ,X,O,X,X,O,X
ILJSOZT,X,O,X,X,X,X
ILJZTSO,O,O,O,X,X,X
ILJZTOS,O,X,O,X,X,X
ILJZSTO,O,O,O,X,X,X
ILJZSOT,X,O,O,X,X,X
ILJZOTS,O,O,O,X,X,X
ILJZOST,O,O,O,X,X,X
ILJOTSZ,O,O,X,X,X,X
ILJOTZS,O,O,X,X,X,X
ILJOSTZ,O,O,X,X,O,X
ILJOSZT,O,O,X,X,X,X
ILJOZTS,O,O,X,X,X,X
ILJOZST,O,O,X,X,X,X
ILSTJZO,O,O,O,X,O,X
ILSTJOZ,O,O,O,X,O,X
ILSTZJO,O,O,O,X,O,X
ILSTZOJ,O,O,O,X,O,O
ILSTOJZ,O,O,O,X,O,O
ILSTOZJ,O,O,O,X,O,O
ILSJTZO,O,O,O,X,O,X
ILSJTOZ,O,O,O,X,O,X
ILSJZTO,O,O,O,X,X,X
ILSJZOT,X,O,O,X,X,X
ILSJOTZ,X,O,X,X,O,X
ILSJOZT,X,O,X,X,X,X
ILSZTJO,O,O,O,X,O,X
ILSZTOJ,O,O,O,X,O,O
ILSZJTO,O,O,O,X,X,X
ILSZJOT,X,O,O,X,X,X
ILSZOTJ,O,O,O,X,O,O
ILSZOJT,O,O,O,X,X,O
ILSOTJZ,O,O,X,X,O,O
ILSOTZJ,O,O,X,X,O,O
ILSOJTZ,O,O,X,X,O,O
ILSOJZT,O,O,X,X,X,O
ILSOZTJ,O,O,X,X,O,O
ILSOZJT,O,O,X,X,X,O
ILZTJSO,O,O,O,X,X,X
ILZTJOS,O,X,O,X,X,X
ILZTSJO,O,O,O,X,X,X
ILZTSOJ,O,O,O,X,X,X
ILZTOJS,O,X,O,X,X,X
ILZTOSJ,O,X,O,X,X,X
ILZJTSO,O,O,O,X,X,X
ILZJTOS,O,X,O,X,X,X
ILZJSTO,O,O,O,X,X,X
ILZJSOT,X,O,O,X,X,X
ILZJOTS,O,O,O,X,X,X
ILZJOST,O,O,O,X,X,X
ILZSTJO,O,O,O,X,O,X
ILZSTOJ,O,O,O,X,O,O
ILZSJTO,O,O,O,X,X,X
ILZSJOT,X,O,O,X,X,X
ILZSOTJ,O,O,O,X,O,O
ILZSOJT,O,O,O,X,X,O
ILZOTJS,O,O,O,X,X,X
ILZOTSJ,O,O,O,X,X,O
ILZOJTS,O,O,O,X,X,X
ILZOJST,O,O,O,X,X,O
ILZOSTJ,O,O,O,X,O,O
ILZOSJT,O,O,O,X,X,O
ILOTJSZ,O,O,X,X,O,X
ILOTJZS,O,O,X,X,X,X
ILOTSJZ,O,O,O,X,O,O
ILOTSZJ,O,O,O,X,O,O
ILOTZJS,O,O,O,X,X,X
ILOTZSJ,O,O,O,X,X,O
ILOJTSZ,O,O,X,X,X,X
ILOJTZS,O,O,X,X,X,X
ILOJSTZ,O,O,X,X,O,O
ILOJSZT,O,O,X,X,X,O
ILOJZTS,O,O,X,X,X,X
ILOJZST,O,O,X,X,X,O
ILOSTJZ,O,O,X,X,O,O
ILOSTZJ,O,O,X,X,O,O
ILOSJTZ,O,O,X,X,O,O
ILOSJZT,O,O,X,X,X,O
ILOSZTJ,O,O,X,X,O,O
ILOSZJT,O,O,X,X,X,O
ILOZTJS,O,O,O,X,X,X
ILOZTSJ,O,O,O,X,X,O
ILOZJTS,O,O,O,X,X,X
ILOZJST,O,O,O,X,X,O
ILOZSTJ,O,O,O,X,O,O
ILOZSJT,O,O,O,X,X,O
IJTLSZO,O,X,O,X,X,X
IJTLSOZ,O,X,O,X,X,X
IJTLZSO,O,X,O,X,X,X
IJTLZOS,O,X,O,X,X,X
IJTLOSZ,O,X,X,O,X,X
IJTLOZS,O,X,X,O,X,X
IJTSLZO,O,X,O,X,X,X
IJTSLOZ,O,X,O,X,X,X
IJTSZLO,O,X,O,X,X,X
IJTSZOL,O,X,O,X,X,X
IJTSOLZ,O,X,O,X,X,X
IJTSOZL,O,X,O,X,X,X
IJTZLSO,O,X,O,X,X,X
IJTZLOS,O,X,O,X,X,X
IJTZSLO,O,X,O,X,X,X
IJTZSOL,O,X,O,X,X,X
IJTZOLS,O,X,O,X,X,X
IJTZOSL,O,X,O,X,X,X
IJTOLSZ,O,X,X,O,X,X
IJTOLZS,O,X,X,O,X,X
IJTOSLZ,O,X,X,O,X,X
IJTOSZL,O,X,X,X,X,X
IJTOZLS,O,X,X,O,X,X
IJTOZSL,O,X,X,X,X,X
IJLTSZO,O,O,O,X,X,X
IJLTSOZ,O,O,O,X,X,X
IJLTZSO,O,O,O,X,X,X
IJLTZOS,O,X,O,X,X,X
IJLTOSZ,O,X,X,X,X,X
IJLTOZS,O,X,X,X,X,X
IJLSTZO,O,O,X,X,X,X
IJLSTOZ,O,O,X,X,X,X
IJLSZTO,O,O,X,X,X,X
IJLSZOT,X,O,X,X,X,X
IJLSOTZ,X,O,X,X,X,X
IJLSOZT,X,O,X,X,X,X
IJLZTSO,O,O,O,X,X,X
IJLZTOS,O,X,O,X,X,X
IJLZSTO,O,O,O,X,X,X
IJLZSOT,X,O,O,X,X,X
IJLZOTS,O,O,O,X,X,X
IJLZOST,O,O,O,X,X,X
IJLOTSZ,O,O,X,X,X,X
IJLOTZS,O,O,X,X,X,X
IJLOSTZ,O,O,X,X,X,X
IJLOSZT,O,O,X,X,X,X
IJLOZTS,O,O,X,X,X,X
IJLOZST,O,O,X,X,X,X
IJSTLZO,O,O,O,X,X,X
IJSTLOZ,O,O,O,X,X,X
IJSTZLO,O,O,O,X,X,X
IJSTZOL,O,O,O,X,X,X
IJSTOLZ,O,O,O,X,X,X
IJSTOZL,O,O,O,X,X,X
IJSLTZO,O,O,O,X,X,X
IJSLTOZ,O,O,O,X,X,X
IJSLZTO,O,O,O,X,X,X
IJSLZOT,X,O,O,X,X,X
IJSLOTZ,X,O,X,X,X,X
IJSLOZT,X,O,X,X,X,X
IJSZTLO,O,O,O,X,X,X
IJSZTOL,O,O,O,X,X,X
IJSZLTO,O,O,O,X,X,X
IJSZLOT,X,O,O,X,X,X
IJSZOTL,X,O,O,X,X,X
IJSZOLT,X,O,O,X,X,X
IJSOTLZ,X,O,O,X,X,X
IJSOTZL,X,O,O,X,X,X
IJSOLTZ,X,O,X,X,X,X
IJSOLZT,X,O,X,X,X,X
IJSOZTL,X,O,O,X,X,X
IJSOZLT,X,O,O,X,X,X
IJZTLSO,O,X,O,X,X,X
IJZTLOS,O,X,O,O,X,X
IJZTSLO,O,O,O,X,X,X
IJZTSOL,O,O,O,X,X,X
IJZTOLS,O,X,O,O,X,X
IJZTOSL,O,X,O,O,X,X
IJZLTSO,O,O,O,X,X,X
IJZLTOS,O,X,O,X,X,X
IJZLSTO,O,O,O,X,X,X
IJZLSOT,X,O,O,X,X,X
IJZLOTS,O,O,O,X,X,X
IJZLOST,O,O,O,X,X,X
IJZSTLO,O,O,O,X,X,X
IJZSTOL,O,O,O,X,X,X
IJZSLTO,O,O,O,X,X,X
IJZSLOT,X,O,O,X,X,X
IJZSOTL,X,O,O,X,X,X
IJZSOLT,X,O,O,X,X,X
IJZOTLS,O,X,O,O,X,X
IJZOTSL,O,O,O,O,X,X
IJZOLTS,O,O,O,O,X,X
IJZOLST,O,O,O,X,X,X
IJZOSTL,O,O,O,O,X,X
IJZOSLT,O,O,O,X,X,X
IJOTLSZ,O,O,X,O,X,X
IJOTLZS,O,O,X,O,X,X
IJOTSLZ,O,O,X,O,X,X
IJOTSZL,O,O,X,X,X,X
IJOTZLS,O,X,X,O,X,X
IJOTZSL,O,O,X,O,X,X
IJOLTSZ,O,O,X,O,X,X
IJOLTZS,O,O,X,O,X,X
IJOLSTZ,O,O,X,X,X,X
IJOLSZT,O,O,X,X,X,X
IJOLZTS,O,O,X,O,X,X
IJOLZST,O,O,X,X,X,X
IJOSTLZ,O,O,X,O,X,X
IJOSTZL,O,O,X,X,X,X
IJOSLTZ,O,O,X,X,X,X
IJOSLZT,O,O,X,X,X,X
IJOSZTL,O,O,X,O,X,X
IJOSZLT,O,O,X,X,X,X
IJOZTLS,O,X,X,O,X,X
IJOZTSL,O,O,X,O,X,X
IJOZLTS,O,O,X,O,X,X
IJOZLST,O,O,X,X,X,X
IJOZSTL,O,O,X,O,X,X
IJOZSLT,O,O,X,X,X,X
ISTLJZO,O,O,O,X,O,X
ISTLJOZ,O,X,O,X,O,X
ISTLZJO,O,O,O,X,O,X
ISTLZOJ,O,O,O,X,O,O
ISTLOJZ,O,O,O,X,O,O
ISTLOZJ,O,O,O,X,O,O
ISTJLZO,O,X,O,X,O,X
ISTJLOZ,O,X,O,X,O,X
ISTJZLO,O,X,O,X,O,X
ISTJZOL,O,X,O,X,X,X
ISTJOLZ,O,X,O,X,O,X
ISTJOZL,O,X,O,X,X,X
ISTZLJO,O,X,O,X,O,X
ISTZLOJ,O,X,O,X,O,O
ISTZJLO,O,X,O,X,O,X
ISTZJOL,O,X,O,X,X,X
ISTZOLJ,O,X,O,X,X,O
ISTZOJL,O,X,O,X,X,X
ISTOLJZ,O,O,O,X,O,O
ISTOLZJ,O,O,O,X,O,O
ISTOJLZ,O,O,O,X,O,O
ISTOJZL,O,X,O,X,X,X
ISTOZLJ,O,O,O,X,X,O
ISTOZJL,O,X,O,X,X,X
ISLTJZO,O,O,O,X,O,X
ISLTJOZ,O,O,O,X,O,X
ISLTZJO,O,O,O,X,O,X
ISLTZOJ,O,O,O,X,O,O
ISLTOJZ,O,O,O,X,O,O
ISLTOZJ,O,O,O,X,O,O
ISLJTZO,O,O,O,X,O,X
ISLJTOZ,O,O,O,X,O,X
ISLJZTO,O,O,O,X,X,X
ISLJZOT,X,O,O,X,X,X
ISLJOTZ,X,O,X,X,O,X
ISLJOZT,X,O,X,X,X,X
ISLZTJO,O,O,O,X,O,X
ISLZTOJ,O,O,O,X,O,O
ISLZJTO,O,O,O,X,X,X
ISLZJOT,X,O,O,X,X,X
ISLZOTJ,O,O,O,X,O,O
ISLZOJT,O,O,O,X,X,O
ISLOTJZ,O,O,X,X,O,O
ISLOTZJ,O,O,X,X,O,O
ISLOJTZ,O,O,X,X,O,O
ISLOJZT,O,O,X,X,X,O
ISLOZTJ,O,O,X,X,O,O
ISLOZJT,O,O,X,X,X,O
ISJTLZO,O,O,O,X,O,X
ISJTLOZ,O,O,O,X,O,X
ISJTZLO,O,O,O,X,O,X
ISJTZOL,O,O,O,X,X,X
ISJTOLZ,O,O,O,X,O,X
ISJTOZL,O,O,O,X,X,X
ISJLTZO,O,O,O,X,O,X
ISJLTOZ,O,O,O,X,O,X
ISJLZTO,O,O,O,X,X,X
ISJLZOT,X,O,O,X,X,X
ISJLOTZ,X,O,X,X,O,X
ISJLOZT,X,O,X,X,X,X
ISJZTLO,O,O,O,X,X,X
ISJZTOL,O,O,O,X,X,X
ISJZLTO,O,O,O,X,X,X
ISJZLOT,X,O,O,X,X,X
ISJZOTL,X,O,O,X,X,X
ISJZOLT,X,O,O,X,X,X
ISJOTLZ,X,O,O,X,X,X
ISJOTZL,X,O,O,X,X,X
ISJOLTZ,X,O,X,X,X,X
ISJOLZT,X,O,X,X,X,X
ISJOZTL,X,O,O,X,X,X
ISJOZLT,X,O,O,X,X,X
ISZTLJO,O,X,O,X,O,X
ISZTLOJ,O,X,O,X,O,X
ISZTJLO,O,X,O,X,O,X
ISZTJOL,O,X,O,X,X,X
ISZTOLJ,O,X,O,X,X,X
ISZTOJL,O,X,O,X,X,X
ISZLTJO,O,X,O,X,O,X
ISZLTOJ,O,X,O,X,O,X
ISZLJTO,O,X,O,X,X,X
ISZLJOT,X,X,O,X,X,X
ISZLOTJ,O,X,O,X,O,X
ISZLOJT,O,X,O,X,X,X
ISZJTLO,O,X,O,X,X,X
ISZJTOL,O,X,O,X,X,X
ISZJLTO,O,X,O,X,X,X
ISZJLOT,X,X,O,X,X,X
ISZJOTL,X,X,O,X,X,X
ISZJOLT,X,X,O,X,X,X
ISZOTLJ,O,X,O,X,X,X
ISZOTJL,O,X,O,X,X,X
ISZOLTJ,O,X,O,X,X,X
ISZOLJT,O,X,O,X,X,X
ISZOJTL,O,X,O,X,X,X
ISZOJLT,O,X,O,X,X,X
ISOTLJZ,O,O,O,X,O,O
ISOTLZJ,O,O,O,X,O,O
ISOTJLZ,O,O,O,X,O,O
ISOTJZL,O,O,O,X,X,X
ISOTZLJ,O,O,O,X,X,O
ISOTZJL,O,X,O,X,X,X
ISOLTJZ,O,O,X,X,O,O
ISOLTZJ,O,O,X,X,O,O
ISOLJTZ,O,O,X,X,O,O
ISOLJZT,O,O,X,X,X,O
ISOLZTJ,O,O,X,X,O,O
ISOLZJT,O,O,X,X,X,O
ISOJTLZ,O,O,O,X,X,O
ISOJTZL,O,O,O,X,X,X
ISOJLTZ,O,O,X,X,X,O
ISOJLZT,O,O,X,X,X,O
ISOJZTL,O,O,O,X,X,X
ISOJZLT,O,O,O,X,X,X
ISOZTLJ,O,O,O,X,X,O
ISOZTJL,O,X,O,X,X,X
ISOZLTJ,O,O,O,X,X,O
ISOZLJT,O,O,O,X,X,O
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,O,X,X,X
IZTLJSO,O,X,O,X,X,X
IZTLJOS,O,X,O,O,X,X
IZTLSJO,O,X,O,X,X,X
IZTLSOJ,O,X,O,O,X,X
IZTLOJS,O,X,O,O,X,X
IZTLOSJ,O,X,O,O,X,X
IZTJLSO,O,X,O,X,X,X
IZTJLOS,O,X,O,O,X,X
IZTJSLO,O,X,O,X,X,X
IZTJSOL,O,X,O,X,X,X
IZTJOLS,O,X,O,O,X,X
IZTJOSL,O,X,O,O,X,X
IZTSLJO,O,X,O,X,X,X
IZTSLOJ,O,X,O,O,X,X
IZTSJLO,O,X,O,X,X,X
IZTSJOL,O,X,O,X,X,X
IZTSOLJ,O,X,O,O,X,X
IZTSOJL,O,X,O,O,X,X
IZTOLJS,O,X,O,O,X,X
IZTOLSJ,O,X,O,O,X,X
IZTOJLS,O,X,O,O,X,X
IZTOJSL,O,X,O,O,X,X
IZTOSLJ,O,X,O,O,X,X
IZTOSJL,O,X,O,O,X,X
IZLTJSO,O,X,O,X,X,X
IZLTJOS,O,X,O,X,X,X
IZLTSJO,O,X,O,X,X,X
IZLTSOJ,O,X,O,X,X,X
IZLTOJS,O,X,O,X,X,X
IZLTOSJ,O,X,O,X,X,X
IZLJTSO,O,X,O,X,X,X
IZLJTOS,O,X,O,X,X,X
IZLJSTO,O,X,O,X,X,X
IZLJSOT,X,X,O,X,X,X
IZLJOTS,O,X,O,X,X,X
IZLJOST,O,X,O,X,X,X
IZLSTJO,O,X,O,X,X,X
IZLSTOJ,O,X,O,X,X,X
IZLSJTO,O,X,O,X,X,X
IZLSJOT,X,X,O,X,X,X
IZLSOTJ,O,X,O,X,X,X
IZLSOJT,O,X,O,X,X,X
IZLOTJS,O,X,O,X,X,X
IZLOTSJ,O,X,O,X,X,X
IZLOJTS,O,X,O,X,X,X
IZLOJST,O,X,O,X,X,X
IZLOSTJ,O,X,O,X,X,X
IZLOSJT,O,X,O,X,X,X
IZJTLSO,O,X,O,X,X,X
IZJTLOS,O,X,O,O,X,X
IZJTSLO,O,X,O,X,X,X
IZJTSOL,O,X,O,X,X,X
IZJTOLS,O,X,O,O,X,X
IZJTOSL,O,X,O,O,X,X
IZJLTSO,O,X,O,X,X,X
IZJLTOS,O,X,O,X,X,X
IZJLSTO,O,X,O,X,X,X
IZJLSOT,X,X,O,X,X,X
IZJLOTS,O,X,O,X,X,X
IZJLOST,O,X,O,X,X,X
IZJSTLO,O,X,O,X,X,X
IZJSTOL,O,X,O,X,X,X
IZJSLTO,O,X,O,X,X,X
IZJSLOT,X,X,O,X,X,X
IZJSOTL,X,X,O,X,X,X
IZJSOLT,X,X,O,X,X,X
IZJOTLS,O,X,O,O,X,X
IZJOTSL,O,X,O,O,X,X
IZJOLTS,O,X,O,O,X,X
IZJOLST,O,X,O,X,X,X
IZJOSTL,O,X,O,O,X,X
IZJOSLT,O,X,O,X,X,X
IZSTLJO,O,X,O,X,X,X
IZSTLOJ,O,X,O,X,X,X
IZSTJLO,O,X,O,X,X,X
IZSTJOL,O,X,O,X,X,X
IZSTOLJ,O,X,O,X,X,X
IZSTOJL,O,X,O,X,X,X
IZSLTJO,O,X,O,X,X,X
IZSLTOJ,O,X,O,X,X,X
IZSLJTO,O,X,O,X,X,X
IZSLJOT,X,X,O,X,X,X
IZSLOTJ,O,X,O,X,X,X
IZSLOJT,O,X,O,X,X,X
IZSJTLO,O,X,O,X,X,X
IZSJTOL,O,X,O,X,X,X
IZSJLTO,O,X,O,X,X,X
IZSJLOT,X,X,O,X,X,X
IZSJOTL,X,X,O,X,X,X
IZSJOLT,X,X,O,X,X,X
IZSOTLJ,O,X,O,X,X,X
IZSOTJL,O,X,O,X,X,X
IZSOLTJ,O,X,O,X,X,X
IZSOLJT,O,X,O,X,X,X
IZSOJTL,O,X,O,X,X,X
IZSOJLT,O,X,O,X,X,X
IZOTLJS,O,X,O,O,X,X
IZOTLSJ,O,X,O,O,X,X
IZOTJLS,O,X,O,O,X,X
IZOTJSL,O,X,O,O,X,X
IZOTSLJ,O,X,O,O,X,X
IZOTSJL,O,X,O,O,X,X
IZOLTJS,O,X,O,O,X,X
IZOLTSJ,O,X,O,O,X,X
IZOLJTS,O,X,O,O,X,X
IZOLJST,O,X,O,X,X,X
IZOLSTJ,O,X,O,X,X,X
IZOLSJT,O,X,O,X,X,X
IZOJTLS,O,X,O,O,X,X
IZOJTSL,O,X,O,O,X,X
IZOJLTS,O,X,O,O,X,X
IZOJLST,O,X,O,X,X,X
IZOJSTL,O,X,O,O,X,X
IZOJSLT,O,X,O,X,X,X
IZOSTLJ,O,X,O,O,X,X
IZOSTJL,O,X,O,O,X,X
IZOSLTJ,O,X,O,X,X,X
IZOSLJT,O,X,O,X,X,X
IZOSJTL,O,X,O,O,X,X
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,O,O,X,O,O,X
IOTLJZS,O,O,X,O,X,X
IOTLSJZ,O,O,O,O,O,O
IOTLSZJ,O,O,O,X,O,O
IOTLZJS,O,O,O,O,X,X
IOTLZSJ,O,O,O,X,X,O
IOTJLSZ,O,O,X,O,O,X
IOTJLZS,O,O,X,O,X,X
IOTJSLZ,O,O,X,O,O,X
IOTJSZL,O,O,X,X,X,X
IOTJZLS,O,X,X,O,X,X
IOTJZSL,O,O,X,O,X,X
IOTSLJZ,O,O,O,O,O,O
IOTSLZJ,O,O,O,X,O,O
IOTSJLZ,O,O,O,O,O,O
IOTSJZL,O,O,O,X,X,X
IOTSZLJ,O,O,O,X,X,O
IOTSZJL,O,X,O,X,X,X
IOTZLJS,O,X,O,O,X,X
IOTZLSJ,O,X,O,O,X,X
IOTZJLS,O,X,O,O,X,X
IOTZJSL,O,X,O,O,X,X
