sequence,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBOpBllBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JeOEJvhFXgB0hB6nB1uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBllBmpBXr?BTpB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nBOpB0lBlmBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JexAJvhF6nBOpBXlBlmBzq?B0pB,v115@FhB8HeB8FeA8AeB8EeE8JecEJvhFxgB6nBXlBlmBzq?B2uB,v115@FhB8HeB8FeA8AeB8EeE8Je/EJvhFFgB0hB6nB2uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nB0lBlmBmpBTp?BXrB
TJISZLO,O,O,X,X,X,X,O,X
TJISZOL,X,O,X,X,X,X,O,X
TJISOLZ,X,O,X,X,X,X,O,X
TJISOZL,X,O,X,X,X,X,O,X
TJIZLSO,O,O,X,X,X,X,O,X
TJIZLOS,O,O,X,X,X,X,X,O
TJIZSLO,X,O,X,X,X,X,O,X
TJIZSOL,X,O,X,X,X,X,O,X
TJIZOLS,X,O,X,X,X,X,X,X
TJIZOSL,X,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,O,X,X
TJIOLZS,O,O,X,O,X,X,X,X
TJIOSLZ,O,O,X,X,O,O,X,X
TJIOSZL,O,O,X,X,O,O,X,X
TJIOZLS,O,O,X,O,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X
TJLISZO,O,O,X,X,X,X,O,X
TJLISOZ,O,O,X,X,X,X,O,X
TJLIZSO,O,O,X,X,X,X,O,X
TJLIZOS,O,O,X,X,X,X,X,O
TJLIOSZ,O,O,X,X,O,O,X,X
TJLIOZS,O,O,X,O,X,X,X,X
TJLSIZO,O,O,O,X,X,X,O,X
TJLSIOZ,O,O,O,X,X,X,O,X
TJLSZIO,O,O,O,X,X,X,O,X
TJLSZOI,O,O,O,X,X,X,O,O
TJLSOIZ,O,O,O,X,O,X,O,X
TJLSOZI,O,O,O,O,O,X,O,X
TJLZISO,O,O,X,X,X,X,O,X
TJLZIOS,O,O,X,X,X,X,X,O
TJLZSIO,O,O,O,X,X,X,O,X
TJLZSOI,O,O,O,X,X,X,O,O
TJLZOIS,O,O,X,O,X,X,X,O
TJLZOSI,O,O,X,O,O,X,X,O
TJLOISZ,O,O,X,X,O,O,X,X
TJLOIZS,O,O,X,O,X,X,X,X
TJLOSIZ,O,O,X,X,O,O,X,X
TJLOSZI,O,O,X,O,O,O,X,X
TJLOZIS,O,O,X,O,X,X,X,O
TJLOZSI,O,O,X,O,O,X,X,O
TJSILZO,O,O,O,X,X,X,O,X
TJSILOZ,O,O,O,X,X,X,O,X
TJSIZLO,O,O,O,X,X,X,O,X
TJSIZOL,O,O,O,X,X,X,O,X
TJSIOLZ,O,O,O,X,X,X,O,X
TJSIOZL,O,O,O,X,X,X,O,X
TJSLIZO,O,O,O,X,X,X,O,X
TJSLIOZ,O,O,O,X,X,X,O,X
TJSLZIO,O,O,O,X,X,X,O,X
TJSLZOI,O,O,O,X,X,X,O,O
TJSLOIZ,O,O,O,X,O,X,O,X
TJSLOZI,O,O,O,O,O,X,O,X
TJSZILO,O,O,O,X,X,X,O,X
TJSZIOL,O,O,O,X,X,X,O,X
TJSZLIO,O,O,O,X,X,X,O,X
TJSZLOI,O,O,O,X,X,X,O,O
TJSZOIL,O,X,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,O,X
TJSOILZ,O,O,O,X,O,X,O,X
TJSOIZL,O,O,O,X,O,X,O,X
TJSOLIZ,O,O,O,X,O,X,O,X
TJSOLZI,O,O,O,O,O,X,O,X
TJSOZIL,O,X,O,O,O,X,X,X
TJSOZLI,O,O,O,O,O,X,O,X
TJZILSO,O,O,X,X,X,X,O,X
TJZILOS,O,O,X,X,X,X,X,O
TJZISLO,X,O,X,X,X,X,O,X
TJZISOL,X,O,X,X,X,X,O,X
TJZIOLS,X,O,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,X,X,X
TJZLISO,O,O,X,X,X,X,O,X
TJZLIOS,O,O,X,X,X,X,X,O
TJZLSIO,O,O,O,X,X,X,O,X
TJZLSOI,O,O,O,X,X,X,O,O
TJZLOIS,O,O,X,O,X,X,X,O
TJZLOSI,O,O,X,O,O,X,X,O
TJZSILO,O,O,O,X,X,X,O,X
TJZSIOL,O,O,O,X,X,X,O,X
TJZSLIO,O,O,O,X,X,X,O,X
TJZSLOI,O,O,O,X,X,X,O,O
TJZSOIL,O,X,O,X,X,X,X,X
TJZSOLI,O,O,O,X,X,X,O,X
TJZOILS,O,O,X,O,X,X,X,X
TJZOISL,O,O,X,O,X,X,X,X
TJZOLIS,O,O,X,O,X,X,X,O
TJZOLSI,O,O,X,O,O,X,X,O
TJZOSIL,O,X,X,O,O,X,X,X
TJZOSLI,O,O,X,O,O,X,X,X
TJOILSZ,O,O,X,X,O,O,X,X
TJOILZS,O,O,X,O,X,X,X,X
TJOISLZ,O,O,X,X,O,O,X,X
TJOISZL,O,O,X,X,O,O,X,X
TJOIZLS,O,O,X,O,X,X,X,X
TJOIZSL,O,O,X,O,X,X,X,X
TJOLISZ,O,O,X,X,O,O,X,X
TJOLIZS,O,O,X,O,X,X,X,X
TJOLSIZ,O,O,X,X,O,O,X,X
TJOLSZI,O,O,X,O,O,O,X,X
TJOLZIS,O,O,X,O,X,X,X,O
TJOLZSI,O,O,X,O,O,X,X,O
TJOSILZ,O,O,X,X,O,O,X,X
TJOSIZL,O,O,X,X,O,O,X,X
TJOSLIZ,O,O,X,X,O,O,X,X
TJOSLZI,O,O,X,O,O,O,X,X
TJOSZIL,O,X,X,O,O,O,X,X
TJOSZLI,O,O,X,O,O,O,X,X
TJOZILS,O,O,X,O,X,X,X,X
TJOZISL,O,O,X,O,X,X,X,X
TJOZLIS,O,O,X,O,X,X,X,O
TJOZLSI,O,O,X,O,O,X,X,O
TJOZSIL,O,X,X,O,O,X,X,X
TJOZSLI,O,O,X,O,O,X,X,X
TSILJZO,O,O,O,X,X,X,X,X
TSILJOZ,O,O,O,X,X,X,X,X
TSILZJO,O,O,O,X,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X,X
TSILOJZ,O,O,X,X,O,O,X,X
TSILOZJ,O,O,O,X,O,O,X,X
TSIJLZO,O,O,O,X,X,X,X,X
TSIJLOZ,O,O,O,X,X,X,X,X
TSIJZLO,O,O,O,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X
TSIJOLZ,O,O,O,X,X,X,X,X
TSIJOZL,O,O,O,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,O,O,X,X
TSIOLZJ,O,O,O,X,O,O,X,X
TSIOJLZ,O,O,X,X,O,O,X,X
TSIOJZL,O,O,X,X,O,O,X,X
TSIOZLJ,O,O,O,X,O,O,X,X
TSIOZJL,O,O,X,X,O,O,X,X
TSLIJZO,O,O,O,X,X,X,X,X
TSLIJOZ,O,O,O,X,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X,X
TSLIOJZ,O,O,X,X,O,O,X,X
TSLIOZJ,O,O,O,X,O,O,X,X
TSLJIZO,O,O,O,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X,O
TSLJOIZ,O,O,O,X,O,X,X,X
TSLJOZI,O,O,O,O,O,X,X,X
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X
TSLZJOI,O,O,O,X,X,X,X,X
TSLZOIJ,O,X,O,X,X,X,X,X
TSLZOJI,O,O,O,X,X,X,X,X
TSLOIJZ,O,O,X,X,O,O,X,X
TSLOIZJ,O,O,O,X,O,O,X,X
TSLOJIZ,O,O,O,X,O,O,X,X
TSLOJZI,O,O,O,O,O,O,X,X
TSLOZIJ,O,X,O,X,O,O,X,X
TSLOZJI,O,O,O,O,O,O,X,X
TSJILZO,O,O,O,X,X,X,X,X
TSJILOZ,O,O,O,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X
TSJIOLZ,O,O,O,X,X,X,X,X
TSJIOZL,O,O,O,X,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X,O
TSJLOIZ,O,O,O,X,O,X,X,X
TSJLOZI,O,O,O,O,O,X,X,X
TSJZILO,O,O,O,X,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,O
TSJZOIL,O,X,O,X,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X,X
TSJOILZ,O,O,O,X,O,X,X,X
TSJOIZL,O,O,O,X,O,X,X,X
TSJOLIZ,O,O,O,X,O,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X
TSJOZIL,O,X,O,O,O,X,X,X
TSJOZLI,O,O,O,O,O,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X
TSZJOIL,O,X,O,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X
TSZOILJ,O,X,O,X,X,X,X,X
TSZOIJL,O,X,X,X,X,X,X,X
TSZOLIJ,O,X,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,X,O,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,O,O,X,X,O,O,X,X
TSOILZJ,O,O,O,X,O,O,X,X
