sequence,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFRhB/pBOqB8qBCn?BTsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhF/mBUiBikB1qBWv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBfsB6sB0p?BlqB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBSsBlpB3q?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhFihBTkBGnBlqBUs?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFzgB/pBKqBGnBRr?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jei/IvhFRhB1pB8qBzmB+s?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Je0/IvhFlgB2pBxmB3mBSv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhF/pBFlB8qBCnBTs?BmpB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhFRhByqB0pBGsB/q?BFsB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFanB/pBxlB+sBUm?BTqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFUhBanB/pB+sBxq?BTqB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhFypBzlBGsB/pBFs?BUqB
TOZIJSL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOZISLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZISJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZLIJS,O,X,O,X,O,X,O,X,X,X,X,X,X
TOZLISJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOZLJIS,O,X,O,X,O,X,O,X,X,X,X,X,X
TOZLJSI,O,X,O,X,O,X,O,X,X,X,X,X,X
TOZLSIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOZJILS,X,X,O,X,O,X,O,X,X,X,X,X,X
TOZJISL,O,O,O,X,O,X,O,X,X,X,X,X,X
TOZJLIS,O,O,O,X,O,X,O,X,X,X,X,X,X
TOZJLSI,O,O,O,X,O,X,O,X,X,X,X,X,X
TOZJSIL,O,O,O,X,O,X,O,X,X,X,X,X,X
TOZJSLI,O,O,O,X,O,X,O,X,X,X,X,X,X
TOZSILJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZSLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOZSLJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOZSJIL,O,O,O,O,O,X,X,X,X,X,X,X,X
TOZSJLI,O,O,O,O,O,X,X,X,O,X,X,X,X
ITLJSZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLJSOZ,X,X,O,X,X,O,X,X,X,X,X,X,X
ITLJZSO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLJZOS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
ITLJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X
ITLSJZO,X,O,O,O,X,O,X,X,X,X,X,X,X
ITLSJOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ITLSZJO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLSOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ITLSOZJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLZJSO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLZJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLZSJO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLZOJS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITLOJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
ITLOZJS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITLOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITJLSZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJLSOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJLZSO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITJLZOS,X,O,O,X,X,X,O,X,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
ITJLOZS,X,O,X,X,X,X,O,X,X,X,X,X,X
ITJSLZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITJSZLO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJSZOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITJSOZL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJZLSO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJZLOS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJZSLO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITJZSOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJZOSL,X,O,O,X,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
ITJOLZS,X,O,X,X,X,X,O,X,X,X,X,X,X
ITJOSLZ,X,O,X,X,X,O,O,X,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ITJOZLS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJOZSL,X,O,O,X,X,X,O,X,X,X,X,X,X
ITSLJZO,X,O,O,O,X,O,X,X,X,X,X,X,X
ITSLJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ITSLZJO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITSLZOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITSLOJZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ITSLOZJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITSJLZO,X,O,O,O,X,O,X,X,X,X,X,X,X
ITSJLOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ITSJZLO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZOL,X,O,O,O,X,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ITSJOZL,X,O,O,O,X,X,X,X,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZJLO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSOLJZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ITSOLZJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ITSOJZL,X,O,O,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSOZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZLJSO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZLJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZLSJO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZLSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ITZLOJS,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZLOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZJLSO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZJLOS,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZJSLO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZJSOL,X,X,O,X,X,X,X,X,X,X,X,X,X
ITZJOLS,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZJOSL,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZSLJO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSJLO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSJOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZOLJS,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZOLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZOJLS,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZOSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITZOSJL,X,O,O,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
ITOLZJS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOSLJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ITOSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZJL,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOZJSL,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSJL,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTJSZO,X,O,O,X,X,O,X,X,X,X,X,X,X
ILTJSOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
ILTJZSO,X,O,O,X,X,X,X,X,X,X,X,X,X
ILTJZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILTJOZS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILTSJZO,O,O,O,O,X,O,X,X,X,X,X,X,X
ILTSJOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ILTSZJO,O,O,O,X,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILTSOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILTZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTZJOS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILTZOJS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILTOJZS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,O,X,O,X,O,X,O,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ILTOZJS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,O,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ILJTZSO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILJSTZO,O,O,X,X,X,O,X,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ILJSZTO,O,X,X,X,X,O,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X,X,X,O,X,X,X
ILJZTOS,X,O,X,X,X,X,X,O,X,O,X,X,X
ILJZSTO,O,X,X,X,X,O,X,X,X,O,X,X,X
ILJZSOT,O,X,X,X,X,O,X,X,X,O,X,X,X
ILJZOTS,X,O,X,X,X,X,X,O,X,O,X,X,X
ILJZOST,O,X,X,X,X,O,X,O,X,O,X,X,X
ILJOTSZ,X,O,X,X,X,O,X,O,X,X,X,X,O
ILJOTZS,X,O,X,X,X,X,X,O,X,X,X,X,O
ILJOSTZ,X,O,X,X,X,O,X,O,X,X,X,X,O
ILJOSZT,X,X,X,X,X,O,X,O,X,X,X,X,X
ILJOZTS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILJOZST,X,X,X,X,X,O,X,O,X,X,X,X,X
ILSTJZO,O,O,O,O,X,O,X,X,X,X,X,X,X
ILSTJOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
ILSTZJO,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSTOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSJTZO,O,O,O,O,X,O,X,X,X,X,X,X,X
ILSJTOZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ILSJZTO,O,X,O,O,X,O,X,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSZTJO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILSZTOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILSZJTO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILSZJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,O,O,X,X,O,X,X,X,X,X,X,X
ILSOTZJ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILSOZJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILZTJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X,X,X,O,X,X,X
ILZJTOS,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZJSTO,O,X,X,X,X,O,X,X,X,O,X,X,X
ILZJSOT,O,X,X,X,X,O,X,X,X,O,X,X,X
ILZJOTS,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZJOST,O,X,X,X,X,O,X,X,X,O,X,X,X
ILZSTJO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILZSTOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILZSJTO,O,X,O,X,X,O,X,X,X,X,X,X,X
ILZSJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILZOTJS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ILZOJTS,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZOJST,O,X,X,X,X,O,X,X,X,O,X,X,X
ILZOSTJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILOTJZS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOTZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,X,X,O,X,O,X,X,X,X,O
ILOJTZS,X,O,X,X,X,X,X,O,X,X,X,X,O
ILOJSTZ,X,O,X,X,X,O,X,O,X,X,X,X,O
ILOJSZT,X,X,X,X,X,O,X,O,X,X,X,X,X
ILOJZTS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,O,X,O,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,O,X,O,X,X,X,X,X
ILOSJZT,X,X,X,X,X,O,X,O,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,O,X,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOZJTS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOZJST,O,X,X,X,X,O,X,O,X,X,X,X,X
ILOZSTJ,O,X,X,X,X,O,X,X,X,X,X,X,X
ILOZSJT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTLSZO,X,O,X,X,X,O,X,X,X,X,X,O,X
IJTLSOZ,X,O,X,X,X,O,X,X,X,X,X,O,X
IJTLZSO,X,O,X,X,X,X,O,X,X,X,X,O,X
IJTLZOS,X,O,X,X,X,X,O,X,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
IJTLOZS,X,O,X,X,X,X,O,X,X,X,X,X,X
IJTSLZO,X,O,X,X,X,O,X,X,X,X,X,O,X
IJTSLOZ,X,O,X,X,X,O,X,X,X,X,X,O,X
IJTSZLO,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTSZOL,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTSOLZ,X,O,X,X,X,O,X,X,X,X,X,O,X
IJTSOZL,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTZLSO,X,X,X,X,X,X,O,X,X,X,X,O,X
IJTZLOS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJTZSLO,X,O,X,X,X,X,O,X,X,X,X,O,X
IJTZSOL,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTZOLS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,O,O,X,X,X,X,X,X
IJTOLZS,X,O,X,X,X,X,O,X,X,X,X,X,X
IJTOSLZ,X,O,X,X,X,O,O,X,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJTOZSL,X,O,X,X,X,X,O,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,O,X,X,X,X,X,O,X
IJLTSOZ,X,O,X,X,X,O,X,X,X,X,X,O,X
IJLTZSO,X,O,X,X,X,X,X,X,X,X,X,O,X
IJLTZOS,X,O,X,X,X,X,X,O,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
IJLTOZS,X,O,X,X,X,X,X,O,X,X,X,X,X
IJLSTZO,O,O,X,X,X,O,X,X,X,X,X,O,X
IJLSTOZ,X,O,X,X,X,O,X,X,X,X,O,O,X
IJLSZTO,X,X,X,X,X,O,X,X,X,X,X,O,X
IJLSZOT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJLSOTZ,X,O,X,X,X,O,X,X,X,X,O,O,X
IJLSOZT,X,X,X,X,X,O,X,X,X,X,O,O,X
IJLZTSO,X,O,X,X,X,X,X,X,X,O,X,O,X
IJLZTOS,X,O,X,X,X,X,X,O,X,O,X,X,X
IJLZSTO,X,X,X,X,X,O,X,X,X,O,X,O,X
IJLZSOT,X,X,X,X,X,O,X,X,X,O,X,O,X
IJLZOTS,X,O,X,X,X,X,X,O,X,O,X,X,X
IJLZOST,X,X,X,X,X,O,X,O,X,O,X,O,X
IJLOTSZ,X,O,X,X,X,O,X,O,X,X,O,X,O
IJLOTZS,X,O,X,X,X,X,X,O,X,X,X,X,O
IJLOSTZ,X,O,X,X,X,O,X,O,X,X,O,O,O
IJLOSZT,X,X,X,X,X,O,X,O,X,X,O,O,X
IJLOZTS,X,O,X,X,X,X,X,O,X,X,X,X,X
IJLOZST,X,X,X,X,X,O,X,O,X,X,O,O,X
IJSTLZO,O,X,X,X,X,O,X,X,X,X,X,O,X
IJSTLOZ,X,X,X,X,X,O,X,X,X,X,O,O,X
IJSTZLO,O,X,X,X,X,X,X,X,X,X,X,O,X
IJSTZOL,O,X,X,X,X,X,X,X,X,X,X,O,X
IJSTOLZ,O,X,X,X,X,O,X,X,X,X,O,O,X
IJSTOZL,O,X,X,X,X,X,X,X,X,X,O,O,X
IJSLTZO,O,X,X,X,X,O,X,X,X,X,X,O,X
IJSLTOZ,X,X,X,X,X,O,X,X,X,X,O,O,X
IJSLZTO,X,X,X,X,X,O,X,X,X,X,X,O,X
IJSLZOT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJSLOTZ,X,X,X,X,X,O,X,X,X,X,O,O,X
IJSLOZT,X,X,X,X,X,O,X,X,X,X,O,O,X
IJSZTLO,X,X,X,X,X,X,X,X,X,X,X,O,X
IJSZTOL,X,X,X,X,X,X,X,X,X,X,X,O,X
IJSZLTO,X,X,X,X,X,O,X,X,X,X,X,O,X
IJSZLOT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJSZOTL,X,X,X,X,X,X,X,X,X,X,X,O,X
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJSOTLZ,O,X,X,X,X,O,X,X,X,X,O,O,X
IJSOTZL,O,X,X,X,X,X,X,X,X,X,O,O,X
IJSOLTZ,O,X,X,X,X,O,X,X,X,X,O,O,X
IJSOLZT,X,X,X,X,X,O,X,X,X,X,O,O,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X,O,O,X
IJSOZLT,X,X,X,X,X,O,X,X,X,X,O,O,X
IJZTLSO,X,X,X,X,X,X,O,X,X,X,X,O,X
IJZTLOS,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZTSLO,X,X,X,X,X,X,O,X,X,X,X,O,X
IJZTSOL,X,X,X,X,X,X,X,X,X,X,X,O,X
IJZTOLS,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZTOSL,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,O,X,X,O,X,O,X
IJZLTOS,X,X,X,X,X,X,O,X,X,O,X,X,X
IJZLSTO,X,X,X,X,X,O,X,X,X,O,X,O,X
IJZLSOT,X,X,X,X,X,O,X,X,X,O,X,O,X
IJZLOTS,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZLOST,X,X,X,X,X,O,X,X,X,O,X,O,X
IJZSTLO,X,X,X,X,X,X,O,X,X,X,X,O,X
IJZSTOL,X,X,X,X,X,X,X,X,X,X,X,O,X
IJZSLTO,X,X,X,X,X,O,X,X,X,X,X,O,X
IJZSLOT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJZSOTL,X,X,X,X,X,X,X,X,X,X,X,O,X
IJZSOLT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJZOTLS,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZOLTS,X,X,X,X,X,X,O,O,X,O,X,X,X
IJZOLST,X,X,X,X,X,O,X,X,X,O,X,O,X
IJZOSTL,X,X,X,X,X,X,O,O,X,X,X,O,X
IJZOSLT,X,X,X,X,X,O,X,X,X,X,X,O,X
IJOTLSZ,X,O,X,X,X,O,O,O,X,X,O,X,X
IJOTLZS,X,O,X,X,X,X,O,O,X,X,X,X,X
IJOTSLZ,X,O,X,X,X,O,O,X,X,X,O,X,X
IJOTSZL,X,O,X,X,X,X,X,O,X,X,O,X,X
IJOTZLS,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,O,O,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,O,O,O,X,X,O,X,O
IJOLTZS,X,O,X,X,X,X,O,O,X,X,X,X,O
IJOLSTZ,O,O,X,X,X,O,X,O,X,X,O,O,O
IJOLSZT,X,X,X,X,X,O,X,O,X,X,O,O,X
IJOLZTS,X,O,X,X,X,X,O,O,X,X,X,X,X
IJOLZST,X,X,X,X,X,O,X,O,X,X,O,O,X
IJOSTLZ,O,X,X,X,X,O,O,X,X,X,O,O,X
IJOSTZL,O,X,X,X,X,X,X,O,X,X,O,O,X
IJOSLTZ,O,X,X,X,X,O,X,O,X,X,O,O,X
IJOSLZT,X,X,X,X,X,O,X,O,X,X,O,O,X
IJOSZTL,X,X,X,X,X,X,O,O,X,X,O,O,X
IJOSZLT,X,X,X,X,X,O,X,X,X,X,O,O,X
IJOZTLS,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOZLST,X,X,X,X,X,O,X,O,X,X,O,O,X
IJOZSTL,X,X,X,X,X,X,O,O,X,X,O,O,X
IJOZSLT,X,X,X,X,X,O,X,X,X,X,O,O,X
ISTLJZO,O,O,O,O,X,O,X,X,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ISTLZJO,O,O,O,X,X,O,X,X,X,X,X,X,X
ISTLZOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTJLZO,O,O,O,O,X,O,X,X,X,X,X,O,X
ISTJLOZ,X,O,X,O,X,O,X,X,X,X,O,O,X
