sequence,v115@OhB8GeC8BeC8BeD8JeZEJvhFUgBFhBXiB6oBWqBTrB,v115@OhB8GeC8BeC8BeD8JeZEJvhFGgB/mBFiB6oBzkBUrB,v115@OhB8GeC8BeC8BeD8JeZEJvhFukBclBXiB6oBVrBTrB
IJTSZOL,O,X,O
IJTSOLZ,O,X,X
IJTSOZL,O,X,X
IJTZLSO,O,X,O
IJTZLOS,O,X,O
IJTZSLO,O,X,O
IJTZSOL,O,X,O
IJTZOLS,O,X,O
IJTZOSL,O,X,O
IJTOLSZ,O,X,X
IJTOLZS,O,X,X
IJTOSLZ,O,X,X
IJTOSZL,O,X,X
IJTOZLS,O,X,X
IJTOZSL,O,X,X
IJLTSZO,O,X,O
IJLTSOZ,O,X,X
IJLTZSO,O,X,O
IJLTZOS,O,X,O
IJLTOSZ,O,X,X
IJLTOZS,O,X,X
IJLSTZO,O,X,O
IJLSTOZ,O,X,X
IJLSZTO,O,X,O
IJLSZOT,O,X,X
IJLSOTZ,O,X,X
IJLSOZT,O,X,X
IJLZTSO,O,O,O
IJLZTOS,O,X,O
IJLZSTO,O,O,O
IJLZSOT,O,O,X
IJLZOTS,O,O,O
IJLZOST,O,O,X
IJLOTSZ,O,X,X
IJLOTZS,O,O,X
IJLOSTZ,O,X,X
IJLOSZT,O,O,X
IJLOZTS,O,O,O
IJLOZST,O,O,X
IJSTLZO,O,X,O
IJSTLOZ,O,X,X
IJSTZLO,O,X,O
IJSTZOL,O,X,O
IJSTOLZ,O,X,X
IJSTOZL,O,X,X
IJSLTZO,O,X,O
IJSLTOZ,O,X,X
IJSLZTO,O,X,O
IJSLZOT,O,X,X
IJSLOTZ,O,X,X
IJSLOZT,O,X,X
IJSZTLO,O,X,O
IJSZTOL,O,X,O
IJSZLTO,O,X,O
IJSZLOT,O,X,X
IJSZOTL,O,X,X
IJSZOLT,O,X,X
IJSOTLZ,O,X,X
IJSOTZL,O,X,X
IJSOLTZ,O,X,X
IJSOLZT,O,X,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,O,O,O
IJZTLOS,O,X,O
IJZTSLO,O,O,O
IJZTSOL,O,O,O
IJZTOLS,O,X,O
IJZTOSL,O,X,O
IJZLTSO,O,O,O
IJZLTOS,O,X,O
IJZLSTO,O,O,O
IJZLSOT,O,O,X
IJZLOTS,O,O,O
IJZLOST,O,O,X
IJZSTLO,O,O,O
IJZSTOL,O,O,O
IJZSLTO,O,O,O
IJZSLOT,O,O,X
IJZSOTL,O,O,X
IJZSOLT,O,O,X
IJZOTLS,O,O,O
IJZOTSL,O,O,O
IJZOLTS,O,O,O
IJZOLST,O,O,X
IJZOSTL,O,O,X
IJZOSLT,O,O,X
IJOTLSZ,O,X,X
IJOTLZS,O,O,X
IJOTSLZ,O,X,X
IJOTSZL,O,X,X
IJOTZLS,O,O,X
IJOTZSL,O,O,X
IJOLTSZ,O,X,X
IJOLTZS,O,O,X
IJOLSTZ,O,X,X
IJOLSZT,O,O,X
IJOLZTS,O,O,O
IJOLZST,O,O,X
IJOSTLZ,O,X,X
IJOSTZL,O,X,X
IJOSLTZ,O,X,X
IJOSLZT,O,O,X
IJOSZTL,O,O,X
IJOSZLT,O,O,X
IJOZTLS,O,O,O
IJOZTSL,O,O,O
IJOZLTS,O,O,O
IJOZLST,O,O,X
IJOZSTL,O,O,X
IJOZSLT,O,O,X
ISTLJZO,O,X,O
ISTLJOZ,O,X,X
ISTLZJO,O,X,O
ISTLZOJ,X,X,O
ISTLOJZ,O,X,X
ISTLOZJ,X,X,O
ISTJLZO,O,X,O
ISTJLOZ,O,X,X
ISTJZLO,O,X,O
ISTJZOL,O,X,O
ISTJOLZ,O,X,X
ISTJOZL,O,X,X
ISTZLJO,O,X,O
ISTZLOJ,X,X,O
ISTZJLO,O,X,O
ISTZJOL,O,X,O
ISTZOLJ,X,X,O
ISTZOJL,X,X,O
ISTOLJZ,O,X,X
ISTOLZJ,X,X,O
ISTOJLZ,O,X,X
ISTOJZL,O,X,X
ISTOZLJ,X,X,O
ISTOZJL,X,X,O
ISLTJZO,O,X,O
ISLTJOZ,O,X,X
ISLTZJO,O,X,O
ISLTZOJ,X,X,O
ISLTOJZ,O,X,X
ISLTOZJ,X,X,O
ISLJTZO,O,X,O
ISLJTOZ,O,X,X
ISLJZTO,O,X,O
ISLJZOT,O,X,X
ISLJOTZ,O,X,X
ISLJOZT,O,X,X
ISLZTJO,O,O,O
ISLZTOJ,X,O,O
ISLZJTO,O,O,O
ISLZJOT,O,O,X
ISLZOTJ,X,O,X
ISLZOJT,X,O,X
ISLOTJZ,O,X,X
ISLOTZJ,O,X,O
ISLOJTZ,O,X,X
ISLOJZT,O,O,X
ISLOZTJ,O,O,X
ISLOZJT,O,O,X
ISJTLZO,O,X,O
ISJTLOZ,O,X,X
ISJTZLO,O,X,O
ISJTZOL,O,X,O
ISJTOLZ,O,X,X
ISJTOZL,O,X,X
ISJLTZO,O,X,O
ISJLTOZ,O,X,X
ISJLZTO,O,X,O
ISJLZOT,O,X,X
ISJLOTZ,O,X,X
ISJLOZT,O,X,X
ISJZTLO,O,X,O
ISJZTOL,O,X,O
ISJZLTO,O,X,O
ISJZLOT,O,X,X
ISJZOTL,O,X,X
ISJZOLT,O,X,X
ISJOTLZ,O,X,X
ISJOTZL,O,X,X
ISJOLTZ,O,X,X
ISJOLZT,O,X,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,O,O,O
ISZTLOJ,X,O,O
ISZTJLO,O,O,O
ISZTJOL,O,O,O
ISZTOLJ,X,O,O
ISZTOJL,X,O,O
ISZLTJO,O,O,O
ISZLTOJ,X,O,O
ISZLJTO,O,O,O
ISZLJOT,O,O,X
ISZLOTJ,X,O,X
ISZLOJT,X,O,X
ISZJTLO,O,O,O
ISZJTOL,O,O,O
ISZJLTO,O,O,O
ISZJLOT,O,O,X
ISZJOTL,O,O,X
ISZJOLT,O,O,X
ISZOTLJ,X,O,X
ISZOTJL,X,O,X
ISZOLTJ,X,O,X
ISZOLJT,X,O,X
ISZOJTL,X,O,X
ISZOJLT,X,O,X
ISOTLJZ,O,X,X
ISOTLZJ,O,X,O
ISOTJLZ,O,X,X
ISOTJZL,O,X,X
ISOTZLJ,O,X,O
ISOTZJL,O,X,O
ISOLTJZ,O,X,X
ISOLTZJ,O,X,O
ISOLJTZ,O,X,X
ISOLJZT,O,O,X
ISOLZTJ,O,O,X
ISOLZJT,O,O,X
ISOJTLZ,O,X,X
ISOJTZL,O,X,X
ISOJLTZ,O,X,X
ISOJLZT,O,O,X
ISOJZTL,O,O,X
ISOJZLT,O,O,X
ISOZTLJ,O,O,X
ISOZTJL,O,O,X
ISOZLTJ,O,O,X
ISOZLJT,O,O,X
ISOZJTL,O,O,X
ISOZJLT,O,O,X
IZTLJSO,X,O,O
IZTLJOS,X,X,O
IZTLSJO,X,O,O
IZTLSOJ,X,O,O
IZTLOJS,X,O,O
IZTLOSJ,X,O,O
IZTJLSO,X,O,O
IZTJLOS,X,X,O
IZTJSLO,X,O,O
IZTJSOL,X,O,O
IZTJOLS,X,X,O
IZTJOSL,X,X,O
IZTSLJO,X,O,O
IZTSLOJ,X,O,O
IZTSJLO,X,O,O
IZTSJOL,X,O,O
IZTSOLJ,X,O,O
IZTSOJL,X,O,O
IZTOLJS,X,O,O
IZTOLSJ,X,O,O
IZTOJLS,X,O,O
IZTOJSL,X,O,O
IZTOSLJ,X,O,O
IZTOSJL,X,O,O
IZLTJSO,X,O,O
IZLTJOS,X,X,O
IZLTSJO,X,O,O
IZLTSOJ,X,O,O
IZLTOJS,X,O,O
IZLTOSJ,X,O,O
IZLJTSO,O,O,O
IZLJTOS,O,X,O
IZLJSTO,O,O,O
IZLJSOT,O,O,X
IZLJOTS,O,O,O
IZLJOST,O,O,X
IZLSTJO,O,O,O
IZLSTOJ,X,O,O
IZLSJTO,O,O,O
IZLSJOT,O,O,X
IZLSOTJ,X,O,X
IZLSOJT,X,O,X
IZLOTJS,O,O,O
IZLOTSJ,O,O,O
IZLOJTS,O,O,O
IZLOJST,O,O,X
IZLOSTJ,O,O,X
IZLOSJT,O,O,X
IZJTLSO,O,O,O
IZJTLOS,O,X,O
IZJTSLO,O,O,O
IZJTSOL,O,O,O
IZJTOLS,O,X,O
IZJTOSL,O,X,O
IZJLTSO,O,O,O
IZJLTOS,O,X,O
IZJLSTO,O,O,O
IZJLSOT,O,O,X
IZJLOTS,O,O,O
IZJLOST,O,O,X
IZJSTLO,O,O,O
IZJSTOL,O,O,O
IZJSLTO,O,O,O
IZJSLOT,O,O,X
IZJSOTL,O,O,X
IZJSOLT,O,O,X
IZJOTLS,O,O,O
IZJOTSL,O,O,O
IZJOLTS,O,O,O
IZJOLST,O,O,X
IZJOSTL,O,O,X
IZJOSLT,O,O,X
IZSTLJO,O,O,O
IZSTLOJ,X,O,O
IZSTJLO,O,O,O
IZSTJOL,O,O,O
IZSTOLJ,X,O,O
IZSTOJL,X,O,O
IZSLTJO,O,O,O
IZSLTOJ,X,O,O
IZSLJTO,O,O,O
IZSLJOT,O,O,X
IZSLOTJ,X,O,X
IZSLOJT,X,O,X
IZSJTLO,O,O,O
IZSJTOL,O,O,O
IZSJLTO,O,O,O
IZSJLOT,O,O,X
IZSJOTL,O,O,X
IZSJOLT,O,O,X
IZSOTLJ,X,O,X
IZSOTJL,X,O,X
IZSOLTJ,X,O,X
IZSOLJT,X,O,X
IZSOJTL,X,O,X
IZSOJLT,X,O,X
IZOTLJS,O,O,O
IZOTLSJ,O,O,O
IZOTJLS,O,O,O
IZOTJSL,O,O,O
IZOTSLJ,O,O,O
IZOTSJL,O,O,O
IZOLTJS,O,O,O
IZOLTSJ,O,O,O
IZOLJTS,O,O,O
IZOLJST,O,O,X
IZOLSTJ,O,O,X
IZOLSJT,O,O,X
IZOJTLS,O,O,O
IZOJTSL,O,O,O
IZOJLTS,O,O,O
IZOJLST,O,O,X
IZOJSTL,O,O,X
IZOJSLT,O,O,X
IZOSTLJ,O,O,X
IZOSTJL,O,O,X
IZOSLTJ,O,O,X
IZOSLJT,O,O,X
IZOSJTL,O,O,X
IZOSJLT,O,O,X
IOTLJSZ,O,X,X
IOTLJZS,O,O,X
IOTLSJZ,O,X,X
IOTLSZJ,O,X,O
IOTLZJS,O,O,O
IOTLZSJ,O,O,O
IOTJLSZ,O,X,X
IOTJLZS,O,O,X
IOTJSLZ,O,X,X
IOTJSZL,O,X,X
IOTJZLS,O,O,X
IOTJZSL,O,O,X
IOTSLJZ,O,X,X
IOTSLZJ,O,X,O
IOTSJLZ,O,X,X
IOTSJZL,O,X,X
IOTSZLJ,O,X,O
IOTSZJL,O,X,O
IOTZLJS,O,O,O
IOTZLSJ,O,O,O
IOTZJLS,O,O,O
IOTZJSL,O,O,O
IOTZSLJ,O,O,O
IOTZSJL,O,O,O
IOLTJSZ,O,X,X
IOLTJZS,O,O,X
IOLTSJZ,O,X,X
IOLTSZJ,O,X,O
IOLTZJS,O,O,O
IOLTZSJ,O,O,O
IOLJTSZ,O,X,X
IOLJTZS,O,O,X
IOLJSTZ,O,X,X
IOLJSZT,O,O,X
IOLJZTS,O,O,O
IOLJZST,O,O,X
IOLSTJZ,O,X,X
IOLSTZJ,O,X,O
IOLSJTZ,O,X,X
IOLSJZT,O,O,X
IOLSZTJ,O,O,X
IOLSZJT,O,O,X
IOLZTJS,O,O,O
IOLZTSJ,O,O,O
IOLZJTS,O,O,O
IOLZJST,O,O,X
IOLZSTJ,O,O,X
IOLZSJT,O,O,X
IOJTLSZ,O,X,X
IOJTLZS,O,O,X
IOJTSLZ,O,X,X
IOJTSZL,O,X,X
IOJTZLS,O,O,X
IOJTZSL,O,O,X
IOJLTSZ,O,X,X
IOJLTZS,O,O,X
IOJLSTZ,O,X,X
IOJLSZT,O,O,X
IOJLZTS,O,O,O
IOJLZST,O,O,X
IOJSTLZ,O,X,X
IOJSTZL,O,X,X
IOJSLTZ,O,X,X
IOJSLZT,O,O,X
IOJSZTL,O,O,X
IOJSZLT,O,O,X
IOJZTLS,O,O,O
IOJZTSL,O,O,O
IOJZLTS,O,O,O
IOJZLST,O,O,X
IOJZSTL,O,O,X
IOJZSLT,O,O,X
IOSTLJZ,O,X,X
IOSTLZJ,O,X,O
IOSTJLZ,O,X,X
IOSTJZL,O,X,X
IOSTZLJ,O,X,O
IOSTZJL,O,X,O
IOSLTJZ,O,X,X
IOSLTZJ,O,X,O
IOSLJTZ,O,X,X
IOSLJZT,O,O,X
IOSLZTJ,O,O,X
IOSLZJT,O,O,X
IOSJTLZ,O,X,X
IOSJTZL,O,X,X
IOSJLTZ,O,X,X
IOSJLZT,O,O,X
IOSJZTL,O,O,X
IOSJZLT,O,O,X
IOSZTLJ,O,O,X
IOSZTJL,O,O,X
IOSZLTJ,O,O,X
IOSZLJT,O,O,X
IOSZJTL,O,O,X
IOSZJLT,O,O,X
IOZTLJS,O,O,O
IOZTLSJ,O,O,O
IOZTJLS,O,O,O
IOZTJSL,O,O,O
IOZTSLJ,O,O,O
IOZTSJL,O,O,O
IOZLTJS,O,O,O
IOZLTSJ,O,O,O
IOZLJTS,O,O,O
IOZLJST,O,O,X
IOZLSTJ,O,O,X
IOZLSJT,O,O,X
IOZJTLS,O,O,O
IOZJTSL,O,O,O
IOZJLTS,O,O,O
IOZJLST,O,O,X
IOZJSTL,O,O,X
IOZJSLT,O,O,X
IOZSTLJ,O,O,X
IOZSTJL,O,O,X
IOZSLTJ,O,O,X
IOZSLJT,O,O,X
IOZSJTL,O,O,X
IOZSJLT,O,O,X
LTIJSZO,O,X,O
LTIJSOZ,O,X,X
LTIJZSO,O,X,O
LTIJZOS,O,X,O
LTIJOSZ,O,X,X
LTIJOZS,O,X,X
LTISJZO,O,X,O
LTISJOZ,O,X,X
LTISZJO,O,X,O
LTISZOJ,X,X,O
LTISOJZ,O,X,X
LTISOZJ,X,X,O
LTIZJSO,X,O,O
LTIZJOS,X,X,O
LTIZSJO,X,O,O
LTIZSOJ,X,O,O
LTIZOJS,X,O,O
LTIZOSJ,X,O,O
LTIOJSZ,O,X,X
LTIOJZS,O,O,X
LTIOSJZ,O,X,X
LTIOSZJ,O,X,O
LTIOZJS,O,O,O
LTIOZSJ,O,O,O
LTJISZO,O,X,O
LTJISOZ,O,X,X
LTJIZSO,O,X,O
LTJIZOS,O,X,O
LTJIOSZ,O,X,X
LTJIOZS,O,X,X
LTJSIZO,O,X,O
LTJSIOZ,O,X,X
LTJSZIO,O,X,O
LTJSZOI,O,X,O
LTJSOIZ,O,X,X
LTJSOZI,O,X,X
LTJZISO,O,X,O
LTJZIOS,O,X,O
LTJZSIO,O,X,O
LTJZSOI,O,X,O
LTJZOIS,O,X,O
LTJZOSI,O,X,O
LTJOISZ,O,X,X
LTJOIZS,O,X,X
LTJOSIZ,O,X,X
LTJOSZI,O,X,X
LTJOZIS,O,X,X
LTJOZSI,O,X,X
LTSIJZO,O,X,O
LTSIJOZ,O,X,X
LTSIZJO,O,X,O
LTSIZOJ,X,X,O
LTSIOJZ,O,X,X
LTSIOZJ,X,X,O
LTSJIZO,O,X,O
LTSJIOZ,O,X,X
LTSJZIO,O,X,O
LTSJZOI,O,X,O
LTSJOIZ,O,X,X
LTSJOZI,O,X,X
LTSZIJO,O,X,O
LTSZIOJ,X,X,O
LTSZJIO,O,X,O
LTSZJOI,O,X,O
LTSZOIJ,X,X,O
LTSZOJI,X,X,O
LTSOIJZ,O,X,X
LTSOIZJ,X,X,O
LTSOJIZ,O,X,X
LTSOJZI,O,X,X
LTSOZIJ,X,X,O
LTSOZJI,X,X,O
LTZIJSO,X,O,O
LTZIJOS,X,X,O
LTZISJO,X,O,O
LTZISOJ,X,O,O
LTZIOJS,X,O,O
LTZIOSJ,X,O,O
LTZJISO,X,O,O
LTZJIOS,X,X,O
LTZJSIO,X,O,O
LTZJSOI,X,O,O
LTZJOIS,X,X,O
LTZJOSI,X,X,O
LTZSIJO,X,O,O
LTZSIOJ,X,O,O
LTZSJIO,X,O,O
LTZSJOI,X,O,O
LTZSOIJ,X,O,O
LTZSOJI,X,O,O
LTZOIJS,X,O,O
LTZOISJ,X,O,O
LTZOJIS,X,O,O
LTZOJSI,X,O,O
LTZOSIJ,X,O,O
LTZOSJI,X,O,O
LTOIJSZ,O,X,X
LTOIJZS,O,O,X
LTOISJZ,O,X,X
LTOISZJ,O,X,O
LTOIZJS,O,O,O
LTOIZSJ,O,O,O
LTOJISZ,O,X,X
LTOJIZS,O,O,X
LTOJSIZ,O,X,X
LTOJSZI,O,X,X
LTOJZIS,O,O,X
LTOJZSI,O,O,X
LTOSIJZ,O,X,X
LTOSIZJ,O,X,O
LTOSJIZ,O,X,X
LTOSJZI,O,X,X
LTOSZIJ,O,X,O
LTOSZJI,O,X,O
LTOZIJS,O,O,O
LTOZISJ,O,O,O
LTOZJIS,O,O,O
LTOZJSI,O,O,O
LTOZSIJ,O,O,O
LTOZSJI,O,O,O
LITJSZO,O,X,O
LITJSOZ,O,X,X
LITJZSO,O,X,O
LITJZOS,O,X,O
LITJOSZ,O,X,X
LITJOZS,O,X,X
LITSJZO,O,X,O
LITSJOZ,O,X,X
LITSZJO,O,X,O
LITSZOJ,X,X,O
LITSOJZ,O,X,X
LITSOZJ,X,X,O
LITZJSO,X,O,O
LITZJOS,X,X,O
LITZSJO,X,O,O
LITZSOJ,X,O,O
LITZOJS,X,O,O
LITZOSJ,X,O,O
LITOJSZ,O,X,X
LITOJZS,O,O,X
LITOSJZ,O,X,X
LITOSZJ,O,X,O
LITOZJS,O,O,O
LITOZSJ,O,O,O
LIJTSZO,O,X,O
LIJTSOZ,O,X,X
LIJTZSO,O,X,O
LIJTZOS,O,X,O
LIJTOSZ,O,X,X
LIJTOZS,O,X,X
LIJSTZO,O,X,O
LIJSTOZ,O,X,X
LIJSZTO,O,X,O
LIJSZOT,O,X,X
LIJSOTZ,O,X,X
LIJSOZT,O,X,X
LIJZTSO,O,O,O
LIJZTOS,O,X,O
LIJZSTO,O,O,O
LIJZSOT,O,O,X
LIJZOTS,O,O,O
LIJZOST,O,O,X
LIJOTSZ,O,X,X
LIJOTZS,O,O,X
LIJOSTZ,O,X,X
LIJOSZT,O,O,X
LIJOZTS,O,O,O
LIJOZST,O,O,X
LISTJZO,O,X,O
LISTJOZ,O,X,X
LISTZJO,O,X,O
LISTZOJ,X,X,O
LISTOJZ,O,X,X
LISTOZJ,X,X,O
LISJTZO,O,X,O
LISJTOZ,O,X,X
LISJZTO,O,X,O
LISJZOT,O,X,X
LISJOTZ,O,X,X
LISJOZT,O,X,X
LISZTJO,O,O,O
LISZTOJ,X,O,O
LISZJTO,O,O,O
LISZJOT,O,O,X
LISZOTJ,X,O,X
LISZOJT,X,O,X
LISOTJZ,O,X,X
LISOTZJ,O,X,O
LISOJTZ,O,X,X
LISOJZT,O,O,X
LISOZTJ,O,O,X
LISOZJT,O,O,X
LIZTJSO,X,O,O
LIZTJOS,X,X,O
LIZTSJO,X,O,O
LIZTSOJ,X,O,O
LIZTOJS,X,O,O
LIZTOSJ,X,O,O
LIZJTSO,O,O,O
LIZJTOS,O,X,O
LIZJSTO,O,O,O
LIZJSOT,O,O,X
LIZJOTS,O,O,O
LIZJOST,O,O,X
LIZSTJO,O,O,O
LIZSTOJ,X,O,O
LIZSJTO,O,O,O
LIZSJOT,O,O,X
LIZSOTJ,X,O,X
LIZSOJT,X,O,X
LIZOTJS,O,O,O
LIZOTSJ,O,O,O
LIZOJTS,O,O,O
LIZOJST,O,O,X
LIZOSTJ,O,O,X
LIZOSJT,O,O,X
LIOTJSZ,O,X,X
LIOTJZS,O,O,X
LIOTSJZ,O,X,X
LIOTSZJ,O,X,O
LIOTZJS,O,O,O
LIOTZSJ,O,O,O
LIOJTSZ,O,X,X
LIOJTZS,O,O,X
LIOJSTZ,O,X,X
LIOJSZT,O,O,X
LIOJZTS,O,O,O
LIOJZST,O,O,X
LIOSTJZ,O,X,X
LIOSTZJ,O,X,O
LIOSJTZ,O,X,X
LIOSJZT,O,O,X
LIOSZTJ,O,O,X
LIOSZJT,O,O,X
LIOZTJS,O,O,O
LIOZTSJ,O,O,O
LIOZJTS,O,O,O
LIOZJST,O,O,X
LIOZSTJ,O,O,X
LIOZSJT,O,O,X
LJTISZO,O,X,O
LJTISOZ,O,X,X
LJTIZSO,O,X,O
LJTIZOS,O,X,O
LJTIOSZ,O,X,X
LJTIOZS,O,X,X
LJTSIZO,O,X,O
LJTSIOZ,O,X,X
LJTSZIO,O,X,O
LJTSZOI,O,X,O
LJTSOIZ,O,X,X
LJTSOZI,O,X,X
LJTZISO,O,X,O
LJTZIOS,O,X,O
LJTZSIO,O,X,O
LJTZSOI,O,X,O
LJTZOIS,O,X,O
LJTZOSI,O,X,O
LJTOISZ,O,X,X
LJTOIZS,O,X,X
LJTOSIZ,O,X,X
LJTOSZI,O,X,X
LJTOZIS,O,X,X
LJTOZSI,O,X,X
LJITSZO,O,X,O
LJITSOZ,O,X,X
LJITZSO,O,X,O
LJITZOS,O,X,O
LJITOSZ,O,X,X
LJITOZS,O,X,X
LJISTZO,O,X,O
LJISTOZ,O,X,X
LJISZTO,O,X,O
LJISZOT,O,X,X
LJISOTZ,O,X,X
LJISOZT,O,X,X
LJIZTSO,O,O,O
LJIZTOS,O,X,O
LJIZSTO,O,O,O
LJIZSOT,O,O,X
LJIZOTS,O,O,O
LJIZOST,O,O,X
LJIOTSZ,O,X,X
LJIOTZS,O,O,X
LJIOSTZ,O,X,X
LJIOSZT,O,O,X
LJIOZTS,O,O,O
LJIOZST,O,O,X
LJSTIZO,O,X,O
LJSTIOZ,O,X,X
LJSTZIO,O,X,O
LJSTZOI,O,X,O
LJSTOIZ,O,X,X
LJSTOZI,O,X,X
LJSITZO,O,X,O
LJSITOZ,O,X,X
LJSIZTO,O,X,O
LJSIZOT,O,X,X
LJSIOTZ,O,X,X
LJSIOZT,O,X,X
LJSZTIO,O,X,O
LJSZTOI,O,X,O
LJSZITO,O,X,O
LJSZIOT,O,X,X
LJSZOTI,O,X,X
LJSZOIT,O,X,X
LJSOTIZ,O,X,X
LJSOTZI,O,X,X
LJSOITZ,O,X,X
LJSOIZT,O,X,X
LJSOZTI,O,X,X
LJSOZIT,O,X,X
LJZTISO,O,O,O
LJZTIOS,O,X,O
LJZTSIO,O,O,O
LJZTSOI,O,O,O
LJZTOIS,O,X,O
LJZTOSI,O,X,O
LJZITSO,O,O,O
LJZITOS,O,X,O
LJZISTO,O,O,O
LJZISOT,O,O,X
LJZIOTS,O,O,O
LJZIOST,O,O,X
LJZSTIO,O,O,O
LJZSTOI,O,O,O
LJZSITO,O,O,O
LJZSIOT,O,O,X
LJZSOTI,O,O,X
LJZSOIT,O,O,X
LJZOTIS,O,O,O
LJZOTSI,O,O,O
LJZOITS,O,O,O
LJZOIST,O,O,X
LJZOSTI,O,O,X
LJZOSIT,O,O,X
LJOTISZ,O,X,X
LJOTIZS,O,O,X
LJOTSIZ,O,X,X
LJOTSZI,O,X,X
LJOTZIS,O,O,X
LJOTZSI,O,O,X
LJOITSZ,O,X,X
LJOITZS,O,O,X
LJOISTZ,O,X,X
LJOISZT,O,O,X
LJOIZTS,O,O,O
LJOIZST,O,O,X
LJOSTIZ,O,X,X
LJOSTZI,O,X,X
LJOSITZ,O,X,X
LJOSIZT,O,O,X
LJOSZTI,O,O,X
LJOSZIT,O,O,X
LJOZTIS,O,O,O
LJOZTSI,O,O,O
LJOZITS,O,O,O
LJOZIST,O,O,X
LJOZSTI,O,O,X
LJOZSIT,O,O,X
LSTIJZO,O,X,O
LSTIJOZ,O,X,X
LSTIZJO,O,X,O
LSTIZOJ,X,X,O
LSTIOJZ,O,X,X
LSTIOZJ,X,X,O
LSTJIZO,O,X,O
LSTJIOZ,O,X,X
LSTJZIO,O,X,O
LSTJZOI,O,X,O
LSTJOIZ,O,X,X
LSTJOZI,O,X,X
LSTZIJO,O,X,O
LSTZIOJ,X,X,O
LSTZJIO,O,X,O
LSTZJOI,O,X,O
LSTZOIJ,X,X,O
LSTZOJI,X,X,O
LSTOIJZ,O,X,X
LSTOIZJ,X,X,O
LSTOJIZ,O,X,X
LSTOJZI,O,X,X
LSTOZIJ,X,X,O
LSTOZJI,X,X,O
LSITJZO,O,X,O
LSITJOZ,O,X,X
LSITZJO,O,X,O
LSITZOJ,X,X,O
LSITOJZ,O,X,X
LSITOZJ,X,X,O
LSIJTZO,O,X,O
LSIJTOZ,O,X,X
LSIJZTO,O,X,O
LSIJZOT,O,X,X
LSIJOTZ,O,X,X
LSIJOZT,O,X,X
LSIZTJO,O,O,O
LSIZTOJ,X,O,O
LSIZJTO,O,O,O
LSIZJOT,O,O,X
LSIZOTJ,X,O,X
LSIZOJT,X,O,X
LSIOTJZ,O,X,X
LSIOTZJ,O,X,O
LSIOJTZ,O,X,X
LSIOJZT,O,O,X
LSIOZTJ,O,O,X
LSIOZJT,O,O,X
LSJTIZO,O,X,O
LSJTIOZ,O,X,X
LSJTZIO,O,X,O
LSJTZOI,O,X,O
LSJTOIZ,O,X,X
LSJTOZI,O,X,X
LSJITZO,O,X,O
LSJITOZ,O,X,X
LSJIZTO,O,X,O
LSJIZOT,O,X,X
LSJIOTZ,O,X,X
LSJIOZT,O,X,X
LSJZTIO,O,X,O
LSJZTOI,O,X,O
LSJZITO,O,X,O
LSJZIOT,O,X,X
LSJZOTI,O,X,X
LSJZOIT,O,X,X
LSJOTIZ,O,X,X
LSJOTZI,O,X,X
LSJOITZ,O,X,X
LSJOIZT,O,X,X
LSJOZTI,O,X,X
LSJOZIT,O,X,X
LSZTIJO,O,O,O
LSZTIOJ,X,O,O
LSZTJIO,O,O,O
LSZTJOI,O,O,O
LSZTOIJ,X,O,O
LSZTOJI,X,O,O
LSZITJO,O,O,O
LSZITOJ,X,O,O
LSZIJTO,O,O,O
LSZIJOT,O,O,X
LSZIOTJ,X,O,X
LSZIOJT,X,O,X
LSZJTIO,O,O,O
LSZJTOI,O,O,O
LSZJITO,O,O,O
LSZJIOT,O,O,X
LSZJOTI,O,O,X
LSZJOIT,O,O,X
LSZOTIJ,X,O,X
LSZOTJI,X,O,X
LSZOITJ,X,O,X
LSZOIJT,X,O,X
LSZOJTI,X,O,X
LSZOJIT,X,O,X
LSOTIJZ,O,X,X
LSOTIZJ,O,X,O
LSOTJIZ,O,X,X
LSOTJZI,O,X,X
LSOTZIJ,O,X,O
LSOTZJI,O,X,O
LSOITJZ,O,X,X
LSOITZJ,O,X,O
LSOIJTZ,O,X,X
LSOIJZT,O,O,X
LSOIZTJ,O,O,X
LSOIZJT,O,O,X
LSOJTIZ,O,X,X
LSOJTZI,O,X,X
LSOJITZ,O,X,X
LSOJIZT,O,O,X
LSOJZTI,O,O,X
LSOJZIT,O,O,X
LSOZTIJ,O,O,X
LSOZTJI,O,O,X
LSOZITJ,O,O,X
LSOZIJT,O,O,X
LSOZJTI,O,O,X
LSOZJIT,O,O,X
LZTIJSO,X,O,O
LZTIJOS,X,X,O
LZTISJO,X,O,O
LZTISOJ,X,O,O
LZTIOJS,X,O,O
LZTIOSJ,X,O,O
LZTJISO,X,O,O
LZTJIOS,X,X,O
LZTJSIO,X,O,O
LZTJSOI,X,O,O
LZTJOIS,X,X,O
LZTJOSI,X,X,O
LZTSIJO,X,O,O
LZTSIOJ,X,O,O
LZTSJIO,X,O,O
LZTSJOI,X,O,O
LZTSOIJ,X,O,O
LZTSOJI,X,O,O
LZTOIJS,X,O,O
LZTOISJ,X,O,O
LZTOJIS,X,O,O
LZTOJSI,X,O,O
LZTOSIJ,X,O,O
LZTOSJI,X,O,O
LZITJSO,X,O,O
LZITJOS,X,X,O
LZITSJO,X,O,O
