sequence,v115@ThA8EeB8AeI8JeZEJvhFupBFmBXnBToB0qBSxB,v115@ThA8EeB8AeI8Jei/IvhFRhB+nBTjBcpBlqB3rB,v115@ThA8EeB8AeI8JeZEJvhFupBfsB6sBToBlqBUrB
STLZOIJ,X,X,X
STLZOJI,X,X,X
STLOIJZ,X,X,O
STLOIZJ,X,X,X
STLOJIZ,X,X,O
STLOJZI,X,X,X
STLOZIJ,X,X,X
STLOZJI,X,X,X
STJILZO,X,X,X
STJILOZ,X,X,O
STJIZLO,X,O,X
STJIZOL,X,O,X
STJIOLZ,X,X,O
STJIOZL,X,O,X
STJLIZO,X,X,X
STJLIOZ,X,X,O
STJLZIO,X,X,X
STJLZOI,X,X,X
STJLOIZ,X,X,O
STJLOZI,X,X,X
STJZILO,X,O,X
STJZIOL,X,O,X
STJZLIO,X,O,X
STJZLOI,X,O,X
STJZOIL,X,O,X
STJZOLI,X,O,X
STJOILZ,X,X,O
STJOIZL,X,O,X
STJOLIZ,X,X,O
STJOLZI,X,X,X
STJOZIL,X,O,X
STJOZLI,X,O,X
STZILJO,X,O,X
STZILOJ,X,X,X
STZIJLO,X,O,X
STZIJOL,X,O,X
STZIOLJ,X,X,X
STZIOJL,X,X,X
STZLIJO,X,O,X
STZLIOJ,X,X,X
STZLJIO,X,O,X
STZLJOI,X,O,X
STZLOIJ,X,X,X
STZLOJI,X,X,X
STZJILO,X,O,X
STZJIOL,X,O,X
STZJLIO,X,O,X
STZJLOI,X,O,X
STZJOIL,X,O,X
STZJOLI,X,O,X
STZOILJ,X,X,X
STZOIJL,X,X,X
STZOLIJ,X,X,X
STZOLJI,X,X,X
STZOJIL,X,X,X
STZOJLI,X,X,X
STOILJZ,X,X,O
STOILZJ,X,X,X
STOIJLZ,X,X,O
STOIJZL,X,X,X
STOIZLJ,X,X,X
STOIZJL,X,X,X
STOLIJZ,X,X,O
STOLIZJ,X,X,X
STOLJIZ,X,X,O
STOLJZI,X,X,X
STOLZIJ,X,X,X
STOLZJI,X,X,X
STOJILZ,X,X,O
STOJIZL,X,X,X
STOJLIZ,X,X,O
STOJLZI,X,X,X
STOJZIL,X,X,X
STOJZLI,X,X,X
STOZILJ,X,X,X
STOZIJL,X,X,X
STOZLIJ,X,X,X
STOZLJI,X,X,X
STOZJIL,X,X,X
STOZJLI,X,X,X
SITLJZO,X,X,X
SITLJOZ,X,X,O
SITLZJO,X,X,X
SITLZOJ,X,X,X
SITLOJZ,X,X,O
SITLOZJ,X,X,X
SITJLZO,X,X,X
SITJLOZ,X,X,O
SITJZLO,X,X,X
SITJZOL,X,X,X
SITJOLZ,X,X,O
SITJOZL,X,X,X
SITZLJO,X,X,X
SITZLOJ,X,X,X
SITZJLO,X,X,X
SITZJOL,X,X,X
SITZOLJ,X,X,X
SITZOJL,X,X,X
SITOLJZ,X,X,O
SITOLZJ,X,X,X
SITOJLZ,X,X,O
SITOJZL,X,X,X
SITOZLJ,X,X,X
SITOZJL,X,X,X
SILTJZO,X,X,X
SILTJOZ,X,X,O
SILTZJO,X,X,X
SILTZOJ,X,X,X
SILTOJZ,X,X,O
SILTOZJ,X,X,X
SILJTZO,X,X,X
SILJTOZ,X,X,O
SILJZTO,X,X,X
SILJZOT,X,X,X
SILJOTZ,X,X,O
SILJOZT,X,X,X
SILZTJO,X,X,X
SILZTOJ,X,X,X
SILZJTO,X,X,X
SILZJOT,X,X,X
SILZOTJ,X,X,X
SILZOJT,X,X,X
SILOTJZ,X,X,O
SILOTZJ,X,X,X
SILOJTZ,X,X,O
SILOJZT,X,X,X
SILOZTJ,X,X,X
SILOZJT,X,X,X
SIJTLZO,X,X,X
SIJTLOZ,X,X,O
SIJTZLO,X,X,X
SIJTZOL,X,X,X
SIJTOLZ,X,X,O
SIJTOZL,X,X,X
SIJLTZO,X,X,X
SIJLTOZ,X,X,O
SIJLZTO,X,X,X
SIJLZOT,X,X,X
SIJLOTZ,X,X,O
SIJLOZT,X,X,X
SIJZTLO,X,X,X
SIJZTOL,X,X,X
SIJZLTO,X,X,X
SIJZLOT,X,O,X
SIJZOTL,X,X,X
SIJZOLT,X,O,X
SIJOTLZ,X,X,O
SIJOTZL,X,X,X
SIJOLTZ,X,X,O
SIJOLZT,X,X,X
SIJOZTL,X,X,X
SIJOZLT,X,O,X
SIZTLJO,X,X,X
SIZTLOJ,X,X,X
SIZTJLO,X,X,X
SIZTJOL,X,X,X
SIZTOLJ,X,X,X
SIZTOJL,X,X,X
SIZLTJO,X,X,X
SIZLTOJ,X,X,X
SIZLJTO,X,X,X
SIZLJOT,X,O,X
SIZLOTJ,X,X,X
SIZLOJT,X,X,X
SIZJTLO,X,X,X
SIZJTOL,X,X,X
SIZJLTO,X,X,X
SIZJLOT,X,O,X
SIZJOTL,X,X,X
SIZJOLT,X,O,X
SIZOTLJ,X,X,X
SIZOTJL,X,X,X
SIZOLTJ,X,X,X
SIZOLJT,X,X,X
SIZOJTL,X,X,X
SIZOJLT,X,X,X
SIOTLJZ,X,X,O
SIOTLZJ,X,X,X
SIOTJLZ,X,X,O
SIOTJZL,X,X,X
SIOTZLJ,X,X,X
SIOTZJL,X,X,X
SIOLTJZ,X,X,O
SIOLTZJ,X,X,X
SIOLJTZ,X,X,O
SIOLJZT,X,X,X
SIOLZTJ,X,X,X
SIOLZJT,X,X,X
SIOJTLZ,X,X,O
SIOJTZL,X,X,X
SIOJLTZ,X,X,O
SIOJLZT,X,X,X
SIOJZTL,X,X,X
SIOJZLT,X,X,X
SIOZTLJ,X,X,X
SIOZTJL,X,X,X
SIOZLTJ,X,X,X
SIOZLJT,X,X,X
SIOZJTL,X,X,X
SIOZJLT,X,X,X
SLTIJZO,X,X,X
SLTIJOZ,X,X,O
SLTIZJO,X,X,X
SLTIZOJ,X,X,X
SLTIOJZ,X,X,O
SLTIOZJ,X,X,X
SLTJIZO,X,X,X
SLTJIOZ,X,X,O
SLTJZIO,X,X,X
SLTJZOI,X,X,X
SLTJOIZ,X,X,O
SLTJOZI,X,X,X
SLTZIJO,X,X,X
SLTZIOJ,X,X,X
SLTZJIO,X,X,X
SLTZJOI,X,X,X
SLTZOIJ,X,X,X
SLTZOJI,X,X,X
SLTOIJZ,X,X,O
SLTOIZJ,X,X,X
SLTOJIZ,X,X,O
SLTOJZI,X,X,X
SLTOZIJ,X,X,X
SLTOZJI,X,X,X
SLITJZO,X,X,X
SLITJOZ,X,X,O
SLITZJO,X,X,X
SLITZOJ,X,X,X
SLITOJZ,X,X,O
SLITOZJ,X,X,X
SLIJTZO,X,X,X
SLIJTOZ,X,X,O
SLIJZTO,X,X,X
SLIJZOT,X,X,X
SLIJOTZ,X,X,O
SLIJOZT,X,X,X
SLIZTJO,X,X,X
SLIZTOJ,X,X,X
SLIZJTO,X,X,X
SLIZJOT,X,X,X
SLIZOTJ,X,X,X
SLIZOJT,X,X,X
SLIOTJZ,X,X,O
SLIOTZJ,X,X,X
SLIOJTZ,X,X,O
SLIOJZT,X,X,X
SLIOZTJ,X,X,X
SLIOZJT,X,X,X
SLJTIZO,X,X,X
SLJTIOZ,X,X,O
SLJTZIO,X,X,X
SLJTZOI,X,X,X
SLJTOIZ,X,X,O
SLJTOZI,X,X,X
SLJITZO,X,X,X
SLJITOZ,X,X,O
SLJIZTO,X,X,X
SLJIZOT,X,X,X
SLJIOTZ,X,X,O
SLJIOZT,X,X,X
SLJZTIO,X,X,X
SLJZTOI,X,X,X
SLJZITO,X,X,X
SLJZIOT,X,X,X
SLJZOTI,X,X,X
SLJZOIT,X,X,X
SLJOTIZ,X,X,O
SLJOTZI,X,X,X
SLJOITZ,X,X,O
SLJOIZT,X,X,X
SLJOZTI,X,X,X
SLJOZIT,X,X,X
SLZTIJO,X,X,X
SLZTIOJ,X,X,X
SLZTJIO,X,X,X
SLZTJOI,X,X,X
SLZTOIJ,X,X,X
SLZTOJI,X,X,X
SLZITJO,X,X,X
SLZITOJ,X,X,X
SLZIJTO,X,X,X
SLZIJOT,X,X,X
SLZIOTJ,X,X,X
SLZIOJT,X,X,X
SLZJTIO,X,X,X
SLZJTOI,X,X,X
SLZJITO,X,X,X
SLZJIOT,X,X,X
SLZJOTI,X,X,X
SLZJOIT,X,X,X
SLZOTIJ,X,X,X
SLZOTJI,X,X,X
SLZOITJ,X,X,X
SLZOIJT,X,X,X
SLZOJTI,X,X,X
SLZOJIT,X,X,X
SLOTIJZ,X,X,O
SLOTIZJ,X,X,X
SLOTJIZ,X,X,O
SLOTJZI,X,X,X
SLOTZIJ,X,X,X
SLOTZJI,X,X,X
SLOITJZ,X,X,O
SLOITZJ,X,X,X
SLOIJTZ,X,X,O
SLOIJZT,X,X,X
SLOIZTJ,X,X,X
SLOIZJT,X,X,X
SLOJTIZ,X,X,O
SLOJTZI,X,X,X
SLOJITZ,X,X,O
SLOJIZT,X,X,X
SLOJZTI,X,X,X
SLOJZIT,X,X,X
SLOZTIJ,X,X,X
SLOZTJI,X,X,X
SLOZITJ,X,X,X
SLOZIJT,X,X,X
SLOZJTI,X,X,X
SLOZJIT,X,X,X
SJTILZO,X,X,X
SJTILOZ,X,X,O
SJTIZLO,X,O,X
SJTIZOL,X,O,X
SJTIOLZ,X,X,O
SJTIOZL,X,O,X
SJTLIZO,X,X,X
SJTLIOZ,X,X,O
SJTLZIO,X,X,X
SJTLZOI,X,X,X
SJTLOIZ,X,X,O
SJTLOZI,X,X,X
SJTZILO,X,O,X
SJTZIOL,X,O,X
SJTZLIO,X,O,X
SJTZLOI,X,O,X
SJTZOIL,X,O,X
SJTZOLI,X,O,X
SJTOILZ,X,X,O
SJTOIZL,X,O,X
SJTOLIZ,X,X,O
SJTOLZI,X,X,X
SJTOZIL,X,O,X
SJTOZLI,X,O,X
SJITLZO,X,X,X
SJITLOZ,X,X,O
SJITZLO,X,X,X
SJITZOL,X,X,X
SJITOLZ,X,X,O
SJITOZL,X,X,X
SJILTZO,X,X,X
SJILTOZ,X,X,O
SJILZTO,X,X,X
SJILZOT,X,X,X
SJILOTZ,X,X,O
SJILOZT,X,X,X
SJIZTLO,X,X,X
SJIZTOL,X,X,X
SJIZLTO,X,X,X
SJIZLOT,X,O,X
SJIZOTL,X,X,X
SJIZOLT,X,O,X
SJIOTLZ,X,X,O
SJIOTZL,X,X,X
SJIOLTZ,X,X,O
SJIOLZT,X,X,X
SJIOZTL,X,X,X
SJIOZLT,X,O,X
SJLTIZO,X,X,X
SJLTIOZ,X,X,O
SJLTZIO,X,X,X
SJLTZOI,X,X,X
SJLTOIZ,X,X,O
SJLTOZI,X,X,X
SJLITZO,X,X,X
SJLITOZ,X,X,O
SJLIZTO,X,X,X
SJLIZOT,X,X,X
SJLIOTZ,X,X,O
SJLIOZT,X,X,X
SJLZTIO,X,X,X
SJLZTOI,X,X,X
SJLZITO,X,X,X
SJLZIOT,X,X,X
SJLZOTI,X,X,X
SJLZOIT,X,X,X
SJLOTIZ,X,X,O
SJLOTZI,X,X,X
SJLOITZ,X,X,O
SJLOIZT,X,X,X
SJLOZTI,X,X,X
SJLOZIT,X,X,X
SJZTILO,X,O,X
SJZTIOL,X,O,X
SJZTLIO,X,O,X
SJZTLOI,X,O,X
SJZTOIL,X,O,X
SJZTOLI,X,O,X
SJZITLO,X,X,X
SJZITOL,X,X,X
SJZILTO,X,X,X
SJZILOT,X,O,X
SJZIOTL,X,X,X
SJZIOLT,X,O,X
SJZLTIO,X,O,X
SJZLTOI,X,O,X
SJZLITO,X,X,X
SJZLIOT,X,O,X
SJZLOTI,X,O,X
SJZLOIT,X,O,X
SJZOTIL,X,O,X
SJZOTLI,X,O,X
SJZOITL,X,X,X
SJZOILT,X,O,X
SJZOLTI,X,O,X
SJZOLIT,X,O,X
SJOTILZ,X,X,O
SJOTIZL,X,O,X
SJOTLIZ,X,X,O
SJOTLZI,X,X,X
SJOTZIL,X,O,X
SJOTZLI,X,O,X
SJOITLZ,X,X,O
SJOITZL,X,X,X
SJOILTZ,X,X,O
SJOILZT,X,X,X
SJOIZTL,X,X,X
SJOIZLT,X,O,X
SJOLTIZ,X,X,O
SJOLTZI,X,X,X
SJOLITZ,X,X,O
SJOLIZT,X,X,X
SJOLZTI,X,X,X
SJOLZIT,X,X,X
SJOZTIL,X,O,X
SJOZTLI,X,O,X
SJOZITL,X,X,X
SJOZILT,X,O,X
SJOZLTI,X,O,X
SJOZLIT,X,O,X
SZTILJO,X,O,X
SZTILOJ,X,X,X
SZTIJLO,X,O,X
SZTIJOL,X,O,X
SZTIOLJ,X,X,X
SZTIOJL,X,X,X
SZTLIJO,X,O,X
SZTLIOJ,X,X,X
SZTLJIO,X,O,X
SZTLJOI,X,O,X
SZTLOIJ,X,X,X
SZTLOJI,X,X,X
SZTJILO,X,O,X
SZTJIOL,X,O,X
SZTJLIO,X,O,X
SZTJLOI,X,O,X
SZTJOIL,X,O,X
SZTJOLI,X,O,X
SZTOILJ,X,X,X
SZTOIJL,X,X,X
SZTOLIJ,X,X,X
SZTOLJI,X,X,X
SZTOJIL,X,X,X
SZTOJLI,X,X,X
SZITLJO,X,X,X
SZITLOJ,X,X,X
SZITJLO,X,X,X
SZITJOL,X,X,X
SZITOLJ,X,X,X
SZITOJL,X,X,X
SZILTJO,X,X,X
SZILTOJ,X,X,X
SZILJTO,X,X,X
SZILJOT,X,O,X
SZILOTJ,X,X,X
SZILOJT,X,X,X
SZIJTLO,X,X,X
SZIJTOL,X,X,X
SZIJLTO,X,X,X
SZIJLOT,X,O,X
SZIJOTL,X,X,X
SZIJOLT,X,O,X
SZIOTLJ,X,X,X
SZIOTJL,X,X,X
SZIOLTJ,X,X,X
SZIOLJT,X,X,X
SZIOJTL,X,X,X
SZIOJLT,X,X,X
SZLTIJO,X,O,X
SZLTIOJ,X,X,X
SZLTJIO,X,O,X
SZLTJOI,X,O,X
SZLTOIJ,X,X,X
SZLTOJI,X,X,X
SZLITJO,X,X,X
SZLITOJ,X,X,X
SZLIJTO,X,X,X
SZLIJOT,X,O,X
SZLIOTJ,X,X,X
SZLIOJT,X,X,X
SZLJTIO,X,O,X
SZLJTOI,X,O,X
SZLJITO,X,X,X
SZLJIOT,X,O,X
SZLJOTI,X,O,X
SZLJOIT,X,O,X
SZLOTIJ,X,X,X
SZLOTJI,X,X,X
SZLOITJ,X,X,X
SZLOIJT,X,X,X
SZLOJTI,X,X,X
SZLOJIT,X,X,X
SZJTILO,X,O,X
SZJTIOL,X,O,X
SZJTLIO,X,O,X
SZJTLOI,X,O,X
SZJTOIL,X,O,X
SZJTOLI,X,O,X
SZJITLO,X,X,X
SZJITOL,X,X,X
SZJILTO,X,X,X
SZJILOT,X,O,X
SZJIOTL,X,X,X
SZJIOLT,X,O,X
SZJLTIO,X,O,X
SZJLTOI,X,O,X
SZJLITO,X,X,X
SZJLIOT,X,O,X
SZJLOTI,X,O,X
SZJLOIT,X,O,X
SZJOTIL,X,O,X
SZJOTLI,X,O,X
SZJOITL,X,X,X
SZJOILT,X,O,X
SZJOLTI,X,O,X
SZJOLIT,X,O,X
SZOTILJ,X,X,X
SZOTIJL,X,X,X
SZOTLIJ,X,X,X
SZOTLJI,X,X,X
SZOTJIL,X,X,X
SZOTJLI,X,X,X
SZOITLJ,X,X,X
SZOITJL,X,X,X
SZOILTJ,X,X,X
SZOILJT,X,X,X
SZOIJTL,X,X,X
SZOIJLT,X,X,X
SZOLTIJ,X,X,X
SZOLTJI,X,X,X
SZOLITJ,X,X,X
SZOLIJT,X,X,X
SZOLJTI,X,X,X
SZOLJIT,X,X,X
SZOJTIL,X,X,X
SZOJTLI,X,X,X
SZOJITL,X,X,X
SZOJILT,X,X,X
SZOJLTI,X,X,X
SZOJLIT,X,X,X
SOTILJZ,X,X,O
SOTILZJ,X,X,X
SOTIJLZ,X,X,O
SOTIJZL,X,X,X
SOTIZLJ,X,X,X
SOTIZJL,X,X,X
SOTLIJZ,X,X,O
SOTLIZJ,X,X,X
SOTLJIZ,X,X,O
SOTLJZI,X,X,X
SOTLZIJ,X,X,X
SOTLZJI,X,X,X
SOTJILZ,X,X,O
SOTJIZL,X,X,X
SOTJLIZ,X,X,O
SOTJLZI,X,X,X
SOTJZIL,X,X,X
SOTJZLI,X,X,X
SOTZILJ,X,X,X
SOTZIJL,X,X,X
SOTZLIJ,X,X,X
SOTZLJI,X,X,X
SOTZJIL,X,X,X
SOTZJLI,X,X,X
SOITLJZ,X,X,O
SOITLZJ,X,X,X
SOITJLZ,X,X,O
SOITJZL,X,X,X
SOITZLJ,X,X,X
SOITZJL,X,X,X
SOILTJZ,X,X,O
SOILTZJ,X,X,X
SOILJTZ,X,X,O
SOILJZT,X,X,X
SOILZTJ,X,X,X
SOILZJT,X,X,X
SOIJTLZ,X,X,O
SOIJTZL,X,X,X
SOIJLTZ,X,X,O
SOIJLZT,X,X,X
SOIJZTL,X,X,X
SOIJZLT,X,X,X
SOIZTLJ,X,X,X
SOIZTJL,X,X,X
SOIZLTJ,X,X,X
SOIZLJT,X,X,X
SOIZJTL,X,X,X
SOIZJLT,X,X,X
SOLTIJZ,X,X,O
SOLTIZJ,X,X,X
SOLTJIZ,X,X,O
SOLTJZI,X,X,X
SOLTZIJ,X,X,X
SOLTZJI,X,X,X
SOLITJZ,X,X,O
SOLITZJ,X,X,X
SOLIJTZ,X,X,O
SOLIJZT,X,X,X
SOLIZTJ,X,X,X
SOLIZJT,X,X,X
SOLJTIZ,X,X,O
SOLJTZI,X,X,X
SOLJITZ,X,X,O
SOLJIZT,X,X,X
SOLJZTI,X,X,X
SOLJZIT,X,X,X
SOLZTIJ,X,X,X
SOLZTJI,X,X,X
SOLZITJ,X,X,X
SOLZIJT,X,X,X
SOLZJTI,X,X,X
SOLZJIT,X,X,X
SOJTILZ,X,X,O
SOJTIZL,X,X,X
SOJTLIZ,X,X,O
SOJTLZI,X,X,X
SOJTZIL,X,X,X
SOJTZLI,X,X,X
SOJITLZ,X,X,O
SOJITZL,X,X,X
SOJILTZ,X,X,O
SOJILZT,X,X,X
SOJIZTL,X,X,X
SOJIZLT,X,X,X
SOJLTIZ,X,X,O
SOJLTZI,X,X,X
SOJLITZ,X,X,O
SOJLIZT,X,X,X
SOJLZTI,X,X,X
SOJLZIT,X,X,X
SOJZTIL,X,X,X
SOJZTLI,X,X,X
SOJZITL,X,X,X
SOJZILT,X,X,X
SOJZLTI,X,X,X
SOJZLIT,X,X,X
SOZTILJ,X,X,X
SOZTIJL,X,X,X
SOZTLIJ,X,X,X
SOZTLJI,X,X,X
SOZTJIL,X,X,X
SOZTJLI,X,X,X
SOZITLJ,X,X,X
SOZITJL,X,X,X
SOZILTJ,X,X,X
SOZILJT,X,X,X
SOZIJTL,X,X,X
SOZIJLT,X,X,X
SOZLTIJ,X,X,X
SOZLTJI,X,X,X
SOZLITJ,X,X,X
SOZLIJT,X,X,X
SOZLJTI,X,X,X
SOZLJIT,X,X,X
SOZJTIL,X,X,X
SOZJTLI,X,X,X
SOZJITL,X,X,X
SOZJILT,X,X,X
SOZJLTI,X,X,X
SOZJLIT,X,X,X
ZTILJSO,O,X,X
ZTILJOS,O,O,X
ZTILSJO,O,O,X
ZTILSOJ,O,X,X
ZTILOJS,O,O,X
ZTILOSJ,O,X,X
ZTIJLSO,O,X,X
ZTIJLOS,O,O,X
ZTIJSLO,X,X,X
ZTIJSOL,X,X,X
ZTIJOLS,O,O,X
ZTIJOSL,X,X,X
ZTISLJO,X,O,X
ZTISLOJ,X,X,X
ZTISJLO,X,O,X
ZTISJOL,X,O,X
ZTISOLJ,X,X,X
ZTISOJL,X,X,X
ZTIOLJS,O,O,X
ZTIOLSJ,O,X,X
ZTIOJLS,O,O,X
ZTIOJSL,X,X,X
ZTIOSLJ,X,X,X
ZTIOSJL,X,X,X
ZTLIJSO,O,X,X
ZTLIJOS,O,O,X
ZTLISJO,O,O,X
ZTLISOJ,O,X,X
ZTLIOJS,O,O,X
ZTLIOSJ,O,X,X
ZTLJISO,O,X,X
ZTLJIOS,O,O,X
ZTLJSIO,O,O,X
ZTLJSOI,O,O,X
ZTLJOIS,O,O,X
ZTLJOSI,O,O,X
ZTLSIJO,O,O,X
ZTLSIOJ,O,X,X
ZTLSJIO,O,O,X
ZTLSJOI,O,O,X
ZTLSOIJ,O,X,X
ZTLSOJI,O,X,X
ZTLOIJS,O,O,X
ZTLOISJ,O,X,X
ZTLOJIS,O,O,X
ZTLOJSI,O,O,X
ZTLOSIJ,O,X,X
ZTLOSJI,O,X,X
ZTJILSO,O,X,X
ZTJILOS,O,O,X
ZTJISLO,X,X,X
ZTJISOL,X,X,X
ZTJIOLS,O,O,X
ZTJIOSL,X,X,X
ZTJLISO,O,X,X
ZTJLIOS,O,O,X
ZTJLSIO,O,O,X
ZTJLSOI,O,O,X
ZTJLOIS,O,O,X
ZTJLOSI,O,O,X
ZTJSILO,X,O,X
ZTJSIOL,X,O,X
ZTJSLIO,X,O,X
ZTJSLOI,X,O,X
ZTJSOIL,X,O,X
ZTJSOLI,X,O,X
ZTJOILS,O,O,X
ZTJOISL,X,X,X
ZTJOLIS,O,O,X
ZTJOLSI,O,O,X
ZTJOSIL,X,O,X
ZTJOSLI,X,O,X
ZTSILJO,X,O,X
ZTSILOJ,X,X,X
ZTSIJLO,X,O,X
ZTSIJOL,X,O,X
ZTSIOLJ,X,X,X
ZTSIOJL,X,X,X
ZTSLIJO,X,O,X
ZTSLIOJ,X,X,X
ZTSLJIO,X,O,X
ZTSLJOI,X,O,X
ZTSLOIJ,X,X,X
ZTSLOJI,X,X,X
ZTSJILO,X,O,X
ZTSJIOL,X,O,X
ZTSJLIO,X,O,X
ZTSJLOI,X,O,X
ZTSJOIL,X,O,X
ZTSJOLI,X,O,X
ZTSOILJ,X,X,X
ZTSOIJL,X,X,X
ZTSOLIJ,X,X,X
ZTSOLJI,X,X,X
ZTSOJIL,X,X,X
ZTSOJLI,X,X,X
ZTOILJS,O,O,X
ZTOILSJ,O,X,X
ZTOIJLS,O,O,X
ZTOIJSL,X,X,X
ZTOISLJ,X,X,X
ZTOISJL,X,X,X
ZTOLIJS,O,O,X
ZTOLISJ,O,X,X
ZTOLJIS,O,O,X
ZTOLJSI,O,O,X
ZTOLSIJ,O,X,X
ZTOLSJI,O,X,X
ZTOJILS,O,O,X
ZTOJISL,X,X,X
ZTOJLIS,O,O,X
ZTOJLSI,O,O,X
ZTOJSIL,X,O,X
ZTOJSLI,X,O,X
ZTOSILJ,X,X,X
ZTOSIJL,X,X,X
ZTOSLIJ,X,X,X
ZTOSLJI,X,X,X
ZTOSJIL,X,X,X
ZTOSJLI,X,X,X
ZITLJSO,O,X,X
ZITLJOS,O,X,X
ZITLSJO,O,X,X
ZITLSOJ,O,X,X
ZITLOJS,O,X,X
ZITLOSJ,O,X,X
ZITJLSO,O,X,X
ZITJLOS,O,X,X
ZITJSLO,X,X,X
ZITJSOL,X,X,X
ZITJOLS,O,X,X
ZITJOSL,X,X,X
ZITSLJO,X,X,X
ZITSLOJ,X,X,X
ZITSJLO,X,X,X
ZITSJOL,X,X,X
ZITSOLJ,X,X,X
ZITSOJL,X,X,X
ZITOLJS,O,X,X
ZITOLSJ,O,X,X
ZITOJLS,O,X,X
ZITOJSL,X,X,X
ZITOSLJ,X,X,X
ZITOSJL,X,X,X
ZILTJSO,O,X,X
ZILTJOS,O,X,X
ZILTSJO,O,X,X
ZILTSOJ,O,X,X
ZILTOJS,O,X,X
ZILTOSJ,O,X,X
ZILJTSO,O,X,X
ZILJTOS,O,X,X
ZILJSTO,O,X,X
ZILJSOT,O,X,X
ZILJOTS,O,X,X
ZILJOST,O,X,X
ZILSTJO,O,X,X
ZILSTOJ,O,X,X
ZILSJTO,O,X,X
ZILSJOT,O,X,X
ZILSOTJ,O,X,X
ZILSOJT,O,X,X
ZILOTJS,O,X,X
ZILOTSJ,O,X,X
ZILOJTS,O,X,X
ZILOJST,O,X,X
ZILOSTJ,O,X,X
ZILOSJT,O,X,X
ZIJTLSO,O,X,X
ZIJTLOS,O,X,X
ZIJTSLO,X,X,X
ZIJTSOL,X,X,X
ZIJTOLS,O,X,X
ZIJTOSL,X,X,X
ZIJLTSO,O,X,X
ZIJLTOS,O,X,X
ZIJLSTO,O,X,X
ZIJLSOT,O,X,X
ZIJLOTS,O,X,X
ZIJLOST,O,X,X
ZIJSTLO,X,X,X
ZIJSTOL,X,X,X
ZIJSLTO,X,X,X
ZIJSLOT,X,X,X
ZIJSOTL,X,X,X
ZIJSOLT,X,X,X
ZIJOTLS,O,X,X
ZIJOTSL,X,X,X
ZIJOLTS,O,X,X
ZIJOLST,O,X,X
ZIJOSTL,X,X,X
ZIJOSLT,X,X,X
ZISTLJO,X,X,X
ZISTLOJ,X,X,X
ZISTJLO,X,X,X
ZISTJOL,X,X,X
ZISTOLJ,X,X,X
ZISTOJL,X,X,X
ZISLTJO,X,X,X
ZISLTOJ,X,X,X
ZISLJTO,X,X,X
ZISLJOT,X,X,X
ZISLOTJ,X,X,X
ZISLOJT,X,X,X
ZISJTLO,X,X,X
ZISJTOL,X,X,X
ZISJLTO,X,X,X
ZISJLOT,X,X,X
ZISJOTL,X,X,X
ZISJOLT,X,X,X
ZISOTLJ,X,X,X
ZISOTJL,X,X,X
ZISOLTJ,X,X,X
ZISOLJT,X,X,X
ZISOJTL,X,X,X
ZISOJLT,X,X,X
ZIOTLJS,O,X,X
ZIOTLSJ,O,X,X
ZIOTJLS,O,X,X
ZIOTJSL,X,X,X
ZIOTSLJ,X,X,X
ZIOTSJL,X,X,X
ZIOLTJS,O,X,X
ZIOLTSJ,O,X,X
ZIOLJTS,O,X,X
ZIOLJST,O,X,X
ZIOLSTJ,O,X,X
ZIOLSJT,O,X,X
ZIOJTLS,O,X,X
ZIOJTSL,X,X,X
ZIOJLTS,O,X,X
ZIOJLST,O,X,X
ZIOJSTL,X,X,X
ZIOJSLT,X,X,X
ZIOSTLJ,X,X,X
ZIOSTJL,X,X,X
ZIOSLTJ,X,X,X
ZIOSLJT,X,X,X
ZIOSJTL,X,X,X
ZIOSJLT,X,X,X
ZLTIJSO,O,X,X
ZLTIJOS,O,O,X
ZLTISJO,O,O,X
ZLTISOJ,O,X,X
ZLTIOJS,O,O,X
ZLTIOSJ,O,X,X
ZLTJISO,O,X,X
ZLTJIOS,O,O,X
ZLTJSIO,O,O,X
ZLTJSOI,O,O,X
ZLTJOIS,O,O,X
ZLTJOSI,O,O,X
ZLTSIJO,O,O,X
ZLTSIOJ,O,X,X
ZLTSJIO,O,O,X
ZLTSJOI,O,O,X
ZLTSOIJ,O,X,X
ZLTSOJI,O,X,X
ZLTOIJS,O,O,X
ZLTOISJ,O,X,X
ZLTOJIS,O,O,X
ZLTOJSI,O,O,X
ZLTOSIJ,O,X,X
ZLTOSJI,O,X,X
ZLITJSO,O,X,X
ZLITJOS,O,X,X
ZLITSJO,O,X,X
ZLITSOJ,O,X,X
ZLITOJS,O,X,X
ZLITOSJ,O,X,X
ZLIJTSO,O,X,X
ZLIJTOS,O,X,X
ZLIJSTO,O,X,X
ZLIJSOT,O,X,X
ZLIJOTS,O,X,X
ZLIJOST,O,X,X
ZLISTJO,O,X,X
ZLISTOJ,O,X,X
ZLISJTO,O,X,X
ZLISJOT,O,X,X
ZLISOTJ,O,X,X
ZLISOJT,O,X,X
ZLIOTJS,O,X,X
ZLIOTSJ,O,X,X
ZLIOJTS,O,X,X
ZLIOJST,O,X,X
ZLIOSTJ,O,X,X
ZLIOSJT,O,X,X
ZLJTISO,O,X,X
ZLJTIOS,O,O,X
ZLJTSIO,O,O,X
ZLJTSOI,O,O,X
ZLJTOIS,O,O,X
ZLJTOSI,O,O,X
ZLJITSO,O,X,X
ZLJITOS,O,X,X
ZLJISTO,O,X,X
ZLJISOT,O,X,X
