sequence,v115@ThA8EeB8AeI8JeZEJvhFupBFmBXnBToB0qBSxB,v115@ThA8EeB8AeI8Jei/IvhFRhB+nBTjBcpBlqB3rB,v115@ThA8EeB8AeI8JeZEJvhFupBfsB6sBToBlqBUrB
TJLOSZI,X,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,X,X,X
TJSILOZ,X,X,O
TJSIZLO,X,O,X
TJSIZOL,X,O,X
TJSIOLZ,X,X,O
TJSIOZL,X,O,X
TJSLIZO,X,X,X
TJSLIOZ,X,X,O
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,O
TJSLOZI,X,X,X
TJSZILO,X,O,X
TJSZIOL,X,O,X
TJSZLIO,X,O,X
TJSZLOI,X,O,X
TJSZOIL,X,O,X
TJSZOLI,X,O,X
TJSOILZ,X,X,O
TJSOIZL,X,O,X
TJSOLIZ,X,X,O
TJSOLZI,X,X,X
TJSOZIL,X,O,X
TJSOZLI,X,O,X
TJZILSO,X,X,X
TJZILOS,X,O,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,X,O,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,O,X
TJZLSIO,X,O,X
TJZLSOI,X,O,X
TJZLOIS,X,O,X
TJZLOSI,X,O,X
TJZSILO,X,O,X
TJZSIOL,X,O,X
TJZSLIO,X,O,X
TJZSLOI,X,O,X
TJZSOIL,X,O,X
TJZSOLI,X,O,X
TJZOILS,X,O,X
TJZOISL,X,X,X
TJZOLIS,X,O,X
TJZOLSI,X,O,X
TJZOSIL,X,O,X
TJZOSLI,X,O,X
TJOILSZ,X,X,O
TJOILZS,X,X,X
TJOISLZ,X,X,O
TJOISZL,X,X,X
TJOIZLS,X,O,X
TJOIZSL,X,X,X
TJOLISZ,X,X,O
TJOLIZS,X,X,X
TJOLSIZ,X,X,O
TJOLSZI,X,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,X,X,O
TJOSIZL,X,O,X
TJOSLIZ,X,X,O
TJOSLZI,X,X,X
TJOSZIL,X,O,X
TJOSZLI,X,O,X
TJOZILS,X,O,X
TJOZISL,X,X,X
TJOZLIS,X,O,X
TJOZLSI,X,O,X
TJOZSIL,X,O,X
TJOZSLI,X,O,X
TSILJZO,X,X,X
TSILJOZ,X,X,O
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,O
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,O
TSIJZLO,X,O,X
TSIJZOL,X,O,X
TSIJOLZ,X,X,O
TSIJOZL,X,O,X
TSIZLJO,X,O,X
TSIZLOJ,X,X,X
TSIZJLO,X,O,X
TSIZJOL,X,O,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,O
TSIOLZJ,X,X,X
TSIOJLZ,X,X,O
TSIOJZL,X,X,X
TSIOZLJ,X,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,X,X,O
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,X,X,O
TSLIOZJ,X,X,X
TSLJIZO,X,X,X
TSLJIOZ,X,X,O
TSLJZIO,X,X,X
TSLJZOI,X,X,X
TSLJOIZ,X,X,O
TSLJOZI,X,X,X
TSLZIJO,X,X,X
TSLZIOJ,X,X,X
TSLZJIO,X,X,X
TSLZJOI,X,X,X
TSLZOIJ,X,X,X
TSLZOJI,X,X,X
TSLOIJZ,X,X,O
TSLOIZJ,X,X,X
TSLOJIZ,X,X,O
TSLOJZI,X,X,X
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,X,X,X
TSJILOZ,X,X,O
TSJIZLO,X,O,X
TSJIZOL,X,O,X
TSJIOLZ,X,X,O
TSJIOZL,X,O,X
TSJLIZO,X,X,X
TSJLIOZ,X,X,O
TSJLZIO,X,X,X
TSJLZOI,X,X,X
TSJLOIZ,X,X,O
TSJLOZI,X,X,X
TSJZILO,X,O,X
