sequence,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFlgB3hBGjB6sBRq?BzrB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgBVnBGjBSqB/r?BTsB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgB/nBGjBSqBTm?BVxB,v115@HhA8GeA8AeA8GeG8CeB8Jex/IvhF8lBGjBzkBFnB3m?BSxB
TJOSLZI,O,O,O,X
TJOSZIL,O,O,O,X
TJOSZLI,O,O,O,X
TJOZILS,X,O,X,O
TJOZISL,O,O,O,X
TJOZLIS,X,O,O,O
TJOZLSI,O,O,O,O
TJOZSIL,O,O,O,X
TJOZSLI,O,O,O,X
TSILJZO,X,O,O,X
TSILJOZ,X,O,O,X
TSILZJO,X,O,O,X
TSILZOJ,X,O,O,X
TSILOJZ,X,O,O,X
TSILOZJ,X,O,O,X
TSIJLZO,X,O,O,X
TSIJLOZ,X,O,O,X
TSIJZLO,X,O,O,X
TSIJZOL,X,O,O,X
TSIJOLZ,X,O,O,X
TSIJOZL,X,O,O,X
TSIZLJO,X,O,O,X
TSIZLOJ,X,O,O,X
TSIZJLO,X,O,O,X
TSIZJOL,X,O,O,X
TSIZOLJ,X,X,O,X
TSIZOJL,X,O,O,X
TSIOLJZ,X,O,O,X
TSIOLZJ,X,O,O,X
TSIOJLZ,X,O,O,X
TSIOJZL,X,O,O,X
TSIOZLJ,X,X,O,X
TSIOZJL,X,O,O,X
TSLIJZO,X,O,O,X
TSLIJOZ,X,O,O,X
TSLIZJO,X,O,O,X
TSLIZOJ,X,O,O,X
TSLIOJZ,X,O,O,X
TSLIOZJ,X,O,O,X
TSLJIZO,X,O,O,X
TSLJIOZ,X,O,O,X
TSLJZIO,X,O,O,X
TSLJZOI,X,O,O,X
TSLJOIZ,X,O,O,X
TSLJOZI,X,O,O,X
TSLZIJO,X,O,O,X
TSLZIOJ,X,O,O,X
TSLZJIO,X,O,O,X
TSLZJOI,X,O,O,X
TSLZOIJ,X,O,O,X
TSLZOJI,X,O,O,X
TSLOIJZ,X,O,O,X
TSLOIZJ,X,O,O,X
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,X,O,O,X
TSLOZJI,X,O,O,X
TSJILZO,X,O,O,X
TSJILOZ,X,O,O,X
TSJIZLO,X,O,O,X
TSJIZOL,X,O,O,X
TSJIOLZ,X,O,O,X
TSJIOZL,X,O,O,X
TSJLIZO,X,O,O,X
TSJLIOZ,X,O,O,X
TSJLZIO,X,O,O,X
TSJLZOI,X,O,O,X
TSJLOIZ,X,O,O,X
TSJLOZI,X,O,O,X
TSJZILO,X,O,O,X
TSJZIOL,X,O,O,X
TSJZLIO,X,O,O,X
TSJZLOI,X,O,O,X
TSJZOIL,X,O,O,X
TSJZOLI,X,O,O,X
TSJOILZ,X,O,O,X
TSJOIZL,X,O,O,X
TSJOLIZ,X,O,O,X
TSJOLZI,X,O,O,X
TSJOZIL,X,O,O,X
TSJOZLI,X,O,O,X
TSZILJO,X,O,O,X
TSZILOJ,X,O,O,X
TSZIJLO,X,O,O,X
TSZIJOL,X,O,O,X
TSZIOLJ,X,X,O,X
TSZIOJL,X,O,O,X
TSZLIJO,X,O,O,X
TSZLIOJ,X,O,O,X
TSZLJIO,X,O,O,X
TSZLJOI,X,O,O,X
TSZLOIJ,X,O,O,X
TSZLOJI,X,O,O,X
