sequence,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhFxgBXiB8nBmlBFq?BSwB,v115@GhA8IeB8EeA8AeD8DeD8Jei/IvhFfmBxhB8nBzkBur?B1vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBamBRiB+rBln?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgBFiB8nBKqBzl?B+rB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFFgBxhB8nBarBur?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBRiB6rBlnBzl?B2vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgB8nBOqBlmBzq?BCsB,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhF3gB8nBlmBRqB2v?BCsB
TISZLOJ,X,O,X,X,X,O,X,O
TISZJLO,X,O,O,X,X,O,X,X
TISZJOL,X,O,O,X,X,X,O,O
TISZOLJ,X,O,X,X,X,O,X,O
TISZOJL,X,O,O,X,X,X,O,O
TISOLJZ,X,O,X,X,X,O,X,X
TISOLZJ,X,O,X,X,X,O,X,O
TISOJLZ,X,O,O,X,X,O,O,X
TISOJZL,X,O,O,X,X,X,O,O
TISOZLJ,X,O,X,X,X,O,X,O
TISOZJL,X,O,O,X,X,X,O,O
TIZLJSO,O,O,X,X,X,O,X,X
TIZLJOS,O,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,O,X,X
TIZLSOJ,O,O,X,X,X,O,X,O
TIZLOJS,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,O
TIZJLSO,O,O,O,X,X,O,X,X
TIZJLOS,O,X,O,X,X,X,X,X
TIZJSLO,O,O,O,X,X,O,X,X
TIZJSOL,O,O,O,X,X,X,O,O
TIZJOLS,O,O,O,X,X,X,X,X
TIZJOSL,O,O,O,X,X,X,X,O
TIZSLJO,O,O,X,X,X,O,X,X
TIZSLOJ,O,O,X,X,X,O,X,O
TIZSJLO,O,O,O,X,X,O,X,X
TIZSJOL,O,O,O,X,X,X,O,O
TIZSOLJ,O,O,X,X,X,O,X,O
TIZSOJL,O,O,X,X,X,X,O,O
TIZOLJS,O,O,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,O
TIZOJLS,O,O,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,O,O
TIZOSLJ,O,O,X,X,X,X,X,O
TIZOSJL,O,O,X,X,X,X,O,O
TIOLJSZ,O,O,X,X,X,O,X,X
TIOLJZS,O,O,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,O,X,X
TIOLSZJ,X,O,X,X,X,O,X,O
TIOLZJS,O,O,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,O
TIOJLSZ,X,O,O,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,X,X
TIOJSLZ,X,O,O,X,X,O,O,X
TIOJSZL,O,O,O,X,X,X,O,O
TIOJZLS,O,O,O,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,O,O
TIOSLJZ,X,O,X,X,X,O,X,X
TIOSLZJ,X,O,X,X,X,O,X,O
TIOSJLZ,X,O,O,X,X,O,O,X
TIOSJZL,X,O,O,X,X,X,O,O
TIOSZLJ,X,O,X,X,X,O,X,O
TIOSZJL,X,O,O,X,X,X,O,O
TIOZLJS,O,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,O
TIOZJLS,O,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,O,O
TIOZSLJ,O,O,X,X,X,X,X,O
TIOZSJL,O,O,X,X,X,X,O,O
TLIJSZO,O,O,O,X,X,O,X,X
TLIJSOZ,O,X,O,X,X,O,X,X
TLIJZSO,O,O,O,X,X,O,X,X
TLIJZOS,O,X,O,X,X,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,X
TLIJOZS,O,X,O,X,X,X,X,X
TLISJZO,X,O,O,X,X,O,X,X
TLISJOZ,X,X,O,X,X,O,X,X
TLISZJO,X,O,X,X,X,O,X,X
TLISZOJ,X,O,X,X,X,O,X,O
TLISOJZ,X,X,X,X,X,O,X,X
TLISOZJ,X,X,X,X,X,O,X,O
TLIZJSO,O,O,X,X,X,O,X,X
TLIZJOS,O,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,O,X,X
TLIZSOJ,O,O,X,X,X,O,X,O
TLIZOJS,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,O
TLIOJSZ,O,X,X,X,X,O,X,X
TLIOJZS,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,X
TLIOSZJ,X,X,X,X,X,O,X,O
TLIOZJS,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,O
TLJISZO,O,O,O,X,X,O,X,X
TLJISOZ,O,X,O,X,X,O,X,X
TLJIZSO,O,O,O,X,X,O,X,X
TLJIZOS,O,X,O,X,X,X,X,X
TLJIOSZ,O,X,O,X,X,O,X,X
TLJIOZS,O,X,O,X,X,X,X,X
TLJSIZO,O,O,O,O,O,O,X,X
TLJSIOZ,O,X,O,X,X,O,X,X
TLJSZIO,O,O,O,O,O,O,X,X
TLJSZOI,O,O,O,O,O,O,O,X
TLJSOIZ,O,O,O,O,X,O,X,X
TLJSOZI,O,O,O,O,O,O,X,X
TLJZISO,O,O,O,O,O,O,X,X
TLJZIOS,O,X,O,O,X,X,X,X
TLJZSIO,O,O,O,O,O,O,X,X
TLJZSOI,O,O,O,O,O,O,O,X
TLJZOIS,O,O,O,O,X,X,X,X
TLJZOSI,O,O,O,O,X,X,X,X
TLJOISZ,O,O,O,X,X,O,X,X
TLJOIZS,O,O,O,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,O,X,X
TLJOSZI,O,O,O,O,X,O,X,X
TLJOZIS,O,O,O,O,X,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X
TLSIJZO,X,O,O,O,O,O,X,X
TLSIJOZ,X,X,O,X,X,O,X,X
TLSIZJO,X,O,X,O,O,O,X,X
TLSIZOJ,X,O,X,O,O,O,X,O
TLSIOJZ,X,X,X,X,X,O,X,X
TLSIOZJ,X,X,X,X,X,O,X,O
TLSJIZO,O,O,O,O,O,O,X,X
TLSJIOZ,O,X,O,X,X,O,X,X
TLSJZIO,O,O,O,O,O,O,X,X
TLSJZOI,O,O,O,O,O,O,O,X
TLSJOIZ,O,O,O,O,X,O,X,X
TLSJOZI,O,O,O,O,O,O,X,X
TLSZIJO,O,O,X,O,O,O,X,X
TLSZIOJ,O,O,X,O,O,O,X,O
TLSZJIO,O,O,O,O,O,O,X,X
TLSZJOI,O,O,O,O,O,O,O,X
TLSZOIJ,O,O,X,O,O,O,X,O
TLSZOJI,O,O,O,O,O,O,O,X
TLSOIJZ,X,O,X,O,X,O,X,X
TLSOIZJ,X,O,X,O,X,O,X,X
TLSOJIZ,O,O,O,O,X,O,O,X
TLSOJZI,O,O,O,O,O,O,O,X
TLSOZIJ,O,O,X,O,O,O,X,O
TLSOZJI,O,O,O,O,O,O,O,X
TLZIJSO,O,O,X,O,X,O,X,X
TLZIJOS,O,X,X,O,X,X,X,X
TLZISJO,O,O,X,O,O,O,X,X
TLZISOJ,O,O,X,O,O,O,X,O
TLZIOJS,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,O
TLZJISO,O,O,X,O,O,O,X,X
TLZJIOS,O,X,X,O,X,X,X,X
TLZJSIO,O,O,X,O,O,O,X,X
TLZJSOI,O,O,X,O,O,O,O,X
TLZJOIS,O,O,X,O,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,X
TLZSIJO,O,O,X,O,O,O,X,X
TLZSIOJ,O,O,X,O,O,O,X,O
TLZSJIO,O,O,X,O,O,O,X,X
TLZSJOI,O,O,X,O,O,O,O,X
TLZSOIJ,O,O,X,O,O,O,X,O
TLZSOJI,O,O,X,O,O,O,O,X
TLZOIJS,O,O,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,O
TLZOJIS,O,O,X,O,X,X,X,X
TLZOJSI,O,O,X,O,X,X,O,X
TLZOSIJ,O,O,X,O,X,X,X,O
TLZOSJI,O,O,X,O,X,X,O,X
TLOIJSZ,O,O,X,X,X,O,X,X
TLOIJZS,O,O,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,O,X,X
TLOISZJ,X,O,X,X,X,O,X,O
TLOIZJS,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,O
TLOJISZ,O,O,O,X,X,O,X,X
TLOJIZS,O,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,O,X,O,O,X
TLOJSZI,O,O,O,O,X,O,O,X
TLOJZIS,O,O,O,O,X,X,X,X
TLOJZSI,O,O,O,O,X,X,O,X
TLOSIJZ,X,O,X,O,X,O,X,X
TLOSIZJ,X,O,X,O,X,O,X,X
TLOSJIZ,O,O,O,O,X,O,O,X
TLOSJZI,O,O,O,O,X,O,O,X
TLOSZIJ,O,O,X,O,X,O,X,O
TLOSZJI,O,O,O,O,X,O,O,X
TLOZIJS,O,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,O
TLOZJIS,O,O,X,O,X,X,X,X
TLOZJSI,O,O,X,O,X,X,O,X
TLOZSIJ,O,O,X,O,X,X,X,O
TLOZSJI,O,O,X,O,X,X,O,X
TJILSZO,X,O,O,X,X,O,X,X
TJILSOZ,X,X,O,X,X,O,X,X
TJILZSO,O,O,O,X,X,O,X,X
TJILZOS,O,X,O,X,X,X,X,X
TJILOSZ,X,X,O,X,X,O,X,X
TJILOZS,O,X,O,X,X,X,X,X
TJISLZO,X,O,O,X,X,O,X,X
TJISLOZ,X,X,O,X,X,O,X,X
TJISZLO,O,O,O,X,X,O,X,X
TJISZOL,O,O,O,X,X,X,O,O
TJISOLZ,X,O,O,X,X,O,X,X
TJISOZL,O,O,O,X,X,X,X,O
TJIZLSO,O,O,O,X,X,O,X,X
TJIZLOS,O,X,O,X,X,X,X,X
TJIZSLO,O,O,O,X,X,O,X,X
TJIZSOL,O,O,O,X,X,X,O,O
TJIZOLS,O,O,O,X,X,X,X,X
TJIZOSL,O,O,O,X,X,X,X,O
TJIOLSZ,X,O,O,X,X,O,X,X
TJIOLZS,O,O,O,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,O,X,X
TJIOSZL,O,O,O,X,X,X,X,O
TJIOZLS,O,O,O,X,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X,O
TJLISZO,O,O,O,X,X,O,X,X
TJLISOZ,O,X,O,X,X,O,X,X
TJLIZSO,O,O,O,X,X,O,X,X
TJLIZOS,O,X,O,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,O,X,X
TJLIOZS,O,X,O,X,X,X,X,X
TJLSIZO,O,O,O,O,O,O,X,X
TJLSIOZ,O,X,O,X,X,O,X,X
TJLSZIO,O,O,O,O,O,O,X,X
TJLSZOI,O,O,O,O,O,O,O,X
TJLSOIZ,O,O,O,O,X,O,X,X
TJLSOZI,O,O,O,O,O,O,X,X
TJLZISO,O,O,O,O,O,O,X,X
TJLZIOS,O,X,O,O,X,X,X,X
TJLZSIO,O,O,O,O,O,O,X,X
TJLZSOI,O,O,O,O,O,O,O,X
TJLZOIS,O,O,O,O,X,X,X,X
TJLZOSI,O,O,O,O,X,X,X,X
TJLOISZ,O,O,O,X,X,O,X,X
TJLOIZS,O,O,O,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,O,X,X
TJLOSZI,O,O,O,O,X,O,X,X
TJLOZIS,O,O,O,O,X,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X
TJSILZO,X,O,O,X,X,O,X,X
TJSILOZ,X,X,O,X,X,O,X,X
TJSIZLO,O,O,O,O,O,O,X,X
TJSIZOL,O,O,O,O,O,X,O,O
TJSIOLZ,X,O,O,X,X,O,X,X
TJSIOZL,O,O,O,X,X,X,X,O
TJSLIZO,X,O,O,O,O,O,X,X
TJSLIOZ,X,X,O,X,X,O,X,X
TJSLZIO,X,O,O,O,O,O,X,X
TJSLZOI,X,O,O,O,O,O,O,X
TJSLOIZ,X,O,O,O,X,O,X,X
TJSLOZI,X,O,O,O,O,O,X,X
TJSZILO,O,O,O,O,O,O,X,X
TJSZIOL,O,O,O,O,O,X,O,O
TJSZLIO,O,O,O,O,O,O,X,X
TJSZLOI,O,O,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,X,O,O
TJSZOLI,O,O,O,O,O,O,O,X
TJSOILZ,X,O,O,X,X,O,O,X
TJSOIZL,O,O,O,X,O,X,O,X
TJSOLIZ,X,O,O,X,O,O,O,X
TJSOLZI,X,O,O,X,O,O,O,X
TJSOZIL,O,O,O,X,O,X,O,O
TJSOZLI,O,O,O,X,O,O,O,X
TJZILSO,O,O,O,O,O,O,X,X
TJZILOS,O,X,O,O,X,X,X,X
TJZISLO,O,O,O,O,O,O,X,X
TJZISOL,O,O,O,O,O,X,O,O
TJZIOLS,O,O,O,O,X,X,X,X
TJZIOSL,O,O,O,X,O,X,X,O
TJZLISO,O,O,O,O,O,O,X,X
TJZLIOS,O,X,O,O,X,X,X,X
TJZLSIO,O,O,O,O,O,O,X,X
TJZLSOI,O,O,O,O,O,O,O,X
TJZLOIS,O,O,O,O,X,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X
TJZSILO,O,O,O,O,O,O,X,X
TJZSIOL,O,O,O,O,O,X,O,O
TJZSLIO,O,O,O,O,O,O,X,X
TJZSLOI,O,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,X,O,O
TJZSOLI,O,O,O,O,O,O,O,X
TJZOILS,O,O,O,O,X,X,X,X
TJZOISL,O,O,O,X,O,X,O,O
TJZOLIS,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,X,O,X
TJZOSIL,O,O,O,O,O,X,O,O
TJZOSLI,O,O,O,O,O,X,O,X
TJOILSZ,X,O,O,X,X,O,X,X
TJOILZS,O,O,O,X,X,X,X,X
TJOISLZ,X,O,O,X,X,O,O,X
TJOISZL,O,O,O,X,X,X,O,O
TJOIZLS,O,O,O,X,X,X,X,X
TJOIZSL,O,O,O,X,X,X,O,O
TJOLISZ,O,O,O,X,X,O,X,X
TJOLIZS,O,O,O,X,X,X,X,X
TJOLSIZ,O,O,O,O,O,O,O,X
TJOLSZI,O,O,O,O,O,O,O,X
TJOLZIS,O,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,O,X,O,X
TJOSILZ,X,O,O,X,X,O,O,X
TJOSIZL,O,O,O,X,O,X,O,X
TJOSLIZ,X,O,O,X,O,O,O,X
TJOSLZI,X,O,O,X,O,O,O,X
TJOSZIL,O,O,O,X,O,X,O,O
TJOSZLI,O,O,O,X,O,O,O,X
TJOZILS,O,O,O,O,X,X,X,X
TJOZISL,O,O,O,X,O,X,O,O
TJOZLIS,O,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,O,X,O,X
TJOZSIL,O,O,O,X,O,X,O,O
TJOZSLI,O,O,O,O,O,X,O,X
TSILJZO,X,O,O,O,O,O,X,X
TSILJOZ,X,X,O,X,X,O,X,X
TSILZJO,X,O,X,O,O,O,X,X
TSILZOJ,X,O,X,O,O,O,X,O
TSILOJZ,X,X,X,X,X,O,X,X
TSILOZJ,X,X,X,X,X,O,X,O
TSIJLZO,X,O,O,X,X,O,X,X
TSIJLOZ,X,X,O,X,X,O,X,X
TSIJZLO,X,O,O,O,O,O,X,X
TSIJZOL,X,O,O,O,O,X,O,O
TSIJOLZ,X,O,O,X,X,O,X,X
TSIJOZL,X,O,O,X,X,X,X,O
TSIZLJO,X,O,X,O,O,O,X,X
TSIZLOJ,X,O,X,O,O,O,X,O
TSIZJLO,X,O,O,O,O,O,X,X
TSIZJOL,X,O,O,O,O,X,O,O
TSIZOLJ,X,O,X,O,O,O,X,O
TSIZOJL,X,O,O,O,O,X,O,O
TSIOLJZ,X,O,X,X,O,O,X,X
TSIOLZJ,X,O,X,X,O,O,X,O
TSIOJLZ,X,O,O,X,X,O,O,X
TSIOJZL,X,O,O,X,O,X,O,O
TSIOZLJ,X,O,X,X,O,O,X,O
TSIOZJL,X,O,O,X,O,X,O,O
TSLIJZO,X,O,O,O,O,O,X,X
TSLIJOZ,X,X,O,X,X,O,X,X
TSLIZJO,X,O,X,O,O,O,X,X
TSLIZOJ,X,O,X,O,O,O,X,O
TSLIOJZ,X,X,X,X,X,O,X,X
TSLIOZJ,X,X,X,X,X,O,X,O
TSLJIZO,O,O,O,O,O,O,X,X
TSLJIOZ,O,X,O,X,X,O,X,X
TSLJZIO,O,O,O,O,O,O,X,X
TSLJZOI,O,O,O,O,O,O,O,X
TSLJOIZ,O,O,O,O,X,O,X,X
TSLJOZI,O,O,O,O,O,O,X,X
TSLZIJO,O,O,X,O,O,O,X,X
TSLZIOJ,O,O,X,O,O,O,X,O
TSLZJIO,O,O,O,O,O,O,X,X
TSLZJOI,O,O,O,O,O,O,O,X
TSLZOIJ,O,O,X,O,O,O,X,O
TSLZOJI,O,O,O,O,O,O,O,X
TSLOIJZ,X,O,X,O,O,O,X,X
TSLOIZJ,X,O,X,O,O,O,X,X
TSLOJIZ,O,O,O,O,O,O,O,X
TSLOJZI,O,O,O,O,O,O,O,X
TSLOZIJ,O,O,X,O,O,O,X,O
TSLOZJI,O,O,O,O,O,O,O,X
TSJILZO,X,O,O,X,X,O,X,X
TSJILOZ,X,X,O,X,X,O,X,X
TSJIZLO,O,O,O,O,O,O,X,X
TSJIZOL,O,O,O,O,O,X,O,O
TSJIOLZ,X,O,O,X,X,O,X,X
TSJIOZL,O,O,O,X,X,X,X,O
TSJLIZO,X,O,O,O,O,O,X,X
TSJLIOZ,X,X,O,X,X,O,X,X
TSJLZIO,X,O,O,O,O,O,X,X
TSJLZOI,X,O,O,O,O,O,O,X
TSJLOIZ,X,O,O,O,X,O,X,X
TSJLOZI,X,O,O,O,O,O,X,X
TSJZILO,O,O,O,O,O,O,X,X
TSJZIOL,O,O,O,O,O,X,O,O
TSJZLIO,O,O,O,O,O,O,X,X
TSJZLOI,O,O,O,O,O,O,O,X
TSJZOIL,O,O,O,O,O,X,O,O
TSJZOLI,O,O,O,O,O,O,O,X
TSJOILZ,X,O,O,X,X,O,O,X
TSJOIZL,O,O,O,X,O,X,O,X
TSJOLIZ,X,O,O,X,O,O,O,X
TSJOLZI,X,O,O,X,O,O,O,X
TSJOZIL,O,O,O,X,O,X,O,O
TSJOZLI,O,O,O,X,O,O,O,X
TSZILJO,O,O,X,O,O,O,X,X
TSZILOJ,O,O,X,O,O,O,X,O
TSZIJLO,O,O,O,O,O,O,X,X
TSZIJOL,O,O,O,O,O,X,O,O
TSZIOLJ,O,O,X,O,O,O,X,O
TSZIOJL,O,O,O,O,O,X,O,O
TSZLIJO,O,O,X,O,O,O,X,X
TSZLIOJ,O,O,X,O,O,O,X,O
TSZLJIO,O,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,X,O,O,O,X,O
TSZLOJI,O,O,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,O,X,X
TSZJIOL,O,O,O,O,O,X,O,O
TSZJLIO,O,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,X,O,O
TSZJOLI,O,O,O,O,O,O,O,X
TSZOILJ,O,O,X,O,O,O,X,O
TSZOIJL,O,O,O,O,O,X,O,O
TSZOLIJ,O,O,X,O,O,O,X,O
TSZOLJI,O,O,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,X,O,O
TSZOJLI,O,O,O,O,O,O,O,X
TSOILJZ,X,O,X,X,O,O,X,X
TSOILZJ,X,O,X,X,O,O,X,O
TSOIJLZ,X,O,O,X,X,O,O,X
TSOIJZL,X,O,O,X,O,X,O,O
TSOIZLJ,X,O,X,X,O,O,X,O
TSOIZJL,X,O,O,X,O,X,O,O
TSOLIJZ,X,O,X,X,O,O,X,X
TSOLIZJ,X,O,X,X,O,O,X,X
TSOLJIZ,O,O,O,X,O,O,O,X
TSOLJZI,O,O,O,X,O,O,O,X
TSOLZIJ,O,O,X,X,O,O,X,O
TSOLZJI,O,O,O,X,O,O,O,X
TSOJILZ,X,O,O,X,X,O,O,X
TSOJIZL,O,O,O,X,O,X,O,X
TSOJLIZ,X,O,O,X,O,O,O,X
TSOJLZI,X,O,O,X,O,O,O,X
TSOJZIL,O,O,O,X,O,X,O,O
TSOJZLI,O,O,O,X,O,O,O,X
TSOZILJ,O,O,X,X,O,O,X,O
TSOZIJL,O,O,O,X,O,X,O,O
TSOZLIJ,O,O,X,X,O,O,X,O
TSOZLJI,O,O,O,X,O,O,O,X
TSOZJIL,O,O,O,X,O,X,O,O
TSOZJLI,O,O,O,X,O,O,O,X
TZILJSO,O,O,X,O,X,O,X,X
TZILJOS,O,X,X,O,X,X,X,X
TZILSJO,O,O,X,O,O,O,X,X
TZILSOJ,O,O,X,O,O,O,X,O
TZILOJS,O,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,O
TZIJLSO,O,O,O,O,O,O,X,X
TZIJLOS,O,X,O,O,X,X,X,X
TZIJSLO,O,O,O,O,O,O,X,X
TZIJSOL,O,O,O,O,O,X,O,O
TZIJOLS,O,O,O,O,X,X,X,X
TZIJOSL,O,O,O,X,O,X,X,O
TZISLJO,O,O,X,O,O,O,X,X
TZISLOJ,O,O,X,O,O,O,X,O
TZISJLO,O,O,O,O,O,O,X,X
TZISJOL,O,O,O,O,O,X,O,O
TZISOLJ,O,O,X,O,O,O,X,O
TZISOJL,O,O,X,O,O,X,O,O
TZIOLJS,O,O,X,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,O
TZIOJLS,O,O,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,O,O
TZIOSLJ,O,O,X,X,O,X,X,O
TZIOSJL,O,O,X,X,O,X,O,O
TZLIJSO,O,O,X,O,X,O,X,X
TZLIJOS,O,X,X,O,X,X,X,X
TZLISJO,O,O,X,O,O,O,X,X
TZLISOJ,O,O,X,O,O,O,X,O
TZLIOJS,O,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,O
TZLJISO,O,O,X,O,O,O,X,X
TZLJIOS,O,X,X,O,X,X,X,X
TZLJSIO,O,O,X,O,O,O,X,X
TZLJSOI,O,O,X,O,O,O,O,X
TZLJOIS,O,O,X,O,X,X,X,X
TZLJOSI,O,O,X,O,X,X,X,X
TZLSIJO,O,O,X,O,O,O,X,X
TZLSIOJ,O,O,X,O,O,O,X,O
TZLSJIO,O,O,X,O,O,O,X,X
TZLSJOI,O,O,X,O,O,O,O,X
TZLSOIJ,O,O,X,O,O,O,X,O
TZLSOJI,O,O,X,O,O,O,O,X
TZLOIJS,O,O,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,O
TZLOJIS,O,O,X,O,X,X,X,X
TZLOJSI,O,O,X,O,X,X,O,X
TZLOSIJ,O,O,X,O,X,X,X,O
TZLOSJI,O,O,X,O,X,X,O,X
TZJILSO,O,O,O,O,O,O,X,X
TZJILOS,O,X,O,O,X,X,X,X
TZJISLO,O,O,O,O,O,O,X,X
TZJISOL,O,O,O,O,O,X,O,O
TZJIOLS,O,O,O,O,X,X,X,X
TZJIOSL,O,O,O,X,O,X,X,O
TZJLISO,O,O,O,O,O,O,X,X
TZJLIOS,O,X,O,O,X,X,X,X
TZJLSIO,O,O,O,O,O,O,X,X
TZJLSOI,O,O,O,O,O,O,O,X
TZJLOIS,O,O,O,O,X,X,X,X
TZJLOSI,O,O,O,O,X,X,X,X
TZJSILO,O,O,O,O,O,O,X,X
TZJSIOL,O,O,O,O,O,X,O,O
TZJSLIO,O,O,O,O,O,O,X,X
TZJSLOI,O,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,X,O,O
TZJSOLI,O,O,O,O,O,O,O,X
TZJOILS,O,O,O,O,X,X,X,X
