sequence,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigB3hB?GjBcqBlnBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGiB?TjBcqBlmBXsB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGjB?cqBlmB3nBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeuEJvhF1lB0hB?xiBCoBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFXiBTjB?llBSsBOqB0rB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFGjBClB?0mBlnBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFFiBTjB?WqB6rBcsBXqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JexBJvhFTjBfqB?llBurBcsBCqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeTDJvhFRlBGnB?XnBFqBCqB0rB
ILOSTZJ,O,O,X,O,O,X,X,X,X
ILOSJTZ,X,X,X,O,O,X,X,X,X
ILOSJZT,O,O,X,O,X,X,X,X,X
ILOSZTJ,O,O,X,O,O,X,O,X,X
ILOSZJT,O,O,X,O,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,O,X,X
ILOZTSJ,O,O,X,O,O,X,O,X,X
ILOZJTS,O,O,X,O,X,X,O,X,X
ILOZJST,O,O,X,O,X,X,O,X,X
ILOZSTJ,O,O,X,O,O,X,O,X,X
ILOZSJT,O,O,X,O,X,X,X,X,X
IJTLSZO,O,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,X,X,X,X
IJTLZSO,O,O,X,X,X,X,O,X,X
IJTLZOS,O,O,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,O,X,X,X,O
IJTLOZS,X,O,X,X,X,X,O,X,X
IJTSLZO,O,X,O,X,X,O,X,X,X
IJTSLOZ,X,X,X,X,X,O,X,X,X
IJTSZLO,O,O,O,X,X,O,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,X,O
IJTSOZL,O,O,O,X,X,X,X,X,O
IJTZLSO,O,O,O,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,O,X,X
IJTZSLO,O,O,O,X,X,O,X,X,X
IJTZSOL,O,O,O,X,X,X,O,X,X
IJTZOLS,O,O,X,X,X,X,O,X,X
IJTZOSL,O,O,X,X,X,X,O,X,O
IJTOLSZ,X,X,X,X,O,X,X,X,O
IJTOLZS,X,O,X,X,X,X,O,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,O
IJTOSZL,O,O,X,X,X,X,X,X,O
IJTOZLS,O,O,X,X,X,X,O,X,X
IJTOZSL,O,O,X,X,X,X,O,X,O
IJLTSZO,O,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,O,X,X,X,X
IJLTZSO,O,X,X,X,X,X,O,X,X
IJLTZOS,O,X,X,X,X,X,O,X,X
IJLTOSZ,X,X,X,X,O,X,X,X,X
IJLTOZS,X,X,X,X,X,X,O,X,X
IJLSTZO,X,X,O,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,O,X,X,X,X
IJLSZTO,O,X,O,X,X,X,O,X,X
IJLSZOT,O,X,O,X,X,X,O,X,X
IJLSOTZ,X,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,X,X,X,O,X,X
IJLZTSO,O,X,O,X,X,X,O,X,X
IJLZTOS,O,X,X,X,X,X,O,X,X
IJLZSTO,O,X,O,X,X,X,O,X,X
IJLZSOT,O,X,O,X,X,X,O,X,X
IJLZOTS,O,X,X,X,X,X,O,X,X
IJLZOST,O,X,O,X,X,X,O,X,X
IJLOTSZ,X,X,X,X,O,X,X,X,O
IJLOTZS,X,X,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,O
IJLOSZT,O,X,X,X,X,X,O,X,X
IJLOZTS,O,X,X,X,X,X,O,X,X
IJLOZST,O,X,X,X,X,X,O,X,X
IJSTLZO,O,O,O,X,X,O,X,X,X
IJSTLOZ,X,O,X,X,X,O,X,X,X
IJSTZLO,O,O,O,X,X,O,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X,X
IJSLTZO,X,X,O,X,X,O,X,X,X
IJSLTOZ,X,X,X,X,X,O,X,X,X
IJSLZTO,O,O,O,X,X,O,O,X,X
IJSLZOT,O,O,O,X,X,X,O,X,X
IJSLOTZ,X,X,X,X,X,O,X,X,X
IJSLOZT,X,O,X,X,X,X,O,X,X
IJSZTLO,O,O,O,X,X,X,X,X,X
IJSZTOL,O,O,O,X,X,X,O,X,X
IJSZLTO,O,O,O,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X,X
IJSZOTL,O,O,O,X,X,X,O,X,X
IJSZOLT,O,O,O,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,X,X,X,X,O
IJSOTZL,O,O,O,X,X,X,X,X,O
IJSOLTZ,X,X,X,X,X,X,X,X,O
IJSOLZT,O,O,X,X,X,X,O,X,X
IJSOZTL,O,O,O,X,X,X,O,X,O
IJSOZLT,O,O,O,X,X,X,X,X,X
IJZTLSO,O,O,O,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,O,X,X
IJZTSLO,O,O,O,X,X,X,X,X,X
IJZTSOL,O,O,O,X,X,X,O,X,X
IJZTOLS,O,O,X,X,X,X,O,X,X
IJZTOSL,O,O,X,X,X,X,O,X,X
IJZLTSO,O,O,O,X,X,X,O,X,X
IJZLTOS,O,O,X,X,X,X,O,X,X
IJZLSTO,O,O,O,X,X,X,O,X,X
IJZLSOT,O,O,O,X,X,X,O,X,X
IJZLOTS,O,O,X,X,X,X,O,X,X
IJZLOST,O,O,O,X,X,X,O,X,X
IJZSTLO,O,O,O,X,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,O,X,X
IJZSLTO,O,O,O,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X,X,X
IJZSOTL,O,O,O,X,X,X,O,X,X
IJZSOLT,O,O,O,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,O,X,X
IJZOTSL,O,O,X,X,X,X,O,X,O
IJZOLTS,O,O,X,X,X,X,O,X,X
IJZOLST,O,O,O,X,X,X,O,X,X
IJZOSTL,O,O,O,X,X,X,O,X,O
IJZOSLT,O,O,O,X,X,X,X,X,X
IJOTLSZ,O,X,X,X,O,X,X,X,O
IJOTLZS,O,O,X,X,X,X,O,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,O
IJOTSZL,O,O,X,X,X,X,X,X,O
IJOTZLS,O,O,X,X,X,X,O,X,X
IJOTZSL,O,O,X,X,X,X,O,X,O
IJOLTSZ,X,X,X,X,O,X,X,X,O
IJOLTZS,X,X,X,X,X,X,O,X,X
IJOLSTZ,X,X,X,X,O,X,X,X,O
IJOLSZT,O,X,X,X,X,X,O,X,X
IJOLZTS,O,X,X,X,X,X,O,X,X
IJOLZST,O,X,X,X,X,X,O,X,X
IJOSTLZ,O,O,X,X,X,X,X,X,O
IJOSTZL,O,O,O,X,X,X,X,X,O
IJOSLTZ,X,X,X,X,X,X,X,X,O
IJOSLZT,O,O,X,X,X,X,O,X,X
IJOSZTL,O,O,O,X,X,X,O,X,O
IJOSZLT,O,O,O,X,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,O,X,X
IJOZTSL,O,O,X,X,X,X,O,X,O
IJOZLTS,O,O,X,X,X,X,O,X,X
IJOZLST,O,O,O,X,X,X,O,X,X
IJOZSTL,O,O,O,X,X,X,O,X,O
IJOZSLT,O,O,O,X,X,X,X,X,X
ISTLJZO,O,O,O,O,X,O,X,X,X
ISTLJOZ,X,O,X,O,O,O,X,X,X
ISTLZJO,O,O,O,O,X,O,X,X,X
ISTLZOJ,O,O,O,O,O,O,X,X,X
ISTLOJZ,X,O,X,O,O,O,X,X,X
ISTLOZJ,X,O,X,O,O,O,X,X,X
ISTJLZO,O,O,O,O,X,O,X,X,X
ISTJLOZ,X,O,X,O,X,O,X,X,X
ISTJZLO,O,O,O,O,X,O,X,X,X
ISTJZOL,O,O,O,O,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,X,X
ISTJOZL,O,O,O,O,X,X,X,X,X
ISTZLJO,O,O,O,O,X,O,X,X,X
ISTZLOJ,O,O,O,O,X,O,X,X,X
ISTZJLO,O,O,O,O,X,O,X,O,X
ISTZJOL,O,O,O,O,X,X,X,O,X
ISTZOLJ,O,O,O,X,X,X,X,X,X
ISTZOJL,O,O,O,O,X,X,X,O,X
ISTOLJZ,X,O,X,O,O,X,X,X,X
ISTOLZJ,X,O,X,O,O,X,X,X,X
ISTOJLZ,X,O,X,O,X,X,X,X,X
ISTOJZL,O,O,O,O,X,X,X,X,X
ISTOZLJ,O,O,O,O,X,X,X,X,X
ISTOZJL,O,O,O,O,X,X,X,O,X
ISLTJZO,O,O,O,O,X,O,X,X,X
ISLTJOZ,X,O,X,O,O,O,X,X,X
ISLTZJO,O,O,O,O,X,O,X,X,X
ISLTZOJ,O,O,O,O,O,O,X,X,X
ISLTOJZ,X,O,X,O,O,O,X,X,X
ISLTOZJ,X,O,X,O,O,O,X,X,X
ISLJTZO,X,X,O,O,X,O,X,X,X
ISLJTOZ,X,X,X,O,O,O,X,X,X
ISLJZTO,O,O,O,O,X,O,X,X,X
ISLJZOT,O,O,O,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,O,O,X,X,X
ISLJOZT,X,O,X,O,X,X,X,X,X
ISLZTJO,O,O,O,O,X,O,X,X,X
ISLZTOJ,O,O,O,O,O,O,X,X,X
ISLZJTO,O,O,O,O,X,O,X,X,X
ISLZJOT,O,O,O,X,X,X,X,X,X
ISLZOTJ,O,O,O,X,O,O,X,X,X
ISLZOJT,O,O,O,X,X,X,X,X,X
ISLOTJZ,X,O,X,O,O,O,X,X,X
ISLOTZJ,X,O,X,O,O,O,X,X,X
ISLOJTZ,X,X,X,O,O,O,X,X,X
ISLOJZT,X,O,X,O,X,X,X,X,X
ISLOZTJ,X,O,X,O,O,O,X,X,X
ISLOZJT,X,O,X,O,X,X,X,X,X
ISJTLZO,O,O,O,O,X,O,X,X,X
ISJTLOZ,X,O,X,O,X,O,X,X,X
ISJTZLO,O,O,O,O,X,O,X,X,X
ISJTZOL,O,O,O,O,X,X,X,X,X
ISJTOLZ,X,O,X,O,X,X,X,X,X
ISJTOZL,O,O,O,O,X,X,X,X,X
ISJLTZO,X,X,O,O,X,O,X,X,X
ISJLTOZ,X,X,X,O,X,O,X,X,X
ISJLZTO,O,O,O,O,X,O,X,X,X
ISJLZOT,O,O,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,O,X,X,X
ISJLOZT,X,O,X,O,X,X,X,X,X
ISJZTLO,O,O,O,X,X,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X,X,X
ISJOTLZ,X,O,X,O,X,X,X,X,O
ISJOTZL,O,O,O,O,X,X,X,X,O
ISJOLTZ,X,X,X,O,X,X,X,X,O
ISJOLZT,O,O,X,O,X,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X,X,O
ISJOZLT,O,O,O,X,X,X,X,X,X
ISZTLJO,O,O,O,X,X,O,X,X,X
ISZTLOJ,O,O,O,X,X,O,X,X,X
ISZTJLO,O,O,O,X,X,O,X,O,X
ISZTJOL,O,O,O,X,X,X,X,O,X
ISZTOLJ,O,O,O,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,O,X
ISZLTJO,O,O,O,X,X,O,X,X,X
ISZLTOJ,O,O,O,X,X,O,X,X,X
ISZLJTO,O,O,O,X,X,O,X,X,X
ISZLJOT,O,O,O,X,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,O,X,X,X
ISZLOJT,O,O,O,X,X,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X,O,X
ISZJTOL,O,O,O,X,X,X,X,O,X
ISZJLTO,O,O,O,X,X,X,X,O,X
ISZJLOT,O,O,O,X,X,X,X,O,X
ISZJOTL,O,O,O,X,X,X,X,O,X
ISZJOLT,O,O,O,X,X,X,X,O,X
ISZOTLJ,O,O,O,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,O,X
ISZOLTJ,O,O,O,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,O,X
ISZOJLT,O,O,O,X,X,X,X,O,X
ISOTLJZ,O,O,X,O,O,X,X,X,X
ISOTLZJ,O,O,X,O,O,X,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X,X
ISOTJZL,O,O,O,O,X,X,X,X,X
ISOTZLJ,O,O,O,O,X,X,X,X,X
ISOTZJL,O,O,O,O,X,X,X,O,X
ISOLTJZ,O,O,X,O,O,X,X,X,X
ISOLTZJ,O,O,X,O,O,X,X,X,X
ISOLJTZ,X,X,X,O,O,X,X,X,X
ISOLJZT,O,O,X,O,X,X,X,X,X
ISOLZTJ,O,O,X,O,O,X,X,X,X
ISOLZJT,O,O,X,O,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X,O
ISOJTZL,O,O,O,O,X,X,X,X,O
ISOJLTZ,X,X,X,O,X,X,X,X,O
ISOJLZT,O,O,X,O,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X,O
ISOJZLT,O,O,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,X,X,X,X
ISOZTJL,O,O,O,O,X,X,X,O,X
ISOZLTJ,O,O,O,O,X,X,X,X,X
ISOZLJT,O,O,O,O,X,X,X,X,X
ISOZJTL,O,O,O,O,X,X,X,O,X
ISOZJLT,O,O,O,X,X,X,X,O,X
IZTLJSO,O,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,O,X,O,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X
IZTLOSJ,O,O,O,X,O,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,O,X,X
IZTJSLO,O,O,O,X,X,O,X,X,X
IZTJSOL,O,O,O,X,X,X,O,X,X
IZTJOLS,O,O,X,X,X,X,O,X,X
IZTJOSL,O,O,X,X,X,X,O,X,X
IZTSLJO,O,O,O,X,X,O,X,X,X
IZTSLOJ,O,O,O,X,X,O,X,X,X
IZTSJLO,O,O,O,X,X,O,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X
IZTOLSJ,O,O,O,X,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X,O,X,X
IZTOJSL,O,O,X,X,X,X,O,X,X
IZTOSLJ,O,O,O,X,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X,X
IZLTJSO,O,O,O,X,X,X,O,X,X
IZLTJOS,O,O,X,X,X,X,O,X,X
IZLTSJO,O,O,O,X,X,X,X,X,X
IZLTSOJ,O,O,O,X,O,X,O,X,X
IZLTOJS,O,O,X,X,X,X,O,X,X
IZLTOSJ,O,O,O,X,O,X,O,X,X
IZLJTSO,O,O,O,X,X,X,O,X,X
IZLJTOS,O,O,X,X,X,X,O,X,X
IZLJSTO,O,O,O,X,X,X,O,X,X
IZLJSOT,O,O,O,X,X,X,O,X,X
IZLJOTS,O,O,X,X,X,X,O,X,X
IZLJOST,O,O,O,X,X,X,O,X,X
IZLSTJO,O,O,O,X,X,X,X,X,X
IZLSTOJ,O,O,O,X,O,X,O,X,X
IZLSJTO,O,O,O,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X,X
IZLSOTJ,O,O,O,X,O,X,O,X,X
IZLSOJT,O,O,O,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,O,X,X
IZLOTSJ,O,O,O,X,O,X,O,X,X
IZLOJTS,O,O,X,X,X,X,O,X,X
IZLOJST,O,O,O,X,X,X,O,X,X
IZLOSTJ,O,O,O,X,O,X,O,X,X
IZLOSJT,O,O,O,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,O,X,X
IZJTSLO,O,O,O,X,X,X,X,O,X
IZJTSOL,O,O,O,X,X,X,O,O,X
IZJTOLS,O,O,X,X,X,X,O,X,X
IZJTOSL,O,O,X,X,X,X,O,O,X
IZJLTSO,O,O,O,X,X,X,O,X,X
IZJLTOS,O,O,X,X,X,X,O,X,X
IZJLSTO,O,O,O,X,X,X,O,O,X
IZJLSOT,O,O,O,X,X,X,O,O,X
IZJLOTS,O,O,X,X,X,X,O,X,X
IZJLOST,O,O,O,X,X,X,O,O,X
IZJSTLO,O,O,O,X,X,X,X,O,X
IZJSTOL,O,O,O,X,X,X,O,O,X
IZJSLTO,O,O,O,X,X,X,X,O,X
IZJSLOT,O,O,O,X,X,X,X,O,X
IZJSOTL,O,O,O,X,X,X,O,O,X
IZJSOLT,O,O,O,X,X,X,X,O,X
IZJOTLS,O,O,X,X,X,X,O,X,X
IZJOTSL,O,O,X,X,X,X,O,O,O
IZJOLTS,O,O,X,X,X,X,O,X,X
IZJOLST,O,O,O,X,X,X,O,O,X
IZJOSTL,O,O,O,X,X,X,O,O,O
IZJOSLT,O,O,O,X,X,X,X,O,X
IZSTLJO,O,O,O,X,X,O,X,X,X
IZSTLOJ,O,O,O,X,X,O,X,X,X
IZSTJLO,O,O,O,X,X,O,X,O,X
IZSTJOL,O,O,O,X,X,X,X,O,X
IZSTOLJ,O,O,O,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,O,X
IZSLTJO,O,O,O,X,X,O,X,X,X
IZSLTOJ,O,O,O,X,X,O,X,X,X
IZSLJTO,O,O,O,X,X,O,X,X,X
IZSLJOT,O,O,O,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,O,X,X,X
IZSLOJT,O,O,O,X,X,X,X,X,X
IZSJTLO,O,O,O,X,X,X,X,O,X
IZSJTOL,O,O,O,X,X,X,X,O,X
IZSJLTO,O,O,O,X,X,X,X,O,X
IZSJLOT,O,O,O,X,X,X,X,O,X
IZSJOTL,O,O,O,X,X,X,X,O,X
IZSJOLT,O,O,O,X,X,X,X,O,X
IZSOTLJ,O,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,O,X
IZSOLTJ,O,O,O,X,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,O,X
IZSOJLT,O,O,O,X,X,X,X,O,X
IZOTLJS,O,O,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X,O,X,X
IZOTJSL,O,O,X,X,X,X,O,X,X
IZOTSLJ,O,O,O,X,X,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,O,X,X
IZOLTSJ,O,O,O,X,O,X,O,X,X
IZOLJTS,O,O,X,X,X,X,O,X,X
IZOLJST,O,O,O,X,X,X,O,X,X
IZOLSTJ,O,O,O,X,O,X,O,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,O,X,X
IZOJTSL,O,O,X,X,X,X,O,O,O
IZOJLTS,O,O,X,X,X,X,O,X,X
IZOJLST,O,O,O,X,X,X,O,O,X
IZOJSTL,O,O,O,X,X,X,O,O,O
IZOJSLT,O,O,O,X,X,X,X,O,X
IZOSTLJ,O,O,O,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,O,X
IZOSLTJ,O,O,O,X,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,O,X
IZOSJLT,O,O,O,X,X,X,X,O,X
IOTLJSZ,O,X,X,O,O,X,X,X,O
IOTLJZS,O,O,X,O,X,X,X,X,X
IOTLSJZ,O,X,X,O,O,X,X,X,X
IOTLSZJ,O,X,X,O,O,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X
IOTLZSJ,O,O,X,O,O,X,X,X,X
IOTJLSZ,O,X,X,O,O,X,X,X,O
IOTJLZS,O,O,X,O,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,X,X,O
IOTJSZL,O,O,X,X,X,X,X,X,O
IOTJZLS,O,O,X,O,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X,O
IOTSLJZ,O,O,X,O,O,X,X,X,X
IOTSLZJ,O,O,X,O,O,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X,O
IOTSJZL,O,O,O,O,X,X,X,X,O
IOTSZLJ,O,O,O,O,X,X,X,X,X
IOTSZJL,O,O,O,O,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X,X
IOTZLSJ,O,O,O,O,O,X,X,X,X
IOTZJLS,O,O,X,O,X,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,X,O
IOTZSLJ,O,O,O,O,X,X,X,X,X
IOTZSJL,O,O,O,O,X,X,X,X,X
IOLTJSZ,O,X,X,O,O,X,X,X,X
IOLTJZS,O,O,X,O,X,X,X,X,X
IOLTSJZ,O,X,X,O,O,X,X,X,X
IOLTSZJ,O,X,X,O,O,X,X,X,X
IOLTZJS,O,O,X,O,X,X,O,X,X
IOLTZSJ,O,O,X,O,O,X,O,X,X
IOLJTSZ,X,X,X,O,O,X,X,X,O
IOLJTZS,X,X,X,O,X,X,O,X,X
IOLJSTZ,X,X,X,O,O,X,X,X,O
IOLJSZT,O,X,X,O,X,X,O,X,X
IOLJZTS,O,X,X,O,X,X,O,X,X
IOLJZST,O,X,X,O,X,X,O,X,X
IOLSTJZ,O,O,X,O,O,X,X,X,X
IOLSTZJ,O,O,X,O,O,X,X,X,X
IOLSJTZ,X,X,X,O,O,X,X,X,X
IOLSJZT,O,O,X,O,X,X,X,X,X
IOLSZTJ,O,O,X,O,O,X,O,X,X
IOLSZJT,O,O,X,O,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,O,X,X
IOLZTSJ,O,O,X,O,O,X,O,X,X
IOLZJTS,O,O,X,O,X,X,O,X,X
IOLZJST,O,O,X,O,X,X,O,X,X
IOLZSTJ,O,O,X,O,O,X,O,X,X
IOLZSJT,O,O,X,O,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X,O
IOJTLZS,O,O,X,X,X,X,O,X,X
IOJTSLZ,O,X,X,X,X,X,X,X,O
IOJTSZL,O,O,X,X,X,X,X,X,O
IOJTZLS,O,O,X,X,X,X,O,X,X
IOJTZSL,O,O,X,X,X,X,O,X,O
IOJLTSZ,X,X,X,X,O,X,X,X,O
IOJLTZS,X,X,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,X,O,X,X,X,O
IOJLSZT,O,X,X,X,X,X,O,X,X
IOJLZTS,O,X,X,X,X,X,O,X,X
IOJLZST,O,X,X,X,X,X,O,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,O
IOJSTZL,O,O,O,X,X,X,X,X,O
IOJSLTZ,X,X,X,X,X,X,X,X,O
IOJSLZT,O,O,X,X,X,X,O,X,X
IOJSZTL,O,O,O,X,X,X,O,X,O
IOJSZLT,O,O,O,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,O,X,X
IOJZTSL,O,O,X,X,X,X,O,X,O
IOJZLTS,O,O,X,X,X,X,O,X,X
IOJZLST,O,O,O,X,X,X,O,X,X
IOJZSTL,O,O,O,X,X,X,O,X,O
IOJZSLT,O,O,O,X,X,X,X,X,X
IOSTLJZ,O,O,X,O,O,X,X,X,X
IOSTLZJ,O,O,X,O,O,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,X
IOSTJZL,O,O,O,O,X,X,X,X,X
IOSTZLJ,O,O,O,O,X,X,X,X,X
IOSTZJL,O,O,O,O,X,X,X,O,X
IOSLTJZ,O,O,X,O,O,X,X,X,X
IOSLTZJ,O,O,X,O,O,X,X,X,X
IOSLJTZ,X,X,X,O,O,X,X,X,X
IOSLJZT,O,O,X,O,X,X,X,X,X
IOSLZTJ,O,O,X,O,O,X,X,X,X
IOSLZJT,O,O,X,O,X,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,X,O
IOSJTZL,O,O,O,O,X,X,X,X,O
IOSJLTZ,X,X,X,O,X,X,X,X,O
IOSJLZT,O,O,X,O,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X,O
IOSJZLT,O,O,O,X,X,X,X,X,X
IOSZTLJ,O,O,O,O,X,X,X,X,X
IOSZTJL,O,O,O,O,X,X,X,O,X
IOSZLTJ,O,O,O,O,X,X,X,X,X
IOSZLJT,O,O,O,O,X,X,X,X,X
IOSZJTL,O,O,O,O,X,X,X,O,X
IOSZJLT,O,O,O,X,X,X,X,O,X
IOZTLJS,O,O,X,O,X,X,X,X,X
IOZTLSJ,O,O,O,O,O,X,X,X,X
IOZTJLS,O,O,X,O,X,X,O,X,X
IOZTJSL,O,O,X,O,X,X,O,X,X
IOZTSLJ,O,O,O,O,X,X,X,X,X
IOZTSJL,O,O,O,O,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,O,X,X
IOZLTSJ,O,O,O,O,O,X,O,X,X
IOZLJTS,O,O,X,O,X,X,O,X,X
IOZLJST,O,O,O,O,X,X,O,X,X
IOZLSTJ,O,O,O,O,O,X,O,X,X
IOZLSJT,O,O,O,O,X,X,X,X,X
IOZJTLS,O,O,X,O,X,X,O,X,X
IOZJTSL,O,O,X,O,X,X,O,O,O
IOZJLTS,O,O,X,X,X,X,O,X,X
IOZJLST,O,O,O,X,X,X,O,O,X
IOZJSTL,O,O,O,O,X,X,O,O,O
IOZJSLT,O,O,O,X,X,X,X,O,X
IOZSTLJ,O,O,O,O,X,X,X,X,X
IOZSTJL,O,O,O,O,X,X,X,O,X
IOZSLTJ,O,O,O,O,X,X,X,X,X
IOZSLJT,O,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,O,X,X,X,O,X
IOZSJLT,O,O,O,X,X,X,X,O,X
LTIJSZO,O,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,X,O,O,X,X,X,X
LTIJZSO,O,O,X,O,X,X,X,X,X
LTIJZOS,O,O,X,O,X,X,X,X,X
LTIJOSZ,X,X,X,O,O,X,X,X,O
LTIJOZS,X,O,X,O,X,X,X,X,X
LTISJZO,O,X,O,O,X,X,X,X,X
LTISJOZ,X,X,X,O,O,X,X,X,X
LTISZJO,O,X,O,O,X,X,X,X,X
LTISZOJ,O,X,O,O,O,X,X,X,X
LTISOJZ,X,X,X,O,O,X,X,X,X
LTISOZJ,X,X,X,O,O,X,X,X,X
LTIZJSO,O,O,O,O,X,X,X,X,X
LTIZJOS,O,O,X,O,X,X,O,X,X
LTIZSJO,O,O,O,O,X,X,X,X,X
LTIZSOJ,O,O,O,O,O,X,O,X,X
LTIZOJS,O,O,X,O,X,X,O,X,X
LTIZOSJ,O,O,O,O,O,X,O,X,X
LTIOJSZ,X,X,X,O,O,X,X,X,O
LTIOJZS,X,O,X,O,X,X,X,X,X
LTIOSJZ,X,X,X,O,O,X,X,X,X
LTIOSZJ,X,X,X,O,O,X,X,X,X
