sequence,v115@MhB8CeA8EeB8BeB8CeE8JeT/IvhF2lBRhBfoB6oBUq?BFrB,v115@MhB8CeA8EeB8BeB8CeE8JeT/IvhF2lBRhBSoBUoBFq?BXrB,v115@MhB8CeA8EeB8BeB8CeE8Jei/IvhFRhBziB+oBfqBVr?B0qB,v115@MhB8CeA8EeB8BeB8CeE8Jex/IvhFihBziB+oBlkBcq?BXrB,v115@MhB8CeA8EeB8BeB8CeE8Jei/IvhFRhBGjBzkBUoBFr?B3qB,v115@MhB8CeA8EeB8BeB8CeE8Jem/IvhFRhBCjB0kBToBFr?B3qB,v115@MhB8CeA8EeB8BeB8CeE8Je/EJvhFihBziB+oBxqB0q?BFqB,v115@MhB8CeA8EeB8BeB8CeE8Je/EJvhFUgBRhBCjBVrBTo?B2vB,v115@MhB8CeA8EeB8BeB8CeE8JeRBJvhFCjB0kBllBToBXr?BmpB
TIJSZOL,O,X,O,O,X,X,O,O,X
TIJSOLZ,O,O,O,X,X,X,O,O,X
TIJSOZL,O,X,O,O,X,X,O,O,X
TIJZLSO,X,X,X,O,O,O,X,O,X
TIJZLOS,X,O,O,O,O,O,X,X,X
TIJZSLO,O,X,O,O,O,O,X,O,X
TIJZSOL,O,X,O,O,O,O,X,O,X
TIJZOLS,X,O,O,O,O,O,X,O,X
TIJZOSL,O,X,O,O,O,O,X,O,X
TIJOLSZ,O,O,O,X,X,X,O,O,X
TIJOLZS,X,O,O,O,O,O,X,O,X
TIJOSLZ,O,O,O,X,X,X,O,O,X
TIJOSZL,O,X,O,O,X,X,O,O,X
TIJOZLS,X,O,O,O,O,O,X,O,X
TIJOZSL,O,X,O,O,O,O,X,O,X
TISLJZO,O,O,O,X,X,X,O,O,X
TISLJOZ,O,O,O,X,X,X,O,O,X
TISLZJO,O,O,O,X,O,O,X,O,X
TISLZOJ,O,O,X,X,X,X,X,O,O
TISLOJZ,O,O,O,X,X,X,X,O,O
TISLOZJ,O,O,X,X,X,X,X,O,O
TISJLZO,O,O,O,X,X,X,O,O,X
TISJLOZ,O,O,O,X,X,X,O,O,X
TISJZLO,O,O,O,O,X,X,O,O,X
TISJZOL,O,O,O,O,X,X,O,O,O
TISJOLZ,O,O,O,X,X,X,O,O,O
TISJOZL,O,O,O,O,X,X,O,O,O
TISZLJO,O,O,O,O,O,O,X,O,X
TISZLOJ,O,O,X,X,X,X,X,O,O
TISZJLO,O,O,O,O,O,O,X,O,X
TISZJOL,O,O,O,O,O,O,X,O,O
TISZOLJ,O,O,X,X,O,O,X,O,O
TISZOJL,O,O,X,X,O,O,X,O,O
TISOLJZ,O,O,O,X,X,X,X,O,O
TISOLZJ,O,O,X,X,O,O,X,O,O
TISOJLZ,O,O,O,X,X,X,X,O,O
TISOJZL,O,O,O,X,X,X,X,O,O
TISOZLJ,O,O,X,X,O,O,X,O,O
TISOZJL,O,O,X,X,O,O,X,O,O
TIZLJSO,O,X,X,O,O,O,X,X,X
TIZLJOS,O,O,O,O,O,O,X,X,X
TIZLSJO,O,X,X,O,O,O,X,O,X
TIZLSOJ,O,X,X,X,X,X,X,O,X
TIZLOJS,O,O,X,O,O,O,X,X,X
TIZLOSJ,O,X,X,X,O,O,X,X,X
TIZJLSO,O,X,X,O,O,O,X,X,X
TIZJLOS,O,O,O,O,O,O,X,X,X
TIZJSLO,O,X,O,O,O,O,X,X,X
TIZJSOL,O,X,O,O,O,O,X,X,X
TIZJOLS,O,O,O,O,O,O,X,X,X
TIZJOSL,O,X,O,O,O,O,X,X,X
TIZSLJO,O,X,O,O,O,O,X,O,X
TIZSLOJ,O,X,X,X,X,X,X,O,X
TIZSJLO,O,X,O,O,O,O,X,O,X
TIZSJOL,O,X,O,O,O,O,X,O,X
TIZSOLJ,O,X,X,X,O,O,X,O,X
TIZSOJL,O,X,X,X,O,O,X,O,X
TIZOLJS,O,O,X,O,O,O,X,X,X
TIZOLSJ,O,X,X,X,O,O,X,O,X
TIZOJLS,O,O,X,O,O,O,X,X,X
TIZOJSL,O,X,X,O,O,O,X,X,X
TIZOSLJ,O,X,X,X,O,O,X,O,X
TIZOSJL,O,X,X,X,O,O,X,O,X
TIOLJSZ,O,O,O,X,X,X,X,O,X
TIOLJZS,X,O,O,X,O,O,X,O,X
TIOLSJZ,O,O,X,X,X,X,X,O,O
TIOLSZJ,O,O,X,X,O,O,X,O,O
TIOLZJS,X,O,X,X,O,O,X,X,X
TIOLZSJ,X,X,X,X,O,O,X,O,X
TIOJLSZ,O,O,O,X,X,X,X,O,X
TIOJLZS,X,O,O,O,O,O,X,O,X
TIOJSLZ,O,O,O,X,X,X,X,O,X
TIOJSZL,O,X,O,O,X,X,X,O,X
TIOJZLS,X,O,O,O,O,O,X,O,X
TIOJZSL,O,X,O,O,O,O,X,O,X
TIOSLJZ,O,O,O,X,X,X,X,O,O
TIOSLZJ,O,O,X,X,O,O,X,O,O
TIOSJLZ,O,O,O,X,X,X,X,O,O
TIOSJZL,O,O,O,X,X,X,X,O,O
TIOSZLJ,O,O,X,X,O,O,X,O,O
TIOSZJL,O,O,X,X,O,O,X,O,O
TIOZLJS,O,O,X,O,O,O,X,X,X
TIOZLSJ,O,X,X,X,O,O,X,O,X
TIOZJLS,O,O,X,O,O,O,X,X,X
TIOZJSL,O,X,X,O,O,O,X,X,X
TIOZSLJ,O,X,X,X,O,O,X,O,X
TIOZSJL,O,X,X,X,O,O,X,O,X
TLIJSZO,O,X,O,X,X,X,O,O,X
TLIJSOZ,O,O,O,X,X,X,O,O,X
TLIJZSO,X,X,X,O,O,O,X,O,X
TLIJZOS,X,O,O,O,O,O,X,X,X
TLIJOSZ,O,O,O,X,X,X,O,O,X
TLIJOZS,X,O,O,O,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,O,O,X
TLISJOZ,O,O,O,X,X,X,O,O,X
TLISZJO,O,O,O,X,O,O,X,O,X
TLISZOJ,O,O,X,X,X,X,X,O,X
TLISOJZ,O,O,O,X,X,X,X,O,X
TLISOZJ,O,O,X,X,X,X,X,O,X
TLIZJSO,X,X,X,O,O,O,X,X,X
TLIZJOS,X,O,O,O,O,O,X,X,X
TLIZSJO,X,X,X,O,O,O,X,O,X
TLIZSOJ,X,X,X,X,X,X,X,O,X
TLIZOJS,X,O,X,O,O,O,X,X,X
TLIZOSJ,X,X,X,X,O,O,X,X,X
TLIOJSZ,O,O,O,X,X,X,X,O,X
TLIOJZS,X,O,O,X,O,O,X,X,X
TLIOSJZ,O,O,X,X,X,X,X,O,X
TLIOSZJ,O,O,X,X,O,O,X,O,X
TLIOZJS,X,O,X,X,O,O,X,X,X
TLIOZSJ,X,X,X,X,O,O,X,O,X
TLJISZO,O,X,O,X,X,X,O,O,X
TLJISOZ,O,O,O,X,X,X,O,O,X
TLJIZSO,X,X,X,O,O,O,X,O,X
TLJIZOS,X,O,O,O,O,O,X,X,X
TLJIOSZ,O,O,O,X,X,X,O,O,X
TLJIOZS,X,O,O,O,X,X,X,O,X
TLJSIZO,O,O,O,X,X,X,O,O,X
TLJSIOZ,O,O,O,X,X,X,O,O,X
TLJSZIO,O,O,O,O,X,X,X,O,X
TLJSZOI,O,O,O,O,X,X,X,O,X
TLJSOIZ,O,O,O,X,X,X,O,O,X
TLJSOZI,O,O,O,O,X,X,X,O,X
TLJZISO,X,X,X,O,O,O,X,O,X
TLJZIOS,X,O,O,O,O,O,X,X,X
TLJZSIO,X,X,X,O,O,O,X,O,X
TLJZSOI,X,X,X,O,X,X,X,O,X
TLJZOIS,X,O,O,O,O,O,X,X,X
TLJZOSI,X,O,X,O,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,O,O,X
TLJOIZS,X,O,O,O,X,X,X,O,X
TLJOSIZ,O,O,O,X,X,X,O,O,X
TLJOSZI,O,O,O,O,X,X,X,O,X
TLJOZIS,X,O,O,O,X,X,X,O,X
TLJOZSI,X,O,X,O,X,X,X,O,X
TLSIJZO,O,O,O,X,X,X,O,O,X
TLSIJOZ,O,O,O,X,X,X,O,O,X
TLSIZJO,O,O,O,X,O,O,X,O,X
TLSIZOJ,O,O,X,X,X,X,X,O,X
TLSIOJZ,O,O,O,X,X,X,X,O,X
TLSIOZJ,O,O,X,X,X,X,X,O,X
TLSJIZO,O,O,O,X,X,X,O,O,X
TLSJIOZ,O,O,O,X,X,X,O,O,X
TLSJZIO,O,O,O,O,X,X,X,O,X
TLSJZOI,O,O,O,O,X,X,X,O,X
TLSJOIZ,O,O,O,X,X,X,O,O,X
TLSJOZI,O,O,O,O,X,X,X,O,X
TLSZIJO,O,O,O,O,O,O,X,O,X
TLSZIOJ,O,O,X,O,X,X,X,O,X
TLSZJIO,O,O,O,O,O,O,X,O,X
TLSZJOI,O,O,O,O,X,X,X,O,X
TLSZOIJ,O,O,X,O,X,X,X,O,X
TLSZOJI,O,O,X,O,X,X,X,O,X
TLSOIJZ,O,O,O,X,X,X,X,O,X
TLSOIZJ,O,O,X,X,X,X,X,O,X
TLSOJIZ,O,O,O,X,X,X,X,O,X
TLSOJZI,O,O,O,X,X,X,X,O,X
TLSOZIJ,O,O,X,X,X,X,X,O,X
TLSOZJI,O,O,X,X,X,X,X,O,X
TLZIJSO,O,X,X,O,O,O,X,X,X
TLZIJOS,O,O,O,O,O,O,X,X,X
TLZISJO,O,X,X,O,O,O,X,O,X
TLZISOJ,O,X,X,X,X,X,X,O,X
TLZIOJS,O,O,X,O,O,O,X,X,X
TLZIOSJ,O,X,X,X,O,O,X,X,X
TLZJISO,O,X,X,O,O,O,X,O,X
TLZJIOS,O,O,O,O,O,O,X,X,X
TLZJSIO,O,X,X,O,O,O,X,O,X
TLZJSOI,O,X,X,O,X,X,X,O,X
TLZJOIS,O,O,O,O,O,O,X,X,X
TLZJOSI,O,O,X,O,O,O,X,X,X
TLZSIJO,O,O,X,O,O,O,X,O,X
TLZSIOJ,O,O,X,X,X,X,X,O,X
TLZSJIO,O,O,X,O,O,O,X,O,X
TLZSJOI,O,O,X,O,X,X,X,O,X
TLZSOIJ,O,O,X,X,X,X,X,O,X
TLZSOJI,O,O,X,X,X,X,X,X,X
TLZOIJS,O,O,X,O,O,O,X,X,X
TLZOISJ,O,X,X,X,O,O,X,X,X
TLZOJIS,O,O,X,O,O,O,X,X,X
TLZOJSI,O,O,X,O,O,O,X,X,X
TLZOSIJ,O,O,X,X,O,O,X,X,X
TLZOSJI,O,O,X,X,O,O,X,X,X
TLOIJSZ,O,O,O,X,X,X,X,O,X
TLOIJZS,X,O,O,X,O,O,X,O,X
TLOISJZ,O,O,X,X,X,X,X,O,X
TLOISZJ,O,O,X,X,O,O,X,O,X
TLOIZJS,X,O,X,X,O,O,X,X,X
TLOIZSJ,X,X,X,X,O,O,X,O,X
TLOJISZ,O,O,O,X,X,X,X,O,X
TLOJIZS,X,O,O,X,O,O,X,O,X
TLOJSIZ,O,O,O,X,X,X,X,O,X
TLOJSZI,O,O,X,X,X,X,X,O,X
TLOJZIS,X,O,O,X,O,O,X,O,X
TLOJZSI,X,O,X,X,O,O,X,O,X
TLOSIJZ,O,O,X,X,X,X,X,O,X
TLOSIZJ,O,O,X,X,O,O,X,O,X
TLOSJIZ,O,O,X,X,X,X,X,O,X
TLOSJZI,O,O,X,X,X,X,X,O,X
TLOSZIJ,O,O,X,X,O,O,X,O,X
TLOSZJI,O,O,X,X,O,O,X,O,X
TLOZIJS,O,O,X,X,O,O,X,X,X
TLOZISJ,O,X,X,X,O,O,X,O,X
TLOZJIS,O,O,X,X,O,O,X,O,X
TLOZJSI,O,O,X,X,O,O,X,O,X
TLOZSIJ,O,O,X,X,O,O,X,O,X
TLOZSJI,O,O,X,X,O,O,X,O,X
TJILSZO,O,X,O,X,X,X,O,O,X
TJILSOZ,O,O,O,X,X,X,O,O,X
TJILZSO,X,X,X,O,O,O,X,O,X
TJILZOS,X,O,O,O,O,O,X,X,X
TJILOSZ,O,O,O,X,X,X,O,O,X
TJILOZS,X,O,O,O,X,X,X,O,X
TJISLZO,O,X,O,X,X,X,O,O,X
TJISLOZ,O,O,O,X,X,X,O,O,X
TJISZLO,O,X,O,O,X,X,O,O,X
TJISZOL,O,X,O,O,X,X,O,O,X
TJISOLZ,O,O,O,X,X,X,O,O,X
TJISOZL,O,X,O,O,X,X,O,O,X
TJIZLSO,X,X,X,O,O,O,X,O,X
TJIZLOS,X,O,O,O,O,O,X,X,X
TJIZSLO,O,X,O,O,O,O,X,O,X
TJIZSOL,O,X,O,O,O,O,X,O,X
TJIZOLS,X,O,O,O,O,O,X,O,X
TJIZOSL,O,X,O,O,O,O,X,O,X
TJIOLSZ,O,O,O,X,X,X,O,O,X
TJIOLZS,X,O,O,O,O,O,X,O,X
TJIOSLZ,O,O,O,X,X,X,O,O,X
TJIOSZL,O,X,O,O,X,X,O,O,X
TJIOZLS,X,O,O,O,O,O,X,O,X
TJIOZSL,O,X,O,O,O,O,X,O,X
TJLISZO,O,X,O,X,X,X,O,O,X
TJLISOZ,O,O,O,X,X,X,O,O,X
TJLIZSO,X,X,X,O,O,O,X,O,X
TJLIZOS,X,O,O,O,O,O,X,X,X
TJLIOSZ,O,O,O,X,X,X,O,O,X
TJLIOZS,X,O,O,O,X,X,X,O,X
TJLSIZO,O,O,O,X,X,X,O,O,X
TJLSIOZ,O,O,O,X,X,X,O,O,X
TJLSZIO,O,O,O,O,X,X,X,O,X
TJLSZOI,O,O,O,O,X,X,X,O,X
TJLSOIZ,O,O,O,X,X,X,O,O,X
TJLSOZI,O,O,O,O,X,X,X,O,X
TJLZISO,X,X,X,O,O,O,X,O,X
TJLZIOS,X,O,O,O,O,O,X,X,X
TJLZSIO,X,X,X,O,O,O,X,O,X
TJLZSOI,X,X,X,O,X,X,X,O,X
TJLZOIS,X,O,O,O,O,O,X,X,X
TJLZOSI,X,O,X,O,X,X,X,X,X
TJLOISZ,O,O,O,X,X,X,O,O,X
TJLOIZS,X,O,O,O,X,X,X,O,X
TJLOSIZ,O,O,O,X,X,X,O,O,X
TJLOSZI,O,O,O,O,X,X,X,O,X
TJLOZIS,X,O,O,O,X,X,X,O,X
TJLOZSI,X,O,X,O,X,X,X,O,X
TJSILZO,O,O,O,X,X,X,O,O,X
TJSILOZ,O,O,O,X,X,X,O,O,X
TJSIZLO,O,O,O,O,X,X,O,O,X
TJSIZOL,O,O,O,O,X,X,O,O,X
TJSIOLZ,O,O,O,X,X,X,O,O,X
TJSIOZL,O,O,O,O,X,X,O,O,X
TJSLIZO,O,O,O,X,X,X,O,O,X
TJSLIOZ,O,O,O,X,X,X,O,O,X
TJSLZIO,O,O,O,O,X,X,X,O,X
TJSLZOI,O,O,O,O,X,X,X,O,X
TJSLOIZ,O,O,O,X,X,X,O,O,X
TJSLOZI,O,O,O,O,X,X,X,O,X
TJSZILO,O,O,O,O,X,X,X,O,X
TJSZIOL,O,O,O,O,X,X,X,O,X
TJSZLIO,O,O,O,O,X,X,X,O,X
TJSZLOI,O,O,O,O,X,X,X,O,X
TJSZOIL,O,O,O,O,X,X,X,O,X
TJSZOLI,O,O,O,O,X,X,X,O,X
TJSOILZ,O,O,O,X,X,X,O,O,X
TJSOIZL,O,O,O,O,X,X,O,O,X
TJSOLIZ,O,O,O,X,X,X,O,O,X
TJSOLZI,O,O,O,O,X,X,X,O,X
TJSOZIL,O,O,O,O,X,X,X,O,X
TJSOZLI,O,O,O,O,X,X,X,O,X
TJZILSO,O,X,X,O,O,O,X,O,X
TJZILOS,O,O,O,O,O,O,X,X,X
TJZISLO,O,X,O,O,O,O,X,O,X
TJZISOL,O,X,O,O,O,O,X,O,X
TJZIOLS,O,O,O,O,O,O,X,O,X
TJZIOSL,O,X,O,O,O,O,X,O,X
TJZLISO,O,X,X,O,O,O,X,O,X
TJZLIOS,O,O,O,O,O,O,X,X,X
TJZLSIO,O,X,X,O,O,O,X,O,X
TJZLSOI,O,X,X,O,X,X,X,O,X
TJZLOIS,O,O,O,O,O,O,X,X,X
TJZLOSI,O,O,X,O,O,O,X,X,X
TJZSILO,O,X,O,O,O,O,X,O,X
TJZSIOL,O,X,O,O,O,O,X,O,X
TJZSLIO,O,X,O,O,O,O,X,O,X
TJZSLOI,O,X,O,O,X,X,X,O,X
TJZSOIL,O,X,O,O,O,O,X,O,X
TJZSOLI,O,X,O,O,O,O,X,O,X
TJZOILS,O,O,O,O,O,O,X,O,X
TJZOISL,O,X,O,O,O,O,X,O,X
TJZOLIS,O,O,O,O,O,O,X,O,X
TJZOLSI,O,O,X,O,O,O,X,O,X
TJZOSIL,O,X,O,O,O,O,X,O,X
TJZOSLI,O,X,O,O,O,O,X,O,X
TJOILSZ,O,O,O,X,X,X,O,O,X
TJOILZS,X,O,O,O,O,O,X,O,X
TJOISLZ,O,O,O,X,X,X,O,O,X
TJOISZL,O,X,O,O,X,X,O,O,X
TJOIZLS,X,O,O,O,O,O,X,O,X
TJOIZSL,O,X,O,O,O,O,X,O,X
TJOLISZ,O,O,O,X,X,X,O,O,X
TJOLIZS,X,O,O,O,O,O,X,O,X
TJOLSIZ,O,O,O,X,X,X,O,O,X
TJOLSZI,O,O,O,O,X,X,X,O,X
TJOLZIS,X,O,O,O,O,O,X,O,X
TJOLZSI,X,O,X,O,O,O,X,O,X
TJOSILZ,O,O,O,X,X,X,O,O,X
TJOSIZL,O,O,O,O,X,X,O,O,X
TJOSLIZ,O,O,O,X,X,X,O,O,X
TJOSLZI,O,O,O,O,X,X,X,O,X
TJOSZIL,O,O,O,O,X,X,X,O,X
TJOSZLI,O,O,O,O,X,X,X,O,X
TJOZILS,O,O,O,O,O,O,X,O,X
TJOZISL,O,X,O,O,O,O,X,O,X
TJOZLIS,O,O,O,O,O,O,X,O,X
TJOZLSI,O,O,X,O,O,O,X,O,X
TJOZSIL,O,X,O,O,O,O,X,O,X
TJOZSLI,O,X,O,O,O,O,X,O,X
TSILJZO,O,O,O,X,X,X,O,O,X
TSILJOZ,O,O,O,X,X,X,O,O,X
TSILZJO,O,O,O,X,O,O,X,O,X
TSILZOJ,O,O,X,X,X,X,X,O,O
TSILOJZ,O,O,O,X,X,X,X,O,O
TSILOZJ,O,O,X,X,X,X,X,O,O
TSIJLZO,O,O,O,X,X,X,O,O,X
TSIJLOZ,O,O,O,X,X,X,O,O,X
TSIJZLO,O,O,O,O,X,X,O,O,X
TSIJZOL,O,O,O,O,X,X,O,O,O
TSIJOLZ,O,O,O,X,X,X,O,O,O
TSIJOZL,O,O,O,O,X,X,O,O,O
TSIZLJO,O,O,O,O,O,O,X,O,X
TSIZLOJ,O,O,X,X,X,X,X,O,O
TSIZJLO,O,O,O,O,O,O,X,O,X
TSIZJOL,O,O,O,O,O,O,X,O,O
TSIZOLJ,O,O,X,X,O,O,X,O,O
TSIZOJL,O,O,X,X,O,O,X,O,O
TSIOLJZ,O,O,O,X,X,X,X,O,O
TSIOLZJ,O,O,X,X,O,O,X,O,O
TSIOJLZ,O,O,O,X,X,X,X,O,O
TSIOJZL,O,O,O,X,X,X,X,O,O
TSIOZLJ,O,O,X,X,O,O,X,O,O
TSIOZJL,O,O,X,X,O,O,X,O,O
TSLIJZO,O,O,O,X,X,X,O,O,X
TSLIJOZ,O,O,O,X,X,X,O,O,X
TSLIZJO,O,O,O,X,O,O,X,O,X
TSLIZOJ,O,O,X,X,X,X,X,O,O
TSLIOJZ,O,O,O,X,X,X,X,O,O
TSLIOZJ,O,O,X,X,X,X,X,O,O
TSLJIZO,O,O,O,X,X,X,O,O,X
TSLJIOZ,O,O,O,X,X,X,O,O,X
TSLJZIO,O,O,O,O,X,X,X,O,X
TSLJZOI,O,O,O,O,X,X,X,O,X
TSLJOIZ,O,O,O,X,X,X,O,O,X
TSLJOZI,O,O,O,O,X,X,X,O,X
TSLZIJO,O,O,O,O,O,O,X,O,X
TSLZIOJ,O,O,X,O,X,X,X,O,O
TSLZJIO,O,O,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,X,X,X,O,X
TSLZOIJ,O,O,X,O,X,X,X,O,O
TSLZOJI,O,O,X,O,X,X,X,O,O
TSLOIJZ,O,O,O,X,X,X,X,O,O
TSLOIZJ,O,O,X,X,X,X,X,O,O
TSLOJIZ,O,O,O,X,X,X,X,O,O
TSLOJZI,O,O,O,X,X,X,X,O,O
TSLOZIJ,O,O,X,X,X,X,X,O,O
TSLOZJI,O,O,X,X,X,X,X,O,O
TSJILZO,O,O,O,X,X,X,O,O,X
TSJILOZ,O,O,O,X,X,X,O,O,X
TSJIZLO,O,O,O,O,X,X,O,O,X
TSJIZOL,O,O,O,O,X,X,O,O,O
TSJIOLZ,O,O,O,X,X,X,O,O,O
TSJIOZL,O,O,O,O,X,X,O,O,O
TSJLIZO,O,O,O,X,X,X,O,O,X
TSJLIOZ,O,O,O,X,X,X,O,O,X
TSJLZIO,O,O,O,O,X,X,X,O,X
TSJLZOI,O,O,O,O,X,X,X,O,X
TSJLOIZ,O,O,O,X,X,X,O,O,X
TSJLOZI,O,O,O,O,X,X,X,O,X
TSJZILO,O,O,O,O,X,X,X,O,X
TSJZIOL,O,O,O,O,X,X,X,O,O
TSJZLIO,O,O,O,O,X,X,X,O,X
TSJZLOI,O,O,O,O,X,X,X,O,X
TSJZOIL,O,O,O,O,X,X,X,O,O
TSJZOLI,O,O,O,O,X,X,X,O,O
TSJOILZ,O,O,O,X,X,X,O,O,O
TSJOIZL,O,O,O,O,X,X,O,O,O
TSJOLIZ,O,O,O,X,X,X,O,O,O
TSJOLZI,O,O,O,O,X,X,X,O,O
TSJOZIL,O,O,O,O,X,X,X,O,O
TSJOZLI,O,O,O,O,X,X,X,O,O
TSZILJO,O,O,O,O,O,O,X,O,X
TSZILOJ,O,O,X,O,X,X,X,O,O
TSZIJLO,O,O,O,O,O,O,X,O,X
TSZIJOL,O,O,O,O,O,O,X,O,O
TSZIOLJ,O,O,X,O,O,O,X,O,O
TSZIOJL,O,O,X,O,O,O,X,O,O
TSZLIJO,O,O,O,O,O,O,X,O,X
TSZLIOJ,O,O,X,O,X,X,X,O,O
TSZLJIO,O,O,O,O,O,O,X,O,X
TSZLJOI,O,O,O,O,X,X,X,O,X
TSZLOIJ,O,O,X,O,X,X,X,O,O
TSZLOJI,O,O,X,O,X,X,X,O,O
TSZJILO,O,O,O,O,O,O,X,O,X
TSZJIOL,O,O,O,O,O,O,X,O,O
TSZJLIO,O,O,O,O,O,O,X,O,X
TSZJLOI,O,O,O,O,X,X,X,O,X
TSZJOIL,O,O,O,O,O,O,X,O,O
TSZJOLI,O,O,O,O,O,O,X,O,O
TSZOILJ,O,O,X,O,O,O,X,O,O
TSZOIJL,O,O,X,O,O,O,X,O,O
TSZOLIJ,O,O,X,O,O,O,X,O,O
TSZOLJI,O,O,X,O,O,O,X,O,O
TSZOJIL,O,O,X,O,O,O,X,O,O
TSZOJLI,O,O,X,O,O,O,X,O,O
TSOILJZ,O,O,O,X,X,X,X,O,O
TSOILZJ,O,O,X,X,O,O,X,O,O
TSOIJLZ,O,O,O,X,X,X,X,O,O
TSOIJZL,O,O,O,X,X,X,X,O,O
TSOIZLJ,O,O,X,X,O,O,X,O,O
TSOIZJL,O,O,X,X,O,O,X,O,O
TSOLIJZ,O,O,O,X,X,X,X,O,O
TSOLIZJ,O,O,X,X,O,O,X,O,O
TSOLJIZ,O,O,O,X,X,X,X,O,O
TSOLJZI,O,O,O,X,X,X,X,O,O
TSOLZIJ,O,O,X,X,O,O,X,O,O
TSOLZJI,O,O,X,X,O,O,X,O,O
TSOJILZ,O,O,O,X,X,X,X,O,O
TSOJIZL,O,O,O,X,X,X,X,O,O
TSOJLIZ,O,O,O,X,X,X,X,O,O
TSOJLZI,O,O,O,X,X,X,X,O,O
TSOJZIL,O,O,O,X,X,X,X,O,O
TSOJZLI,O,O,O,X,X,X,X,O,O
TSOZILJ,O,O,X,X,O,O,X,O,O
TSOZIJL,O,O,X,X,O,O,X,O,O
TSOZLIJ,O,O,X,X,O,O,X,O,O
TSOZLJI,O,O,X,X,O,O,X,O,O
TSOZJIL,O,O,X,X,O,O,X,O,O
TSOZJLI,O,O,X,X,O,O,X,O,O
TZILJSO,O,X,X,O,O,O,X,X,X
TZILJOS,O,O,O,O,O,O,X,X,X
TZILSJO,O,X,X,O,O,O,X,O,X
TZILSOJ,O,X,X,X,X,X,X,O,X
TZILOJS,O,O,X,O,O,O,X,X,X
TZILOSJ,O,X,X,X,O,O,X,X,X
TZIJLSO,O,X,X,O,O,O,X,X,X
TZIJLOS,O,O,O,O,O,O,X,X,X
TZIJSLO,O,X,O,O,O,O,X,X,X
TZIJSOL,O,X,O,O,O,O,X,X,X
TZIJOLS,O,O,O,O,O,O,X,X,X
TZIJOSL,O,X,O,O,O,O,X,X,X
TZISLJO,O,X,O,O,O,O,X,O,X
TZISLOJ,O,X,X,X,X,X,X,O,X
TZISJLO,O,X,O,O,O,O,X,O,X
TZISJOL,O,X,O,O,O,O,X,O,X
TZISOLJ,O,X,X,X,O,O,X,O,X
TZISOJL,O,X,X,X,O,O,X,O,X
TZIOLJS,O,O,X,O,O,O,X,X,X
TZIOLSJ,O,X,X,X,O,O,X,O,O
TZIOJLS,O,O,X,O,O,O,X,X,X
