sequence,v115@ShC8FeG8AeB8JeOEJvhFXgBxhBTjBUmBFnBCtB,v115@ShC8FeG8AeB8JeOEJvhFXgB0iB6oBRmBTmBlsB,v115@ShC8FeG8AeB8JeOEJvhFXgBxiBFmB6sBTtB0rB,v115@ShC8FeG8AeB8JeOEJvhFXgBVmBUiBToBxrBCtB
TJIZSLO,X,O,X,X
TJIZSOL,X,X,X,O
TJIZOLS,X,X,X,X
TJIZOSL,X,X,X,O
TJIOLSZ,X,X,X,X
TJIOLZS,X,X,X,X
TJIOSLZ,X,X,X,X
TJIOSZL,X,X,X,O
TJIOZLS,X,X,X,X
TJIOZSL,X,X,X,O
TJLISZO,X,O,X,X
TJLISOZ,O,X,X,X
TJLIZSO,X,O,X,X
TJLIZOS,X,X,X,X
TJLIOSZ,O,X,X,X
TJLIOZS,X,X,X,X
TJLSIZO,X,O,X,X
TJLSIOZ,O,X,X,X
TJLSZIO,O,O,X,X
TJLSZOI,O,X,X,X
TJLSOIZ,O,X,O,X
TJLSOZI,O,X,O,X
TJLZISO,O,O,X,X
TJLZIOS,O,X,X,X
TJLZSIO,O,O,X,X
TJLZSOI,O,X,X,X
TJLZOIS,O,X,X,X
TJLZOSI,O,X,X,X
TJLOISZ,O,X,O,X
TJLOIZS,X,X,X,X
TJLOSIZ,O,X,O,X
TJLOSZI,O,X,O,X
TJLOZIS,O,X,X,X
TJLOZSI,O,X,X,X
TJSILZO,X,O,X,X
TJSILOZ,O,X,X,X
TJSIZLO,X,O,X,X
TJSIZOL,X,X,X,O
TJSIOLZ,X,X,X,X
TJSIOZL,X,X,X,O
TJSLIZO,X,O,X,X
TJSLIOZ,O,X,X,X
TJSLZIO,O,O,X,X
TJSLZOI,O,X,X,X
TJSLOIZ,O,X,O,X
TJSLOZI,O,X,O,X
TJSZILO,O,O,X,X
TJSZIOL,X,X,X,O
TJSZLIO,O,O,X,X
TJSZLOI,O,X,X,X
TJSZOIL,X,X,X,O
TJSZOLI,X,X,X,X
TJSOILZ,X,X,X,X
TJSOIZL,X,X,X,O
TJSOLIZ,X,X,O,X
TJSOLZI,X,X,O,X
TJSOZIL,X,X,X,O
TJSOZLI,X,X,X,X
TJZILSO,O,O,X,X
TJZILOS,O,X,X,X
TJZISLO,O,O,X,X
TJZISOL,X,X,X,O
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,O
TJZLISO,O,O,X,X
TJZLIOS,O,X,X,X
TJZLSIO,O,O,X,X
TJZLSOI,O,X,X,X
TJZLOIS,O,X,X,X
TJZLOSI,O,X,X,X
TJZSILO,O,O,X,X
TJZSIOL,X,X,X,O
TJZSLIO,O,O,X,X
TJZSLOI,O,X,X,X
TJZSOIL,X,X,X,O
TJZSOLI,X,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,O
TJZOSLI,X,X,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,O
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,O
TJOLISZ,X,X,O,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,O,X
TJOLSZI,X,X,O,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,X,X,O
TJOSLIZ,X,X,O,X
TJOSLZI,X,X,O,X
TJOSZIL,X,X,X,O
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,O
TJOZSLI,X,X,X,X
TSILJZO,X,O,X,X
TSILJOZ,O,X,X,X
TSILZJO,X,O,X,X
TSILZOJ,X,X,X,X
TSILOJZ,O,X,X,X
TSILOZJ,X,X,X,X
TSIJLZO,X,O,X,X
TSIJLOZ,O,X,X,X
TSIJZLO,X,O,X,X
TSIJZOL,X,X,X,O
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,O
TSIZLJO,X,O,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,O,X,X
TSIZJOL,X,X,X,O
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,O
TSIOLJZ,X,X,X,X
TSIOLZJ,X,X,X,X
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,O
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,O
TSLIJZO,X,O,X,X
TSLIJOZ,O,X,X,X
TSLIZJO,X,O,X,X
TSLIZOJ,X,X,X,X
TSLIOJZ,O,X,X,X
TSLIOZJ,X,X,X,X
TSLJIZO,X,O,X,X
TSLJIOZ,O,X,X,X
TSLJZIO,O,O,X,X
TSLJZOI,O,X,X,X
TSLJOIZ,O,X,O,X
TSLJOZI,O,X,O,X
TSLZIJO,O,O,X,X
TSLZIOJ,O,X,X,X
TSLZJIO,O,O,X,X
TSLZJOI,O,X,X,X
TSLZOIJ,O,X,X,X
TSLZOJI,O,X,X,X
TSLOIJZ,O,X,O,X
TSLOIZJ,X,X,X,X
TSLOJIZ,O,X,O,X
TSLOJZI,O,X,O,X
TSLOZIJ,O,X,X,X
TSLOZJI,O,X,X,X
TSJILZO,X,O,X,X
TSJILOZ,O,X,X,X
TSJIZLO,X,O,X,X
TSJIZOL,X,X,X,O
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,O
TSJLIZO,X,O,X,X
TSJLIOZ,O,X,X,X
TSJLZIO,O,O,X,X
TSJLZOI,O,X,X,X
TSJLOIZ,O,X,O,X
TSJLOZI,O,X,O,X
TSJZILO,O,O,X,X
TSJZIOL,X,X,X,O
TSJZLIO,O,O,X,X
TSJZLOI,O,X,X,X
TSJZOIL,X,X,X,O
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,O
TSJOLIZ,X,X,O,X
TSJOLZI,X,X,O,X
TSJOZIL,X,X,X,O
TSJOZLI,X,X,X,X
TSZILJO,O,O,X,X
TSZILOJ,O,X,X,X
TSZIJLO,O,O,X,X
TSZIJOL,X,X,X,O
TSZIOLJ,X,X,X,X
TSZIOJL,X,X,X,O
