sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
TIOJZSL,O,X,X,O,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,O,X,X,X,X,X
TIOZLJS,O,X,X,O,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,O,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,O,X,O,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,O,X,O,X,X,X,X,X
TLIJSZO,X,O,O,X,X,X,X,X,X,O,X,X
TLIJSOZ,X,O,O,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,X,X,X,X,X,O,O,X,X
TLIJZOS,O,X,X,X,X,O,X,X,O,X,X,X
TLIJOSZ,X,X,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,O,X,X,O,X,X,X
TLISJZO,O,O,X,X,X,X,X,X,X,O,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,O,X,X
TLISZOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,X,X,O,X,X
TLIZJOS,O,X,X,X,O,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,O,X,X,X,X,O,X,X
TLIZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,O,X,X,O,X,X,X
TLIOSJZ,O,O,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,O,O,X,X,X,X,X,X
TLJISZO,X,O,O,X,X,X,X,O,X,O,X,X
TLJISOZ,X,O,O,X,X,X,X,O,X,X,X,X
TLJIZSO,O,O,X,X,X,X,X,O,O,O,X,X
TLJIZOS,O,X,X,X,X,O,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,O,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,O,X,X,O,X,X,X
TLJSIZO,X,O,O,X,X,X,X,O,X,O,O,O
TLJSIOZ,X,O,O,X,X,X,X,O,X,X,X,O
TLJSZIO,X,O,O,X,X,X,X,O,O,O,O,O
TLJSZOI,X,O,O,X,X,O,X,O,O,X,X,O
TLJSOIZ,X,O,O,X,X,O,X,O,X,X,X,O
