sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
ITLSZOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ITLZJSO,O,O,X,X,X,X,X,X,X,O,X,X
ITLZJOS,O,X,X,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X,O,X,X
ITLZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITLZOJS,X,X,X,X,X,O,X,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
ITLOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,O,X,X,O,X,X,X
ITLOSJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,O,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,O,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,O,X,X,X,X,X,X
ITJLSZO,X,O,X,X,X,X,X,X,X,O,X,X
ITJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJLZSO,O,O,X,X,X,X,X,X,O,O,X,X
ITJLZOS,O,X,X,X,X,O,X,X,O,X,X,X
ITJLOSZ,X,X,X,X,X,O,X,X,X,X,X,X
ITJLOZS,O,X,X,X,X,O,X,X,O,X,X,X
ITJSLZO,O,O,O,X,X,X,X,X,X,O,O,X
ITJSLOZ,O,O,O,X,X,X,X,X,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X,X,X,O,O,X
ITJSZOL,O,O,O,X,X,X,O,X,X,X,O,X
ITJSOLZ,O,O,O,X,X,X,X,X,X,X,X,X
ITJSOZL,O,O,O,X,X,X,O,X,X,X,O,X
ITJZLSO,O,X,X,X,X,X,X,X,O,X,X,X
ITJZLOS,O,X,X,X,X,O,X,X,O,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,O,X,O,X
ITJZSOL,O,O,X,X,X,X,X,X,X,X,O,X
ITJZOLS,O,X,X,O,X,X,X,X,O,X,X,X
ITJZOSL,O,X,X,O,X,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,X,X,X,X,X,X,X
ITJOLZS,O,X,X,O,X,X,X,X,X,X,X,X
ITJOSLZ,O,X,O,O,X,X,X,X,X,X,X,X
ITJOSZL,O,X,O,O,X,X,O,X,X,X,X,X
ITJOZLS,O,X,X,O,X,X,X,X,X,X,X,X
ITJOZSL,O,X,X,O,X,X,O,X,X,X,X,X
ITSLJZO,O,O,X,X,X,X,X,X,X,O,O,X
ITSLJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X,X,O,O,X
ITSLZOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X,X,O,O,X
ITSJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,O,O,X
ITSJZOL,O,O,X,X,X,X,O,X,X,X,O,X
ITSJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSJOZL,O,O,X,X,X,X,O,X,X,X,O,X
ITSZLJO,O,O,X,X,X,X,X,X,X,X,O,X
ITSZLOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X,X,O,O,X
ITSZJOL,O,O,X,X,X,X,O,X,X,X,O,X
ITSZOLJ,O,X,X,X,X,X,X,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X,X,X,O,X
ITSOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,O,X,X,X,O,X
ITSOZLJ,O,X,X,X,X,X,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,O,X,X,X,O,X
ITZLJSO,O,O,X,X,O,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,O,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZLOJS,X,X,X,X,X,O,X,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,O,X,X,X,X,X,X
ITZJLSO,O,X,X,X,O,X,X,X,X,X,X,X
ITZJLOS,O,X,X,X,O,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,O,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,X,O,X,X,X,X,X,X,X
ITZJOSL,O,X,X,X,X,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X,X,X,O,X
ITZSLOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZSJLO,O,O,X,X,O,X,X,X,X,X,O,X
ITZSJOL,O,O,X,X,X,X,X,X,X,X,O,X
ITZSOLJ,O,X,X,X,X,X,X,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X,X,X,O,X
ITZOLJS,O,X,X,O,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,O,O,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITZOSJL,O,O,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,X,X,X,X,X
ITOLJZS,O,X,X,O,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLZJS,O,X,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X,X,X,X,X
ITOJLZS,O,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X
ITOJSZL,O,X,O,O,X,X,O,X,X,X,X,X
ITOJZLS,O,X,X,O,X,X,X,X,X,X,X,X
ITOJZSL,O,X,X,O,X,X,O,X,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJZL,O,O,X,O,X,X,O,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,O,X,X,X,X,X
ITOZLJS,O,X,X,O,O,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,O,O,X,X,X,X,X,X,X
ITOZJSL,O,X,X,O,O,X,O,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSJL,O,O,X,X,O,X,O,X,X,X,X,X
ILTJSZO,X,O,O,X,X,X,X,X,X,O,X,X
ILTJSOZ,X,O,O,X,X,X,X,X,X,X,X,X
ILTJZSO,O,O,X,X,X,X,X,X,O,O,X,X
ILTJZOS,O,X,X,X,X,O,X,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,O,X,X,X,X,X,X
ILTJOZS,O,X,X,X,X,O,X,X,O,X,X,X
ILTSJZO,O,O,X,X,X,X,X,X,X,O,X,X
ILTSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X,O,X,X
ILTSZOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILTZJSO,O,O,X,X,O,X,X,X,X,O,X,X
ILTZJOS,O,X,X,X,O,X,X,X,X,X,X,X
ILTZSJO,O,O,X,X,O,X,X,X,X,O,X,X
ILTZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILTZOJS,X,X,X,X,O,O,X,X,X,X,X,X
ILTZOSJ,X,O,X,X,O,O,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,O,X,X,X,X,X,X
ILTOJZS,O,X,X,X,X,O,X,X,O,X,X,X
ILTOSJZ,O,O,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,O,X,X,X,X,X,X
ILTOZJS,O,X,X,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,O,O,X,X,X,X,X,X
ILJTSZO,X,O,O,X,X,X,X,O,X,O,X,X
ILJTSOZ,X,O,O,X,X,X,X,O,X,X,X,X
ILJTZSO,X,O,X,X,X,X,X,O,O,O,X,X
ILJTZOS,X,X,X,X,X,O,X,X,O,X,X,X
ILJTOSZ,X,X,O,X,X,O,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,O,X,X,O,X,X,X
ILJSTZO,X,O,O,X,X,X,X,O,X,O,O,O
ILJSTOZ,X,O,O,X,X,X,X,O,X,X,X,O
ILJSZTO,X,O,O,X,X,X,X,O,X,O,O,O
ILJSZOT,X,X,O,X,X,X,O,X,X,O,X,X
ILJSOTZ,X,O,O,X,X,X,X,X,X,X,X,X
ILJSOZT,X,X,O,X,X,X,O,X,X,O,X,X
ILJZTSO,X,O,O,X,X,X,X,O,O,O,X,X
ILJZTOS,X,X,O,X,X,O,X,X,O,X,X,X
ILJZSTO,X,O,O,X,X,X,X,O,O,O,O,O
ILJZSOT,X,X,O,X,X,X,X,X,O,O,X,X
ILJZOTS,X,X,O,O,X,O,X,X,O,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,O,O,X,X
ILJOTSZ,X,X,O,O,X,O,X,X,X,X,X,X
ILJOTZS,X,X,X,O,X,O,X,X,O,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,O,X,X,O,X,X
ILJOZTS,X,X,O,O,X,O,X,X,O,X,X,X
ILJOZST,X,X,O,X,X,X,O,X,O,O,X,X
ILSTJZO,O,O,X,X,X,X,X,X,X,O,O,O
ILSTJOZ,O,O,X,X,X,X,X,X,X,X,X,O
ILSTZJO,O,O,X,X,X,X,X,O,X,O,O,O
ILSTZOJ,X,O,X,X,X,X,X,X,X,X,X,O
ILSTOJZ,O,O,X,X,X,X,X,X,X,X,X,O
ILSTOZJ,O,O,X,X,X,X,X,X,X,X,X,O
ILSJTZO,O,O,X,X,X,X,X,O,X,O,O,O
ILSJTOZ,O,O,X,X,X,X,X,O,X,X,X,O
ILSJZTO,X,O,X,X,X,X,X,O,X,O,O,O
ILSJZOT,X,X,X,X,X,X,O,X,X,O,X,X
ILSJOTZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,O,X,X,O,X,X
ILSZTJO,X,O,X,X,X,X,X,O,X,O,X,X
ILSZTOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILSZJTO,X,O,X,X,X,X,X,O,X,O,X,X
ILSZJOT,X,X,X,X,X,X,O,X,X,O,X,X
ILSZOTJ,X,O,X,X,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X,X,O,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X,O,X,X,O,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X,O,X,X,O,X,X
ILZTJSO,X,O,O,X,O,X,X,X,X,O,X,X
ILZTJOS,X,X,O,X,O,X,X,X,X,X,X,X
ILZTSJO,X,O,X,X,O,X,X,X,X,O,X,X
ILZTSOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILZTOJS,X,X,O,X,O,X,X,X,X,X,X,X
ILZTOSJ,X,O,X,X,O,X,X,X,X,X,X,X
ILZJTSO,X,O,O,X,O,X,X,O,X,O,X,X
ILZJTOS,X,X,O,X,O,X,X,X,X,X,X,X
ILZJSTO,X,O,O,X,O,X,X,O,X,O,X,X
ILZJSOT,X,X,O,X,X,X,X,X,X,O,X,X
ILZJOTS,X,X,O,X,O,X,X,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,X,X,O,X,X
ILZSTJO,X,O,X,X,O,X,X,O,X,O,X,X
ILZSTOJ,X,O,X,X,X,X,X,X,X,X,X,X
ILZSJTO,X,O,X,X,O,X,X,O,X,O,X,X
ILZSJOT,X,X,X,X,X,X,X,X,X,O,X,X
ILZSOTJ,X,O,X,X,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X,X,X,O,X,X
ILZOTJS,X,X,O,X,O,X,X,X,X,X,X,X
ILZOTSJ,X,O,X,X,O,X,X,X,X,X,X,X
ILZOJTS,X,X,O,X,O,X,X,X,X,X,X,X
ILZOJST,X,X,O,X,O,X,X,X,X,O,X,X
ILZOSTJ,X,O,X,X,O,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,O,X,X,X,X,O,X,X
ILOTJSZ,X,X,O,O,X,O,X,X,X,X,X,X
ILOTJZS,O,X,X,O,X,O,X,X,O,X,X,X
ILOTSJZ,O,O,X,O,X,O,X,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,O,X,X,X,X,X,X
ILOTZJS,O,X,X,O,O,O,X,X,X,X,X,X
ILOTZSJ,O,O,X,O,O,O,X,X,X,X,X,X
ILOJTSZ,X,X,O,O,X,O,X,X,X,X,X,X
ILOJTZS,X,X,X,O,X,O,X,X,O,X,X,X
ILOJSTZ,X,X,O,X,X,X,X,X,X,X,X,X
ILOJSZT,X,X,O,X,X,X,O,X,X,O,X,X
ILOJZTS,X,X,O,O,X,O,X,X,O,X,X,X
ILOJZST,X,X,O,X,X,X,O,X,O,O,X,X
ILOSTJZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,X,O,X,X,O,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X,O,X,X,O,X,X
ILOZTJS,O,X,O,X,O,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,O,X,X,X,X,X,X,X
ILOZJTS,X,X,O,X,O,X,X,X,X,X,X,X
ILOZJST,X,X,O,X,O,X,O,X,X,O,X,X
ILOZSTJ,O,O,X,X,O,X,X,X,X,X,X,X
ILOZSJT,X,X,X,X,O,X,O,X,X,O,X,X
IJTLSZO,X,O,X,X,X,X,X,O,X,O,X,X
IJTLSOZ,X,O,X,X,X,X,X,O,X,X,X,X
IJTLZSO,O,O,X,X,X,X,X,O,O,O,X,X
IJTLZOS,O,X,X,X,X,O,X,X,O,X,X,X
IJTLOSZ,X,X,X,X,X,O,X,X,X,X,X,X
IJTLOZS,O,X,X,X,X,O,X,X,O,X,X,X
IJTSLZO,O,O,O,X,X,X,X,O,X,O,O,X
IJTSLOZ,O,O,O,X,X,X,X,O,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,O,X,O,O,X
IJTSZOL,O,O,O,X,X,X,O,O,X,X,O,X
IJTSOLZ,O,O,O,X,X,X,X,O,X,X,X,X
IJTSOZL,O,O,O,X,X,X,O,O,X,X,O,X
IJTZLSO,O,X,X,X,X,X,X,X,O,X,X,X
IJTZLOS,O,X,X,X,X,O,X,X,O,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,O,X,O,X
IJTZSOL,O,O,X,X,X,X,X,X,X,X,O,X
IJTZOLS,O,X,X,O,X,X,X,X,O,X,X,X
IJTZOSL,O,X,X,O,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,O,X,O,O,X,X,X,X,X,X,X,X
IJTOSZL,O,X,O,O,X,X,O,X,X,X,X,X
IJTOZLS,O,X,X,O,X,X,X,X,X,X,X,X
IJTOZSL,O,X,X,O,X,X,O,X,X,X,X,X
IJLTSZO,X,O,O,X,X,X,X,O,X,O,X,X
IJLTSOZ,X,O,O,X,X,X,X,O,X,X,X,X
IJLTZSO,X,O,X,X,X,X,X,O,O,O,X,X
IJLTZOS,X,X,X,X,X,O,X,X,O,X,X,X
IJLTOSZ,X,X,O,X,X,O,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,X,X,O,X,X,X
IJLSTZO,X,O,O,X,X,X,X,O,X,O,O,O
IJLSTOZ,X,O,O,X,X,X,X,O,X,X,X,O
IJLSZTO,X,O,O,X,X,X,X,O,X,O,O,O
IJLSZOT,X,X,O,X,X,X,O,X,X,O,X,X
IJLSOTZ,X,O,O,X,X,X,X,X,X,X,X,X
IJLSOZT,X,X,O,X,X,X,O,X,X,O,X,X
IJLZTSO,X,O,O,X,X,X,X,O,O,O,X,X
IJLZTOS,X,X,O,X,X,O,X,X,O,X,X,X
IJLZSTO,X,O,O,X,X,X,X,O,O,O,O,O
IJLZSOT,X,X,O,X,X,X,X,X,O,O,X,X
IJLZOTS,X,X,O,O,X,O,X,X,O,X,X,X
IJLZOST,X,X,O,X,X,X,X,X,O,O,X,X
IJLOTSZ,X,X,O,O,X,O,X,X,X,X,X,X
IJLOTZS,X,X,X,O,X,O,X,X,O,X,X,X
IJLOSTZ,X,X,O,X,X,X,X,X,X,X,X,X
IJLOSZT,X,X,O,X,X,X,O,X,X,O,X,X
IJLOZTS,X,X,O,O,X,O,X,X,O,X,X,X
IJLOZST,X,X,O,X,X,X,O,X,O,O,X,X
IJSTLZO,O,O,O,X,X,X,X,O,X,O,O,X
IJSTLOZ,O,O,O,X,X,X,X,O,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,O,X,O,O,X
IJSTZOL,O,O,O,X,X,X,O,O,X,X,O,X
IJSTOLZ,O,O,O,X,X,X,X,O,X,X,X,X
IJSTOZL,O,O,O,X,X,X,O,O,X,X,O,X
IJSLTZO,O,O,O,X,X,X,X,O,X,O,O,X
IJSLTOZ,O,O,O,X,X,X,X,O,X,X,X,X
IJSLZTO,X,O,O,X,X,X,X,O,X,O,O,X
IJSLZOT,X,X,O,X,X,X,O,X,X,O,X,X
IJSLOTZ,O,O,O,X,X,X,X,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,O,X,X,O,X,X
IJSZTLO,O,O,O,X,X,X,X,O,X,O,O,X
IJSZTOL,O,O,O,X,X,X,O,O,X,X,O,X
IJSZLTO,X,O,O,X,X,X,X,X,X,O,O,X
IJSZLOT,X,X,O,X,X,X,O,X,X,O,X,X
IJSZOTL,O,X,O,O,X,X,O,X,X,X,O,X
IJSZOLT,X,X,O,X,X,X,O,X,X,O,X,X
IJSOTLZ,O,O,O,O,X,X,X,X,X,X,X,X
IJSOTZL,O,O,O,O,X,X,O,X,X,X,O,X
IJSOLTZ,O,O,O,X,X,X,X,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,O,X,X,O,X,X
IJSOZTL,O,X,O,O,X,X,O,X,X,X,O,X
IJSOZLT,X,X,O,X,X,X,O,X,X,O,X,X
IJZTLSO,X,X,X,X,X,X,X,X,O,X,X,X
IJZTLOS,X,X,X,X,X,O,X,X,O,X,X,X
IJZTSLO,X,X,O,X,X,X,X,X,O,X,O,X
IJZTSOL,X,X,O,X,X,X,X,X,X,X,O,X
IJZTOLS,X,X,X,O,X,X,X,X,O,X,X,X
IJZTOSL,X,X,O,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,X,X,O,O,X,X
IJZLTOS,X,X,X,X,X,O,X,X,O,X,X,X
IJZLSTO,X,X,X,X,X,X,X,X,O,O,O,O
IJZLSOT,X,X,X,X,X,X,X,X,O,O,X,X
IJZLOTS,X,X,X,O,X,O,X,X,O,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,O,O,X,X
IJZSTLO,X,X,O,X,X,X,X,X,O,O,O,X
IJZSTOL,X,X,O,X,X,X,O,X,X,X,O,X
IJZSLTO,X,X,O,X,X,X,X,X,O,O,O,X
IJZSLOT,X,X,X,X,X,X,O,X,O,O,X,X
IJZSOTL,X,X,O,O,X,X,O,X,X,X,O,X
IJZSOLT,X,X,O,X,X,X,O,X,X,O,X,X
IJZOTLS,X,X,X,O,X,X,X,X,O,X,X,X
IJZOTSL,X,X,O,O,X,X,O,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X,X,X,O,X,X,X
IJZOLST,X,X,X,X,X,X,O,X,O,X,X,X
IJZOSTL,X,X,O,O,X,X,O,X,X,X,O,X
IJZOSLT,X,X,O,X,X,X,O,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,X,X,X,X,X,X
IJOTSZL,O,X,O,O,X,X,O,X,X,X,X,X
IJOTZLS,O,X,X,O,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,O,X,X,O,X,X,X,X,X
IJOLTSZ,X,X,O,O,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,X,X,X,X,X,X,X
IJOLSZT,X,X,O,X,X,X,O,X,X,O,X,X
IJOLZTS,X,X,O,O,X,X,X,X,X,X,X,X
IJOLZST,X,X,O,X,X,X,O,X,X,O,X,X
IJOSTLZ,O,X,O,O,X,X,X,X,X,X,X,X
IJOSTZL,O,X,O,O,X,X,O,X,X,X,O,X
IJOSLTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,O,X,X,O,X,X
IJOSZTL,O,X,O,O,X,X,O,X,X,X,O,X
IJOSZLT,X,X,O,X,X,X,O,X,X,O,X,X
IJOZTLS,O,X,X,O,X,X,X,X,X,X,X,X
IJOZTSL,O,X,O,O,X,X,O,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,O,X,X,X,X,X
IJOZSTL,O,X,O,O,X,X,O,X,X,X,O,X
IJOZSLT,X,X,O,X,X,X,O,X,X,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X,X,O,O,X
ISTLJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,O,X,O,O,X
ISTLZOJ,X,O,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X,O,O,X
ISTJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X,O,O,X
ISTJZOL,O,O,X,X,X,X,O,X,X,X,O,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,O,O,X,X,X,X,O,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X,O,X,X,O,X
ISTZLOJ,X,O,X,X,X,X,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,O,X,O,O,X
ISTZJOL,O,O,X,X,X,X,O,O,X,X,O,X
ISTZOLJ,O,X,X,X,X,X,X,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X,X,X,O,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,O,X,X,X,O,X
ISTOZLJ,O,X,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,O,X,X,X,O,X
ISLTJZO,O,O,X,X,X,X,X,X,X,O,O,X
ISLTJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X,O,X,O,O,X
ISLTZOJ,X,O,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISLJTZO,O,O,X,X,X,X,X,O,X,O,O,X
ISLJTOZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLJZTO,X,O,X,X,X,X,X,O,X,O,O,X
ISLJZOT,X,X,X,X,X,X,O,X,X,O,X,X
ISLJOTZ,O,O,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,O,X,X,O,X,X
ISLZTJO,X,O,X,X,X,X,X,O,X,O,X,X
ISLZTOJ,X,O,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,O,X,X,X,X,X,O,X,O,X,X
ISLZJOT,X,X,X,X,X,X,O,X,X,O,X,X
ISLZOTJ,X,O,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X,X,X,O,X,X
ISLOTJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,X,O,X,X,O,X,X
ISLOZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,X,X,X,X,X,O,X,X,O,X,X
ISJTLZO,O,O,X,X,X,X,X,O,X,O,O,X
ISJTLOZ,O,O,X,X,X,X,X,O,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X,O,X,O,O,X
ISJTZOL,O,O,X,X,X,X,O,O,X,X,O,X
ISJTOLZ,O,O,X,X,X,X,X,O,X,X,X,X
ISJTOZL,O,O,X,X,X,X,O,O,X,X,O,X
ISJLTZO,O,O,X,X,X,X,X,O,X,O,O,X
ISJLTOZ,O,O,X,X,X,X,X,O,X,X,X,X
ISJLZTO,X,O,X,X,X,X,X,O,X,O,O,X
ISJLZOT,X,X,X,X,X,X,O,X,X,O,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,X,O,X,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X,O,X,O,O,X
