sequence,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeqEJvhFTgB0hB?liB5oB3qB2wB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8Kez/IvhFqlBlhB?3iB5oBUqB2wB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhF3gBcmB?liB5oBTqBywB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeGAJvhFliB5oB?zkB3qBirB0rB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhFliB5oB?KqBzlBfsBUrB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhFzgBliB?5oBKqBUrBfsB
IOTSJZL,X,X,O,O,X,X
IOTSZLJ,O,O,O,O,X,X
IOTSZJL,X,O,O,O,X,X
IOTZLJS,X,O,O,X,X,X
IOTZLSJ,O,O,O,X,X,X
IOTZJLS,X,O,O,X,X,X
IOTZJSL,X,O,O,X,X,X
IOTZSLJ,O,O,O,O,X,X
IOTZSJL,X,O,O,O,X,X
IOLTJSZ,X,X,X,X,O,X
IOLTJZS,X,X,O,X,O,X
IOLTSJZ,O,X,X,O,O,X
IOLTSZJ,O,X,X,O,X,X
IOLTZJS,X,X,O,X,O,X
IOLTZSJ,O,X,O,X,X,X
IOLJTSZ,X,X,X,X,O,X
IOLJTZS,X,X,O,X,O,X
IOLJSTZ,X,X,X,X,O,X
IOLJSZT,X,X,X,X,O,X
IOLJZTS,X,X,O,X,O,O
IOLJZST,X,X,O,X,O,O
IOLSTJZ,O,X,X,O,O,X
IOLSTZJ,O,X,X,O,X,X
IOLSJTZ,O,X,X,O,O,X
IOLSJZT,O,X,X,O,O,X
IOLSZTJ,O,X,X,O,X,X
IOLSZJT,O,X,X,O,X,X
IOLZTJS,X,X,O,X,O,O
IOLZTSJ,O,X,O,X,X,X
IOLZJTS,X,X,O,X,O,O
IOLZJST,X,X,O,X,O,O
IOLZSTJ,O,X,O,X,X,X
IOLZSJT,O,X,O,X,X,O
IOJTLSZ,X,X,X,X,O,X
IOJTLZS,X,X,O,X,O,X
IOJTSLZ,X,X,X,O,X,X
IOJTSZL,X,X,O,O,X,X
IOJTZLS,X,X,O,X,X,X
IOJTZSL,X,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,X
IOJLTZS,X,X,O,X,O,X
IOJLSTZ,X,X,X,X,O,X
IOJLSZT,X,X,X,X,O,X
IOJLZTS,X,X,O,X,O,O
IOJLZST,X,X,O,X,O,O
IOJSTLZ,X,X,X,O,X,X
IOJSTZL,X,X,O,O,X,X
IOJSLTZ,X,X,X,O,X,X
IOJSLZT,X,X,X,O,X,X
IOJSZTL,X,X,O,O,X,X
IOJSZLT,X,X,O,O,X,X
IOJZTLS,X,X,O,X,X,X
IOJZTSL,X,X,O,X,X,X
IOJZLTS,X,X,O,X,X,X
IOJZLST,X,X,O,X,X,X
IOJZSTL,X,X,O,X,X,X
IOJZSLT,X,X,O,X,X,X
IOSTLJZ,O,X,X,O,X,X
IOSTLZJ,O,X,X,O,X,X
IOSTJLZ,X,X,X,O,X,X
IOSTJZL,X,X,O,O,X,X
IOSTZLJ,O,O,O,O,X,X
IOSTZJL,X,O,O,O,X,X
IOSLTJZ,O,X,X,O,X,X
IOSLTZJ,O,X,X,O,X,X
IOSLJTZ,O,X,X,O,X,X
IOSLJZT,O,X,X,O,X,X
IOSLZTJ,O,X,X,O,X,X
IOSLZJT,O,X,X,O,X,X
IOSJTLZ,X,X,X,O,X,X
IOSJTZL,X,X,O,O,X,X
IOSJLTZ,X,X,X,O,X,X
IOSJLZT,X,X,X,O,X,X
IOSJZTL,X,X,O,O,X,X
IOSJZLT,X,X,O,O,X,X
IOSZTLJ,O,O,O,O,X,X
IOSZTJL,X,O,O,O,X,X
IOSZLTJ,O,O,O,O,X,X
IOSZLJT,O,O,O,O,X,X
IOSZJTL,X,O,O,O,X,X
IOSZJLT,X,O,O,O,X,X
IOZTLJS,X,O,O,X,X,O
IOZTLSJ,O,O,O,X,X,X
IOZTJLS,X,O,O,X,X,X
IOZTJSL,X,O,O,X,X,X
IOZTSLJ,O,O,O,O,X,X
IOZTSJL,X,O,O,O,X,X
IOZLTJS,X,O,O,X,X,O
IOZLTSJ,O,O,O,X,X,X
IOZLJTS,X,O,O,X,X,O
IOZLJST,X,O,O,X,X,O
IOZLSTJ,O,O,O,X,X,X
IOZLSJT,O,O,O,X,X,O
IOZJTLS,X,O,O,X,X,X
IOZJTSL,X,O,O,X,X,X
IOZJLTS,X,O,O,X,X,O
IOZJLST,X,O,O,X,X,O
IOZJSTL,X,O,O,X,X,X
IOZJSLT,X,O,O,X,X,X
IOZSTLJ,O,O,O,O,X,X
IOZSTJL,X,O,O,O,X,X
IOZSLTJ,O,O,O,O,X,X
IOZSLJT,O,O,O,O,X,O
IOZSJTL,X,O,O,O,X,X
IOZSJLT,X,O,O,O,X,X
LTIJSZO,O,X,X,X,X,X
LTIJSOZ,O,X,X,X,O,X
LTIJZSO,O,X,X,X,X,O
LTIJZOS,X,X,X,X,O,O
LTIJOSZ,X,X,X,X,O,X
LTIJOZS,X,X,O,X,O,X
LTISJZO,O,X,X,X,X,X
LTISJOZ,O,X,X,X,O,X
LTISZJO,O,O,X,X,X,X
LTISZOJ,O,O,X,X,X,X
LTISOJZ,O,X,X,O,O,X
LTISOZJ,O,X,X,O,X,X
LTIZJSO,O,O,X,X,X,O
LTIZJOS,X,O,X,X,O,O
LTIZSJO,O,O,X,X,X,X
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,X,O,O,X,O,O
LTIZOSJ,O,O,O,X,X,X
LTIOJSZ,X,X,X,X,O,X
LTIOJZS,X,X,O,X,O,X
LTIOSJZ,O,X,X,O,O,X
LTIOSZJ,O,X,X,O,X,X
LTIOZJS,X,X,O,X,O,X
LTIOZSJ,O,X,O,X,X,X
LTJISZO,O,X,X,X,X,X
LTJISOZ,O,X,X,X,O,X
LTJIZSO,O,X,X,X,X,O
LTJIZOS,X,X,X,X,O,O
LTJIOSZ,X,X,X,X,O,X
LTJIOZS,X,X,O,X,O,X
LTJSIZO,O,X,X,X,X,X
LTJSIOZ,O,X,X,X,O,X
LTJSZIO,O,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X
LTJSOIZ,O,X,X,X,O,X
LTJSOZI,O,X,X,X,X,X
LTJZISO,O,X,X,X,X,O
LTJZIOS,X,X,X,X,O,O
LTJZSIO,O,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X
LTJZOIS,X,X,X,X,O,O
LTJZOSI,X,X,X,X,X,X
LTJOISZ,X,X,X,X,O,X
LTJOIZS,X,X,O,X,O,X
LTJOSIZ,X,X,X,X,O,X
LTJOSZI,X,X,X,X,X,X
LTJOZIS,X,X,O,X,O,X
LTJOZSI,X,X,O,X,X,X
LTSIJZO,O,X,X,X,X,X
LTSIJOZ,O,X,X,X,O,X
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,O,O,X,X,X,X
LTSIOJZ,O,X,X,O,O,X
LTSIOZJ,O,X,X,O,X,X
LTSJIZO,O,X,X,X,X,X
LTSJIOZ,O,X,X,X,O,X
LTSJZIO,O,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X
LTSJOIZ,O,X,X,X,O,X
LTSJOZI,O,X,X,X,X,X
LTSZIJO,O,O,X,X,X,X
LTSZIOJ,O,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X
LTSZOIJ,O,O,X,X,X,X
LTSZOJI,O,O,X,X,X,X
LTSOIJZ,O,X,X,O,O,X
LTSOIZJ,O,X,X,O,X,X
LTSOJIZ,O,X,X,O,O,X
LTSOJZI,O,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,X
LTSOZJI,O,X,X,X,X,X
LTZIJSO,O,O,X,X,X,O
LTZIJOS,X,O,X,X,O,O
LTZISJO,O,O,X,X,X,X
LTZISOJ,O,O,X,X,X,X
LTZIOJS,X,O,O,X,O,O
LTZIOSJ,O,O,O,X,X,X
LTZJISO,O,O,X,X,X,O
LTZJIOS,X,O,X,X,O,O
LTZJSIO,O,O,X,X,X,X
LTZJSOI,O,O,X,X,X,X
LTZJOIS,X,O,X,X,O,O
LTZJOSI,X,O,X,X,X,X
LTZSIJO,O,O,X,X,X,X
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,X,X,X,X
LTZOIJS,X,O,O,X,O,O
LTZOISJ,O,O,O,X,X,X
LTZOJIS,X,O,O,X,O,O
LTZOJSI,X,O,O,X,X,X
LTZOSIJ,O,O,O,X,X,X
LTZOSJI,O,O,O,X,X,X
LTOIJSZ,X,X,X,X,O,X
LTOIJZS,X,X,O,X,O,X
LTOISJZ,O,X,X,O,O,X
LTOISZJ,O,X,X,O,X,X
LTOIZJS,X,X,O,X,O,X
LTOIZSJ,O,X,O,X,X,X
LTOJISZ,X,X,X,X,O,X
LTOJIZS,X,X,O,X,O,X
LTOJSIZ,X,X,X,X,O,X
LTOJSZI,X,X,X,X,X,X
LTOJZIS,X,X,O,X,O,X
LTOJZSI,X,X,O,X,X,X
LTOSIJZ,O,X,X,O,O,X
LTOSIZJ,O,X,X,O,X,X
LTOSJIZ,O,X,X,O,O,X
LTOSJZI,O,X,X,X,X,X
LTOSZIJ,O,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X
LTOZIJS,X,X,O,X,O,X
LTOZISJ,O,X,O,X,X,X
LTOZJIS,X,X,O,X,O,X
LTOZJSI,X,X,O,X,X,X
LTOZSIJ,O,X,O,X,X,X
LTOZSJI,O,X,O,X,X,X
LITJSZO,O,X,X,X,X,X
LITJSOZ,O,X,X,X,O,X
LITJZSO,O,X,X,X,X,O
LITJZOS,X,X,X,X,O,O
LITJOSZ,X,X,X,X,O,X
LITJOZS,X,X,O,X,O,X
LITSJZO,O,X,X,X,X,X
LITSJOZ,O,X,X,X,O,X
LITSZJO,O,O,X,X,X,X
LITSZOJ,O,O,X,X,X,X
LITSOJZ,O,X,X,O,O,X
LITSOZJ,O,X,X,O,X,X
LITZJSO,O,O,X,X,X,O
LITZJOS,X,O,X,X,O,O
LITZSJO,O,O,X,X,X,X
LITZSOJ,O,O,X,X,X,X
LITZOJS,X,O,O,X,O,O
LITZOSJ,O,O,O,X,X,X
LITOJSZ,X,X,X,X,O,X
LITOJZS,X,X,O,X,O,X
LITOSJZ,O,X,X,O,O,X
LITOSZJ,O,X,X,O,X,X
LITOZJS,X,X,O,X,O,X
LITOZSJ,O,X,O,X,X,X
LIJTSZO,O,X,X,X,X,X
LIJTSOZ,O,X,X,X,O,X
LIJTZSO,O,X,X,X,X,O
LIJTZOS,X,X,X,X,O,O
LIJTOSZ,X,X,X,X,O,X
LIJTOZS,X,X,O,X,O,X
LIJSTZO,O,X,X,X,X,X
LIJSTOZ,O,X,X,X,O,X
LIJSZTO,O,X,X,X,X,O
LIJSZOT,O,X,X,X,X,O
LIJSOTZ,O,X,X,X,O,X
LIJSOZT,O,X,X,X,O,X
LIJZTSO,O,X,X,X,X,O
LIJZTOS,X,X,X,X,O,O
LIJZSTO,O,X,X,X,X,O
LIJZSOT,O,X,X,X,X,O
LIJZOTS,X,X,X,X,O,O
LIJZOST,X,X,X,X,O,O
LIJOTSZ,X,X,X,X,O,X
LIJOTZS,X,X,O,X,O,X
LIJOSTZ,X,X,X,X,O,X
LIJOSZT,X,X,X,X,O,X
LIJOZTS,X,X,O,X,O,O
LIJOZST,X,X,O,X,O,O
LISTJZO,O,X,X,X,X,X
LISTJOZ,O,X,X,X,O,X
LISTZJO,O,O,X,X,X,X
LISTZOJ,O,O,X,X,X,X
LISTOJZ,O,X,X,O,O,X
LISTOZJ,O,X,X,O,X,X
LISJTZO,O,X,X,X,X,X
LISJTOZ,O,X,X,X,O,X
LISJZTO,O,X,X,X,X,O
LISJZOT,O,X,X,X,X,O
LISJOTZ,O,X,X,X,O,X
LISJOZT,O,X,X,X,O,X
LISZTJO,O,O,X,X,X,X
LISZTOJ,O,O,X,X,X,X
LISZJTO,O,O,X,X,X,O
LISZJOT,O,O,X,X,X,O
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,O,X,X,X,O
LISOTJZ,O,X,X,O,O,X
LISOTZJ,O,X,X,O,X,X
LISOJTZ,O,X,X,O,O,X
LISOJZT,O,X,X,O,O,X
LISOZTJ,O,X,X,O,X,X
LISOZJT,O,X,X,O,X,X
LIZTJSO,O,O,X,X,X,O
LIZTJOS,X,O,X,X,O,O
LIZTSJO,O,O,X,X,X,X
LIZTSOJ,O,O,X,X,X,X
LIZTOJS,X,O,O,X,O,O
LIZTOSJ,O,O,O,X,X,X
LIZJTSO,O,O,X,X,X,O
LIZJTOS,X,O,X,X,O,O
LIZJSTO,O,O,X,X,X,O
LIZJSOT,O,O,X,X,X,O
LIZJOTS,X,O,X,X,O,O
LIZJOST,X,O,X,X,O,O
LIZSTJO,O,O,X,X,X,X
LIZSTOJ,O,O,X,X,X,X
LIZSJTO,O,O,X,X,X,O
LIZSJOT,O,O,X,X,X,O
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,O,X,X,X,O
LIZOTJS,X,O,O,X,O,O
LIZOTSJ,O,O,O,X,X,X
LIZOJTS,X,O,O,X,O,O
LIZOJST,X,O,O,X,O,O
LIZOSTJ,O,O,O,X,X,X
LIZOSJT,O,O,O,X,X,O
LIOTJSZ,X,X,X,X,O,X
LIOTJZS,X,X,O,X,O,X
LIOTSJZ,O,X,X,O,O,X
LIOTSZJ,O,X,X,O,X,X
LIOTZJS,X,X,O,X,O,X
LIOTZSJ,O,X,O,X,X,X
LIOJTSZ,X,X,X,X,O,X
LIOJTZS,X,X,O,X,O,X
LIOJSTZ,X,X,X,X,O,X
LIOJSZT,X,X,X,X,O,X
LIOJZTS,X,X,O,X,O,O
LIOJZST,X,X,O,X,O,O
LIOSTJZ,O,X,X,O,O,X
LIOSTZJ,O,X,X,O,X,X
LIOSJTZ,O,X,X,O,O,X
LIOSJZT,O,X,X,O,O,X
LIOSZTJ,O,X,X,O,X,X
LIOSZJT,O,X,X,O,X,X
LIOZTJS,X,X,O,X,O,O
LIOZTSJ,O,X,O,X,X,X
LIOZJTS,X,X,O,X,O,O
LIOZJST,X,X,O,X,O,O
LIOZSTJ,O,X,O,X,X,X
LIOZSJT,O,X,O,X,X,O
LJTISZO,O,X,X,X,X,X
LJTISOZ,O,X,X,X,O,X
LJTIZSO,O,X,X,X,X,O
LJTIZOS,X,X,X,X,O,O
LJTIOSZ,X,X,X,X,O,X
LJTIOZS,X,X,O,X,O,X
LJTSIZO,O,X,X,X,X,X
LJTSIOZ,O,X,X,X,O,X
LJTSZIO,O,X,X,X,X,X
LJTSZOI,O,X,X,X,X,X
LJTSOIZ,O,X,X,X,O,X
LJTSOZI,O,X,X,X,X,X
LJTZISO,O,X,X,X,X,O
LJTZIOS,X,X,X,X,O,O
LJTZSIO,O,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X
LJTZOIS,X,X,X,X,O,O
LJTZOSI,X,X,X,X,X,X
LJTOISZ,X,X,X,X,O,X
LJTOIZS,X,X,O,X,O,X
LJTOSIZ,X,X,X,X,O,X
LJTOSZI,X,X,X,X,X,X
LJTOZIS,X,X,O,X,O,X
LJTOZSI,X,X,O,X,X,X
LJITSZO,O,X,X,X,X,X
LJITSOZ,O,X,X,X,O,X
LJITZSO,O,X,X,X,X,O
LJITZOS,X,X,X,X,O,O
LJITOSZ,X,X,X,X,O,X
LJITOZS,X,X,O,X,O,X
LJISTZO,O,X,X,X,X,X
LJISTOZ,O,X,X,X,O,X
LJISZTO,O,X,X,X,X,O
LJISZOT,O,X,X,X,X,O
LJISOTZ,O,X,X,X,O,X
LJISOZT,O,X,X,X,O,X
LJIZTSO,O,X,X,X,X,O
LJIZTOS,X,X,X,X,O,O
LJIZSTO,O,X,X,X,X,O
LJIZSOT,O,X,X,X,X,O
LJIZOTS,X,X,X,X,O,O
LJIZOST,X,X,X,X,O,O
LJIOTSZ,X,X,X,X,O,X
LJIOTZS,X,X,O,X,O,X
LJIOSTZ,X,X,X,X,O,X
LJIOSZT,X,X,X,X,O,X
LJIOZTS,X,X,O,X,O,O
LJIOZST,X,X,O,X,O,O
LJSTIZO,O,X,X,X,X,X
LJSTIOZ,O,X,X,X,O,X
LJSTZIO,O,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X
LJSTOIZ,O,X,X,X,O,X
LJSTOZI,O,X,X,X,X,X
LJSITZO,O,X,X,X,X,X
LJSITOZ,O,X,X,X,O,X
LJSIZTO,O,X,X,X,X,O
LJSIZOT,O,X,X,X,X,O
LJSIOTZ,O,X,X,X,O,X
LJSIOZT,O,X,X,X,O,X
LJSZTIO,O,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X
LJSZITO,O,X,X,X,X,O
LJSZIOT,O,X,X,X,X,O
LJSZOTI,O,X,X,X,X,X
LJSZOIT,O,X,X,X,X,O
LJSOTIZ,O,X,X,X,O,X
LJSOTZI,O,X,X,X,X,X
LJSOITZ,O,X,X,X,O,X
LJSOIZT,O,X,X,X,O,X
LJSOZTI,O,X,X,X,X,X
LJSOZIT,O,X,X,X,X,X
LJZTISO,O,X,X,X,X,O
LJZTIOS,X,X,X,X,O,O
LJZTSIO,O,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X
LJZTOIS,X,X,X,X,O,O
LJZTOSI,X,X,X,X,X,X
LJZITSO,O,X,X,X,X,O
LJZITOS,X,X,X,X,O,O
LJZISTO,O,X,X,X,X,O
LJZISOT,O,X,X,X,X,O
LJZIOTS,X,X,X,X,O,O
LJZIOST,X,X,X,X,O,O
LJZSTIO,O,X,X,X,X,X
LJZSTOI,O,X,X,X,X,X
LJZSITO,O,X,X,X,X,O
LJZSIOT,O,X,X,X,X,O
LJZSOTI,O,X,X,X,X,X
LJZSOIT,O,X,X,X,X,O
LJZOTIS,X,X,X,X,O,O
LJZOTSI,X,X,X,X,X,X
LJZOITS,X,X,X,X,O,O
LJZOIST,X,X,X,X,O,O
LJZOSTI,X,X,X,X,X,X
LJZOSIT,X,X,X,X,X,O
LJOTISZ,X,X,X,X,O,X
LJOTIZS,X,X,O,X,O,X
LJOTSIZ,X,X,X,X,O,X
LJOTSZI,X,X,X,X,X,X
LJOTZIS,X,X,O,X,O,X
LJOTZSI,X,X,O,X,X,X
LJOITSZ,X,X,X,X,O,X
LJOITZS,X,X,O,X,O,X
LJOISTZ,X,X,X,X,O,X
LJOISZT,X,X,X,X,O,X
LJOIZTS,X,X,O,X,O,O
LJOIZST,X,X,O,X,O,O
LJOSTIZ,X,X,X,X,O,X
LJOSTZI,X,X,X,X,X,X
LJOSITZ,X,X,X,X,O,X
LJOSIZT,X,X,X,X,O,X
LJOSZTI,X,X,X,X,X,X
LJOSZIT,X,X,X,X,X,X
LJOZTIS,X,X,O,X,O,O
LJOZTSI,X,X,O,X,X,X
LJOZITS,X,X,O,X,O,O
LJOZIST,X,X,O,X,O,O
LJOZSTI,X,X,O,X,X,X
LJOZSIT,X,X,O,X,X,O
LSTIJZO,O,X,X,X,X,X
LSTIJOZ,O,X,X,X,O,X
LSTIZJO,O,O,X,X,X,X
LSTIZOJ,O,O,X,X,X,X
LSTIOJZ,O,X,X,O,O,X
LSTIOZJ,O,X,X,O,X,X
LSTJIZO,O,X,X,X,X,X
LSTJIOZ,O,X,X,X,O,X
LSTJZIO,O,X,X,X,X,X
LSTJZOI,O,X,X,X,X,X
LSTJOIZ,O,X,X,X,O,X
LSTJOZI,O,X,X,X,X,X
LSTZIJO,O,O,X,X,X,X
LSTZIOJ,O,O,X,X,X,X
LSTZJIO,O,O,X,X,X,X
LSTZJOI,O,O,X,X,X,X
LSTZOIJ,O,O,X,X,X,X
LSTZOJI,O,O,X,X,X,X
LSTOIJZ,O,X,X,O,O,X
LSTOIZJ,O,X,X,O,X,X
LSTOJIZ,O,X,X,O,O,X
LSTOJZI,O,X,X,X,X,X
LSTOZIJ,O,X,X,X,X,X
LSTOZJI,O,X,X,X,X,X
LSITJZO,O,X,X,X,X,X
LSITJOZ,O,X,X,X,O,X
LSITZJO,O,O,X,X,X,X
LSITZOJ,O,O,X,X,X,X
LSITOJZ,O,X,X,O,O,X
LSITOZJ,O,X,X,O,X,X
LSIJTZO,O,X,X,X,X,X
LSIJTOZ,O,X,X,X,O,X
LSIJZTO,O,X,X,X,X,O
LSIJZOT,O,X,X,X,X,O
LSIJOTZ,O,X,X,X,O,X
LSIJOZT,O,X,X,X,O,X
LSIZTJO,O,O,X,X,X,X
LSIZTOJ,O,O,X,X,X,X
LSIZJTO,O,O,X,X,X,O
LSIZJOT,O,O,X,X,X,O
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,O,X,X,X,O
LSIOTJZ,O,X,X,O,O,X
LSIOTZJ,O,X,X,O,X,X
LSIOJTZ,O,X,X,O,O,X
LSIOJZT,O,X,X,O,O,X
LSIOZTJ,O,X,X,O,X,X
LSIOZJT,O,X,X,O,X,X
LSJTIZO,O,X,X,X,X,X
LSJTIOZ,O,X,X,X,O,X
LSJTZIO,O,X,X,X,X,X
LSJTZOI,O,X,X,X,X,X
LSJTOIZ,O,X,X,X,O,X
LSJTOZI,O,X,X,X,X,X
LSJITZO,O,X,X,X,X,X
LSJITOZ,O,X,X,X,O,X
LSJIZTO,O,X,X,X,X,O
LSJIZOT,O,X,X,X,X,O
LSJIOTZ,O,X,X,X,O,X
LSJIOZT,O,X,X,X,O,X
LSJZTIO,O,X,X,X,X,X
LSJZTOI,O,X,X,X,X,X
LSJZITO,O,X,X,X,X,O
LSJZIOT,O,X,X,X,X,O
LSJZOTI,O,X,X,X,X,X
LSJZOIT,O,X,X,X,X,O
LSJOTIZ,O,X,X,X,O,X
LSJOTZI,O,X,X,X,X,X
LSJOITZ,O,X,X,X,O,X
LSJOIZT,O,X,X,X,O,X
LSJOZTI,O,X,X,X,X,X
LSJOZIT,O,X,X,X,X,X
LSZTIJO,O,O,X,X,X,X
LSZTIOJ,O,O,X,X,X,X
LSZTJIO,O,O,X,X,X,X
LSZTJOI,O,O,X,X,X,X
LSZTOIJ,O,O,X,X,X,X
LSZTOJI,O,O,X,X,X,X
LSZITJO,O,O,X,X,X,X
LSZITOJ,O,O,X,X,X,X
LSZIJTO,O,O,X,X,X,O
LSZIJOT,O,O,X,X,X,O
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,O,X,X,X,O
LSZJTIO,O,O,X,X,X,X
LSZJTOI,O,O,X,X,X,X
LSZJITO,O,O,X,X,X,O
LSZJIOT,O,O,X,X,X,O
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,X,X,X,O
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,O,X,X,X,O
LSZOJTI,O,O,X,X,X,X
LSZOJIT,O,O,X,X,X,O
LSOTIJZ,O,X,X,O,O,X
LSOTIZJ,O,X,X,O,X,X
LSOTJIZ,O,X,X,O,O,X
LSOTJZI,O,X,X,X,X,X
LSOTZIJ,O,X,X,X,X,X
LSOTZJI,O,X,X,X,X,X
LSOITJZ,O,X,X,O,O,X
LSOITZJ,O,X,X,O,X,X
LSOIJTZ,O,X,X,O,O,X
LSOIJZT,O,X,X,O,O,X
LSOIZTJ,O,X,X,O,X,X
LSOIZJT,O,X,X,O,X,X
LSOJTIZ,O,X,X,O,O,X
LSOJTZI,O,X,X,X,X,X
LSOJITZ,O,X,X,O,O,X
LSOJIZT,O,X,X,O,O,X
LSOJZTI,O,X,X,X,X,X
LSOJZIT,O,X,X,X,X,X
LSOZTIJ,O,X,X,X,X,X
LSOZTJI,O,X,X,X,X,X
LSOZITJ,O,X,X,X,X,X
LSOZIJT,O,X,X,X,X,X
LSOZJTI,O,X,X,X,X,X
LSOZJIT,O,X,X,X,X,X
LZTIJSO,O,O,X,X,X,O
LZTIJOS,X,O,X,X,O,O
LZTISJO,O,O,X,X,X,X
LZTISOJ,O,O,X,X,X,X
LZTIOJS,X,O,O,X,O,O
LZTIOSJ,O,O,O,X,X,X
LZTJISO,O,O,X,X,X,O
LZTJIOS,X,O,X,X,O,O
LZTJSIO,O,O,X,X,X,X
LZTJSOI,O,O,X,X,X,X
LZTJOIS,X,O,X,X,O,O
LZTJOSI,X,O,X,X,X,X
LZTSIJO,O,O,X,X,X,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,X,X,X,X
LZTSJOI,O,O,X,X,X,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,X
LZTOIJS,X,O,O,X,O,O
LZTOISJ,O,O,O,X,X,X
LZTOJIS,X,O,O,X,O,O
LZTOJSI,X,O,O,X,X,X
LZTOSIJ,O,O,O,X,X,X
LZTOSJI,O,O,O,X,X,X
LZITJSO,O,O,X,X,X,O
LZITJOS,X,O,X,X,O,O
LZITSJO,O,O,X,X,X,X
LZITSOJ,O,O,X,X,X,X
LZITOJS,X,O,O,X,O,O
LZITOSJ,O,O,O,X,X,X
LZIJTSO,O,O,X,X,X,O
LZIJTOS,X,O,X,X,O,O
LZIJSTO,O,O,X,X,X,O
LZIJSOT,O,O,X,X,X,O
LZIJOTS,X,O,X,X,O,O
LZIJOST,X,O,X,X,O,O
LZISTJO,O,O,X,X,X,X
LZISTOJ,O,O,X,X,X,X
LZISJTO,O,O,X,X,X,O
LZISJOT,O,O,X,X,X,O
LZISOTJ,O,O,X,X,X,X
LZISOJT,O,O,X,X,X,O
LZIOTJS,X,O,O,X,O,O
LZIOTSJ,O,O,O,X,X,X
LZIOJTS,X,O,O,X,O,O
LZIOJST,X,O,O,X,O,O
LZIOSTJ,O,O,O,X,X,X
LZIOSJT,O,O,O,X,X,O
LZJTISO,O,O,X,X,X,O
LZJTIOS,X,O,X,X,O,O
LZJTSIO,O,O,X,X,X,X
LZJTSOI,O,O,X,X,X,X
LZJTOIS,X,O,X,X,O,O
LZJTOSI,X,O,X,X,X,X
LZJITSO,O,O,X,X,X,O
LZJITOS,X,O,X,X,O,O
LZJISTO,O,O,X,X,X,O
LZJISOT,O,O,X,X,X,O
LZJIOTS,X,O,X,X,O,O
LZJIOST,X,O,X,X,O,O
LZJSTIO,O,O,X,X,X,X
LZJSTOI,O,O,X,X,X,X
LZJSITO,O,O,X,X,X,O
LZJSIOT,O,O,X,X,X,O
LZJSOTI,O,O,X,X,X,X
LZJSOIT,O,O,X,X,X,O
LZJOTIS,X,O,X,X,O,O
LZJOTSI,X,O,X,X,X,X
LZJOITS,X,O,X,X,O,O
LZJOIST,X,O,X,X,O,O
LZJOSTI,X,O,X,X,X,X
LZJOSIT,X,O,X,X,X,O
LZSTIJO,O,O,X,X,X,X
LZSTIOJ,O,O,X,X,X,X
LZSTJIO,O,O,X,X,X,X
LZSTJOI,O,O,X,X,X,X
LZSTOIJ,O,O,X,X,X,X
LZSTOJI,O,O,X,X,X,X
LZSITJO,O,O,X,X,X,X
LZSITOJ,O,O,X,X,X,X
LZSIJTO,O,O,X,X,X,O
LZSIJOT,O,O,X,X,X,O
LZSIOTJ,O,O,X,X,X,X
LZSIOJT,O,O,X,X,X,O
LZSJTIO,O,O,X,X,X,X
LZSJTOI,O,O,X,X,X,X
LZSJITO,O,O,X,X,X,O
LZSJIOT,O,O,X,X,X,O
LZSJOTI,O,O,X,X,X,X
LZSJOIT,O,O,X,X,X,O
LZSOTIJ,O,O,X,X,X,X
LZSOTJI,O,O,X,X,X,X
LZSOITJ,O,O,X,X,X,X
LZSOIJT,O,O,X,X,X,O
