sequence,v115@IhB8GeC8FeE8DeB8Jei/IvhFRhBGjBzlB8sB3rBFsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFGhBcoBzlBXnBlnBxwB,v115@IhB8GeC8FeE8DeB8Jei/IvhFzgBRiBcoBFrBXsBGsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFxhBTjB1sBGrBfrBUsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFFhBTjBfrBRsB8rB+sB,v115@IhB8GeC8FeE8DeB8Jei/IvhFzgBGjB8sBRrBFsB3rB
TOJZLSI,O,X,O,O,X,X
TOJZSIL,O,X,O,O,X,X
TOJZSLI,O,X,O,O,X,X
TOSILJZ,O,X,X,X,O,X
TOSILZJ,O,X,O,X,X,X
TOSIJLZ,O,X,X,X,O,X
TOSIJZL,X,X,X,X,O,X
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,O,X,O,X,X,X
TOSLIJZ,O,X,X,X,O,X
TOSLIZJ,O,X,O,X,X,X
TOSLJIZ,O,X,X,O,X,X
TOSLJZI,X,X,O,O,X,X
TOSLZIJ,O,X,O,X,X,X
TOSLZJI,O,X,O,X,X,X
TOSJILZ,O,X,X,O,X,X
TOSJIZL,X,X,X,O,X,X
TOSJLIZ,O,X,X,O,X,X
TOSJLZI,X,X,O,O,X,X
TOSJZIL,X,X,O,O,X,X
TOSJZLI,X,X,O,O,X,X
TOSZILJ,O,X,O,X,X,X
TOSZIJL,O,X,O,X,X,X
TOSZLIJ,O,X,O,X,X,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,X,O,X,X,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,O,O,O,X,X,X
TOZILSJ,X,O,O,X,X,X
TOZIJLS,O,O,O,X,X,X
TOZIJSL,X,O,X,X,X,X
TOZISLJ,X,O,O,X,X,X
TOZISJL,X,O,O,X,X,X
TOZLIJS,O,O,O,X,X,X
TOZLISJ,X,O,O,X,X,X
TOZLJIS,O,O,O,O,X,X
TOZLJSI,O,X,O,O,X,X
TOZLSIJ,O,X,O,X,X,X
TOZLSJI,O,X,O,X,X,X
TOZJILS,O,O,O,O,X,X
TOZJISL,X,O,X,O,X,X
TOZJLIS,O,O,O,O,X,X
TOZJLSI,O,X,O,O,X,X
TOZJSIL,O,X,O,O,X,X
TOZJSLI,O,X,O,O,X,X
TOZSILJ,O,X,O,X,X,X
TOZSIJL,O,X,O,X,X,X
TOZSLIJ,O,X,O,X,X,X
TOZSLJI,O,X,O,X,X,X
TOZSJIL,O,X,O,X,X,X
TOZSJLI,O,X,O,X,X,X
ITLJSZO,X,X,X,O,X,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,X,X,X,O,X,X
ITLJZOS,X,X,X,O,X,X
ITLJOSZ,X,X,X,O,X,X
ITLJOZS,X,X,X,O,X,X
ITLSJZO,X,X,X,X,O,X
ITLSJOZ,X,X,X,X,O,X
ITLSZJO,X,X,O,X,O,X
ITLSZOJ,X,O,O,X,O,X
ITLSOJZ,X,O,X,X,O,X
ITLSOZJ,X,O,O,X,O,X
ITLZJSO,X,X,X,X,X,O
ITLZJOS,X,X,O,X,X,O
ITLZSJO,X,X,O,X,X,O
ITLZSOJ,X,O,O,X,X,O
ITLZOJS,X,O,O,X,X,O
ITLZOSJ,X,O,O,X,X,O
ITLOJSZ,X,O,X,O,X,X
ITLOJZS,X,O,X,O,X,X
ITLOSJZ,X,O,X,X,O,X
ITLOSZJ,X,O,O,X,X,X
ITLOZJS,X,O,O,X,X,O
ITLOZSJ,X,O,O,X,X,O
ITJLSZO,X,X,X,O,X,X
ITJLSOZ,X,X,X,O,X,X
ITJLZSO,X,X,X,O,X,X
ITJLZOS,X,X,X,O,X,X
ITJLOSZ,X,X,X,O,X,X
ITJLOZS,X,X,X,O,X,X
ITJSLZO,X,X,X,O,X,X
ITJSLOZ,X,X,X,O,X,X
ITJSZLO,X,X,X,O,X,X
ITJSZOL,X,X,X,O,X,X
ITJSOLZ,X,X,X,O,X,X
ITJSOZL,X,X,X,O,X,X
ITJZLSO,X,X,X,O,X,X
ITJZLOS,X,X,X,O,X,X
ITJZSLO,X,X,X,O,X,X
ITJZSOL,X,X,X,O,X,X
ITJZOLS,X,X,X,O,X,X
ITJZOSL,X,X,X,O,X,X
ITJOLSZ,X,X,X,O,X,X
ITJOLZS,X,X,X,O,X,X
ITJOSLZ,X,X,X,O,X,X
ITJOSZL,X,X,X,O,X,X
ITJOZLS,X,X,X,O,X,X
ITJOZSL,X,X,X,O,X,X
ITSLJZO,X,X,X,X,O,X
ITSLJOZ,X,X,X,X,O,X
ITSLZJO,X,X,O,X,O,X
ITSLZOJ,X,O,O,X,O,X
ITSLOJZ,X,O,X,X,O,X
ITSLOZJ,X,O,O,X,O,X
ITSJLZO,X,X,X,X,O,X
ITSJLOZ,X,X,X,X,O,X
ITSJZLO,X,X,X,X,O,X
ITSJZOL,X,X,X,X,O,X
ITSJOLZ,X,X,X,X,O,X
ITSJOZL,X,X,X,X,O,X
ITSZLJO,X,X,O,X,O,X
ITSZLOJ,X,O,O,X,O,X
ITSZJLO,X,X,O,X,O,X
ITSZJOL,X,X,O,X,O,X
ITSZOLJ,X,O,O,X,O,X
ITSZOJL,X,O,O,X,O,X
ITSOLJZ,X,O,X,X,O,X
ITSOLZJ,X,O,O,X,O,X
ITSOJLZ,X,O,X,X,O,X
ITSOJZL,X,O,X,X,O,X
ITSOZLJ,X,O,O,X,O,X
ITSOZJL,X,O,O,X,O,X
ITZLJSO,X,X,X,X,X,O
ITZLJOS,X,X,O,X,X,O
ITZLSJO,X,X,O,X,X,O
ITZLSOJ,X,O,O,X,X,O
ITZLOJS,X,O,O,X,X,O
ITZLOSJ,X,O,O,X,X,O
ITZJLSO,X,X,X,X,X,O
ITZJLOS,X,X,O,X,X,O
ITZJSLO,X,X,X,X,X,O
ITZJSOL,X,X,X,X,X,O
ITZJOLS,X,X,O,X,X,O
ITZJOSL,X,X,X,X,X,O
ITZSLJO,X,X,O,X,X,O
ITZSLOJ,X,O,O,X,X,O
ITZSJLO,X,X,O,X,X,O
ITZSJOL,X,X,O,X,X,O
ITZSOLJ,X,O,O,X,X,O
ITZSOJL,X,O,O,X,X,O
ITZOLJS,X,O,O,X,X,O
ITZOLSJ,X,O,O,X,X,O
ITZOJLS,X,O,O,X,X,O
ITZOJSL,X,O,X,X,X,O
ITZOSLJ,X,O,O,X,X,O
ITZOSJL,X,O,O,X,X,O
ITOLJSZ,X,O,X,O,X,X
ITOLJZS,X,O,X,O,X,X
ITOLSJZ,X,O,X,X,O,X
ITOLSZJ,X,O,O,X,X,X
ITOLZJS,X,O,O,X,X,O
ITOLZSJ,X,O,O,X,X,O
ITOJLSZ,X,O,X,O,X,X
ITOJLZS,X,O,X,O,X,X
ITOJSLZ,X,O,X,O,X,X
ITOJSZL,X,O,X,O,X,X
ITOJZLS,X,O,X,O,X,X
ITOJZSL,X,O,X,O,X,X
ITOSLJZ,X,O,X,X,O,X
ITOSLZJ,X,O,O,X,X,X
ITOSJLZ,X,O,X,X,O,X
ITOSJZL,X,O,X,X,O,X
ITOSZLJ,X,O,O,X,X,X
ITOSZJL,X,O,O,X,X,X
ITOZLJS,X,O,O,X,X,O
ITOZLSJ,X,O,O,X,X,O
ITOZJLS,X,O,O,X,X,O
ITOZJSL,X,O,X,X,X,O
ITOZSLJ,X,O,O,X,X,O
ITOZSJL,X,O,O,X,X,O
ILTJSZO,X,X,X,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,X,X,X,O,X,X
ILTJZOS,X,X,X,O,X,X
ILTJOSZ,X,X,X,O,X,X
ILTJOZS,X,X,X,O,X,X
ILTSJZO,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,O,X
ILTSZJO,X,X,O,X,O,X
ILTSZOJ,X,O,O,X,O,X
ILTSOJZ,X,O,X,X,O,X
ILTSOZJ,X,O,O,X,O,X
ILTZJSO,X,X,X,X,X,O
ILTZJOS,X,X,O,X,X,O
ILTZSJO,X,X,O,X,X,O
ILTZSOJ,X,O,O,X,X,O
ILTZOJS,X,O,O,X,X,O
ILTZOSJ,X,O,O,X,X,O
ILTOJSZ,X,O,X,O,X,X
ILTOJZS,X,O,X,O,X,X
ILTOSJZ,X,O,X,X,O,X
ILTOSZJ,X,O,O,X,X,X
ILTOZJS,X,O,O,X,X,O
ILTOZSJ,X,O,O,X,X,O
ILJTSZO,X,X,X,O,X,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,X,X,X,O,X,X
ILJTZOS,X,X,X,O,X,X
ILJTOSZ,X,X,X,O,X,X
ILJTOZS,X,X,X,O,X,X
ILJSTZO,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,O,X
ILJSZTO,X,X,X,X,O,X
ILJSZOT,X,O,X,X,O,X
ILJSOTZ,O,O,X,X,O,X
ILJSOZT,O,O,X,X,O,X
ILJZTSO,X,X,X,X,X,O
ILJZTOS,X,X,X,X,X,O
ILJZSTO,X,X,X,X,X,O
ILJZSOT,O,O,X,X,X,O
ILJZOTS,O,O,X,X,X,O
ILJZOST,O,O,X,X,X,O
ILJOTSZ,O,O,X,O,X,X
ILJOTZS,O,O,X,O,X,X
ILJOSTZ,O,O,X,X,O,X
ILJOSZT,O,O,X,X,O,X
ILJOZTS,O,O,X,X,X,O
ILJOZST,O,O,X,X,X,O
ILSTJZO,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,O,X
ILSTZJO,X,X,O,X,O,X
ILSTZOJ,X,O,O,X,O,X
ILSTOJZ,X,O,X,X,O,X
ILSTOZJ,X,O,O,X,O,X
ILSJTZO,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,O,X
ILSJZTO,X,X,X,X,O,X
ILSJZOT,X,O,X,X,O,X
ILSJOTZ,O,O,X,X,O,X
ILSJOZT,O,O,X,X,O,X
ILSZTJO,X,X,O,X,O,O
ILSZTOJ,X,O,O,X,O,O
ILSZJTO,X,X,O,X,O,O
ILSZJOT,O,O,X,X,O,O
ILSZOTJ,O,O,O,X,O,O
ILSZOJT,O,O,X,X,O,O
ILSOTJZ,O,O,X,X,O,X
ILSOTZJ,O,O,X,X,O,X
ILSOJTZ,O,O,X,X,O,X
ILSOJZT,O,O,X,X,O,X
ILSOZTJ,O,O,X,X,O,O
ILSOZJT,O,O,X,X,O,O
ILZTJSO,X,X,X,X,X,O
ILZTJOS,X,X,O,X,X,O
ILZTSJO,X,X,O,X,X,O
ILZTSOJ,X,O,O,X,X,O
ILZTOJS,X,O,O,X,X,O
ILZTOSJ,X,O,O,X,X,O
ILZJTSO,X,X,X,X,X,O
ILZJTOS,X,X,O,X,X,O
ILZJSTO,X,X,O,X,X,O
ILZJSOT,O,O,X,X,X,O
ILZJOTS,O,O,X,X,X,O
ILZJOST,O,O,X,X,X,O
ILZSTJO,X,X,O,X,O,O
ILZSTOJ,X,O,O,X,O,O
ILZSJTO,X,X,O,X,O,O
ILZSJOT,O,O,X,X,O,O
ILZSOTJ,O,O,O,X,O,O
ILZSOJT,O,O,X,X,O,O
ILZOTJS,O,O,O,X,X,O
ILZOTSJ,X,O,O,X,X,O
ILZOJTS,O,O,X,X,X,O
ILZOJST,O,O,X,X,X,O
ILZOSTJ,O,O,O,X,X,O
ILZOSJT,O,O,X,X,O,O
ILOTJSZ,O,O,X,O,X,X
ILOTJZS,O,O,X,O,X,X
ILOTSJZ,O,O,X,X,O,X
ILOTSZJ,O,O,X,X,X,X
ILOTZJS,O,O,X,X,X,O
ILOTZSJ,X,O,X,X,X,O
ILOJTSZ,O,O,X,O,X,X
ILOJTZS,O,O,X,O,X,X
ILOJSTZ,O,O,X,X,O,X
ILOJSZT,O,O,X,X,O,X
ILOJZTS,O,O,X,X,X,O
ILOJZST,O,O,X,X,X,O
ILOSTJZ,O,O,X,X,O,X
ILOSTZJ,O,O,X,X,O,X
ILOSJTZ,O,O,X,X,O,X
ILOSJZT,O,O,X,X,O,X
ILOSZTJ,O,O,X,X,O,O
ILOSZJT,O,O,X,X,O,O
ILOZTJS,O,O,X,X,X,O
ILOZTSJ,X,O,X,X,X,O
ILOZJTS,O,O,X,X,X,O
ILOZJST,O,O,X,X,X,O
ILOZSTJ,O,O,X,X,X,O
ILOZSJT,O,O,X,X,O,O
IJTLSZO,X,X,X,O,X,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,X,X,X,O,X,X
IJTLZOS,X,X,X,O,X,X
IJTLOSZ,X,X,X,O,X,X
IJTLOZS,X,X,X,O,X,X
IJTSLZO,X,X,X,O,X,X
IJTSLOZ,X,X,X,O,X,X
IJTSZLO,X,X,X,O,X,X
IJTSZOL,X,X,X,O,X,X
IJTSOLZ,X,X,X,O,X,X
IJTSOZL,X,X,X,O,X,X
IJTZLSO,X,X,X,O,X,X
IJTZLOS,X,X,X,O,X,X
IJTZSLO,X,X,X,O,X,X
IJTZSOL,X,X,X,O,X,X
IJTZOLS,X,X,X,O,X,X
IJTZOSL,X,X,X,O,X,X
IJTOLSZ,X,X,X,O,X,X
IJTOLZS,X,X,X,O,X,X
IJTOSLZ,X,X,X,O,X,X
IJTOSZL,X,X,X,O,X,X
IJTOZLS,X,X,X,O,X,X
IJTOZSL,X,X,X,O,X,X
IJLTSZO,X,X,X,O,X,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,X,X,X,O,X,X
IJLTZOS,X,X,X,O,X,X
IJLTOSZ,X,X,X,O,X,X
IJLTOZS,X,X,X,O,X,X
IJLSTZO,X,X,X,X,O,X
IJLSTOZ,X,X,X,X,O,X
IJLSZTO,X,X,X,X,O,X
IJLSZOT,X,O,X,X,O,X
IJLSOTZ,O,O,X,X,O,X
IJLSOZT,O,O,X,X,O,X
IJLZTSO,X,X,X,X,X,O
IJLZTOS,X,X,X,X,X,O
IJLZSTO,X,X,X,X,X,O
IJLZSOT,O,O,X,X,X,O
IJLZOTS,O,O,X,X,X,O
IJLZOST,O,O,X,X,X,O
IJLOTSZ,O,O,X,O,X,X
IJLOTZS,O,O,X,O,X,X
IJLOSTZ,O,O,X,X,O,X
IJLOSZT,O,O,X,X,O,X
IJLOZTS,O,O,X,X,X,O
IJLOZST,O,O,X,X,X,O
IJSTLZO,X,X,X,X,O,X
IJSTLOZ,X,X,X,X,O,X
IJSTZLO,X,X,X,X,O,X
IJSTZOL,X,X,X,X,O,X
IJSTOLZ,X,X,X,X,O,X
IJSTOZL,X,X,X,X,O,X
IJSLTZO,X,X,X,X,O,X
IJSLTOZ,X,X,X,X,O,X
IJSLZTO,X,X,X,X,O,X
IJSLZOT,X,O,X,X,O,X
IJSLOTZ,O,O,X,X,O,X
IJSLOZT,O,O,X,X,O,X
IJSZTLO,X,X,X,X,O,X
IJSZTOL,X,X,X,X,O,X
IJSZLTO,X,X,X,X,O,X
IJSZLOT,X,O,X,X,O,X
IJSZOTL,X,O,X,X,O,X
IJSZOLT,X,O,X,X,O,X
IJSOTLZ,O,O,X,X,O,X
IJSOTZL,X,O,X,X,O,X
IJSOLTZ,O,O,X,X,O,X
IJSOLZT,O,O,X,X,O,X
IJSOZTL,X,O,X,X,O,X
IJSOZLT,O,O,X,X,O,X
IJZTLSO,X,X,X,X,X,O
IJZTLOS,X,X,X,X,X,O
IJZTSLO,X,X,X,X,X,O
IJZTSOL,X,X,X,X,X,O
IJZTOLS,X,X,X,X,X,O
IJZTOSL,X,X,X,X,X,O
IJZLTSO,X,X,X,X,X,O
IJZLTOS,X,X,X,X,X,O
IJZLSTO,X,X,X,X,X,O
IJZLSOT,O,O,X,X,X,O
IJZLOTS,O,O,X,X,X,O
IJZLOST,O,O,X,X,X,O
IJZSTLO,X,X,X,X,X,O
IJZSTOL,X,X,X,X,X,O
IJZSLTO,X,X,X,X,X,O
IJZSLOT,O,O,X,X,X,O
IJZSOTL,O,O,X,X,X,O
IJZSOLT,O,O,X,X,X,O
IJZOTLS,O,O,X,X,X,O
IJZOTSL,X,O,X,X,X,O
IJZOLTS,O,O,X,X,X,O
IJZOLST,O,O,X,X,X,O
IJZOSTL,O,O,X,X,X,O
IJZOSLT,O,O,X,X,X,O
IJOTLSZ,O,O,X,O,X,X
IJOTLZS,O,O,X,O,X,X
IJOTSLZ,X,O,X,O,X,X
IJOTSZL,X,O,X,O,X,X
IJOTZLS,X,O,X,O,X,X
IJOTZSL,X,O,X,O,X,X
IJOLTSZ,O,O,X,O,X,X
IJOLTZS,O,O,X,O,X,X
IJOLSTZ,O,O,X,X,O,X
IJOLSZT,O,O,X,X,O,X
IJOLZTS,O,O,X,X,X,O
IJOLZST,O,O,X,X,X,O
IJOSTLZ,O,O,X,X,O,X
IJOSTZL,X,O,X,X,O,X
IJOSLTZ,O,O,X,X,O,X
IJOSLZT,O,O,X,X,O,X
IJOSZTL,X,O,X,X,O,X
IJOSZLT,O,O,X,X,O,X
IJOZTLS,O,O,X,X,X,O
IJOZTSL,X,O,X,X,X,O
IJOZLTS,O,O,X,X,X,O
IJOZLST,O,O,X,X,X,O
IJOZSTL,O,O,X,X,X,O
IJOZSLT,O,O,X,X,X,O
ISTLJZO,X,X,X,X,O,X
ISTLJOZ,X,X,X,X,O,X
ISTLZJO,X,X,O,X,O,X
ISTLZOJ,X,O,O,X,O,X
ISTLOJZ,X,O,X,X,O,X
ISTLOZJ,X,O,O,X,O,X
ISTJLZO,X,X,X,X,O,X
ISTJLOZ,X,X,X,X,O,X
ISTJZLO,X,X,X,X,O,X
ISTJZOL,X,X,X,X,O,X
ISTJOLZ,X,X,X,X,O,X
ISTJOZL,X,X,X,X,O,X
ISTZLJO,X,X,O,X,O,X
ISTZLOJ,X,O,O,X,O,X
ISTZJLO,X,X,O,X,O,X
ISTZJOL,X,X,O,X,O,X
ISTZOLJ,X,O,O,X,O,X
ISTZOJL,X,O,O,X,O,X
ISTOLJZ,X,O,X,X,O,X
ISTOLZJ,X,O,O,X,O,X
ISTOJLZ,X,O,X,X,O,X
ISTOJZL,X,O,X,X,O,X
ISTOZLJ,X,O,O,X,O,X
ISTOZJL,X,O,O,X,O,X
ISLTJZO,X,X,X,X,O,X
ISLTJOZ,X,X,X,X,O,X
ISLTZJO,X,X,O,X,O,X
ISLTZOJ,X,O,O,X,O,X
ISLTOJZ,X,O,X,X,O,X
ISLTOZJ,X,O,O,X,O,X
ISLJTZO,X,X,X,X,O,X
ISLJTOZ,X,X,X,X,O,X
ISLJZTO,X,X,X,X,O,X
ISLJZOT,X,O,X,X,O,X
ISLJOTZ,O,O,X,X,O,X
ISLJOZT,O,O,X,X,O,X
ISLZTJO,X,X,O,X,O,O
ISLZTOJ,X,O,O,X,O,O
ISLZJTO,X,X,O,X,O,O
ISLZJOT,O,O,X,X,O,O
ISLZOTJ,O,O,O,X,O,O
ISLZOJT,O,O,X,X,O,O
ISLOTJZ,O,O,X,X,O,X
ISLOTZJ,O,O,X,X,O,X
ISLOJTZ,O,O,X,X,O,X
ISLOJZT,O,O,X,X,O,X
ISLOZTJ,O,O,X,X,O,O
ISLOZJT,O,O,X,X,O,O
ISJTLZO,X,X,X,X,O,X
ISJTLOZ,X,X,X,X,O,X
ISJTZLO,X,X,X,X,O,X
ISJTZOL,X,X,X,X,O,X
ISJTOLZ,X,X,X,X,O,X
ISJTOZL,X,X,X,X,O,X
ISJLTZO,X,X,X,X,O,X
ISJLTOZ,X,X,X,X,O,X
ISJLZTO,X,X,X,X,O,X
ISJLZOT,X,O,X,X,O,X
ISJLOTZ,O,O,X,X,O,X
ISJLOZT,O,O,X,X,O,X
ISJZTLO,X,X,X,X,O,X
ISJZTOL,X,X,X,X,O,X
ISJZLTO,X,X,X,X,O,X
ISJZLOT,X,O,X,X,O,X
ISJZOTL,X,O,X,X,O,X
ISJZOLT,X,O,X,X,O,X
ISJOTLZ,O,O,X,X,O,X
ISJOTZL,X,O,X,X,O,X
ISJOLTZ,O,O,X,X,O,X
ISJOLZT,O,O,X,X,O,X
ISJOZTL,X,O,X,X,O,X
ISJOZLT,O,O,X,X,O,X
ISZTLJO,X,X,O,X,O,O
ISZTLOJ,X,O,O,X,O,O
ISZTJLO,X,X,O,X,O,O
ISZTJOL,X,X,O,X,O,O
ISZTOLJ,X,O,O,X,O,O
ISZTOJL,X,O,O,X,O,O
ISZLTJO,X,X,O,X,O,O
ISZLTOJ,X,O,O,X,O,O
ISZLJTO,X,X,O,X,O,O
ISZLJOT,O,O,X,X,O,O
ISZLOTJ,O,O,O,X,O,O
ISZLOJT,O,O,X,X,O,O
ISZJTLO,X,X,O,X,O,O
ISZJTOL,X,X,O,X,O,O
ISZJLTO,X,X,O,X,O,O
ISZJLOT,O,O,X,X,O,O
ISZJOTL,O,O,X,X,O,O
ISZJOLT,O,O,X,X,O,O
ISZOTLJ,O,O,O,X,O,O
ISZOTJL,O,O,O,X,O,O
ISZOLTJ,O,O,O,X,O,O
ISZOLJT,O,O,X,X,O,O
ISZOJTL,O,O,X,X,O,O
ISZOJLT,O,O,X,X,O,O
ISOTLJZ,O,O,X,X,O,X
ISOTLZJ,O,O,X,X,O,X
ISOTJLZ,O,O,X,X,O,X
ISOTJZL,X,O,X,X,O,X
ISOTZLJ,O,O,X,X,O,X
ISOTZJL,O,O,X,X,O,X
ISOLTJZ,O,O,X,X,O,X
ISOLTZJ,O,O,X,X,O,X
ISOLJTZ,O,O,X,X,O,X
ISOLJZT,O,O,X,X,O,X
ISOLZTJ,O,O,X,X,O,O
ISOLZJT,O,O,X,X,O,O
ISOJTLZ,O,O,X,X,O,X
ISOJTZL,X,O,X,X,O,X
ISOJLTZ,O,O,X,X,O,X
ISOJLZT,O,O,X,X,O,X
ISOJZTL,O,O,X,X,O,X
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,O,O,X,X,O,O
ISOZTJL,O,O,X,X,O,O
ISOZLTJ,O,O,X,X,O,O
ISOZLJT,O,O,X,X,O,O
ISOZJTL,O,O,X,X,O,O
ISOZJLT,O,O,X,X,O,O
IZTLJSO,X,X,X,X,X,O
IZTLJOS,X,X,O,X,X,O
IZTLSJO,X,X,O,X,X,O
IZTLSOJ,X,O,O,X,X,O
IZTLOJS,X,O,O,X,X,O
IZTLOSJ,X,O,O,X,X,O
IZTJLSO,X,X,X,X,X,O
IZTJLOS,X,X,O,X,X,O
IZTJSLO,X,X,X,X,X,O
IZTJSOL,X,X,X,X,X,O
IZTJOLS,X,X,O,X,X,O
IZTJOSL,X,X,X,X,X,O
IZTSLJO,X,X,O,X,X,O
IZTSLOJ,X,O,O,X,X,O
IZTSJLO,X,X,O,X,X,O
IZTSJOL,X,X,O,X,X,O
IZTSOLJ,X,O,O,X,X,O
IZTSOJL,X,O,O,X,X,O
IZTOLJS,X,O,O,X,X,O
IZTOLSJ,X,O,O,X,X,O
IZTOJLS,X,O,O,X,X,O
IZTOJSL,X,O,X,X,X,O
IZTOSLJ,X,O,O,X,X,O
IZTOSJL,X,O,O,X,X,O
IZLTJSO,X,X,X,X,X,O
IZLTJOS,X,X,O,X,X,O
IZLTSJO,X,X,O,X,X,O
IZLTSOJ,X,O,O,X,X,O
IZLTOJS,X,O,O,X,X,O
IZLTOSJ,X,O,O,X,X,O
IZLJTSO,X,X,X,X,X,O
IZLJTOS,X,X,O,X,X,O
IZLJSTO,X,X,O,X,X,O
IZLJSOT,O,O,X,X,X,O
IZLJOTS,O,O,X,X,X,O
IZLJOST,O,O,X,X,X,O
IZLSTJO,X,X,O,X,O,O
IZLSTOJ,X,O,O,X,O,O
IZLSJTO,X,X,O,X,O,O
IZLSJOT,O,O,X,X,O,O
IZLSOTJ,O,O,O,X,O,O
IZLSOJT,O,O,X,X,O,O
IZLOTJS,O,O,O,X,X,O
IZLOTSJ,X,O,O,X,X,O
IZLOJTS,O,O,X,X,X,O
IZLOJST,O,O,X,X,X,O
IZLOSTJ,O,O,O,X,X,O
IZLOSJT,O,O,X,X,O,O
IZJTLSO,X,X,X,X,X,O
IZJTLOS,X,X,O,X,X,O
IZJTSLO,X,X,X,X,X,O
IZJTSOL,X,X,X,X,X,O
IZJTOLS,X,X,O,X,X,O
IZJTOSL,X,X,X,X,X,O
IZJLTSO,X,X,X,X,X,O
IZJLTOS,X,X,O,X,X,O
IZJLSTO,X,X,O,X,X,O
IZJLSOT,O,O,X,X,X,O
IZJLOTS,O,O,X,X,X,O
IZJLOST,O,O,X,X,X,O
IZJSTLO,X,X,O,X,X,O
IZJSTOL,X,X,O,X,X,O
IZJSLTO,X,X,O,X,X,O
IZJSLOT,O,O,X,X,X,O
IZJSOTL,O,O,X,X,X,O
IZJSOLT,O,O,X,X,X,O
IZJOTLS,O,O,X,X,X,O
IZJOTSL,X,O,X,X,X,O
IZJOLTS,O,O,X,X,X,O
IZJOLST,O,O,X,X,X,O
IZJOSTL,O,O,X,X,X,O
IZJOSLT,O,O,X,X,X,O
IZSTLJO,X,X,O,X,O,O
IZSTLOJ,X,O,O,X,O,O
IZSTJLO,X,X,O,X,O,O
IZSTJOL,X,X,O,X,O,O
IZSTOLJ,X,O,O,X,O,O
IZSTOJL,X,O,O,X,O,O
IZSLTJO,X,X,O,X,O,O
IZSLTOJ,X,O,O,X,O,O
IZSLJTO,X,X,O,X,O,O
IZSLJOT,O,O,X,X,O,O
IZSLOTJ,O,O,O,X,O,O
IZSLOJT,O,O,X,X,O,O
IZSJTLO,X,X,O,X,O,O
IZSJTOL,X,X,O,X,O,O
IZSJLTO,X,X,O,X,O,O
IZSJLOT,O,O,X,X,O,O
IZSJOTL,O,O,X,X,O,O
IZSJOLT,O,O,X,X,O,O
IZSOTLJ,O,O,O,X,O,O
IZSOTJL,O,O,O,X,O,O
IZSOLTJ,O,O,O,X,O,O
IZSOLJT,O,O,X,X,O,O
IZSOJTL,O,O,X,X,O,O
IZSOJLT,O,O,X,X,O,O
IZOTLJS,O,O,O,X,X,O
IZOTLSJ,X,O,O,X,X,O
IZOTJLS,O,O,O,X,X,O
IZOTJSL,X,O,X,X,X,O
IZOTSLJ,X,O,O,X,X,O
IZOTSJL,X,O,X,X,X,O
IZOLTJS,O,O,O,X,X,O
IZOLTSJ,X,O,O,X,X,O
IZOLJTS,O,O,X,X,X,O
IZOLJST,O,O,X,X,X,O
IZOLSTJ,O,O,O,X,X,O
IZOLSJT,O,O,X,X,O,O
IZOJTLS,O,O,X,X,X,O
IZOJTSL,X,O,X,X,X,O
IZOJLTS,O,O,X,X,X,O
IZOJLST,O,O,X,X,X,O
IZOJSTL,O,O,X,X,X,O
IZOJSLT,O,O,X,X,X,O
IZOSTLJ,O,O,O,X,X,O
IZOSTJL,O,O,O,X,X,O
IZOSLTJ,O,O,O,X,X,O
IZOSLJT,O,O,X,X,O,O
IZOSJTL,O,O,X,X,O,O
IZOSJLT,O,O,X,X,O,O
IOTLJSZ,O,O,X,O,X,X
IOTLJZS,O,O,X,O,X,X
IOTLSJZ,O,O,X,X,O,X
IOTLSZJ,O,O,X,X,X,X
IOTLZJS,O,O,X,X,X,O
IOTLZSJ,X,O,X,X,X,O
IOTJLSZ,O,O,X,O,X,X
IOTJLZS,O,O,X,O,X,X
IOTJSLZ,X,O,X,O,X,X
IOTJSZL,X,O,X,O,X,X
IOTJZLS,X,O,X,O,X,X
IOTJZSL,X,O,X,O,X,X
IOTSLJZ,O,O,X,X,O,X
IOTSLZJ,O,O,X,X,X,X
IOTSJLZ,O,O,X,X,O,X
IOTSJZL,X,O,X,X,O,X
IOTSZLJ,O,O,X,X,X,X
IOTSZJL,O,O,X,X,X,X
IOTZLJS,O,O,X,X,X,O
IOTZLSJ,X,O,X,X,X,O
IOTZJLS,O,O,X,X,X,O
IOTZJSL,X,O,X,X,X,O
IOTZSLJ,X,O,X,X,X,O
IOTZSJL,X,O,X,X,X,O
IOLTJSZ,O,O,X,O,X,X
