sequence,v115@UhC8DeI8Ke0/IvhFlgB3hBaoB5oB2uBTsB,v115@UhC8DeI8KeOEJvhF0gBlhB3iB5oBzpByxB,v115@UhC8DeI8KeT/IvhFlgB3hBcnBeoB5oByuB,v115@UhC8DeI8KeKEJvhFflB0gBlhBziB5oB2xB
TSZLOIJ,X,X,X,X
TSZLOJI,X,X,O,X
TSZJILO,X,X,O,X
TSZJIOL,X,X,X,X
TSZJLIO,X,X,O,X
TSZJLOI,X,X,O,X
TSZJOIL,X,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,X
TSZOIJL,X,X,X,X
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,O,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,O,X,X,X
TSOIJZL,O,X,X,X
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,O,X,X,X
TSOLIZJ,X,X,X,X
TSOLJIZ,O,X,X,X
TSOLJZI,O,X,X,X
TSOLZIJ,X,X,X,X
TSOLZJI,X,X,X,X
TSOJILZ,O,X,X,X
TSOJIZL,O,X,X,X
TSOJLIZ,O,X,X,X
TSOJLZI,O,X,X,X
TSOJZIL,O,X,X,X
TSOJZLI,O,X,X,X
TSOZILJ,X,X,X,X
TSOZIJL,X,X,X,X
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,X
TSOZJLI,X,X,X,X
TZILJSO,X,O,X,X
TZILJOS,X,X,X,X
TZILSJO,X,O,X,X
TZILSOJ,X,O,X,X
TZILOJS,X,O,X,X
TZILOSJ,X,O,X,X
TZIJLSO,X,O,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,X,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,X,X
TZISLOJ,X,X,X,X
TZISJLO,X,X,X,X
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,X
TZISOJL,X,X,X,X
TZIOLJS,X,O,X,X
TZIOLSJ,X,O,X,X
TZIOJLS,X,O,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,X
TZLIJSO,X,O,X,X
TZLIJOS,X,X,X,X
TZLISJO,X,O,X,X
TZLISOJ,X,O,X,X
TZLIOJS,X,O,X,X
TZLIOSJ,X,O,X,X
TZLJISO,X,O,O,X
TZLJIOS,X,X,O,X
TZLJSIO,X,O,O,X
TZLJSOI,X,X,O,X
TZLJOIS,X,X,O,X
TZLJOSI,X,X,O,X
TZLSIJO,X,O,X,X
TZLSIOJ,X,O,X,X
TZLSJIO,X,O,O,X
TZLSJOI,X,X,O,X
TZLSOIJ,X,O,X,X
TZLSOJI,X,O,O,X
TZLOIJS,X,O,X,X
TZLOISJ,X,O,X,X
TZLOJIS,X,O,O,X
TZLOJSI,X,O,O,X
TZLOSIJ,X,O,X,X
TZLOSJI,X,O,O,X
TZJILSO,X,O,O,X
TZJILOS,X,X,O,X
TZJISLO,X,X,O,X
TZJISOL,X,X,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,O,O,X
TZJLIOS,X,X,O,X
TZJLSIO,X,O,O,X
TZJLSOI,X,X,O,X
TZJLOIS,X,X,O,X
TZJLOSI,X,X,O,X
TZJSILO,X,X,O,X
TZJSIOL,X,X,X,X
TZJSLIO,X,X,O,X
TZJSLOI,X,X,O,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,X,X,X
TZSILOJ,X,X,X,X
TZSIJLO,X,X,X,X
TZSIJOL,X,X,X,X
TZSIOLJ,X,X,X,X
TZSIOJL,X,X,X,X
TZSLIJO,X,X,X,X
TZSLIOJ,X,X,X,X
TZSLJIO,X,X,O,X
TZSLJOI,X,X,O,X
TZSLOIJ,X,X,X,X
TZSLOJI,X,X,O,X
TZSJILO,X,X,O,X
TZSJIOL,X,X,X,X
TZSJLIO,X,X,O,X
TZSJLOI,X,X,O,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,X
TZSOIJL,X,X,X,X
TZSOLIJ,X,X,X,X
TZSOLJI,X,X,X,X
TZSOJIL,X,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,X,O,X,X
TZOILSJ,X,O,X,X
TZOIJLS,X,O,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,O,X,X
TZOLISJ,X,O,X,X
TZOLJIS,X,O,X,X
TZOLJSI,X,O,X,X
TZOLSIJ,X,O,X,X
TZOLSJI,X,O,X,X
TZOJILS,X,O,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,O,X,X
TZOJLSI,X,O,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,X
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,O,O,X,X
TOILJZS,O,O,X,X
TOILSJZ,O,O,X,X
TOILSZJ,X,O,X,X
TOILZJS,X,O,X,X
TOILZSJ,X,O,X,X
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,X,X
TOIJSLZ,O,X,X,X
TOIJSZL,O,X,X,X
TOIJZLS,O,O,X,X
TOIJZSL,O,X,X,X
TOISLJZ,O,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,O,X,X,X
TOISJZL,O,X,X,X
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,X
TOIZLJS,X,O,X,X
TOIZLSJ,X,O,X,X
TOIZJLS,X,O,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,X
TOLIJSZ,O,O,X,X
TOLIJZS,O,O,X,X
TOLISJZ,O,O,X,X
TOLISZJ,X,O,X,X
TOLIZJS,X,O,X,X
TOLIZSJ,X,O,X,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,X
TOLSIJZ,O,O,X,X
TOLSIZJ,X,O,X,X
TOLSJIZ,O,O,X,X
TOLSJZI,O,O,X,X
TOLSZIJ,X,O,X,X
TOLSZJI,X,O,X,X
TOLZIJS,X,O,X,X
TOLZISJ,X,O,X,X
TOLZJIS,X,O,X,X
TOLZJSI,X,O,X,X
TOLZSIJ,X,O,X,X
TOLZSJI,X,O,X,X
TOJILSZ,O,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,O,X,X,X
TOJISZL,O,X,X,X
TOJIZLS,O,O,X,X
TOJIZSL,O,X,X,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,X,X
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,X
TOJSILZ,O,X,X,X
TOJSIZL,O,X,X,X
