sequence,v115@JhA8DeA8DeA8DeC8AeC8CeC8JeZEJvhFukBtlBXiBT?jBirB0rB,v115@JhA8DeA8DeA8DeC8AeC8CeC8JeZEJvhFukBUhBTjBf?rBdsBCsB,v115@JhA8DeA8DeA8DeC8AeC8CeC8Jei/IvhFtlBxhBTjBc?pBmrB3rB
TZLSJIO,O,X,O
TZLSJOI,O,X,O
TZLSOIJ,O,X,O
TZLSOJI,O,X,O
TZLOIJS,O,X,O
TZLOISJ,O,X,O
TZLOJIS,O,X,O
TZLOJSI,O,X,O
TZLOSIJ,O,X,O
TZLOSJI,O,X,O
TZJILSO,O,X,O
TZJILOS,O,X,O
TZJISLO,X,O,O
TZJISOL,O,O,O
TZJIOLS,O,X,O
TZJIOSL,O,O,O
TZJLISO,O,X,O
TZJLIOS,O,X,O
TZJLSIO,O,X,O
TZJLSOI,O,X,O
TZJLOIS,O,X,O
TZJLOSI,O,X,O
TZJSILO,X,O,O
TZJSIOL,O,O,O
TZJSLIO,X,O,O
TZJSLOI,X,O,O
TZJSOIL,O,O,O
TZJSOLI,X,O,O
TZJOILS,O,X,O
TZJOISL,O,O,O
TZJOLIS,O,X,O
TZJOLSI,O,X,O
TZJOSIL,O,O,O
TZJOSLI,X,O,O
TZSILJO,X,O,X
TZSILOJ,X,O,O
TZSIJLO,X,O,X
TZSIJOL,O,O,X
TZSIOLJ,X,O,O
TZSIOJL,O,O,X
TZSLIJO,X,O,X
TZSLIOJ,X,O,O
TZSLJIO,X,O,O
TZSLJOI,X,O,O
TZSLOIJ,X,O,O
TZSLOJI,X,O,O
TZSJILO,X,O,O
TZSJIOL,O,O,O
TZSJLIO,X,O,O
TZSJLOI,X,O,O
TZSJOIL,O,O,O
TZSJOLI,X,O,O
TZSOILJ,X,O,O
TZSOIJL,O,O,X
TZSOLIJ,X,O,O
TZSOLJI,X,O,O
TZSOJIL,O,O,O
TZSOJLI,X,O,O
TZOILJS,O,X,O
TZOILSJ,O,X,O
TZOIJLS,O,X,O
TZOIJSL,O,O,O
TZOISLJ,X,O,O
TZOISJL,O,O,X
TZOLIJS,O,X,O
TZOLISJ,O,X,O
TZOLJIS,O,X,O
TZOLJSI,O,X,O
TZOLSIJ,O,X,O
TZOLSJI,O,X,O
TZOJILS,O,X,O
TZOJISL,O,O,O
TZOJLIS,O,X,O
TZOJLSI,O,X,O
TZOJSIL,O,O,O
TZOJSLI,X,O,O
TZOSILJ,X,O,O
TZOSIJL,O,O,X
TZOSLIJ,X,O,O
TZOSLJI,X,O,O
TZOSJIL,O,O,O
TZOSJLI,X,O,O
TOILJSZ,O,O,X
TOILJZS,O,X,X
TOILSJZ,O,O,X
TOILSZJ,O,O,X
TOILZJS,O,X,O
TOILZSJ,O,X,O
TOIJLSZ,O,O,X
TOIJLZS,O,X,O
TOIJSLZ,O,O,X
TOIJSZL,O,O,O
TOIJZLS,O,X,O
TOIJZSL,O,O,O
TOISLJZ,O,O,X
TOISLZJ,O,O,X
TOISJLZ,O,O,X
TOISJZL,O,O,X
TOISZLJ,X,O,O
TOISZJL,O,O,X
TOIZLJS,O,X,O
TOIZLSJ,O,X,O
TOIZJLS,O,X,O
TOIZJSL,O,O,O
TOIZSLJ,X,O,O
TOIZSJL,O,O,X
TOLIJSZ,O,O,X
TOLIJZS,O,X,X
TOLISJZ,O,O,X
TOLISZJ,O,O,X
TOLIZJS,O,X,O
TOLIZSJ,O,X,O
TOLJISZ,O,O,X
TOLJIZS,O,X,O
TOLJSIZ,O,O,X
TOLJSZI,O,O,X
TOLJZIS,O,X,O
TOLJZSI,O,X,O
TOLSIJZ,O,O,X
TOLSIZJ,O,O,X
TOLSJIZ,O,O,X
TOLSJZI,O,O,X
TOLSZIJ,O,O,X
TOLSZJI,O,O,X
TOLZIJS,O,X,O
TOLZISJ,O,X,O
TOLZJIS,O,X,O
TOLZJSI,O,X,O
TOLZSIJ,O,X,O
TOLZSJI,O,X,O
TOJILSZ,O,O,X
TOJILZS,O,X,O
TOJISLZ,O,O,X
TOJISZL,O,O,O
TOJIZLS,O,X,O
TOJIZSL,O,O,O
TOJLISZ,O,O,X
TOJLIZS,O,X,O
TOJLSIZ,O,O,X
TOJLSZI,O,O,X
TOJLZIS,O,X,O
TOJLZSI,O,X,O
TOJSILZ,O,O,X
TOJSIZL,O,O,O
TOJSLIZ,O,O,X
TOJSLZI,O,O,X
TOJSZIL,O,O,O
TOJSZLI,X,O,O
TOJZILS,O,X,O
TOJZISL,O,O,O
TOJZLIS,O,X,O
TOJZLSI,O,X,O
TOJZSIL,O,O,O
TOJZSLI,X,O,O
TOSILJZ,O,O,X
TOSILZJ,O,O,X
TOSIJLZ,O,O,X
TOSIJZL,O,O,X
