sequence,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlBliB5oB3mBys?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlB/nBaoB5oB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOEJvhFXgBynB5oB1rB0n?BzpB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhF/nBaoB5oBTkB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhFliB5oBTkB3mBys?B0pB
TSIJOLZ,X,O,O,O,O
TSIJOZL,O,O,X,O,X
TSIZLJO,O,O,O,O,X
TSIZLOJ,O,O,X,O,X
TSIZJLO,O,O,O,O,X
TSIZJOL,O,O,X,O,X
TSIZOLJ,O,O,X,O,X
TSIZOJL,O,O,X,O,X
TSIOLJZ,X,O,O,O,O
TSIOLZJ,X,O,O,O,O
TSIOJLZ,X,O,O,O,O
TSIOJZL,O,O,O,O,X
TSIOZLJ,O,O,O,O,X
TSIOZJL,O,O,O,O,X
TSLIJZO,O,O,O,O,O
TSLIJOZ,O,O,O,O,O
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,O,X,O,O
TSLIOJZ,O,O,O,O,O
TSLIOZJ,O,O,O,O,O
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,O,O,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,X,O,O
TSLJOIZ,O,O,O,O,O
TSLJOZI,O,O,X,O,O
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,O,X,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,X,O,O
TSLZOIJ,O,O,X,O,O
TSLZOJI,O,O,X,O,O
TSLOIJZ,O,O,O,O,O
TSLOIZJ,O,O,O,O,O
TSLOJIZ,O,O,O,O,O
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,O,O,O,O,O
TSJILOZ,O,O,O,O,O
TSJIZLO,O,O,O,O,X
TSJIZOL,O,O,X,O,X
TSJIOLZ,X,O,O,O,O
TSJIOZL,O,O,X,O,X
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,X,O,O
