sequence,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlBliB5oB3mBys?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlB/nBaoB5oB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOEJvhFXgBynB5oB1rB0n?BzpB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhF/nBaoB5oBTkB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhFliB5oBTkB3mBys?B0pB
JTSOZLI,O,O,X,O,X
JTZILSO,O,O,O,X,X
JTZILOS,O,O,X,X,X
JTZISLO,O,O,O,O,X
JTZISOL,O,O,X,O,X
JTZIOLS,O,O,X,X,X
JTZIOSL,O,O,X,O,X
JTZLISO,O,O,O,X,X
JTZLIOS,O,O,X,X,X
JTZLSIO,O,O,O,X,X
JTZLSOI,O,O,X,X,X
JTZLOIS,O,O,X,X,X
JTZLOSI,O,O,X,X,X
JTZSILO,O,O,O,O,X
JTZSIOL,O,O,X,O,X
JTZSLIO,O,O,O,O,X
JTZSLOI,O,O,X,O,X
JTZSOIL,O,O,X,O,X
JTZSOLI,O,O,X,O,X
JTZOILS,O,O,X,X,X
JTZOISL,O,O,X,O,X
JTZOLIS,O,O,X,X,X
JTZOLSI,O,O,X,X,X
JTZOSIL,O,O,X,O,X
JTZOSLI,O,O,X,O,X
JTOILSZ,X,X,O,O,X
JTOILZS,X,X,O,X,X
JTOISLZ,X,O,O,O,O
JTOISZL,X,O,O,O,X
JTOIZLS,X,O,O,X,X
JTOIZSL,X,O,O,O,X
JTOLISZ,X,X,O,O,X
JTOLIZS,X,X,O,X,X
JTOLSIZ,X,X,O,O,X
JTOLSZI,X,X,O,O,X
JTOLZIS,X,X,O,X,X
JTOLZSI,X,X,O,X,X
JTOSILZ,X,O,O,O,O
JTOSIZL,X,O,O,O,X
JTOSLIZ,X,O,O,O,O
JTOSLZI,X,O,O,O,O
JTOSZIL,X,O,O,O,X
JTOSZLI,X,O,O,O,X
JTOZILS,X,O,O,X,X
JTOZISL,X,O,O,O,X
JTOZLIS,X,O,O,X,X
JTOZLSI,X,O,O,X,X
JTOZSIL,X,O,O,O,X
JTOZSLI,X,O,O,O,X
JITLSZO,O,O,O,O,X
JITLSOZ,X,O,O,O,X
JITLZSO,O,O,O,X,X
JITLZOS,O,O,X,X,X
JITLOSZ,X,X,O,O,X
JITLOZS,O,X,O,X,X
JITSLZO,O,O,O,O,O
JITSLOZ,O,O,O,O,O
JITSZLO,O,O,O,O,X
JITSZOL,O,O,X,O,X
JITSOLZ,X,O,O,O,O
JITSOZL,O,O,X,O,X
JITZLSO,O,O,O,X,X
JITZLOS,O,O,X,X,X
JITZSLO,O,O,O,O,X
JITZSOL,O,O,X,O,X
JITZOLS,O,O,X,X,X
JITZOSL,O,O,X,O,X
JITOLSZ,X,X,O,O,X
JITOLZS,X,X,O,X,X
JITOSLZ,X,O,O,O,O
JITOSZL,X,O,O,O,X
JITOZLS,X,O,O,X,X
JITOZSL,X,O,O,O,X
JILTSZO,O,O,O,O,X
JILTSOZ,X,O,O,O,X
JILTZSO,O,O,O,X,X
JILTZOS,O,O,X,X,X
JILTOSZ,X,X,O,O,X
JILTOZS,O,X,X,X,X
JILSTZO,O,X,O,X,O
JILSTOZ,O,X,O,X,O
JILSZTO,O,X,X,X,O
JILSZOT,O,X,X,X,O
JILSOTZ,O,X,X,X,O
JILSOZT,O,X,X,X,O
JILZTSO,O,O,X,X,X
JILZTOS,O,O,X,X,X
JILZSTO,O,X,X,X,X
JILZSOT,O,X,X,X,X
JILZOTS,O,O,X,X,X
JILZOST,O,X,X,X,X
JILOTSZ,X,X,X,O,X
JILOTZS,O,X,X,X,X
JILOSTZ,X,X,X,X,O
JILOSZT,X,X,X,X,O
JILOZTS,O,X,X,X,X
JILOZST,O,X,X,X,X
JISTLZO,O,O,O,O,O
JISTLOZ,O,O,O,O,O
JISTZLO,O,O,O,O,X
JISTZOL,O,O,X,O,X
JISTOLZ,X,O,O,O,O
JISTOZL,O,O,X,O,X
JISLTZO,O,X,O,X,O
JISLTOZ,O,X,O,X,O
JISLZTO,O,X,X,X,O
JISLZOT,O,X,X,X,O
JISLOTZ,O,X,X,X,O
JISLOZT,O,X,X,X,O
JISZTLO,O,O,O,X,X
JISZTOL,O,O,X,X,X
JISZLTO,O,X,X,X,O
JISZLOT,O,X,X,X,O
JISZOTL,O,O,X,X,X
JISZOLT,O,X,X,X,O
JISOTLZ,X,X,O,O,O
JISOTZL,O,X,X,O,X
JISOLTZ,O,X,X,X,O
JISOLZT,O,X,X,X,O
JISOZTL,O,X,X,X,X
JISOZLT,O,X,X,X,O
JIZTLSO,O,O,O,X,X
JIZTLOS,O,O,X,X,X
JIZTSLO,O,O,O,O,X
JIZTSOL,O,O,X,O,X
JIZTOLS,O,O,X,X,X
JIZTOSL,O,O,X,O,X
JIZLTSO,O,O,X,X,X
JIZLTOS,O,O,X,X,X
JIZLSTO,O,X,X,X,X
JIZLSOT,O,X,X,X,X
JIZLOTS,O,O,X,X,X
JIZLOST,O,X,X,X,X
JIZSTLO,O,O,O,X,X
JIZSTOL,O,O,X,X,X
JIZSLTO,O,X,X,X,O
JIZSLOT,O,X,X,X,O
JIZSOTL,O,O,X,X,X
JIZSOLT,O,X,X,X,O
JIZOTLS,O,O,X,X,X
JIZOTSL,O,O,X,O,X
JIZOLTS,O,O,X,X,X
JIZOLST,O,X,X,X,X
JIZOSTL,O,O,X,X,X
JIZOSLT,O,X,X,X,O
JIOTLSZ,X,X,O,O,X
JIOTLZS,X,X,O,X,X
JIOTSLZ,X,O,O,O,O
JIOTSZL,X,O,O,O,X
JIOTZLS,X,O,O,X,X
JIOTZSL,X,O,O,O,X
JIOLTSZ,X,X,O,O,X
JIOLTZS,O,X,O,X,X
JIOLSTZ,X,X,O,X,O
JIOLSZT,X,X,X,X,O
JIOLZTS,O,X,X,X,X
JIOLZST,O,X,X,X,X
JIOSTLZ,X,X,O,O,O
JIOSTZL,O,X,O,O,X
JIOSLTZ,O,X,O,X,O
JIOSLZT,O,X,X,X,O
JIOSZTL,O,X,O,X,X
JIOSZLT,O,X,X,X,O
JIOZTLS,O,O,O,X,X
JIOZTSL,O,O,O,O,X
JIOZLTS,O,O,X,X,X
JIOZLST,O,X,X,X,X
JIOZSTL,O,O,O,X,X
JIOZSLT,O,X,X,X,O
JLTISZO,O,O,O,O,X
JLTISOZ,X,O,O,O,X
JLTIZSO,O,O,O,X,X
JLTIZOS,O,O,X,X,X
JLTIOSZ,X,X,O,O,X
JLTIOZS,O,X,X,X,X
JLTSIZO,O,O,O,O,X
JLTSIOZ,X,O,O,O,X
JLTSZIO,O,O,O,O,X
JLTSZOI,O,O,X,O,X
JLTSOIZ,X,O,O,O,X
JLTSOZI,X,O,X,O,X
JLTZISO,O,O,O,X,X
JLTZIOS,O,O,X,X,X
JLTZSIO,O,O,O,X,X
JLTZSOI,O,O,X,X,X
JLTZOIS,O,O,X,X,X
JLTZOSI,O,O,X,X,X
JLTOISZ,X,X,O,O,X
JLTOIZS,O,X,X,X,X
JLTOSIZ,X,X,O,O,X
JLTOSZI,X,X,X,O,X
JLTOZIS,O,X,X,X,X
JLTOZSI,O,X,X,X,X
JLITSZO,O,O,O,O,X
JLITSOZ,X,O,O,O,X
JLITZSO,O,O,O,X,X
JLITZOS,O,O,X,X,X
JLITOSZ,X,X,O,O,X
JLITOZS,O,X,X,X,X
JLISTZO,O,X,O,X,O
JLISTOZ,O,X,O,X,O
JLISZTO,O,X,X,X,O
JLISZOT,O,X,X,X,O
JLISOTZ,O,X,X,X,O
JLISOZT,O,X,X,X,O
JLIZTSO,O,O,X,X,X
JLIZTOS,O,O,X,X,X
JLIZSTO,O,X,X,X,X
JLIZSOT,O,X,X,X,X
JLIZOTS,O,O,X,X,X
JLIZOST,O,X,X,X,X
JLIOTSZ,X,X,X,O,X
JLIOTZS,O,X,X,X,X
JLIOSTZ,X,X,X,X,O
JLIOSZT,X,X,X,X,O
JLIOZTS,O,X,X,X,X
JLIOZST,O,X,X,X,X
JLSTIZO,O,X,O,X,O
JLSTIOZ,O,X,O,X,O
JLSTZIO,O,X,O,X,O
JLSTZOI,O,X,X,X,O
JLSTOIZ,O,X,O,X,O
JLSTOZI,O,X,X,X,O
JLSITZO,O,X,O,X,O
JLSITOZ,O,X,O,X,O
JLSIZTO,O,X,X,X,O
JLSIZOT,O,X,X,X,O
JLSIOTZ,O,X,X,X,O
JLSIOZT,O,X,X,X,O
JLSZTIO,O,X,X,X,O
JLSZTOI,O,X,X,X,O
JLSZITO,O,X,X,X,O
JLSZIOT,O,X,X,X,O
JLSZOTI,O,X,X,X,O
JLSZOIT,O,X,X,X,O
JLSOTIZ,O,X,X,X,O
JLSOTZI,O,X,X,X,O
JLSOITZ,O,X,X,X,O
JLSOIZT,O,X,X,X,O
JLSOZTI,O,X,X,X,O
JLSOZIT,O,X,X,X,O
JLZTISO,O,O,X,X,X
JLZTIOS,O,O,X,X,X
JLZTSIO,O,O,X,X,X
JLZTSOI,O,O,X,X,X
JLZTOIS,O,O,X,X,X
JLZTOSI,O,O,X,X,X
JLZITSO,O,O,X,X,X
JLZITOS,O,O,X,X,X
JLZISTO,O,X,X,X,X
JLZISOT,O,X,X,X,X
JLZIOTS,O,O,X,X,X
JLZIOST,O,X,X,X,X
JLZSTIO,O,X,X,X,X
JLZSTOI,O,X,X,X,X
JLZSITO,O,X,X,X,X
JLZSIOT,O,X,X,X,X
JLZSOTI,O,X,X,X,X
JLZSOIT,O,X,X,X,X
JLZOTIS,O,O,X,X,X
JLZOTSI,O,O,X,X,X
JLZOITS,O,O,X,X,X
JLZOIST,O,X,X,X,X
JLZOSTI,O,X,X,X,X
JLZOSIT,O,X,X,X,X
JLOTISZ,X,X,X,O,X
JLOTIZS,O,X,X,X,X
JLOTSIZ,X,X,X,O,X
JLOTSZI,X,X,X,O,X
JLOTZIS,O,X,X,X,X
JLOTZSI,O,X,X,X,X
JLOITSZ,X,X,X,O,X
JLOITZS,O,X,X,X,X
JLOISTZ,X,X,X,X,O
JLOISZT,X,X,X,X,O
JLOIZTS,O,X,X,X,X
JLOIZST,O,X,X,X,X
JLOSTIZ,X,X,X,X,O
JLOSTZI,X,X,X,X,O
JLOSITZ,X,X,X,X,O
JLOSIZT,X,X,X,X,O
JLOSZTI,X,X,X,X,O
JLOSZIT,X,X,X,X,O
JLOZTIS,O,X,X,X,X
JLOZTSI,O,X,X,X,X
JLOZITS,O,X,X,X,X
JLOZIST,O,X,X,X,X
JLOZSTI,O,X,X,X,X
JLOZSIT,O,X,X,X,X
JSTILZO,O,O,O,O,O
JSTILOZ,O,O,O,O,O
JSTIZLO,O,O,O,O,X
JSTIZOL,O,O,X,O,X
JSTIOLZ,X,O,O,O,O
JSTIOZL,O,O,X,O,X
JSTLIZO,O,O,O,O,O
JSTLIOZ,O,O,O,O,O
JSTLZIO,O,O,O,O,O
JSTLZOI,O,O,X,O,O
JSTLOIZ,O,O,O,O,O
JSTLOZI,O,O,X,O,O
JSTZILO,O,O,O,O,X
JSTZIOL,O,O,X,O,X
JSTZLIO,O,O,O,O,X
JSTZLOI,O,O,X,O,X
JSTZOIL,O,O,X,O,X
JSTZOLI,O,O,X,O,X
JSTOILZ,X,O,O,O,O
JSTOIZL,O,O,X,O,X
JSTOLIZ,X,O,O,O,O
JSTOLZI,X,O,X,O,O
JSTOZIL,O,O,X,O,X
JSTOZLI,O,O,X,O,X
JSITLZO,O,O,O,O,O
JSITLOZ,O,O,O,O,O
JSITZLO,O,O,O,O,X
JSITZOL,O,O,X,O,X
JSITOLZ,X,O,O,O,O
JSITOZL,O,O,X,O,X
JSILTZO,O,X,O,X,O
JSILTOZ,O,X,O,X,O
JSILZTO,O,X,X,X,O
JSILZOT,O,X,X,X,O
JSILOTZ,O,X,X,X,O
JSILOZT,O,X,X,X,O
JSIZTLO,O,O,O,X,X
JSIZTOL,O,O,X,X,X
JSIZLTO,O,X,X,X,O
JSIZLOT,O,X,X,X,O
JSIZOTL,O,O,X,X,X
JSIZOLT,O,X,X,X,O
JSIOTLZ,X,X,O,O,O
JSIOTZL,O,X,X,O,X
JSIOLTZ,O,X,X,X,O
JSIOLZT,O,X,X,X,O
JSIOZTL,O,X,X,X,X
JSIOZLT,O,X,X,X,O
JSLTIZO,O,X,O,X,O
JSLTIOZ,O,X,O,X,O
JSLTZIO,O,X,O,X,O
JSLTZOI,O,X,X,X,O
JSLTOIZ,O,X,O,X,O
JSLTOZI,O,X,X,X,O
JSLITZO,O,X,O,X,O
JSLITOZ,O,X,O,X,O
JSLIZTO,O,X,X,X,O
JSLIZOT,O,X,X,X,O
JSLIOTZ,O,X,X,X,O
JSLIOZT,O,X,X,X,O
JSLZTIO,O,X,X,X,O
JSLZTOI,O,X,X,X,O
JSLZITO,O,X,X,X,O
JSLZIOT,O,X,X,X,O
JSLZOTI,O,X,X,X,O
JSLZOIT,O,X,X,X,O
JSLOTIZ,O,X,X,X,O
JSLOTZI,O,X,X,X,O
JSLOITZ,O,X,X,X,O
JSLOIZT,O,X,X,X,O
JSLOZTI,O,X,X,X,O
JSLOZIT,O,X,X,X,O
JSZTILO,O,O,O,X,X
JSZTIOL,O,O,X,X,X
JSZTLIO,O,O,O,X,X
JSZTLOI,O,O,X,X,X
JSZTOIL,O,O,X,X,X
JSZTOLI,O,O,X,X,X
JSZITLO,O,O,O,X,X
JSZITOL,O,O,X,X,X
JSZILTO,O,X,X,X,O
JSZILOT,O,X,X,X,O
JSZIOTL,O,O,X,X,X
JSZIOLT,O,X,X,X,O
JSZLTIO,O,X,X,X,O
JSZLTOI,O,X,X,X,O
JSZLITO,O,X,X,X,O
JSZLIOT,O,X,X,X,O
JSZLOTI,O,X,X,X,O
JSZLOIT,O,X,X,X,O
JSZOTIL,O,O,X,X,X
JSZOTLI,O,O,X,X,X
JSZOITL,O,O,X,X,X
JSZOILT,O,X,X,X,O
JSZOLTI,O,X,X,X,O
JSZOLIT,O,X,X,X,O
JSOTILZ,X,X,O,O,O
JSOTIZL,O,X,X,O,X
JSOTLIZ,X,X,O,O,O
JSOTLZI,X,X,X,O,O
JSOTZIL,O,X,X,O,X
JSOTZLI,O,X,X,O,X
JSOITLZ,X,X,O,O,O
JSOITZL,O,X,X,O,X
JSOILTZ,O,X,X,X,O
JSOILZT,O,X,X,X,O
JSOIZTL,O,X,X,X,X
JSOIZLT,O,X,X,X,O
JSOLTIZ,O,X,X,X,O
JSOLTZI,O,X,X,X,O
JSOLITZ,O,X,X,X,O
JSOLIZT,O,X,X,X,O
JSOLZTI,O,X,X,X,O
JSOLZIT,O,X,X,X,O
JSOZTIL,O,X,X,X,X
JSOZTLI,O,X,X,X,X
JSOZITL,O,X,X,X,X
JSOZILT,O,X,X,X,O
JSOZLTI,O,X,X,X,O
JSOZLIT,O,X,X,X,O
JZTILSO,O,O,O,X,X
JZTILOS,O,O,X,X,X
JZTISLO,O,O,O,O,X
JZTISOL,O,O,X,O,X
JZTIOLS,O,O,X,X,X
JZTIOSL,O,O,X,O,X
JZTLISO,O,O,O,X,X
JZTLIOS,O,O,X,X,X
JZTLSIO,O,O,O,X,X
JZTLSOI,O,O,X,X,X
JZTLOIS,O,O,X,X,X
JZTLOSI,O,O,X,X,X
JZTSILO,O,O,O,O,X
JZTSIOL,O,O,X,O,X
JZTSLIO,O,O,O,O,X
JZTSLOI,O,O,X,O,X
JZTSOIL,O,O,X,O,X
JZTSOLI,O,O,X,O,X
JZTOILS,O,O,X,X,X
JZTOISL,O,O,X,O,X
JZTOLIS,O,O,X,X,X
JZTOLSI,O,O,X,X,X
JZTOSIL,O,O,X,O,X
JZTOSLI,O,O,X,O,X
JZITLSO,O,O,O,X,X
JZITLOS,O,O,X,X,X
JZITSLO,O,O,O,O,X
JZITSOL,O,O,X,O,X
JZITOLS,O,O,X,X,X
JZITOSL,O,O,X,O,X
JZILTSO,O,O,X,X,X
JZILTOS,O,O,X,X,X
JZILSTO,O,X,X,X,X
JZILSOT,O,X,X,X,X
JZILOTS,O,O,X,X,X
JZILOST,O,X,X,X,X
JZISTLO,O,O,O,X,X
JZISTOL,O,O,X,X,X
JZISLTO,O,X,X,X,O
JZISLOT,O,X,X,X,O
JZISOTL,O,O,X,X,X
JZISOLT,O,X,X,X,O
JZIOTLS,O,O,X,X,X
JZIOTSL,O,O,X,O,X
JZIOLTS,O,O,X,X,X
JZIOLST,O,X,X,X,X
JZIOSTL,O,O,X,X,X
JZIOSLT,O,X,X,X,O
JZLTISO,O,O,X,X,X
JZLTIOS,O,O,X,X,X
JZLTSIO,O,O,X,X,X
JZLTSOI,O,O,X,X,X
JZLTOIS,O,O,X,X,X
JZLTOSI,O,O,X,X,X
JZLITSO,O,O,X,X,X
JZLITOS,O,O,X,X,X
JZLISTO,O,X,X,X,X
JZLISOT,O,X,X,X,X
JZLIOTS,O,O,X,X,X
JZLIOST,O,X,X,X,X
JZLSTIO,O,X,X,X,X
JZLSTOI,O,X,X,X,X
JZLSITO,O,X,X,X,X
JZLSIOT,O,X,X,X,X
JZLSOTI,O,X,X,X,X
JZLSOIT,O,X,X,X,X
JZLOTIS,O,O,X,X,X
JZLOTSI,O,O,X,X,X
JZLOITS,O,O,X,X,X
JZLOIST,O,X,X,X,X
JZLOSTI,O,X,X,X,X
JZLOSIT,O,X,X,X,X
JZSTILO,O,O,O,X,X
JZSTIOL,O,O,X,X,X
JZSTLIO,O,O,O,X,X
JZSTLOI,O,O,X,X,X
JZSTOIL,O,O,X,X,X
JZSTOLI,O,O,X,X,X
JZSITLO,O,O,O,X,X
JZSITOL,O,O,X,X,X
JZSILTO,O,X,X,X,O
JZSILOT,O,X,X,X,O
JZSIOTL,O,O,X,X,X
JZSIOLT,O,X,X,X,O
JZSLTIO,O,X,X,X,O
JZSLTOI,O,X,X,X,O
JZSLITO,O,X,X,X,O
JZSLIOT,O,X,X,X,O
JZSLOTI,O,X,X,X,O
JZSLOIT,O,X,X,X,O
JZSOTIL,O,O,X,X,X
JZSOTLI,O,O,X,X,X
JZSOITL,O,O,X,X,X
JZSOILT,O,X,X,X,O
JZSOLTI,O,X,X,X,O
JZSOLIT,O,X,X,X,O
JZOTILS,O,O,X,X,X
JZOTISL,O,O,X,O,X
JZOTLIS,O,O,X,X,X
JZOTLSI,O,O,X,X,X
JZOTSIL,O,O,X,O,X
JZOTSLI,O,O,X,O,X
JZOITLS,O,O,X,X,X
JZOITSL,O,O,X,O,X
JZOILTS,O,O,X,X,X
JZOILST,O,X,X,X,X
JZOISTL,O,O,X,X,X
JZOISLT,O,X,X,X,O
JZOLTIS,O,O,X,X,X
JZOLTSI,O,O,X,X,X
JZOLITS,O,O,X,X,X
JZOLIST,O,X,X,X,X
JZOLSTI,O,X,X,X,X
JZOLSIT,O,X,X,X,X
JZOSTIL,O,O,X,X,X
JZOSTLI,O,O,X,X,X
JZOSITL,O,O,X,X,X
JZOSILT,O,X,X,X,O
JZOSLTI,O,X,X,X,O
JZOSLIT,O,X,X,X,O
JOTILSZ,X,X,O,O,X
JOTILZS,X,X,O,X,X
JOTISLZ,X,O,O,O,O
JOTISZL,X,O,O,O,X
JOTIZLS,X,O,O,X,X
JOTIZSL,X,O,O,O,X
JOTLISZ,X,X,O,O,X
JOTLIZS,X,X,O,X,X
JOTLSIZ,X,X,O,O,X
JOTLSZI,X,X,O,O,X
JOTLZIS,X,X,O,X,X
JOTLZSI,X,X,O,X,X
JOTSILZ,X,O,O,O,O
JOTSIZL,X,O,O,O,X
JOTSLIZ,X,O,O,O,O
JOTSLZI,X,O,O,O,O
JOTSZIL,X,O,O,O,X
JOTSZLI,X,O,O,O,X
JOTZILS,X,O,O,X,X
JOTZISL,X,O,O,O,X
JOTZLIS,X,O,O,X,X
JOTZLSI,X,O,O,X,X
JOTZSIL,X,O,O,O,X
JOTZSLI,X,O,O,O,X
JOITLSZ,X,X,O,O,X
JOITLZS,X,X,O,X,X
JOITSLZ,X,O,O,O,O
JOITSZL,X,O,O,O,X
JOITZLS,X,O,O,X,X
JOITZSL,X,O,O,O,X
JOILTSZ,X,X,O,O,X
JOILTZS,O,X,O,X,X
JOILSTZ,X,X,O,X,O
JOILSZT,X,X,X,X,O
JOILZTS,O,X,X,X,X
JOILZST,O,X,X,X,X
JOISTLZ,X,X,O,O,O
JOISTZL,O,X,O,O,X
JOISLTZ,O,X,O,X,O
JOISLZT,O,X,X,X,O
JOISZTL,O,X,O,X,X
JOISZLT,O,X,X,X,O
JOIZTLS,O,O,O,X,X
JOIZTSL,O,O,O,O,X
JOIZLTS,O,O,X,X,X
JOIZLST,O,X,X,X,X
JOIZSTL,O,O,O,X,X
JOIZSLT,O,X,X,X,O
JOLTISZ,X,X,O,O,X
JOLTIZS,O,X,O,X,X
JOLTSIZ,X,X,O,O,X
JOLTSZI,X,X,O,O,X
JOLTZIS,O,X,O,X,X
JOLTZSI,O,X,O,X,X
JOLITSZ,X,X,O,O,X
JOLITZS,O,X,O,X,X
JOLISTZ,X,X,O,X,O
JOLISZT,X,X,X,X,O
JOLIZTS,O,X,X,X,X
JOLIZST,O,X,X,X,X
JOLSTIZ,X,X,O,X,O
JOLSTZI,X,X,O,X,O
JOLSITZ,X,X,O,X,O
JOLSIZT,X,X,X,X,O
JOLSZTI,X,X,X,X,O
JOLSZIT,X,X,X,X,O
JOLZTIS,O,X,X,X,X
JOLZTSI,O,X,X,X,X
JOLZITS,O,X,X,X,X
JOLZIST,O,X,X,X,X
JOLZSTI,O,X,X,X,X
JOLZSIT,O,X,X,X,X
JOSTILZ,X,X,O,O,O
JOSTIZL,O,X,O,O,X
JOSTLIZ,X,X,O,O,O
JOSTLZI,X,X,O,O,O
JOSTZIL,O,X,O,O,X
JOSTZLI,O,X,O,O,X
JOSITLZ,X,X,O,O,O
JOSITZL,O,X,O,O,X
JOSILTZ,O,X,O,X,O
JOSILZT,O,X,X,X,O
JOSIZTL,O,X,O,X,X
JOSIZLT,O,X,X,X,O
JOSLTIZ,O,X,O,X,O
JOSLTZI,O,X,O,X,O
JOSLITZ,O,X,O,X,O
JOSLIZT,O,X,X,X,O
JOSLZTI,O,X,X,X,O
JOSLZIT,O,X,X,X,O
JOSZTIL,O,X,O,X,X
JOSZTLI,O,X,O,X,X
JOSZITL,O,X,O,X,X
JOSZILT,O,X,X,X,O
JOSZLTI,O,X,X,X,O
JOSZLIT,O,X,X,X,O
JOZTILS,O,O,O,X,X
JOZTISL,O,O,O,O,X
JOZTLIS,O,O,O,X,X
JOZTLSI,O,O,O,X,X
JOZTSIL,O,O,O,O,X
JOZTSLI,O,O,O,O,X
JOZITLS,O,O,O,X,X
JOZITSL,O,O,O,O,X
JOZILTS,O,O,X,X,X
JOZILST,O,X,X,X,X
JOZISTL,O,O,O,X,X
JOZISLT,O,X,X,X,O
JOZLTIS,O,O,X,X,X
JOZLTSI,O,O,X,X,X
JOZLITS,O,O,X,X,X
JOZLIST,O,X,X,X,X
JOZLSTI,O,X,X,X,X
JOZLSIT,O,X,X,X,X
JOZSTIL,O,O,O,X,X
JOZSTLI,O,O,O,X,X
JOZSITL,O,O,O,X,X
JOZSILT,O,X,X,X,O
JOZSLTI,O,X,X,X,O
JOZSLIT,O,X,X,X,O
STILJZO,O,O,O,O,O
STILJOZ,O,O,O,O,O
STILZJO,O,O,O,O,O
STILZOJ,O,O,X,O,O
STILOJZ,O,O,O,O,O
STILOZJ,O,O,O,O,O
STIJLZO,O,O,O,O,O
STIJLOZ,O,O,O,O,O
STIJZLO,O,O,O,O,X
STIJZOL,O,O,X,O,X
STIJOLZ,X,O,O,O,O
STIJOZL,O,O,X,O,X
STIZLJO,O,O,O,O,X
STIZLOJ,O,O,X,O,X
STIZJLO,O,O,O,O,X
STIZJOL,O,O,X,O,X
STIZOLJ,O,O,X,O,X
STIZOJL,O,O,X,O,X
STIOLJZ,X,O,O,O,O
STIOLZJ,X,O,O,O,O
STIOJLZ,X,O,O,O,O
STIOJZL,O,O,O,O,X
STIOZLJ,O,O,O,O,X
STIOZJL,O,O,O,O,X
STLIJZO,O,O,O,O,O
STLIJOZ,O,O,O,O,O
STLIZJO,O,O,O,O,O
STLIZOJ,O,O,X,O,O
STLIOJZ,O,O,O,O,O
STLIOZJ,O,O,O,O,O
STLJIZO,O,O,O,O,O
STLJIOZ,O,O,O,O,O
STLJZIO,O,O,O,O,O
STLJZOI,O,O,X,O,O
STLJOIZ,O,O,O,O,O
STLJOZI,O,O,X,O,O
STLZIJO,O,O,O,O,O
STLZIOJ,O,O,X,O,O
STLZJIO,O,O,O,O,O
STLZJOI,O,O,X,O,O
STLZOIJ,O,O,X,O,O
STLZOJI,O,O,X,O,O
STLOIJZ,O,O,O,O,O
STLOIZJ,O,O,O,O,O
STLOJIZ,O,O,O,O,O
STLOJZI,O,O,O,O,O
STLOZIJ,O,O,O,O,O
STLOZJI,O,O,O,O,O
STJILZO,O,O,O,O,O
STJILOZ,O,O,O,O,O
STJIZLO,O,O,O,O,X
STJIZOL,O,O,X,O,X
STJIOLZ,X,O,O,O,O
STJIOZL,O,O,X,O,X
STJLIZO,O,O,O,O,O
STJLIOZ,O,O,O,O,O
STJLZIO,O,O,O,O,O
STJLZOI,O,O,X,O,O
STJLOIZ,O,O,O,O,O
STJLOZI,O,O,X,O,O
STJZILO,O,O,O,O,X
STJZIOL,O,O,X,O,X
STJZLIO,O,O,O,O,X
STJZLOI,O,O,X,O,X
STJZOIL,O,O,X,O,X
STJZOLI,O,O,X,O,X
STJOILZ,X,O,O,O,O
STJOIZL,O,O,X,O,X
STJOLIZ,X,O,O,O,O
STJOLZI,X,O,X,O,O
STJOZIL,O,O,X,O,X
STJOZLI,O,O,X,O,X
STZILJO,O,O,O,O,X
STZILOJ,O,O,X,O,X
STZIJLO,O,O,O,O,X
STZIJOL,O,O,X,O,X
STZIOLJ,O,O,X,O,X
STZIOJL,O,O,X,O,X
STZLIJO,O,O,O,O,X
STZLIOJ,O,O,X,O,X
STZLJIO,O,O,O,O,X
STZLJOI,O,O,X,O,X
STZLOIJ,O,O,X,O,X
STZLOJI,O,O,X,O,X
STZJILO,O,O,O,O,X
STZJIOL,O,O,X,O,X
STZJLIO,O,O,O,O,X
STZJLOI,O,O,X,O,X
STZJOIL,O,O,X,O,X
STZJOLI,O,O,X,O,X
STZOILJ,O,O,X,O,X
STZOIJL,O,O,X,O,X
STZOLIJ,O,O,X,O,X
STZOLJI,O,O,X,O,X
STZOJIL,O,O,X,O,X
STZOJLI,O,O,X,O,X
STOILJZ,X,O,O,O,O
STOILZJ,X,O,O,O,O
STOIJLZ,X,O,O,O,O
STOIJZL,O,O,O,O,X
STOIZLJ,O,O,O,O,X
STOIZJL,O,O,O,O,X
STOLIJZ,X,O,O,O,O
STOLIZJ,X,O,O,O,O
STOLJIZ,X,O,O,O,O
STOLJZI,X,O,O,O,O
STOLZIJ,X,O,O,O,O
STOLZJI,X,O,O,O,O
STOJILZ,X,O,O,O,O
STOJIZL,O,O,O,O,X
STOJLIZ,X,O,O,O,O
STOJLZI,X,O,O,O,O
STOJZIL,O,O,O,O,X
STOJZLI,O,O,O,O,X
STOZILJ,O,O,O,O,X
STOZIJL,O,O,O,O,X
STOZLIJ,O,O,O,O,X
STOZLJI,O,O,O,O,X
STOZJIL,O,O,O,O,X
STOZJLI,O,O,O,O,X
SITLJZO,O,O,O,O,O
SITLJOZ,O,O,O,O,O
SITLZJO,O,O,O,O,O
SITLZOJ,O,O,X,O,O
SITLOJZ,O,O,O,O,O
SITLOZJ,O,O,O,O,O
SITJLZO,O,O,O,O,O
SITJLOZ,O,O,O,O,O
SITJZLO,O,O,O,O,X
SITJZOL,O,O,X,O,X
