sequence,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFVlBRhB3iB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBikBU?nBzpBWxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFXgBliBRmB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBmkBz?mB0pBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhB8mBunBi?kBzpBVxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhFRiB/pBFlB6?sBzrBmpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhF3iBxkBzmBm?pBSxBlpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeKEJvhFUhBRiBFlBG?sBXsBzpB
TIJSOZL,O,X,O,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X
TIJZSLO,O,X,O,X,O,X,X,X
TIJZSOL,O,X,O,X,O,X,X,X
TIJZOLS,X,X,X,X,O,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X
TIJOLSZ,O,X,O,X,O,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,O,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X
TIJOZSL,X,X,O,X,O,X,X,X
TISLJZO,O,O,O,O,X,X,X,X
TISLJOZ,O,O,O,O,X,X,X,X
TISLZJO,O,O,O,O,X,X,O,X
TISLZOJ,O,X,X,O,X,X,O,X
TISLOJZ,O,O,O,O,X,X,X,X
TISLOZJ,X,O,X,O,X,X,X,X
TISJLZO,O,O,O,O,X,X,X,X
TISJLOZ,O,O,O,O,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X
TISJZOL,O,O,O,O,X,X,X,X
TISJOLZ,O,O,O,X,X,X,X,X
TISJOZL,O,O,O,X,X,X,X,X
TISZLJO,O,O,X,O,X,X,O,X
TISZLOJ,X,X,X,O,X,X,O,X
TISZJLO,O,O,O,O,X,X,O,X
TISZJOL,O,O,O,O,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,X
TISZOJL,O,O,X,O,X,X,X,X
TISOLJZ,X,O,O,O,X,X,X,X
TISOLZJ,X,O,X,O,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X
TISOZLJ,X,O,X,O,X,X,X,X
TISOZJL,X,O,O,O,X,X,X,X
TIZLJSO,O,X,X,O,O,X,X,X
TIZLJOS,O,X,X,O,O,X,X,X
TIZLSJO,O,X,X,O,O,X,O,X
TIZLSOJ,O,X,X,O,O,X,O,X
TIZLOJS,O,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,X,O,X,X,X
TIZJLSO,O,X,X,O,O,X,X,X
TIZJLOS,O,X,X,O,O,X,X,X
TIZJSLO,O,X,O,O,O,X,X,X
TIZJSOL,O,X,O,O,O,X,X,X
TIZJOLS,X,X,X,O,O,X,X,X
TIZJOSL,O,X,X,O,O,X,X,X
TIZSLJO,O,X,X,O,O,X,O,X
TIZSLOJ,X,X,X,O,O,X,O,X
TIZSJLO,O,X,O,O,O,X,O,X
TIZSJOL,O,X,O,O,O,X,X,X
TIZSOLJ,X,X,X,O,O,X,X,X
TIZSOJL,O,X,X,O,O,X,X,X
TIZOLJS,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,O,X,X,X
TIZOJLS,X,X,X,X,O,X,X,X
TIZOJSL,O,X,O,X,O,X,X,X
TIZOSLJ,X,X,X,X,O,X,X,X
TIZOSJL,O,X,O,X,O,X,X,X
TIOLJSZ,O,O,O,X,O,X,X,X
TIOLJZS,X,X,O,X,O,X,X,X
TIOLSJZ,O,O,O,X,O,X,X,X
TIOLSZJ,X,O,O,X,O,X,X,X
TIOLZJS,X,X,O,X,O,X,X,X
TIOLZSJ,X,O,O,X,O,X,X,X
TIOJLSZ,O,X,O,X,O,X,X,X
TIOJLZS,X,X,O,X,O,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X,X,X
TIOJZSL,X,X,O,X,O,X,X,X
TIOSLJZ,X,O,O,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X
TIOZJSL,X,X,O,X,O,X,X,X
TIOZSLJ,X,X,X,X,O,X,X,X
TIOZSJL,X,X,O,X,O,X,X,X
TLIJSZO,O,O,O,X,O,X,X,O
TLIJSOZ,O,O,O,X,X,X,X,O
TLIJZSO,O,O,O,X,O,X,X,O
TLIJZOS,O,O,X,X,O,X,X,X
TLIJOSZ,O,O,O,X,X,X,X,X
TLIJOZS,X,X,O,X,O,X,X,X
TLISJZO,O,O,O,O,O,X,X,X
TLISJOZ,O,O,O,O,X,X,X,X
TLISZJO,O,O,O,O,O,X,O,X
TLISZOJ,O,X,X,O,O,X,O,X
TLISOJZ,O,O,O,O,X,X,X,X
TLISOZJ,X,X,O,O,X,X,X,X
TLIZJSO,O,X,O,O,O,X,X,O
TLIZJOS,O,X,X,O,O,X,X,X
TLIZSJO,O,O,O,O,O,X,O,X
TLIZSOJ,O,X,X,O,O,X,O,X
TLIZOJS,O,X,O,X,O,X,X,X
TLIZOSJ,O,X,O,X,O,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X
TLIOJZS,X,X,O,X,O,X,X,X
TLIOSJZ,O,O,O,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X
TLIOZJS,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,O,X,O,X,X,X
TLJISZO,O,O,O,X,O,X,O,O
TLJISOZ,O,O,O,X,X,X,X,O
TLJIZSO,O,O,O,X,O,X,O,O
TLJIZOS,O,O,X,X,O,X,X,X
TLJIOSZ,O,O,O,X,X,X,X,X
TLJIOZS,X,X,O,X,O,X,X,X
TLJSIZO,O,O,O,O,O,X,O,O
TLJSIOZ,O,O,O,O,X,X,X,O
TLJSZIO,O,O,X,O,O,X,O,O
TLJSZOI,O,O,X,O,O,X,X,O
TLJSOIZ,O,O,X,X,X,X,X,O
TLJSOZI,O,X,X,X,X,X,X,O
TLJZISO,O,O,O,O,O,X,O,O
TLJZIOS,O,O,X,O,O,X,X,X
TLJZSIO,O,O,X,O,O,X,O,O
TLJZSOI,O,O,X,O,O,X,X,O
TLJZOIS,O,O,X,O,O,X,X,X
TLJZOSI,O,O,X,O,O,X,X,O
TLJOISZ,O,O,O,X,O,X,X,X
TLJOIZS,X,X,O,X,O,X,X,X
TLJOSIZ,O,O,O,X,O,X,X,O
TLJOSZI,O,X,O,X,O,X,X,O
TLJOZIS,O,X,O,X,O,X,X,X
TLJOZSI,O,X,O,X,O,X,X,O
TLSIJZO,O,O,O,O,O,X,X,X
TLSIJOZ,O,O,O,O,X,X,X,X
TLSIZJO,O,O,O,O,O,X,O,X
TLSIZOJ,O,X,X,O,O,O,O,X
TLSIOJZ,O,O,O,O,X,X,X,X
TLSIOZJ,O,O,O,O,X,X,X,X
TLSJIZO,O,O,O,O,O,X,O,O
TLSJIOZ,O,O,O,O,X,X,X,O
TLSJZIO,O,O,X,O,O,X,O,O
TLSJZOI,O,O,X,O,O,O,X,O
TLSJOIZ,O,O,X,X,X,X,X,O
TLSJOZI,O,X,X,X,X,X,X,O
TLSZIJO,O,O,X,O,O,X,O,X
TLSZIOJ,O,X,X,O,O,O,O,X
TLSZJIO,O,X,X,O,O,X,O,O
TLSZJOI,O,X,X,O,O,O,X,O
TLSZOIJ,O,X,X,O,O,O,X,X
TLSZOJI,O,X,X,O,O,O,X,X
TLSOIJZ,O,O,O,O,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X
TLSOJZI,O,X,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,X,O,X,X
TLSOZJI,O,X,O,O,X,O,X,X
TLZIJSO,O,X,O,O,O,X,X,O
TLZIJOS,O,X,X,O,O,X,X,X
TLZISJO,O,O,O,O,O,X,O,X
TLZISOJ,O,X,X,O,O,X,O,X
TLZIOJS,O,X,O,X,O,X,X,X
TLZIOSJ,O,X,O,X,O,X,X,X
TLZJISO,O,X,O,O,O,X,O,O
TLZJIOS,O,X,X,O,O,X,X,X
TLZJSIO,O,X,X,O,O,X,O,O
TLZJSOI,O,X,X,O,O,X,X,O
TLZJOIS,O,X,X,O,O,X,X,X
TLZJOSI,O,X,X,O,O,X,X,O
TLZSIJO,O,O,X,O,O,X,O,X
TLZSIOJ,O,X,X,O,O,O,O,X
TLZSJIO,O,X,X,O,O,X,O,O
TLZSJOI,O,X,X,O,O,O,X,O
TLZSOIJ,O,X,X,O,O,O,X,X
TLZSOJI,O,X,X,O,O,O,X,X
TLZOIJS,O,X,O,O,O,X,X,X
TLZOISJ,O,X,O,O,O,X,X,X
TLZOJIS,O,X,O,O,O,X,X,X
TLZOJSI,O,X,O,O,O,X,X,O
TLZOSIJ,O,X,O,O,O,X,X,X
TLZOSJI,O,X,O,O,O,X,X,X
TLOIJSZ,O,O,O,X,O,X,X,X
TLOIJZS,O,X,O,X,O,X,X,X
TLOISJZ,O,O,O,O,O,X,X,X
TLOISZJ,O,O,O,O,O,X,X,X
TLOIZJS,O,X,O,O,O,X,X,X
TLOIZSJ,O,O,O,O,O,X,X,X
TLOJISZ,O,O,O,X,O,X,X,X
TLOJIZS,O,X,O,X,O,X,X,X
TLOJSIZ,O,O,O,O,O,X,X,O
TLOJSZI,O,X,O,O,O,X,X,O
TLOJZIS,O,X,O,O,O,X,X,X
TLOJZSI,O,X,O,O,O,X,X,O
TLOSIJZ,O,O,O,O,O,X,X,X
TLOSIZJ,O,O,O,O,O,X,X,X
TLOSJIZ,O,O,O,O,O,X,X,X
TLOSJZI,O,X,O,O,O,X,X,X
TLOSZIJ,O,O,O,O,O,X,X,X
TLOSZJI,O,X,O,O,O,X,X,X
TLOZIJS,O,X,O,O,O,X,X,X
TLOZISJ,O,O,O,O,O,X,X,X
TLOZJIS,O,X,O,O,O,X,X,X
TLOZJSI,O,X,O,O,O,X,X,O
TLOZSIJ,O,O,O,O,O,X,X,X
TLOZSJI,O,X,O,O,O,X,X,X
TJILSZO,O,O,O,X,O,X,O,X
TJILSOZ,O,O,O,X,X,X,X,X
TJILZSO,O,O,O,X,O,X,O,X
TJILZOS,O,X,X,X,O,X,X,X
TJILOSZ,O,O,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,X
TJISLZO,O,O,O,X,X,X,O,X
TJISLOZ,O,O,O,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,O,X
TJISZOL,O,O,O,X,X,X,X,X
TJISOLZ,O,O,O,X,X,X,X,X
TJISOZL,O,O,O,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,O,X
TJIZLOS,O,X,X,X,O,X,X,X
TJIZSLO,O,X,O,X,O,X,O,X
TJIZSOL,O,X,O,X,O,X,X,X
TJIZOLS,X,X,X,X,O,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X
TJIOLSZ,O,O,O,X,O,X,X,X
TJIOLZS,X,O,X,X,O,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,X,X
TJIOZSL,X,X,O,X,O,X,X,X
TJLISZO,O,O,O,X,O,X,O,O
TJLISOZ,O,O,O,X,X,X,X,O
TJLIZSO,O,O,O,X,O,X,O,O
TJLIZOS,O,O,X,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,X,X,X
TJLIOZS,X,X,O,X,O,X,X,X
TJLSIZO,O,O,O,O,O,X,O,O
TJLSIOZ,O,O,O,O,X,X,X,O
TJLSZIO,O,O,X,O,O,X,O,O
TJLSZOI,O,O,X,O,O,X,X,O
TJLSOIZ,O,O,X,X,X,X,X,O
TJLSOZI,O,O,X,X,X,X,X,O
TJLZISO,O,O,O,O,O,X,O,O
TJLZIOS,O,O,X,O,O,X,X,X
TJLZSIO,O,O,X,O,O,X,O,O
TJLZSOI,O,O,X,O,O,X,X,O
TJLZOIS,O,O,X,O,O,X,X,X
TJLZOSI,O,O,X,O,O,X,X,O
TJLOISZ,O,O,O,X,O,X,X,X
TJLOIZS,X,O,O,X,O,X,X,X
TJLOSIZ,O,O,O,X,O,X,X,O
TJLOSZI,O,O,O,X,O,X,X,O
TJLOZIS,O,O,O,X,O,X,X,X
TJLOZSI,O,O,O,X,O,X,X,O
TJSILZO,O,O,O,O,X,X,O,X
TJSILOZ,O,O,O,O,X,X,X,X
TJSIZLO,O,O,O,O,X,X,O,X
TJSIZOL,O,O,O,O,X,X,X,X
TJSIOLZ,O,O,O,X,X,X,X,X
TJSIOZL,O,O,O,X,X,X,X,X
TJSLIZO,O,O,O,X,O,X,O,X
TJSLIOZ,O,O,O,X,X,X,X,X
TJSLZIO,O,O,X,X,O,X,O,X
TJSLZOI,O,O,X,X,O,X,X,X
TJSLOIZ,O,O,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,X
TJSZILO,O,O,X,O,O,X,O,X
TJSZIOL,O,O,X,O,O,X,X,X
TJSZLIO,O,O,X,O,O,X,X,X
TJSZLOI,O,O,X,X,O,X,X,X
TJSZOIL,O,O,X,O,O,X,X,X
TJSZOLI,X,O,X,X,O,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,O,X,X,X
TJSOLZI,O,O,X,X,O,X,X,X
TJSOZIL,O,O,X,X,O,X,X,X
TJSOZLI,X,O,X,X,O,X,X,X
TJZILSO,O,O,X,O,O,X,O,X
TJZILOS,O,O,X,O,O,X,X,X
TJZISLO,O,O,O,O,O,X,O,X
TJZISOL,O,O,O,O,O,X,X,X
TJZIOLS,X,O,X,O,O,X,X,X
TJZIOSL,O,O,X,O,O,X,X,X
TJZLISO,O,O,O,O,O,X,O,O
TJZLIOS,O,O,X,O,O,X,X,X
TJZLSIO,O,O,X,O,O,X,O,O
TJZLSOI,O,O,X,O,O,X,X,O
TJZLOIS,O,O,X,O,O,X,X,X
TJZLOSI,O,O,X,O,O,X,X,O
TJZSILO,O,O,X,O,O,X,O,X
TJZSIOL,O,O,X,O,O,X,X,X
TJZSLIO,O,O,X,O,O,X,X,X
TJZSLOI,O,O,X,O,O,X,X,X
TJZSOIL,O,O,X,O,O,X,X,X
TJZSOLI,X,O,X,X,O,X,X,X
TJZOILS,X,O,X,O,O,X,X,X
TJZOISL,O,O,X,O,O,X,X,X
TJZOLIS,O,O,X,O,O,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X
TJZOSIL,O,O,X,O,O,X,X,X
TJZOSLI,X,O,X,X,O,X,X,X
TJOILSZ,O,O,O,X,O,X,X,X
TJOILZS,X,O,O,X,O,X,X,X
TJOISLZ,O,O,O,X,X,X,X,X
TJOISZL,O,O,O,X,X,X,X,X
TJOIZLS,X,X,X,X,O,X,X,X
TJOIZSL,X,X,O,X,O,X,X,X
TJOLISZ,O,O,O,X,O,X,X,X
TJOLIZS,X,O,O,X,O,X,X,X
TJOLSIZ,O,O,O,X,O,X,X,X
TJOLSZI,O,O,O,X,O,X,X,X
TJOLZIS,O,O,O,X,O,X,X,X
TJOLZSI,O,O,O,X,O,X,X,X
TJOSILZ,O,O,O,X,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,O,X,X,X
TJOSLZI,O,O,O,X,O,X,X,X
TJOSZIL,O,O,O,X,O,X,X,X
TJOSZLI,X,O,O,X,O,X,X,X
TJOZILS,X,O,X,X,O,X,X,X
TJOZISL,O,O,O,X,O,X,X,X
TJOZLIS,O,O,O,X,O,X,X,X
TJOZLSI,O,O,O,X,O,X,X,X
TJOZSIL,O,O,O,X,O,X,X,X
TJOZSLI,X,O,O,X,O,X,X,X
TSILJZO,O,O,O,O,X,X,X,X
TSILJOZ,O,O,O,O,X,X,X,X
TSILZJO,O,O,X,O,X,X,O,X
TSILZOJ,O,X,X,O,X,O,O,X
TSILOJZ,O,O,X,O,X,X,X,X
TSILOZJ,X,O,X,O,X,X,X,X
TSIJLZO,O,O,O,O,X,X,X,X
TSIJLOZ,O,O,O,O,X,X,X,X
TSIJZLO,O,O,O,O,X,X,X,X
TSIJZOL,O,O,O,O,X,X,X,X
TSIJOLZ,O,O,O,X,X,X,X,X
TSIJOZL,O,O,O,X,X,X,X,X
TSIZLJO,O,O,X,O,X,X,O,X
TSIZLOJ,X,X,X,O,X,O,O,X
TSIZJLO,O,O,O,O,X,X,O,X
TSIZJOL,O,O,O,O,X,X,X,X
TSIZOLJ,X,O,X,O,X,O,X,X
TSIZOJL,O,O,X,O,X,X,X,X
TSIOLJZ,O,O,O,O,X,O,X,X
TSIOLZJ,X,O,X,O,X,O,X,X
TSIOJLZ,O,O,O,X,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X,X
TSIOZLJ,X,O,X,O,X,O,X,X
TSIOZJL,O,O,O,O,X,X,X,X
TSLIJZO,O,O,O,O,O,X,X,X
TSLIJOZ,O,O,O,O,X,X,X,X
TSLIZJO,O,O,O,O,O,X,O,X
TSLIZOJ,O,X,X,O,O,O,O,X
TSLIOJZ,O,O,O,O,X,X,X,X
TSLIOZJ,O,O,O,O,X,X,X,X
TSLJIZO,O,O,O,O,O,X,O,X
TSLJIOZ,O,O,O,O,X,X,X,X
TSLJZIO,O,O,X,O,O,X,O,X
TSLJZOI,O,O,X,O,O,O,X,X
TSLJOIZ,O,O,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X,X,X
TSLZIJO,O,O,X,O,O,X,O,X
TSLZIOJ,O,X,X,O,O,O,O,X
TSLZJIO,O,X,X,O,O,X,O,X
TSLZJOI,O,X,X,O,O,O,X,X
TSLZOIJ,O,X,X,O,O,O,X,X
TSLZOJI,O,X,X,O,O,O,X,X
TSLOIJZ,O,O,O,O,X,O,X,X
TSLOIZJ,O,O,O,O,X,O,X,X
TSLOJIZ,O,O,O,X,X,O,X,X
TSLOJZI,O,X,O,X,X,O,X,X
TSLOZIJ,O,O,O,O,X,O,X,X
TSLOZJI,O,X,O,O,X,O,X,X
TSJILZO,O,O,O,O,X,X,O,X
TSJILOZ,O,O,O,O,X,X,X,X
TSJIZLO,O,O,O,O,X,X,O,X
TSJIZOL,O,O,O,O,X,X,X,X
TSJIOLZ,O,O,O,X,X,X,X,X
TSJIOZL,O,O,O,X,X,X,X,X
TSJLIZO,O,O,O,X,O,X,O,X
TSJLIOZ,O,O,O,X,X,X,X,X
TSJLZIO,O,O,X,X,O,X,O,X
TSJLZOI,O,O,X,X,O,O,X,X
TSJLOIZ,O,O,X,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X
TSJZILO,O,O,X,O,O,X,O,X
TSJZIOL,O,O,X,O,O,X,X,X
TSJZLIO,O,O,X,O,O,X,X,X
TSJZLOI,O,O,X,X,O,O,X,X
TSJZOIL,O,O,X,O,O,X,X,X
TSJZOLI,X,O,X,X,O,O,X,X
TSJOILZ,O,O,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X
TSJOLIZ,O,O,X,X,O,O,X,X
TSJOLZI,O,O,X,X,O,O,X,X
TSJOZIL,O,O,X,X,O,X,X,X
TSJOZLI,X,O,X,X,O,O,X,X
TSZILJO,O,O,X,O,O,X,O,X
TSZILOJ,X,X,X,O,O,O,O,X
TSZIJLO,O,O,X,O,O,X,O,X
TSZIJOL,O,O,X,O,O,X,X,X
TSZIOLJ,O,O,X,O,O,O,X,X
TSZIOJL,O,O,X,O,O,X,X,X
TSZLIJO,O,O,X,O,O,X,X,X
TSZLIOJ,O,X,X,O,O,O,X,X
TSZLJIO,O,X,X,O,O,X,X,X
TSZLJOI,O,X,X,O,O,O,X,X
TSZLOIJ,O,X,X,O,O,O,X,X
TSZLOJI,O,X,X,O,O,O,X,X
TSZJILO,O,X,X,O,O,X,O,X
TSZJIOL,O,X,X,O,O,X,X,X
TSZJLIO,O,X,X,O,O,X,X,X
TSZJLOI,O,X,X,O,O,O,X,X
TSZJOIL,O,X,X,O,O,X,X,X
TSZJOLI,X,X,X,X,O,O,X,X
TSZOILJ,O,O,X,O,O,O,X,X
TSZOIJL,O,O,X,O,O,X,X,X
TSZOLIJ,O,O,X,X,O,O,X,X
TSZOLJI,O,X,X,X,O,O,X,X
TSZOJIL,O,X,X,O,O,X,X,X
TSZOJLI,O,X,X,X,O,O,X,X
TSOILJZ,O,O,O,O,X,O,X,X
TSOILZJ,O,O,O,O,X,O,X,X
TSOIJLZ,O,O,O,X,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,O,X,X
TSOIZJL,O,O,O,O,X,X,X,X
TSOLIJZ,O,O,O,X,O,O,X,X
TSOLIZJ,O,O,O,X,O,O,X,X
TSOLJIZ,O,O,O,X,O,O,X,X
TSOLJZI,O,O,O,X,O,O,X,X
TSOLZIJ,O,O,O,X,O,O,X,X
TSOLZJI,O,X,O,X,O,O,X,X
TSOJILZ,O,O,O,X,X,X,X,X
TSOJIZL,O,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,X,O,O,X,X
TSOJLZI,O,O,O,X,O,O,X,X
TSOJZIL,O,O,O,X,O,X,X,X
TSOJZLI,O,O,O,X,O,O,X,X
TSOZILJ,O,O,X,O,O,O,X,X
TSOZIJL,O,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,X,O,O,X,X
TSOZLJI,O,X,O,X,O,O,X,X
TSOZJIL,O,X,O,O,O,X,X,X
TSOZJLI,O,X,O,X,O,O,X,X
TZILJSO,O,X,X,O,O,X,X,X
TZILJOS,O,X,X,O,O,X,X,X
TZILSJO,O,X,X,O,O,X,O,X
TZILSOJ,O,X,X,O,O,X,O,X
TZILOJS,O,X,X,X,O,X,X,X
TZILOSJ,O,X,X,X,O,X,X,X
TZIJLSO,O,X,X,O,O,X,X,X
TZIJLOS,O,X,X,O,O,X,X,X
TZIJSLO,O,X,O,O,O,X,X,X
TZIJSOL,O,X,O,O,O,X,X,X
TZIJOLS,X,X,X,O,O,X,X,X
TZIJOSL,O,X,X,O,O,X,X,X
TZISLJO,O,X,X,O,O,X,O,X
TZISLOJ,X,X,X,O,O,X,O,X
TZISJLO,O,X,O,O,O,X,O,X
TZISJOL,O,X,O,O,O,X,X,X
TZISOLJ,O,X,X,O,O,X,X,X
TZISOJL,O,X,X,O,O,X,X,X
TZIOLJS,O,X,X,X,O,X,X,X
TZIOLSJ,O,X,X,X,O,X,X,X
TZIOJLS,O,X,X,X,O,X,X,X
TZIOJSL,O,X,O,X,O,X,X,X
TZIOSLJ,O,X,X,X,O,X,X,X
TZIOSJL,O,X,O,X,O,X,X,X
TZLIJSO,O,X,O,O,O,X,X,O
TZLIJOS,O,X,X,O,O,X,X,X
TZLISJO,O,O,O,O,O,X,O,X
TZLISOJ,O,X,X,O,O,X,O,X
TZLIOJS,O,X,O,X,O,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,X
TZLJISO,O,X,O,O,O,X,O,O
TZLJIOS,O,X,X,O,O,X,X,X
TZLJSIO,O,X,X,O,O,X,O,O
TZLJSOI,O,X,X,O,O,X,X,O
TZLJOIS,O,X,X,O,O,X,X,X
TZLJOSI,O,X,X,O,O,X,X,O
TZLSIJO,O,O,X,O,O,X,O,X
TZLSIOJ,O,X,X,O,O,O,O,X
TZLSJIO,O,X,X,O,O,X,O,O
TZLSJOI,O,X,X,O,O,O,X,O
TZLSOIJ,O,X,X,O,O,O,X,X
TZLSOJI,O,X,X,O,O,O,X,X
TZLOIJS,O,X,O,O,O,X,X,X
TZLOISJ,O,X,O,O,O,X,X,X
TZLOJIS,O,X,O,O,O,X,X,X
TZLOJSI,O,X,O,O,O,X,X,O
TZLOSIJ,O,X,O,O,O,X,X,X
TZLOSJI,O,X,O,O,O,X,X,X
TZJILSO,O,X,X,O,O,X,O,X
TZJILOS,O,X,X,O,O,X,X,X
TZJISLO,O,X,O,O,O,X,O,X
TZJISOL,O,X,O,O,O,X,X,X
TZJIOLS,X,X,X,O,O,X,X,X
TZJIOSL,O,X,X,O,O,X,X,X
TZJLISO,O,X,O,O,O,X,O,O
TZJLIOS,O,X,X,O,O,X,X,X
TZJLSIO,O,X,X,O,O,X,O,O
TZJLSOI,O,X,X,O,O,X,X,O
TZJLOIS,O,X,X,O,O,X,X,X
TZJLOSI,O,X,X,O,O,X,X,O
TZJSILO,O,X,X,O,O,X,O,X
TZJSIOL,O,X,X,O,O,X,X,X
TZJSLIO,O,X,X,O,O,X,X,X
TZJSLOI,O,X,X,O,O,X,X,X
TZJSOIL,O,X,X,O,O,X,X,X
