sequence,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhBTiB6?oBVrBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFFgB8lB+mBT?iB6oBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhB6oBV?rBTnBXsB
TZJOLIS,X,X,O
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,O,O,X
TZSILOJ,O,X,X
TZSIJLO,O,O,X
TZSIJOL,O,O,X
TZSIOLJ,O,X,X
TZSIOJL,O,X,X
TZSLIJO,O,O,X
TZSLIOJ,O,X,X
TZSLJIO,O,O,X
TZSLJOI,O,O,X
TZSLOIJ,O,X,X
TZSLOJI,O,X,X
TZSJILO,O,O,X
TZSJIOL,O,O,X
TZSJLIO,O,O,X
TZSJLOI,O,O,X
TZSJOIL,O,O,X
TZSJOLI,O,O,X
TZSOILJ,O,X,X
TZSOIJL,O,X,X
TZSOLIJ,O,X,X
TZSOLJI,O,X,X
TZSOJIL,O,X,X
TZSOJLI,O,X,X
TZOILJS,X,X,O
TZOILSJ,X,X,X
TZOIJLS,X,X,O
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,O
TZOLISJ,X,X,X
TZOLJIS,X,X,O
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,O
TZOJISL,X,X,X
TZOJLIS,X,X,O
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,X
TOILJZS,X,X,O
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,O
TOILZSJ,X,X,X
TOIJLSZ,X,X,X
TOIJLZS,X,X,O
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,X,X,O
TOIJZSL,X,X,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,X,O
TOIZLSJ,X,X,X
TOIZJLS,X,X,O
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,X,X,X
TOLIJZS,X,X,O
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,O
TOLIZSJ,X,X,X
TOLJISZ,X,X,X
TOLJIZS,X,X,O
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,X,O
TOLJZSI,X,X,X
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,O
TOLZISJ,X,X,X
TOLZJIS,X,X,O
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,X,X,X
TOJILZS,X,X,O
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,X,X,O
TOJIZSL,X,X,X
TOJLISZ,X,X,X
TOJLIZS,X,X,O
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,X,O
TOJLZSI,X,X,X
TOJSILZ,X,X,X
TOJSIZL,X,X,X
TOJSLIZ,X,X,X
TOJSLZI,X,X,X
TOJSZIL,X,X,X
TOJSZLI,X,X,X
TOJZILS,X,X,O
TOJZISL,X,X,X
TOJZLIS,X,X,O
TOJZLSI,X,X,X
TOJZSIL,X,X,X
TOJZSLI,X,X,X
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
TOSIJZL,X,X,X
TOSIZLJ,X,X,X
TOSIZJL,X,X,X
TOSLIJZ,X,X,X
TOSLIZJ,X,X,X
TOSLJIZ,X,X,X
TOSLJZI,X,X,X
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,X,X,X
TOSJIZL,X,X,X
TOSJLIZ,X,X,X
TOSJLZI,X,X,X
TOSJZIL,X,X,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,X
TOSZJLI,X,X,X
TOZILJS,X,X,O
TOZILSJ,X,X,X
TOZIJLS,X,X,O
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,X,O
TOZLISJ,X,X,X
TOZLJIS,X,X,O
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,O
TOZJISL,X,X,X
TOZJLIS,X,X,O
TOZJLSI,X,X,X
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
