sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TSJZOLI,O,O,O,O,O
TSJOILZ,O,X,O,O,O
TSJOIZL,O,O,O,O,O
TSJOLIZ,O,O,O,O,O
TSJOLZI,O,O,O,O,O
TSJOZIL,O,O,O,O,O
TSJOZLI,O,O,O,O,O
TSZILJO,O,O,X,O,X
TSZILOJ,O,O,X,O,X
TSZIJLO,O,O,X,O,X
TSZIJOL,O,O,X,O,O
TSZIOLJ,O,O,X,O,X
TSZIOJL,O,O,X,O,O
TSZLIJO,O,O,X,O,O
TSZLIOJ,O,O,X,O,O
TSZLJIO,O,O,X,O,O
TSZLJOI,O,O,X,O,O
TSZLOIJ,O,O,X,O,O
TSZLOJI,O,O,X,O,O
TSZJILO,O,O,X,O,X
TSZJIOL,O,O,X,O,O
TSZJLIO,O,O,X,O,O
TSZJLOI,O,O,X,O,O
TSZJOIL,O,O,X,O,O
TSZJOLI,O,O,X,O,O
TSZOILJ,O,O,X,O,X
TSZOIJL,O,O,X,O,O
TSZOLIJ,O,O,X,O,O
TSZOLJI,O,O,X,O,O
TSZOJIL,O,O,X,O,O
TSZOJLI,O,O,X,O,O
TSOILJZ,O,X,O,O,O
TSOILZJ,O,X,X,O,O
TSOIJLZ,O,X,O,O,O
TSOIJZL,O,O,O,O,O
TSOIZLJ,O,O,X,O,X
TSOIZJL,O,O,X,O,O
TSOLIJZ,O,O,O,O,O
TSOLIZJ,O,O,X,O,O
TSOLJIZ,O,O,O,O,O
TSOLJZI,O,O,O,O,O
TSOLZIJ,O,O,X,O,O
TSOLZJI,O,O,X,O,O
TSOJILZ,O,X,O,O,O
TSOJIZL,O,O,O,O,O
TSOJLIZ,O,O,O,O,O
TSOJLZI,O,O,O,O,O
