sequence,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBGjBqsB/tBlrB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBfoB6oBlrBWyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBTjBFnB0nBGrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB/tBCsB0sB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCjBlrBGtBXtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB8rBqsB/tB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBWoBXoBlrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBSoBUnBGrBTtBlsB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCoBlrBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBzlB8rBCoBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lB3mBGoBlsBCsBTtB
TISOJLZ,X,X,X,O,X,O,X,X,X,X,X
TISOJZL,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,O,O,X
TISOZJL,X,X,X,O,X,X,X,X,O,O,X
TIZLJSO,O,O,X,X,O,O,O,X,X,X,X
TIZLJOS,O,O,X,X,O,X,O,X,X,X,X
TIZLSJO,O,X,X,X,X,O,O,X,O,X,X
TIZLSOJ,O,X,O,X,X,O,O,X,O,X,X
TIZLOJS,O,O,X,X,O,X,O,X,X,X,X
TIZLOSJ,O,X,O,X,X,O,O,X,O,X,X
TIZJLSO,O,O,X,X,O,O,O,X,X,X,X
TIZJLOS,O,O,X,X,O,X,O,X,X,X,X
TIZJSLO,O,O,X,X,O,X,X,X,O,X,X
TIZJSOL,X,O,X,X,O,X,X,X,O,X,X
TIZJOLS,O,O,X,X,O,X,O,X,X,X,X
TIZJOSL,X,O,X,X,O,X,X,X,O,X,X
TIZSLJO,O,X,X,X,X,O,O,X,O,X,O
TIZSLOJ,O,X,O,X,X,O,O,X,O,X,X
TIZSJLO,O,O,X,X,O,X,X,X,O,X,O
TIZSJOL,X,O,X,X,O,X,X,X,O,X,O
TIZSOLJ,O,X,X,X,X,X,O,X,O,X,X
TIZSOJL,X,O,X,X,O,X,X,X,O,X,O
TIZOLJS,O,O,X,X,O,X,O,X,X,X,X
TIZOLSJ,O,X,X,X,X,O,O,X,O,X,X
TIZOJLS,O,O,X,X,O,X,O,X,X,X,X
TIZOJSL,X,O,X,X,O,X,X,X,O,X,X
TIZOSLJ,O,X,X,X,X,X,O,X,O,X,X
TIZOSJL,X,O,X,X,O,X,X,X,O,X,X
TIOLJSZ,X,X,O,O,X,X,X,O,X,X,X
TIOLJZS,X,X,X,X,X,X,O,O,X,X,X
TIOLSJZ,O,X,O,O,X,O,X,X,X,X,X
TIOLSZJ,O,X,O,O,X,O,X,X,X,X,X
TIOLZJS,O,X,X,X,X,O,O,X,X,X,X
TIOLZSJ,O,X,O,O,X,O,O,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,O,X,X,X
TIOJLZS,X,X,X,X,O,X,X,O,X,X,X
TIOJSLZ,X,O,X,O,X,X,X,O,X,X,X
TIOJSZL,X,O,X,O,X,X,X,O,X,X,X
TIOJZLS,X,O,X,X,O,X,X,O,X,X,X
TIOJZSL,X,O,X,X,O,X,X,O,X,X,X
TIOSLJZ,X,X,O,O,X,O,X,X,X,X,X
TIOSLZJ,X,X,O,O,X,O,X,X,O,O,X
TIOSJLZ,X,X,X,O,X,O,X,X,X,X,X
TIOSJZL,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,O,O,X
TIOSZJL,X,X,X,O,X,X,X,X,O,O,X
TIOZLJS,O,O,X,X,O,O,O,X,X,X,X
TIOZLSJ,O,X,X,O,X,O,O,X,O,O,X
TIOZJLS,O,O,X,X,O,O,O,X,X,X,X
TIOZJSL,X,O,X,X,O,X,X,X,O,O,X
TIOZSLJ,O,X,X,X,X,O,O,X,O,O,X
TIOZSJL,X,O,X,O,O,X,X,X,O,O,X
TLIJSZO,X,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,O,X,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,O,X,X,X,X
TLIJZOS,X,X,O,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,O,X,X,X,X
TLISJZO,O,X,X,O,X,O,X,X,X,X,X
TLISJOZ,O,X,O,O,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,X,O,X,X,X,X,X
TLISZOJ,O,X,O,X,X,O,X,X,X,X,X
TLISOJZ,O,X,O,O,X,O,X,X,X,X,X
TLISOZJ,O,X,O,X,X,O,X,X,X,X,X
TLIZJSO,O,X,X,X,X,O,O,X,X,X,X
TLIZJOS,O,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,X,X,O,X,O,O,X,X,X,X
TLIZSOJ,O,X,O,X,X,O,O,X,X,X,X
TLIZOJS,O,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,O,X,X,O,O,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,O,X,X,X,X
TLIOSJZ,O,X,O,O,X,O,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,O,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,O,X,X,X,X
TLIOZSJ,O,X,O,X,X,O,O,X,X,X,X
TLJISZO,X,X,O,O,X,X,X,X,X,X,X
TLJISOZ,X,X,O,O,X,X,X,X,X,X,X
TLJIZSO,X,X,O,X,O,X,O,X,X,X,X
TLJIZOS,X,X,O,X,O,X,O,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,O,X,O,X,X,X,X
TLJSIZO,O,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,X,O,X,X,X,O
TLJSZOI,O,O,O,X,O,X,O,X,X,X,O
TLJSOIZ,O,O,O,O,X,X,X,X,X,X,X
TLJSOZI,O,O,O,X,O,X,O,X,X,X,X
TLJZISO,O,O,O,X,O,X,O,X,X,X,X
TLJZIOS,O,O,O,X,O,X,O,X,X,X,X
TLJZSIO,O,O,O,X,O,X,O,X,X,X,X
TLJZSOI,O,O,O,X,O,X,O,X,X,X,X
TLJZOIS,O,O,O,X,O,X,O,X,X,X,X
TLJZOSI,O,O,O,X,O,X,O,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,O,X,O,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,O,X,O,X,X,X,X
TLJOZIS,O,O,O,X,O,X,O,X,X,X,X
TLJOZSI,O,O,O,X,O,X,O,X,X,X,X
TLSIJZO,O,X,X,O,X,O,X,X,X,X,X
TLSIJOZ,O,X,O,O,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,X,O,X,X,O,X,X
TLSIZOJ,O,X,O,X,X,O,X,X,O,X,X
TLSIOJZ,O,X,O,O,X,O,X,X,X,X,X
TLSIOZJ,O,X,O,X,X,O,X,X,O,X,X
TLSJIZO,O,X,O,O,X,O,X,X,X,X,X
TLSJIOZ,O,X,O,O,X,O,X,X,X,X,X
TLSJZIO,O,X,O,O,X,O,O,X,O,X,O
TLSJZOI,O,X,O,X,X,O,O,X,O,X,O
TLSJOIZ,O,X,O,O,X,O,X,X,X,X,X
TLSJOZI,O,X,O,O,X,O,O,X,O,X,X
TLSZIJO,O,X,X,O,X,O,O,X,O,X,O
TLSZIOJ,O,X,O,X,X,O,O,X,O,X,X
TLSZJIO,O,X,X,O,X,O,O,X,O,X,O
TLSZJOI,O,X,X,X,X,O,O,X,O,X,O
TLSZOIJ,O,X,O,X,X,O,O,X,O,X,X
TLSZOJI,O,X,O,X,X,O,O,X,O,X,X
TLSOIJZ,O,X,O,O,X,O,X,X,X,X,X
TLSOIZJ,O,X,O,O,X,O,X,X,O,X,X
TLSOJIZ,O,X,O,O,X,O,X,X,X,X,X
TLSOJZI,O,X,O,O,X,O,O,X,O,X,X
TLSOZIJ,O,X,O,O,X,O,O,X,O,X,X
TLSOZJI,O,X,O,O,X,O,O,X,O,X,X
TLZIJSO,O,O,X,X,O,O,O,X,X,X,X
TLZIJOS,O,O,X,X,O,X,O,X,X,X,X
TLZISJO,O,X,X,O,X,O,O,X,O,X,X
TLZISOJ,O,X,O,X,X,O,O,X,O,X,X
TLZIOJS,O,O,X,X,O,X,O,X,X,X,X
TLZIOSJ,O,X,O,X,X,O,O,X,O,X,X
TLZJISO,O,O,O,X,O,O,O,X,X,X,X
TLZJIOS,O,O,O,X,O,X,O,X,X,X,X
TLZJSIO,O,O,O,X,O,O,O,X,X,X,X
TLZJSOI,O,O,O,X,O,O,O,X,X,X,X
TLZJOIS,O,O,O,X,O,X,O,X,X,X,X
TLZJOSI,O,O,O,X,O,X,O,X,X,X,X
TLZSIJO,O,X,X,O,X,O,O,X,O,X,X
TLZSIOJ,O,X,O,X,X,O,O,X,O,X,X
TLZSJIO,O,X,X,O,X,O,O,X,O,X,X
TLZSJOI,O,X,X,X,X,O,O,X,O,X,X
TLZSOIJ,O,X,O,X,X,O,O,X,O,X,X
TLZSOJI,O,X,O,X,X,O,O,X,O,X,X
TLZOIJS,O,O,X,X,O,O,O,X,X,X,X
TLZOISJ,O,X,O,X,X,O,O,X,O,X,X
TLZOJIS,O,O,O,X,O,O,O,X,X,X,X
TLZOJSI,O,O,O,X,O,O,O,X,X,X,X
TLZOSIJ,O,X,O,X,X,O,O,X,O,X,X
TLZOSJI,O,X,O,X,X,O,O,X,O,X,X
TLOIJSZ,X,X,O,O,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,O,X,X,X,X
TLOISJZ,O,X,O,O,X,O,X,X,X,X,X
TLOISZJ,O,X,O,O,X,O,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,O,X,X,X,X
TLOIZSJ,O,X,O,O,X,O,O,X,X,X,X
TLOJISZ,X,X,O,O,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,O,X,O,X,X,X,X
TLOJSIZ,O,O,O,O,X,X,X,X,X,X,X
TLOJSZI,O,O,O,O,O,X,O,X,X,X,X
TLOJZIS,O,O,O,X,O,X,O,X,X,X,X
TLOJZSI,O,O,O,X,O,X,O,X,X,X,X
TLOSIJZ,O,X,O,O,X,O,X,X,X,X,X
TLOSIZJ,O,X,O,O,X,O,X,X,O,X,X
TLOSJIZ,O,X,O,O,X,O,X,X,X,X,X
TLOSJZI,O,X,O,O,X,O,O,X,O,X,X
TLOSZIJ,O,X,O,O,X,O,O,X,O,X,X
TLOSZJI,O,X,O,O,X,O,O,X,O,X,X
TLOZIJS,O,O,X,X,O,O,O,X,X,X,X
TLOZISJ,O,X,O,O,X,O,O,X,O,X,X
TLOZJIS,O,O,O,X,O,O,O,X,X,X,X
TLOZJSI,O,O,O,X,O,O,O,X,X,X,X
TLOZSIJ,O,X,O,O,X,O,O,X,O,X,X
TLOZSJI,O,X,O,O,X,O,O,X,O,X,X
TJILSZO,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,O,X,X,X,X,X,X
TJILZOS,X,X,O,X,O,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,O,X,X,X,X,X,X
TJISLZO,X,O,O,X,X,X,X,X,X,X,X
TJISLOZ,X,O,O,X,X,X,X,X,X,X,X
TJISZLO,X,O,O,X,X,X,X,X,X,X,O
TJISZOL,X,O,X,X,X,X,X,O,X,X,O
TJISOLZ,X,O,O,X,X,X,X,O,X,X,X
TJISOZL,X,O,X,X,X,X,X,O,X,X,X
TJIZLSO,X,O,O,X,O,X,X,X,X,X,X
TJIZLOS,X,O,O,X,O,X,X,X,X,X,X
TJIZSLO,X,O,O,X,O,X,X,X,X,X,X
TJIZSOL,X,O,X,X,O,X,X,O,X,X,X
TJIZOLS,X,O,X,X,O,X,X,O,X,X,X
TJIZOSL,X,O,X,X,O,X,X,O,X,X,X
TJIOLSZ,X,X,O,X,X,X,X,O,X,X,X
TJIOLZS,X,X,O,X,O,X,X,O,X,X,X
TJIOSLZ,X,O,O,X,X,X,X,O,X,X,X
TJIOSZL,X,O,X,X,X,X,X,O,X,X,X
TJIOZLS,X,O,X,X,O,X,X,O,X,X,X
TJIOZSL,X,O,X,X,O,X,X,O,X,X,X
TJLISZO,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,O,X,O,X,O,X,X,X,X
TJLIZOS,X,X,O,X,O,X,O,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,X,O,X,O,X,O,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,O,X,O,X,X,X,O
TJLSZOI,O,O,O,X,O,X,O,X,X,X,O
TJLSOIZ,O,O,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,X,O,X,O,X,X,X,X
TJLZISO,O,O,O,X,O,X,O,X,X,X,X
TJLZIOS,O,O,O,X,O,X,O,X,X,X,X
TJLZSIO,O,O,O,X,O,X,O,X,X,X,X
TJLZSOI,O,O,O,X,O,X,O,X,X,X,X
TJLZOIS,O,O,O,X,O,X,O,X,X,X,X
TJLZOSI,O,O,O,X,O,X,O,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,O,X,O,X,X,X,X
TJLOSIZ,O,O,O,X,X,X,X,X,X,X,X
TJLOSZI,O,O,O,X,O,X,O,X,X,X,X
TJLOZIS,O,O,O,X,O,X,O,X,X,X,X
TJLOZSI,O,O,O,X,O,X,O,X,X,X,X
TJSILZO,X,O,O,X,X,X,X,X,X,X,X
TJSILOZ,X,O,O,X,X,X,X,X,X,X,X
TJSIZLO,X,O,O,X,X,X,X,X,X,X,O
TJSIZOL,X,O,X,X,X,X,X,O,X,X,O
TJSIOLZ,X,O,O,X,X,X,X,O,X,X,X
TJSIOZL,X,O,X,X,X,X,X,O,X,X,X
TJSLIZO,O,O,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,O,X,O
TJSLZOI,O,O,O,X,O,X,X,X,O,X,O
TJSLOIZ,O,O,O,X,X,X,X,X,X,X,X
TJSLOZI,O,O,O,X,O,X,X,X,O,X,X
TJSZILO,O,O,O,X,O,X,X,X,O,X,O
TJSZIOL,X,O,X,X,O,X,X,O,O,X,O
TJSZLIO,O,O,O,X,O,X,X,X,O,X,O
TJSZLOI,O,O,O,X,O,X,X,X,O,X,O
TJSZOIL,X,O,X,X,O,X,X,O,O,X,O
TJSZOLI,X,O,X,X,O,X,X,O,O,X,O
TJSOILZ,X,O,O,X,X,X,X,O,X,X,X
TJSOIZL,X,O,X,X,X,X,X,O,X,X,X
TJSOLIZ,X,O,O,X,X,X,X,O,X,X,X
TJSOLZI,X,O,O,X,O,X,X,O,O,X,X
TJSOZIL,X,O,X,X,O,X,X,O,O,X,O
TJSOZLI,X,O,X,X,O,X,X,O,O,X,O
TJZILSO,O,O,O,X,O,X,O,X,X,X,X
TJZILOS,O,O,O,X,O,X,O,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,O,X,X
TJZISOL,X,O,X,X,O,X,X,O,O,X,X
TJZIOLS,O,O,X,X,O,X,O,O,X,X,X
TJZIOSL,X,O,X,X,O,X,X,O,O,X,X
TJZLISO,O,O,O,X,O,X,O,X,X,X,X
TJZLIOS,O,O,O,X,O,X,O,X,X,X,X
TJZLSIO,O,O,O,X,O,X,O,X,X,X,X
TJZLSOI,O,O,O,X,O,X,O,X,X,X,X
TJZLOIS,O,O,O,X,O,X,O,X,X,X,X
TJZLOSI,O,O,O,X,O,X,O,X,X,X,X
TJZSILO,O,O,O,X,O,X,X,X,O,X,O
TJZSIOL,X,O,X,X,O,X,X,O,O,X,O
TJZSLIO,O,O,O,X,O,X,X,X,O,X,O
TJZSLOI,O,O,O,X,O,X,X,X,O,X,O
TJZSOIL,X,O,X,X,O,X,X,O,O,X,O
TJZSOLI,X,O,X,X,O,X,X,O,O,X,O
TJZOILS,O,O,X,X,O,X,O,O,X,X,X
TJZOISL,X,O,X,X,O,X,X,O,O,X,X
TJZOLIS,O,O,X,X,O,X,O,O,X,X,X
TJZOLSI,O,O,X,X,O,X,O,O,X,X,X
TJZOSIL,X,O,X,X,O,X,X,O,O,X,X
TJZOSLI,X,O,X,X,O,X,X,O,O,X,X
TJOILSZ,X,X,O,X,X,X,X,O,X,X,X
TJOILZS,X,X,O,X,O,X,X,O,X,X,X
TJOISLZ,X,O,O,X,X,X,X,O,X,X,X
TJOISZL,X,O,X,X,X,X,X,O,X,X,X
TJOIZLS,X,O,X,X,O,X,X,O,X,X,X
TJOIZSL,X,O,X,X,O,X,X,O,X,X,X
TJOLISZ,X,X,O,X,X,X,X,O,X,X,X
TJOLIZS,X,X,O,X,O,X,O,O,X,X,X
TJOLSIZ,O,O,O,X,X,X,X,O,X,X,X
TJOLSZI,O,O,O,X,O,X,O,O,X,X,X
TJOLZIS,O,O,O,X,O,X,O,O,X,X,X
TJOLZSI,O,O,O,X,O,X,O,O,X,X,X
TJOSILZ,X,O,O,X,X,X,X,O,X,X,X
TJOSIZL,X,O,X,X,X,X,X,O,X,X,X
TJOSLIZ,X,O,O,X,X,X,X,O,X,X,X
TJOSLZI,X,O,O,X,O,X,X,O,O,X,X
TJOSZIL,X,O,X,X,O,X,X,O,O,X,O
TJOSZLI,X,O,X,X,O,X,X,O,O,X,O
TJOZILS,O,O,X,X,O,X,O,O,X,X,X
TJOZISL,X,O,X,X,O,X,X,O,O,X,X
TJOZLIS,O,O,X,X,O,X,O,O,X,X,X
TJOZLSI,O,O,X,X,O,X,O,O,X,X,X
TJOZSIL,X,O,X,X,O,X,X,O,O,X,X
TJOZSLI,X,O,X,X,O,X,X,O,O,X,X
TSILJZO,O,X,X,O,X,O,X,X,X,X,X
TSILJOZ,O,X,O,O,X,O,X,X,X,X,X
TSILZJO,O,X,X,O,X,O,X,X,O,X,X
TSILZOJ,O,X,O,X,X,O,X,X,O,X,X
TSILOJZ,O,X,O,O,X,O,X,X,X,X,X
TSILOZJ,O,X,O,X,X,O,X,X,O,O,X
TSIJLZO,O,X,X,O,X,O,X,X,X,X,X
TSIJLOZ,X,X,O,O,X,O,X,X,X,X,X
TSIJZLO,O,X,X,X,X,X,X,X,X,X,O
TSIJZOL,X,X,X,X,X,X,X,X,X,X,O
TSIJOLZ,X,X,X,O,X,O,X,X,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,X,X,X
TSIZLJO,O,X,X,X,X,X,X,X,O,X,O
TSIZLOJ,O,X,O,X,X,X,X,X,O,X,X
TSIZJLO,O,X,X,X,X,X,X,X,O,X,O
TSIZJOL,X,X,X,X,X,X,X,X,O,X,O
TSIZOLJ,O,X,X,X,X,X,X,X,O,X,X
TSIZOJL,X,X,X,X,X,X,X,X,O,X,O
TSIOLJZ,X,X,O,O,X,O,X,X,X,X,X
TSIOLZJ,X,X,O,O,X,O,X,X,O,O,X
TSIOJLZ,X,X,X,O,X,O,X,X,X,X,X
TSIOJZL,X,X,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,O,O,X
TSIOZJL,X,X,X,O,X,X,X,X,O,O,X
TSLIJZO,O,X,X,O,X,O,X,X,X,X,X
TSLIJOZ,O,X,O,O,X,O,X,X,X,X,X
TSLIZJO,O,X,X,O,X,O,X,X,O,X,X
TSLIZOJ,O,X,O,X,X,O,X,X,O,X,X
TSLIOJZ,O,X,O,O,X,O,X,X,X,X,X
TSLIOZJ,O,X,O,X,X,O,X,X,O,O,X
TSLJIZO,O,X,O,O,X,O,X,X,X,X,X
TSLJIOZ,O,X,O,O,X,O,X,X,X,X,X
TSLJZIO,O,X,O,O,X,O,O,X,O,X,O
TSLJZOI,O,X,O,X,X,O,O,X,O,X,O
TSLJOIZ,O,X,O,O,X,O,X,X,X,X,X
TSLJOZI,O,X,O,O,X,O,O,X,O,X,X
TSLZIJO,O,X,X,O,X,O,O,X,O,X,O
TSLZIOJ,O,X,O,X,X,O,O,X,O,X,X
TSLZJIO,O,X,X,O,X,O,O,X,O,X,O
TSLZJOI,O,X,X,X,X,O,O,X,O,X,O
TSLZOIJ,O,X,O,X,X,O,O,X,O,O,X
TSLZOJI,O,X,O,X,X,O,O,X,O,O,X
TSLOIJZ,O,X,O,O,X,O,X,X,X,X,X
TSLOIZJ,O,X,O,O,X,O,X,X,O,O,X
TSLOJIZ,O,X,O,O,X,O,X,X,X,X,X
TSLOJZI,O,X,O,O,X,O,O,X,O,X,X
TSLOZIJ,O,X,O,O,X,O,O,X,O,O,X
TSLOZJI,O,X,O,O,X,O,O,X,O,O,X
TSJILZO,O,O,O,O,X,O,X,X,X,X,X
TSJILOZ,X,O,O,O,X,O,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,X,X,O
TSJIZOL,X,O,X,X,X,X,X,X,X,X,O
TSJIOLZ,X,O,O,O,X,O,X,X,X,X,X
TSJIOZL,X,O,X,O,X,X,X,X,X,X,X
TSJLIZO,O,O,O,O,X,O,X,X,X,X,X
TSJLIOZ,O,O,O,O,X,O,X,X,X,X,X
TSJLZIO,O,O,O,O,O,O,X,X,O,X,O
TSJLZOI,O,O,O,X,O,O,X,X,O,X,O
TSJLOIZ,O,O,O,O,X,O,X,X,X,X,X
TSJLOZI,O,O,O,O,O,O,X,X,O,X,X
TSJZILO,O,O,O,X,O,X,X,X,O,X,O
TSJZIOL,X,O,X,X,O,X,X,X,O,X,O
TSJZLIO,O,O,O,X,O,X,X,X,O,X,O
TSJZLOI,O,O,O,X,O,X,X,X,O,X,O
TSJZOIL,X,O,X,X,O,X,X,X,O,X,O
TSJZOLI,X,O,X,X,O,X,X,X,O,X,O
TSJOILZ,X,O,O,O,X,O,X,X,X,X,X
TSJOIZL,X,O,X,O,X,X,X,X,X,X,X
TSJOLIZ,X,O,O,O,X,O,X,X,X,X,X
TSJOLZI,X,O,O,O,O,O,X,X,O,X,X
TSJOZIL,X,O,X,O,O,X,X,X,O,X,O
