sequence,v115@OhB8GeE8DeE8JeKEJvhFflBzhBGjBUmBllBRvB,v115@OhB8GeE8DeE8Jex/IvhFKmBzhBGjB/pB0qBFqB,v115@OhB8GeE8DeE8Je0/IvhFlgBzhBGjB/pBxqByvB,v115@OhB8GeE8DeE8JeKEJvhFzfB8mBGjB3lBFmBRvB,v115@OhB8GeE8DeE8Je3AJvhFzhBGjB0kBVrBikBRvB,v115@OhB8GeE8DeE8JeRAJvhFzhBGjBypBUmB1vB/pB
TLJSOZI,O,O,X,X,X,X
TLJZISO,X,X,X,O,X,O
TLJZIOS,X,X,X,O,X,O
TLJZSIO,X,O,X,X,X,O
TLJZSOI,O,O,X,X,X,O
TLJZOIS,X,X,X,O,X,O
TLJZOSI,O,O,X,X,X,O
TLJOISZ,O,X,X,O,O,X
TLJOIZS,O,X,X,O,O,X
TLJOSIZ,O,O,X,X,O,X
TLJOSZI,O,O,X,X,X,X
TLJOZIS,X,X,X,O,X,O
TLJOZSI,O,O,X,X,X,O
TLSIJZO,O,X,X,X,O,X
TLSIJOZ,O,O,X,X,O,X
TLSIZJO,O,X,X,X,O,X
TLSIZOJ,O,X,X,X,O,X
TLSIOJZ,O,O,X,X,O,X
TLSIOZJ,O,X,X,X,O,X
TLSJIZO,O,X,X,X,O,X
TLSJIOZ,O,O,X,X,O,X
TLSJZIO,X,O,X,X,X,O
TLSJZOI,O,O,X,X,X,O
TLSJOIZ,O,O,X,X,O,X
TLSJOZI,O,O,X,X,X,X
TLSZIJO,X,O,X,X,X,O
TLSZIOJ,X,O,X,X,X,O
TLSZJIO,X,O,X,X,X,O
TLSZJOI,O,O,X,X,X,O
TLSZOIJ,X,O,X,X,X,O
TLSZOJI,O,O,X,X,X,O
TLSOIJZ,O,O,X,X,O,X
TLSOIZJ,O,X,X,X,O,X
TLSOJIZ,O,O,X,X,O,X
TLSOJZI,O,O,X,X,X,X
TLSOZIJ,X,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X
TLZIJSO,X,X,X,O,X,O
TLZIJOS,X,X,X,O,X,O
TLZISJO,X,X,X,O,X,O
TLZISOJ,X,X,X,O,X,O
TLZIOJS,X,X,X,O,X,O
TLZIOSJ,X,X,X,O,X,O
TLZJISO,X,X,X,O,X,O
TLZJIOS,X,X,X,O,X,O
TLZJSIO,X,O,X,X,X,O
TLZJSOI,O,O,X,X,X,O
TLZJOIS,X,X,X,O,X,O
TLZJOSI,O,O,X,X,X,O
TLZSIJO,X,O,X,X,X,O
TLZSIOJ,X,O,X,X,X,O
TLZSJIO,X,O,X,X,X,O
TLZSJOI,O,O,X,X,X,O
TLZSOIJ,X,O,X,X,X,O
TLZSOJI,O,O,X,X,X,O
TLZOIJS,X,X,X,O,X,O
TLZOISJ,X,X,X,O,X,O
TLZOJIS,X,X,X,O,X,O
TLZOJSI,O,O,X,X,X,O
TLZOSIJ,X,O,X,X,X,O
TLZOSJI,O,O,X,X,X,O
TLOIJSZ,O,X,X,O,O,X
TLOIJZS,O,X,X,O,O,X
TLOISJZ,O,X,X,O,O,X
TLOISZJ,O,X,X,O,O,X
TLOIZJS,O,X,X,O,O,X
TLOIZSJ,O,X,X,O,O,X
TLOJISZ,O,X,X,O,O,X
TLOJIZS,O,X,X,O,O,X
TLOJSIZ,O,O,X,X,O,X
TLOJSZI,O,O,X,X,X,X
TLOJZIS,X,X,X,O,X,O
TLOJZSI,O,O,X,X,X,O
TLOSIJZ,O,O,X,X,O,X
TLOSIZJ,O,X,X,X,O,X
TLOSJIZ,O,O,X,X,O,X
TLOSJZI,O,O,X,X,X,X
TLOSZIJ,X,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X
TLOZIJS,X,X,X,O,X,O
TLOZISJ,X,X,X,O,X,O
TLOZJIS,X,X,X,O,X,O
TLOZJSI,O,O,X,X,X,O
TLOZSIJ,X,O,X,X,X,O
TLOZSJI,O,O,X,X,X,O
TJILSZO,O,X,O,O,O,X
TJILSOZ,O,X,O,O,O,X
TJILZSO,O,X,X,O,O,O
TJILZOS,O,X,X,O,O,O
TJILOSZ,O,X,O,O,O,X
TJILOZS,O,X,X,O,O,X
TJISLZO,X,X,O,O,O,X
TJISLOZ,X,X,O,O,O,X
TJISZLO,X,X,O,O,O,X
TJISZOL,X,X,O,X,O,X
TJISOLZ,X,X,O,X,O,X
TJISOZL,X,X,O,X,O,X
TJIZLSO,O,X,X,O,O,O
TJIZLOS,O,X,X,O,O,O
TJIZSLO,X,X,O,O,O,X
TJIZSOL,X,X,O,X,O,X
TJIZOLS,O,X,X,X,O,O
TJIZOSL,X,X,O,X,O,X
TJIOLSZ,O,X,O,X,O,X
TJIOLZS,O,X,X,X,O,X
TJIOSLZ,X,X,O,X,O,X
TJIOSZL,X,X,O,X,O,X
TJIOZLS,O,X,X,X,O,X
TJIOZSL,X,X,O,X,O,X
TJLISZO,O,X,X,O,O,X
TJLISOZ,O,X,X,O,O,X
TJLIZSO,O,X,X,O,O,O
TJLIZOS,O,X,X,O,O,O
TJLIOSZ,O,X,X,O,O,X
TJLIOZS,O,X,X,O,O,X
TJLSIZO,O,X,X,X,O,X
TJLSIOZ,O,O,X,X,O,X
TJLSZIO,X,O,X,X,X,O
TJLSZOI,O,O,X,X,X,O
TJLSOIZ,O,O,X,X,O,X
TJLSOZI,O,O,X,X,X,X
TJLZISO,X,X,X,O,X,O
TJLZIOS,X,X,X,O,X,O
TJLZSIO,X,O,X,X,X,O
TJLZSOI,O,O,X,X,X,O
TJLZOIS,X,X,X,O,X,O
TJLZOSI,O,O,X,X,X,O
TJLOISZ,O,X,X,O,O,X
TJLOIZS,O,X,X,O,O,X
TJLOSIZ,O,O,X,X,O,X
TJLOSZI,O,O,X,X,X,X
TJLOZIS,X,X,X,O,X,O
TJLOZSI,O,O,X,X,X,O
TJSILZO,X,X,O,X,O,X
TJSILOZ,X,O,O,X,O,X
TJSIZLO,X,O,O,X,O,X
TJSIZOL,X,X,O,X,O,X
TJSIOLZ,X,X,O,X,O,X
