sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,O,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,O,X,X,X,X
TJLIZSO,X,X,X,X,X
TJLIZOS,X,X,O,X,X
TJLIOSZ,O,X,X,X,X
TJLIOZS,X,X,O,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,O,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,O,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,X,X,X
TJLZIOS,X,X,O,X,X
TJLZSIO,X,X,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,O,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,O,X,X,X,X
TJLOIZS,X,X,O,X,X
TJLOSIZ,O,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,O,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,O,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,O,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,O,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,O,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,O,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,O,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,X,X,X
TJZILOS,X,X,O,X,X
TJZISLO,X,X,X,X,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,O,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,X,X,X,X
TJZLIOS,X,X,O,X,X
TJZLSIO,X,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,O,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,X,X,X,X,X
TJZSIOL,X,X,X,X,X
TJZSLIO,X,X,X,X,X
TJZSLOI,X,X,X,X,X
TJZSOIL,X,X,X,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,O,X,X
TJZOISL,X,X,X,X,X
TJZOLIS,X,X,O,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,O,X,X,X,X
TJOILZS,X,X,O,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,O,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,O,X,X,X,X
TJOLIZS,X,X,O,X,X
TJOLSIZ,O,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,O,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,O,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,O,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,O,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,O,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,X,X,X,X,X
TSILJOZ,O,X,X,X,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,O,X
TSILOJZ,O,X,X,X,X
TSILOZJ,X,X,X,O,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,O,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,O,X,X,X
TSIJOLZ,O,X,X,X,O
TSIJOZL,X,X,X,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,X,X,O,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,O,X,X,X
TSIZOLJ,X,X,X,O,X
TSIZOJL,X,O,X,X,X
TSIOLJZ,O,X,X,X,X
