sequence,v115@OhA8IeC8AeC8AeE8JeZEJvhFqkB/lBFhBOnBTjBcrB,v115@OhA8IeC8AeC8AeE8JeZEJvhFUgBFhBXiBTjBWqBirB,v115@OhA8IeC8AeC8AeE8JeZEJvhFCgBXhBOnBTjBVqBcrB
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,X,X,O
TJOZISL,X,X,O
TJOZLIS,X,X,O
TJOZLSI,X,X,O
TJOZSIL,X,X,O
TJOZSLI,X,X,O
TSILJZO,X,X,X
TSILJOZ,X,X,X
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,X
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,X
TSIJZLO,X,X,X
TSIJZOL,X,X,X
TSIJOLZ,X,X,X
TSIJOZL,X,X,X
TSIZLJO,X,X,X
TSIZLOJ,X,X,X
TSIZJLO,X,X,X
TSIZJOL,X,X,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,X
TSIOLZJ,X,X,X
TSIOJLZ,X,X,X
TSIOJZL,X,X,X
TSIOZLJ,X,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,X,X,X
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,X,X,X
TSLIOZJ,X,X,X
TSLJIZO,X,X,X
TSLJIOZ,X,X,X
TSLJZIO,X,X,X
TSLJZOI,X,X,X
TSLJOIZ,X,X,X
TSLJOZI,X,X,X
TSLZIJO,X,X,X
TSLZIOJ,X,X,X
TSLZJIO,X,X,X
TSLZJOI,X,X,X
TSLZOIJ,X,X,X
TSLZOJI,X,X,X
TSLOIJZ,X,X,X
TSLOIZJ,X,X,X
TSLOJIZ,X,X,X
TSLOJZI,X,X,X
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,X,X,X
TSJILOZ,X,X,X
TSJIZLO,X,X,X
TSJIZOL,X,X,X
TSJIOLZ,X,X,X
TSJIOZL,X,X,X
TSJLIZO,X,X,X
TSJLIOZ,X,X,X
TSJLZIO,X,X,X
TSJLZOI,X,X,X
TSJLOIZ,X,X,X
TSJLOZI,X,X,X
TSJZILO,X,X,X
TSJZIOL,X,X,X
TSJZLIO,X,X,X
TSJZLOI,X,X,X
TSJZOIL,X,X,X
TSJZOLI,X,X,X
TSJOILZ,X,X,X
TSJOIZL,X,X,X
TSJOLIZ,X,X,X
TSJOLZI,X,X,X
TSJOZIL,X,X,X
TSJOZLI,X,X,X
TSZILJO,X,X,X
TSZILOJ,X,X,X
TSZIJLO,X,X,X
TSZIJOL,X,X,X
TSZIOLJ,X,X,X
TSZIOJL,X,X,X
TSZLIJO,X,X,X
TSZLIOJ,X,X,X
TSZLJIO,X,X,X
TSZLJOI,X,X,X
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,X,X,X
TSZJIOL,X,X,X
TSZJLIO,X,X,X
TSZJLOI,X,X,X
TSZJOIL,X,X,X
TSZJOLI,X,X,X
TSZOILJ,X,X,X
TSZOIJL,X,X,X
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,X
TSZOJLI,X,X,X
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,X
TSOLIJZ,X,X,X
TSOLIZJ,X,X,X
TSOLJIZ,X,X,X
TSOLJZI,X,X,X
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,X,X,X
TSOJIZL,X,X,X
TSOJLIZ,X,X,X
TSOJLZI,X,X,X
TSOJZIL,X,X,X
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,X
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,X
TSOZJLI,X,X,X
TZILJSO,X,X,O
TZILJOS,X,X,O
TZILSJO,X,X,O
TZILSOJ,X,X,O
TZILOJS,X,X,O
TZILOSJ,X,X,O
TZIJLSO,X,X,O
TZIJLOS,X,X,O
TZIJSLO,X,X,O
TZIJSOL,X,X,O
TZIJOLS,X,X,O
TZIJOSL,X,X,O
TZISLJO,X,X,O
TZISLOJ,X,X,O
TZISJLO,X,X,O
TZISJOL,X,X,O
TZISOLJ,X,X,O
TZISOJL,X,X,O
TZIOLJS,X,X,O
TZIOLSJ,X,X,O
TZIOJLS,X,X,O
TZIOJSL,X,X,O
TZIOSLJ,X,X,O
TZIOSJL,X,X,O
TZLIJSO,X,X,O
TZLIJOS,X,X,O
TZLISJO,X,X,O
TZLISOJ,X,X,O
TZLIOJS,X,X,O
TZLIOSJ,X,X,O
TZLJISO,X,X,O
TZLJIOS,X,X,O
TZLJSIO,X,X,O
TZLJSOI,X,X,O
TZLJOIS,X,X,O
TZLJOSI,X,X,O
TZLSIJO,X,X,O
TZLSIOJ,X,X,O
TZLSJIO,X,X,O
TZLSJOI,X,X,O
TZLSOIJ,X,X,O
TZLSOJI,X,X,O
TZLOIJS,X,X,O
TZLOISJ,X,X,O
TZLOJIS,X,X,O
TZLOJSI,X,X,O
TZLOSIJ,X,X,O
TZLOSJI,X,X,O
TZJILSO,X,X,O
TZJILOS,X,X,O
TZJISLO,X,X,O
TZJISOL,X,X,O
TZJIOLS,X,X,O
TZJIOSL,X,X,O
TZJLISO,X,X,O
TZJLIOS,X,X,O
TZJLSIO,X,X,O
TZJLSOI,X,X,O
TZJLOIS,X,X,O
TZJLOSI,X,X,O
TZJSILO,X,X,O
TZJSIOL,X,X,O
TZJSLIO,X,X,O
TZJSLOI,X,X,O
TZJSOIL,X,X,O
TZJSOLI,X,X,O
TZJOILS,X,X,O
TZJOISL,X,X,O
TZJOLIS,X,X,O
TZJOLSI,X,X,O
TZJOSIL,X,X,O
TZJOSLI,X,X,O
TZSILJO,X,X,O
TZSILOJ,X,X,O
TZSIJLO,X,X,O
TZSIJOL,X,X,O
TZSIOLJ,X,X,O
TZSIOJL,X,X,O
TZSLIJO,X,X,O
TZSLIOJ,X,X,O
TZSLJIO,X,X,O
TZSLJOI,X,X,O
TZSLOIJ,X,X,O
TZSLOJI,X,X,O
TZSJILO,X,X,O
TZSJIOL,X,X,O
TZSJLIO,X,X,O
TZSJLOI,X,X,O
TZSJOIL,X,X,O
TZSJOLI,X,X,O
TZSOILJ,X,X,O
TZSOIJL,X,X,O
TZSOLIJ,X,X,O
TZSOLJI,X,X,O
TZSOJIL,X,X,O
TZSOJLI,X,X,O
TZOILJS,X,X,O
TZOILSJ,X,X,O
TZOIJLS,X,X,O
TZOIJSL,X,X,O
TZOISLJ,X,X,O
TZOISJL,X,X,O
TZOLIJS,X,X,O
TZOLISJ,X,X,O
TZOLJIS,X,X,O
TZOLJSI,X,X,O
TZOLSIJ,X,X,O
TZOLSJI,X,X,O
