sequence,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeFBJvhFxiBfqB0lBG?nBToBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8Je3AJvhFUiBFjBWqBT?mBStBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFFjBfqBxlBS?tBuqBTrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBfqBxlBV?tBzlBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeRBJvhFGjBzkBCnBV?tB3qBUrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBClBTmBV?tB3lBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeSFJvhFxhBTjBVrBW?tBUqB3rB
TIOJSZL,X,O,X,X,X,O,X
TIOJZLS,X,O,X,X,X,O,X
TIOJZSL,X,O,X,X,X,O,X
TIOSLJZ,X,O,X,X,O,O,X
TIOSLZJ,X,O,X,X,O,O,X
TIOSJLZ,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,O,X
TIOSZLJ,X,O,X,X,X,O,X
TIOSZJL,X,O,X,X,X,O,X
TIOZLJS,X,O,X,X,X,O,X
TIOZLSJ,X,O,X,X,X,O,X
TIOZJLS,X,O,X,X,X,O,X
TIOZJSL,X,O,X,X,X,O,X
TIOZSLJ,X,O,X,X,X,O,X
TIOZSJL,X,O,X,X,X,O,X
TLIJSZO,X,O,X,O,O,X,X
TLIJSOZ,X,O,X,O,O,O,X
TLIJZSO,X,O,X,O,O,X,X
TLIJZOS,X,O,X,X,O,O,X
TLIJOSZ,X,O,X,X,O,O,X
TLIJOZS,X,O,X,X,O,O,X
TLISJZO,X,O,O,O,O,X,X
TLISJOZ,X,O,X,O,O,O,X
TLISZJO,X,O,O,O,O,X,X
TLISZOJ,X,O,O,O,X,X,X
TLISOJZ,X,O,O,O,O,O,X
TLISOZJ,X,O,O,O,X,O,X
TLIZJSO,X,O,X,O,O,X,X
TLIZJOS,X,O,X,X,O,O,X
TLIZSJO,X,O,O,O,X,X,X
TLIZSOJ,X,O,O,O,X,X,X
TLIZOJS,X,O,X,X,X,O,X
TLIZOSJ,X,O,O,X,X,O,X
TLIOJSZ,X,O,X,X,O,O,X
TLIOJZS,X,O,X,X,O,O,X
TLIOSJZ,X,O,O,X,O,O,X
TLIOSZJ,X,O,O,X,O,O,X
TLIOZJS,X,O,X,X,O,O,X
TLIOZSJ,X,O,O,X,X,O,X
TLJISZO,O,O,X,O,O,X,X
TLJISOZ,O,O,X,O,O,O,X
TLJIZSO,O,O,X,O,O,X,X
TLJIZOS,O,O,X,X,O,O,X
TLJIOSZ,O,O,X,X,O,O,X
TLJIOZS,O,O,X,X,O,O,X
TLJSIZO,O,O,O,O,O,X,X
TLJSIOZ,O,O,X,O,O,O,X
TLJSZIO,O,O,O,O,O,X,X
TLJSZOI,O,O,O,O,X,X,X
TLJSOIZ,O,O,O,O,O,X,X
TLJSOZI,O,O,O,O,O,X,X
TLJZISO,O,O,X,O,O,X,X
TLJZIOS,O,O,X,X,O,O,X
TLJZSIO,X,O,O,O,O,X,X
TLJZSOI,X,O,O,O,X,X,X
TLJZOIS,O,X,X,X,O,X,X
TLJZOSI,X,O,O,O,O,X,X
TLJOISZ,O,O,X,X,O,O,X
TLJOIZS,O,O,X,X,O,O,X
TLJOSIZ,O,O,O,O,O,X,X
TLJOSZI,O,O,O,O,O,X,X
TLJOZIS,O,X,X,X,O,X,X
TLJOZSI,X,O,O,O,O,X,X
TLSIJZO,X,O,O,O,O,X,X
TLSIJOZ,X,O,X,O,O,O,X
TLSIZJO,X,O,O,O,O,X,X
TLSIZOJ,X,O,O,O,X,X,X
TLSIOJZ,X,O,O,O,O,O,X
TLSIOZJ,X,O,O,O,X,O,X
TLSJIZO,O,O,O,O,O,X,X
TLSJIOZ,O,O,X,O,O,O,X
TLSJZIO,O,O,O,O,O,X,X
TLSJZOI,O,O,O,O,X,X,X
TLSJOIZ,O,O,O,O,O,X,X
TLSJOZI,O,O,O,O,O,X,X
TLSZIJO,O,O,O,O,O,X,X
TLSZIOJ,O,O,O,O,X,X,X
TLSZJIO,O,O,O,O,O,X,X
TLSZJOI,O,O,O,O,X,X,X
TLSZOIJ,O,X,O,O,X,X,X
TLSZOJI,O,X,O,O,X,X,X
TLSOIJZ,O,X,O,O,O,X,X
TLSOIZJ,O,X,O,O,O,X,X
TLSOJIZ,O,X,O,O,O,X,X
TLSOJZI,O,X,O,O,O,X,X
TLSOZIJ,O,X,O,O,O,X,X
TLSOZJI,O,X,O,O,O,X,X
TLZIJSO,X,O,X,O,O,X,X
TLZIJOS,X,O,X,X,O,O,X
TLZISJO,X,O,O,O,X,X,X
TLZISOJ,X,O,O,O,X,X,X
TLZIOJS,X,O,X,X,X,O,X
TLZIOSJ,X,O,O,X,X,O,X
TLZJISO,X,O,X,O,O,X,X
TLZJIOS,X,O,X,X,O,O,X
TLZJSIO,X,O,O,O,O,X,X
TLZJSOI,X,O,O,O,X,X,X
TLZJOIS,X,X,X,X,O,X,X
TLZJOSI,X,O,O,O,O,X,X
TLZSIJO,X,O,O,O,O,X,X
TLZSIOJ,X,O,O,O,X,X,X
TLZSJIO,X,O,O,O,O,X,X
TLZSJOI,X,O,O,O,X,X,X
TLZSOIJ,X,X,O,O,X,X,X
TLZSOJI,X,X,O,O,X,X,X
TLZOIJS,X,O,X,X,O,X,X
TLZOISJ,X,O,O,X,X,X,X
TLZOJIS,X,X,X,X,O,X,X
TLZOJSI,X,O,O,O,O,X,X
TLZOSIJ,X,X,O,O,O,X,X
TLZOSJI,X,X,O,O,O,X,X
TLOIJSZ,O,O,X,X,O,O,X
TLOIJZS,O,O,X,X,O,O,X
TLOISJZ,O,O,O,X,O,O,X
TLOISZJ,O,O,O,X,O,O,X
TLOIZJS,X,O,X,X,O,O,X
TLOIZSJ,X,O,O,X,X,O,X
TLOJISZ,O,O,X,X,O,O,X
TLOJIZS,O,O,X,X,O,O,X
TLOJSIZ,O,O,O,O,O,X,X
TLOJSZI,O,O,O,O,O,X,X
TLOJZIS,O,X,X,X,O,X,X
TLOJZSI,X,O,O,O,O,X,X
TLOSIJZ,O,X,O,O,O,X,X
TLOSIZJ,O,X,O,O,O,X,X
TLOSJIZ,O,X,O,O,O,X,X
TLOSJZI,O,X,O,O,O,X,X
TLOSZIJ,O,X,O,O,O,X,X
TLOSZJI,O,X,O,O,O,X,X
TLOZIJS,X,O,X,X,O,X,X
TLOZISJ,X,O,O,X,X,X,X
TLOZJIS,X,X,X,X,O,X,X
TLOZJSI,X,O,O,O,O,X,X
TLOZSIJ,X,X,O,O,O,X,X
TLOZSJI,X,X,O,O,O,X,X
TJILSZO,O,X,X,O,O,X,X
TJILSOZ,O,X,X,O,O,O,X
TJILZSO,O,X,X,O,O,X,X
TJILZOS,O,X,X,X,O,O,X
TJILOSZ,O,X,X,X,O,O,X
TJILOZS,O,X,X,X,O,O,X
TJISLZO,O,X,X,O,X,X,X
TJISLOZ,O,X,X,O,X,O,X
TJISZLO,O,X,X,O,X,X,X
TJISZOL,O,X,X,O,X,O,X
TJISOLZ,O,X,X,X,X,O,X
TJISOZL,O,X,X,O,X,O,X
TJIZLSO,O,X,X,O,X,X,X
TJIZLOS,O,X,X,X,X,O,X
TJIZSLO,O,X,X,O,X,X,X
TJIZSOL,O,X,X,O,X,O,X
TJIZOLS,O,X,X,X,X,O,X
TJIZOSL,O,X,X,X,X,O,X
TJIOLSZ,O,X,X,X,O,O,X
TJIOLZS,O,X,X,X,O,O,X
TJIOSLZ,O,X,X,X,X,O,X
TJIOSZL,O,X,X,X,X,O,X
TJIOZLS,O,X,X,X,X,O,X
TJIOZSL,O,X,X,X,X,O,X
TJLISZO,O,O,X,O,O,X,X
TJLISOZ,O,O,X,O,O,O,X
TJLIZSO,O,O,X,O,O,X,X
TJLIZOS,O,O,X,X,O,O,X
TJLIOSZ,O,O,X,X,O,O,X
TJLIOZS,O,O,X,X,O,O,X
TJLSIZO,O,O,X,O,O,X,X
TJLSIOZ,O,O,X,O,O,O,X
TJLSZIO,O,O,X,O,O,X,X
TJLSZOI,O,O,X,O,X,X,X
TJLSOIZ,O,O,X,O,O,X,X
TJLSOZI,O,O,X,O,O,X,X
TJLZISO,O,O,X,O,O,X,X
TJLZIOS,O,O,X,X,O,O,X
TJLZSIO,X,O,X,O,O,X,X
TJLZSOI,X,O,X,O,X,X,X
TJLZOIS,O,X,X,X,O,X,X
TJLZOSI,X,O,X,O,O,X,X
TJLOISZ,O,O,X,X,O,O,X
TJLOIZS,O,O,X,X,O,O,X
TJLOSIZ,O,O,X,O,O,X,X
TJLOSZI,O,O,X,O,O,X,X
TJLOZIS,O,X,X,X,O,X,X
TJLOZSI,X,O,X,O,O,X,X
TJSILZO,O,X,X,O,X,X,X
TJSILOZ,O,X,X,O,X,O,X
TJSIZLO,O,X,X,O,X,X,X
TJSIZOL,O,X,X,O,X,O,X
TJSIOLZ,O,X,X,X,X,O,X
TJSIOZL,O,X,X,O,X,O,X
TJSLIZO,O,O,X,O,O,X,X
TJSLIOZ,O,O,X,O,O,O,X
TJSLZIO,O,O,X,O,O,X,X
TJSLZOI,O,O,X,O,X,X,X
TJSLOIZ,O,O,X,O,O,X,X
TJSLOZI,O,O,X,O,O,X,X
TJSZILO,O,O,X,O,X,X,X
TJSZIOL,O,O,X,O,X,O,X
TJSZLIO,O,O,X,O,X,X,X
TJSZLOI,O,O,X,O,X,X,X
TJSZOIL,O,O,X,O,X,X,X
TJSZOLI,O,O,X,O,X,X,X
TJSOILZ,O,X,X,X,X,X,X
TJSOIZL,O,X,X,O,X,X,X
TJSOLIZ,O,X,X,O,O,X,X
TJSOLZI,O,X,X,O,O,X,X
TJSOZIL,O,X,X,O,X,X,X
TJSOZLI,O,X,X,O,X,X,X
TJZILSO,O,X,X,O,X,X,O
TJZILOS,O,X,X,X,X,O,O
TJZISLO,O,O,X,O,X,X,O
TJZISOL,O,O,X,O,X,O,O
TJZIOLS,O,X,X,X,X,O,O
TJZIOSL,O,X,X,X,X,O,O
TJZLISO,X,O,X,O,O,X,O
TJZLIOS,X,X,X,X,O,O,O
TJZLSIO,X,O,X,O,O,X,O
TJZLSOI,X,O,X,O,X,X,O
TJZLOIS,X,X,X,X,O,X,O
TJZLOSI,X,O,X,O,O,X,O
TJZSILO,X,O,X,O,X,X,O
TJZSIOL,X,O,X,O,X,O,O
TJZSLIO,X,O,X,O,X,X,O
TJZSLOI,X,O,X,O,X,X,O
TJZSOIL,X,O,X,O,X,X,O
TJZSOLI,X,O,X,O,X,X,O
TJZOILS,O,X,X,X,X,O,O
TJZOISL,O,X,X,X,X,O,O
TJZOLIS,X,X,X,X,O,X,O
TJZOLSI,X,X,X,O,O,X,O
TJZOSIL,X,O,X,O,X,X,O
TJZOSLI,X,O,X,O,X,X,O
TJOILSZ,O,X,X,X,O,O,X
TJOILZS,O,X,X,X,O,O,X
TJOISLZ,O,X,X,X,X,O,X
TJOISZL,O,X,X,X,X,O,X
TJOIZLS,O,X,X,X,X,O,X
TJOIZSL,O,X,X,X,X,O,X
TJOLISZ,O,X,X,X,O,O,X
TJOLIZS,O,X,X,X,O,O,X
TJOLSIZ,O,X,X,O,O,X,X
TJOLSZI,O,X,X,O,O,X,X
TJOLZIS,O,X,X,X,O,X,X
TJOLZSI,X,X,X,O,O,X,X
TJOSILZ,O,X,X,X,X,X,X
TJOSIZL,O,X,X,O,X,X,X
TJOSLIZ,O,X,X,O,O,X,X
TJOSLZI,O,X,X,O,O,X,X
TJOSZIL,O,X,X,O,X,X,X
TJOSZLI,O,X,X,O,X,X,X
TJOZILS,O,X,X,X,X,O,O
TJOZISL,O,X,X,X,X,O,O
TJOZLIS,X,X,X,X,O,X,O
TJOZLSI,X,X,X,O,O,X,O
TJOZSIL,X,X,X,O,X,X,O
TJOZSLI,X,X,X,O,X,X,O
TSILJZO,X,X,O,O,O,X,X
TSILJOZ,X,X,X,O,O,O,X
TSILZJO,X,X,O,O,O,X,X
TSILZOJ,X,X,O,O,X,X,X
TSILOJZ,X,X,X,O,O,O,X
TSILOZJ,X,X,O,O,X,O,X
TSIJLZO,X,X,X,O,X,X,X
TSIJLOZ,X,X,X,O,X,O,X
TSIJZLO,X,X,X,O,X,X,X
TSIJZOL,X,X,X,O,X,O,X
TSIJOLZ,X,X,X,X,X,O,X
TSIJOZL,X,X,X,O,X,O,X
TSIZLJO,X,X,O,O,X,X,X
TSIZLOJ,X,X,O,O,X,X,X
TSIZJLO,X,X,X,O,X,X,X
TSIZJOL,X,X,X,O,X,O,X
TSIZOLJ,X,X,X,X,X,O,X
TSIZOJL,X,X,X,O,X,O,X
TSIOLJZ,X,X,X,X,X,O,X
TSIOLZJ,X,X,X,X,X,O,X
TSIOJLZ,X,X,X,X,X,O,X
TSIOJZL,X,X,X,O,X,O,X
TSIOZLJ,X,X,X,X,X,O,X
TSIOZJL,X,X,X,O,X,O,X
TSLIJZO,X,X,O,O,O,X,X
TSLIJOZ,X,X,X,O,O,O,X
TSLIZJO,X,X,O,O,O,X,X
TSLIZOJ,X,X,O,O,X,X,X
TSLIOJZ,X,X,O,O,O,O,X
TSLIOZJ,X,X,O,O,X,O,X
TSLJIZO,O,X,O,O,O,X,X
TSLJIOZ,O,X,X,O,O,O,X
TSLJZIO,O,X,O,O,O,X,X
TSLJZOI,O,X,O,O,X,X,X
TSLJOIZ,O,X,O,O,O,X,X
TSLJOZI,O,X,O,O,O,X,X
TSLZIJO,O,X,O,O,O,X,X
TSLZIOJ,O,X,O,O,X,X,X
TSLZJIO,O,X,O,O,O,X,X
TSLZJOI,O,X,O,O,X,X,X
TSLZOIJ,O,X,O,O,X,X,X
TSLZOJI,O,X,O,O,X,X,X
TSLOIJZ,O,X,O,O,O,X,X
TSLOIZJ,O,X,O,O,O,X,X
TSLOJIZ,O,X,O,O,O,X,X
TSLOJZI,O,X,O,O,O,X,X
TSLOZIJ,O,X,O,O,O,X,X
TSLOZJI,O,X,O,O,O,X,X
TSJILZO,O,X,X,O,X,X,X
TSJILOZ,O,X,X,O,X,O,X
TSJIZLO,O,X,X,O,X,X,X
TSJIZOL,O,X,X,O,X,O,X
TSJIOLZ,O,X,X,X,X,O,X
TSJIOZL,O,X,X,O,X,O,X
TSJLIZO,O,X,X,O,O,X,X
TSJLIOZ,O,X,X,O,O,O,X
TSJLZIO,O,X,X,O,O,X,X
TSJLZOI,O,X,X,O,X,X,X
TSJLOIZ,O,X,X,O,O,X,X
TSJLOZI,O,X,X,O,O,X,X
TSJZILO,O,X,X,O,X,X,X
TSJZIOL,O,X,X,O,X,O,X
TSJZLIO,O,X,X,O,X,X,X
TSJZLOI,O,X,X,O,X,X,X
TSJZOIL,O,X,X,O,X,X,X
TSJZOLI,O,X,X,O,X,X,X
TSJOILZ,O,X,X,X,X,X,X
TSJOIZL,O,X,X,O,X,X,X
TSJOLIZ,O,X,X,O,O,X,X
TSJOLZI,O,X,X,O,O,X,X
TSJOZIL,O,X,X,O,X,X,X
TSJOZLI,O,X,X,O,X,X,X
TSZILJO,X,X,O,O,X,X,X
TSZILOJ,X,X,O,O,X,X,X
TSZIJLO,O,X,X,O,X,X,X
TSZIJOL,O,X,X,O,X,O,X
TSZIOLJ,O,X,X,X,X,O,X
TSZIOJL,O,X,X,O,X,O,X
TSZLIJO,O,X,O,O,O,X,X
TSZLIOJ,O,X,O,O,X,X,X
TSZLJIO,O,X,O,O,O,X,X
TSZLJOI,O,X,O,O,X,X,X
TSZLOIJ,O,X,O,O,X,X,X
TSZLOJI,O,X,O,O,X,X,X
TSZJILO,O,X,X,O,X,X,X
TSZJIOL,O,X,X,O,X,O,X
TSZJLIO,O,X,X,O,X,X,X
TSZJLOI,O,X,X,O,X,X,X
TSZJOIL,O,X,X,O,X,X,X
TSZJOLI,O,X,X,O,X,X,X
TSZOILJ,O,X,O,X,X,X,X
TSZOIJL,O,X,X,O,X,X,X
TSZOLIJ,O,X,O,O,X,X,X
TSZOLJI,O,X,O,O,X,X,X
TSZOJIL,O,X,X,O,X,X,X
TSZOJLI,O,X,X,O,X,X,X
TSOILJZ,O,X,O,X,O,X,X
TSOILZJ,O,X,O,X,O,X,X
TSOIJLZ,O,X,X,X,X,X,X
TSOIJZL,O,X,X,O,X,X,X
TSOIZLJ,O,X,O,X,X,X,X
TSOIZJL,O,X,X,O,X,X,X
TSOLIJZ,O,X,O,O,O,X,X
TSOLIZJ,O,X,O,O,O,X,X
TSOLJIZ,O,X,O,O,O,X,X
TSOLJZI,O,X,O,O,O,X,X
TSOLZIJ,O,X,O,O,O,X,X
TSOLZJI,O,X,O,O,O,X,X
TSOJILZ,O,X,X,X,X,X,X
TSOJIZL,O,X,X,O,X,X,X
TSOJLIZ,O,X,X,O,O,X,X
TSOJLZI,O,X,X,O,O,X,X
TSOJZIL,O,X,X,O,X,X,X
TSOJZLI,O,X,X,O,X,X,X
TSOZILJ,O,X,O,X,X,X,X
TSOZIJL,O,X,X,O,X,X,X
TSOZLIJ,O,X,O,O,O,X,X
TSOZLJI,O,X,O,O,O,X,X
TSOZJIL,O,X,X,O,X,X,X
TSOZJLI,O,X,X,O,X,X,X
TZILJSO,X,O,X,O,X,X,O
TZILJOS,X,O,X,X,X,O,O
TZILSJO,X,O,X,O,X,X,O
TZILSOJ,X,O,X,O,X,X,X
TZILOJS,X,O,X,X,X,O,O
TZILOSJ,X,O,X,X,X,O,X
TZIJLSO,X,O,X,O,X,X,O
TZIJLOS,X,O,X,X,X,O,O
TZIJSLO,X,O,X,O,X,X,O
TZIJSOL,X,O,X,O,X,O,O
TZIJOLS,X,O,X,X,X,O,O
TZIJOSL,X,O,X,X,X,O,O
TZISLJO,X,X,X,O,X,X,O
TZISLOJ,X,X,X,O,X,X,X
TZISJLO,X,O,X,O,X,X,O
TZISJOL,X,O,X,O,X,O,O
TZISOLJ,X,O,X,X,X,O,X
TZISOJL,X,O,X,O,X,O,X
TZIOLJS,X,O,X,X,X,O,O
TZIOLSJ,X,O,X,X,X,O,X
TZIOJLS,X,O,X,X,X,O,O
TZIOJSL,X,O,X,X,X,O,O
TZIOSLJ,X,O,X,X,X,O,X
TZIOSJL,X,O,X,X,X,O,X
TZLIJSO,X,O,X,O,O,X,O
TZLIJOS,X,O,X,X,O,O,O
TZLISJO,X,O,O,O,X,X,O
TZLISOJ,X,O,O,O,X,X,X
TZLIOJS,X,O,X,X,X,O,O
TZLIOSJ,X,O,O,X,X,O,X
TZLJISO,X,O,X,O,O,X,O
TZLJIOS,X,O,X,X,O,O,O
TZLJSIO,X,O,O,O,O,X,O
TZLJSOI,X,O,O,O,X,X,O
TZLJOIS,X,X,X,X,O,X,O
TZLJOSI,X,O,O,O,O,X,O
TZLSIJO,X,O,O,O,O,X,O
TZLSIOJ,X,O,O,O,X,X,X
TZLSJIO,X,O,O,O,O,X,O
TZLSJOI,X,O,O,O,X,X,O
TZLSOIJ,X,X,O,O,X,X,X
TZLSOJI,X,X,O,O,X,X,X
TZLOIJS,X,O,X,X,O,X,O
TZLOISJ,X,O,O,X,X,X,X
TZLOJIS,X,X,X,X,O,X,O
TZLOJSI,X,O,O,O,O,X,O
TZLOSIJ,X,X,O,O,O,X,X
TZLOSJI,X,X,O,O,O,X,X
TZJILSO,X,O,X,O,X,X,O
TZJILOS,X,X,X,X,X,O,O
TZJISLO,X,O,X,O,X,X,O
TZJISOL,X,O,X,O,X,O,O
TZJIOLS,X,O,X,X,X,O,O
TZJIOSL,X,O,X,X,X,O,O
TZJLISO,X,O,X,O,O,X,O
TZJLIOS,X,X,X,X,O,O,O
TZJLSIO,X,O,X,O,O,X,O
TZJLSOI,X,O,X,O,X,X,O
TZJLOIS,X,X,X,X,O,X,O
TZJLOSI,X,O,X,O,O,X,O
TZJSILO,X,O,X,O,X,X,O
TZJSIOL,X,O,X,O,X,O,O
TZJSLIO,X,O,X,O,X,X,O
TZJSLOI,X,O,X,O,X,X,O
TZJSOIL,X,O,X,O,X,X,O
TZJSOLI,X,O,X,O,X,X,O
TZJOILS,X,X,X,X,X,O,O
TZJOISL,X,X,X,X,X,O,O
TZJOLIS,X,X,X,X,O,X,O
TZJOLSI,X,X,X,O,O,X,O
TZJOSIL,X,O,X,O,X,X,O
TZJOSLI,X,O,X,O,X,X,O
TZSILJO,X,X,O,O,X,X,O
TZSILOJ,X,X,O,O,X,X,X
TZSIJLO,X,O,X,O,X,X,O
TZSIJOL,X,O,X,O,X,O,O
TZSIOLJ,X,O,X,X,X,O,X
TZSIOJL,X,O,X,O,X,O,X
TZSLIJO,X,X,O,O,O,X,O
TZSLIOJ,X,X,O,O,X,X,X
TZSLJIO,X,X,O,O,O,X,O
TZSLJOI,X,X,O,O,X,X,O
TZSLOIJ,X,X,O,O,X,X,X
TZSLOJI,X,X,O,O,X,X,X
TZSJILO,X,O,X,O,X,X,O
TZSJIOL,X,O,X,O,X,O,O
TZSJLIO,X,O,X,O,X,X,O
TZSJLOI,X,O,X,O,X,X,O
TZSJOIL,X,O,X,O,X,X,O
TZSJOLI,X,O,X,O,X,X,O
TZSOILJ,X,X,O,X,X,X,X
TZSOIJL,X,X,X,O,X,X,X
TZSOLIJ,X,X,O,O,X,X,X
TZSOLJI,X,X,O,O,X,X,X
TZSOJIL,X,X,X,O,X,X,X
TZSOJLI,X,X,X,O,X,X,X
TZOILJS,X,O,X,X,X,O,O
TZOILSJ,X,O,X,X,X,O,X
TZOIJLS,X,O,X,X,X,O,O
TZOIJSL,X,O,X,X,X,O,O
TZOISLJ,X,O,X,X,X,O,X
TZOISJL,X,O,X,X,X,O,X
TZOLIJS,X,X,X,X,O,X,O
TZOLISJ,X,X,O,X,X,X,X
TZOLJIS,X,X,X,X,O,X,O
TZOLJSI,X,X,O,O,O,X,O
TZOLSIJ,X,X,O,O,O,X,X
TZOLSJI,X,X,O,O,O,X,X
TZOJILS,X,X,X,X,X,O,O
TZOJISL,X,X,X,X,X,O,O
TZOJLIS,X,X,X,X,O,X,O
TZOJLSI,X,X,X,O,O,X,O
TZOJSIL,X,O,X,O,X,X,O
TZOJSLI,X,O,X,O,X,X,O
TZOSILJ,X,X,O,X,X,X,X
TZOSIJL,X,X,X,O,X,X,X
TZOSLIJ,X,X,O,O,O,X,X
TZOSLJI,X,X,O,O,O,X,X
TZOSJIL,X,X,X,O,X,X,X
