sequence,v115@FhB8IeA8HeE8CeD8Jei/IvhFzgB3kBRnBGnB0qBlrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFflBxgB0iBVsBzqBGrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFzfB+lB0iBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8Jex/IvhFCiBTkB2qBlnB3rB8qB,v115@FhB8IeA8HeE8CeD8JeOEJvhF6lB0iBzkBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8JeT/IvhFCiB2rBlnBxpB/qBUrB,v115@FhB8IeA8HeE8CeD8Je1FJvhFxhB0kBurB3nBikBzqB,v115@FhB8IeA8HeE8CeD8JeOEJvhF8kBXhBRnB1qBTnBSwB
TJIZLSO,X,X,O,X,X,O,X,X
TJIZLOS,X,X,O,X,X,O,X,X
TJIZSLO,O,X,X,X,X,O,X,O
TJIZSOL,O,X,X,X,X,O,X,O
TJIZOLS,X,X,X,X,O,O,X,X
TJIZOSL,O,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,O,O,X,X
TJIOLZS,X,X,X,X,O,O,X,X
TJIOSLZ,O,X,X,O,X,O,X,X
TJIOSZL,X,X,X,O,X,O,X,X
TJIOZLS,X,X,X,X,O,O,X,X
TJIOZSL,X,X,X,X,X,O,X,X
TJLISZO,X,X,O,X,X,O,X,X
TJLISOZ,X,X,O,X,X,O,X,X
TJLIZSO,X,X,O,X,X,O,X,X
TJLIZOS,X,X,O,X,X,O,X,X
TJLIOSZ,X,X,O,X,X,O,X,X
TJLIOZS,X,X,O,X,X,O,X,X
TJLSIZO,X,O,X,X,X,O,X,X
TJLSIOZ,X,X,X,O,X,O,X,X
TJLSZIO,X,O,X,X,X,X,X,X
TJLSZOI,X,O,X,O,X,X,X,X
TJLSOIZ,X,O,X,O,X,X,X,X
TJLSOZI,X,O,X,O,X,X,X,X
TJLZISO,X,X,O,X,X,O,X,X
TJLZIOS,X,X,O,X,X,O,X,X
TJLZSIO,X,O,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X
TJLZOIS,X,X,O,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,O,X,X
TJLOIZS,X,X,O,X,X,O,X,X
TJLOSIZ,X,O,X,O,X,X,X,X
TJLOSZI,X,O,X,O,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,O,X,X
TJSILOZ,O,X,X,O,X,O,X,X
TJSIZLO,O,X,X,X,X,O,O,X
TJSIZOL,O,X,X,X,X,O,O,X
TJSIOLZ,O,X,X,O,X,O,O,X
TJSIOZL,X,X,X,O,X,O,O,X
TJSLIZO,O,X,X,X,X,O,X,X
TJSLIOZ,O,X,X,O,X,O,X,X
TJSLZIO,O,X,X,X,X,X,X,X
TJSLZOI,O,X,X,O,X,X,X,X
TJSLOIZ,O,X,X,O,X,X,X,X
TJSLOZI,X,X,X,O,X,X,X,X
TJSZILO,O,X,X,X,X,X,O,X
TJSZIOL,O,X,X,X,X,X,O,X
TJSZLIO,O,X,X,X,X,X,O,X
TJSZLOI,O,X,X,O,X,X,O,X
TJSZOIL,O,X,X,O,X,X,O,X
TJSZOLI,O,X,X,O,X,X,O,X
TJSOILZ,O,X,X,O,X,X,O,X
TJSOIZL,X,X,X,O,X,X,O,X
TJSOLIZ,O,X,X,O,X,X,O,X
TJSOLZI,X,X,X,O,X,X,O,X
TJSOZIL,X,X,X,O,X,X,O,X
TJSOZLI,X,X,X,O,X,X,O,X
TJZILSO,X,X,O,X,X,O,X,X
TJZILOS,X,X,O,X,X,O,X,X
TJZISLO,O,X,X,X,X,O,O,O
TJZISOL,O,X,X,X,X,O,O,O
TJZIOLS,X,X,X,X,O,O,X,X
TJZIOSL,O,X,X,X,X,O,X,X
TJZLISO,X,X,O,X,X,O,X,X
TJZLIOS,X,X,O,X,X,O,X,X
TJZLSIO,X,O,X,X,X,X,O,X
TJZLSOI,X,O,X,X,X,X,O,X
TJZLOIS,X,X,O,X,X,X,X,X
TJZLOSI,X,O,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,O,X
TJZSIOL,O,X,X,X,X,X,O,X
TJZSLIO,O,X,X,X,X,X,O,X
TJZSLOI,O,X,X,O,X,X,O,X
TJZSOIL,O,X,X,O,X,X,O,X
TJZSOLI,O,X,X,O,X,X,O,X
TJZOILS,X,X,X,X,O,X,X,X
TJZOISL,O,X,X,X,X,X,O,X
TJZOLIS,X,X,X,X,O,X,X,X
TJZOLSI,X,O,X,X,X,X,O,X
TJZOSIL,O,X,X,O,X,X,O,X
TJZOSLI,O,X,X,O,X,X,O,X
TJOILSZ,X,X,X,X,O,O,X,X
TJOILZS,X,X,X,X,O,O,X,X
TJOISLZ,O,X,X,O,X,O,O,X
TJOISZL,X,X,X,O,X,O,O,X
TJOIZLS,X,X,X,X,O,O,X,X
TJOIZSL,X,X,X,X,X,O,O,X
TJOLISZ,X,X,X,X,O,O,X,X
TJOLIZS,X,X,X,X,O,O,X,X
TJOLSIZ,X,O,X,O,X,X,O,X
TJOLSZI,X,O,X,O,X,X,O,X
TJOLZIS,X,X,X,X,O,X,X,X
TJOLZSI,X,O,X,X,X,X,O,X
TJOSILZ,O,X,X,O,X,X,O,X
TJOSIZL,X,X,X,O,X,X,O,X
TJOSLIZ,O,X,X,O,X,X,O,X
TJOSLZI,X,X,X,O,X,X,O,X
TJOSZIL,X,X,X,O,X,X,O,X
TJOSZLI,X,X,X,O,X,X,O,X
TJOZILS,X,X,X,X,O,X,X,X
TJOZISL,X,X,X,X,X,X,O,X
TJOZLIS,X,X,X,X,O,X,X,X
TJOZLSI,X,O,X,X,X,X,O,X
TJOZSIL,X,X,X,O,X,X,O,X
TJOZSLI,X,X,X,O,X,X,O,X
TSILJZO,O,X,X,X,X,X,X,X
TSILJOZ,O,X,X,O,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X
TSILOJZ,O,X,X,O,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,O,X,X
TSIJLOZ,O,X,X,O,X,O,X,X
TSIJZLO,O,X,X,X,X,O,O,X
TSIJZOL,O,X,X,X,X,O,O,X
TSIJOLZ,O,X,X,O,X,O,O,X
TSIJOZL,X,X,X,O,X,O,O,X
TSIZLJO,O,X,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,O,X
TSIZJOL,O,X,X,X,X,X,O,X
TSIZOLJ,O,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,O,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,O,X,X
TSIOJZL,X,X,X,O,X,O,X,X
TSIOZLJ,O,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X
TSLIJZO,O,O,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X
TSLJIZO,O,O,X,X,X,O,X,X
TSLJIOZ,O,X,X,O,X,O,X,X
TSLJZIO,O,O,X,X,X,X,X,X
TSLJZOI,O,O,X,O,X,X,X,X
TSLJOIZ,O,O,X,O,X,X,X,X
TSLJOZI,X,O,X,O,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X
TSLZJOI,O,O,X,O,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,O,X,X,X,X
TSLOIJZ,O,O,X,O,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,X
TSLOJZI,X,O,X,O,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,O,X,X,X,X
TSJILZO,O,X,X,X,X,O,X,X
TSJILOZ,O,X,X,O,X,O,X,X
TSJIZLO,O,X,X,X,X,O,O,X
TSJIZOL,O,X,X,X,X,O,O,X
TSJIOLZ,O,X,X,O,X,O,O,X
TSJIOZL,X,X,X,O,X,O,O,X
TSJLIZO,O,X,X,X,X,O,X,X
TSJLIOZ,O,X,X,O,X,O,X,X
TSJLZIO,O,X,X,X,X,X,X,X
TSJLZOI,O,X,X,O,X,X,X,X
TSJLOIZ,O,X,X,O,X,X,X,X
TSJLOZI,X,X,X,O,X,X,X,X
TSJZILO,O,X,X,X,X,X,O,X
TSJZIOL,O,X,X,X,X,X,O,X
TSJZLIO,O,X,X,X,X,X,O,X
TSJZLOI,O,X,X,O,X,X,O,X
TSJZOIL,O,X,X,O,X,X,O,X
TSJZOLI,O,X,X,O,X,X,O,X
TSJOILZ,O,X,X,O,X,X,O,X
TSJOIZL,X,X,X,O,X,X,O,X
TSJOLIZ,O,X,X,O,X,X,O,X
TSJOLZI,X,X,X,O,X,X,O,X
TSJOZIL,X,X,X,O,X,X,O,X
TSJOZLI,X,X,X,O,X,X,O,X
TSZILJO,O,X,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,X,X,X
TSZIJLO,O,X,X,X,X,X,O,X
TSZIJOL,O,X,X,X,X,X,O,X
TSZIOLJ,O,X,X,X,X,X,X,X
TSZIOJL,O,X,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,X,X,X,X,O,X
TSZLJOI,O,O,X,O,X,X,O,X
TSZLOIJ,O,O,X,X,X,X,X,X
TSZLOJI,O,O,X,O,X,X,X,X
TSZJILO,O,X,X,X,X,X,O,X
TSZJIOL,O,X,X,X,X,X,O,X
TSZJLIO,O,X,X,X,X,X,O,X
TSZJLOI,O,X,X,O,X,X,O,X
TSZJOIL,O,X,X,O,X,X,O,X
TSZJOLI,O,X,X,O,X,X,O,X
TSZOILJ,O,X,X,X,X,X,X,X
TSZOIJL,O,X,X,X,X,X,O,X
TSZOLIJ,O,O,X,X,X,X,X,X
TSZOLJI,O,O,X,O,X,X,O,X
TSZOJIL,O,X,X,O,X,X,O,X
TSZOJLI,O,X,X,O,X,X,O,X
TSOILJZ,O,X,X,O,X,X,X,X
TSOILZJ,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,O,X,X,O,X
TSOIJZL,X,X,X,O,X,X,O,X
TSOIZLJ,O,X,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,O,X
TSOLIJZ,O,O,X,O,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,O,X,X,O,X
TSOLJZI,X,O,X,O,X,X,O,X
TSOLZIJ,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,O,X,X,O,X
TSOJILZ,O,X,X,O,X,X,O,X
TSOJIZL,X,X,X,O,X,X,O,X
TSOJLIZ,O,X,X,O,X,X,O,X
TSOJLZI,X,X,X,O,X,X,O,X
TSOJZIL,X,X,X,O,X,X,O,X
TSOJZLI,X,X,X,O,X,X,O,X
TSOZILJ,O,X,X,X,X,X,X,X
TSOZIJL,O,X,X,X,X,X,O,X
TSOZLIJ,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,O,X,X,O,X
TSOZJIL,O,X,X,O,X,X,O,X
TSOZJLI,O,X,X,O,X,X,O,X
TZILJSO,X,X,O,X,X,X,X,X
TZILJOS,X,X,O,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,X
TZILOJS,X,X,O,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X,X
TZIJLSO,X,X,O,X,X,O,X,X
TZIJLOS,X,X,O,X,X,O,X,X
TZIJSLO,O,X,X,X,X,O,O,O
TZIJSOL,O,X,X,X,X,O,O,O
TZIJOLS,X,X,X,X,O,O,X,X
TZIJOSL,O,X,X,X,X,O,X,X
TZISLJO,O,X,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X
TZISJLO,O,X,X,X,X,X,O,O
TZISJOL,O,X,X,X,X,X,O,O
TZISOLJ,O,X,X,X,X,X,X,X
TZISOJL,O,X,X,X,X,X,X,X
TZIOLJS,X,X,X,X,O,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,X
TZIOJLS,X,X,X,X,O,O,X,X
TZIOJSL,O,X,X,X,X,O,X,X
TZIOSLJ,O,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X
TZLIJSO,X,X,O,X,X,X,X,X
TZLIJOS,X,X,O,X,X,X,X,X
TZLISJO,O,O,X,X,X,X,X,X
TZLISOJ,O,O,X,X,X,X,X,X
TZLIOJS,X,X,O,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X,X,X
TZLJISO,X,X,O,X,X,O,X,X
TZLJIOS,X,X,O,X,X,O,X,X
TZLJSIO,X,O,X,X,X,X,O,X
TZLJSOI,X,O,X,X,X,X,O,X
TZLJOIS,X,X,O,X,X,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X
TZLSIJO,O,O,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,X,X,X
TZLSJIO,O,O,X,X,X,X,O,X
TZLSJOI,O,O,X,O,X,X,O,X
TZLSOIJ,O,O,X,X,X,X,X,X
TZLSOJI,O,O,X,O,X,X,X,X
TZLOIJS,X,X,O,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X
TZLOJIS,X,X,O,X,X,X,X,X
TZLOJSI,X,O,X,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X
TZJILSO,X,X,O,X,X,O,X,X
TZJILOS,X,X,O,X,X,O,X,X
TZJISLO,O,X,X,X,X,O,O,O
TZJISOL,O,X,X,X,X,O,O,O
TZJIOLS,X,X,X,X,O,O,X,X
TZJIOSL,O,X,X,X,X,O,X,X
TZJLISO,X,X,O,X,X,O,X,X
TZJLIOS,X,X,O,X,X,O,X,X
TZJLSIO,X,O,X,X,X,X,O,X
TZJLSOI,X,O,X,X,X,X,O,X
TZJLOIS,X,X,O,X,X,X,X,X
TZJLOSI,X,O,X,X,X,X,X,X
TZJSILO,O,X,X,X,X,X,O,X
TZJSIOL,O,X,X,X,X,X,O,X
TZJSLIO,O,X,X,X,X,X,O,X
TZJSLOI,O,X,X,O,X,X,O,X
TZJSOIL,O,X,X,O,X,X,O,X
TZJSOLI,O,X,X,O,X,X,O,X
TZJOILS,X,X,X,X,O,X,X,X
TZJOISL,O,X,X,X,X,X,O,X
TZJOLIS,X,X,X,X,O,X,X,X
TZJOLSI,X,O,X,X,X,X,O,X
TZJOSIL,O,X,X,O,X,X,O,X
