sequence,v115@RhC8DeE8DeD8Jei/IvhFRhBcnBTjBGrBFqBXrB,v115@RhC8DeE8DeD8Jei/IvhFcnBTjBRlBFrBurB3qB,v115@RhC8DeE8DeD8Jex/IvhFlhBcnBTjBqqB/rBmpB,v115@RhC8DeE8DeD8Jei/IvhFxhBTjBFnBGrBfrBUqB,v115@RhC8DeE8DeD8Je2EJvhFxhBTjBXnBUrBCrBFqB,v115@RhC8DeE8DeD8Jex/IvhF8lBCiBTjBXnBVwBmpB,v115@RhC8DeE8DeD8Je2EJvhFSnBTjBRrBfrBUqBlrB
TOIJLZS,X,O,X,O,X,X,X
TOIJSLZ,X,X,X,O,X,X,O
TOIJSZL,X,X,X,O,X,X,X
TOIJZLS,X,O,X,O,X,X,X
TOIJZSL,X,O,X,O,X,X,X
TOISLJZ,X,X,X,X,X,X,O
TOISLZJ,X,O,X,X,X,O,X
TOISJLZ,X,X,X,X,X,X,O
TOISJZL,X,X,X,X,X,X,X
TOISZLJ,X,O,X,X,X,O,X
TOISZJL,X,O,X,X,X,O,X
TOIZLJS,X,O,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,O,X
TOIZJLS,X,O,X,X,X,X,X
TOIZJSL,X,O,X,X,X,O,X
TOIZSLJ,X,O,X,X,X,O,X
TOIZSJL,X,O,X,X,X,O,X
TOLIJSZ,X,X,X,O,X,X,O
TOLIJZS,X,O,X,O,X,X,X
TOLISJZ,X,X,X,X,X,X,O
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,X,O,X,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X
TOLJISZ,X,X,X,O,X,X,O
TOLJIZS,X,O,X,O,X,X,X
TOLJSIZ,X,X,X,O,X,X,X
TOLJSZI,X,X,X,O,X,X,X
TOLJZIS,O,O,X,O,X,X,X
TOLJZSI,O,O,X,O,X,X,X
TOLSIJZ,X,X,X,X,X,X,X
TOLSIZJ,X,O,O,X,X,O,X
TOLSJIZ,X,X,X,O,X,X,X
TOLSJZI,X,X,X,O,X,O,X
TOLSZIJ,X,O,O,X,X,O,X
TOLSZJI,X,O,O,X,X,O,X
TOLZIJS,O,O,X,X,X,X,X
TOLZISJ,X,O,O,X,X,O,X
TOLZJIS,O,O,X,O,X,X,X
TOLZJSI,O,O,X,O,X,X,X
TOLZSIJ,X,O,O,X,X,O,X
TOLZSJI,X,O,O,X,X,O,X
TOJILSZ,X,X,X,O,X,X,O
TOJILZS,X,O,X,O,X,X,X
TOJISLZ,X,X,X,O,X,X,O
TOJISZL,X,X,X,O,X,X,X
TOJIZLS,X,O,X,O,X,X,X
TOJIZSL,X,O,X,O,X,X,X
TOJLISZ,X,X,X,O,X,X,O
TOJLIZS,X,O,X,O,X,X,X
TOJLSIZ,X,X,X,O,X,X,X
TOJLSZI,X,X,X,O,X,X,X
TOJLZIS,O,O,X,O,X,X,X
TOJLZSI,O,O,X,O,X,X,X
TOJSILZ,X,X,X,O,X,X,X
TOJSIZL,X,X,X,O,X,X,X
TOJSLIZ,X,X,X,O,X,X,X
TOJSLZI,X,X,X,O,X,O,X
TOJSZIL,X,X,X,O,O,O,X
TOJSZLI,X,X,X,O,O,O,X
TOJZILS,O,O,X,O,X,X,X
TOJZISL,O,O,X,O,X,O,X
TOJZLIS,O,O,X,O,X,X,X
TOJZLSI,O,O,X,O,X,X,X
TOJZSIL,O,O,X,O,O,O,X
TOJZSLI,O,O,X,O,O,O,X
TOSILJZ,X,X,X,X,X,X,X
TOSILZJ,X,O,X,X,X,O,X
TOSIJLZ,X,X,X,X,X,X,X
TOSIJZL,X,X,X,X,X,X,X
TOSIZLJ,X,O,X,X,O,O,X
TOSIZJL,X,O,X,X,O,O,X
TOSLIJZ,X,X,X,X,X,X,X
TOSLIZJ,X,O,O,X,X,O,X
TOSLJIZ,X,X,X,O,X,X,X
TOSLJZI,X,X,X,O,X,O,X
TOSLZIJ,X,O,O,X,X,O,X
TOSLZJI,X,O,O,X,X,O,X
TOSJILZ,X,X,X,O,X,X,X
TOSJIZL,X,X,X,O,X,X,X
TOSJLIZ,X,X,X,O,X,X,X
TOSJLZI,X,X,X,O,X,O,X
TOSJZIL,X,X,X,O,O,O,X
TOSJZLI,X,X,X,O,O,O,X
TOSZILJ,X,O,O,X,O,O,X
TOSZIJL,X,O,X,X,O,O,X
TOSZLIJ,X,O,O,X,O,O,X
TOSZLJI,X,O,O,X,O,O,X
TOSZJIL,X,O,X,X,O,O,X
TOSZJLI,X,O,O,X,O,O,X
TOZILJS,O,O,X,X,X,X,X
TOZILSJ,X,O,X,X,X,O,X
TOZIJLS,O,O,X,X,X,X,X
TOZIJSL,O,O,X,X,X,O,X
TOZISLJ,X,O,O,X,X,O,X
TOZISJL,X,O,X,X,X,O,X
TOZLIJS,O,O,X,X,X,X,X
TOZLISJ,X,O,O,X,X,O,X
TOZLJIS,O,O,X,O,X,X,X
TOZLJSI,O,O,X,O,X,X,X
TOZLSIJ,X,O,O,X,X,O,X
TOZLSJI,X,O,O,X,X,O,X
TOZJILS,O,O,X,O,X,X,X
TOZJISL,O,O,X,O,X,O,X
TOZJLIS,O,O,X,O,X,X,X
TOZJLSI,O,O,X,O,X,X,X
TOZJSIL,O,O,X,O,O,O,X
TOZJSLI,O,O,O,O,O,O,X
TOZSILJ,X,O,O,X,O,O,X
TOZSIJL,X,O,X,X,O,O,X
TOZSLIJ,X,O,O,X,O,O,X
TOZSLJI,X,O,O,X,O,O,X
TOZSJIL,X,O,X,X,O,O,X
TOZSJLI,X,O,O,X,O,O,X
ITLJSZO,X,X,X,O,X,X,X
ITLJSOZ,X,X,X,O,X,X,O
ITLJZSO,X,O,X,O,X,X,X
ITLJZOS,X,O,X,O,X,X,X
ITLJOSZ,X,X,X,O,X,X,O
ITLJOZS,X,O,X,O,X,X,X
ITLSJZO,X,X,X,X,X,X,X
ITLSJOZ,X,X,X,X,X,X,O
ITLSZJO,X,O,X,X,X,X,X
ITLSZOJ,X,O,X,X,X,X,X
ITLSOJZ,X,X,X,X,X,X,O
ITLSOZJ,X,O,X,X,X,X,X
ITLZJSO,X,O,X,X,X,X,X
ITLZJOS,X,O,X,X,X,X,X
ITLZSJO,X,O,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,X
ITLOJSZ,X,X,X,O,X,X,O
ITLOJZS,X,O,X,O,X,X,X
ITLOSJZ,X,X,X,X,X,X,O
ITLOSZJ,X,O,X,X,X,X,X
ITLOZJS,X,O,X,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X
ITJLSZO,X,X,X,O,X,X,X
ITJLSOZ,X,X,X,O,X,X,O
ITJLZSO,X,O,X,O,X,X,X
ITJLZOS,X,O,X,O,X,X,X
ITJLOSZ,X,X,X,O,X,X,O
ITJLOZS,X,O,X,O,X,X,X
ITJSLZO,X,X,X,O,X,X,X
ITJSLOZ,X,X,X,O,X,X,O
ITJSZLO,X,X,X,O,X,X,X
ITJSZOL,X,X,X,O,X,X,X
ITJSOLZ,X,X,X,O,X,X,O
ITJSOZL,X,X,X,O,X,X,X
ITJZLSO,X,O,X,O,X,X,X
ITJZLOS,X,O,X,O,X,X,X
ITJZSLO,X,O,X,O,X,X,X
ITJZSOL,X,O,X,O,X,X,X
ITJZOLS,X,O,X,O,X,X,X
ITJZOSL,X,O,X,O,X,X,X
ITJOLSZ,X,X,X,O,X,X,O
ITJOLZS,X,O,X,O,X,X,X
ITJOSLZ,X,X,X,O,X,X,O
ITJOSZL,X,X,X,O,X,X,X
ITJOZLS,X,O,X,O,X,X,X
ITJOZSL,X,O,X,O,X,X,X
ITSLJZO,X,X,X,X,X,X,X
ITSLJOZ,X,X,X,X,X,X,O
ITSLZJO,X,O,X,X,X,O,X
ITSLZOJ,X,O,X,X,X,O,X
ITSLOJZ,X,X,X,X,X,X,O
ITSLOZJ,X,O,X,X,X,O,X
ITSJLZO,X,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,X,X,O
ITSJZLO,X,X,X,X,X,X,X
ITSJZOL,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,X,O
ITSJOZL,X,X,X,X,X,X,X
ITSZLJO,X,O,X,X,X,O,X
ITSZLOJ,X,O,X,X,X,O,X
ITSZJLO,X,O,X,X,X,O,X
ITSZJOL,X,O,X,X,X,O,X
ITSZOLJ,X,O,X,X,X,O,X
ITSZOJL,X,O,X,X,X,O,X
ITSOLJZ,X,X,X,X,X,X,O
ITSOLZJ,X,O,X,X,X,O,X
ITSOJLZ,X,X,X,X,X,X,O
ITSOJZL,X,X,X,X,X,X,X
ITSOZLJ,X,O,X,X,X,O,X
ITSOZJL,X,O,X,X,X,O,X
ITZLJSO,X,O,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,X
ITZLSJO,X,O,X,X,X,O,X
ITZLSOJ,X,O,X,X,X,O,X
ITZLOJS,X,O,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,O,X
ITZJLSO,X,O,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X
ITZJSLO,X,O,X,X,X,O,X
ITZJSOL,X,O,X,X,X,O,X
ITZJOLS,X,O,X,X,X,X,X
ITZJOSL,X,O,X,X,X,O,X
ITZSLJO,X,O,X,X,X,O,X
ITZSLOJ,X,O,X,X,X,O,X
ITZSJLO,X,O,X,X,X,O,X
ITZSJOL,X,O,X,X,X,O,X
ITZSOLJ,X,O,X,X,X,O,X
ITZSOJL,X,O,X,X,X,O,X
ITZOLJS,X,O,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,O,X
ITZOJLS,X,O,X,X,X,X,X
ITZOJSL,X,O,X,X,X,O,X
ITZOSLJ,X,O,X,X,X,O,X
ITZOSJL,X,O,X,X,X,O,X
ITOLJSZ,X,X,X,O,X,X,O
ITOLJZS,X,O,X,O,X,X,X
ITOLSJZ,X,X,X,X,X,X,O
ITOLSZJ,X,O,X,X,X,X,X
ITOLZJS,X,O,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X
ITOJLSZ,X,X,X,O,X,X,O
ITOJLZS,X,O,X,O,X,X,X
ITOJSLZ,X,X,X,O,X,X,O
ITOJSZL,X,X,X,O,X,X,X
ITOJZLS,X,O,X,O,X,X,X
ITOJZSL,X,O,X,O,X,X,X
ITOSLJZ,X,X,X,X,X,X,O
ITOSLZJ,X,O,X,X,X,O,X
ITOSJLZ,X,X,X,X,X,X,O
ITOSJZL,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,X,X,O,X
ITOSZJL,X,O,X,X,X,O,X
ITOZLJS,X,O,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,O,X
ITOZJLS,X,O,X,X,X,X,X
ITOZJSL,X,O,X,X,X,O,X
ITOZSLJ,X,O,X,X,X,O,X
ITOZSJL,X,O,X,X,X,O,X
ILTJSZO,X,X,X,O,X,X,X
ILTJSOZ,X,X,X,O,X,X,O
ILTJZSO,X,O,X,O,X,X,X
ILTJZOS,X,O,X,O,X,X,X
ILTJOSZ,X,X,X,O,X,X,O
ILTJOZS,X,O,X,O,X,X,X
ILTSJZO,X,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,X,O
ILTSZJO,X,O,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X
ILTSOJZ,X,X,X,X,X,X,O
ILTSOZJ,X,O,O,X,X,X,X
ILTZJSO,X,O,X,X,X,X,X
ILTZJOS,X,O,X,X,X,X,X
ILTZSJO,X,O,O,X,X,X,X
ILTZSOJ,X,O,O,X,X,X,X
ILTZOJS,X,O,X,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X
ILTOJSZ,X,X,X,O,X,X,O
ILTOJZS,X,O,X,O,X,X,X
ILTOSJZ,X,X,X,X,X,X,O
ILTOSZJ,X,O,O,X,X,X,X
ILTOZJS,X,O,X,X,X,X,X
ILTOZSJ,X,O,O,X,X,X,X
ILJTSZO,X,X,X,O,X,X,X
ILJTSOZ,X,X,X,O,X,X,O
ILJTZSO,X,O,X,O,X,X,X
ILJTZOS,X,O,X,O,X,X,X
ILJTOSZ,X,X,X,O,X,X,O
ILJTOZS,X,O,X,O,X,X,X
ILJSTZO,X,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,O
ILJSZTO,X,X,O,X,X,X,X
ILJSZOT,X,X,O,X,X,X,O
ILJSOTZ,X,X,X,X,X,X,O
ILJSOZT,X,X,O,X,X,X,O
ILJZTSO,O,X,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X
ILJZSOT,O,X,O,X,X,X,O
ILJZOTS,O,X,X,X,X,X,X
ILJZOST,O,X,O,X,X,X,O
ILJOTSZ,X,X,X,O,X,X,O
ILJOTZS,X,O,X,O,X,X,X
ILJOSTZ,X,X,X,X,X,X,O
ILJOSZT,X,X,O,X,X,X,O
ILJOZTS,O,X,X,X,X,X,X
ILJOZST,O,X,O,X,X,X,O
ILSTJZO,X,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,X,O
ILSTZJO,X,O,O,X,X,X,X
ILSTZOJ,X,O,O,X,X,X,X
ILSTOJZ,X,X,X,X,X,X,O
ILSTOZJ,X,O,O,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,O
ILSJZTO,X,X,O,X,X,X,X
ILSJZOT,X,X,O,X,X,X,O
ILSJOTZ,X,X,X,X,X,X,O
ILSJOZT,X,X,O,X,X,X,O
ILSZTJO,X,X,O,X,X,X,X
ILSZTOJ,X,X,O,X,X,X,X
ILSZJTO,X,X,O,X,X,X,X
ILSZJOT,X,X,O,X,X,X,O
ILSZOTJ,X,X,O,X,X,X,X
ILSZOJT,X,X,O,X,X,X,O
ILSOTJZ,X,X,X,X,X,X,O
ILSOTZJ,X,O,O,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,O
ILSOJZT,X,X,O,X,X,X,O
ILSOZTJ,X,X,O,X,X,X,X
ILSOZJT,X,X,O,X,X,X,O
ILZTJSO,X,O,X,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X
ILZTSJO,X,O,O,X,X,X,X
ILZTSOJ,X,O,O,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X
ILZJTSO,O,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,O
ILZJOTS,O,X,X,X,X,X,X
ILZJOST,O,X,O,X,X,X,O
ILZSTJO,X,X,O,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X
ILZSJTO,X,X,O,X,X,X,X
ILZSJOT,X,X,O,X,X,X,O
ILZSOTJ,X,X,O,X,X,X,X
ILZSOJT,O,X,O,X,X,X,O
ILZOTJS,O,O,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X
ILZOJST,O,X,O,X,X,X,O
ILZOSTJ,X,X,O,X,X,X,X
ILZOSJT,O,X,O,X,X,X,O
ILOTJSZ,X,X,X,O,X,X,O
ILOTJZS,X,O,X,O,X,X,X
ILOTSJZ,X,X,X,X,X,X,O
ILOTSZJ,X,O,O,X,X,X,X
ILOTZJS,X,O,X,X,X,X,X
ILOTZSJ,X,O,O,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,O
ILOJTZS,X,O,X,O,X,X,X
ILOJSTZ,X,X,X,X,X,X,O
ILOJSZT,X,X,O,X,X,X,O
ILOJZTS,O,X,X,X,X,X,X
ILOJZST,O,X,O,X,X,X,O
ILOSTJZ,X,X,X,X,X,X,O
ILOSTZJ,X,O,O,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,O
ILOSJZT,X,X,O,X,X,X,O
ILOSZTJ,X,X,O,X,X,X,X
ILOSZJT,X,X,O,X,X,X,O
ILOZTJS,O,O,X,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X
ILOZJST,O,X,O,X,X,X,O
ILOZSTJ,X,X,O,X,X,X,X
ILOZSJT,O,X,O,X,X,X,O
IJTLSZO,X,X,X,O,X,X,X
IJTLSOZ,X,X,X,O,X,X,O
IJTLZSO,X,O,X,O,X,X,X
IJTLZOS,X,O,X,O,X,X,X
IJTLOSZ,X,X,X,O,X,X,O
IJTLOZS,X,O,X,O,X,X,X
IJTSLZO,X,X,X,O,X,X,X
IJTSLOZ,X,X,X,O,X,X,O
IJTSZLO,X,X,X,O,X,X,X
IJTSZOL,X,X,X,O,X,X,X
IJTSOLZ,X,X,X,O,X,X,O
IJTSOZL,X,X,X,O,X,X,X
IJTZLSO,X,O,X,O,X,X,X
IJTZLOS,X,O,X,O,X,X,X
IJTZSLO,X,O,X,O,X,X,X
IJTZSOL,X,O,X,O,X,X,X
IJTZOLS,X,O,X,O,X,X,X
IJTZOSL,X,O,X,O,X,X,X
IJTOLSZ,X,X,X,O,X,X,O
IJTOLZS,X,O,X,O,X,X,X
IJTOSLZ,X,X,X,O,X,X,O
IJTOSZL,X,X,X,O,X,X,X
IJTOZLS,X,O,X,O,X,X,X
IJTOZSL,X,O,X,O,X,X,X
IJLTSZO,X,X,X,O,X,X,X
IJLTSOZ,X,X,X,O,X,X,O
IJLTZSO,X,O,X,O,X,X,X
IJLTZOS,X,O,X,O,X,X,X
IJLTOSZ,X,X,X,O,X,X,O
IJLTOZS,X,O,X,O,X,X,X
IJLSTZO,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O
IJLSZTO,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,O
IJLSOTZ,X,X,X,X,X,X,O
IJLSOZT,X,X,X,X,X,X,O
IJLZTSO,O,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X,O
IJLZOTS,O,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,O
IJLOTSZ,X,X,X,O,X,X,O
IJLOTZS,X,O,X,O,X,X,X
IJLOSTZ,X,X,X,X,X,X,O
IJLOSZT,X,X,X,X,X,X,O
IJLOZTS,O,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,O
IJSTLZO,X,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,O
IJSTZLO,X,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,X,O
IJSTOZL,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,O
IJSLZTO,X,X,X,X,X,X,X
IJSLZOT,X,X,X,X,X,X,O
IJSLOTZ,X,X,X,X,X,X,O
IJSLOZT,X,X,X,X,X,X,O
IJSZTLO,X,X,X,X,O,X,X
IJSZTOL,X,X,X,X,O,X,X
IJSZLTO,X,X,X,X,O,X,X
IJSZLOT,X,X,X,X,O,X,O
IJSZOTL,X,X,X,X,O,X,X
IJSZOLT,X,X,X,X,O,X,O
IJSOTLZ,X,X,X,X,X,X,O
IJSOTZL,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,O
IJSOLZT,X,X,X,X,X,X,O
IJSOZTL,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,O,X,O
IJZTLSO,O,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X
IJZLTSO,O,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,O
IJZLOTS,O,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,O
IJZSTLO,O,X,X,X,O,X,X
IJZSTOL,O,X,X,X,O,X,X
IJZSLTO,O,X,X,X,O,X,X
IJZSLOT,O,X,X,X,O,X,O
IJZSOTL,O,X,X,X,O,X,X
IJZSOLT,O,X,X,X,O,X,O
IJZOTLS,O,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,O
IJZOSTL,O,X,X,X,O,X,X
IJZOSLT,O,X,X,X,O,X,O
IJOTLSZ,X,X,X,O,X,X,O
IJOTLZS,X,O,X,O,X,X,X
IJOTSLZ,X,X,X,O,X,X,O
IJOTSZL,X,X,X,O,X,X,X
IJOTZLS,X,O,X,O,X,X,X
IJOTZSL,X,O,X,O,X,X,X
IJOLTSZ,X,X,X,O,X,X,O
IJOLTZS,X,O,X,O,X,X,X
IJOLSTZ,X,X,X,X,X,X,O
IJOLSZT,X,X,X,X,X,X,O
IJOLZTS,O,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,O
IJOSTLZ,X,X,X,X,X,X,O
IJOSTZL,X,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,X,O
IJOSLZT,X,X,X,X,X,X,O
IJOSZTL,X,X,X,X,O,X,X
IJOSZLT,X,X,X,X,O,X,O
IJOZTLS,O,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X
IJOZLTS,O,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,O
IJOZSTL,O,X,X,X,O,X,X
IJOZSLT,O,X,X,X,O,X,O
ISTLJZO,X,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,X,X,O
ISTLZJO,X,O,X,X,X,O,X
ISTLZOJ,X,O,X,X,X,O,X
ISTLOJZ,X,X,X,X,X,X,O
ISTLOZJ,X,O,X,X,X,O,X
ISTJLZO,X,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,O
ISTJZLO,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,X,O
ISTJOZL,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,O,O,X
ISTZLOJ,X,O,X,X,O,O,X
ISTZJLO,X,O,X,X,O,O,X
ISTZJOL,X,O,X,X,O,O,X
ISTZOLJ,X,O,X,X,O,O,X
ISTZOJL,X,O,X,X,O,O,X
ISTOLJZ,X,X,X,X,X,X,O
ISTOLZJ,X,O,X,X,X,O,X
ISTOJLZ,X,X,X,X,X,X,O
ISTOJZL,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,X,O,O,X
ISTOZJL,X,O,X,X,O,O,X
ISLTJZO,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,X,O
ISLTZJO,X,O,O,X,X,O,X
ISLTZOJ,X,O,O,X,X,O,X
ISLTOJZ,X,X,X,X,X,X,O
ISLTOZJ,X,O,O,X,X,O,X
ISLJTZO,X,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,O
ISLJZTO,X,X,O,X,X,X,X
ISLJZOT,X,X,O,X,X,X,O
ISLJOTZ,X,X,X,X,X,X,O
ISLJOZT,X,X,O,X,X,X,O
ISLZTJO,X,X,O,X,O,X,X
ISLZTOJ,X,X,O,X,O,X,X
ISLZJTO,X,X,O,X,O,X,X
ISLZJOT,X,X,O,X,O,X,O
ISLZOTJ,X,X,O,X,O,X,X
ISLZOJT,X,X,O,X,O,X,O
ISLOTJZ,X,X,X,X,X,X,O
ISLOTZJ,X,O,O,X,X,O,X
ISLOJTZ,X,X,X,X,X,X,O
ISLOJZT,X,X,O,X,X,X,O
ISLOZTJ,X,X,O,X,O,X,X
ISLOZJT,X,X,O,X,O,X,O
ISJTLZO,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,O
ISJTZLO,X,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,X,X,O
ISJTOZL,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,O
ISJLZTO,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,X,X,O
ISJLOTZ,X,X,X,X,X,X,O
ISJLOZT,X,X,X,X,X,X,O
ISJZTLO,X,X,X,X,O,X,X
ISJZTOL,X,X,X,X,O,X,X
ISJZLTO,X,X,X,X,O,X,X
ISJZLOT,X,X,X,X,O,X,O
ISJZOTL,X,X,X,X,O,X,X
ISJZOLT,X,X,X,X,O,X,O
ISJOTLZ,X,X,X,X,X,X,O
ISJOTZL,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,O
ISJOLZT,X,X,X,X,X,X,O
ISJOZTL,X,X,X,X,O,X,X
ISJOZLT,X,X,X,X,O,X,O
ISZTLJO,X,X,O,X,O,X,X
ISZTLOJ,X,X,O,X,O,X,X
ISZTJLO,X,X,X,X,O,X,X
ISZTJOL,X,X,X,X,O,X,X
ISZTOLJ,X,X,O,X,O,X,X
ISZTOJL,X,X,X,X,O,X,X
ISZLTJO,X,X,O,X,O,X,X
ISZLTOJ,X,X,O,X,O,X,X
ISZLJTO,X,X,O,X,O,X,X
ISZLJOT,X,X,O,X,O,X,O
ISZLOTJ,X,X,O,X,O,X,X
ISZLOJT,X,X,O,X,O,X,O
ISZJTLO,X,X,X,X,O,X,X
ISZJTOL,X,X,X,X,O,X,X
ISZJLTO,X,X,X,X,O,X,X
ISZJLOT,X,X,X,X,O,X,O
ISZJOTL,X,X,X,X,O,X,X
ISZJOLT,X,X,X,X,O,X,O
ISZOTLJ,X,X,O,X,O,X,X
ISZOTJL,X,X,X,X,O,X,X
ISZOLTJ,X,X,O,X,O,X,X
ISZOLJT,X,X,O,X,O,X,O
ISZOJTL,X,X,X,X,O,X,X
ISZOJLT,X,X,X,X,O,X,O
ISOTLJZ,X,X,X,X,X,X,O
ISOTLZJ,X,O,X,X,X,O,X
ISOTJLZ,X,X,X,X,X,X,O
ISOTJZL,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,X,O,O,X
ISOTZJL,X,O,X,X,O,O,X
ISOLTJZ,X,X,X,X,X,X,O
ISOLTZJ,X,O,O,X,X,O,X
ISOLJTZ,X,X,X,X,X,X,O
ISOLJZT,X,X,O,X,X,X,O
ISOLZTJ,X,X,O,X,O,X,X
ISOLZJT,X,X,O,X,O,X,O
ISOJTLZ,X,X,X,X,X,X,O
ISOJTZL,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,O
ISOJLZT,X,X,X,X,X,X,O
ISOJZTL,X,X,X,X,O,X,X
ISOJZLT,X,X,X,X,O,X,O
ISOZTLJ,X,X,O,X,O,X,X
ISOZTJL,X,X,X,X,O,X,X
ISOZLTJ,X,X,O,X,O,X,X
ISOZLJT,X,X,O,X,O,X,O
ISOZJTL,X,X,X,X,O,X,X
ISOZJLT,X,X,X,X,O,X,O
IZTLJSO,X,O,X,X,X,X,X
IZTLJOS,X,O,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X
IZTJLSO,O,O,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X
IZTSLJO,X,O,O,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,X
IZTSJLO,X,O,X,X,X,X,X
IZTSJOL,X,O,X,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X
IZTSOJL,X,O,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X
