sequence,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Jei/IvhF5l?BlhBziBcpBeqB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8JeZEJvhFuk?BclBlhBziBSvB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Jex/IvhFlh?BziB0kB6qB2uB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Je0/IvhF6l?BlhB2pBznB3sBxuB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8JeZEJvhFuk?BclBlhBznBSvB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Je5FJvhFlh?BziBmkB0pB3sBipB
TOJSILZ,O,X,O,X,X,X
TOJSIZL,O,X,O,X,X,X
TOJSLIZ,O,X,O,X,X,X
TOJSLZI,O,X,O,X,X,X
TOJSZIL,O,X,O,X,X,X
TOJSZLI,O,X,O,X,X,X
TOJZILS,O,X,X,X,X,X
TOJZISL,O,X,O,X,X,X
TOJZLIS,O,X,O,X,X,X
TOJZLSI,O,X,O,X,X,X
TOJZSIL,O,X,O,X,X,X
TOJZSLI,O,X,O,X,X,X
TOSILJZ,O,O,O,O,X,X
TOSILZJ,X,O,O,X,O,O
TOSIJLZ,O,O,O,O,X,X
TOSIJZL,O,X,O,O,X,O
TOSIZLJ,O,O,X,X,X,O
TOSIZJL,O,X,X,X,X,O
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,X,O,O,X,O,O
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,O,O,X,X,X
TOSLZIJ,O,O,O,X,O,O
TOSLZJI,O,O,O,X,O,O
TOSJILZ,O,O,O,X,X,X
TOSJIZL,O,X,O,X,X,O
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,X,X,X
TOSJZIL,O,X,O,X,X,O
TOSJZLI,O,X,O,X,X,O
TOSZILJ,O,O,X,X,X,O
TOSZIJL,O,X,X,X,X,O
TOSZLIJ,O,O,O,X,X,O
TOSZLJI,O,O,O,X,X,O
TOSZJIL,O,X,O,X,X,O
TOSZJLI,O,X,O,X,X,O
TOZILJS,X,X,X,O,O,X
TOZILSJ,X,X,X,X,O,X
TOZIJLS,X,X,X,O,X,X
TOZIJSL,X,X,X,O,X,O
TOZISLJ,X,X,X,X,X,O
TOZISJL,X,X,X,X,X,O
TOZLIJS,X,X,X,X,O,X
TOZLISJ,X,X,X,X,O,X
TOZLJIS,O,X,X,X,O,X
TOZLJSI,O,X,X,X,O,X
TOZLSIJ,O,X,X,X,O,X
TOZLSJI,O,X,X,X,O,X
TOZJILS,O,X,X,X,X,X
TOZJISL,O,X,X,X,X,O
TOZJLIS,O,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X
TOZJSIL,O,X,X,X,X,O
TOZJSLI,O,X,X,X,X,O
TOZSILJ,O,X,X,X,X,O
TOZSIJL,O,X,X,X,X,O
TOZSLIJ,O,X,X,X,X,O
TOZSLJI,O,X,X,X,X,O
TOZSJIL,O,X,X,X,X,O
TOZSJLI,O,X,X,X,X,O
ITLJSZO,O,O,O,O,X,X
ITLJSOZ,O,O,O,O,X,X
ITLJZSO,O,O,O,O,O,X
ITLJZOS,O,O,O,O,O,X
ITLJOSZ,X,X,O,O,X,X
ITLJOZS,X,X,X,O,O,X
ITLSJZO,O,O,O,O,X,X
ITLSJOZ,O,O,O,O,X,X
ITLSZJO,X,O,X,X,O,O
ITLSZOJ,X,O,O,X,O,O
ITLSOJZ,O,O,O,O,X,X
ITLSOZJ,X,O,O,X,O,O
ITLZJSO,X,O,X,O,O,O
ITLZJOS,X,O,X,O,O,X
ITLZSJO,X,O,X,X,O,O
ITLZSOJ,X,O,O,X,O,O
ITLZOJS,X,O,X,O,O,X
ITLZOSJ,X,O,X,X,O,X
ITLOJSZ,X,X,X,O,X,X
ITLOJZS,X,X,X,O,O,X
ITLOSJZ,X,O,O,O,X,X
ITLOSZJ,X,O,O,X,O,X
ITLOZJS,X,O,X,O,O,X
ITLOZSJ,X,O,X,X,O,X
ITJLSZO,O,O,O,O,X,X
ITJLSOZ,O,O,O,O,X,X
ITJLZSO,O,O,O,O,O,X
ITJLZOS,O,O,O,O,O,X
ITJLOSZ,X,X,O,O,X,X
ITJLOZS,X,X,X,O,O,X
ITJSLZO,O,O,O,O,X,X
ITJSLOZ,O,O,O,O,X,X
ITJSZLO,O,X,O,O,X,O
ITJSZOL,O,X,O,O,X,O
ITJSOLZ,O,O,O,O,X,X
ITJSOZL,O,X,O,O,X,O
ITJZLSO,O,X,O,O,X,O
ITJZLOS,O,X,O,O,X,X
ITJZSLO,O,X,O,O,X,O
ITJZSOL,O,X,O,O,X,O
ITJZOLS,O,X,X,O,X,X
ITJZOSL,O,X,O,O,X,O
ITJOLSZ,X,X,X,O,X,X
ITJOLZS,X,X,X,O,O,X
ITJOSLZ,O,X,X,O,X,X
ITJOSZL,O,X,X,O,X,X
ITJOZLS,O,X,X,O,X,X
ITJOZSL,O,X,X,O,X,X
ITSLJZO,O,O,O,O,X,X
ITSLJOZ,O,O,O,O,X,X
ITSLZJO,X,O,X,X,O,O
ITSLZOJ,X,O,O,X,O,O
ITSLOJZ,O,O,O,O,X,X
ITSLOZJ,X,O,O,X,O,O
ITSJLZO,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,X,X
ITSJZLO,O,X,O,O,X,O
ITSJZOL,O,X,O,O,X,O
ITSJOLZ,O,O,O,O,X,X
ITSJOZL,O,X,O,O,X,O
ITSZLJO,O,O,X,X,X,O
ITSZLOJ,O,O,X,X,X,O
ITSZJLO,O,X,X,X,X,O
ITSZJOL,O,X,X,X,X,O
ITSZOLJ,O,O,X,X,X,O
ITSZOJL,O,X,X,X,X,O
ITSOLJZ,O,O,O,O,X,X
ITSOLZJ,X,O,O,X,O,O
ITSOJLZ,O,O,O,O,X,X
ITSOJZL,O,X,O,O,X,O
ITSOZLJ,O,O,X,X,X,O
ITSOZJL,O,X,X,X,X,O
ITZLJSO,O,O,X,O,O,O
ITZLJOS,O,O,X,O,O,X
ITZLSJO,O,O,X,X,O,O
ITZLSOJ,O,O,X,X,O,O
ITZLOJS,X,O,X,O,O,X
ITZLOSJ,X,O,X,X,O,X
ITZJLSO,O,X,X,O,X,O
ITZJLOS,O,X,X,O,X,X
ITZJSLO,O,X,X,O,X,O
ITZJSOL,O,X,X,O,X,O
ITZJOLS,O,X,X,O,X,X
ITZJOSL,O,X,X,O,X,O
ITZSLJO,O,O,X,X,X,O
ITZSLOJ,O,O,X,X,X,O
ITZSJLO,O,X,X,X,X,O
ITZSJOL,O,X,X,X,X,O
ITZSOLJ,O,O,X,X,X,O
ITZSOJL,O,X,X,X,X,O
ITZOLJS,X,X,X,O,O,X
ITZOLSJ,X,X,X,X,O,X
ITZOJLS,X,X,X,O,X,X
ITZOJSL,X,X,X,O,X,O
ITZOSLJ,X,X,X,X,X,O
ITZOSJL,X,X,X,X,X,O
ITOLJSZ,X,X,X,O,X,X
ITOLJZS,X,X,X,O,O,X
ITOLSJZ,X,O,X,O,X,X
ITOLSZJ,X,O,X,X,O,X
ITOLZJS,X,O,X,O,O,X
ITOLZSJ,X,O,X,X,O,X
ITOJLSZ,X,X,X,O,X,X
ITOJLZS,X,X,X,O,O,X
ITOJSLZ,O,X,X,O,X,X
ITOJSZL,O,X,X,O,X,X
ITOJZLS,O,X,X,O,X,X
ITOJZSL,O,X,X,O,X,X
ITOSLJZ,O,O,X,O,X,X
ITOSLZJ,X,O,X,X,O,O
ITOSJLZ,O,O,X,O,X,X
ITOSJZL,O,X,X,O,X,O
ITOSZLJ,X,O,X,X,X,O
ITOSZJL,O,X,X,X,X,O
ITOZLJS,X,X,X,O,O,X
ITOZLSJ,X,X,X,X,O,X
ITOZJLS,X,X,X,O,X,X
ITOZJSL,X,X,X,O,X,O
ITOZSLJ,X,X,X,X,X,O
ITOZSJL,X,X,X,X,X,O
ILTJSZO,O,O,O,O,X,X
ILTJSOZ,O,O,O,O,X,X
ILTJZSO,O,O,O,O,O,X
ILTJZOS,O,O,O,O,O,X
ILTJOSZ,X,X,O,O,X,X
ILTJOZS,X,X,X,O,O,X
ILTSJZO,O,O,O,O,X,X
ILTSJOZ,O,O,O,O,X,X
ILTSZJO,X,O,X,X,O,O
ILTSZOJ,X,O,O,X,O,O
ILTSOJZ,O,O,O,O,X,X
ILTSOZJ,X,O,O,X,O,O
ILTZJSO,X,O,X,O,O,O
ILTZJOS,X,O,X,O,O,X
ILTZSJO,X,O,X,X,O,O
ILTZSOJ,X,O,O,X,O,O
ILTZOJS,X,O,X,O,O,X
ILTZOSJ,X,O,X,X,O,X
ILTOJSZ,X,X,X,O,X,X
ILTOJZS,X,X,X,O,O,X
ILTOSJZ,X,O,O,O,X,X
ILTOSZJ,X,O,O,X,O,X
ILTOZJS,X,O,X,O,O,X
ILTOZSJ,X,O,X,X,O,X
ILJTSZO,O,O,O,O,X,X
ILJTSOZ,O,O,O,O,X,X
ILJTZSO,O,O,O,O,O,X
ILJTZOS,O,O,O,O,O,X
ILJTOSZ,X,X,O,O,X,X
ILJTOZS,X,X,X,O,O,X
ILJSTZO,O,O,O,O,X,X
ILJSTOZ,O,O,O,O,X,X
ILJSZTO,O,O,O,O,X,X
ILJSZOT,O,O,O,O,X,X
ILJSOTZ,O,O,O,O,X,X
ILJSOZT,O,O,O,O,X,X
ILJZTSO,O,O,O,O,O,X
ILJZTOS,O,O,O,O,O,X
ILJZSTO,O,O,O,O,O,X
ILJZSOT,O,O,O,O,O,X
ILJZOTS,O,O,O,O,O,X
ILJZOST,O,O,O,O,O,X
ILJOTSZ,X,X,O,O,X,X
ILJOTZS,X,X,X,O,O,X
ILJOSTZ,X,X,O,O,X,X
ILJOSZT,X,X,O,O,X,X
ILJOZTS,X,X,X,O,O,X
ILJOZST,X,X,X,O,O,X
ILSTJZO,O,O,O,O,X,X
ILSTJOZ,O,O,O,O,X,X
ILSTZJO,X,O,X,X,O,O
ILSTZOJ,X,O,O,X,O,O
ILSTOJZ,O,O,O,O,X,X
ILSTOZJ,X,O,O,X,O,O
ILSJTZO,O,O,O,O,X,X
ILSJTOZ,O,O,O,O,X,X
ILSJZTO,O,O,O,O,X,X
ILSJZOT,O,O,O,O,X,X
ILSJOTZ,O,O,O,O,X,X
ILSJOZT,O,O,O,O,X,X
ILSZTJO,X,O,X,X,O,O
ILSZTOJ,X,O,O,X,O,O
ILSZJTO,X,O,X,X,O,O
ILSZJOT,X,O,X,X,O,O
ILSZOTJ,X,O,O,X,O,O
ILSZOJT,X,O,X,X,O,O
ILSOTJZ,O,O,O,O,X,X
ILSOTZJ,X,O,O,X,O,O
ILSOJTZ,O,O,O,O,X,X
ILSOJZT,O,O,O,O,X,X
ILSOZTJ,X,O,O,X,O,O
ILSOZJT,X,O,X,X,O,O
ILZTJSO,X,O,X,O,O,O
ILZTJOS,X,O,X,O,O,X
ILZTSJO,X,O,X,X,O,O
ILZTSOJ,X,O,O,X,O,O
ILZTOJS,X,O,X,O,O,X
ILZTOSJ,X,O,X,X,O,X
ILZJTSO,X,O,X,O,O,O
ILZJTOS,X,O,X,O,O,X
ILZJSTO,X,O,X,O,O,O
ILZJSOT,X,O,X,O,O,O
ILZJOTS,X,O,X,O,O,X
ILZJOST,X,O,X,O,O,X
ILZSTJO,X,O,X,X,O,O
ILZSTOJ,X,O,O,X,O,O
ILZSJTO,X,O,X,X,O,O
ILZSJOT,X,O,X,X,O,O
ILZSOTJ,X,O,O,X,O,O
ILZSOJT,X,O,X,X,O,O
ILZOTJS,X,O,X,O,O,X
ILZOTSJ,X,O,X,X,O,X
ILZOJTS,X,O,X,O,O,X
ILZOJST,X,O,X,O,O,X
ILZOSTJ,X,O,X,X,O,X
ILZOSJT,X,O,X,X,O,X
ILOTJSZ,X,X,X,O,X,X
ILOTJZS,X,X,X,O,O,X
ILOTSJZ,X,O,O,O,X,X
ILOTSZJ,X,O,O,X,O,X
ILOTZJS,X,O,X,O,O,X
ILOTZSJ,X,O,X,X,O,X
ILOJTSZ,X,X,X,O,X,X
ILOJTZS,X,X,X,O,O,X
ILOJSTZ,X,X,X,O,X,X
ILOJSZT,X,X,X,O,X,X
ILOJZTS,X,X,X,O,O,X
ILOJZST,X,X,X,O,O,X
ILOSTJZ,X,O,O,O,X,X
ILOSTZJ,X,O,O,X,O,X
ILOSJTZ,X,O,O,O,X,X
ILOSJZT,X,O,X,O,X,X
ILOSZTJ,X,O,O,X,O,X
ILOSZJT,X,O,X,X,O,X
ILOZTJS,X,O,X,O,O,X
ILOZTSJ,X,O,X,X,O,X
ILOZJTS,X,O,X,O,O,X
ILOZJST,X,O,X,O,O,X
ILOZSTJ,X,O,X,X,O,X
ILOZSJT,X,O,X,X,O,X
IJTLSZO,O,O,O,O,X,X
IJTLSOZ,O,O,O,O,X,X
IJTLZSO,O,O,O,O,O,X
IJTLZOS,O,O,O,O,O,X
IJTLOSZ,X,X,O,O,X,X
IJTLOZS,X,X,X,O,O,X
IJTSLZO,O,O,O,O,X,X
IJTSLOZ,O,O,O,O,X,X
IJTSZLO,O,X,O,O,X,O
IJTSZOL,O,X,O,O,X,O
IJTSOLZ,O,O,O,O,X,X
IJTSOZL,O,X,O,O,X,O
IJTZLSO,O,X,O,O,X,O
IJTZLOS,O,X,O,O,X,X
IJTZSLO,O,X,O,O,X,O
IJTZSOL,O,X,O,O,X,O
IJTZOLS,O,X,X,O,X,X
IJTZOSL,O,X,O,O,X,O
IJTOLSZ,X,X,X,O,X,X
IJTOLZS,X,X,X,O,O,X
IJTOSLZ,O,X,X,O,X,X
IJTOSZL,O,X,X,O,X,X
IJTOZLS,O,X,X,O,X,X
IJTOZSL,O,X,X,O,X,X
IJLTSZO,O,O,O,O,X,X
IJLTSOZ,O,O,O,O,X,X
IJLTZSO,O,O,O,O,O,X
IJLTZOS,O,O,O,O,O,X
IJLTOSZ,X,X,O,O,X,X
IJLTOZS,X,X,X,O,O,X
IJLSTZO,O,O,O,O,X,X
IJLSTOZ,O,O,O,O,X,X
IJLSZTO,O,O,O,O,X,X
IJLSZOT,O,O,O,O,X,X
IJLSOTZ,O,O,O,O,X,X
IJLSOZT,O,O,O,O,X,X
IJLZTSO,O,O,O,O,O,X
IJLZTOS,O,O,O,O,O,X
IJLZSTO,O,O,O,O,O,X
IJLZSOT,O,O,O,O,O,X
IJLZOTS,O,O,O,O,O,X
IJLZOST,O,O,O,O,O,X
IJLOTSZ,X,X,O,O,X,X
IJLOTZS,X,X,X,O,O,X
IJLOSTZ,X,X,O,O,X,X
IJLOSZT,X,X,O,O,X,X
IJLOZTS,X,X,X,O,O,X
IJLOZST,X,X,X,O,O,X
IJSTLZO,O,O,O,O,X,X
IJSTLOZ,O,O,O,O,X,X
IJSTZLO,O,X,O,O,X,O
IJSTZOL,O,X,O,O,X,O
IJSTOLZ,O,O,O,O,X,X
IJSTOZL,O,X,O,O,X,O
IJSLTZO,O,O,O,O,X,X
IJSLTOZ,O,O,O,O,X,X
IJSLZTO,O,O,O,O,X,X
IJSLZOT,O,O,O,O,X,X
IJSLOTZ,O,O,O,O,X,X
IJSLOZT,O,O,O,O,X,X
IJSZTLO,O,X,O,O,X,O
IJSZTOL,O,X,O,O,X,O
IJSZLTO,O,X,O,O,X,O
IJSZLOT,O,X,O,O,X,O
IJSZOTL,O,X,O,O,X,O
IJSZOLT,O,X,O,O,X,O
IJSOTLZ,O,O,O,O,X,X
IJSOTZL,O,X,O,O,X,O
IJSOLTZ,O,O,O,O,X,X
IJSOLZT,O,O,O,O,X,X
IJSOZTL,O,X,O,O,X,O
IJSOZLT,O,X,O,O,X,O
IJZTLSO,O,X,O,O,X,O
IJZTLOS,O,X,O,O,X,X
IJZTSLO,O,X,O,O,X,O
IJZTSOL,O,X,O,O,X,O
IJZTOLS,O,X,X,O,X,X
IJZTOSL,O,X,O,O,X,O
IJZLTSO,O,X,O,O,X,O
IJZLTOS,O,X,O,O,X,X
IJZLSTO,O,X,O,O,X,O
IJZLSOT,O,X,O,O,X,O
IJZLOTS,O,X,O,O,X,X
IJZLOST,O,X,O,O,X,X
IJZSTLO,O,X,O,O,X,O
IJZSTOL,O,X,O,O,X,O
IJZSLTO,O,X,O,O,X,O
IJZSLOT,O,X,O,O,X,O
IJZSOTL,O,X,O,O,X,O
IJZSOLT,O,X,O,O,X,O
IJZOTLS,O,X,X,O,X,X
IJZOTSL,O,X,O,O,X,O
IJZOLTS,O,X,X,O,X,X
IJZOLST,O,X,X,O,X,X
IJZOSTL,O,X,O,O,X,O
IJZOSLT,O,X,O,O,X,O
IJOTLSZ,X,X,X,O,X,X
IJOTLZS,X,X,X,O,O,X
IJOTSLZ,O,X,X,O,X,X
IJOTSZL,O,X,X,O,X,X
IJOTZLS,O,X,X,O,X,X
IJOTZSL,O,X,X,O,X,X
IJOLTSZ,X,X,X,O,X,X
IJOLTZS,X,X,X,O,O,X
IJOLSTZ,X,X,X,O,X,X
IJOLSZT,X,X,X,O,X,X
IJOLZTS,X,X,X,O,O,X
IJOLZST,X,X,X,O,O,X
IJOSTLZ,O,X,X,O,X,X
IJOSTZL,O,X,X,O,X,X
IJOSLTZ,O,X,X,O,X,X
IJOSLZT,O,X,X,O,X,X
IJOSZTL,O,X,X,O,X,X
IJOSZLT,O,X,X,O,X,X
IJOZTLS,O,X,X,O,X,X
IJOZTSL,O,X,X,O,X,X
IJOZLTS,O,X,X,O,X,X
IJOZLST,O,X,X,O,X,X
IJOZSTL,O,X,X,O,X,X
IJOZSLT,O,X,X,O,X,X
ISTLJZO,O,O,O,O,X,X
ISTLJOZ,O,O,O,O,X,X
ISTLZJO,X,O,X,X,O,O
ISTLZOJ,X,O,O,X,O,O
ISTLOJZ,O,O,O,O,X,X
ISTLOZJ,X,O,O,X,O,O
ISTJLZO,O,O,O,O,X,X
ISTJLOZ,O,O,O,O,X,X
ISTJZLO,O,X,O,O,X,O
ISTJZOL,O,X,O,O,X,O
ISTJOLZ,O,O,O,O,X,X
ISTJOZL,O,X,O,O,X,O
ISTZLJO,O,O,X,X,X,O
ISTZLOJ,O,O,X,X,X,O
ISTZJLO,O,X,X,X,X,O
ISTZJOL,O,X,X,X,X,O
ISTZOLJ,O,O,X,X,X,O
ISTZOJL,O,X,X,X,X,O
ISTOLJZ,O,O,O,O,X,X
ISTOLZJ,X,O,O,X,O,O
ISTOJLZ,O,O,O,O,X,X
ISTOJZL,O,X,O,O,X,O
ISTOZLJ,O,O,X,X,X,O
ISTOZJL,O,X,X,X,X,O
ISLTJZO,O,O,O,O,X,X
ISLTJOZ,O,O,O,O,X,X
ISLTZJO,X,O,X,X,O,O
ISLTZOJ,X,O,O,X,O,O
ISLTOJZ,O,O,O,O,X,X
ISLTOZJ,X,O,O,X,O,O
ISLJTZO,O,O,O,O,X,X
ISLJTOZ,O,O,O,O,X,X
ISLJZTO,O,O,O,O,X,X
ISLJZOT,O,O,O,O,X,X
ISLJOTZ,O,O,O,O,X,X
ISLJOZT,O,O,O,O,X,X
ISLZTJO,X,O,X,X,O,O
ISLZTOJ,X,O,O,X,O,O
ISLZJTO,X,O,X,X,O,O
ISLZJOT,X,O,X,X,O,O
ISLZOTJ,X,O,O,X,O,O
ISLZOJT,X,O,X,X,O,O
ISLOTJZ,O,O,O,O,X,X
ISLOTZJ,X,O,O,X,O,O
ISLOJTZ,O,O,O,O,X,X
ISLOJZT,O,O,O,O,X,X
ISLOZTJ,X,O,O,X,O,O
ISLOZJT,X,O,X,X,O,O
ISJTLZO,O,O,O,O,X,X
ISJTLOZ,O,O,O,O,X,X
ISJTZLO,O,X,O,O,X,O
ISJTZOL,O,X,O,O,X,O
ISJTOLZ,O,O,O,O,X,X
ISJTOZL,O,X,O,O,X,O
ISJLTZO,O,O,O,O,X,X
ISJLTOZ,O,O,O,O,X,X
ISJLZTO,O,O,O,O,X,X
ISJLZOT,O,O,O,O,X,X
ISJLOTZ,O,O,O,O,X,X
ISJLOZT,O,O,O,O,X,X
ISJZTLO,O,X,O,O,X,O
ISJZTOL,O,X,O,O,X,O
ISJZLTO,O,X,O,O,X,O
ISJZLOT,O,X,O,O,X,O
ISJZOTL,O,X,O,O,X,O
ISJZOLT,O,X,O,O,X,O
ISJOTLZ,O,O,O,O,X,X
ISJOTZL,O,X,O,O,X,O
ISJOLTZ,O,O,O,O,X,X
ISJOLZT,O,O,O,O,X,X
ISJOZTL,O,X,O,O,X,O
ISJOZLT,O,X,O,O,X,O
ISZTLJO,O,O,X,X,X,O
ISZTLOJ,O,O,X,X,X,O
ISZTJLO,O,X,X,X,X,O
ISZTJOL,O,X,X,X,X,O
ISZTOLJ,O,O,X,X,X,O
ISZTOJL,O,X,X,X,X,O
ISZLTJO,O,O,X,X,X,O
ISZLTOJ,O,O,X,X,X,O
ISZLJTO,O,O,X,X,X,O
ISZLJOT,O,O,X,X,X,O
ISZLOTJ,O,O,X,X,X,O
ISZLOJT,O,O,X,X,X,O
ISZJTLO,O,X,X,X,X,O
ISZJTOL,O,X,X,X,X,O
ISZJLTO,O,X,X,X,X,O
ISZJLOT,O,X,X,X,X,O
ISZJOTL,O,X,X,X,X,O
ISZJOLT,O,X,X,X,X,O
ISZOTLJ,O,O,X,X,X,O
ISZOTJL,O,X,X,X,X,O
ISZOLTJ,O,O,X,X,X,O
ISZOLJT,O,O,X,X,X,O
ISZOJTL,O,X,X,X,X,O
ISZOJLT,O,X,X,X,X,O
ISOTLJZ,O,O,O,O,X,X
ISOTLZJ,X,O,O,X,O,O
ISOTJLZ,O,O,O,O,X,X
ISOTJZL,O,X,O,O,X,O
ISOTZLJ,O,O,X,X,X,O
ISOTZJL,O,X,X,X,X,O
ISOLTJZ,O,O,O,O,X,X
ISOLTZJ,X,O,O,X,O,O
ISOLJTZ,O,O,O,O,X,X
ISOLJZT,O,O,O,O,X,X
ISOLZTJ,X,O,O,X,O,O
ISOLZJT,X,O,X,X,O,O
ISOJTLZ,O,O,O,O,X,X
ISOJTZL,O,X,O,O,X,O
ISOJLTZ,O,O,O,O,X,X
ISOJLZT,O,O,O,O,X,X
ISOJZTL,O,X,O,O,X,O
ISOJZLT,O,X,O,O,X,O
ISOZTLJ,O,O,X,X,X,O
ISOZTJL,O,X,X,X,X,O
ISOZLTJ,O,O,X,X,X,O
ISOZLJT,O,O,X,X,X,O
ISOZJTL,O,X,X,X,X,O
ISOZJLT,O,X,X,X,X,O
IZTLJSO,O,O,X,O,O,O
IZTLJOS,O,O,X,O,O,X
IZTLSJO,O,O,X,X,O,O
IZTLSOJ,O,O,X,X,O,O
IZTLOJS,X,O,X,O,O,X
IZTLOSJ,X,O,X,X,O,X
IZTJLSO,O,X,X,O,X,O
IZTJLOS,O,X,X,O,X,X
IZTJSLO,O,X,X,O,X,O
IZTJSOL,O,X,X,O,X,O
IZTJOLS,O,X,X,O,X,X
IZTJOSL,O,X,X,O,X,O
IZTSLJO,O,O,X,X,X,O
IZTSLOJ,O,O,X,X,X,O
IZTSJLO,O,X,X,X,X,O
IZTSJOL,O,X,X,X,X,O
IZTSOLJ,O,O,X,X,X,O
IZTSOJL,O,X,X,X,X,O
IZTOLJS,X,X,X,O,O,X
IZTOLSJ,X,X,X,X,O,X
IZTOJLS,X,X,X,O,X,X
IZTOJSL,X,X,X,O,X,O
IZTOSLJ,X,X,X,X,X,O
IZTOSJL,X,X,X,X,X,O
IZLTJSO,O,O,X,O,O,O
IZLTJOS,O,O,X,O,O,X
IZLTSJO,O,O,X,X,O,O
IZLTSOJ,O,O,X,X,O,O
IZLTOJS,X,O,X,O,O,X
IZLTOSJ,X,O,X,X,O,X
IZLJTSO,O,O,X,O,O,O
IZLJTOS,O,O,X,O,O,X
IZLJSTO,O,O,X,O,O,O
IZLJSOT,O,O,X,O,O,O
IZLJOTS,O,O,X,O,O,X
IZLJOST,O,O,X,O,O,X
IZLSTJO,O,O,X,X,O,O
IZLSTOJ,O,O,X,X,O,O
IZLSJTO,O,O,X,X,O,O
IZLSJOT,O,O,X,X,O,O
IZLSOTJ,O,O,X,X,O,O
IZLSOJT,O,O,X,X,O,O
IZLOTJS,X,O,X,O,O,X
IZLOTSJ,X,O,X,X,O,X
IZLOJTS,X,O,X,O,O,X
IZLOJST,X,O,X,O,O,X
IZLOSTJ,X,O,X,X,O,X
IZLOSJT,X,O,X,X,O,X
IZJTLSO,O,X,X,O,X,O
IZJTLOS,O,X,X,O,X,X
IZJTSLO,O,X,X,O,X,O
IZJTSOL,O,X,X,O,X,O
IZJTOLS,O,X,X,O,X,X
IZJTOSL,O,X,X,O,X,O
IZJLTSO,O,X,X,O,X,O
IZJLTOS,O,X,X,O,X,X
IZJLSTO,O,X,X,O,X,O
IZJLSOT,O,X,X,O,X,O
IZJLOTS,O,X,X,O,X,X
IZJLOST,O,X,X,O,X,X
IZJSTLO,O,X,X,O,X,O
IZJSTOL,O,X,X,O,X,O
IZJSLTO,O,X,X,O,X,O
IZJSLOT,O,X,X,O,X,O
IZJSOTL,O,X,X,O,X,O
IZJSOLT,O,X,X,O,X,O
IZJOTLS,O,X,X,O,X,X
IZJOTSL,O,X,X,O,X,O
IZJOLTS,O,X,X,O,X,X
IZJOLST,O,X,X,O,X,X
IZJOSTL,O,X,X,O,X,O
IZJOSLT,O,X,X,O,X,O
IZSTLJO,O,O,X,X,X,O
IZSTLOJ,O,O,X,X,X,O
IZSTJLO,O,X,X,X,X,O
IZSTJOL,O,X,X,X,X,O
IZSTOLJ,O,O,X,X,X,O
IZSTOJL,O,X,X,X,X,O
IZSLTJO,O,O,X,X,X,O
IZSLTOJ,O,O,X,X,X,O
IZSLJTO,O,O,X,X,X,O
IZSLJOT,O,O,X,X,X,O
IZSLOTJ,O,O,X,X,X,O
IZSLOJT,O,O,X,X,X,O
IZSJTLO,O,X,X,X,X,O
IZSJTOL,O,X,X,X,X,O
IZSJLTO,O,X,X,X,X,O
IZSJLOT,O,X,X,X,X,O
IZSJOTL,O,X,X,X,X,O
IZSJOLT,O,X,X,X,X,O
IZSOTLJ,O,O,X,X,X,O
IZSOTJL,O,X,X,X,X,O
IZSOLTJ,O,O,X,X,X,O
IZSOLJT,O,O,X,X,X,O
IZSOJTL,O,X,X,X,X,O
IZSOJLT,O,X,X,X,X,O
IZOTLJS,X,X,X,O,O,X
IZOTLSJ,X,X,X,X,O,X
IZOTJLS,X,X,X,O,X,X
IZOTJSL,X,X,X,O,X,O
IZOTSLJ,X,X,X,X,X,O
IZOTSJL,X,X,X,X,X,O
IZOLTJS,X,X,X,O,O,X
IZOLTSJ,X,X,X,X,O,X
IZOLJTS,X,X,X,O,O,X
IZOLJST,X,X,X,O,O,X
IZOLSTJ,X,X,X,X,O,X
IZOLSJT,X,X,X,X,O,X
IZOJTLS,X,X,X,O,X,X
IZOJTSL,X,X,X,O,X,O
IZOJLTS,X,X,X,O,X,X
IZOJLST,X,X,X,O,X,X
IZOJSTL,X,X,X,O,X,O
IZOJSLT,X,X,X,O,X,O
IZOSTLJ,X,X,X,X,X,O
IZOSTJL,X,X,X,X,X,O
IZOSLTJ,X,X,X,X,X,O
IZOSLJT,X,X,X,X,X,O
IZOSJTL,X,X,X,X,X,O
IZOSJLT,X,X,X,X,X,O
IOTLJSZ,X,X,X,O,X,X
IOTLJZS,X,X,X,O,O,X
IOTLSJZ,X,O,X,O,X,X
IOTLSZJ,X,O,X,X,O,X
IOTLZJS,X,O,X,O,O,X
IOTLZSJ,X,O,X,X,O,X
IOTJLSZ,X,X,X,O,X,X
IOTJLZS,X,X,X,O,O,X
IOTJSLZ,O,X,X,O,X,X
IOTJSZL,O,X,X,O,X,X
IOTJZLS,O,X,X,O,X,X
IOTJZSL,O,X,X,O,X,X
