sequence,v115@GhA8IeA8EeA8CeB8BeG8Jei/IvhFRhBziBFlBXmB2s?B0pB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhF0hBmiB/pBaqBzq?B1xB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhFlhB3iBmkBzlBys?B0pB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhF0hBmiBTkByqB1s?BXqB,v115@GhA8IeA8EeA8CeB8BeG8JeOEJvhF0gBlhB3iBysBRq?BzpB,v115@GhA8IeA8EeA8CeB8BeG8Jem/IvhFfmBlhBaoBTnBxp?B0pB,v115@GhA8IeA8EeA8CeB8BeG8JeKEJvhFRhBcnBeoBFlBXm?BzpB
TJLZOIS,X,O,O,O,X,X,X
TJLZOSI,X,O,O,O,X,X,O
TJLOISZ,X,X,O,O,O,X,X
TJLOIZS,X,O,X,O,O,X,X
TJLOSIZ,X,O,O,O,O,X,X
TJLOSZI,X,O,O,O,X,X,O
TJLOZIS,X,O,O,O,X,X,X
TJLOZSI,X,O,O,O,X,X,O
TJSILZO,O,O,X,X,O,O,X
TJSILOZ,O,O,X,X,O,O,X
TJSIZLO,O,O,X,X,O,O,X
TJSIZOL,O,O,X,X,X,O,X
TJSIOLZ,O,O,X,X,X,O,X
TJSIOZL,O,O,X,X,X,O,X
TJSLIZO,O,O,X,X,O,O,O
TJSLIOZ,O,O,X,X,O,O,X
TJSLZIO,O,O,X,X,O,X,O
TJSLZOI,O,O,X,O,X,X,O
TJSLOIZ,O,O,X,O,O,X,X
TJSLOZI,O,O,X,O,X,X,O
TJSZILO,O,O,X,X,X,X,O
TJSZIOL,O,O,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,O
TJSZLOI,O,O,X,O,X,X,O
TJSZOIL,O,O,X,O,X,X,X
TJSZOLI,O,O,X,O,X,X,X
TJSOILZ,O,O,X,O,X,O,X
TJSOIZL,O,O,X,O,X,O,X
TJSOLIZ,O,O,X,O,X,O,X
TJSOLZI,O,O,X,O,X,X,X
TJSOZIL,O,O,X,O,X,X,X
TJSOZLI,O,O,X,O,X,X,X
TJZILSO,O,X,O,X,O,X,O
TJZILOS,O,X,O,O,O,X,X
TJZISLO,O,O,O,X,O,X,O
TJZISOL,O,O,X,X,X,X,X
TJZIOLS,O,O,O,O,O,X,X
TJZIOSL,O,O,X,O,X,X,X
TJZLISO,O,X,O,X,O,X,O
TJZLIOS,O,X,O,O,O,X,X
TJZLSIO,O,O,O,X,O,X,O
TJZLSOI,O,O,O,O,X,X,O
TJZLOIS,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,X,X,O
TJZSILO,O,O,O,X,X,X,O
TJZSIOL,O,O,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,O
TJZSLOI,O,O,O,O,X,X,O
TJZSOIL,O,O,X,O,X,X,X
TJZSOLI,O,O,X,O,X,X,X
TJZOILS,O,O,O,O,X,X,X
TJZOISL,O,O,O,O,X,X,X
TJZOLIS,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,X,X,X
TJZOSLI,O,O,O,O,X,X,X
TJOILSZ,X,X,O,O,O,X,X
TJOILZS,X,O,X,O,O,X,X
TJOISLZ,O,O,X,O,X,X,X
TJOISZL,O,O,X,O,X,X,X
TJOIZLS,O,O,X,O,O,X,X
TJOIZSL,O,O,X,O,X,X,X
TJOLISZ,X,X,O,O,O,X,X
TJOLIZS,X,O,X,O,O,X,X
TJOLSIZ,X,O,O,O,O,O,X
TJOLSZI,X,O,O,O,X,X,X
TJOLZIS,X,O,O,O,X,X,X
TJOLZSI,X,O,O,O,X,X,X
TJOSILZ,O,O,X,O,X,O,X
TJOSIZL,O,O,X,O,X,O,X
TJOSLIZ,O,O,X,O,X,O,X
TJOSLZI,O,O,X,O,X,X,X
TJOSZIL,O,O,X,O,X,X,X
TJOSZLI,O,O,X,O,X,X,X
TJOZILS,O,O,O,O,X,X,X
TJOZISL,O,O,O,O,X,X,X
TJOZLIS,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,X,X,X
TJOZSIL,O,O,O,O,X,X,X
TJOZSLI,O,O,O,O,X,X,X
TSILJZO,O,O,X,X,O,O,X
TSILJOZ,O,O,X,X,O,O,X
TSILZJO,O,O,X,X,O,O,X
TSILZOJ,X,O,X,X,O,X,X
TSILOJZ,O,O,X,X,O,O,X
TSILOZJ,X,O,X,X,O,O,X
TSIJLZO,O,O,X,X,O,O,X
TSIJLOZ,O,O,X,X,O,O,X
TSIJZLO,O,O,X,X,O,O,X
TSIJZOL,O,O,X,X,X,O,X
TSIJOLZ,O,O,X,X,X,O,X
TSIJOZL,O,O,X,X,X,O,X
TSIZLJO,O,O,X,X,O,O,X
TSIZLOJ,O,O,X,X,O,X,X
TSIZJLO,O,O,X,X,O,O,X
TSIZJOL,O,O,X,X,X,O,X
TSIZOLJ,O,O,X,X,X,O,X
TSIZOJL,O,O,X,X,X,O,X
TSIOLJZ,O,O,X,X,X,O,X
TSIOLZJ,X,O,X,X,X,O,X
TSIOJLZ,O,O,X,X,X,O,X
TSIOJZL,O,O,X,X,X,O,X
TSIOZLJ,X,O,X,X,X,O,X
TSIOZJL,X,O,X,X,X,O,X
TSLIJZO,O,O,X,X,O,O,O
TSLIJOZ,O,O,X,X,O,O,X
TSLIZJO,O,O,O,X,O,O,X
TSLIZOJ,X,O,O,X,O,X,X
TSLIOJZ,O,O,O,X,O,O,X
TSLIOZJ,X,O,O,X,O,O,X
TSLJIZO,O,O,X,X,O,O,O
TSLJIOZ,O,O,X,X,O,O,X
TSLJZIO,O,O,O,X,O,X,O
TSLJZOI,O,O,O,O,X,X,O
TSLJOIZ,O,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X,O
TSLZIJO,O,O,O,X,O,O,X
TSLZIOJ,X,O,O,X,O,X,X
TSLZJIO,O,O,O,X,O,X,O
TSLZJOI,O,O,O,O,X,X,O
TSLZOIJ,X,O,O,O,X,X,X
TSLZOJI,X,O,O,O,X,X,X
TSLOIJZ,O,O,O,O,O,O,X
TSLOIZJ,X,O,O,O,O,O,X
TSLOJIZ,O,O,O,O,O,O,X
TSLOJZI,O,O,O,O,X,X,O
TSLOZIJ,X,O,O,O,X,O,X
TSLOZJI,X,O,O,O,X,X,X
TSJILZO,O,O,X,X,O,O,X
TSJILOZ,O,O,X,X,O,O,X
TSJIZLO,O,O,X,X,O,O,X
TSJIZOL,O,O,X,X,X,O,X
TSJIOLZ,O,O,X,X,X,O,X
TSJIOZL,O,O,X,X,X,O,X
TSJLIZO,O,O,X,X,O,O,O
TSJLIOZ,O,O,X,X,O,O,X
TSJLZIO,O,O,X,X,O,X,O
TSJLZOI,O,O,X,O,X,X,O
TSJLOIZ,O,O,X,O,O,X,X
TSJLOZI,O,O,X,O,X,X,O
TSJZILO,O,O,X,X,X,X,O
TSJZIOL,O,O,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,O
TSJZLOI,O,O,X,O,X,X,O
TSJZOIL,O,O,X,O,X,X,X
TSJZOLI,O,O,X,O,X,X,X
TSJOILZ,O,O,X,O,X,O,X
TSJOIZL,O,O,X,O,X,O,X
TSJOLIZ,O,O,X,O,X,O,X
TSJOLZI,O,O,X,O,X,X,X
TSJOZIL,O,O,X,O,X,X,X
TSJOZLI,O,O,X,O,X,X,X
TSZILJO,O,O,X,X,X,O,X
TSZILOJ,O,O,X,X,X,X,X
TSZIJLO,O,O,X,X,X,O,X
TSZIJOL,O,O,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,O,X
TSZIOJL,O,O,X,X,X,O,X
TSZLIJO,O,O,O,X,X,O,X
TSZLIOJ,O,O,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,O,X,X,X
TSZLOJI,O,O,O,O,X,X,X
TSZJILO,O,O,O,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,O,X,X,X
TSZJOIL,O,O,X,O,X,X,X
TSZJOLI,O,O,X,O,X,X,X
TSZOILJ,O,O,O,X,X,O,X
TSZOIJL,O,O,X,O,X,O,X
TSZOLIJ,O,O,O,O,X,O,X
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,X,X
TSZOJLI,O,O,O,O,X,X,X
TSOILJZ,O,O,O,O,X,O,X
TSOILZJ,X,O,O,O,X,O,X
TSOIJLZ,O,O,X,O,X,O,X
TSOIJZL,O,O,X,O,X,O,X
TSOIZLJ,X,O,X,X,X,O,X
TSOIZJL,X,O,X,O,X,O,X
TSOLIJZ,O,O,O,O,X,O,X
TSOLIZJ,X,O,O,O,X,O,X
TSOLJIZ,O,O,O,O,X,O,X
TSOLJZI,O,O,O,O,X,X,X
TSOLZIJ,X,O,O,O,X,O,X
TSOLZJI,X,O,O,O,X,X,X
TSOJILZ,O,O,X,O,X,O,X
TSOJIZL,O,O,X,O,X,O,X
TSOJLIZ,O,O,X,O,X,O,X
TSOJLZI,O,O,X,O,X,X,X
TSOJZIL,O,O,X,O,X,X,X
TSOJZLI,O,O,X,O,X,X,X
TSOZILJ,X,O,O,X,X,O,X
TSOZIJL,X,O,X,O,X,O,X
TSOZLIJ,X,O,O,O,X,O,X
TSOZLJI,X,O,O,O,X,X,X
TSOZJIL,X,O,O,O,X,X,X
TSOZJLI,X,O,O,O,X,X,X
TZILJSO,O,X,O,X,O,X,X
TZILJOS,O,X,O,O,O,X,X
TZILSJO,O,X,O,X,O,X,X
TZILSOJ,O,X,O,X,O,X,X
TZILOJS,O,X,O,O,O,X,X
TZILOSJ,X,X,O,O,O,X,X
TZIJLSO,O,X,O,X,O,X,X
TZIJLOS,O,X,O,O,O,X,X
TZIJSLO,O,O,O,X,O,X,X
TZIJSOL,O,O,X,X,X,X,X
TZIJOLS,O,O,O,O,O,X,X
TZIJOSL,O,O,X,O,X,X,X
TZISLJO,O,O,X,X,O,X,X
TZISLOJ,O,O,X,X,O,X,X
TZISJLO,O,O,X,X,O,X,X
TZISJOL,O,O,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X
TZIOLJS,O,O,O,O,O,X,X
TZIOLSJ,X,X,O,O,O,X,X
TZIOJLS,O,O,O,O,O,X,X
TZIOJSL,O,O,O,O,X,X,X
TZIOSLJ,X,O,O,X,X,X,X
TZIOSJL,X,O,X,O,X,X,X
TZLIJSO,O,X,O,X,O,X,X
TZLIJOS,O,X,O,O,O,X,X
TZLISJO,O,X,O,X,O,X,X
TZLISOJ,O,X,O,X,O,X,X
TZLIOJS,O,X,O,O,O,X,X
TZLIOSJ,X,X,O,O,O,X,X
TZLJISO,O,X,O,X,O,X,X
TZLJIOS,O,X,O,O,O,X,X
TZLJSIO,O,O,O,X,O,X,X
TZLJSOI,O,O,O,O,X,X,X
TZLJOIS,O,O,O,O,X,X,X
TZLJOSI,O,O,O,O,X,X,X
TZLSIJO,O,O,O,X,O,O,X
TZLSIOJ,O,O,O,X,O,X,X
TZLSJIO,O,O,O,X,O,X,X
TZLSJOI,O,O,O,O,X,X,X
TZLSOIJ,O,O,O,O,X,X,X
TZLSOJI,O,O,O,O,X,X,X
TZLOIJS,O,O,O,O,X,X,X
TZLOISJ,X,X,O,O,X,X,X
TZLOJIS,O,O,O,O,X,X,X
TZLOJSI,O,O,O,O,X,X,X
TZLOSIJ,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,X,X,X
TZJILSO,O,X,O,X,O,X,X
TZJILOS,O,X,O,O,O,X,X
TZJISLO,O,O,O,X,O,X,X
TZJISOL,O,O,X,X,X,X,X
TZJIOLS,O,O,O,O,O,X,X
TZJIOSL,O,O,X,O,X,X,X
TZJLISO,O,X,O,X,O,X,X
TZJLIOS,O,X,O,O,O,X,X
TZJLSIO,O,O,O,X,O,X,X
TZJLSOI,O,O,O,O,X,X,X
TZJLOIS,O,O,O,O,X,X,X
TZJLOSI,O,O,O,O,X,X,X
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,O,X,X,X
TZJSOIL,O,O,X,O,X,X,X
TZJSOLI,O,O,X,O,X,X,X
TZJOILS,O,O,O,O,X,X,X
TZJOISL,O,O,O,O,X,X,X
TZJOLIS,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,X,X,X
TZJOSIL,O,O,O,O,X,X,X
TZJOSLI,O,O,O,O,X,X,X
TZSILJO,O,O,X,X,X,O,X
TZSILOJ,O,O,X,X,X,X,X
TZSIJLO,O,O,X,X,X,O,X
TZSIJOL,O,O,X,X,X,O,X
TZSIOLJ,O,O,X,X,X,O,X
TZSIOJL,O,O,X,X,X,O,X
TZSLIJO,O,O,O,X,X,O,X
TZSLIOJ,O,O,O,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X
TZSLOIJ,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,X,X,X
TZSJILO,O,O,O,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X
TZSJOIL,O,O,X,O,X,X,X
TZSJOLI,O,O,X,O,X,X,X
TZSOILJ,O,O,O,X,X,O,X
TZSOIJL,O,O,X,O,X,O,X
TZSOLIJ,O,O,O,O,X,O,X
TZSOLJI,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,X,X,X
TZSOJLI,O,O,O,O,X,X,X
TZOILJS,O,O,O,O,X,X,X
TZOILSJ,X,X,O,O,X,X,X
TZOIJLS,O,O,O,O,X,X,X
TZOIJSL,O,O,O,O,X,X,X
TZOISLJ,X,O,O,X,X,X,X
TZOISJL,X,O,X,O,X,X,X
TZOLIJS,O,O,O,O,X,X,X
TZOLISJ,X,X,O,O,X,X,X
TZOLJIS,O,O,O,O,X,X,X
TZOLJSI,O,O,O,O,X,X,X
