sequence,v115@FhB8HeB8HeC8BeB8BeC8Je0/IvhFlgB/pBxmBGnBiq?BzrB,v115@FhB8HeB8HeC8BeB8BeC8JeFBJvhFXiBxkBcsBikBzp?BGrB,v115@FhB8HeB8HeC8BeB8BeC8JeT/IvhFxgBXiBcsBlpBGr?BiqB,v115@FhB8HeB8HeC8BeB8BeC8Je0/IvhFxgBTiB/pBiqBFs?BGrB,v115@FhB8HeB8HeC8BeB8BeC8JeT/IvhF8lBCiBlpBxrBOq?BXsB,v115@FhB8HeB8HeC8BeB8BeC8Jem/IvhFfmBTiBxpBFsB6r?B0pB,v115@FhB8HeB8HeC8BeB8BeC8JeOEJvhFTgBFiBqpBcsBxq?B/rB,v115@FhB8HeB8HeC8BeB8BeC8Jel/IvhFThB6nB/pBesBxq?BcqB,v115@FhB8HeB8HeC8BeB8BeC8JelAJvhFTkB2qBxmBCnBXs?B0pB,v115@FhB8HeB8HeC8BeB8BeC8JeFBJvhFxkBSrBTnBmkB0p?BXsB,v115@FhB8HeB8HeC8BeB8BeC8JeRAJvhF1mB6nB0lBmpBzr?B/pB
TLSJIOZ,X,X,X,O,X,X,X,O,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X,X,X
TLSJZOI,O,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,X,O,X
TLSZJIO,O,X,X,O,X,X,X,X,X,X,X
TLSZJOI,O,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,X,X,X,X,O,X
TLSZOJI,O,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,O,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,O,X,X,X,O,X
TLSOJIZ,O,X,X,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,X,X,O,X
TLSOZJI,O,X,X,O,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,X,O,X,X,X,X
TLZIJOS,X,X,X,X,O,X,O,X,X,O,X
TLZISJO,O,X,X,X,O,X,X,X,X,X,X
TLZISOJ,O,X,X,X,O,X,X,X,X,O,X
TLZIOJS,X,X,X,X,O,X,O,X,X,O,X
TLZIOSJ,X,X,X,X,O,X,X,X,X,O,X
TLZJISO,X,X,O,X,X,X,O,X,X,X,X
TLZJIOS,X,X,O,X,X,X,O,X,X,O,X
TLZJSIO,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,X,X,O,X,X,X,X,X,X,O,X
TLZJOSI,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,X,O,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,X,O,X
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X
TLZSJOI,O,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,X,O,X
TLZSOJI,O,X,X,O,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,O,X,X,X,X,O,X
TLZOISJ,O,X,X,X,O,X,X,X,X,O,X
TLZOJIS,X,X,O,X,X,X,X,X,X,O,X
TLZOJSI,X,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,O,X,X,X,X,X,O,X
TLZOSJI,O,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,O,X,X,X,X,X
TLOIJZS,X,X,X,X,O,X,X,X,X,O,O
TLOISJZ,O,X,X,O,X,O,X,X,X,X,X
TLOISZJ,O,X,X,O,O,O,X,X,X,O,X
TLOIZJS,X,X,X,X,O,X,X,X,X,O,O
TLOIZSJ,O,X,X,X,O,X,X,X,X,O,X
TLOJISZ,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,O,O
TLOJSIZ,O,X,X,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X,X,O
TLOJZIS,X,X,O,X,X,X,X,X,X,O,O
TLOJZSI,X,X,O,X,X,X,X,X,X,X,O
TLOSIJZ,O,X,X,O,X,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,O,X,X,X,O,X
TLOSJIZ,O,X,X,O,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,X,O
TLOSZIJ,O,X,X,O,X,X,X,X,X,O,X
TLOSZJI,O,X,X,O,X,X,X,X,X,X,O
TLOZIJS,X,X,X,X,O,X,X,X,X,O,O
TLOZISJ,O,X,X,X,O,X,X,X,X,O,X
TLOZJIS,X,X,O,X,X,X,X,X,X,O,O
TLOZJSI,X,X,O,X,X,X,X,X,X,X,O
TLOZSIJ,O,X,X,O,X,X,X,X,X,O,X
TLOZSJI,O,X,X,O,X,X,X,X,X,X,O
TJILSZO,X,X,X,X,X,O,X,O,X,X,X
TJILSOZ,X,X,X,X,X,O,X,O,X,X,X
TJILZSO,X,O,X,X,O,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,O,X,O,O,X,X
TJILOZS,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,O,X,O,X,X,X
TJISLOZ,X,X,X,X,X,O,X,O,O,X,X
TJISZLO,X,O,X,X,X,O,X,X,X,X,X
TJISZOL,X,O,X,X,X,O,X,X,O,X,X
TJISOLZ,X,X,X,X,X,O,X,O,O,X,X
TJISOZL,X,X,X,X,X,O,X,X,O,X,X
TJIZLSO,X,O,O,X,O,X,X,X,X,X,X
TJIZLOS,X,X,O,X,O,X,X,X,X,X,X
TJIZSLO,X,O,O,X,O,O,X,X,X,X,X
TJIZSOL,X,O,O,X,O,O,X,X,X,X,X
TJIZOLS,X,O,O,X,O,X,X,X,X,X,X
TJIZOSL,X,O,O,X,O,O,X,X,O,X,X
TJIOLSZ,X,X,X,X,X,O,X,O,O,X,X
TJIOLZS,X,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,O,X,O,O,X,X
TJIOSZL,X,O,X,X,X,O,X,X,O,X,X
TJIOZLS,X,O,O,X,O,X,X,X,X,X,X
TJIOZSL,X,O,O,X,O,O,X,X,O,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O,X,X,X
TJLIZSO,X,O,X,X,X,X,O,X,X,X,X
TJLIZOS,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,O,O,X,X
TJLIOZS,X,X,X,X,X,X,O,X,X,X,X
TJLSIZO,X,X,X,O,X,X,X,O,X,X,X
TJLSIOZ,X,X,X,O,X,X,X,O,O,X,X
TJLSZIO,X,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,X,O,X,X
TJLSOZI,X,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,X,X,X,O,X,X,X,X
TJLZIOS,X,X,O,X,X,X,O,X,X,X,X
TJLZSIO,X,O,O,X,X,X,X,X,X,X,X
TJLZSOI,X,O,O,X,X,X,X,X,X,X,X
TJLZOIS,X,O,O,X,X,X,X,X,X,X,X
TJLZOSI,X,O,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,O,X,X
TJLOIZS,X,O,X,X,X,X,X,X,X,X,O
TJLOSIZ,X,X,X,O,X,X,X,X,O,X,X
TJLOSZI,X,X,X,O,X,X,X,X,X,X,O
TJLOZIS,X,O,O,X,X,X,X,X,X,X,O
TJLOZSI,X,O,O,X,X,X,X,X,X,X,O
TJSILZO,X,X,X,X,X,O,X,O,X,X,X
TJSILOZ,X,X,X,X,X,O,X,O,O,X,X
TJSIZLO,X,O,X,X,X,O,X,X,X,X,X
TJSIZOL,X,O,X,X,X,O,X,X,O,X,X
TJSIOLZ,X,X,X,X,X,O,X,O,O,X,X
TJSIOZL,X,X,X,X,X,O,X,X,O,X,X
TJSLIZO,X,X,X,O,X,X,X,O,X,X,X
TJSLIOZ,X,X,X,O,X,X,X,O,O,X,X
TJSLZIO,X,X,X,O,X,X,X,X,X,X,X
TJSLZOI,X,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,X,X,X,O,X,X
TJSLOZI,X,X,X,O,X,X,X,X,X,X,X
TJSZILO,X,O,O,O,X,X,X,X,X,X,X
TJSZIOL,X,O,O,X,X,X,X,X,O,X,X
TJSZLIO,X,O,O,X,X,X,X,X,X,X,X
TJSZLOI,X,O,O,X,X,X,X,X,X,X,X
TJSZOIL,X,O,O,X,X,X,X,X,O,X,X
TJSZOLI,X,O,O,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,O,X,X,O,X,X
TJSOIZL,X,O,X,X,X,O,X,X,O,X,X
TJSOLIZ,X,X,X,O,X,X,X,X,O,X,X
TJSOLZI,X,X,X,O,X,X,X,X,X,X,X
TJSOZIL,X,O,O,X,X,X,X,X,O,X,X
TJSOZLI,X,O,O,X,X,X,X,X,X,X,X
TJZILSO,X,O,O,X,O,X,X,X,X,X,X
TJZILOS,X,X,O,X,O,X,X,X,X,X,X
TJZISLO,X,O,O,X,O,X,X,X,X,X,X
TJZISOL,X,O,O,X,O,X,X,X,X,X,X
TJZIOLS,X,O,O,X,O,X,X,X,X,X,X
TJZIOSL,X,O,O,X,O,X,X,X,O,X,X
TJZLISO,X,O,O,X,X,X,O,X,X,X,X
TJZLIOS,X,X,O,X,X,X,O,X,X,X,X
TJZLSIO,X,O,O,X,X,X,X,X,X,X,X
TJZLSOI,X,O,O,X,X,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X,X,X,X,X
TJZLOSI,X,O,O,X,X,X,X,X,X,X,X
TJZSILO,X,O,O,X,X,X,X,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X,X,O,X,X
TJZSLIO,X,O,O,X,X,X,X,X,X,X,X
TJZSLOI,X,O,O,X,X,X,X,X,X,X,X
TJZSOIL,X,O,O,X,X,X,X,X,O,X,X
TJZSOLI,X,O,O,X,X,X,X,X,X,X,X
TJZOILS,X,O,O,X,O,X,X,X,X,X,O
TJZOISL,X,O,O,X,O,X,X,X,O,X,X
TJZOLIS,X,O,O,X,X,X,X,X,X,X,O
TJZOLSI,X,O,O,X,X,X,X,X,X,X,O
TJZOSIL,X,O,O,X,X,X,X,X,O,X,X
TJZOSLI,X,O,O,X,X,X,X,X,X,X,O
TJOILSZ,X,X,X,X,X,O,X,X,O,X,X
TJOILZS,X,O,X,X,O,X,X,X,X,X,O
TJOISLZ,X,X,X,X,X,O,X,X,O,X,X
TJOISZL,X,O,X,X,X,O,X,X,O,X,X
TJOIZLS,X,O,O,X,O,X,X,X,X,X,O
TJOIZSL,X,O,O,X,O,O,X,X,O,X,X
TJOLISZ,X,X,X,X,X,X,X,X,O,X,X
TJOLIZS,X,O,X,X,X,X,X,X,X,X,O
TJOLSIZ,X,X,X,O,X,X,X,X,O,X,X
TJOLSZI,X,X,X,O,X,X,X,X,X,X,O
TJOLZIS,X,O,O,X,X,X,X,X,X,X,O
TJOLZSI,X,O,O,X,X,X,X,X,X,X,O
TJOSILZ,X,X,X,X,X,O,X,X,O,X,X
TJOSIZL,X,O,X,X,X,O,X,X,O,X,X
TJOSLIZ,X,X,X,O,X,X,X,X,O,X,X
TJOSLZI,X,X,X,O,X,X,X,X,X,X,O
TJOSZIL,X,O,O,X,X,X,X,X,O,X,X
TJOSZLI,X,O,O,X,X,X,X,X,X,X,O
TJOZILS,X,O,O,X,O,X,X,X,X,X,O
TJOZISL,X,O,O,X,O,X,X,X,O,X,X
TJOZLIS,X,O,O,X,X,X,X,X,X,X,O
TJOZLSI,X,O,O,X,X,X,X,X,X,X,O
TJOZSIL,X,O,O,X,X,X,X,X,O,X,X
TJOZSLI,X,O,O,X,X,X,X,X,X,X,O
TSILJZO,X,X,X,O,X,O,X,X,X,X,X
TSILJOZ,X,X,X,O,X,O,X,X,O,X,X
TSILZJO,X,X,X,O,O,O,X,X,X,X,X
TSILZOJ,X,X,X,O,O,O,X,X,X,X,X
TSILOJZ,X,X,X,O,X,O,X,X,X,X,X
TSILOZJ,X,X,X,O,O,O,X,X,X,X,X
TSIJLZO,X,X,X,X,X,O,X,O,X,X,X
TSIJLOZ,X,X,X,X,X,O,X,O,O,X,X
TSIJZLO,X,X,X,X,X,O,X,X,X,X,X
TSIJZOL,X,X,X,X,X,O,X,X,O,X,X
TSIJOLZ,X,X,X,X,X,O,X,O,O,X,X
TSIJOZL,X,X,X,X,X,O,X,X,O,X,X
TSIZLJO,X,X,X,O,O,O,X,X,X,X,X
TSIZLOJ,X,X,X,O,O,O,X,X,X,X,X
TSIZJLO,X,X,X,O,O,O,X,X,X,X,X
TSIZJOL,X,X,X,X,O,O,X,X,O,X,X
TSIZOLJ,X,X,X,O,O,O,X,X,X,X,X
TSIZOJL,X,X,X,X,O,O,X,X,X,X,X
TSIOLJZ,X,X,X,O,X,O,X,X,X,X,X
TSIOLZJ,X,X,X,O,O,O,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,O,X,O,O,X,X
TSIOJZL,X,X,X,X,X,O,X,X,O,X,X
TSIOZLJ,X,X,X,X,O,O,X,X,X,X,X
TSIOZJL,X,X,X,X,O,O,X,X,X,X,X
TSLIJZO,O,X,X,O,X,O,X,X,X,X,X
TSLIJOZ,X,X,X,O,X,O,X,X,X,X,X
TSLIZJO,O,X,X,O,X,O,X,X,X,X,X
TSLIZOJ,O,X,X,O,X,O,X,X,X,X,X
TSLIOJZ,O,X,X,O,X,O,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,O,X,X,X,X,X
TSLJIZO,O,X,X,O,X,X,X,O,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,O,X,X,X
TSLJZIO,O,X,X,O,X,X,X,X,X,X,X
TSLJZOI,O,X,X,O,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,O,X,X,X,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,X,X,X,X
TSLZIJO,O,X,X,O,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,O,X,X,X,X,X,X,X
TSLZJIO,O,X,X,O,X,X,X,X,X,X,X
TSLZJOI,O,X,X,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,O,X,X,X,X,X,X,X
TSLZOJI,O,X,X,O,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,O,X,O,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,O,X,X,X,X,X
TSLOJIZ,O,X,X,O,X,X,X,X,X,X,X
TSLOJZI,O,X,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,X,X,X,X,X,X
TSLOZJI,O,X,X,O,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,O,X,O,X,X,X
TSJILOZ,X,X,X,X,X,O,X,O,O,X,X
TSJIZLO,X,X,X,X,X,O,X,X,X,X,X
TSJIZOL,X,X,X,X,X,O,X,X,O,X,X
TSJIOLZ,X,X,X,X,X,O,X,O,O,X,X
TSJIOZL,X,X,X,X,X,O,X,X,O,X,X
TSJLIZO,X,X,X,O,X,X,X,O,X,X,X
TSJLIOZ,X,X,X,O,X,X,X,O,O,X,X
TSJLZIO,X,X,X,O,X,X,X,X,X,X,X
TSJLZOI,X,X,X,O,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,O,X,X,X,X,O,X,X
TSJLOZI,X,X,X,O,X,X,X,X,X,X,X
TSJZILO,X,X,O,O,X,X,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X,X,X,O,X,X
TSJZLIO,X,X,O,X,X,X,X,X,X,X,X
TSJZLOI,X,X,O,X,X,X,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,X,X,O,X,X
TSJZOLI,X,X,O,X,X,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,O,X,X,O,X,X
TSJOIZL,X,X,X,X,X,O,X,X,O,X,X
