sequence,v115@QhA8GeC8AeE8AeC8JeZEJvhFukBamBUiBFjBTlBfsB,v115@QhA8GeC8AeE8AeC8JeZEJvhFqkBTgBemBUiBFjBfsB,v115@QhA8GeC8AeE8AeC8JeZEJvhFzfBUhBFiBXjBSqBmrB
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,X,X,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,X,X,X
TZLSIOJ,X,X,X
TZLSJIO,X,X,X
TZLSJOI,X,X,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,X,X
TZLOISJ,X,X,X
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,X,X
TZSIJLO,X,X,X
TZSIJOL,X,X,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,X,X,X
TZSLIOJ,X,X,X
TZSLJIO,X,X,X
TZSLJOI,X,X,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,X,X
TZSJIOL,X,X,X
TZSJLIO,X,X,X
TZSJLOI,X,X,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,X,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,O,X,X
TOILJZS,X,X,X
TOILSJZ,O,X,X
TOILSZJ,O,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,O,X,X
TOIJLZS,X,X,X
TOIJSLZ,O,X,X
TOIJSZL,O,X,X
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,O,X,X
TOISLZJ,O,X,X
TOISJLZ,O,X,X
TOISJZL,O,X,X
TOISZLJ,O,X,X
TOISZJL,O,X,X
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,O,X,X
TOLIJZS,X,X,X
TOLISJZ,O,X,X
TOLISZJ,O,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,O,X,X
TOLJIZS,X,X,X
TOLJSIZ,O,X,X
TOLJSZI,O,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,O,X,X
TOLSIZJ,O,X,X
TOLSJIZ,O,X,X
TOLSJZI,O,X,X
TOLSZIJ,O,X,X
TOLSZJI,O,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,O,X,X
TOJILZS,X,X,X
TOJISLZ,O,X,X
TOJISZL,O,X,X
TOJIZLS,X,X,X
TOJIZSL,X,X,X
TOJLISZ,O,X,X
TOJLIZS,X,X,X
TOJLSIZ,O,X,X
TOJLSZI,O,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,O,X,X
TOJSIZL,O,X,X
TOJSLIZ,O,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,O,X,X
TOJZILS,X,X,X
TOJZISL,X,X,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,X,X,X
TOJZSLI,X,X,X
TOSILJZ,O,X,X
TOSILZJ,O,X,X
TOSIJLZ,O,X,X
TOSIJZL,O,X,X
TOSIZLJ,O,X,X
TOSIZJL,O,X,X
TOSLIJZ,O,X,X
TOSLIZJ,O,X,X
TOSLJIZ,O,X,X
TOSLJZI,O,X,X
TOSLZIJ,O,X,X
TOSLZJI,O,X,X
TOSJILZ,O,X,X
TOSJIZL,O,X,X
TOSJLIZ,O,X,X
TOSJLZI,O,X,X
TOSJZIL,O,X,X
TOSJZLI,O,X,X
TOSZILJ,O,X,X
TOSZIJL,O,X,X
TOSZLIJ,O,X,X
TOSZLJI,O,X,X
TOSZJIL,O,X,X
TOSZJLI,O,X,X
TOZILJS,X,X,X
TOZILSJ,X,X,X
TOZIJLS,X,X,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,X,X
TOZLISJ,X,X,X
TOZLJIS,X,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,X
TOZJISL,X,X,X
TOZJLIS,X,X,X
TOZJLSI,X,X,X
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,O,O,X
ITLJSOZ,X,O,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,O,X
ITLJOZS,X,X,X
ITLSJZO,O,O,X
ITLSJOZ,X,O,X
ITLSZJO,O,O,X
ITLSZOJ,O,X,X
ITLSOJZ,O,O,X
ITLSOZJ,O,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,O,O,X
ITLOJZS,X,X,X
ITLOSJZ,O,O,X
ITLOSZJ,O,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,O,O,X
ITJLSOZ,X,O,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,O,X
ITJLOZS,X,X,X
ITJSLZO,O,O,X
ITJSLOZ,X,O,X
ITJSZLO,O,O,X
ITJSZOL,O,X,X
ITJSOLZ,O,X,X
ITJSOZL,O,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,O,X,X
ITJOLZS,X,X,X
ITJOSLZ,O,X,X
ITJOSZL,O,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,O,O,X
ITSLJOZ,X,O,X
ITSLZJO,O,O,X
ITSLZOJ,O,X,X
ITSLOJZ,O,O,X
ITSLOZJ,O,X,X
ITSJLZO,O,O,X
ITSJLOZ,X,O,X
ITSJZLO,O,O,X
ITSJZOL,O,X,X
ITSJOLZ,O,X,X
ITSJOZL,O,X,X
ITSZLJO,O,O,X
ITSZLOJ,O,X,X
ITSZJLO,O,O,X
ITSZJOL,O,X,X
ITSZOLJ,O,X,X
ITSZOJL,O,X,X
ITSOLJZ,O,X,X
ITSOLZJ,O,X,X
ITSOJLZ,O,X,X
ITSOJZL,O,X,X
ITSOZLJ,O,X,X
ITSOZJL,O,X,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,O,X,X
ITOLJZS,X,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,O,X,X
ITOJLZS,X,X,X
ITOJSLZ,O,X,X
ITOJSZL,O,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,O,X,X
ITOSLZJ,O,X,X
ITOSJLZ,O,X,X
ITOSJZL,O,X,X
ITOSZLJ,O,X,X
ITOSZJL,O,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,O,O,X
ILTJSOZ,X,O,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,O,X
ILTJOZS,X,X,X
ILTSJZO,O,O,X
ILTSJOZ,X,O,X
ILTSZJO,O,O,X
ILTSZOJ,O,X,X
ILTSOJZ,O,O,X
ILTSOZJ,O,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,O,O,X
ILTOJZS,X,X,X
ILTOSJZ,O,O,X
ILTOSZJ,O,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,O,O,O
ILJTSOZ,X,O,O
