sequence,v115@ThB8AeA8DeI8KeKEJvhFzfBfmBlhBcnBeoB5oB,v115@ThB8AeA8DeI8KeOEJvhF8kBfmBlhBaoB5oBTsB,v115@ThB8AeA8DeI8Kem/IvhFfmB0hBliB5oBTpByxB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmB0hBmiB5oB1xB,v115@ThB8AeA8DeI8Kem/IvhFRhBcnBTkBFmB6tBXtB,v115@ThB8AeA8DeI8Kex/IvhFlhBcnBTkBmlB6tBXtB
TJLSZOI,X,X,X,O,X,X
TJLSOIZ,X,X,X,O,X,X
TJLSOZI,X,X,X,O,X,X
TJLZISO,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O
TJLZOSI,X,X,X,X,X,O
TJLOISZ,X,X,X,O,X,X
TJLOIZS,X,X,X,X,X,O
TJLOSIZ,X,X,X,O,X,X
TJLOSZI,X,X,X,O,X,X
TJLOZIS,X,X,X,X,X,O
TJLOZSI,X,X,X,X,X,O
TJSILZO,X,X,X,O,X,X
TJSILOZ,X,X,X,O,X,X
TJSIZLO,X,X,X,O,X,X
TJSIZOL,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X
TJSLIZO,X,X,X,O,X,X
TJSLIOZ,X,X,X,O,X,X
TJSLZIO,X,X,X,O,X,X
TJSLZOI,X,X,X,O,X,X
TJSLOIZ,X,X,X,O,X,X
TJSLOZI,X,X,X,O,X,X
TJSZILO,X,X,X,O,X,X
TJSZIOL,X,X,X,X,X,X
TJSZLIO,X,X,X,O,X,X
TJSZLOI,X,X,X,O,X,X
TJSZOIL,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,O
TJZLOSI,X,X,X,X,X,O
TJZSILO,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,O
TJZOISL,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,O
TJZOLSI,X,X,X,X,X,O
TJZOSIL,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,O
TJOISLZ,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,O
TJOIZSL,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,O
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,O
TJOLZSI,X,X,X,X,X,O
TJOSILZ,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,O
TJOZISL,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,O
TJOZLSI,X,X,X,X,X,O
TJOZSIL,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X
TSILJZO,X,X,X,O,X,X
TSILJOZ,X,X,X,O,X,X
TSILZJO,X,X,X,O,X,X
TSILZOJ,X,X,X,O,X,X
TSILOJZ,X,X,X,O,X,X
TSILOZJ,X,X,X,O,X,X
TSIJLZO,X,X,X,O,X,X
TSIJLOZ,X,X,X,O,X,X
TSIJZLO,X,X,X,O,X,X
TSIJZOL,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X
TSIZLJO,X,X,X,O,X,X
TSIZLOJ,X,X,X,O,X,X
TSIZJLO,X,X,X,O,X,X
TSIZJOL,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,X,X,O,X,X
TSLIJOZ,X,X,X,O,X,X
TSLIZJO,X,X,X,O,X,X
TSLIZOJ,X,X,X,O,X,X
TSLIOJZ,X,X,X,O,X,X
TSLIOZJ,X,X,X,O,X,X
TSLJIZO,X,X,X,O,X,X
TSLJIOZ,X,X,X,O,X,X
TSLJZIO,X,X,X,O,X,X
TSLJZOI,X,X,X,O,X,X
TSLJOIZ,X,X,X,O,X,X
TSLJOZI,X,X,X,O,X,X
TSLZIJO,X,X,X,O,X,X
TSLZIOJ,X,X,X,O,X,X
TSLZJIO,X,X,X,O,X,X
TSLZJOI,X,X,X,O,X,X
TSLZOIJ,X,X,X,O,X,X
TSLZOJI,X,X,X,O,X,X
TSLOIJZ,X,X,X,O,X,X
TSLOIZJ,X,X,X,O,X,X
TSLOJIZ,X,X,X,O,X,X
TSLOJZI,X,X,X,O,X,X
TSLOZIJ,X,X,X,O,X,X
TSLOZJI,X,X,X,O,X,X
TSJILZO,X,X,X,O,X,X
TSJILOZ,X,X,X,O,X,X
TSJIZLO,X,X,X,O,X,X
TSJIZOL,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X
TSJLIZO,X,X,X,O,X,X
TSJLIOZ,X,X,X,O,X,X
TSJLZIO,X,X,X,O,X,X
TSJLZOI,X,X,X,O,X,X
TSJLOIZ,X,X,X,O,X,X
TSJLOZI,X,X,X,O,X,X
TSJZILO,X,X,X,O,X,X
TSJZIOL,X,X,X,X,X,X
TSJZLIO,X,X,X,O,X,X
TSJZLOI,X,X,X,O,X,X
TSJZOIL,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X
TSZILJO,X,X,X,O,X,X
TSZILOJ,X,X,X,O,X,X
TSZIJLO,X,X,X,O,X,X
TSZIJOL,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X
TSZLIJO,X,X,X,O,X,X
TSZLIOJ,X,X,X,O,X,X
TSZLJIO,X,X,X,O,X,X
TSZLJOI,X,X,X,O,X,X
TSZLOIJ,X,X,X,O,X,X
TSZLOJI,X,X,X,O,X,X
TSZJILO,X,X,X,O,X,X
TSZJIOL,X,X,X,X,X,X
TSZJLIO,X,X,X,O,X,X
TSZJLOI,X,X,X,O,X,X
TSZJOIL,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,X,X
TSZOLJI,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X
TSOZLJI,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,X,X,O,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,X,X,O,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,X,X,O,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,O,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,O
TZLJOSI,X,X,X,X,X,O
TZLSIJO,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,O,X
TZLOISJ,X,X,X,X,X,X
