sequence,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhFzgBRiB3kBGnBlq?BUsB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhBunBTkB/qBUm?BKsB,v115@GhA8HeB8HeE8AeB8BeB8JeOEJvhF8kBzgBRiBfsB6s?BlqB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhB3iBikBUmBGq?BTsB,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhF3gBRiB1pB8qBzm?B+sB
TJZISLO,O,X,O,O,O
TJZISOL,O,X,O,O,O
TJZIOLS,O,X,O,O,O
TJZIOSL,O,X,O,O,O
TJZLISO,O,O,X,O,O
TJZLIOS,O,O,O,O,O
TJZLSIO,O,O,O,O,O
TJZLSOI,O,O,O,O,O
TJZLOIS,O,O,O,O,O
TJZLOSI,O,O,O,O,O
TJZSILO,O,X,O,O,O
TJZSIOL,O,X,O,O,O
TJZSLIO,O,X,O,O,O
TJZSLOI,O,X,O,O,O
TJZSOIL,O,X,O,O,O
TJZSOLI,O,X,O,O,O
TJZOILS,O,X,O,O,O
TJZOISL,O,X,O,O,O
TJZOLIS,O,O,O,O,O
TJZOLSI,O,O,O,O,O
TJZOSIL,O,X,O,O,O
TJZOSLI,O,X,O,O,O
TJOILSZ,X,O,X,X,O
TJOILZS,X,O,X,X,O
TJOISLZ,O,O,X,X,O
TJOISZL,X,O,X,X,O
TJOIZLS,X,X,O,X,O
TJOIZSL,X,X,O,X,O
TJOLISZ,X,O,X,O,O
TJOLIZS,X,O,X,O,O
TJOLSIZ,X,O,X,O,O
TJOLSZI,X,O,X,O,O
TJOLZIS,X,O,X,O,O
TJOLZSI,X,O,X,O,O
TJOSILZ,O,O,X,O,O
TJOSIZL,X,O,O,X,O
TJOSLIZ,O,O,O,O,O
TJOSLZI,O,O,O,O,O
TJOSZIL,O,O,O,O,O
TJOSZLI,O,O,O,O,O
TJOZILS,O,X,O,O,O
TJOZISL,O,X,O,O,O
TJOZLIS,O,O,O,O,O
TJOZLSI,O,O,O,O,O
TJOZSIL,O,X,O,O,O
TJOZSLI,O,X,O,O,O
TSILJZO,X,O,O,O,O
TSILJOZ,O,O,O,O,O
TSILZJO,O,O,O,O,O
TSILZOJ,O,O,O,O,O
TSILOJZ,O,O,O,O,X
TSILOZJ,O,X,O,O,X
TSIJLZO,X,O,X,O,O
TSIJLOZ,O,O,X,O,O
TSIJZLO,X,O,O,X,O
TSIJZOL,X,X,O,X,O
TSIJOLZ,O,X,X,X,O
TSIJOZL,X,X,O,X,O
TSIZLJO,O,O,O,O,O
TSIZLOJ,O,O,O,O,O
TSIZJLO,O,O,O,O,O
TSIZJOL,O,X,O,O,X
TSIZOLJ,O,X,O,O,O
TSIZOJL,O,X,O,O,X
TSIOLJZ,O,X,O,X,X
TSIOLZJ,O,X,O,X,X
TSIOJLZ,O,X,X,X,X
TSIOJZL,X,X,O,X,X
TSIOZLJ,O,X,O,X,X
TSIOZJL,O,X,O,X,X
TSLIJZO,X,O,O,O,O
TSLIJOZ,O,O,O,O,O
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,O,O,O,O
TSLIOJZ,O,O,O,O,X
TSLIOZJ,O,O,O,O,X
TSLJIZO,X,O,O,O,O
TSLJIOZ,O,O,O,O,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,O,O,O
TSLJOZI,O,O,O,X,O
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,O,O,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,O,O,X
TSLOIZJ,O,O,O,O,X
TSLOJIZ,O,O,O,X,X
TSLOJZI,O,O,O,X,X
TSLOZIJ,O,O,O,X,X
TSLOZJI,O,O,O,X,X
TSJILZO,X,O,X,O,O
TSJILOZ,O,O,X,O,O
TSJIZLO,X,O,O,X,O
TSJIZOL,X,X,O,X,O
TSJIOLZ,O,X,X,X,O
TSJIOZL,X,X,O,X,O
TSJLIZO,X,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,O,O,O
TSJLOZI,O,O,O,X,O
TSJZILO,O,O,O,O,O
TSJZIOL,O,X,O,O,O
TSJZLIO,O,O,O,O,O
TSJZLOI,O,O,O,O,O
TSJZOIL,O,O,O,O,O
TSJZOLI,O,O,O,O,O
TSJOILZ,O,O,X,X,O
TSJOIZL,X,O,O,X,O
TSJOLIZ,O,O,O,O,O
TSJOLZI,O,O,O,X,O
TSJOZIL,O,O,O,X,O
TSJOZLI,O,O,O,X,O
TSZILJO,O,O,O,O,O
TSZILOJ,O,O,O,O,O
TSZIJLO,O,O,O,O,O
TSZIJOL,O,X,O,O,O
TSZIOLJ,O,X,O,O,O
TSZIOJL,O,X,O,O,X
TSZLIJO,O,O,O,O,O
TSZLIOJ,O,O,O,O,O
TSZLJIO,O,O,O,O,O
TSZLJOI,O,O,O,O,O
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,O,O,O
TSZJIOL,O,X,O,O,O
TSZJLIO,O,O,O,O,O
TSZJLOI,O,O,O,O,O
TSZJOIL,O,O,O,O,O
TSZJOLI,O,O,O,O,O
TSZOILJ,O,O,O,O,O
TSZOIJL,O,O,O,O,X
