sequence,v115@vhGc/I5oB6rBmnBTpB3qB0sB,v115@vhG8/IZkBasBusBctBzpBXrB,v115@vhGz8I5oBOpBXlB0mBUrByxB,v115@vhH+CJzfBKpBUmB/tBFqB0sBRwB,v115@vhGz7IWnBKpBUmB/tB0sBRwB,v115@vhG0AJ5oB3mBatB2uB0qBTsB,v115@vhG8AJZkBzkBusBctB3qBywB
TLIZSOJ,X,X,O,X,O,X,X
TLIZOJS,X,X,O,X,O,O,X
TLIZOSJ,X,X,O,X,O,O,X
TLIOJSZ,O,O,X,X,X,O,X
TLIOJZS,O,O,X,X,X,O,X
TLIOSJZ,O,O,X,X,X,O,X
TLIOSZJ,O,O,X,X,X,O,X
TLIOZJS,O,O,X,X,X,O,X
TLIOZSJ,O,O,X,X,X,O,X
TLJISZO,X,X,O,O,O,X,O
TLJISOZ,O,O,X,X,X,X,O
TLJIZSO,X,X,O,O,O,X,X
TLJIZOS,X,X,O,X,O,O,X
TLJIOSZ,O,O,X,X,X,O,X
TLJIOZS,O,O,X,X,X,O,X
TLJSIZO,X,X,O,O,O,X,O
TLJSIOZ,O,O,X,X,X,X,O
TLJSZIO,X,X,O,X,X,X,O
TLJSZOI,X,X,O,X,X,X,O
TLJSOIZ,O,O,X,X,X,X,O
TLJSOZI,O,O,X,X,X,X,O
TLJZISO,X,X,O,X,X,X,X
TLJZIOS,X,X,O,X,X,O,X
TLJZSIO,X,X,O,X,X,X,X
TLJZSOI,X,X,O,X,X,X,X
TLJZOIS,X,X,O,X,X,O,X
TLJZOSI,X,X,O,X,X,O,X
TLJOISZ,O,O,X,X,X,O,X
TLJOIZS,O,O,X,X,X,O,X
TLJOSIZ,O,O,X,X,X,O,X
TLJOSZI,O,O,X,X,X,O,X
TLJOZIS,O,O,X,X,X,O,X
TLJOZSI,O,O,X,X,X,O,X
TLSIJZO,X,X,O,O,O,X,O
TLSIJOZ,O,O,X,X,X,X,O
TLSIZJO,X,X,O,O,O,X,O
TLSIZOJ,X,X,O,X,O,X,O
TLSIOJZ,O,O,X,X,X,X,O
TLSIOZJ,O,O,X,X,X,X,O
TLSJIZO,X,X,O,O,O,X,O
TLSJIOZ,O,O,X,X,X,X,O
TLSJZIO,X,X,O,X,X,X,O
TLSJZOI,X,X,O,X,X,X,O
TLSJOIZ,O,O,X,X,X,X,O
TLSJOZI,O,O,X,X,X,X,O
TLSZIJO,X,X,O,X,X,X,O
TLSZIOJ,X,X,O,X,X,X,O
TLSZJIO,X,X,O,X,X,X,O
TLSZJOI,X,X,O,X,X,X,O
TLSZOIJ,X,X,O,X,X,X,O
TLSZOJI,X,X,O,X,X,X,O
TLSOIJZ,O,O,X,X,X,X,O
TLSOIZJ,O,O,X,X,X,X,O
TLSOJIZ,O,O,X,X,X,X,O
TLSOJZI,O,O,X,X,X,X,O
TLSOZIJ,O,O,X,X,X,X,O
TLSOZJI,O,O,X,X,X,X,O
TLZIJSO,X,X,O,X,X,X,X
TLZIJOS,X,X,O,X,X,O,X
TLZISJO,X,X,O,X,X,X,X
TLZISOJ,X,X,O,X,X,X,X
TLZIOJS,X,X,O,X,X,O,X
TLZIOSJ,X,X,O,X,X,O,X
TLZJISO,X,X,O,X,X,X,X
TLZJIOS,X,X,O,X,X,O,X
TLZJSIO,X,X,O,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X
TLZJOIS,X,X,O,X,X,O,X
TLZJOSI,X,X,O,X,X,O,X
TLZSIJO,X,X,O,X,X,X,X
TLZSIOJ,X,X,O,X,X,X,X
TLZSJIO,X,X,O,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,X
TLZSOJI,X,X,O,X,X,X,X
TLZOIJS,X,X,O,X,X,O,X
TLZOISJ,X,X,O,X,X,O,X
TLZOJIS,X,X,O,X,X,O,X
TLZOJSI,X,X,O,X,X,O,X
TLZOSIJ,X,X,O,X,X,O,X
TLZOSJI,X,X,O,X,X,O,X
TLOIJSZ,O,O,X,X,X,O,X
TLOIJZS,O,O,X,X,X,O,X
TLOISJZ,O,O,X,X,X,O,X
TLOISZJ,O,O,X,X,X,O,X
TLOIZJS,O,O,X,X,X,O,X
TLOIZSJ,O,O,X,X,X,O,X
TLOJISZ,O,O,X,X,X,O,X
TLOJIZS,O,O,X,X,X,O,X
TLOJSIZ,O,O,X,X,X,O,X
TLOJSZI,O,O,X,X,X,O,X
TLOJZIS,O,O,X,X,X,O,X
TLOJZSI,O,O,X,X,X,O,X
TLOSIJZ,O,O,X,X,X,O,X
TLOSIZJ,O,O,X,X,X,O,X
TLOSJIZ,O,O,X,X,X,O,X
TLOSJZI,O,O,X,X,X,O,X
TLOSZIJ,O,O,X,X,X,O,X
TLOSZJI,O,O,X,X,X,O,X
TLOZIJS,O,O,X,X,X,O,X
TLOZISJ,O,O,X,X,X,O,X
TLOZJIS,O,O,X,X,X,O,X
TLOZJSI,O,O,X,X,X,O,X
TLOZSIJ,O,O,X,X,X,O,X
TLOZSJI,O,O,X,X,X,O,X
TJILSZO,X,X,O,O,O,X,O
TJILSOZ,O,O,X,X,X,X,O
TJILZSO,X,X,O,O,O,X,X
TJILZOS,X,X,O,X,O,O,X
TJILOSZ,O,O,X,X,X,O,X
TJILOZS,O,O,X,X,X,O,X
TJISLZO,X,X,O,O,O,X,O
TJISLOZ,O,O,X,X,X,X,O
TJISZLO,X,X,O,O,O,X,O
TJISZOL,X,X,O,X,O,O,O
TJISOLZ,O,O,X,X,X,O,O
TJISOZL,O,O,X,X,X,O,O
TJIZLSO,X,X,O,O,O,X,X
TJIZLOS,X,X,O,X,O,O,X
TJIZSLO,X,X,O,O,O,X,X
TJIZSOL,X,X,O,X,O,O,X
TJIZOLS,X,X,O,X,O,O,X
TJIZOSL,X,X,O,X,O,O,X
TJIOLSZ,O,O,X,X,X,O,X
TJIOLZS,O,O,X,X,X,O,X
TJIOSLZ,O,O,X,X,X,O,X
TJIOSZL,O,O,X,X,X,O,X
TJIOZLS,O,O,X,X,X,O,X
TJIOZSL,O,O,X,X,X,O,X
TJLISZO,X,X,O,O,O,X,O
TJLISOZ,O,O,X,X,X,X,O
TJLIZSO,X,X,O,O,O,X,X
TJLIZOS,X,X,O,X,O,O,X
TJLIOSZ,O,O,X,X,X,O,X
TJLIOZS,O,O,X,X,X,O,X
TJLSIZO,X,X,O,O,O,X,O
TJLSIOZ,O,O,X,X,X,X,O
TJLSZIO,X,X,O,X,X,X,O
TJLSZOI,X,X,O,X,X,X,O
TJLSOIZ,O,O,X,X,X,X,O
TJLSOZI,O,O,X,X,X,X,O
TJLZISO,X,X,O,X,X,X,X
TJLZIOS,X,X,O,X,X,O,X
TJLZSIO,X,X,O,X,X,X,X
TJLZSOI,X,X,O,X,X,X,X
TJLZOIS,X,X,O,X,X,O,X
TJLZOSI,X,X,O,X,X,O,X
TJLOISZ,O,O,X,X,X,O,X
TJLOIZS,O,O,X,X,X,O,X
TJLOSIZ,O,O,X,X,X,O,X
TJLOSZI,O,O,X,X,X,O,X
TJLOZIS,O,O,X,X,X,O,X
TJLOZSI,O,O,X,X,X,O,X
TJSILZO,X,X,O,O,O,X,O
TJSILOZ,O,O,X,X,X,X,O
TJSIZLO,X,X,O,O,O,X,O
TJSIZOL,X,X,O,X,O,O,O
TJSIOLZ,O,O,X,X,X,O,O
TJSIOZL,O,O,X,X,X,O,O
TJSLIZO,X,X,O,O,O,X,O
TJSLIOZ,O,O,X,X,X,X,O
TJSLZIO,X,X,O,X,X,X,O
TJSLZOI,X,X,O,X,X,X,O
TJSLOIZ,O,O,X,X,X,X,O
TJSLOZI,O,O,X,X,X,X,O
TJSZILO,X,X,O,X,X,X,O
TJSZIOL,X,X,O,X,X,O,O
TJSZLIO,X,X,O,X,X,X,O
TJSZLOI,X,X,O,X,X,X,O
TJSZOIL,X,X,O,X,X,O,O
TJSZOLI,X,X,O,X,X,O,O
TJSOILZ,O,O,X,X,X,O,O
TJSOIZL,O,O,X,X,X,O,O
TJSOLIZ,O,O,X,X,X,O,O
TJSOLZI,O,O,X,X,X,O,O
TJSOZIL,O,O,X,X,X,O,O
TJSOZLI,O,O,X,X,X,O,O
TJZILSO,X,X,O,X,X,X,X
TJZILOS,X,X,O,X,X,O,X
TJZISLO,X,X,O,X,X,X,X
TJZISOL,X,X,O,X,X,O,X
TJZIOLS,X,X,O,X,X,O,X
TJZIOSL,X,X,O,X,X,O,X
TJZLISO,X,X,O,X,X,X,X
TJZLIOS,X,X,O,X,X,O,X
TJZLSIO,X,X,O,X,X,X,X
TJZLSOI,X,X,O,X,X,X,X
TJZLOIS,X,X,O,X,X,O,X
TJZLOSI,X,X,O,X,X,O,X
TJZSILO,X,X,O,X,X,X,X
TJZSIOL,X,X,O,X,X,O,X
TJZSLIO,X,X,O,X,X,X,X
TJZSLOI,X,X,O,X,X,X,X
TJZSOIL,X,X,O,X,X,O,X
TJZSOLI,X,X,O,X,X,O,X
TJZOILS,X,X,O,X,X,O,X
TJZOISL,X,X,O,X,X,O,X
TJZOLIS,X,X,O,X,X,O,X
TJZOLSI,X,X,O,X,X,O,X
TJZOSIL,X,X,O,X,X,O,X
TJZOSLI,X,X,O,X,X,O,X
TJOILSZ,O,O,X,X,X,O,X
TJOILZS,O,O,X,X,X,O,X
TJOISLZ,O,O,X,X,X,O,X
TJOISZL,O,O,X,X,X,O,X
TJOIZLS,O,O,X,X,X,O,X
TJOIZSL,O,O,X,X,X,O,X
TJOLISZ,O,O,X,X,X,O,X
TJOLIZS,O,O,X,X,X,O,X
TJOLSIZ,O,O,X,X,X,O,X
TJOLSZI,O,O,X,X,X,O,X
TJOLZIS,O,O,X,X,X,O,X
TJOLZSI,O,O,X,X,X,O,X
TJOSILZ,O,O,X,X,X,O,X
TJOSIZL,O,O,X,X,X,O,X
TJOSLIZ,O,O,X,X,X,O,X
TJOSLZI,O,O,X,X,X,O,X
TJOSZIL,O,O,X,X,X,O,X
TJOSZLI,O,O,X,X,X,O,X
TJOZILS,O,O,X,X,X,O,X
TJOZISL,O,O,X,X,X,O,X
TJOZLIS,O,O,X,X,X,O,X
TJOZLSI,O,O,X,X,X,O,X
TJOZSIL,O,O,X,X,X,O,X
TJOZSLI,O,O,X,X,X,O,X
TSILJZO,X,X,O,O,O,X,O
TSILJOZ,O,O,X,X,X,X,O
TSILZJO,X,X,O,O,O,X,O
TSILZOJ,X,X,O,X,O,X,O
TSILOJZ,O,O,X,X,X,X,O
TSILOZJ,O,O,X,X,X,X,O
TSIJLZO,X,X,O,O,O,X,O
TSIJLOZ,O,O,X,X,X,X,O
TSIJZLO,X,X,O,O,O,X,O
TSIJZOL,X,X,O,X,O,O,O
TSIJOLZ,O,O,X,X,X,O,O
TSIJOZL,O,O,X,X,X,O,O
TSIZLJO,X,X,O,O,O,X,O
TSIZLOJ,X,X,O,X,O,X,O
TSIZJLO,X,X,O,O,O,X,O
TSIZJOL,X,X,O,X,O,O,O
TSIZOLJ,X,X,O,X,O,O,O
TSIZOJL,X,X,O,X,O,O,O
TSIOLJZ,O,O,X,X,X,O,O
TSIOLZJ,O,O,X,X,X,O,O
TSIOJLZ,O,O,X,X,X,O,O
TSIOJZL,O,O,X,X,X,O,O
TSIOZLJ,O,O,X,X,X,O,O
TSIOZJL,O,O,X,X,X,O,O
TSLIJZO,X,X,O,O,O,X,O
TSLIJOZ,O,O,X,X,X,X,O
TSLIZJO,X,X,O,O,O,X,O
TSLIZOJ,X,X,O,X,O,X,O
TSLIOJZ,O,O,X,X,X,X,O
TSLIOZJ,O,O,X,X,X,X,O
TSLJIZO,X,X,O,O,O,X,O
TSLJIOZ,O,O,X,X,X,X,O
TSLJZIO,X,X,O,X,X,X,O
TSLJZOI,X,X,O,X,X,X,O
TSLJOIZ,O,O,X,X,X,X,O
TSLJOZI,O,O,X,X,X,X,O
TSLZIJO,X,X,O,X,X,X,O
TSLZIOJ,X,X,O,X,X,X,O
TSLZJIO,X,X,O,X,X,X,O
TSLZJOI,X,X,O,X,X,X,O
TSLZOIJ,X,X,O,X,X,X,O
TSLZOJI,X,X,O,X,X,X,O
TSLOIJZ,O,O,X,X,X,X,O
TSLOIZJ,O,O,X,X,X,X,O
TSLOJIZ,O,O,X,X,X,X,O
TSLOJZI,O,O,X,X,X,X,O
TSLOZIJ,O,O,X,X,X,X,O
TSLOZJI,O,O,X,X,X,X,O
TSJILZO,X,X,O,O,O,X,O
TSJILOZ,O,O,X,X,X,X,O
TSJIZLO,X,X,O,O,O,X,O
TSJIZOL,X,X,O,X,O,O,O
TSJIOLZ,O,O,X,X,X,O,O
TSJIOZL,O,O,X,X,X,O,O
TSJLIZO,X,X,O,O,O,X,O
TSJLIOZ,O,O,X,X,X,X,O
TSJLZIO,X,X,O,X,X,X,O
TSJLZOI,X,X,O,X,X,X,O
TSJLOIZ,O,O,X,X,X,X,O
TSJLOZI,O,O,X,X,X,X,O
TSJZILO,X,X,O,X,X,X,O
TSJZIOL,X,X,O,X,X,O,O
TSJZLIO,X,X,O,X,X,X,O
TSJZLOI,X,X,O,X,X,X,O
TSJZOIL,X,X,O,X,X,O,O
TSJZOLI,X,X,O,X,X,O,O
TSJOILZ,O,O,X,X,X,O,O
TSJOIZL,O,O,X,X,X,O,O
TSJOLIZ,O,O,X,X,X,O,O
TSJOLZI,O,O,X,X,X,O,O
TSJOZIL,O,O,X,X,X,O,O
TSJOZLI,O,O,X,X,X,O,O
TSZILJO,X,X,O,X,X,X,O
TSZILOJ,X,X,O,X,X,X,O
TSZIJLO,X,X,O,X,X,X,O
TSZIJOL,X,X,O,X,X,O,O
TSZIOLJ,X,X,O,X,X,O,O
TSZIOJL,X,X,O,X,X,O,O
TSZLIJO,X,X,O,X,X,X,O
TSZLIOJ,X,X,O,X,X,X,O
TSZLJIO,X,X,O,X,X,X,O
TSZLJOI,X,X,O,X,X,X,O
TSZLOIJ,X,X,O,X,X,X,O
TSZLOJI,X,X,O,X,X,X,O
TSZJILO,X,X,O,X,X,X,O
TSZJIOL,X,X,O,X,X,O,O
TSZJLIO,X,X,O,X,X,X,O
TSZJLOI,X,X,O,X,X,X,O
TSZJOIL,X,X,O,X,X,O,O
TSZJOLI,X,X,O,X,X,O,O
TSZOILJ,X,X,O,X,X,O,O
TSZOIJL,X,X,O,X,X,O,O
TSZOLIJ,X,X,O,X,X,O,O
TSZOLJI,X,X,O,X,X,O,O
TSZOJIL,X,X,O,X,X,O,O
TSZOJLI,X,X,O,X,X,O,O
TSOILJZ,O,O,X,X,X,O,O
TSOILZJ,O,O,X,X,X,O,O
TSOIJLZ,O,O,X,X,X,O,O
TSOIJZL,O,O,X,X,X,O,O
TSOIZLJ,O,O,X,X,X,O,O
TSOIZJL,O,O,X,X,X,O,O
TSOLIJZ,O,O,X,X,X,O,O
TSOLIZJ,O,O,X,X,X,O,O
TSOLJIZ,O,O,X,X,X,O,O
TSOLJZI,O,O,X,X,X,O,O
TSOLZIJ,O,O,X,X,X,O,O
TSOLZJI,O,O,X,X,X,O,O
TSOJILZ,O,O,X,X,X,O,O
TSOJIZL,O,O,X,X,X,O,O
TSOJLIZ,O,O,X,X,X,O,O
TSOJLZI,O,O,X,X,X,O,O
TSOJZIL,O,O,X,X,X,O,O
TSOJZLI,O,O,X,X,X,O,O
TSOZILJ,O,O,X,X,X,O,O
TSOZIJL,O,O,X,X,X,O,O
TSOZLIJ,O,O,X,X,X,O,O
TSOZLJI,O,O,X,X,X,O,O
TSOZJIL,O,O,X,X,X,O,O
TSOZJLI,O,O,X,X,X,O,O
TZILJSO,X,X,O,X,X,X,X
TZILJOS,X,X,O,X,X,O,X
TZILSJO,X,X,O,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X
TZILOJS,X,X,O,X,X,O,X
TZILOSJ,X,X,O,X,X,O,X
TZIJLSO,X,X,O,X,X,X,X
TZIJLOS,X,X,O,X,X,O,X
TZIJSLO,X,X,O,X,X,X,X
TZIJSOL,X,X,O,X,X,O,X
TZIJOLS,X,X,O,X,X,O,X
TZIJOSL,X,X,O,X,X,O,X
TZISLJO,X,X,O,X,X,X,X
TZISLOJ,X,X,O,X,X,X,X
TZISJLO,X,X,O,X,X,X,X
TZISJOL,X,X,O,X,X,O,X
TZISOLJ,X,X,O,X,X,O,X
TZISOJL,X,X,O,X,X,O,X
TZIOLJS,X,X,O,X,X,O,X
TZIOLSJ,X,X,O,X,X,O,X
TZIOJLS,X,X,O,X,X,O,X
TZIOJSL,X,X,O,X,X,O,X
TZIOSLJ,X,X,O,X,X,O,X
TZIOSJL,X,X,O,X,X,O,X
TZLIJSO,X,X,O,X,X,X,X
TZLIJOS,X,X,O,X,X,O,X
TZLISJO,X,X,O,X,X,X,X
TZLISOJ,X,X,O,X,X,X,X
TZLIOJS,X,X,O,X,X,O,X
TZLIOSJ,X,X,O,X,X,O,X
TZLJISO,X,X,O,X,X,X,X
TZLJIOS,X,X,O,X,X,O,X
TZLJSIO,X,X,O,X,X,X,X
TZLJSOI,X,X,O,X,X,X,X
TZLJOIS,X,X,O,X,X,O,X
TZLJOSI,X,X,O,X,X,O,X
TZLSIJO,X,X,O,X,X,X,X
TZLSIOJ,X,X,O,X,X,X,X
TZLSJIO,X,X,O,X,X,X,X
TZLSJOI,X,X,O,X,X,X,X
TZLSOIJ,X,X,O,X,X,X,X
TZLSOJI,X,X,O,X,X,X,X
TZLOIJS,X,X,O,X,X,O,X
TZLOISJ,X,X,O,X,X,O,X
TZLOJIS,X,X,O,X,X,O,X
TZLOJSI,X,X,O,X,X,O,X
TZLOSIJ,X,X,O,X,X,O,X
TZLOSJI,X,X,O,X,X,O,X
TZJILSO,X,X,O,X,X,X,X
TZJILOS,X,X,O,X,X,O,X
TZJISLO,X,X,O,X,X,X,X
TZJISOL,X,X,O,X,X,O,X
TZJIOLS,X,X,O,X,X,O,X
TZJIOSL,X,X,O,X,X,O,X
TZJLISO,X,X,O,X,X,X,X
TZJLIOS,X,X,O,X,X,O,X
TZJLSIO,X,X,O,X,X,X,X
TZJLSOI,X,X,O,X,X,X,X
TZJLOIS,X,X,O,X,X,O,X
TZJLOSI,X,X,O,X,X,O,X
TZJSILO,X,X,O,X,X,X,X
TZJSIOL,X,X,O,X,X,O,X
TZJSLIO,X,X,O,X,X,X,X
TZJSLOI,X,X,O,X,X,X,X
TZJSOIL,X,X,O,X,X,O,X
TZJSOLI,X,X,O,X,X,O,X
TZJOILS,X,X,O,X,X,O,X
TZJOISL,X,X,O,X,X,O,X
TZJOLIS,X,X,O,X,X,O,X
TZJOLSI,X,X,O,X,X,O,X
TZJOSIL,X,X,O,X,X,O,X
TZJOSLI,X,X,O,X,X,O,X
TZSILJO,X,X,O,X,X,X,X
TZSILOJ,X,X,O,X,X,X,X
TZSIJLO,X,X,O,X,X,X,X
TZSIJOL,X,X,O,X,X,O,X
TZSIOLJ,X,X,O,X,X,O,X
TZSIOJL,X,X,O,X,X,O,X
TZSLIJO,X,X,O,X,X,X,X
TZSLIOJ,X,X,O,X,X,X,X
TZSLJIO,X,X,O,X,X,X,X
TZSLJOI,X,X,O,X,X,X,X
TZSLOIJ,X,X,O,X,X,X,X
TZSLOJI,X,X,O,X,X,X,X
TZSJILO,X,X,O,X,X,X,X
TZSJIOL,X,X,O,X,X,O,X
TZSJLIO,X,X,O,X,X,X,X
TZSJLOI,X,X,O,X,X,X,X
TZSJOIL,X,X,O,X,X,O,X
TZSJOLI,X,X,O,X,X,O,X
TZSOILJ,X,X,O,X,X,O,X
TZSOIJL,X,X,O,X,X,O,X
TZSOLIJ,X,X,O,X,X,O,X
TZSOLJI,X,X,O,X,X,O,X
TZSOJIL,X,X,O,X,X,O,X
TZSOJLI,X,X,O,X,X,O,X
TZOILJS,X,X,O,X,X,O,X
TZOILSJ,X,X,O,X,X,O,X
TZOIJLS,X,X,O,X,X,O,X
TZOIJSL,X,X,O,X,X,O,X
TZOISLJ,X,X,O,X,X,O,X
TZOISJL,X,X,O,X,X,O,X
TZOLIJS,X,X,O,X,X,O,X
TZOLISJ,X,X,O,X,X,O,X
TZOLJIS,X,X,O,X,X,O,X
TZOLJSI,X,X,O,X,X,O,X
TZOLSIJ,X,X,O,X,X,O,X
TZOLSJI,X,X,O,X,X,O,X
TZOJILS,X,X,O,X,X,O,X
TZOJISL,X,X,O,X,X,O,X
TZOJLIS,X,X,O,X,X,O,X
TZOJLSI,X,X,O,X,X,O,X
TZOJSIL,X,X,O,X,X,O,X
TZOJSLI,X,X,O,X,X,O,X
TZOSILJ,X,X,O,X,X,O,X
TZOSIJL,X,X,O,X,X,O,X
TZOSLIJ,X,X,O,X,X,O,X
TZOSLJI,X,X,O,X,X,O,X
TZOSJIL,X,X,O,X,X,O,X
TZOSJLI,X,X,O,X,X,O,X
TOILJSZ,O,O,X,X,X,O,X
TOILJZS,O,O,X,X,X,O,X
TOILSJZ,O,O,X,X,X,O,X
TOILSZJ,O,O,X,X,X,O,X
TOILZJS,O,O,X,X,X,O,X
TOILZSJ,O,O,X,X,X,O,X
TOIJLSZ,O,O,X,X,X,O,X
TOIJLZS,O,O,X,X,X,O,X
TOIJSLZ,O,O,X,X,X,O,X
TOIJSZL,O,O,X,X,X,O,X
TOIJZLS,O,O,X,X,X,O,X
TOIJZSL,O,O,X,X,X,O,X
TOISLJZ,O,O,X,X,X,O,X
