sequence,v115@KhB8EeA8BeB8EeF8CeA8Je/EJvhFalBRhBFjBzmB+s?BctB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhBSnBTjB0kBFs?BXtB,v115@KhB8EeA8BeB8EeF8CeA8Jei/IvhFRhBGjBzkBfsBVt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBFjBfsBSt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBfsBlnBct?BCtB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhB0kBzmBStB3s?BFtB,v115@KhB8EeA8BeB8EeF8CeA8JeyEJvhFRhB+oBfsBlnB0k?BzsB
TSIZLOJ,O,O,X,X,X,X,X
TSIZJLO,O,O,O,X,O,X,X
TSIZJOL,O,O,O,X,O,X,X
TSIZOLJ,O,O,O,X,X,X,X
TSIZOJL,X,O,O,X,O,X,X
TSIOLJZ,O,O,O,X,X,X,X
TSIOLZJ,O,O,O,X,X,X,X
TSIOJLZ,O,O,O,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X
TSLIJZO,O,O,O,O,X,X,O
TSLIJOZ,X,O,O,O,X,X,O
TSLIZJO,O,O,O,O,X,X,X
TSLIZOJ,O,O,X,X,X,X,X
TSLIOJZ,O,O,O,O,X,X,X
TSLIOZJ,O,O,O,X,X,X,X
TSLJIZO,O,O,O,O,X,X,O
TSLJIOZ,X,O,O,O,X,X,O
TSLJZIO,O,O,O,O,X,X,O
TSLJZOI,O,O,X,O,X,X,O
TSLJOIZ,O,O,O,O,X,X,O
TSLJOZI,O,O,O,O,X,X,O
TSLZIJO,O,O,O,O,X,X,X
TSLZIOJ,O,O,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,X,O,X,X,X
TSLZOIJ,O,O,X,X,X,X,X
TSLZOJI,O,O,X,O,X,X,X
TSLOIJZ,O,O,O,O,X,X,X
TSLOIZJ,O,O,O,X,X,X,X
TSLOJIZ,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,X
TSLOZJI,O,O,O,O,X,X,X
TSJILZO,O,O,O,O,X,X,O
TSJILOZ,X,O,O,O,X,X,O
TSJIZLO,O,O,O,X,O,X,O
TSJIZOL,O,O,O,X,O,X,X
TSJIOLZ,X,O,O,O,X,X,O
TSJIOZL,X,O,O,X,O,X,X
TSJLIZO,O,O,O,O,X,X,O
TSJLIOZ,X,O,O,O,X,X,O
TSJLZIO,O,O,O,O,X,X,O
TSJLZOI,O,O,X,O,X,X,O
TSJLOIZ,O,O,O,O,X,X,O
TSJLOZI,O,O,O,O,X,X,O
TSJZILO,O,O,O,X,O,X,O
TSJZIOL,O,O,O,X,O,X,X
TSJZLIO,O,O,O,X,O,X,O
TSJZLOI,O,O,X,X,O,X,O
TSJZOIL,O,O,O,X,O,X,X
TSJZOLI,O,O,O,X,O,X,X
TSJOILZ,O,O,O,O,X,X,O
TSJOIZL,O,O,O,X,O,X,X
TSJOLIZ,O,O,O,O,X,X,O
TSJOLZI,O,O,O,O,X,X,O
TSJOZIL,O,O,O,X,O,X,X
TSJOZLI,O,O,O,X,O,X,X
TSZILJO,O,O,O,X,O,X,X
TSZILOJ,O,O,X,X,X,X,X
TSZIJLO,O,O,O,X,O,X,X
TSZIJOL,O,O,O,X,O,X,X
TSZIOLJ,O,O,O,X,X,X,X
TSZIOJL,X,O,O,X,O,X,X
TSZLIJO,O,O,O,X,O,X,X
TSZLIOJ,O,O,X,X,X,X,X
TSZLJIO,O,O,O,X,O,X,X
TSZLJOI,O,O,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,X,X
TSZLOJI,O,O,X,X,O,X,X
TSZJILO,O,O,O,X,O,X,X
TSZJIOL,O,O,O,X,O,X,X
TSZJLIO,O,O,O,X,O,X,X
TSZJLOI,O,O,X,X,O,X,X
TSZJOIL,O,O,O,X,O,X,X
TSZJOLI,O,O,O,X,O,X,X
TSZOILJ,O,O,O,X,X,X,X
TSZOIJL,O,O,O,X,O,X,X
TSZOLIJ,O,O,O,X,X,X,X
TSZOLJI,O,O,O,X,O,X,X
TSZOJIL,O,O,O,X,O,X,X
TSZOJLI,O,O,O,X,O,X,X
TSOILJZ,O,O,O,X,X,X,X
TSOILZJ,O,O,O,X,X,X,X
TSOIJLZ,O,O,O,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X
TSOLIJZ,O,O,O,O,X,X,X
TSOLIZJ,O,O,O,X,X,X,X
TSOLJIZ,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,X,X,X,X
TSOLZJI,O,O,O,O,X,X,X
TSOJILZ,O,O,O,O,X,X,X
TSOJIZL,O,O,O,X,O,X,X
TSOJLIZ,O,O,O,O,X,X,X
TSOJLZI,O,O,O,O,X,X,X
TSOJZIL,O,O,O,X,O,X,X
TSOJZLI,O,O,O,X,O,X,X
TSOZILJ,O,O,O,X,X,X,X
TSOZIJL,O,O,O,X,O,X,X
TSOZLIJ,O,O,O,X,X,X,X
TSOZLJI,O,O,O,X,O,X,X
TSOZJIL,O,O,O,X,O,X,X
TSOZJLI,O,O,O,X,O,X,X
TZILJSO,X,O,O,X,X,X,X
TZILJOS,X,O,O,X,X,X,X
TZILSJO,O,O,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X
TZILOJS,X,O,X,X,X,X,X
TZILOSJ,X,O,X,X,X,X,X
TZIJLSO,O,O,O,X,X,X,X
TZIJLOS,X,O,O,X,X,X,X
TZIJSLO,O,O,X,X,O,X,X
TZIJSOL,O,O,X,X,O,X,X
TZIJOLS,O,O,O,X,X,O,X
TZIJOSL,O,O,X,X,O,X,X
TZISLJO,O,O,X,X,O,X,X
TZISLOJ,O,O,X,X,X,X,X
TZISJLO,O,O,X,X,O,X,X
TZISJOL,O,O,X,X,O,X,X
TZISOLJ,O,O,X,X,X,X,X
TZISOJL,X,O,X,X,O,X,X
TZIOLJS,X,O,O,X,X,O,X
TZIOLSJ,X,O,X,X,X,O,X
TZIOJLS,X,O,O,X,X,O,X
TZIOJSL,X,O,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,X
TZIOSJL,X,O,X,X,X,X,X
TZLIJSO,X,O,O,X,X,X,X
TZLIJOS,X,O,O,X,X,X,X
TZLISJO,O,O,X,X,X,X,X
TZLISOJ,O,O,X,X,X,X,X
TZLIOJS,X,O,X,X,X,X,X
TZLIOSJ,X,O,X,X,X,X,X
TZLJISO,O,O,O,X,X,X,X
TZLJIOS,X,O,O,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,X,X,X,X,X
TZLJOIS,O,O,X,X,X,O,X
TZLJOSI,O,O,X,X,X,O,X
TZLSIJO,O,O,O,X,X,X,X
TZLSIOJ,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X
TZLOIJS,X,O,X,X,X,O,X
TZLOISJ,X,O,X,X,X,O,X
TZLOJIS,X,O,X,X,X,O,X
TZLOJSI,X,O,X,X,X,O,X
TZLOSIJ,X,O,X,X,X,O,X
TZLOSJI,X,O,X,X,X,O,X
TZJILSO,O,O,O,X,X,X,X
TZJILOS,X,O,O,X,X,X,X
TZJISLO,O,O,X,X,O,X,X
TZJISOL,O,O,X,X,O,X,X
TZJIOLS,O,O,O,X,X,O,X
TZJIOSL,O,O,X,X,O,X,X
TZJLISO,O,O,O,X,X,X,X
TZJLIOS,X,O,O,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,X,X,X,X,X
TZJLOIS,O,O,X,X,X,O,X
TZJLOSI,O,O,X,X,X,O,X
TZJSILO,O,O,O,X,O,X,X
TZJSIOL,O,O,O,X,O,X,X
TZJSLIO,O,O,O,X,O,X,X
TZJSLOI,O,O,X,X,O,X,X
TZJSOIL,O,O,O,X,O,X,X
TZJSOLI,O,O,O,X,O,X,X
TZJOILS,O,O,O,X,X,O,X
TZJOISL,O,O,X,X,O,X,X
TZJOLIS,O,O,O,X,X,O,X
TZJOLSI,O,O,O,X,X,O,X
TZJOSIL,O,O,O,X,O,X,X
TZJOSLI,O,O,O,X,O,X,X
TZSILJO,O,O,O,X,O,X,X
TZSILOJ,O,O,X,X,X,X,X
TZSIJLO,O,O,O,X,O,X,X
TZSIJOL,O,O,O,X,O,X,X
TZSIOLJ,O,O,O,X,X,X,X
TZSIOJL,X,O,O,X,O,X,X
TZSLIJO,O,O,O,X,O,X,X
TZSLIOJ,O,O,X,X,X,X,X
TZSLJIO,O,O,O,X,O,X,X
TZSLJOI,O,O,X,X,O,X,X
TZSLOIJ,O,O,X,X,X,X,X
TZSLOJI,O,O,X,X,O,X,X
TZSJILO,O,O,O,X,O,X,X
TZSJIOL,O,O,O,X,O,X,X
TZSJLIO,O,O,O,X,O,X,X
TZSJLOI,O,O,X,X,O,X,X
TZSJOIL,O,O,O,X,O,X,X
TZSJOLI,O,O,O,X,O,X,X
TZSOILJ,O,O,O,X,X,X,X
TZSOIJL,O,O,O,X,O,X,X
TZSOLIJ,O,O,O,X,X,X,X
TZSOLJI,O,O,O,X,O,X,X
TZSOJIL,O,O,O,X,O,X,X
TZSOJLI,O,O,O,X,O,X,X
TZOILJS,X,O,O,X,X,O,X
TZOILSJ,X,O,X,X,X,O,X
TZOIJLS,O,O,O,X,X,O,X
TZOIJSL,O,O,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X
TZOLIJS,X,O,O,X,X,O,X
TZOLISJ,X,O,X,X,X,O,X
TZOLJIS,X,O,O,X,X,O,X
TZOLJSI,X,O,O,X,X,O,X
TZOLSIJ,X,O,O,X,X,O,X
TZOLSJI,X,O,O,X,X,O,X
TZOJILS,O,O,O,X,X,O,X
TZOJISL,O,O,X,X,O,X,X
TZOJLIS,O,O,O,X,X,O,X
TZOJLSI,O,O,O,X,X,O,X
TZOJSIL,O,O,O,X,O,X,X
TZOJSLI,O,O,O,X,O,X,X
TZOSILJ,O,O,O,X,X,X,X
TZOSIJL,O,O,O,X,O,X,X
TZOSLIJ,O,O,O,X,X,X,X
TZOSLJI,O,O,O,X,O,X,X
TZOSJIL,O,O,O,X,O,X,X
TZOSJLI,O,O,O,X,O,X,X
TOILJSZ,X,X,O,X,X,X,X
TOILJZS,X,X,O,X,X,X,X
