sequence,v115@QhB8EeA8BeC8BeF8Jei/IvhFRhBFjBzkBGmB0nB3qB,v115@QhB8EeA8BeC8BeF8Jem/IvhFChBxiB0kBlmBznB3qB,v115@QhB8EeA8BeC8BeF8Je/EJvhFRgBumBFjBKqBzqB0sB,v115@QhB8EeA8BeC8BeF8JeT/IvhFigBumBFjB0nBRqB3qB
TIOSZJL,X,O,X,X
TIOZLJS,X,O,X,O
TIOZLSJ,X,O,X,O
TIOZJLS,X,O,X,O
TIOZJSL,X,O,X,O
TIOZSLJ,X,O,X,O
TIOZSJL,X,O,X,O
TLIJSZO,O,O,O,X
TLIJSOZ,O,X,O,O
TLIJZSO,O,O,X,X
TLIJZOS,O,O,X,O
TLIJOSZ,O,X,O,O
TLIJOZS,O,X,X,O
TLISJZO,O,O,O,X
TLISJOZ,O,X,O,O
TLISZJO,X,O,O,X
TLISZOJ,X,O,X,X
TLISOJZ,X,O,O,O
TLISOZJ,X,O,O,X
TLIZJSO,X,O,X,X
TLIZJOS,X,O,X,O
TLIZSJO,X,O,X,X
TLIZSOJ,X,O,X,X
TLIZOJS,X,O,X,O
TLIZOSJ,X,O,X,X
TLIOJSZ,O,O,O,O
TLIOJZS,O,O,X,O
TLIOSJZ,X,O,O,O
TLIOSZJ,X,O,O,X
TLIOZJS,X,O,X,O
TLIOZSJ,X,O,X,X
TLJISZO,O,O,O,X
TLJISOZ,O,X,O,O
TLJIZSO,O,O,X,X
TLJIZOS,O,O,X,O
TLJIOSZ,O,X,O,O
TLJIOZS,O,X,X,O
TLJSIZO,O,O,O,X
TLJSIOZ,O,X,O,X
TLJSZIO,O,O,O,X
TLJSZOI,X,O,O,X
TLJSOIZ,O,O,O,X
TLJSOZI,O,O,O,X
TLJZISO,O,O,O,X
TLJZIOS,O,O,O,X
TLJZSIO,O,O,O,X
TLJZSOI,X,O,O,X
TLJZOIS,O,O,O,X
TLJZOSI,X,O,O,X
TLJOISZ,O,O,O,O
TLJOIZS,O,O,X,O
TLJOSIZ,O,O,O,X
TLJOSZI,X,O,O,X
TLJOZIS,O,O,O,X
TLJOZSI,X,O,O,X
TLSIJZO,O,O,O,X
TLSIJOZ,O,X,O,X
TLSIZJO,X,O,O,X
TLSIZOJ,X,O,O,X
TLSIOJZ,X,O,O,X
TLSIOZJ,X,O,O,X
TLSJIZO,O,O,O,X
TLSJIOZ,O,X,O,X
TLSJZIO,O,O,O,X
TLSJZOI,O,O,O,X
TLSJOIZ,O,O,O,X
TLSJOZI,O,O,O,X
TLSZIJO,O,O,O,X
TLSZIOJ,O,O,O,X
TLSZJIO,O,O,O,X
TLSZJOI,O,O,O,X
TLSZOIJ,O,O,O,X
TLSZOJI,O,O,O,X
TLSOIJZ,O,O,O,X
TLSOIZJ,X,O,O,X
TLSOJIZ,O,O,O,X
TLSOJZI,O,O,O,X
TLSOZIJ,X,O,O,X
TLSOZJI,O,O,O,X
TLZIJSO,O,O,O,X
TLZIJOS,O,O,O,X
TLZISJO,O,O,O,X
TLZISOJ,O,O,O,X
TLZIOJS,O,O,O,X
TLZIOSJ,O,O,O,X
TLZJISO,O,O,O,X
TLZJIOS,O,O,O,X
TLZJSIO,O,O,O,X
TLZJSOI,O,O,O,X
TLZJOIS,O,O,O,X
TLZJOSI,O,O,O,X
TLZSIJO,O,O,O,X
TLZSIOJ,O,O,O,X
TLZSJIO,O,O,O,X
TLZSJOI,O,O,O,X
TLZSOIJ,O,O,O,X
TLZSOJI,O,O,O,X
TLZOIJS,O,O,O,X
TLZOISJ,O,O,O,X
TLZOJIS,O,O,O,X
TLZOJSI,O,O,O,X
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,O,X
TLOIJSZ,O,O,O,O
TLOIJZS,O,O,X,O
TLOISJZ,X,O,O,O
TLOISZJ,X,O,O,X
TLOIZJS,X,O,X,O
TLOIZSJ,X,O,X,X
TLOJISZ,O,O,O,O
TLOJIZS,O,O,X,O
TLOJSIZ,O,O,O,X
TLOJSZI,X,O,O,X
TLOJZIS,O,O,O,X
TLOJZSI,O,O,O,X
TLOSIJZ,X,O,O,X
TLOSIZJ,X,O,O,X
TLOSJIZ,O,O,O,X
TLOSJZI,X,O,O,X
TLOSZIJ,X,O,O,X
TLOSZJI,X,O,O,X
TLOZIJS,O,O,O,X
TLOZISJ,O,O,O,X
TLOZJIS,O,O,O,X
TLOZJSI,O,O,O,X
TLOZSIJ,O,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,O,O,X
TJILSOZ,O,X,O,O
TJILZSO,O,O,X,O
TJILZOS,O,O,X,O
TJILOSZ,O,X,O,O
TJILOZS,O,X,X,O
TJISLZO,O,O,O,X
TJISLOZ,O,X,O,O
TJISZLO,O,O,O,X
TJISZOL,O,O,O,X
TJISOLZ,O,X,O,O
TJISOZL,O,X,O,X
TJIZLSO,O,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,O,O,X,O
TJIZSOL,O,O,X,O
TJIZOLS,O,O,X,O
TJIZOSL,O,X,X,O
TJIOLSZ,O,X,O,O
TJIOLZS,O,X,X,O
TJIOSLZ,O,X,X,O
TJIOSZL,O,X,X,X
TJIOZLS,O,X,X,O
TJIOZSL,O,X,X,O
TJLISZO,O,O,O,X
TJLISOZ,O,X,O,O
TJLIZSO,O,O,X,X
TJLIZOS,O,O,X,O
TJLIOSZ,O,X,O,O
TJLIOZS,O,X,X,O
TJLSIZO,O,O,O,X
TJLSIOZ,O,X,O,X
TJLSZIO,O,O,O,X
TJLSZOI,X,O,O,X
TJLSOIZ,O,O,O,X
TJLSOZI,O,O,O,X
TJLZISO,O,O,O,X
TJLZIOS,O,O,O,X
TJLZSIO,O,O,O,X
TJLZSOI,X,O,O,X
TJLZOIS,O,O,O,X
TJLZOSI,X,O,O,X
TJLOISZ,O,O,O,O
TJLOIZS,O,O,X,O
TJLOSIZ,O,O,O,X
TJLOSZI,X,O,O,X
TJLOZIS,O,O,O,X
TJLOZSI,X,O,O,X
TJSILZO,O,O,O,X
TJSILOZ,O,X,O,O
TJSIZLO,O,O,O,X
TJSIZOL,O,O,O,X
TJSIOLZ,O,X,O,O
TJSIOZL,O,X,O,X
TJSLIZO,O,O,O,X
TJSLIOZ,O,X,O,X
TJSLZIO,O,O,O,X
TJSLZOI,O,O,O,X
TJSLOIZ,O,O,O,X
TJSLOZI,O,O,O,X
TJSZILO,O,O,O,X
TJSZIOL,O,O,O,X
