sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB
TISZJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
TISZOLJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TISZOJL,O,X,X,O,X,X,X,X,X,O,O,X,X
TISOLJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TISOLZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X,O,X,X,X
TISOZLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TISOZJL,O,X,X,O,X,X,X,X,X,O,O,X,X
TIZLJSO,X,X,O,O,O,X,O,X,X,X,O,O,X
TIZLJOS,X,X,O,O,O,X,O,X,X,X,O,O,X
TIZLSJO,X,O,O,O,O,X,O,X,X,X,O,O,X
TIZLSOJ,X,O,O,O,O,X,O,X,X,X,O,X,X
TIZLOJS,X,X,X,X,O,X,O,X,X,X,O,O,X
TIZLOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJLSO,X,O,O,O,O,X,O,X,X,X,O,O,X
TIZJLOS,X,X,O,O,O,X,O,X,X,X,O,O,X
TIZJSLO,X,O,O,O,X,X,O,X,X,O,O,O,X
TIZJSOL,X,O,O,O,X,X,O,X,X,O,O,X,X
TIZJOLS,X,X,O,O,O,X,O,X,X,X,O,O,X
TIZJOSL,X,O,O,O,X,X,O,X,X,O,O,X,X
TIZSLJO,X,O,O,O,X,X,O,X,X,O,O,O,X
TIZSLOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TIZSJLO,X,O,O,O,X,X,O,X,X,O,O,O,X
TIZSJOL,X,O,O,O,X,X,O,X,X,O,O,X,X
TIZSOLJ,X,O,O,O,X,X,O,X,X,O,O,X,X
TIZSOJL,X,X,O,O,X,X,X,X,X,O,O,X,X
TIZOLJS,X,X,O,X,O,X,O,X,X,X,O,O,X
TIZOLSJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TIZOJLS,X,X,O,X,O,X,O,X,X,X,O,O,X
TIZOJSL,X,X,O,X,X,X,O,X,X,O,O,X,X
TIZOSLJ,X,O,O,X,X,X,X,X,X,O,O,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,O,O,X,X
TIOLJSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
TIOLJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TIOLSJZ,X,X,O,X,O,O,X,O,O,O,X,X,O
TIOLSZJ,O,X,O,X,O,X,X,O,X,O,O,O,O
TIOLZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TIOLZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
TIOJLSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
TIOJLZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TIOJSLZ,O,O,O,X,X,O,O,O,X,O,X,X,O
TIOJSZL,O,O,O,X,X,O,O,X,X,O,X,X,O
TIOJZLS,O,O,O,X,O,O,O,O,O,X,O,O,X
TIOJZSL,O,O,O,X,X,O,O,X,O,O,O,O,X
TIOSLJZ,X,O,O,X,X,O,X,X,X,O,X,X,O
TIOSLZJ,O,O,O,X,X,X,X,X,X,O,O,O,O
TIOSJLZ,X,O,O,X,X,O,O,X,X,O,X,X,O
TIOSJZL,X,O,O,X,X,O,O,X,X,O,X,X,O
TIOSZLJ,O,O,O,X,X,X,X,X,X,O,O,O,O
TIOSZJL,X,O,X,X,X,X,X,X,X,O,O,O,O
TIOZLJS,O,X,X,X,O,X,O,X,X,X,O,O,X
TIOZLSJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TIOZJLS,O,O,X,X,O,X,O,X,X,X,O,O,X
TIOZJSL,O,O,X,X,X,X,O,X,X,O,O,O,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,O,O,O,X
TIOZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
TLIJSZO,O,O,O,O,X,X,O,O,O,O,X,X,X
TLIJSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLIJZSO,O,X,O,O,O,X,O,O,O,X,O,O,X
TLIJZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TLIJOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLIJOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
TLISJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
TLISJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
TLISZJO,O,O,X,O,O,X,X,O,X,O,O,O,X
TLISZOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
TLISOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
TLISOZJ,O,X,X,O,O,X,X,O,X,O,O,X,X
TLIZJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
TLIZJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
TLIZSJO,X,X,O,O,O,X,O,X,X,X,O,O,X
TLIZSOJ,X,X,O,O,O,X,O,X,X,X,O,X,X
TLIZOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
TLIZOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIOJSZ,O,X,O,X,O,O,O,O,O,O,X,X,X
TLIOJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TLIOSJZ,X,X,O,X,O,O,X,O,O,O,X,X,X
TLIOSZJ,O,X,O,X,O,X,X,O,X,O,O,O,X
TLIOZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TLIOZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
TLJISZO,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJISOZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJIZSO,O,O,O,O,O,X,O,O,O,X,X,O,X
TLJIZOS,O,X,O,O,O,O,O,O,O,X,X,O,X
TLJIOSZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJIOZS,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJSIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TLJSIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLJSZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJSZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJSOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TLJZISO,O,O,O,O,O,X,O,O,O,X,O,O,X
TLJZIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TLJZSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TLJZSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TLJZOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TLJZOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
TLJOISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
TLJOIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
TLJOSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TLJOSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLJOZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TLJOZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TLSIJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
TLSIJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
TLSIZJO,O,O,X,O,O,X,X,O,X,O,X,O,X
TLSIZOJ,O,O,X,O,O,X,X,O,X,O,X,X,X
TLSIOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
TLSIOZJ,O,X,X,O,O,X,X,O,X,O,X,X,X
TLSJIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TLSJIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLSJZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TLSJZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TLSJOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLSJOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TLSZIJO,O,O,O,O,O,X,O,O,X,O,X,O,X
TLSZIOJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TLSZJIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TLSZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TLSZOJI,O,O,O,O,O,O,O,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,O,O,X,O,O,O,X,X,X
TLSOIZJ,O,X,O,O,O,X,X,O,X,O,X,O,X
TLSOJIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,O,X,O,X,O,X
TLSOZJI,O,O,O,O,O,O,O,O,X,X,X,O,X
TLZIJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
TLZIJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
TLZISJO,X,O,O,O,O,X,O,X,X,X,O,O,X
TLZISOJ,X,O,O,O,O,X,O,X,X,X,O,X,X
TLZIOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
TLZIOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZJISO,O,O,O,O,O,X,O,O,O,X,O,O,X
TLZJIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TLZJSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TLZJSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TLZJOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TLZJOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
TLZSIJO,O,O,O,O,O,X,O,O,X,O,X,O,X
TLZSIOJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TLZSJIO,O,O,O,O,O,O,O,O,X,X,X,O,X
TLZSJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X
TLZSOJI,O,O,O,O,O,O,O,O,X,X,X,X,X
TLZOIJS,O,X,O,X,O,X,O,X,O,X,O,O,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X,O,O,X
TLZOJIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TLZOJSI,O,X,O,O,O,O,O,O,O,X,X,O,X
TLZOSIJ,O,X,O,O,O,X,O,O,X,O,X,O,X
TLZOSJI,O,X,O,O,O,O,O,O,X,X,X,O,X
TLOIJSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
TLOIJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TLOISJZ,X,X,O,X,O,O,X,O,O,O,X,X,O
TLOISZJ,O,X,O,X,O,X,X,O,X,O,O,O,O
TLOIZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TLOIZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
TLOJISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
TLOJIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
TLOJSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TLOJSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLOJZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TLOJZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TLOSIJZ,O,O,O,X,O,O,X,O,O,O,X,X,O
TLOSIZJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TLOSJIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TLOSJZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TLOSZIJ,O,O,O,O,O,X,X,O,X,O,X,O,O
TLOSZJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TLOZIJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TLOZISJ,O,O,X,X,O,X,X,X,X,X,O,O,X
TLOZJIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TLOZJSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TLOZSIJ,O,O,O,O,O,X,O,O,X,O,X,O,O
TLOZSJI,O,O,O,O,O,O,O,O,X,X,X,O,O
TJILSZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TJILSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TJILZSO,O,O,O,O,X,X,O,O,O,X,O,O,X
TJILZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJILOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TJILOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
TJISLZO,O,O,O,O,X,O,O,O,X,O,X,X,X
TJISLOZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TJISZLO,O,O,O,O,X,O,O,X,X,O,X,X,X
TJISZOL,O,O,O,O,X,O,X,X,X,O,X,X,X
TJISOLZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TJISOZL,O,X,O,O,X,O,O,X,X,O,X,X,X
TJIZLSO,O,O,O,O,O,X,O,O,O,X,O,O,X
TJIZLOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJIZSLO,O,O,O,O,X,O,O,X,X,O,O,O,X
TJIZSOL,O,O,O,O,X,O,O,X,O,O,O,X,X
TJIZOLS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJIZOSL,O,O,O,O,X,O,O,X,O,O,O,X,X
TJIOLSZ,O,X,O,O,O,O,O,O,O,O,X,X,O
TJIOLZS,O,X,O,O,O,O,O,O,O,X,O,X,X
TJIOSLZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TJIOSZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TJIOZLS,O,O,O,O,O,O,O,O,O,X,O,X,X
TJIOZSL,O,O,O,O,X,O,O,X,O,O,O,X,X
TJLISZO,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLISOZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLIZSO,O,O,O,O,O,X,O,O,O,X,X,O,X
TJLIZOS,O,X,O,O,O,O,O,O,O,X,X,O,X
TJLIOSZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLIOZS,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLSIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TJLSIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TJLSZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLSZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TJLSOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TJLSOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TJLZISO,O,O,O,O,O,X,O,O,O,X,O,O,X
TJLZIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJLZSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TJLZSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TJLZOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJLZOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
TJLOISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
TJLOIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
TJLOSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TJLOSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJLOZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJLOZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TJSILZO,O,O,O,O,X,O,O,O,X,O,X,X,X
TJSILOZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TJSIZLO,O,O,O,O,X,O,O,X,X,O,X,X,X
TJSIZOL,O,O,O,O,X,O,X,X,X,O,X,X,X
TJSIOLZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TJSIOZL,O,X,O,O,X,O,O,X,X,O,X,X,X
TJSLIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TJSLIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TJSLZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
TJSLZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
TJSLOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TJSLOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
TJSZILO,O,O,O,O,X,O,O,X,X,X,O,X,X
TJSZIOL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJSZLIO,O,O,O,O,O,O,O,X,O,X,X,X,X
TJSZLOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TJSZOIL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJSZOLI,O,O,O,O,O,O,O,X,O,X,X,X,X
TJSOILZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TJSOIZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TJSOLIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TJSOLZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJSOZIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TJSOZLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJZILSO,O,O,O,O,O,X,O,O,O,X,O,O,X
TJZILOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJZISLO,O,O,O,O,X,O,O,X,X,X,O,O,X
TJZISOL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJZIOLS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJZIOSL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJZLISO,O,O,O,O,O,X,O,O,O,X,O,O,X
TJZLIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJZLSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
TJZLSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
TJZLOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJZLOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
TJZSILO,O,O,O,O,X,O,O,X,X,X,O,O,X
TJZSIOL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJZSLIO,O,O,O,O,O,O,O,X,O,X,X,O,X
TJZSLOI,O,O,O,O,O,O,O,X,O,X,X,X,X
TJZSOIL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X,O,X,X,X,X
TJZOILS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJZOISL,O,O,O,O,X,O,O,X,O,X,O,X,X
TJZOLIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJZOLSI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJZOSIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TJZOSLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJOILSZ,O,X,O,O,O,O,O,O,O,O,X,X,O
TJOILZS,O,X,O,O,O,O,O,O,O,X,O,O,X
TJOISLZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TJOISZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TJOIZLS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJOIZSL,O,O,O,O,X,O,O,X,O,O,O,O,X
TJOLISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
TJOLIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
TJOLSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TJOLSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJOLZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJOLZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TJOSILZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TJOSIZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TJOSLIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
TJOSLZI,O,O,O,O,O,O,O,O,O,X,X,X,O
TJOSZIL,O,O,O,O,X,O,O,X,O,X,O,X,O
TJOSZLI,O,O,O,O,O,O,O,X,O,X,X,X,O
TJOZILS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJOZISL,O,O,O,O,X,O,O,X,O,X,O,O,X
TJOZLIS,O,O,O,O,O,O,O,O,O,X,O,O,X
TJOZLSI,O,O,O,O,O,O,O,O,O,X,X,O,O
TJOZSIL,O,O,O,O,X,O,O,X,O,X,O,O,O
TJOZSLI,O,O,O,O,O,O,O,X,O,X,X,O,O
TSILJZO,O,O,X,O,X,O,X,X,X,O,X,X,X
TSILJOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TSILZJO,O,O,X,O,X,X,X,X,X,O,O,O,X
TSILZOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TSILOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TSILOZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TSIJLZO,O,O,X,O,X,O,X,X,X,O,X,X,X
TSIJLOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TSIJZLO,O,O,X,O,X,O,X,X,X,O,X,X,X
