sequence,v115@vhGZEJXhB8mBzkB+tBSvB2wB,v115@vhG5DJ2kBaoB3lBTpB0rBWyB,v115@vhGSDJZkBupB3lBToB0rBWyB,v115@vhG+/I5jBaoB/qBUmBTpBWyB,v115@vhG/CJTjBxkBipBUrB2xBGtB,v115@vhG/CJOoBxkB+tBipBUrBTsB,v115@vhGT5IOoBKpBUmB/sB+tBRwB,v115@vhGT5I5oBOpB8pBCmBXnB2wB,v115@vhGT5I5oBOpB8pBfrB6rBOsB,v115@vhGaGJ8mB5oB/pBznBWwB2xB,v115@vhG3/I6oBRnBTpB2vBmrBUtB
TJOISLZ,X,X,X,X,X,X,O,X,X,O,X
TJOISZL,X,X,X,X,X,X,O,X,X,O,X
TJOIZLS,X,X,O,X,X,X,O,X,X,O,X
TJOIZSL,X,X,O,X,X,X,O,X,X,O,X
TJOLISZ,X,X,X,X,O,O,O,X,X,O,X
TJOLIZS,X,X,O,X,O,O,O,X,X,O,X
TJOLSIZ,X,X,X,X,O,O,O,X,X,O,X
TJOLSZI,X,X,X,X,O,O,X,X,X,O,X
TJOLZIS,X,X,O,X,O,O,X,X,X,O,X
TJOLZSI,X,X,O,X,O,O,X,X,X,O,X
TJOSILZ,X,X,X,X,X,X,O,X,X,O,X
TJOSIZL,X,X,X,X,X,X,O,X,X,O,X
TJOSLIZ,X,X,X,X,O,O,O,X,X,O,X
TJOSLZI,X,X,X,X,O,O,X,X,X,O,X
TJOSZIL,X,X,X,X,X,X,X,X,X,O,O
TJOSZLI,X,X,X,X,O,O,X,X,X,O,O
TJOZILS,X,X,O,X,X,X,X,X,X,O,O
TJOZISL,X,X,O,X,X,X,X,X,X,O,O
TJOZLIS,X,X,O,X,O,O,X,X,X,O,O
TJOZLSI,X,X,O,X,O,O,X,X,X,O,O
TJOZSIL,X,X,O,X,X,X,X,X,X,O,O
TJOZSLI,X,X,O,X,O,O,X,X,X,O,O
TSILJZO,O,X,X,X,X,X,O,X,X,O,X
TSILJOZ,O,X,X,X,X,X,O,X,X,O,X
TSILZJO,O,X,X,X,X,X,O,O,O,O,X
TSILZOJ,O,X,X,O,X,X,X,O,O,X,X
TSILOJZ,O,X,X,O,X,X,X,X,X,X,X
TSILOZJ,O,X,X,O,X,X,X,O,O,X,X
TSIJLZO,O,X,X,X,X,X,O,X,X,O,X
TSIJLOZ,O,X,X,X,X,X,O,X,X,O,X
TSIJZLO,O,X,X,X,X,X,O,O,X,O,X
TSIJZOL,X,X,X,X,X,X,O,O,X,O,X
TSIJOLZ,X,X,X,X,X,X,O,X,X,O,X
TSIJOZL,X,X,X,X,X,X,O,O,X,O,X
TSIZLJO,O,X,X,X,X,X,O,O,O,O,X
TSIZLOJ,O,X,X,O,X,X,X,O,O,X,X
TSIZJLO,O,X,X,X,X,X,O,O,O,O,X
TSIZJOL,X,X,X,X,X,X,O,O,O,O,X
TSIZOLJ,X,X,X,O,X,X,X,O,O,X,X
TSIZOJL,X,X,X,O,X,X,X,O,O,O,X
TSIOLJZ,X,X,X,O,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,O,X,X,X,O,O,X,X
TSIOJLZ,X,X,X,O,X,X,X,X,X,O,X
TSIOJZL,X,X,X,O,X,X,X,O,X,O,X
TSIOZLJ,X,X,X,O,X,X,X,O,O,X,X
TSIOZJL,X,X,X,O,X,X,X,O,O,O,X
TSLIJZO,O,X,X,X,O,X,O,X,X,O,X
TSLIJOZ,O,X,X,X,O,X,O,X,X,O,X
TSLIZJO,O,X,X,X,X,X,O,O,O,O,X
TSLIZOJ,O,X,X,O,X,X,X,O,O,X,X
TSLIOJZ,O,X,X,O,O,X,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,X,X,O,O,X,X
TSLJIZO,O,X,X,X,O,X,O,X,X,O,X
TSLJIOZ,O,X,X,X,O,X,O,X,X,O,X
TSLJZIO,O,X,X,X,O,X,X,X,X,O,X
TSLJZOI,O,X,X,X,O,X,X,X,X,O,X
TSLJOIZ,O,X,X,X,O,X,O,X,X,O,X
TSLJOZI,O,X,X,X,O,X,X,X,X,O,X
TSLZIJO,O,X,X,X,X,X,X,O,O,O,X
TSLZIOJ,O,X,X,O,X,X,X,O,O,X,X
TSLZJIO,O,X,X,X,X,X,X,O,O,O,X
TSLZJOI,O,X,X,X,X,X,X,X,X,O,X
TSLZOIJ,O,X,X,O,X,X,X,X,X,X,X
TSLZOJI,O,X,X,O,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,O,O,X,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,O,O,X,X,X,X,X,X
TSLOJZI,O,X,X,O,O,X,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,X,X,X,X,X,X
TSLOZJI,O,X,X,O,X,X,X,X,X,X,X
TSJILZO,O,X,X,X,X,X,O,X,X,O,X
TSJILOZ,O,X,X,X,X,X,O,X,X,O,X
TSJIZLO,O,X,X,X,X,X,O,O,X,O,X
TSJIZOL,X,X,X,X,X,X,O,O,X,O,X
TSJIOLZ,X,X,X,X,X,X,O,X,X,O,X
TSJIOZL,X,X,X,X,X,X,O,O,X,O,X
TSJLIZO,O,X,X,X,O,X,O,X,X,O,X
TSJLIOZ,O,X,X,X,O,X,O,X,X,O,X
TSJLZIO,O,X,X,X,O,X,X,X,X,O,X
TSJLZOI,O,X,X,X,O,X,X,X,X,O,X
TSJLOIZ,O,X,X,X,O,X,O,X,X,O,X
TSJLOZI,O,X,X,X,O,X,X,X,X,O,X
TSJZILO,O,X,X,X,X,X,X,O,X,O,X
TSJZIOL,X,X,X,X,X,X,X,O,X,O,X
TSJZLIO,O,X,X,X,O,X,X,O,X,O,X
TSJZLOI,O,X,X,X,O,X,X,X,X,O,X
TSJZOIL,X,X,X,X,X,X,X,X,X,O,X
TSJZOLI,X,X,X,X,O,X,X,X,X,O,X
TSJOILZ,X,X,X,X,X,X,O,X,X,O,X
TSJOIZL,X,X,X,X,X,X,O,X,X,O,X
TSJOLIZ,X,X,X,X,O,X,O,X,X,O,X
TSJOLZI,X,X,X,X,O,X,X,X,X,O,X
TSJOZIL,X,X,X,X,X,X,X,X,X,O,X
TSJOZLI,X,X,X,X,O,X,X,X,X,O,X
TSZILJO,O,X,X,X,X,X,X,O,O,O,X
TSZILOJ,O,X,X,O,X,X,X,O,O,X,X
TSZIJLO,O,X,X,X,X,X,X,O,O,O,X
TSZIJOL,X,X,X,X,X,X,X,O,O,O,X
TSZIOLJ,X,X,X,O,X,X,X,O,O,X,X
TSZIOJL,X,X,X,O,X,X,X,O,O,O,X
TSZLIJO,O,X,X,X,X,X,X,O,O,O,X
TSZLIOJ,O,X,X,O,X,X,X,O,O,X,X
