sequence,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBunBcoB/pBKqBzqB,v115@MhB8HeB8BeB8CeF8JeT/IvhF2lBRhBCjBXoB0pBlqB,v115@MhB8HeB8BeB8CeF8Jei/IvhFRhBGjB1pB8qBznBXqB,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBqnBTjB2pB8qBXqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFqnBTjB/pBFlB8qBmpB,v115@MhB8HeB8BeB8CeF8JeRBJvhFCjB2pBzlBXoBUqBlpB,v115@MhB8HeB8BeB8CeF8JeKEJvhFRhBWoBFlB8qBXoBzpB
TOILZSJ,O,X,O,X,X,X,X
TOIJLSZ,X,X,O,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X
TOIJSLZ,X,O,O,X,X,O,X
TOIJSZL,X,O,X,X,X,O,X
TOIJZLS,X,O,O,X,X,X,X
TOIJZSL,X,O,O,X,X,X,X
TOISLJZ,O,O,O,X,X,O,X
TOISLZJ,O,O,X,X,X,X,X
TOISJLZ,X,O,O,X,X,O,X
TOISJZL,X,O,X,X,X,O,X
TOISZLJ,O,O,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X
TOIZLJS,O,O,O,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X
TOIZJSL,O,O,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X
TOLIJSZ,X,X,O,O,X,X,X
TOLIJZS,X,X,O,O,X,X,X
TOLISJZ,O,X,O,X,X,X,X
TOLISZJ,O,X,X,X,O,X,X
TOLIZJS,O,X,O,O,X,X,X
TOLIZSJ,O,X,O,X,O,X,X
TOLJISZ,X,X,O,O,X,X,X
TOLJIZS,X,X,O,O,X,X,X
TOLJSIZ,X,X,O,O,X,X,X
TOLJSZI,X,X,O,O,X,X,X
TOLJZIS,X,X,O,O,X,X,X
TOLJZSI,X,X,O,O,X,X,X
TOLSIJZ,O,X,O,X,X,X,X
TOLSIZJ,O,X,X,X,O,X,X
TOLSJIZ,O,X,O,X,X,X,X
TOLSJZI,O,X,O,X,X,X,X
TOLSZIJ,O,X,O,X,O,X,X
TOLSZJI,O,X,O,X,O,X,X
TOLZIJS,O,X,O,O,X,X,X
TOLZISJ,O,X,O,X,O,X,X
TOLZJIS,O,X,O,O,X,X,X
TOLZJSI,O,X,O,O,X,X,X
TOLZSIJ,O,X,O,X,O,X,X
TOLZSJI,O,X,O,X,O,X,X
TOJILSZ,X,X,O,O,X,X,X
TOJILZS,X,X,O,O,X,X,X
TOJISLZ,X,O,O,X,X,O,X
TOJISZL,X,O,X,X,X,O,X
TOJIZLS,X,O,O,O,X,X,X
TOJIZSL,X,O,O,X,X,X,X
TOJLISZ,X,X,O,O,X,X,X
TOJLIZS,X,X,O,O,X,X,X
TOJLSIZ,X,X,O,O,X,X,X
TOJLSZI,X,X,O,O,X,X,X
TOJLZIS,X,X,O,O,X,X,X
TOJLZSI,X,X,O,O,X,X,X
TOJSILZ,X,O,O,X,X,O,X
TOJSIZL,X,O,X,X,X,O,X
TOJSLIZ,X,O,O,O,X,O,X
TOJSLZI,X,O,O,O,X,O,X
TOJSZIL,X,O,O,X,X,O,X
TOJSZLI,X,O,O,O,X,O,X
TOJZILS,X,O,O,O,X,X,X
TOJZISL,X,O,O,X,X,X,X
TOJZLIS,X,O,O,O,X,X,X
TOJZLSI,X,O,O,O,X,X,X
TOJZSIL,X,O,O,X,X,X,X
TOJZSLI,X,O,O,O,X,X,X
TOSILJZ,O,O,O,X,X,O,X
TOSILZJ,O,O,X,X,X,X,X
TOSIJLZ,X,O,O,X,X,O,X
TOSIJZL,X,O,X,X,X,O,X
TOSIZLJ,O,O,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X
TOSLIJZ,O,O,O,X,X,O,X
TOSLIZJ,O,O,X,X,O,X,X
TOSLJIZ,O,O,O,X,X,O,X
TOSLJZI,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,X,O,X,X
TOSLZJI,O,O,O,X,O,X,X
TOSJILZ,X,O,O,X,X,O,X
TOSJIZL,X,O,X,X,X,O,X
TOSJLIZ,X,O,O,X,X,O,X
TOSJLZI,X,O,O,X,X,O,X
TOSJZIL,X,O,O,X,X,O,X
TOSJZLI,X,O,O,X,X,O,X
TOSZILJ,O,O,O,X,O,X,X
TOSZIJL,O,O,O,X,X,X,X
TOSZLIJ,O,O,O,X,O,X,X
TOSZLJI,O,O,O,X,O,X,X
TOSZJIL,O,O,O,X,X,X,X
TOSZJLI,O,O,O,X,O,X,X
TOZILJS,O,O,O,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X
TOZIJSL,O,O,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X
TOZISJL,O,O,O,X,X,X,X
TOZLIJS,O,O,O,O,X,X,X
TOZLISJ,O,O,O,X,O,X,X
TOZLJIS,O,O,O,O,X,X,X
TOZLJSI,O,O,O,O,X,X,X
TOZLSIJ,O,O,O,X,O,X,X
TOZLSJI,O,O,O,X,O,X,X
TOZJILS,O,O,O,O,X,X,X
TOZJISL,O,O,O,X,X,X,X
TOZJLIS,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,X,X,X
TOZJSIL,O,O,O,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X
TOZSILJ,O,O,O,X,O,X,X
TOZSIJL,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,X,O,X,X
TOZSLJI,O,O,O,X,O,X,X
TOZSJIL,O,O,O,X,X,X,X
TOZSJLI,O,O,O,X,O,X,X
ITLJSZO,X,O,O,X,X,X,X
ITLJSOZ,X,O,O,O,X,X,X
ITLJZSO,X,O,O,X,X,X,O
ITLJZOS,X,O,O,O,X,X,O
ITLJOSZ,X,X,O,O,X,X,X
ITLJOZS,X,X,O,O,X,X,X
ITLSJZO,O,O,O,X,X,X,X
ITLSJOZ,X,O,O,X,X,X,X
ITLSZJO,O,O,X,X,O,X,X
ITLSZOJ,O,O,X,X,O,X,X
ITLSOJZ,X,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,O,X,X
ITLZJSO,O,O,O,O,X,X,O
ITLZJOS,X,O,O,O,X,X,O
ITLZSJO,O,O,O,X,O,X,O
ITLZSOJ,O,O,O,X,O,X,X
ITLZOJS,X,O,O,O,X,X,O
ITLZOSJ,X,O,O,X,O,X,X
ITLOJSZ,X,X,O,O,X,X,X
ITLOJZS,X,X,O,O,X,X,X
ITLOSJZ,X,X,O,X,X,X,X
ITLOSZJ,X,X,X,X,O,X,X
ITLOZJS,X,X,O,O,X,X,X
ITLOZSJ,X,X,O,X,O,X,X
ITJLSZO,X,O,O,X,X,X,X
ITJLSOZ,X,O,O,O,X,X,X
ITJLZSO,X,O,O,X,X,X,O
ITJLZOS,X,O,O,O,X,X,O
ITJLOSZ,X,X,O,O,X,X,X
ITJLOZS,X,X,O,O,X,X,X
ITJSLZO,X,O,O,X,X,X,X
ITJSLOZ,X,O,O,O,X,X,X
ITJSZLO,X,O,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X
ITJZLSO,X,O,O,X,X,X,O
ITJZLOS,X,O,O,O,X,X,O
ITJZSLO,X,O,O,X,X,X,X
ITJZSOL,X,O,X,X,X,X,X
ITJZOLS,X,O,O,X,X,X,X
ITJZOSL,X,O,X,X,X,X,X
ITJOLSZ,X,X,O,O,X,X,X
ITJOLZS,X,X,O,O,X,X,X
ITJOSLZ,X,O,O,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X
ITJOZLS,X,O,O,X,X,X,X
ITJOZSL,X,O,X,X,X,X,X
ITSLJZO,O,O,O,X,X,X,X
ITSLJOZ,X,O,O,X,X,X,X
ITSLZJO,O,O,X,X,O,X,X
ITSLZOJ,O,O,X,X,O,X,X
ITSLOJZ,X,O,O,X,X,O,X
ITSLOZJ,O,O,X,X,O,X,X
ITSJLZO,X,O,O,X,X,X,X
ITSJLOZ,X,O,O,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X
ITSZLJO,O,O,X,X,O,X,X
ITSZLOJ,O,O,X,X,O,X,X
ITSZJLO,O,O,X,X,O,X,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,X,O,X,X,O,X,X
ITSZOJL,O,O,X,X,X,X,X
ITSOLJZ,X,O,O,X,X,O,X
ITSOLZJ,X,O,X,X,X,X,X
ITSOJLZ,X,O,O,X,X,O,X
ITSOJZL,X,O,X,X,X,O,X
ITSOZLJ,X,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X
ITZLJSO,O,O,O,O,X,X,O
ITZLJOS,X,O,O,O,X,X,O
ITZLSJO,O,O,O,X,O,X,O
ITZLSOJ,O,O,O,X,O,X,X
ITZLOJS,X,O,O,O,X,X,O
ITZLOSJ,X,O,O,X,O,X,X
ITZJLSO,O,O,O,O,X,X,O
ITZJLOS,X,O,O,O,X,X,O
ITZJSLO,O,O,O,O,X,X,X
ITZJSOL,O,O,X,X,X,X,X
ITZJOLS,O,O,O,O,X,X,X
ITZJOSL,O,O,O,X,X,X,X
ITZSLJO,O,O,O,X,O,X,X
ITZSLOJ,O,O,O,X,O,X,X
ITZSJLO,O,O,O,X,O,X,X
ITZSJOL,O,O,X,X,X,X,X
ITZSOLJ,X,O,O,X,O,X,X
ITZSOJL,O,O,O,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X
ITZOJSL,O,O,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X
ITOLJSZ,X,X,O,X,X,X,X
ITOLJZS,X,X,O,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,X
ITOLSZJ,O,X,X,X,X,X,X
ITOLZJS,O,X,O,X,X,X,X
ITOLZSJ,O,X,O,X,X,X,X
ITOJLSZ,X,X,O,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X
ITOJSLZ,X,O,O,X,X,O,X
ITOJSZL,X,O,X,X,X,O,X
ITOJZLS,X,O,O,X,X,X,X
ITOJZSL,X,O,O,X,X,X,X
ITOSLJZ,O,O,O,X,X,O,X
ITOSLZJ,O,O,X,X,X,X,X
ITOSJLZ,X,O,O,X,X,O,X
ITOSJZL,X,O,X,X,X,O,X
ITOSZLJ,O,O,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X
ITOZLJS,O,O,O,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X
ITOZJSL,O,O,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X
ILTJSZO,X,O,O,X,X,X,X
ILTJSOZ,X,O,O,O,X,X,X
ILTJZSO,X,O,O,X,X,X,O
ILTJZOS,X,O,O,O,X,X,O
ILTJOSZ,X,X,O,O,X,X,X
ILTJOZS,X,X,O,O,X,X,X
ILTSJZO,O,O,O,X,X,X,X
ILTSJOZ,X,O,O,X,X,X,X
ILTSZJO,O,O,X,X,O,X,X
ILTSZOJ,O,O,X,X,O,X,X
ILTSOJZ,X,O,O,X,X,X,X
ILTSOZJ,O,O,X,X,O,X,X
ILTZJSO,O,O,O,O,X,X,O
ILTZJOS,X,O,O,O,X,X,O
ILTZSJO,O,O,X,X,O,X,O
ILTZSOJ,O,O,X,X,O,X,X
ILTZOJS,X,O,O,O,X,X,O
ILTZOSJ,X,O,X,X,O,X,X
ILTOJSZ,X,X,O,O,X,X,X
ILTOJZS,X,X,O,O,X,X,X
ILTOSJZ,X,X,O,X,X,X,X
ILTOSZJ,X,X,X,X,O,X,X
ILTOZJS,X,X,O,O,X,X,X
ILTOZSJ,X,X,X,X,O,X,X
ILJTSZO,X,X,O,X,X,X,X
ILJTSOZ,X,X,O,O,X,X,X
ILJTZSO,X,X,O,O,X,X,O
ILJTZOS,X,X,O,O,X,X,O
ILJTOSZ,X,X,O,O,X,X,X
ILJTOZS,X,X,O,O,X,X,X
ILJSTZO,O,X,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X
ILJSZTO,O,X,X,X,O,X,O
ILJSZOT,O,X,X,X,O,X,X
ILJSOTZ,X,X,X,O,X,X,X
ILJSOZT,X,X,X,X,O,X,X
ILJZTSO,O,X,O,O,X,X,O
ILJZTOS,X,X,O,O,X,X,O
ILJZSTO,O,X,X,O,O,X,O
ILJZSOT,O,X,X,O,O,X,X
ILJZOTS,X,X,X,O,X,X,O
ILJZOST,O,X,X,O,O,X,X
ILJOTSZ,X,X,X,O,X,X,X
ILJOTZS,X,X,X,O,X,X,X
ILJOSTZ,X,X,X,O,X,X,X
ILJOSZT,X,X,X,X,O,X,X
ILJOZTS,X,X,X,O,X,X,O
ILJOZST,X,X,X,O,O,X,X
ILSTJZO,O,O,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X
ILSTZJO,O,O,X,X,O,X,X
ILSTZOJ,O,O,X,X,O,X,X
ILSTOJZ,O,O,X,X,X,O,X
ILSTOZJ,O,O,X,X,O,X,X
ILSJTZO,O,O,X,X,X,X,X
ILSJTOZ,X,O,X,O,X,X,X
ILSJZTO,O,O,X,X,O,X,O
ILSJZOT,O,X,X,X,O,X,X
ILSJOTZ,X,X,X,O,X,O,X
ILSJOZT,X,X,X,X,O,O,X
ILSZTJO,O,O,X,X,O,X,O
ILSZTOJ,O,O,X,X,O,X,X
ILSZJTO,O,O,X,O,O,X,O
ILSZJOT,O,X,X,O,O,X,X
ILSZOTJ,O,O,X,X,O,X,X
ILSZOJT,O,X,X,O,O,O,X
ILSOTJZ,O,O,X,X,X,O,X
ILSOTZJ,O,O,X,X,O,X,X
ILSOJTZ,O,X,X,O,X,O,X
ILSOJZT,O,X,X,X,O,O,X
ILSOZTJ,O,O,X,X,O,X,X
ILSOZJT,O,X,X,O,O,O,X
ILZTJSO,O,O,O,O,X,X,O
ILZTJOS,X,O,O,O,X,X,O
ILZTSJO,O,O,O,X,O,X,O
ILZTSOJ,O,O,O,X,O,X,X
ILZTOJS,X,O,O,O,X,X,O
ILZTOSJ,X,O,O,X,O,X,X
ILZJTSO,O,X,O,O,X,X,O
ILZJTOS,X,X,O,O,X,X,O
ILZJSTO,O,X,X,O,O,X,O
ILZJSOT,O,X,X,O,O,X,X
ILZJOTS,O,X,X,O,X,X,O
ILZJOST,O,X,X,O,O,X,X
ILZSTJO,O,O,X,X,O,X,O
ILZSTOJ,O,O,X,X,O,X,X
ILZSJTO,O,O,X,O,O,X,O
ILZSJOT,O,X,X,O,O,X,X
ILZSOTJ,O,O,X,X,O,X,X
ILZSOJT,O,X,X,O,O,X,X
ILZOTJS,O,X,O,O,X,X,O
ILZOTSJ,O,X,O,X,O,X,X
ILZOJTS,O,X,O,O,X,X,O
ILZOJST,O,X,X,O,O,X,X
ILZOSTJ,O,X,X,X,O,X,X
ILZOSJT,O,X,X,O,O,X,X
ILOTJSZ,X,X,O,O,X,X,X
ILOTJZS,X,X,O,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X
ILOTSZJ,O,X,X,X,O,X,X
ILOTZJS,O,X,O,O,X,X,X
ILOTZSJ,O,X,X,X,O,X,X
ILOJTSZ,X,X,O,O,X,X,X
ILOJTZS,X,X,O,O,X,X,X
ILOJSTZ,O,X,X,O,X,O,X
ILOJSZT,O,X,X,X,O,O,X
ILOJZTS,O,X,O,O,X,X,O
ILOJZST,O,X,X,O,O,X,X
ILOSTJZ,O,X,X,X,X,O,X
ILOSTZJ,O,X,X,X,O,X,X
ILOSJTZ,O,X,X,O,X,O,X
ILOSJZT,O,X,X,X,O,O,X
ILOSZTJ,O,X,X,X,O,X,X
ILOSZJT,O,X,X,O,O,O,X
ILOZTJS,O,X,O,O,X,X,O
ILOZTSJ,O,X,O,X,O,X,X
ILOZJTS,O,X,O,O,X,X,O
ILOZJST,O,X,X,O,O,X,X
ILOZSTJ,O,X,X,X,O,X,X
ILOZSJT,O,X,X,O,O,X,X
IJTLSZO,X,O,O,X,X,X,X
IJTLSOZ,X,O,O,O,X,X,X
IJTLZSO,X,O,O,O,X,X,O
IJTLZOS,X,O,O,O,X,X,O
IJTLOSZ,X,X,O,O,X,X,X
IJTLOZS,X,X,O,O,X,X,X
IJTSLZO,X,O,O,X,X,X,X
IJTSLOZ,X,O,O,O,X,X,X
IJTSZLO,X,O,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X
IJTZLSO,X,O,O,O,X,X,O
IJTZLOS,X,O,O,O,X,X,O
IJTZSLO,X,O,O,O,X,X,X
IJTZSOL,X,O,X,X,X,X,X
IJTZOLS,X,O,O,O,X,X,X
IJTZOSL,X,O,X,X,X,X,X
IJTOLSZ,X,X,O,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X
IJTOSLZ,X,O,O,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X
IJTOZLS,X,O,O,O,X,X,X
IJTOZSL,X,O,X,X,X,X,X
IJLTSZO,X,X,O,X,X,X,X
IJLTSOZ,X,X,O,O,X,X,X
IJLTZSO,X,X,O,O,X,X,O
IJLTZOS,X,X,O,O,X,X,O
IJLTOSZ,X,X,O,O,X,X,X
IJLTOZS,X,X,O,O,X,X,X
IJLSTZO,O,X,X,X,X,X,X
IJLSTOZ,X,X,X,O,X,X,X
IJLSZTO,O,X,X,X,O,X,O
IJLSZOT,O,X,X,X,O,X,X
IJLSOTZ,X,X,X,O,X,X,X
IJLSOZT,X,X,X,X,O,X,X
IJLZTSO,O,X,O,O,X,X,O
IJLZTOS,X,X,O,O,X,X,O
IJLZSTO,O,X,X,O,O,X,O
IJLZSOT,O,X,X,O,O,X,X
IJLZOTS,X,X,X,O,X,X,O
IJLZOST,O,X,X,O,O,X,X
IJLOTSZ,X,X,X,O,X,X,X
IJLOTZS,X,X,X,O,X,X,X
IJLOSTZ,X,X,X,O,X,X,X
IJLOSZT,X,X,X,X,O,X,X
IJLOZTS,X,X,X,O,X,X,O
IJLOZST,X,X,X,O,O,X,X
IJSTLZO,X,O,O,X,X,X,X
IJSTLOZ,X,O,O,O,X,X,X
IJSTZLO,O,O,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X,X
IJSLTOZ,X,O,X,O,X,X,X
IJSLZTO,O,O,X,X,O,X,O
IJSLZOT,O,X,X,X,O,X,X
IJSLOTZ,X,X,X,O,X,O,X
IJSLOZT,X,X,X,X,O,O,X
IJSZTLO,O,O,O,X,O,X,X
IJSZTOL,O,O,X,X,X,X,X
IJSZLTO,O,O,X,X,O,X,O
IJSZLOT,O,X,X,X,O,X,X
IJSZOTL,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,O,X
IJSOTZL,X,X,X,X,X,O,X
IJSOLTZ,X,X,X,X,X,O,X
IJSOLZT,X,X,X,X,X,O,X
IJSOZTL,X,X,X,X,X,O,X
IJSOZLT,X,X,X,X,X,O,X
IJZTLSO,O,O,O,O,X,X,O
IJZTLOS,X,O,O,O,X,X,O
IJZTSLO,O,O,O,O,X,X,X
IJZTSOL,O,O,X,X,X,X,X
IJZTOLS,O,O,O,O,X,X,X
IJZTOSL,O,O,O,X,X,X,X
IJZLTSO,O,X,O,O,X,X,O
IJZLTOS,X,X,O,O,X,X,O
IJZLSTO,O,X,X,O,O,X,O
IJZLSOT,O,X,X,O,O,X,X
IJZLOTS,O,X,X,O,X,X,O
IJZLOST,O,X,X,O,O,X,X
IJZSTLO,O,O,O,O,O,X,X
IJZSTOL,O,O,X,X,X,X,X
IJZSLTO,O,O,X,O,O,X,O
IJZSLOT,O,X,X,O,O,X,X
IJZSOTL,O,X,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X
IJZOTLS,O,X,O,O,X,X,X
IJZOTSL,O,X,O,X,X,X,X
IJZOLTS,O,X,O,O,X,X,O
IJZOLST,O,X,X,O,X,X,X
IJZOSTL,O,X,O,X,X,X,X
IJZOSLT,O,X,X,X,X,X,X
IJOTLSZ,X,X,O,O,X,X,X
IJOTLZS,X,X,O,O,X,X,X
IJOTSLZ,X,X,O,X,X,O,X
IJOTSZL,X,X,X,X,X,O,X
IJOTZLS,X,X,O,O,X,X,X
IJOTZSL,X,X,O,X,X,X,X
IJOLTSZ,X,X,O,O,X,X,X
IJOLTZS,X,X,O,O,X,X,X
IJOLSTZ,O,X,X,O,X,O,X
IJOLSZT,O,X,X,X,X,O,X
IJOLZTS,O,X,O,O,X,X,O
IJOLZST,O,X,X,O,X,X,X
IJOSTLZ,X,X,O,X,X,O,X
IJOSTZL,X,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,X,O,X
IJOSLZT,O,X,X,X,X,O,X
IJOSZTL,O,X,O,X,X,O,X
IJOSZLT,O,X,X,X,X,O,X
IJOZTLS,O,X,O,O,X,X,X
IJOZTSL,O,X,O,X,X,X,X
IJOZLTS,O,X,O,O,X,X,O
IJOZLST,O,X,X,O,X,X,X
IJOZSTL,O,X,O,X,X,O,X
IJOZSLT,O,X,X,X,X,O,X
ISTLJZO,O,O,O,X,X,X,X
ISTLJOZ,X,O,O,X,X,X,X
ISTLZJO,O,O,X,X,O,X,X
ISTLZOJ,O,O,X,X,O,X,X
ISTLOJZ,O,O,O,X,X,O,X
ISTLOZJ,O,O,X,X,O,X,X
ISTJLZO,X,O,O,X,X,X,X
ISTJLOZ,X,O,O,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X
ISTZLJO,O,O,X,X,O,X,X
ISTZLOJ,O,O,X,X,O,X,X
ISTZJLO,O,O,X,X,O,X,X
ISTZJOL,O,O,X,X,X,X,X
ISTZOLJ,X,O,X,X,O,X,X
ISTZOJL,O,O,X,X,X,X,X
ISTOLJZ,X,O,O,X,X,O,X
ISTOLZJ,X,O,X,X,X,X,X
ISTOJLZ,X,O,O,X,X,O,X
ISTOJZL,X,O,X,X,X,O,X
ISTOZLJ,X,O,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X
ISLTJZO,O,O,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X
ISLTZJO,O,O,X,X,O,X,X
ISLTZOJ,O,O,X,X,O,X,X
ISLTOJZ,O,O,X,X,X,O,X
ISLTOZJ,O,O,X,X,O,X,X
ISLJTZO,O,O,X,X,X,X,X
ISLJTOZ,X,O,X,O,X,X,X
ISLJZTO,O,O,X,X,O,X,O
ISLJZOT,O,X,X,X,O,X,X
ISLJOTZ,X,X,X,O,X,O,X
ISLJOZT,X,X,X,X,O,O,X
ISLZTJO,O,O,X,X,O,X,O
ISLZTOJ,O,O,X,X,O,X,X
ISLZJTO,O,O,X,O,O,X,O
ISLZJOT,O,X,X,O,O,X,X
ISLZOTJ,O,O,X,X,O,X,X
ISLZOJT,O,X,X,O,O,O,X
ISLOTJZ,O,O,X,X,X,O,X
ISLOTZJ,O,O,X,X,O,X,X
ISLOJTZ,O,X,X,O,X,O,X
ISLOJZT,O,X,X,X,O,O,X
ISLOZTJ,O,O,X,X,O,X,X
ISLOZJT,O,X,X,O,O,O,X
ISJTLZO,X,O,O,X,X,X,X
ISJTLOZ,X,O,O,O,X,X,X
ISJTZLO,O,O,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X
ISJLTZO,O,O,X,X,X,X,X
ISJLTOZ,X,O,X,O,X,X,X
ISJLZTO,O,O,X,X,O,X,O
ISJLZOT,O,X,X,X,O,X,X
ISJLOTZ,X,X,X,O,X,O,X
ISJLOZT,X,X,X,X,O,O,X
ISJZTLO,O,O,O,X,O,X,X
ISJZTOL,O,O,X,X,X,X,X
ISJZLTO,O,O,X,X,O,X,O
ISJZLOT,O,X,X,X,O,X,X
ISJZOTL,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,O,X
ISJOTZL,X,X,X,X,X,O,X
ISJOLTZ,X,X,X,X,X,O,X
ISJOLZT,X,X,X,X,X,O,X
ISJOZTL,X,X,X,X,X,O,X
ISJOZLT,X,X,X,X,X,O,X
ISZTLJO,O,O,O,X,O,X,X
ISZTLOJ,O,O,O,X,O,X,X
ISZTJLO,O,O,O,X,O,X,X
ISZTJOL,O,O,X,X,X,X,X
ISZTOLJ,X,O,O,X,O,X,X
ISZTOJL,O,O,O,X,X,X,X
ISZLTJO,O,O,X,X,O,X,O
ISZLTOJ,O,O,X,X,O,X,X
ISZLJTO,O,O,X,O,O,X,O
ISZLJOT,O,X,X,O,O,X,X
ISZLOTJ,O,O,X,X,O,X,X
ISZLOJT,O,X,X,O,O,O,X
ISZJTLO,O,O,O,O,O,X,X
ISZJTOL,O,O,X,X,X,X,X
ISZJLTO,O,O,X,O,O,X,O
ISZJLOT,O,X,X,O,O,X,X
ISZJOTL,O,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,O,X,X
ISZOTJL,O,O,O,X,X,X,X
ISZOLTJ,O,O,X,X,O,X,X
ISZOLJT,O,X,X,X,O,O,X
ISZOJTL,O,X,O,X,X,O,X
ISZOJLT,O,X,X,X,X,O,X
ISOTLJZ,O,O,O,X,X,O,X
ISOTLZJ,O,O,X,X,X,X,X
ISOTJLZ,X,O,O,X,X,O,X
ISOTJZL,X,O,X,X,X,O,X
ISOTZLJ,O,O,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,O,X
ISOLTZJ,O,O,X,X,O,X,X
ISOLJTZ,O,X,X,X,X,O,X
ISOLJZT,O,X,X,X,O,O,X
ISOLZTJ,O,O,X,X,O,X,X
ISOLZJT,O,X,X,X,O,O,X
ISOJTLZ,X,X,O,X,X,O,X
ISOJTZL,X,X,X,X,X,O,X
ISOJLTZ,O,X,X,X,X,O,X
ISOJLZT,O,X,X,X,X,O,X
ISOJZTL,O,X,O,X,X,O,X
ISOJZLT,O,X,X,X,X,O,X
ISOZTLJ,O,O,O,X,O,X,X
ISOZTJL,O,O,O,X,X,X,X
ISOZLTJ,O,O,X,X,O,X,X
ISOZLJT,O,X,X,X,O,O,X
ISOZJTL,O,X,O,X,X,O,X
ISOZJLT,O,X,X,X,X,O,X
IZTLJSO,O,O,O,O,X,X,O
IZTLJOS,X,O,O,O,X,X,O
IZTLSJO,O,O,O,X,O,X,O
IZTLSOJ,O,O,O,X,O,X,X
IZTLOJS,X,O,O,O,X,X,O
IZTLOSJ,X,O,O,X,O,X,X
IZTJLSO,O,O,O,O,X,X,O
IZTJLOS,X,O,O,O,X,X,O
IZTJSLO,O,O,O,O,X,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,O,O,X,X,X
IZTJOSL,O,O,O,X,X,X,X
IZTSLJO,O,O,O,X,O,X,X
IZTSLOJ,O,O,O,X,O,X,X
IZTSJLO,O,O,O,X,O,X,X
IZTSJOL,O,O,X,X,X,X,X
IZTSOLJ,X,O,O,X,O,X,X
IZTSOJL,O,O,O,X,X,X,X
