sequence,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFqkBTgB/mBFiBOo?BcsB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgBihBFjBzkBfs?B0sB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgB/mBUiBFjBzk?BisB
TJZISOL,X,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,O,X
TJZSIOL,X,X,X
TJZSLIO,X,O,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,X,X,X
TJOILZS,X,X,X
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,X,X,X
TJOLIZS,X,X,X
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,X,X,X
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,X,O,O
TSILJOZ,X,O,X
TSILZJO,X,X,O
TSILZOJ,X,X,O
TSILOJZ,X,O,O
TSILOZJ,X,X,O
TSIJLZO,X,O,O
TSIJLOZ,X,O,X
TSIJZLO,X,X,X
TSIJZOL,X,X,O
TSIJOLZ,X,X,X
TSIJOZL,X,X,X
TSIZLJO,X,X,X
TSIZLOJ,X,X,X
TSIZJLO,X,X,X
TSIZJOL,X,X,O
TSIZOLJ,X,X,X
TSIZOJL,X,X,O
TSIOLJZ,X,O,O
TSIOLZJ,X,X,O
TSIOJLZ,X,O,O
TSIOJZL,X,X,O
TSIOZLJ,X,X,X
TSIOZJL,X,X,O
TSLIJZO,X,O,O
TSLIJOZ,X,O,X
TSLIZJO,X,X,O
TSLIZOJ,X,X,O
TSLIOJZ,X,O,O
TSLIOZJ,X,X,O
TSLJIZO,X,O,O
TSLJIOZ,X,O,X
TSLJZIO,X,X,O
TSLJZOI,X,X,X
TSLJOIZ,X,X,X
TSLJOZI,X,X,X
TSLZIJO,X,X,O
TSLZIOJ,X,X,O
TSLZJIO,X,X,O
TSLZJOI,X,X,X
TSLZOIJ,X,X,O
TSLZOJI,X,X,O
TSLOIJZ,X,O,O
TSLOIZJ,X,X,O
TSLOJIZ,X,O,O
TSLOJZI,X,X,O
TSLOZIJ,X,X,O
TSLOZJI,X,X,O
TSJILZO,X,O,O
TSJILOZ,X,O,X
TSJIZLO,X,X,X
TSJIZOL,X,X,O
TSJIOLZ,X,X,X
TSJIOZL,X,X,X
TSJLIZO,X,O,O
TSJLIOZ,X,O,X
TSJLZIO,X,X,O
TSJLZOI,X,X,X
TSJLOIZ,X,X,X
