sequence,v115@VhA8AeB8CeI8JeZEJvhFupBFmB8rBftB6tBTqB,v115@VhA8AeB8CeI8JeZEJvhFClBXmB8rBznB+tBVvB,v115@VhA8AeB8CeI8Je/FJvhFFhBxiBOpBCsBTtB0pB,v115@VhA8AeB8CeI8Je/FJvhFRhBCjB0kBlmBToBOpB,v115@VhA8AeB8CeI8JeZEJvhFFlBXmB8rBCoBWvBTtB,v115@VhA8AeB8CeI8JeZEJvhFqpB/qBFmB8rBznB+tB
TIJOSZL,X,O,X,O,O,X
TIJOZLS,X,O,X,X,O,O
TIJOZSL,X,O,X,X,O,X
TISLJZO,O,O,X,X,X,X
TISLJOZ,X,O,O,X,X,X
TISLZJO,O,O,X,X,X,X
TISLZOJ,O,O,X,O,X,X
TISLOJZ,O,X,O,O,X,X
TISLOZJ,O,X,O,O,X,X
TISJLZO,O,O,X,X,X,X
TISJLOZ,X,O,O,X,X,X
TISJZLO,O,O,X,X,X,X
TISJZOL,O,O,X,O,X,X
TISJOLZ,X,O,X,O,X,X
TISJOZL,X,O,X,O,X,X
TISZLJO,O,O,X,X,X,X
TISZLOJ,O,O,X,O,X,X
TISZJLO,O,O,X,X,X,X
TISZJOL,O,O,X,O,X,X
TISZOLJ,O,O,X,O,X,X
TISZOJL,O,O,X,O,X,X
TISOLJZ,O,X,X,O,X,X
TISOLZJ,O,X,X,O,X,X
TISOJLZ,O,X,X,O,X,X
TISOJZL,O,X,X,O,X,X
TISOZLJ,O,X,X,O,X,X
TISOZJL,O,X,X,O,X,X
TIZLJSO,O,O,X,X,O,O
TIZLJOS,X,O,X,X,O,O
TIZLSJO,O,O,X,X,O,O
TIZLSOJ,O,O,X,X,O,O
TIZLOJS,O,O,X,X,X,X
TIZLOSJ,O,O,X,X,X,X
TIZJLSO,O,O,X,X,O,O
TIZJLOS,X,O,X,X,O,O
TIZJSLO,O,O,X,X,O,X
TIZJSOL,O,O,X,X,O,X
TIZJOLS,O,O,X,X,O,O
TIZJOSL,O,O,X,X,O,X
TIZSLJO,O,O,X,X,O,X
TIZSLOJ,O,O,X,O,O,X
TIZSJLO,O,O,X,X,O,X
TIZSJOL,O,O,X,O,O,X
TIZSOLJ,O,O,X,O,O,X
TIZSOJL,O,O,X,O,O,X
TIZOLJS,O,O,X,X,O,X
TIZOLSJ,O,O,X,O,O,X
TIZOJLS,O,O,X,X,O,X
TIZOJSL,O,O,X,X,O,X
TIZOSLJ,O,O,X,O,O,X
TIZOSJL,O,O,X,O,O,X
TIOLJSZ,X,O,X,O,O,X
TIOLJZS,X,O,X,X,O,X
TIOLSJZ,X,X,X,O,X,X
TIOLSZJ,X,X,X,O,X,X
TIOLZJS,X,O,X,X,O,X
TIOLZSJ,X,O,X,O,O,X
TIOJLSZ,X,O,X,O,O,X
TIOJLZS,X,O,X,X,O,X
TIOJSLZ,O,O,X,O,O,X
TIOJSZL,O,O,X,O,O,X
TIOJZLS,O,O,X,X,O,X
TIOJZSL,O,O,X,X,O,X
TIOSLJZ,O,X,X,O,X,X
TIOSLZJ,O,X,X,O,X,X
TIOSJLZ,O,X,X,O,X,X
TIOSJZL,O,X,X,O,X,X
TIOSZLJ,O,X,X,O,X,X
TIOSZJL,O,X,X,O,X,X
TIOZLJS,O,O,X,X,O,X
TIOZLSJ,O,O,X,O,O,X
TIOZJLS,O,O,X,X,O,X
TIOZJSL,O,O,X,X,O,X
TIOZSLJ,O,O,X,O,O,X
TIOZSJL,O,O,X,O,O,X
TLIJSZO,X,O,X,X,O,O
TLIJSOZ,X,O,O,X,X,O
TLIJZSO,X,O,X,X,O,O
TLIJZOS,X,O,X,X,O,O
TLIJOSZ,X,O,O,X,X,O
TLIJOZS,X,O,O,X,O,O
TLISJZO,X,O,X,X,X,O
TLISJOZ,X,O,O,X,X,O
TLISZJO,X,O,X,X,X,O
TLISZOJ,X,O,X,O,X,O
TLISOJZ,X,X,O,O,X,X
TLISOZJ,X,X,O,O,X,X
TLIZJSO,X,O,X,X,O,O
TLIZJOS,X,O,X,X,O,O
TLIZSJO,X,O,X,X,O,O
TLIZSOJ,X,O,X,X,O,O
TLIZOJS,X,O,X,X,X,X
TLIZOSJ,X,O,X,X,X,X
TLIOJSZ,X,O,O,O,X,X
TLIOJZS,X,O,O,X,X,X
TLIOSJZ,X,X,O,O,X,X
TLIOSZJ,X,X,O,O,X,X
TLIOZJS,X,O,O,X,X,X
TLIOZSJ,X,O,O,O,X,X
TLJISZO,X,O,X,X,O,O
TLJISOZ,X,O,O,X,X,O
TLJIZSO,X,O,X,X,O,O
TLJIZOS,X,O,X,X,O,O
TLJIOSZ,X,O,O,X,X,O
TLJIOZS,X,O,O,X,O,O
TLJSIZO,X,O,X,X,O,O
TLJSIOZ,X,O,O,X,X,O
TLJSZIO,X,O,X,X,O,O
TLJSZOI,X,O,O,X,O,O
TLJSOIZ,X,O,O,X,X,O
TLJSOZI,X,O,O,X,X,O
TLJZISO,X,O,X,X,O,O
TLJZIOS,X,O,X,X,O,O
TLJZSIO,X,O,X,X,O,O
TLJZSOI,X,O,O,X,O,O
TLJZOIS,X,O,O,X,O,O
TLJZOSI,X,O,O,X,O,O
TLJOISZ,X,O,O,X,X,O
TLJOIZS,X,O,O,X,O,O
TLJOSIZ,X,O,O,X,X,O
TLJOSZI,X,O,O,X,X,O
TLJOZIS,X,O,O,X,O,O
TLJOZSI,X,O,O,X,O,O
TLSIJZO,X,O,X,X,X,O
TLSIJOZ,X,O,O,X,X,O
TLSIZJO,X,O,X,X,X,O
TLSIZOJ,X,O,X,O,X,O
TLSIOJZ,X,X,O,O,X,X
TLSIOZJ,X,X,O,O,X,X
TLSJIZO,X,O,X,X,X,O
TLSJIOZ,X,O,O,X,X,O
TLSJZIO,X,O,X,X,X,O
TLSJZOI,X,O,O,X,X,O
TLSJOIZ,X,O,O,X,X,O
TLSJOZI,X,O,O,X,X,O
TLSZIJO,X,O,X,X,X,O
TLSZIOJ,X,O,X,O,X,O
TLSZJIO,X,O,X,X,X,O
TLSZJOI,X,O,O,X,X,O
TLSZOIJ,X,O,O,O,X,O
TLSZOJI,X,O,O,O,X,O
TLSOIJZ,X,X,O,O,X,X
TLSOIZJ,X,X,O,O,X,X
TLSOJIZ,X,X,O,O,X,X
TLSOJZI,X,X,O,O,X,X
TLSOZIJ,X,X,O,O,X,X
TLSOZJI,X,X,O,O,X,X
TLZIJSO,X,O,X,X,O,O
TLZIJOS,X,O,X,X,O,O
TLZISJO,X,O,X,X,O,O
TLZISOJ,X,O,X,X,O,O
TLZIOJS,X,O,X,X,X,X
TLZIOSJ,X,O,X,X,X,X
TLZJISO,X,O,X,X,O,O
TLZJIOS,X,O,X,X,O,O
TLZJSIO,X,O,X,X,O,O
TLZJSOI,X,O,O,X,O,O
TLZJOIS,X,O,O,X,O,O
TLZJOSI,X,O,O,X,O,O
TLZSIJO,X,O,X,X,O,O
TLZSIOJ,X,O,X,O,O,O
TLZSJIO,X,O,X,X,O,O
TLZSJOI,X,O,O,X,O,O
TLZSOIJ,X,O,O,O,O,O
TLZSOJI,X,O,O,O,X,O
TLZOIJS,X,O,O,X,X,X
TLZOISJ,X,O,O,O,X,X
TLZOJIS,X,O,O,X,X,X
TLZOJSI,X,O,O,O,X,X
TLZOSIJ,X,O,O,O,X,X
TLZOSJI,X,O,O,O,X,X
TLOIJSZ,X,O,O,O,X,X
TLOIJZS,X,O,O,X,X,X
TLOISJZ,X,X,O,O,X,X
TLOISZJ,X,X,O,O,X,X
TLOIZJS,X,O,O,X,X,X
TLOIZSJ,X,O,O,O,X,X
TLOJISZ,X,O,O,O,X,X
TLOJIZS,X,O,O,X,X,X
TLOJSIZ,X,O,O,O,X,X
TLOJSZI,X,O,O,O,X,X
TLOJZIS,X,O,O,X,X,X
TLOJZSI,X,O,O,O,X,X
TLOSIJZ,X,X,O,O,X,X
TLOSIZJ,X,X,O,O,X,X
TLOSJIZ,X,X,O,O,X,X
TLOSJZI,X,X,O,O,X,X
TLOSZIJ,X,X,O,O,X,X
TLOSZJI,X,X,O,O,X,X
TLOZIJS,X,O,O,X,X,X
TLOZISJ,X,O,O,O,X,X
TLOZJIS,X,O,O,X,X,X
TLOZJSI,X,O,O,O,X,X
TLOZSIJ,X,O,O,O,X,X
TLOZSJI,X,O,O,O,X,X
TJILSZO,X,O,X,X,O,O
TJILSOZ,X,O,O,X,X,O
TJILZSO,X,O,X,X,O,O
TJILZOS,X,O,X,X,O,O
TJILOSZ,X,O,O,X,O,O
TJILOZS,X,O,O,X,O,O
TJISLZO,O,O,X,X,O,X
TJISLOZ,X,O,O,X,X,X
TJISZLO,O,O,X,X,O,X
TJISZOL,O,O,X,O,O,X
TJISOLZ,X,O,X,O,O,X
TJISOZL,X,O,X,O,O,X
TJIZLSO,O,O,X,X,O,O
TJIZLOS,X,O,X,X,O,O
TJIZSLO,O,O,X,X,O,X
TJIZSOL,O,O,X,X,O,X
TJIZOLS,X,O,X,X,O,O
TJIZOSL,O,O,X,X,O,X
TJIOLSZ,X,O,X,O,O,O
TJIOLZS,X,O,X,X,O,O
TJIOSLZ,X,O,X,O,O,X
TJIOSZL,X,O,X,O,O,X
TJIOZLS,X,O,X,X,O,O
TJIOZSL,X,O,X,X,O,X
TJLISZO,X,O,X,X,O,O
TJLISOZ,X,O,O,X,X,O
TJLIZSO,X,O,X,X,O,O
TJLIZOS,X,O,X,X,O,O
TJLIOSZ,X,O,O,X,O,O
TJLIOZS,X,O,O,X,O,O
TJLSIZO,X,O,X,X,O,O
TJLSIOZ,X,O,O,X,X,O
TJLSZIO,X,O,X,X,O,O
TJLSZOI,X,O,O,X,O,O
TJLSOIZ,X,O,O,X,X,O
TJLSOZI,X,O,O,X,X,O
TJLZISO,X,O,X,X,O,O
TJLZIOS,X,O,X,X,O,O
TJLZSIO,X,O,X,X,O,O
TJLZSOI,X,O,O,X,O,O
TJLZOIS,X,O,O,X,O,O
TJLZOSI,X,O,O,X,O,O
TJLOISZ,X,O,O,X,O,O
TJLOIZS,X,O,O,X,O,O
TJLOSIZ,X,O,O,X,O,O
TJLOSZI,X,O,O,X,O,O
TJLOZIS,X,O,O,X,O,O
TJLOZSI,X,O,O,X,O,O
TJSILZO,O,O,X,X,O,X
TJSILOZ,X,O,O,X,X,X
TJSIZLO,O,O,X,X,O,X
TJSIZOL,O,O,X,O,O,X
TJSIOLZ,X,O,X,O,O,X
TJSIOZL,X,O,X,O,O,X
TJSLIZO,O,O,X,X,O,O
TJSLIOZ,X,O,O,X,X,O
TJSLZIO,O,O,X,X,O,O
TJSLZOI,O,O,O,X,O,O
TJSLOIZ,X,O,O,X,X,O
TJSLOZI,X,O,O,X,X,O
TJSZILO,O,O,X,X,O,O
TJSZIOL,O,O,X,O,O,O
TJSZLIO,O,O,X,X,O,O
TJSZLOI,O,O,O,X,O,O
TJSZOIL,O,O,X,O,O,O
TJSZOLI,O,O,X,O,O,O
TJSOILZ,X,O,O,O,O,X
TJSOIZL,X,O,X,O,O,X
TJSOLIZ,X,O,O,O,O,O
TJSOLZI,X,O,O,O,O,O
TJSOZIL,X,O,X,O,O,O
TJSOZLI,X,O,X,O,O,O
TJZILSO,O,O,X,X,O,O
TJZILOS,X,O,X,X,O,O
TJZISLO,O,O,X,X,O,O
TJZISOL,O,O,X,X,O,O
TJZIOLS,X,O,X,X,O,O
TJZIOSL,O,O,X,X,O,O
TJZLISO,O,O,X,X,O,O
TJZLIOS,X,O,X,X,O,O
TJZLSIO,O,O,X,X,O,O
TJZLSOI,O,O,O,X,O,O
TJZLOIS,X,O,O,X,O,O
TJZLOSI,X,O,O,X,O,O
TJZSILO,O,O,X,X,O,O
TJZSIOL,O,O,X,O,O,O
TJZSLIO,O,O,X,X,O,O
TJZSLOI,O,O,O,X,O,O
TJZSOIL,O,O,X,O,O,O
TJZSOLI,O,O,X,O,O,O
TJZOILS,X,O,X,X,O,O
TJZOISL,O,O,X,X,O,O
TJZOLIS,X,O,X,X,O,O
TJZOLSI,X,O,X,O,O,O
TJZOSIL,O,O,X,O,O,O
TJZOSLI,O,O,X,O,O,O
TJOILSZ,X,O,O,O,O,O
TJOILZS,X,O,O,X,O,O
TJOISLZ,X,O,O,O,O,X
TJOISZL,X,O,X,O,O,X
TJOIZLS,X,O,X,X,O,O
TJOIZSL,X,O,X,X,O,X
TJOLISZ,X,O,O,O,O,O
TJOLIZS,X,O,O,X,O,O
TJOLSIZ,X,O,O,O,O,O
TJOLSZI,X,O,O,O,O,O
TJOLZIS,X,O,O,X,O,O
TJOLZSI,X,O,O,O,O,O
TJOSILZ,X,O,O,O,O,X
TJOSIZL,X,O,X,O,O,X
TJOSLIZ,X,O,O,O,O,O
TJOSLZI,X,O,O,O,O,O
TJOSZIL,X,O,X,O,O,O
TJOSZLI,X,O,X,O,O,O
TJOZILS,X,O,X,X,O,O
TJOZISL,X,O,X,X,O,O
TJOZLIS,X,O,X,X,O,O
TJOZLSI,X,O,X,O,O,O
TJOZSIL,X,O,X,O,O,O
TJOZSLI,X,O,X,O,O,O
TSILJZO,O,O,X,X,X,X
TSILJOZ,X,O,O,X,X,X
TSILZJO,O,O,X,X,X,X
TSILZOJ,O,O,X,O,X,X
TSILOJZ,O,X,O,O,X,X
TSILOZJ,O,X,O,O,X,X
TSIJLZO,O,O,X,X,X,X
TSIJLOZ,X,O,O,X,X,X
TSIJZLO,O,O,X,X,X,X
TSIJZOL,O,O,X,O,X,X
TSIJOLZ,X,O,X,O,X,X
TSIJOZL,X,O,X,O,X,X
TSIZLJO,O,O,X,X,X,X
TSIZLOJ,O,O,X,O,X,X
TSIZJLO,O,O,X,X,X,X
TSIZJOL,O,O,X,O,X,X
TSIZOLJ,O,O,X,O,X,X
TSIZOJL,O,O,X,O,X,X
TSIOLJZ,O,X,X,O,X,X
TSIOLZJ,O,X,X,O,X,X
TSIOJLZ,O,X,X,O,X,X
TSIOJZL,O,X,X,O,X,X
TSIOZLJ,O,X,X,O,X,X
TSIOZJL,O,X,X,O,X,X
TSLIJZO,O,O,X,X,X,O
TSLIJOZ,X,O,O,X,X,O
TSLIZJO,O,O,X,X,X,O
TSLIZOJ,O,O,X,O,X,O
TSLIOJZ,O,X,O,O,X,X
TSLIOZJ,O,X,O,O,X,X
TSLJIZO,O,O,X,X,X,O
TSLJIOZ,X,O,O,X,X,O
TSLJZIO,O,O,X,X,X,O
TSLJZOI,O,O,O,X,X,O
TSLJOIZ,X,O,O,X,X,O
TSLJOZI,X,O,O,X,X,O
TSLZIJO,O,O,X,X,X,O
TSLZIOJ,O,O,X,O,X,O
TSLZJIO,O,O,X,X,X,O
TSLZJOI,O,O,O,X,X,O
TSLZOIJ,O,O,O,O,X,O
TSLZOJI,O,O,O,O,X,O
TSLOIJZ,O,X,O,O,X,X
TSLOIZJ,O,X,O,O,X,X
TSLOJIZ,O,X,O,O,X,X
TSLOJZI,O,X,O,O,X,X
TSLOZIJ,O,X,O,O,X,X
TSLOZJI,O,X,O,O,X,X
TSJILZO,O,O,X,X,X,X
TSJILOZ,X,O,O,X,X,X
TSJIZLO,O,O,X,X,X,X
TSJIZOL,O,O,X,O,X,X
TSJIOLZ,X,O,X,O,X,X
TSJIOZL,X,O,X,O,X,X
TSJLIZO,O,O,X,X,X,O
TSJLIOZ,X,O,O,X,X,O
TSJLZIO,O,O,X,X,X,O
TSJLZOI,O,O,O,X,X,O
TSJLOIZ,X,O,O,X,X,O
TSJLOZI,X,O,O,X,X,O
TSJZILO,O,O,X,X,X,O
TSJZIOL,O,O,X,O,X,O
TSJZLIO,O,O,X,X,X,O
TSJZLOI,O,O,O,X,X,O
TSJZOIL,O,O,X,O,X,O
TSJZOLI,O,O,X,O,X,O
TSJOILZ,X,O,O,O,X,X
TSJOIZL,X,O,X,O,X,X
TSJOLIZ,X,O,O,O,X,O
TSJOLZI,X,O,O,O,X,O
TSJOZIL,X,O,X,O,X,O
TSJOZLI,X,O,X,O,X,O
TSZILJO,O,O,X,X,X,O
TSZILOJ,O,O,X,O,X,O
TSZIJLO,O,O,X,X,X,O
TSZIJOL,O,O,X,O,X,O
TSZIOLJ,O,O,X,O,X,X
TSZIOJL,O,O,X,O,X,X
TSZLIJO,O,O,X,X,X,O
TSZLIOJ,O,O,X,O,X,O
TSZLJIO,O,O,X,X,X,O
TSZLJOI,O,O,O,X,X,O
TSZLOIJ,O,O,O,O,X,O
TSZLOJI,O,O,O,O,X,O
TSZJILO,O,O,X,X,X,O
TSZJIOL,O,O,X,O,X,O
TSZJLIO,O,O,X,X,X,O
TSZJLOI,O,O,O,X,X,O
TSZJOIL,O,O,X,O,X,O
TSZJOLI,O,O,X,O,X,O
TSZOILJ,O,O,X,O,X,X
TSZOIJL,O,O,X,O,X,X
TSZOLIJ,O,O,X,O,X,O
TSZOLJI,O,O,X,O,X,O
TSZOJIL,O,O,X,O,X,O
TSZOJLI,O,O,X,O,X,O
TSOILJZ,O,X,O,O,X,X
TSOILZJ,O,X,O,O,X,X
TSOIJLZ,O,X,O,O,X,X
TSOIJZL,O,X,X,O,X,X
TSOIZLJ,O,X,X,O,X,X
TSOIZJL,O,X,X,O,X,X
TSOLIJZ,O,X,O,O,X,X
TSOLIZJ,O,X,O,O,X,X
TSOLJIZ,O,X,O,O,X,X
TSOLJZI,O,X,O,O,X,X
TSOLZIJ,O,X,O,O,X,X
TSOLZJI,O,X,O,O,X,X
TSOJILZ,O,X,O,O,X,X
TSOJIZL,O,X,X,O,X,X
TSOJLIZ,O,X,O,O,X,X
TSOJLZI,O,X,O,O,X,X
TSOJZIL,O,X,X,O,X,X
TSOJZLI,O,X,X,O,X,X
TSOZILJ,O,X,X,O,X,X
TSOZIJL,O,X,X,O,X,X
TSOZLIJ,O,X,X,O,X,X
TSOZLJI,O,X,X,O,X,X
TSOZJIL,O,X,X,O,X,X
TSOZJLI,O,X,X,O,X,X
TZILJSO,O,O,X,X,O,O
TZILJOS,X,O,X,X,O,O
TZILSJO,O,O,X,X,O,O
TZILSOJ,O,O,X,X,O,O
TZILOJS,O,O,X,X,X,X
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,O,X,X,O,O
TZIJLOS,X,O,X,X,O,O
TZIJSLO,O,O,X,X,O,O
TZIJSOL,O,O,X,X,O,O
TZIJOLS,O,O,X,X,O,O
TZIJOSL,O,O,X,X,O,O
TZISLJO,O,O,X,X,O,O
TZISLOJ,O,O,X,O,O,O
TZISJLO,O,O,X,X,O,O
TZISJOL,O,O,X,O,O,O
TZISOLJ,O,O,X,O,O,X
TZISOJL,O,O,X,O,O,X
TZIOLJS,O,O,X,X,O,X
TZIOLSJ,O,O,X,O,O,X
TZIOJLS,O,O,X,X,O,X
TZIOJSL,O,O,X,X,O,X
TZIOSLJ,O,O,X,O,O,X
TZIOSJL,O,O,X,O,O,X
TZLIJSO,O,O,X,X,O,O
TZLIJOS,X,O,X,X,O,O
TZLISJO,O,O,X,X,O,O
TZLISOJ,O,O,X,X,O,O
TZLIOJS,O,O,X,X,X,X
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,O,X,X,O,O
TZLJIOS,X,O,X,X,O,O
TZLJSIO,O,O,X,X,O,O
TZLJSOI,O,O,O,X,O,O
TZLJOIS,X,O,O,X,O,O
TZLJOSI,X,O,O,X,O,O
TZLSIJO,O,O,X,X,O,O
TZLSIOJ,O,O,X,O,O,O
TZLSJIO,O,O,X,X,O,O
TZLSJOI,O,O,O,X,O,O
TZLSOIJ,O,O,O,O,O,O
TZLSOJI,O,O,O,O,X,O
TZLOIJS,O,O,O,X,X,X
TZLOISJ,O,O,O,O,X,X
TZLOJIS,O,O,O,X,X,X
TZLOJSI,O,O,O,O,X,X
TZLOSIJ,O,O,O,O,X,X
TZLOSJI,O,O,O,O,X,X
TZJILSO,O,O,X,X,O,O
TZJILOS,X,O,X,X,O,O
TZJISLO,O,O,X,X,O,O
TZJISOL,O,O,X,X,O,O
TZJIOLS,O,O,X,X,O,O
TZJIOSL,O,O,X,X,O,O
TZJLISO,O,O,X,X,O,O
TZJLIOS,X,O,X,X,O,O
TZJLSIO,O,O,X,X,O,O
TZJLSOI,O,O,O,X,O,O
TZJLOIS,X,O,O,X,O,O
TZJLOSI,X,O,O,X,O,O
TZJSILO,O,O,X,X,O,O
TZJSIOL,O,O,X,O,O,O
TZJSLIO,O,O,X,X,O,O
TZJSLOI,O,O,O,X,O,O
TZJSOIL,O,O,X,O,O,O
TZJSOLI,O,O,X,O,O,O
TZJOILS,O,O,X,X,O,O
TZJOISL,O,O,X,X,O,O
TZJOLIS,O,O,X,X,O,O
TZJOLSI,O,O,X,O,O,O
TZJOSIL,O,O,X,O,O,O
TZJOSLI,O,O,X,O,O,O
TZSILJO,O,O,X,X,O,O
TZSILOJ,O,O,X,O,O,O
TZSIJLO,O,O,X,X,O,O
TZSIJOL,O,O,X,O,O,O
TZSIOLJ,O,O,X,O,O,X
TZSIOJL,O,O,X,O,O,X
TZSLIJO,O,O,X,X,O,O
TZSLIOJ,O,O,X,O,O,O
TZSLJIO,O,O,X,X,O,O
TZSLJOI,O,O,O,X,O,O
TZSLOIJ,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,O
TZSJILO,O,O,X,X,O,O
TZSJIOL,O,O,X,O,O,O
TZSJLIO,O,O,X,X,O,O
TZSJLOI,O,O,O,X,O,O
TZSJOIL,O,O,X,O,O,O
TZSJOLI,O,O,X,O,O,O
TZSOILJ,O,O,X,O,O,X
TZSOIJL,O,O,X,O,O,X
TZSOLIJ,O,O,X,O,O,O
TZSOLJI,O,O,X,O,O,O
TZSOJIL,O,O,X,O,O,O
TZSOJLI,O,O,X,O,O,O
TZOILJS,O,O,X,X,O,X
TZOILSJ,O,O,X,O,O,X
TZOIJLS,O,O,X,X,O,X
TZOIJSL,O,O,X,X,O,X
TZOISLJ,O,O,X,O,O,X
TZOISJL,O,O,X,O,O,X
TZOLIJS,O,O,X,X,O,X
TZOLISJ,O,O,X,O,O,X
TZOLJIS,O,O,X,X,O,X
TZOLJSI,O,O,X,O,O,X
TZOLSIJ,O,O,X,O,O,X
TZOLSJI,O,O,X,O,O,X
TZOJILS,O,O,X,X,O,X
TZOJISL,O,O,X,X,O,O
TZOJLIS,O,O,X,X,O,X
TZOJLSI,O,O,X,O,O,O
TZOJSIL,O,O,X,O,O,O
TZOJSLI,O,O,X,O,O,O
TZOSILJ,O,O,X,O,O,X
TZOSIJL,O,O,X,O,O,X
TZOSLIJ,O,O,X,O,O,O
TZOSLJI,O,O,X,O,O,O
TZOSJIL,O,O,X,O,O,O
TZOSJLI,O,O,X,O,O,O
TOILJSZ,X,O,O,O,O,X
TOILJZS,X,O,O,X,O,X
TOILSJZ,X,X,O,O,X,X
TOILSZJ,X,X,O,O,X,X
TOILZJS,X,O,O,X,O,X
TOILZSJ,X,O,O,O,O,X
TOIJLSZ,X,O,O,O,O,X
TOIJLZS,X,O,O,X,O,X
TOIJSLZ,O,O,O,O,O,X
TOIJSZL,O,O,X,O,O,X
TOIJZLS,O,O,X,X,O,X
TOIJZSL,O,O,X,X,O,X
TOISLJZ,O,X,O,O,X,X
TOISLZJ,O,X,O,O,X,X
TOISJLZ,O,X,O,O,X,X
TOISJZL,O,X,X,O,X,X
TOISZLJ,O,X,X,O,X,X
TOISZJL,O,X,X,O,X,X
TOIZLJS,O,O,X,X,O,X
TOIZLSJ,O,O,X,O,O,X
TOIZJLS,O,O,X,X,O,X
TOIZJSL,O,O,X,X,O,X
TOIZSLJ,O,O,X,O,O,X
TOIZSJL,O,O,X,O,O,X
TOLIJSZ,X,O,O,O,O,X
TOLIJZS,X,O,O,X,O,X
TOLISJZ,X,X,O,O,X,X
TOLISZJ,X,X,O,O,X,X
TOLIZJS,X,O,O,X,O,X
TOLIZSJ,X,O,O,O,O,X
TOLJISZ,X,O,O,O,O,X
TOLJIZS,X,O,O,X,O,X
TOLJSIZ,X,O,O,O,O,X
TOLJSZI,X,O,O,O,O,X
TOLJZIS,X,O,O,X,O,X
TOLJZSI,X,O,O,O,O,X
TOLSIJZ,X,X,O,O,X,X
TOLSIZJ,X,X,O,O,X,X
TOLSJIZ,X,X,O,O,X,X
TOLSJZI,X,X,O,O,X,X
TOLSZIJ,X,X,O,O,X,X
TOLSZJI,X,X,O,O,X,X
TOLZIJS,X,O,O,X,O,X
TOLZISJ,X,O,O,O,O,X
TOLZJIS,X,O,O,X,O,X
TOLZJSI,X,O,O,O,O,X
TOLZSIJ,X,O,O,O,O,X
TOLZSJI,X,O,O,O,O,X
TOJILSZ,X,O,O,O,O,X
TOJILZS,X,O,O,X,O,X
TOJISLZ,O,O,O,O,O,X
TOJISZL,O,O,X,O,O,X
TOJIZLS,O,O,X,X,O,X
TOJIZSL,O,O,X,X,O,X
TOJLISZ,X,O,O,O,O,X
TOJLIZS,X,O,O,X,O,X
TOJLSIZ,X,O,O,O,O,X
TOJLSZI,X,O,O,O,O,X
TOJLZIS,X,O,O,X,O,X
TOJLZSI,X,O,O,O,O,X
TOJSILZ,O,O,O,O,O,X
TOJSIZL,O,O,X,O,O,X
TOJSLIZ,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,X
TOJSZIL,O,O,X,O,O,X
TOJSZLI,O,O,X,O,O,X
TOJZILS,O,O,X,X,O,X
TOJZISL,O,O,X,X,O,X
TOJZLIS,O,O,X,X,O,X
TOJZLSI,O,O,X,O,O,X
TOJZSIL,O,O,X,O,O,X
TOJZSLI,O,O,X,O,O,X
