sequence,v115@QhA8DeB8CeA8AeG8AeA8JeZEJvhFzfBUhBFiBXjBSq?BmsB,v115@QhA8DeB8CeA8AeG8AeA8JeZEJvhFukBUhBanBFjBTl?BftB
ITSLJOZ,O,O
ITSLZJO,O,O
ITSLZOJ,O,O
ITSLOJZ,O,O
ITSLOZJ,O,O
ITSJLZO,O,O
ITSJLOZ,O,O
ITSJZLO,O,O
ITSJZOL,O,O
ITSJOLZ,O,O
ITSJOZL,O,O
ITSZLJO,O,O
ITSZLOJ,O,O
ITSZJLO,O,O
ITSZJOL,O,O
ITSZOLJ,O,O
ITSZOJL,X,O
ITSOLJZ,O,O
ITSOLZJ,O,O
ITSOJLZ,X,O
ITSOJZL,X,O
ITSOZLJ,O,O
ITSOZJL,X,O
ITZLJSO,O,O
ITZLJOS,O,X
ITZLSJO,O,O
ITZLSOJ,O,O
ITZLOJS,O,O
ITZLOSJ,O,O
ITZJLSO,O,O
ITZJLOS,O,X
ITZJSLO,O,O
ITZJSOL,O,O
ITZJOLS,O,X
ITZJOSL,O,X
ITZSLJO,O,O
ITZSLOJ,O,O
ITZSJLO,O,O
ITZSJOL,O,O
ITZSOLJ,O,O
ITZSOJL,X,O
ITZOLJS,O,O
ITZOLSJ,O,O
ITZOJLS,O,O
ITZOJSL,O,O
ITZOSLJ,O,O
ITZOSJL,X,O
ITOLJSZ,X,O
ITOLJZS,X,O
ITOLSJZ,X,O
ITOLSZJ,X,O
ITOLZJS,X,O
ITOLZSJ,X,O
ITOJLSZ,X,O
ITOJLZS,X,O
ITOJSLZ,X,O
ITOJSZL,X,O
ITOJZLS,X,O
ITOJZSL,X,O
ITOSLJZ,X,O
ITOSLZJ,X,O
ITOSJLZ,X,O
ITOSJZL,X,O
ITOSZLJ,X,O
ITOSZJL,X,O
ITOZLJS,X,O
ITOZLSJ,X,O
ITOZJLS,X,O
ITOZJSL,X,O
ITOZSLJ,X,O
ITOZSJL,X,O
ILTJSZO,O,O
ILTJSOZ,O,O
ILTJZSO,O,O
ILTJZOS,O,X
ILTJOSZ,O,X
ILTJOZS,O,X
ILTSJZO,O,O
ILTSJOZ,O,O
ILTSZJO,O,O
ILTSZOJ,O,O
ILTSOJZ,O,O
ILTSOZJ,O,O
ILTZJSO,O,O
ILTZJOS,O,X
ILTZSJO,O,O
ILTZSOJ,O,O
ILTZOJS,O,O
ILTZOSJ,O,O
ILTOJSZ,O,O
ILTOJZS,O,O
ILTOSJZ,O,O
ILTOSZJ,O,O
ILTOZJS,O,O
ILTOZSJ,O,O
ILJTSZO,O,O
ILJTSOZ,O,O
ILJTZSO,O,O
ILJTZOS,O,X
ILJTOSZ,O,X
ILJTOZS,O,X
ILJSTZO,O,O
ILJSTOZ,O,O
ILJSZTO,O,O
ILJSZOT,O,O
ILJSOTZ,O,O
ILJSOZT,O,O
ILJZTSO,O,O
ILJZTOS,O,X
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,O,O
ILJZOST,O,O
ILJOTSZ,O,O
ILJOTZS,O,O
ILJOSTZ,O,O
ILJOSZT,O,O
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,O,O
ILSTJOZ,O,O
ILSTZJO,O,O
ILSTZOJ,O,O
ILSTOJZ,O,O
ILSTOZJ,O,O
ILSJTZO,O,O
ILSJTOZ,O,O
ILSJZTO,O,O
ILSJZOT,O,O
ILSJOTZ,O,O
ILSJOZT,O,O
ILSZTJO,O,O
ILSZTOJ,O,O
ILSZJTO,O,O
ILSZJOT,O,O
ILSZOTJ,O,O
ILSZOJT,O,O
ILSOTJZ,O,O
ILSOTZJ,O,O
ILSOJTZ,O,O
ILSOJZT,O,O
ILSOZTJ,O,O
ILSOZJT,O,O
ILZTJSO,O,O
ILZTJOS,O,X
ILZTSJO,O,O
ILZTSOJ,O,O
ILZTOJS,O,O
ILZTOSJ,O,O
ILZJTSO,O,O
ILZJTOS,O,X
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,O,O
ILZJOST,O,O
ILZSTJO,O,O
ILZSTOJ,O,O
ILZSJTO,O,O
ILZSJOT,O,O
ILZSOTJ,O,O
ILZSOJT,O,O
ILZOTJS,O,O
ILZOTSJ,O,O
ILZOJTS,O,O
ILZOJST,O,O
ILZOSTJ,O,O
ILZOSJT,O,O
ILOTJSZ,O,O
ILOTJZS,O,O
ILOTSJZ,O,O
ILOTSZJ,O,O
ILOTZJS,O,O
ILOTZSJ,O,O
ILOJTSZ,O,O
ILOJTZS,O,O
ILOJSTZ,O,O
ILOJSZT,O,O
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,O,O
ILOSTZJ,O,O
ILOSJTZ,O,O
ILOSJZT,O,O
ILOSZTJ,O,O
ILOSZJT,O,O
ILOZTJS,O,O
ILOZTSJ,O,O
ILOZJTS,O,O
ILOZJST,O,O
ILOZSTJ,O,O
ILOZSJT,O,O
IJTLSZO,O,O
IJTLSOZ,O,O
IJTLZSO,O,O
IJTLZOS,O,X
IJTLOSZ,O,X
IJTLOZS,O,X
IJTSLZO,O,O
IJTSLOZ,O,O
IJTSZLO,O,O
IJTSZOL,O,O
IJTSOLZ,O,O
IJTSOZL,O,O
IJTZLSO,O,O
IJTZLOS,O,X
IJTZSLO,O,O
IJTZSOL,O,O
IJTZOLS,O,X
IJTZOSL,O,X
IJTOLSZ,O,X
IJTOLZS,O,X
IJTOSLZ,O,X
IJTOSZL,O,X
IJTOZLS,O,X
IJTOZSL,O,X
IJLTSZO,O,O
IJLTSOZ,O,O
IJLTZSO,O,O
IJLTZOS,O,X
IJLTOSZ,O,X
IJLTOZS,O,X
IJLSTZO,O,O
IJLSTOZ,O,O
IJLSZTO,O,O
IJLSZOT,O,O
IJLSOTZ,O,O
IJLSOZT,O,O
IJLZTSO,O,O
IJLZTOS,O,X
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
IJLOTSZ,O,O
IJLOTZS,O,O
IJLOSTZ,O,O
IJLOSZT,O,O
IJLOZTS,O,O
IJLOZST,O,O
IJSTLZO,O,O
IJSTLOZ,O,O
IJSTZLO,O,O
IJSTZOL,O,O
IJSTOLZ,O,O
IJSTOZL,O,O
IJSLTZO,O,O
IJSLTOZ,O,O
IJSLZTO,O,O
IJSLZOT,O,O
IJSLOTZ,O,O
IJSLOZT,O,O
IJSZTLO,O,O
IJSZTOL,O,O
IJSZLTO,O,O
IJSZLOT,O,O
IJSZOTL,O,O
IJSZOLT,O,O
IJSOTLZ,O,O
IJSOTZL,O,O
IJSOLTZ,O,O
IJSOLZT,O,O
IJSOZTL,O,O
IJSOZLT,O,O
IJZTLSO,O,O
IJZTLOS,O,X
IJZTSLO,O,O
IJZTSOL,O,O
IJZTOLS,O,X
IJZTOSL,O,X
IJZLTSO,O,O
IJZLTOS,O,X
IJZLSTO,O,O
IJZLSOT,O,O
IJZLOTS,O,O
IJZLOST,O,O
IJZSTLO,O,O
IJZSTOL,O,O
IJZSLTO,O,O
IJZSLOT,O,O
IJZSOTL,O,O
IJZSOLT,O,O
IJZOTLS,O,O
IJZOTSL,O,O
IJZOLTS,O,O
IJZOLST,O,O
IJZOSTL,O,O
IJZOSLT,O,O
IJOTLSZ,O,O
IJOTLZS,O,O
IJOTSLZ,O,O
IJOTSZL,O,O
IJOTZLS,O,O
IJOTZSL,O,O
IJOLTSZ,O,O
IJOLTZS,O,O
IJOLSTZ,O,O
IJOLSZT,O,O
IJOLZTS,O,O
IJOLZST,O,O
IJOSTLZ,O,O
IJOSTZL,O,O
IJOSLTZ,O,O
IJOSLZT,O,O
IJOSZTL,O,O
IJOSZLT,O,O
IJOZTLS,O,O
IJOZTSL,O,O
IJOZLTS,O,O
IJOZLST,O,O
IJOZSTL,O,O
IJOZSLT,O,O
ISTLJZO,O,O
ISTLJOZ,O,O
ISTLZJO,O,O
ISTLZOJ,O,O
ISTLOJZ,O,O
ISTLOZJ,O,O
ISTJLZO,O,O
ISTJLOZ,O,O
ISTJZLO,O,O
ISTJZOL,O,O
ISTJOLZ,O,O
ISTJOZL,O,O
ISTZLJO,O,O
ISTZLOJ,O,O
ISTZJLO,O,O
ISTZJOL,O,O
ISTZOLJ,O,O
ISTZOJL,X,O
ISTOLJZ,O,O
ISTOLZJ,O,O
ISTOJLZ,X,O
ISTOJZL,X,O
ISTOZLJ,O,O
ISTOZJL,X,O
ISLTJZO,O,O
ISLTJOZ,O,O
ISLTZJO,O,O
ISLTZOJ,O,O
ISLTOJZ,O,O
ISLTOZJ,O,O
ISLJTZO,O,O
ISLJTOZ,O,O
ISLJZTO,O,O
ISLJZOT,O,O
ISLJOTZ,O,O
ISLJOZT,O,O
ISLZTJO,O,O
ISLZTOJ,O,O
ISLZJTO,O,O
ISLZJOT,O,O
ISLZOTJ,O,O
ISLZOJT,O,O
ISLOTJZ,O,O
ISLOTZJ,O,O
ISLOJTZ,O,O
